SAL_CODE_2021,P_OthServ_0,P_OthServ_1_19,P_OthServ_20_29,P_OthServ_30_34,P_OthServ_35_39,P_OthServ_40_44,P_OthServ_45_49,P_OthServ_50_over,P_OthServ_hours_NS,P_OthServ_Tot,P_ID_NS_0,P_ID_NS_1_19,P_ID_NS_20_29,P_ID_NS_30_34,P_ID_NS_35_39,P_ID_NS_40_44,P_ID_NS_45_49,P_ID_NS_50_over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_19,P_Tot_20_29,P_Tot_30_34,P_Tot_35_39,P_Tot_40_44,P_Tot_45_49,P_Tot_50_over,P_Tot_hours_NS,P_Tot_Tot
SAL10030,25,20,5,11,38,41,12,10,4,156,10,25,18,17,41,70,13,40,25,262,450,517,496,311,1450,1889,534,1038,58,6742
SAL10031,16,14,8,3,7,6,4,9,0,71,6,7,4,0,11,27,0,5,0,72,168,240,173,93,280,345,87,220,13,1622
SAL10032,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,11,12,4,6,12,0,9,0,57
SAL10033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL10034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,4,10,3,8,0,35
SAL10035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,5,5,8,8,5,0,49
SAL10036,31,23,26,4,13,22,7,8,0,130,7,23,10,13,27,36,7,21,9,155,316,547,415,239,558,788,221,510,12,3599
SAL10037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5,5,6,6,3,13,0,41
SAL10038,20,15,12,0,10,9,0,0,0,65,13,13,15,8,28,28,0,6,18,133,331,322,348,193,668,504,95,155,51,2651
SAL10039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,7,5,11,3,0,7,0,31
SAL10040,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,18,7,6,10,8,6,10,0,64
SAL10041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,6,10,7,23,14,4,9,3,85
SAL10042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,0,7,0,3,0,25
SAL10043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,4,0,4,0,16,0,29
SAL10044,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,3,14,15,3,11,9,6,7,0,75
SAL10045,0,0,4,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,5,6,10,37,43,21,42,35,15,26,3,236
SAL10046,8,12,12,17,23,23,3,13,0,108,3,14,12,4,12,8,0,11,19,88,146,427,359,263,487,386,91,260,39,2461
SAL10047,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,5,5,5,8,8,0,9,0,42
SAL10048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,5,0,4,0,0,10,0,21
SAL10049,23,16,6,4,16,16,8,8,3,102,18,13,4,7,32,16,10,6,30,134,376,351,228,166,639,483,124,177,64,2605
SAL10050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,11
SAL10051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,7
SAL10052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,3,0,0,0,5,0,21
SAL10053,0,0,0,0,3,0,0,0,0,3,0,3,0,0,0,0,0,0,0,7,0,5,3,0,4,9,0,8,0,24
SAL10054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,7,5,0,6,0,25
SAL10055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,8,7,3,5,0,37
SAL10056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,13,12,3,12,21,3,14,0,81
SAL10057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,5,0,10
SAL10058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,3,0,0,9,0,3,0,16
SAL10059,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,5,22,16,3,8,13,11,11,0,87
SAL10060,4,0,4,0,0,0,0,0,0,4,0,4,0,3,0,0,0,0,4,15,27,16,20,11,22,22,8,19,11,158
SAL10061,11,15,9,7,12,9,0,3,0,71,11,4,0,8,15,10,0,6,10,64,145,301,215,124,284,309,84,140,25,1633
SAL10062,18,27,18,10,18,29,12,19,0,152,12,19,17,8,27,54,9,27,25,196,403,635,483,318,865,1253,399,1000,48,5403
SAL10063,13,9,3,0,4,4,3,4,0,39,3,6,7,0,5,3,0,4,9,39,87,141,94,32,83,150,31,116,17,760
SAL10064,16,7,9,0,5,14,0,6,0,55,3,3,4,0,17,14,3,3,12,71,184,204,138,102,296,311,80,218,21,1559
SAL10065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,3,0,0,0,27
SAL10066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,7,0,0,0,21
SAL10067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,3,4,0,11
SAL10068,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,8,9,9,4,3,7,8,0,9,0,52
SAL10069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,6
SAL10070,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,12,13,32,29,3,29,24,10,21,0,169
SAL10071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,4,8,4,17,10,6,9,23,7,19,3,95
SAL10072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SAL10073,7,12,3,0,5,12,4,4,0,50,0,6,4,0,0,10,5,4,0,27,63,127,79,59,83,172,40,119,3,743
SAL10074,0,0,6,4,3,6,0,3,0,18,3,3,5,0,10,13,0,4,8,42,45,96,102,54,135,139,26,66,13,669
SAL10075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,3,0,0,8,6,3,3,20
SAL10076,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,6,12,18,8,17,13,4,20,3,94
SAL10077,0,0,0,0,0,3,0,6,0,9,0,0,0,0,0,0,0,0,7,8,12,20,14,15,14,35,4,43,8,157
SAL10078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,11
SAL10079,5,4,3,0,10,8,0,4,0,35,0,0,3,8,5,12,3,0,5,31,32,96,68,50,142,119,32,49,14,585
SAL10080,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,3,15,9,7,17,8,0,13,3,79
SAL10081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,5
SAL10082,0,4,0,0,0,6,0,0,0,3,0,0,0,0,5,0,0,3,0,13,7,30,27,12,24,22,3,47,3,176
SAL10083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,3,0,0,0,0,6,3,23
SAL10084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,6,0,12
SAL10085,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,17,5,5,7,11,7,24,0,68
SAL10086,16,55,57,22,83,74,18,24,7,348,13,47,23,7,50,47,13,28,60,295,507,1751,1233,839,2502,1672,593,1144,161,10396
SAL10087,42,19,17,12,33,26,0,0,0,161,21,31,29,10,43,48,9,13,48,251,607,698,643,309,1211,1134,291,482,110,5480
SAL10088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,6
SAL10089,0,0,0,0,0,0,0,0,0,0,0,6,4,0,0,0,0,0,0,8,12,30,20,19,35,33,0,10,7,163
SAL10090,0,3,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,4,0,8,12,64,43,29,55,47,17,30,7,305
SAL10091,9,19,9,12,32,24,0,11,0,114,14,17,13,3,34,61,8,19,18,189,300,589,461,246,1020,1284,292,647,50,4888
SAL10092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,14,0,5,0,23
SAL10093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,12,0,21
SAL10094,15,12,9,0,12,5,4,4,0,61,13,15,0,5,9,11,3,6,8,72,225,203,154,96,277,312,103,207,15,1601
SAL10095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,9,11,16,14,15,4,13,0,88
SAL10096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,4,20,18,6,22,22,4,11,3,110
SAL10097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,11
SAL10098,12,5,5,0,5,6,0,0,0,33,10,8,5,0,25,16,0,0,25,88,145,115,81,51,205,129,36,40,40,837
SAL10099,56,46,42,23,68,55,11,17,0,323,48,55,58,34,102,105,13,29,100,545,1140,1508,1470,757,2792,2481,563,1012,205,11925
SAL10100,0,0,0,0,0,0,0,0,0,4,4,6,0,0,0,3,0,0,4,15,13,38,29,22,32,34,18,32,7,219
SAL10101,0,0,4,0,0,5,0,3,0,11,0,0,0,0,0,4,0,5,0,3,4,22,14,17,29,35,8,43,0,178
SAL10102,3,9,4,6,19,15,4,12,0,61,0,15,9,5,16,19,3,3,21,90,43,189,159,115,345,225,60,119,40,1295
SAL10103,3,13,10,9,16,23,4,9,0,92,0,6,5,4,18,19,5,10,3,71,148,329,260,168,539,498,155,281,19,2396
SAL10104,16,19,9,10,21,15,6,7,0,95,10,14,6,4,28,25,3,10,20,124,248,392,310,201,820,850,133,273,32,3266
SAL10105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,8,0,27
SAL10106,0,3,0,0,0,3,0,4,0,10,0,0,0,3,0,5,4,3,0,22,9,35,19,21,53,47,19,65,10,278
SAL10107,62,60,42,14,57,55,14,11,3,312,174,140,187,65,202,136,25,28,380,1335,1770,2021,2239,940,2821,2005,368,515,622,13300
SAL10108,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,3,12,5,12,11,14,9,11,0,67
SAL10109,10,3,8,0,7,0,3,7,0,39,0,0,0,0,8,6,0,5,13,33,113,230,176,83,184,235,93,174,21,1313
SAL10110,25,11,8,4,24,20,0,9,0,101,18,17,12,5,43,33,0,9,39,179,475,325,240,160,725,623,95,234,66,2950
SAL10111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,14,7,7,21,6,3,9,0,77
SAL10112,41,24,12,7,20,14,7,18,0,155,13,32,28,10,18,43,16,37,29,233,474,943,645,342,480,1009,275,739,61,4965
SAL10113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,0,10
SAL10114,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,7,10,10,16,9,22,21,4,15,8,110
SAL10115,18,17,4,3,14,3,4,4,0,66,4,20,10,13,10,19,4,6,4,75,236,426,285,211,323,436,110,268,18,2309
SAL10116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL10117,10,6,0,0,5,12,0,0,0,35,0,6,4,0,8,7,0,3,8,34,85,98,97,63,172,152,32,63,13,774
SAL10118,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,17,4,9,14,17,7,20,0,95
SAL10119,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,6,10,40,23,21,49,35,15,18,0,215
SAL10120,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,8,15,14,6,22,16,12,15,0,115
SAL10121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,5,6,3,10,7,4,27,0,70
SAL10122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,6
SAL10123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL10124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,13,0,22
SAL10125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,0,9
SAL10126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,7
SAL10127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3
SAL10128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL10129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,6,0,0,0,6,0,14
SAL10130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,14,9,8,0,7,0,9,5,47
SAL10131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,4,13,5,3,5,3,12,25,0,14,0,79
SAL10132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
SAL10133,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,4,10,0,4,9,6,6,6,0,53
SAL10134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
SAL10135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,9,0,14,0,31
SAL10136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,5,0,3,0,18
SAL10137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,5,0,23
SAL10138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,4,9,0,0,3,0,17
SAL10139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,7,8,0,0,0,0,32
SAL10140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,5,0,4,0,12
SAL10141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,6
SAL10142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,12
SAL10143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,5,10,9,4,9,0,29
SAL10144,0,3,3,3,7,3,0,0,0,18,0,0,0,0,0,3,4,0,0,8,13,45,35,22,56,64,22,32,7,292
SAL10145,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,3,3,8,4,7,14,0,13,0,56
SAL10146,0,4,4,0,5,4,0,0,0,23,0,3,0,0,9,0,3,6,7,24,35,68,48,38,72,93,19,39,9,424
SAL10147,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,0,5,0,0,0,9,0,7,0,28
SAL10148,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,30,20,15,17,35,12,22,0,168
SAL10149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,5,0,12
SAL10150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
SAL10151,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,0,5,0,31
SAL10152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,0,5,7,0,11,0,40
SAL10153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,11,0,18
SAL10154,18,15,17,8,21,9,12,9,0,105,14,19,21,17,25,41,9,23,18,183,344,581,442,272,610,974,297,690,42,4250
SAL10155,10,7,5,3,8,5,0,3,0,43,4,8,3,3,0,25,0,13,7,73,135,274,160,106,131,347,90,413,22,1678
SAL10156,24,16,8,0,12,12,6,11,5,87,9,13,10,0,15,21,0,3,12,91,301,387,308,158,527,490,150,284,32,2635
SAL10157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,3,5,0,3,0,12
SAL10158,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4,0,8,10,3,14,12,0,20,0,64
SAL10159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,6
SAL10160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,14,6,0,0,17,0,14,5,60
SAL10161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,10,12,5,10,5,0,3,3,52
SAL10162,0,0,0,0,0,3,0,3,0,5,0,4,0,0,0,0,0,0,0,3,7,17,8,4,29,21,8,28,0,120
SAL10163,4,26,21,16,38,31,9,8,0,160,4,26,11,9,24,15,0,4,34,129,186,625,486,388,755,551,160,288,86,3527
SAL10164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL10165,23,30,16,13,20,21,8,23,0,150,13,18,19,14,26,59,5,32,25,214,402,637,455,274,816,1395,434,1243,51,5711
SAL10166,5,5,0,0,0,5,0,4,0,15,0,0,3,0,4,11,3,10,0,31,52,121,97,32,118,250,75,221,10,983
SAL10167,0,5,0,3,3,3,0,0,0,20,0,4,0,0,7,3,0,0,0,15,20,48,40,47,77,66,19,49,4,367
SAL10168,3,0,3,0,5,0,3,0,0,8,0,0,0,0,0,0,0,0,0,4,29,37,16,18,56,59,18,23,4,260
SAL10169,0,0,0,0,4,10,3,0,0,16,0,3,0,0,0,0,0,9,3,17,18,66,55,41,86,89,40,108,11,520
SAL10170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,3,3,0,3,0,21
SAL10171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL10172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,8,5,12,15,0,11,3,68
SAL10173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,3
SAL10174,0,3,4,0,7,0,0,0,0,14,0,0,0,0,3,5,0,3,5,23,19,56,40,28,71,81,31,59,9,395
SAL10175,0,13,11,5,4,14,0,4,0,48,4,16,15,6,3,10,0,5,10,77,57,272,211,137,166,249,50,151,20,1319
SAL10176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,7,6,8,0,13,3,25
SAL10177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,9,3,13,12,4,16,0,68
SAL10178,21,24,10,12,10,15,3,10,0,97,7,14,6,10,10,26,3,11,8,94,274,433,312,168,497,581,154,333,21,2772
SAL10179,12,8,6,0,8,3,0,0,0,42,0,8,6,5,17,8,0,0,9,60,136,182,166,79,341,327,77,136,42,1478
SAL10180,0,0,0,3,5,0,0,0,0,11,0,0,0,0,0,3,0,0,0,6,27,25,13,18,60,82,11,40,0,284
SAL10181,188,63,52,16,73,50,4,15,10,485,130,71,89,32,174,119,16,26,171,840,1961,1547,1287,630,2832,1907,380,575,357,11469
SAL10182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3
SAL10183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,7,0,3,4,23
SAL10184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,11,6,4,8,8,0,25,0,78
SAL10185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,3,4,13
SAL10186,18,47,43,24,43,46,13,21,4,267,19,51,25,18,44,33,7,14,46,248,436,1200,944,667,1354,1119,343,600,109,6768
SAL10187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,3,0,14
SAL10188,0,0,0,0,0,0,4,0,0,14,0,9,0,3,4,4,0,5,3,28,25,133,82,57,111,132,43,123,6,718
SAL10189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,5,9,3,0,7,7,0,3,0,37
SAL10190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,11
SAL10191,0,0,0,0,0,0,0,0,0,6,0,4,0,0,0,3,0,0,0,10,5,34,39,18,34,59,17,62,3,276
SAL10192,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,5,0,12,8,12,13,6,8,34,7,35,0,124
SAL10193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL10194,25,14,8,9,9,11,10,5,3,93,5,10,4,4,10,23,6,3,0,78,247,337,223,163,425,473,161,289,16,2332
SAL10195,9,3,4,3,18,12,0,7,0,61,16,16,9,5,26,32,5,4,28,145,295,226,276,179,743,575,86,163,55,2593
SAL10196,3,10,4,0,9,7,0,5,0,37,9,6,5,0,9,13,4,3,0,42,130,143,128,79,215,230,55,137,12,1131
SAL10197,12,0,7,0,3,11,0,3,0,28,8,7,6,3,7,15,0,4,9,56,105,129,101,71,166,245,51,87,17,986
SAL10198,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0,0,0,4,4,18,23,11,32,51,17,50,4,214
SAL10199,12,12,7,4,23,16,5,7,0,82,13,5,11,3,21,18,4,8,22,99,202,309,226,132,409,410,109,249,38,2077
SAL10200,0,0,0,0,0,3,0,7,0,17,0,0,3,3,11,5,4,6,8,45,43,108,64,55,100,110,30,114,19,645
