SAL_CODE_2021,Intct_fam_no_otr_chld_pre_Fam,Step_fam_no_otr_chld_pre_Fam,Blnd_fam_no_otr_chld_pre_Fam,Intct_fam_othr_child_pres_Fam,Step_fam_othr_child_pres_Fam,Blnd_fam_othr_child_pres_Fam,Otr_cpl_fam_otr_chld_only_Fam,Tot_Families
SAL10174,92,8,5,0,0,0,0,102
SAL10175,304,32,9,0,0,0,0,341
SAL10176,4,0,0,0,0,0,0,5
SAL10177,13,4,0,0,0,0,0,15
SAL10178,758,51,25,9,0,0,0,849
SAL10179,378,29,12,3,0,0,0,422
SAL10180,38,9,0,0,0,0,0,41
SAL10181,3756,281,108,73,3,4,26,4246
SAL10182,0,0,0,0,0,0,0,0
SAL10183,5,0,0,0,0,0,0,5
SAL10184,9,0,0,0,0,0,0,11
SAL10185,0,0,0,0,0,0,0,0
SAL10186,1297,195,82,9,0,3,7,1605
SAL10187,3,0,0,0,0,0,0,3
SAL10188,115,3,0,0,0,0,0,125
SAL10189,9,0,0,0,0,0,0,9
SAL10190,0,0,0,0,0,0,0,0
SAL10191,47,5,6,0,0,0,0,60
SAL10192,16,0,0,0,0,0,0,15
SAL10193,0,0,0,0,0,0,0,0
SAL10194,599,52,27,5,0,0,0,689
SAL10195,933,48,28,11,0,0,0,1019
SAL10196,314,19,3,0,0,0,0,343
SAL10197,285,19,4,0,0,0,0,314
SAL10198,41,3,0,0,0,0,0,46
SAL10199,460,52,26,5,0,0,3,555
SAL10200,86,8,6,0,0,0,0,111
SAL10201,0,0,0,0,0,0,0,0
SAL10202,19,3,0,0,0,0,0,20
SAL10203,32,0,0,0,0,0,0,37
SAL10204,0,0,0,0,0,0,0,0
SAL10205,189,28,10,5,0,0,3,237
SAL10206,155,18,17,0,0,0,4,193
SAL10207,72,3,4,0,0,0,0,76
SAL10208,500,67,37,3,0,0,7,621
SAL10209,65,12,4,0,0,0,4,89
SAL10210,10,0,0,0,0,0,0,16
SAL10211,3,0,0,0,0,0,0,4
SAL10212,0,0,0,0,0,0,0,0
SAL10213,0,0,0,0,0,0,0,0
SAL10214,15,4,0,0,0,0,0,19
SAL10215,0,3,0,0,0,0,0,3
SAL10216,0,0,0,0,0,0,0,3
SAL10217,37,3,0,0,0,0,0,40
SAL10218,0,0,0,0,0,0,0,0
SAL10219,20,0,0,0,0,0,0,20
SAL10220,0,0,0,0,0,0,0,0
SAL10221,11,4,0,0,0,0,0,13
SAL10222,0,0,0,0,0,0,0,3
SAL10223,124,21,4,0,0,0,5,151
SAL10224,1159,66,38,28,0,3,8,1298
SAL10225,0,0,0,0,0,0,0,0
SAL10226,3,5,0,0,0,0,0,9
SAL10227,1207,141,54,4,0,0,6,1410
SAL10228,83,19,3,0,0,0,4,113
SAL10229,52,9,7,0,0,0,0,67
SAL10230,3,0,0,0,0,0,0,3
SAL10231,369,47,19,5,0,0,7,439
SAL10232,77,10,11,0,0,0,0,96
SAL10233,5716,293,93,33,5,0,16,6158
SAL10234,33,3,0,0,0,0,0,35
SAL10235,65,7,4,0,0,0,3,82
SAL10236,0,0,0,0,0,0,0,0
SAL10237,383,42,5,0,0,0,0,431
SAL10238,1135,71,20,14,0,0,5,1251
SAL10239,100,12,4,0,0,0,0,115
SAL10240,8,0,0,0,0,0,0,8
SAL10241,6,0,0,0,0,0,0,12
SAL10242,6,0,0,0,0,0,0,9
SAL10243,1562,88,42,7,0,0,0,1703
SAL10244,14,0,0,0,0,0,0,19
SAL10245,15,3,0,0,0,0,0,22
SAL10246,8,0,0,0,0,0,0,8
SAL10247,11,0,5,0,0,0,0,15
SAL10248,78,12,5,0,0,0,3,106
SAL10249,1522,92,27,11,0,0,0,1654
SAL10250,0,0,0,0,0,0,0,0
SAL10251,38,5,0,0,0,0,0,39
SAL10252,4,0,0,0,0,0,0,7
SAL10253,354,56,29,4,0,0,5,444
SAL10254,19,0,0,0,0,0,0,18
SAL10255,3,0,0,0,0,0,0,4
SAL10256,10,0,0,0,0,0,0,10
SAL10257,817,48,13,3,4,0,5,897
SAL10258,19,5,3,0,0,0,0,32
SAL10259,0,0,0,0,0,0,0,0
SAL10260,12,6,0,0,0,0,0,14
SAL10261,65,11,3,3,0,0,0,79
SAL10262,4,0,0,0,0,0,0,3
SAL10263,1388,78,18,10,0,0,5,1496
SAL10264,295,35,11,0,0,0,0,350
SAL10265,9,0,0,0,0,0,0,9
SAL10266,23,0,4,0,0,0,0,30
SAL10267,12,0,0,0,0,0,0,12
SAL10268,213,34,22,0,0,0,0,266
SAL10269,78,12,4,0,0,0,0,96
SAL10270,12,5,0,0,0,0,0,18
SAL10271,1119,97,24,9,0,0,3,1247
SAL10272,9,0,0,0,0,0,0,9
SAL10273,293,44,30,6,0,0,0,366
SAL10274,12,0,0,0,0,0,0,15
SAL10275,7,0,0,0,0,0,0,8
SAL10276,557,79,25,3,0,0,3,668
SAL10277,643,88,42,4,3,0,3,786
SAL10278,80,12,6,0,0,0,0,104
SAL10279,1404,97,26,17,0,0,0,1553
SAL10280,26,10,0,0,0,0,0,32
SAL10281,0,0,0,0,0,0,0,3
SAL10282,0,0,0,0,0,0,0,0
SAL10283,1192,84,29,8,0,0,5,1313
SAL10284,42,6,0,0,0,0,0,57
SAL10285,7,3,0,0,0,0,0,8
SAL10286,14,0,0,0,0,0,0,13
SAL10287,8,0,0,0,0,0,0,14
SAL10288,5,0,0,0,0,0,0,7
SAL10289,33,3,0,0,0,0,0,39
SAL10290,12,0,0,0,0,0,0,11
SAL10291,23,3,0,0,0,0,0,24
SAL10292,10,0,0,0,0,0,0,12
SAL10293,15,0,0,0,0,0,0,15
SAL10294,3,0,0,0,0,0,0,3
SAL10295,0,0,0,0,0,0,0,0
SAL10296,6,0,0,0,0,0,0,5
SAL10297,355,34,14,0,0,0,0,410
SAL10298,19,7,4,0,0,0,0,24
SAL10299,969,46,18,15,0,0,3,1062
SAL10300,10,0,0,0,0,0,0,14
SAL10301,234,47,20,4,0,0,3,310
SAL10302,16,7,0,0,0,0,0,20
SAL10303,660,77,37,13,3,4,8,799
SAL10304,925,135,57,8,0,0,8,1132
SAL10305,124,11,6,3,0,0,0,144
SAL10306,0,0,0,0,0,0,0,0
SAL10307,96,20,10,0,0,0,6,125
SAL10308,718,47,21,7,0,0,0,790
SAL10309,795,41,16,7,0,0,0,861
SAL10310,9,0,0,0,0,0,0,13
SAL10311,28,6,0,0,0,0,0,36
SAL10312,23,4,0,0,0,0,0,30
SAL10313,9,0,0,0,0,0,0,9
SAL10314,0,0,0,0,0,0,0,4
SAL10315,119,12,6,0,0,0,0,133
SAL10316,3,0,0,0,0,0,0,3
SAL10317,91,9,0,0,0,0,4,112
SAL10318,20,0,0,0,0,0,0,23
SAL10319,73,6,0,0,0,0,0,77
SAL10320,0,0,0,0,0,0,0,0
SAL10321,261,25,0,3,0,0,3,296
SAL10322,11,0,0,0,0,0,0,11
SAL10323,4,0,0,0,0,0,0,4
SAL10324,15,0,0,0,0,0,0,18
SAL10325,8,3,0,0,0,0,0,11
SAL10326,8,0,0,0,0,0,0,14
SAL10327,10,0,0,0,0,0,0,14
SAL10328,3,0,0,0,0,0,0,3
SAL10329,351,12,3,3,0,0,0,373
SAL10330,1337,82,27,8,0,0,0,1459
SAL10331,6,0,0,0,0,0,0,6
SAL10332,54,5,0,0,0,0,0,59
SAL10333,2453,123,56,26,4,0,0,2658
SAL10334,547,24,13,5,0,0,0,586
SAL10335,14,0,0,0,0,0,0,14
SAL10336,7,0,0,0,0,0,0,7
SAL10337,7,3,0,0,0,0,0,8
SAL10338,0,0,0,0,0,0,0,0
SAL10339,227,27,26,6,0,0,10,302
SAL10340,9,0,0,0,0,0,0,9
SAL10341,5,0,0,0,0,0,0,4
SAL10342,5,0,0,0,0,0,0,5
SAL10343,0,0,0,0,0,0,0,0
SAL10344,14,0,0,0,0,0,0,14
SAL10345,18,0,0,0,0,0,0,18
SAL10346,53,3,0,0,0,0,0,58
SAL10347,322,48,15,5,0,0,3,390
SAL10348,74,4,0,0,0,0,0,73
SAL10349,25,3,0,0,0,0,0,29
SAL10350,484,49,14,4,0,0,3,542
SAL10351,4,0,0,0,0,0,0,4
SAL10352,0,0,0,0,0,0,0,0
SAL10353,7,0,0,0,0,0,0,7
SAL10354,14,0,3,0,0,0,0,20
SAL10355,7,0,0,0,0,0,0,7
SAL10356,16,7,0,0,0,0,0,29
SAL10357,66,8,3,0,0,0,0,78
SAL10358,0,0,0,0,0,0,0,0
SAL10359,3,0,5,0,0,0,0,7
SAL10360,10,0,0,0,0,0,0,16
SAL10361,47,4,4,0,0,0,0,57
SAL10362,21,0,5,0,0,0,0,29
SAL10363,0,0,0,0,0,0,0,0
SAL10364,54,8,4,0,0,0,4,66
SAL10365,0,0,0,0,0,0,0,0
SAL10366,14,0,0,0,0,0,0,14
SAL10367,4,0,0,0,0,0,0,4
SAL10368,13,3,0,0,0,0,0,16
SAL10369,36,7,5,0,0,0,0,42
SAL10370,22,3,0,0,0,0,0,28
SAL10371,37,8,0,0,0,0,0,47
SAL10372,15,0,0,0,0,0,0,15
SAL10373,391,19,9,0,0,0,0,417
SAL10374,0,0,0,0,0,0,0,0
SAL10375,10,0,4,0,0,0,0,8
SAL10376,151,18,8,0,0,0,0,178
SAL10377,3,0,0,0,0,0,0,6
SAL10378,385,18,10,13,0,0,0,422
SAL10379,29,3,0,0,0,0,0,30
SAL10380,16,4,0,0,0,0,0,19
SAL10381,4,0,0,0,0,0,0,4
SAL10382,6,0,0,0,0,0,0,6
SAL10383,49,6,0,0,0,0,0,57
SAL10384,61,8,9,3,0,0,0,78
SAL10385,0,0,0,0,0,0,0,0
SAL10386,30,6,0,0,0,0,0,36
SAL10387,17,0,3,0,0,0,0,25
SAL10388,20,0,0,0,0,0,0,25
SAL10389,236,44,13,0,3,0,4,298
SAL10390,350,53,17,5,0,0,0,425
SAL10391,235,25,23,8,0,0,3,298
SAL10392,326,43,7,0,0,0,3,381
SAL10393,5,4,0,0,0,0,0,3
SAL10394,10,0,0,0,0,0,0,14
SAL10395,144,36,8,0,0,0,0,182
SAL10396,5850,412,162,118,8,3,28,6583
SAL10397,3,3,0,0,0,0,0,9
SAL10398,145,16,6,6,0,0,3,173
SAL10399,395,25,13,4,0,0,0,433
SAL10400,42,0,3,0,0,0,0,48
SAL10401,11,0,4,0,0,0,0,17
SAL10402,920,54,13,10,0,0,3,997
SAL10403,9,4,0,0,0,0,0,7
SAL10404,5,0,0,0,0,0,0,10
SAL10405,14,0,0,0,0,0,0,15
SAL10406,873,81,37,4,0,0,6,1002
SAL10407,8,0,0,0,0,0,0,11
SAL10408,84,11,5,0,0,0,0,97
SAL10409,293,43,30,4,0,0,10,375
SAL10410,689,73,43,12,0,0,9,829
SAL10411,21,0,0,0,0,0,0,25
SAL10412,0,0,0,0,0,0,0,0
SAL10413,63,12,5,4,0,0,0,75
SAL10414,599,103,60,16,0,0,8,780
SAL10415,5,0,0,0,0,0,0,6
SAL10416,0,0,0,0,0,0,0,0
SAL10417,3,0,0,0,0,0,0,3
SAL10418,8,0,0,0,0,0,0,8
SAL10419,17,0,0,0,0,0,0,17
SAL10420,199,25,6,4,0,0,0,231
SAL10421,475,69,22,4,0,0,3,583
SAL10422,10,0,0,0,0,0,0,9
SAL10423,0,0,0,0,0,0,0,3
SAL10424,92,20,6,4,0,0,0,125
SAL10425,6,0,0,0,0,0,0,8
SAL10426,12,3,0,0,0,0,0,18
SAL10427,6,0,0,0,0,0,0,6
SAL10428,43,4,6,0,0,0,0,53
SAL10429,9,0,0,0,0,0,0,9
SAL10430,5,0,0,0,0,0,0,5
SAL10431,13,3,0,0,0,0,0,18
SAL10432,3,0,0,0,0,0,0,8
SAL10433,54,15,0,0,0,0,0,67
SAL10434,6,0,0,0,0,0,0,10
SAL10435,14,0,0,0,0,0,0,14
SAL10436,6,0,0,0,0,0,0,12
SAL10437,21,0,0,0,0,0,0,22
SAL10438,328,44,9,5,0,0,0,387
SAL10439,0,3,0,0,0,0,0,4
SAL10440,47,6,0,0,0,0,0,64
SAL10441,82,11,11,0,0,0,0,109
SAL10442,0,0,0,0,0,0,0,0
SAL10443,17,0,0,0,0,0,0,23
SAL10444,3,3,0,0,0,0,0,6
SAL10445,0,0,0,0,0,0,0,0
SAL10446,8,0,0,0,0,0,0,8
SAL10447,6,0,0,0,0,0,0,5
SAL10448,131,25,14,3,0,0,0,171
SAL10449,144,20,3,0,0,0,4,177
SAL10450,468,58,16,7,0,0,5,552
SAL10451,0,0,0,0,0,0,0,0
SAL10452,435,65,33,0,0,0,3,533
SAL10453,0,0,0,0,0,0,0,0
SAL10454,85,11,10,0,0,0,6,115
SAL10455,13,0,0,0,0,0,0,13
SAL10456,73,6,6,0,0,0,0,76
SAL10457,16,4,0,0,0,0,0,23
SAL10458,28,0,0,0,0,0,0,35
SAL10459,9,0,0,0,0,0,0,7
SAL10460,4,0,0,0,0,0,0,9
SAL10461,10,5,0,0,0,0,0,11
SAL10462,774,55,6,0,0,0,0,846
SAL10463,717,70,12,0,0,0,0,804
SAL10464,0,0,0,0,0,0,0,0
SAL10465,752,59,10,4,3,0,0,822
SAL10466,341,58,25,0,0,0,0,431
SAL10467,346,22,7,0,0,0,0,373
SAL10468,274,39,9,0,0,0,0,320
SAL10469,1061,65,34,25,6,0,4,1201
SAL10470,971,37,18,25,0,0,3,1057
SAL10471,10,0,0,0,0,0,0,11
SAL10472,328,28,15,5,0,0,6,380
SAL10473,7,0,0,0,0,0,0,13
SAL10474,16,0,0,0,0,0,0,20
SAL10475,86,14,10,0,0,0,0,112
SAL10476,15,0,0,0,0,0,0,15
SAL10477,0,0,0,0,0,0,0,0
SAL10478,0,0,0,0,0,0,0,0
SAL10479,3,0,0,0,0,0,0,3
SAL10480,121,29,8,0,0,0,3,160
SAL10481,3,0,0,0,0,0,0,3
SAL10482,9,5,0,0,0,0,0,9
SAL10483,0,0,0,0,0,0,0,0
SAL10484,16,0,0,0,0,0,0,16
SAL10485,36,0,0,0,0,0,0,38
SAL10486,16,0,0,0,0,0,0,11
SAL10487,13,0,0,0,0,0,0,17
SAL10488,0,0,0,0,0,0,0,0
SAL10489,6,0,0,0,0,0,0,6
SAL10490,4,0,0,0,0,0,0,4
SAL10491,0,0,0,0,0,0,0,0
SAL10492,9,0,0,0,0,0,0,18
SAL10493,101,17,4,0,0,0,0,124
SAL10494,47,3,0,0,0,0,0,61
SAL10495,0,0,0,0,0,0,0,0
SAL10496,0,0,0,0,0,0,0,0
SAL10497,0,0,3,0,0,0,0,6
SAL10498,5,0,0,0,0,0,0,5
SAL10499,227,27,4,0,0,0,3,260
SAL10500,3,0,0,0,0,0,0,3
SAL10501,120,19,13,0,0,0,4,152
SAL10502,13,0,0,0,0,0,0,13
SAL10503,0,0,0,0,0,0,0,0
SAL10504,9,0,0,0,0,0,0,9
SAL10505,11,0,0,0,0,0,0,12
SAL10506,0,0,0,0,0,0,0,0
SAL10507,14,0,0,0,0,0,0,12
SAL10508,0,0,0,0,0,0,0,0
SAL10509,12,0,0,0,0,0,0,12
SAL10510,18,3,0,0,0,0,0,22
SAL10511,62,6,0,0,0,0,0,63
SAL10512,11,3,0,0,0,0,0,11
SAL10513,2067,92,39,23,0,0,8,2228
SAL10514,11,0,5,0,0,0,0,15
SAL10515,1575,125,47,12,0,0,7,1761
SAL10516,18,3,0,0,0,0,0,20
SAL10517,3,0,0,0,0,0,0,8
SAL10518,0,0,0,0,0,0,0,0
SAL10519,4,0,0,0,0,0,0,8
SAL10520,119,18,3,3,0,0,3,153
SAL10521,378,41,14,0,0,0,3,437
SAL10522,13,3,0,0,0,0,0,17
SAL10523,10,0,0,0,0,0,0,7
SAL10524,225,10,7,10,0,0,0,254
SAL10525,14,0,0,0,0,0,0,15
SAL10526,189,25,15,3,0,0,3,236
SAL10527,133,8,8,0,0,0,5,159
SAL10528,0,0,0,0,0,0,0,0
SAL10529,7,0,0,0,0,0,0,12
SAL10530,3,4,0,0,0,0,0,4
SAL10531,4,0,0,0,0,0,0,4
SAL10532,15,0,0,0,0,0,0,15
SAL10533,48,9,9,3,0,0,0,62
SAL10534,861,88,34,7,0,0,10,992
SAL10535,65,8,7,0,0,0,4,81
SAL10536,0,0,0,0,0,0,0,0
SAL10537,1064,77,22,13,0,0,3,1176
SAL10538,24,0,0,0,0,0,0,30
SAL10539,3,3,0,0,0,0,0,4
SAL10540,895,113,56,19,5,0,8,1093
SAL10541,5,0,0,0,0,0,0,5
SAL10542,116,16,4,0,0,0,0,142
SAL10543,0,0,0,0,0,0,0,0
SAL10544,120,17,6,3,0,0,0,143
SAL10545,86,11,5,4,0,0,0,100
SAL10546,258,37,17,4,0,0,4,319
SAL10547,24,3,0,0,0,0,3,30
SAL10548,0,0,0,0,0,0,0,0
SAL10549,53,9,5,0,0,0,0,72
SAL10550,11,0,0,0,0,0,0,11
SAL10551,16,0,0,0,0,0,0,23
SAL10552,11,0,0,0,0,0,0,15
SAL10553,4,0,0,0,0,0,0,7
SAL10554,377,40,4,0,0,0,0,426
SAL10555,0,0,0,0,0,0,0,0
SAL10556,31,4,5,0,0,0,0,44
SAL10557,8,0,0,0,0,0,0,13
SAL10558,13,0,0,0,0,0,0,16
SAL10559,0,0,0,0,0,0,0,0
SAL10560,29,6,5,5,0,0,4,53
SAL10561,19,4,0,0,0,0,0,22
SAL10562,0,0,0,0,0,0,0,0
SAL10563,12,0,4,0,0,0,0,15
SAL10564,35,0,0,0,0,0,0,37
SAL10565,37,5,0,0,0,0,0,46
SAL10566,770,60,23,4,0,0,0,861
SAL10567,71,14,0,0,0,0,0,89
SAL10568,0,0,0,0,0,0,0,0
SAL10569,6,6,0,0,0,0,0,7
SAL10570,0,0,0,0,0,0,0,0
SAL10571,0,0,0,0,0,0,0,0
SAL10572,272,25,6,5,0,0,0,311
SAL10573,0,4,0,0,0,0,0,9
SAL10574,12,3,0,0,0,0,0,14
SAL10575,124,25,6,0,0,0,0,156
SAL10576,14,0,0,0,0,0,0,14
SAL10577,47,4,3,0,0,0,4,59
SAL10578,6,0,0,0,0,0,0,6
SAL10579,0,0,0,0,0,0,0,0
SAL10580,29,6,0,0,0,0,0,36
SAL10581,17,0,0,0,0,0,0,25
SAL10582,4,0,0,0,0,0,0,9
SAL10583,5,0,0,0,0,0,0,6
SAL10584,0,0,0,0,0,0,0,0
SAL10585,4,0,0,0,0,0,0,4
SAL10586,39,5,5,0,0,0,4,47
SAL10587,50,10,4,0,0,0,4,68
SAL10588,40,0,0,0,0,0,0,40
SAL10589,1064,225,100,21,0,0,13,1432
SAL10590,8,0,0,0,0,0,0,18
SAL10591,804,58,16,0,0,0,3,878
SAL10592,7,0,0,0,0,0,0,5
SAL10593,17,0,0,0,0,0,0,21
SAL10594,0,0,0,0,0,0,0,0
SAL10595,25,8,0,0,0,0,0,32
SAL10596,78,20,4,0,0,0,0,95
SAL10597,4,0,0,0,0,0,0,4
SAL10598,313,37,16,4,0,0,4,364
SAL10599,6,0,0,0,0,0,0,6
SAL10600,13,0,0,0,0,0,0,16
SAL10601,0,0,0,0,0,0,0,3
SAL10602,7,0,0,0,0,0,0,6
SAL10603,17,5,0,0,0,0,0,18
SAL10604,5,0,0,0,0,0,0,10
SAL10605,154,22,10,0,0,0,0,179
SAL10606,43,5,0,0,0,0,0,53
SAL10607,15,0,0,0,0,0,0,20
SAL10608,0,0,0,0,0,0,0,0
SAL10609,35,7,0,0,0,0,0,40
SAL10610,20,3,0,0,0,0,0,22
SAL10611,0,0,0,0,0,0,0,4
SAL10612,0,0,0,0,0,0,0,7
SAL10613,0,0,0,0,0,0,0,0
SAL10614,10,0,0,0,0,0,0,10
SAL10615,5,0,0,0,0,0,0,9
SAL10616,0,0,0,0,0,0,0,9
SAL10617,19,0,4,0,0,0,0,24
SAL10618,123,12,10,0,0,0,0,141
