SAL_CODE_2021,P_Oth_scs_15_19,P_Oth_scs_20_24,P_Oth_scs_25_34,P_Oth_scs_35_44,P_Oth_scs_45_54,P_Oth_scs_55_64,P_Oth_scs_65_74,P_Oth_scs_75_84,P_Oth_scs_85ov,P_Oth_scs_Tot,P_ID_NS_15_19,P_ID_NS_20_24,P_ID_NS_25_34,P_ID_NS_35_44,P_ID_NS_45_54,P_ID_NS_55_64,P_ID_NS_65_74,P_ID_NS_75_84,P_ID_NS_85ov,P_ID_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
SAL10011,3,0,5,0,4,0,0,0,0,13,0,0,5,0,0,0,0,0,0,11,11,16,41,28,47,19,3,0,0,170
SAL10012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,4,0,0,0,0,17
SAL10013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,11
SAL10014,0,9,10,18,23,14,4,0,0,72,0,9,24,23,20,12,3,0,0,93,103,161,389,562,450,276,49,4,0,1989
SAL10015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,7,17,18,36,39,12,7,0,134
SAL10016,3,10,23,19,17,16,8,0,0,101,6,16,23,32,8,8,0,0,0,101,204,466,893,712,636,476,85,6,0,3486
SAL10017,10,7,22,30,21,10,6,0,0,99,4,7,20,19,3,7,0,0,0,62,198,221,527,753,689,364,93,17,5,2860
SAL10018,0,0,4,4,5,3,3,0,0,15,0,3,4,0,8,7,3,0,0,25,25,22,70,72,89,103,26,7,0,421
SAL10019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,10,6,12,6,0,0,42
SAL10020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,11
SAL10021,4,3,5,7,3,0,0,0,0,21,0,6,3,6,0,4,0,0,0,16,45,49,88,83,128,85,23,3,0,506
SAL10022,0,0,12,7,3,0,4,0,0,23,9,14,11,14,8,9,0,0,0,73,55,74,208,186,118,63,20,3,0,725
SAL10023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,11,3,9,17,0,0,0,48
SAL10024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,7,6,9,12,4,0,3,41
SAL10025,32,40,69,54,69,40,11,0,0,311,11,19,65,42,41,27,6,0,0,215,530,696,1530,1437,1500,1060,170,17,0,6936
SAL10026,5,12,33,23,20,20,7,0,0,118,8,16,36,27,26,14,0,4,0,121,172,307,707,567,554,514,100,9,0,2929
SAL10027,0,9,12,12,18,14,7,0,0,67,6,9,19,10,26,12,6,0,0,84,167,216,470,463,553,407,218,27,4,2529
SAL10028,0,0,5,3,0,0,4,0,0,18,0,0,0,0,0,3,0,0,0,6,20,18,51,61,46,66,28,5,0,293
SAL10029,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,3,0,0,3,7,4,22,4,8,25,10,4,0,82
SAL10030,0,6,59,46,33,10,3,0,0,156,3,26,109,71,32,14,3,0,0,262,72,444,2710,1830,1051,511,117,8,0,6742
SAL10031,4,10,10,8,14,20,0,0,0,71,5,8,17,8,17,19,8,0,0,72,85,160,274,272,327,408,93,7,0,1622
SAL10032,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,6,8,4,12,9,11,4,0,0,57
SAL10033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL10034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,8,13,7,4,0,0,0,35
SAL10035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,8,13,8,8,0,0,49
SAL10036,8,19,28,26,33,10,8,0,0,130,7,11,19,39,59,21,3,0,0,155,211,309,421,828,1065,597,166,10,0,3599
SAL10037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,12,13,0,0,0,41
SAL10038,0,9,13,11,9,9,7,0,0,65,4,11,47,36,15,13,9,0,0,133,62,282,833,569,421,358,109,11,0,2651
SAL10039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,5,4,13,11,0,0,0,31
SAL10040,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,11,5,6,11,12,16,5,0,0,64
SAL10041,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,5,5,4,13,16,29,16,9,0,0,85
SAL10042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,10,4,0,0,25
SAL10043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,9,8,5,0,29
SAL10044,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,4,0,13,9,19,17,8,0,0,75
SAL10045,0,4,4,0,0,4,0,0,0,7,0,0,0,0,0,3,3,0,0,6,12,11,23,31,60,75,18,0,0,236
SAL10046,9,8,23,14,21,21,10,0,0,108,9,8,7,15,22,15,7,4,0,88,186,154,381,469,555,534,151,34,0,2461
SAL10047,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,6,0,9,12,6,6,5,0,0,42
SAL10048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,5,3,8,3,0,0,0,21
SAL10049,4,9,29,24,11,24,5,0,0,102,5,13,33,36,24,21,3,0,0,134,147,269,599,575,471,446,84,5,0,2605
SAL10050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,4,0,11
SAL10051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,6,0,0,0,7
SAL10052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,7,8,0,0,0,21
SAL10053,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,7,0,0,9,8,3,9,0,0,0,24
SAL10054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,8,8,4,0,0,25
SAL10055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,11,8,9,4,0,0,37
SAL10056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,12,10,18,15,6,0,0,81
SAL10057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,0,0,0,10
SAL10058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,3,0,0,16
SAL10059,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,5,3,11,14,15,20,14,0,0,87
SAL10060,0,0,0,0,0,0,4,0,0,4,0,0,4,0,3,0,0,0,0,15,11,20,24,22,47,32,9,0,0,158
SAL10061,4,3,19,13,21,14,0,0,0,71,3,0,14,17,13,9,5,0,0,64,129,132,271,273,379,353,81,19,0,1633
SAL10062,0,8,40,42,30,20,12,0,0,152,7,18,54,49,37,33,5,0,0,196,142,400,1327,1349,1190,714,249,26,3,5403
SAL10063,3,6,4,4,7,3,3,0,0,39,6,3,10,3,10,4,3,0,0,39,57,98,94,135,175,138,55,6,0,760
SAL10064,8,8,12,12,12,3,0,0,0,55,0,7,25,20,12,7,0,0,0,71,108,134,360,428,305,196,38,6,0,1559
SAL10065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,0,0,0,27
SAL10066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,3,6,0,0,0,21
SAL10067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,3,3,0,0,11
SAL10068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,8,0,4,3,7,9,13,10,0,0,52
SAL10069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,6
SAL10070,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,12,6,3,19,25,39,56,14,0,0,169
SAL10071,0,0,0,0,0,0,0,0,0,0,5,0,0,0,6,0,0,0,0,8,3,5,11,11,26,26,10,4,0,95
SAL10072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3
SAL10073,4,4,6,3,16,14,0,0,0,50,0,0,3,3,17,6,4,0,0,27,51,58,96,108,176,167,69,13,0,743
SAL10074,0,4,0,6,6,4,0,0,0,18,4,6,7,4,7,9,0,0,0,42,38,65,109,117,163,142,25,0,0,669
SAL10075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,4,0,0,5,4,0,7,3,0,0,20
SAL10076,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,6,4,12,10,24,17,12,9,6,94
SAL10077,0,0,0,4,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,8,9,10,25,17,35,50,7,3,0,157
SAL10078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,11
SAL10079,0,6,10,8,6,4,0,0,0,35,0,0,7,4,6,14,0,0,0,31,38,58,137,139,101,88,15,0,0,585
SAL10080,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,3,4,12,12,7,12,25,7,4,0,79
SAL10081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,5
SAL10082,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,3,4,0,0,13,4,10,12,38,37,42,37,5,0,176
SAL10083,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,3,0,6,3,0,4,0,4,0,0,23
SAL10084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,12
SAL10085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,3,8,17,18,19,7,0,0,68
SAL10086,27,29,93,60,60,61,12,4,0,348,27,31,62,62,52,34,17,11,0,295,765,1122,2290,1955,1871,1746,556,92,11,10396
SAL10087,7,13,54,30,29,18,6,0,0,161,5,32,103,52,33,16,3,0,0,251,141,486,1959,1340,852,560,130,10,0,5480
SAL10088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
SAL10089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,8,6,16,42,24,29,29,15,3,0,163
SAL10090,0,0,0,0,0,0,0,0,0,12,0,4,0,0,0,0,0,0,0,8,22,24,34,62,74,66,20,0,0,305
SAL10091,0,9,37,21,12,21,15,0,0,114,5,6,43,69,32,21,15,0,0,189,110,357,1203,1540,945,518,192,21,4,4888
SAL10092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,4,6,4,4,0,0,0,23
SAL10093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,7,0,0,0,21
SAL10094,0,0,5,14,17,13,7,0,0,61,8,10,6,13,18,16,4,0,0,72,83,147,196,321,428,330,86,7,0,1601
SAL10095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,4,9,13,26,21,12,0,0,88
SAL10096,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,9,4,7,17,33,29,5,0,0,110
SAL10097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,9,0,0,0,11
SAL10098,0,4,0,10,5,4,0,0,0,33,0,15,14,26,11,16,0,0,0,88,47,122,186,171,151,147,19,0,0,837
SAL10099,0,29,95,74,57,51,13,0,0,323,3,57,229,108,75,40,23,7,0,545,218,1260,4048,2737,1859,1383,387,29,5,11925
SAL10100,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,3,0,0,15,14,13,20,28,56,65,24,3,4,219
SAL10101,0,7,5,0,0,0,0,0,0,11,0,0,3,0,5,4,0,0,0,3,13,14,44,21,35,39,5,0,0,178
SAL10102,3,3,17,13,6,10,8,0,0,61,4,16,20,10,26,10,5,0,0,90,92,175,264,237,236,217,70,6,0,1295
SAL10103,3,18,21,11,10,19,3,0,0,92,8,3,24,20,11,11,0,0,0,71,214,208,405,502,563,408,82,8,0,2396
SAL10104,4,9,27,17,20,15,0,0,0,95,4,4,35,34,31,12,6,0,0,124,105,250,769,1010,633,370,108,8,4,3266
SAL10105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,3,0,7,7,0,27
SAL10106,0,0,4,4,0,0,0,0,0,10,0,4,0,4,4,3,0,0,0,22,13,15,54,61,64,51,20,3,0,278
SAL10107,5,49,96,57,52,38,9,3,0,312,34,233,482,234,183,135,31,0,0,1335,353,2422,4703,2556,1649,1315,287,21,0,13300
SAL10108,0,0,0,0,5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,5,5,0,13,18,17,9,3,0,67
SAL10109,0,10,3,6,7,11,0,0,0,39,0,0,6,6,8,3,5,0,0,33,67,72,219,295,312,271,74,3,0,1313
SAL10110,0,15,33,27,12,3,5,0,0,101,0,15,69,47,24,16,6,4,0,179,92,264,1092,818,399,220,52,6,0,2950
SAL10111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,7,4,8,26,18,7,0,0,77
SAL10112,12,18,18,30,38,29,9,0,0,155,13,14,30,61,49,47,12,0,0,233,321,407,498,909,1233,1127,407,49,3,4965
SAL10113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,6,0,0,0,0,10
SAL10114,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,4,0,0,0,7,10,6,10,13,18,34,17,3,0,110
SAL10115,5,5,13,14,9,19,0,0,0,66,10,9,13,15,27,8,3,0,0,75,204,177,251,483,633,437,120,17,0,2309
SAL10116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL10117,0,5,9,10,8,5,0,0,0,35,0,0,5,8,8,8,0,0,0,34,35,69,201,144,141,153,26,4,0,774
SAL10118,0,0,0,0,3,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,17,0,9,8,33,21,3,0,0,95
SAL10119,0,0,0,3,6,0,0,0,0,5,0,0,0,0,0,0,0,0,0,6,17,27,35,27,55,42,7,0,0,215
SAL10120,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,5,16,21,14,28,28,9,0,0,115
SAL10121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,5,15,13,7,18,9,0,0,70
SAL10122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,4,0,6
SAL10123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL10124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,9,3,0,0,0,22
SAL10125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,9
SAL10126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,7
SAL10127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3
SAL10128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL10129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,14
SAL10130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,3,5,13,7,4,16,0,4,0,47
SAL10131,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,13,9,7,14,16,20,13,9,0,0,79
SAL10132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,5,0,0,8
SAL10133,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,12,16,15,4,7,0,0,53
SAL10134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
SAL10135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,5,8,6,12,6,0,0,31
SAL10136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,3,0,0,0,18
SAL10137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,6,5,10,0,0,0,23
SAL10138,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,4,3,5,3,7,0,0,17
SAL10139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,12,5,7,0,0,32
SAL10140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,12
SAL10141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,6
SAL10142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,12
SAL10143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,3,3,12,3,0,0,29
SAL10144,5,5,5,8,0,0,0,0,0,18,0,0,4,3,4,0,0,0,0,8,17,22,57,71,72,47,11,0,0,292
SAL10145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,7,3,3,18,18,3,0,4,56
SAL10146,0,3,0,3,9,0,0,0,0,23,0,3,8,3,8,9,0,0,0,24,30,38,81,84,97,64,18,9,0,424
SAL10147,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,6,6,7,5,11,0,6,0,0,0,28
SAL10148,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,12,10,28,33,45,31,6,3,0,168
SAL10149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,5,0,0,12
SAL10150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
SAL10151,0,0,0,0,6,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3,7,10,9,5,0,0,31
SAL10152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,7,4,3,8,7,0,0,40
SAL10153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,3,4,0,0,18
SAL10154,3,4,29,15,26,21,4,0,0,105,9,11,45,46,42,21,7,4,0,183,207,288,733,1041,1079,666,200,36,3,4250
SAL10155,0,3,7,10,21,8,0,0,0,43,6,4,10,21,17,12,4,0,0,73,104,126,109,301,570,344,91,18,3,1678
SAL10156,6,8,19,23,14,14,3,3,0,87,9,8,24,16,17,14,4,0,0,91,153,246,502,604,552,446,113,11,0,2635
SAL10157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,5,0,0,0,0,0,12
SAL10158,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,6,0,0,0,4,4,0,6,7,17,18,0,4,5,64
SAL10159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
SAL10160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,5,13,14,11,13,0,0,60
SAL10161,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,9,8,9,10,10,17,9,0,0,52
SAL10162,0,3,0,0,0,0,5,0,0,5,0,0,4,0,0,0,0,0,0,3,3,3,28,16,25,28,12,5,0,120
SAL10163,10,11,30,32,36,27,8,0,0,160,11,11,33,23,24,20,7,5,0,129,195,298,642,704,711,700,245,27,5,3527
SAL10164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL10165,4,11,28,26,35,32,11,4,0,150,0,6,43,59,58,26,10,4,0,214,119,296,1098,1489,1398,910,350,63,0,5711
SAL10166,0,3,5,4,6,0,3,0,0,15,0,6,8,10,11,5,0,0,0,31,21,53,175,210,262,175,73,14,0,983
SAL10167,0,0,0,0,8,4,0,0,0,20,0,0,0,5,0,3,0,0,0,15,25,20,58,60,98,72,25,0,0,367
SAL10168,0,0,0,0,4,3,0,0,0,8,0,0,0,0,4,0,0,0,0,4,19,28,38,40,62,62,16,0,0,260
SAL10169,0,0,0,6,4,4,0,0,0,16,0,3,5,5,0,0,4,0,0,17,27,42,89,72,110,128,52,5,0,520
SAL10170,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,6,0,3,8,0,0,0,21
SAL10171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL10172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,12,13,17,3,6,0,68
SAL10173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3
SAL10174,5,3,5,0,5,4,3,0,0,14,4,0,7,4,6,7,0,0,0,23,38,29,51,85,84,84,21,6,0,395
SAL10175,0,4,4,12,14,4,3,0,0,48,0,4,13,29,18,8,4,0,0,77,75,74,213,332,329,201,66,14,0,1319
SAL10176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,4,3,8,6,0,0,25
SAL10177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,4,4,21,21,12,4,4,0,68
SAL10178,6,0,18,21,26,16,3,0,0,97,5,9,12,25,23,12,12,0,0,94,188,256,357,649,609,493,200,13,0,2772
SAL10179,0,4,6,16,9,3,0,0,0,42,0,7,16,9,7,12,3,0,0,60,55,123,332,351,336,206,53,12,0,1478
SAL10180,0,0,4,3,0,0,0,0,0,11,0,0,0,3,4,0,0,0,0,6,4,28,133,73,35,14,3,0,0,284
SAL10181,6,56,151,105,86,60,20,0,0,485,17,82,277,170,136,128,24,4,0,840,328,1269,3465,2601,1939,1509,338,23,0,11469
SAL10182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SAL10183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,13,10,3,0,0,23
SAL10184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,10,15,12,18,11,12,0,78
SAL10185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,13
SAL10186,15,30,42,49,56,44,25,0,0,267,15,23,62,44,39,46,17,6,0,248,530,573,1160,1276,1506,1311,357,45,4,6768
SAL10187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,14
SAL10188,4,0,0,0,6,0,0,0,0,14,0,8,3,3,10,0,0,3,0,28,38,100,164,99,157,112,32,10,0,718
SAL10189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,3,16,11,7,0,0,0,37
SAL10190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0,0,0,11
SAL10191,0,0,0,0,0,0,0,0,0,6,0,0,0,3,0,8,0,0,0,10,9,16,40,47,53,67,32,10,0,276
SAL10192,0,0,0,0,0,0,0,0,0,0,0,0,5,4,4,0,0,0,0,12,0,0,35,37,19,22,6,3,0,124
SAL10193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL10194,9,11,10,9,22,24,11,0,0,93,4,6,16,12,13,18,0,0,0,78,168,283,340,376,549,492,123,5,0,2332
SAL10195,0,7,21,16,8,6,0,0,0,61,7,19,47,49,12,13,3,0,0,145,53,195,832,989,337,153,30,6,0,2593
SAL10196,0,0,3,6,12,7,0,0,0,37,0,0,10,8,16,3,0,0,0,42,59,85,212,227,285,199,49,11,0,1131
SAL10197,0,0,9,0,15,0,0,0,0,28,0,3,9,16,13,16,5,0,0,56,38,80,175,251,233,162,46,4,0,986
SAL10198,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,12,9,28,31,50,56,23,5,3,214
SAL10199,0,7,17,19,22,12,5,0,0,82,9,14,15,19,25,15,0,6,0,99,152,195,349,427,487,350,97,13,0,2077
