SAL_CODE_2021,P_AdvDi_Di_AdvDi_AsDe_Mng,P_AdvDi_Di_AdvDi_AsDe_Pro,P_AdvDi_Di_AdvDi_AsDe_TTW,P_AdvDi_Di_AdvDi_AsDe_CPS,P_AdvDi_Di_AdvDi_AsDe_CA,P_AdvDi_Di_AdvDi_AsDe_Sal,P_AdvDi_Di_AdvDi_AsDe_MOD,P_AdvDi_Di_AdvDi_AsDe_Lab,P_AdvDi_Di_AdvDi_AsDe_IDNS,P_AdvDi_Di_AdvDi_AsDe_Tot,P_AdvDi_Di_Dip_Mng,P_AdvDi_Di_Dip_Pro,P_AdvDi_Di_Dip_TTW,P_AdvDi_Di_Dip_CPS,P_AdvDi_Di_Dip_CA,P_AdvDi_Di_Dip_Sal,P_AdvDi_Di_Dip_MOD,P_AdvDi_Di_Dip_Lab,P_AdvDi_Di_Dip_IDNS,P_AdvDi_Di_Dip_Tot,P_Cert_CertIII_IV_Mng,P_Cert_CertIII_IV_Pro,P_Cert_CertIII_IV_TTW,P_Cert_CertIII_IV_CPS,P_Cert_CertIII_IV_CA,P_Cert_CertIII_IV_Sal,P_Cert_CertIII_IV_MOD,P_Cert_CertIII_IV_Lab,P_Cert_CertIII_IV_IDNS,P_Cert_CertIII_IV_Tot,P_Cert_CertI_II_Mng,P_Cert_CertI_II_Pro,P_Cert_CertI_II_TTW,P_Cert_CertI_II_CPS,P_Cert_CertI_II_CA,P_Cert_CertI_II_Sal,P_Cert_CertI_II_MOD,P_Cert_CertI_II_Lab,P_Cert_CertI_II_IDNS,P_Cert_CertI_II_Tot,P_Cert_Cert_nfd_Mng,P_Cert_Cert_nfd_Pro,P_Cert_Cert_nfd_TTW,P_Cert_Cert_nfd_CPS,P_Cert_Cert_nfd_CA,P_Cert_Cert_nfd_Sal,P_Cert_Cert_nfd_MOD,P_Cert_Cert_nfd_Lab,P_Cert_Cert_nfd_IDNS,P_Cert_Cert_nfd_Tot,P_LE_ID_Mng,P_LE_ID_Pro,P_LE_ID_TTW,P_LE_ID_CPS,P_LE_ID_CA,P_LE_ID_Sal,P_LE_ID_MOD,P_LE_ID_Lab,P_LE_ID_IDNS,P_LE_ID_Tot,P_LE_NS_Mng,P_LE_NS_Pro,P_LE_NS_TTW,P_LE_NS_CPS,P_LE_NS_CA,P_LE_NS_Sal,P_LE_NS_MOD,P_LE_NS_Lab,P_LE_NS_IDNS,P_LE_NS_Tot,P_Tot_Mng,P_Tot_Pro,P_Tot_TTW,P_Tot_CPS,P_Tot_CA,P_Tot_Sal,P_Tot_MOD,P_Tot_Lab,P_Tot_IDNS,P_Tot_Tot
SAL12426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL12427,0,0,0,3,3,0,0,0,0,10,0,0,0,5,0,0,0,0,0,8,7,0,14,8,7,3,5,0,5,45,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,19,22,17,15,12,3,8,6,4,107
SAL12428,14,8,4,4,8,3,0,0,0,43,14,9,3,19,13,6,5,0,0,71,54,9,91,15,29,9,19,25,8,250,0,0,5,0,4,0,0,0,0,14,9,0,3,6,10,5,3,3,0,33,0,0,0,0,7,0,0,0,0,8,0,4,0,0,0,0,0,0,6,12,135,133,115,63,92,27,22,36,13,638
SAL12429,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,4,0,0,0,6,0,0,12,0,5,0,9,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,9,19,4,6,3,6,3,3,66
SAL12430,32,37,14,16,44,13,8,0,5,166,44,58,18,26,48,18,3,8,0,210,64,17,176,39,63,23,24,18,10,425,4,3,3,5,20,5,0,6,0,38,15,6,7,10,27,10,4,4,0,88,3,0,4,0,7,0,0,0,0,21,5,15,0,0,9,3,4,0,7,47,394,826,265,139,345,107,56,46,20,2196
SAL12431,11,14,14,16,20,4,15,10,0,94,26,25,20,54,43,18,15,9,3,226,32,30,140,72,39,13,48,36,10,424,0,0,4,0,11,6,3,4,4,30,4,5,8,9,6,0,6,12,0,51,0,3,0,0,4,5,3,0,0,14,0,7,3,3,6,0,10,9,7,61,145,340,226,215,201,76,137,100,43,1492
SAL12432,4,3,0,0,3,0,0,0,0,10,0,0,0,0,0,0,0,0,0,4,5,0,13,0,0,0,3,3,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,15,17,5,8,0,0,11,3,80
SAL12433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,7,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,11,7,0,6,0,0,0,0,32
SAL12434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,10
SAL12435,0,0,0,0,4,0,0,0,0,6,3,0,0,0,5,0,0,0,0,11,3,0,14,9,3,0,11,9,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,9,12,14,11,0,8,13,0,88
SAL12436,5,0,0,0,0,0,0,0,0,9,0,3,0,3,0,0,0,3,0,9,3,0,7,0,0,0,0,4,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,17,20,10,4,9,0,0,4,0,70
SAL12437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL12438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SAL12439,4,6,0,12,0,0,5,3,0,25,11,6,9,20,14,0,0,6,0,64,25,11,67,71,40,13,15,29,0,268,4,0,3,5,3,0,0,10,0,30,0,0,0,6,0,0,0,5,0,16,0,0,0,0,0,0,0,5,0,8,0,0,0,4,5,0,0,3,4,26,66,103,83,141,77,22,21,57,8,575
SAL12440,0,9,0,14,11,0,0,3,4,42,3,10,0,10,7,0,0,5,0,40,24,11,54,55,26,15,13,32,9,232,0,0,0,0,4,3,0,8,0,15,3,0,0,6,3,0,0,5,0,28,0,3,0,0,0,0,0,0,0,3,4,4,0,6,0,0,5,11,0,22,64,151,69,101,60,29,25,62,14,572
SAL12441,17,11,0,9,5,0,0,0,0,41,8,12,3,11,9,3,3,0,0,45,23,3,59,9,18,8,7,3,0,133,0,0,0,5,0,0,0,0,0,3,3,0,0,3,4,0,0,0,0,14,3,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,7,86,201,73,47,60,17,10,14,10,530
SAL12442,18,21,29,16,17,7,17,14,5,148,33,38,41,97,56,29,28,39,9,377,50,46,246,172,113,43,104,89,11,865,0,0,0,17,15,11,9,14,0,65,5,5,0,15,25,4,20,15,0,96,3,5,3,10,7,0,7,4,0,34,7,12,3,11,20,5,17,13,15,102,262,803,418,551,472,201,264,262,60,3295
SAL12443,9,16,8,17,14,0,3,0,0,68,35,25,19,43,39,3,0,7,3,169,49,22,183,62,76,36,44,37,8,518,6,0,6,0,7,7,0,4,0,34,11,3,0,4,12,0,0,3,0,38,0,4,0,9,0,0,3,0,0,20,3,0,0,0,7,0,3,0,3,21,170,374,242,175,216,64,57,54,15,1369
