SAL_CODE_2021,P_85y_ov_DNUDW,P_85y_ov_UDW_NS,P_85y_ov_Total,P_Tot_DUDW_LT_5_h,P_Tot_DUDW_5_14_h,P_Tot_DUDW_15_29_h,P_Tot_DUDW_30_h_mo,P_Tot_DNUDW,P_Tot_UDW_NS,P_Tot_Total
SAL10042,0,0,0,7,16,5,11,15,0,50
SAL10043,0,0,0,12,13,0,0,4,7,46
SAL10044,0,0,0,32,42,18,10,10,0,123
SAL10045,0,0,6,63,133,67,41,51,21,372
SAL10046,150,52,358,936,1408,770,514,1059,289,4973
SAL10047,4,0,7,11,13,12,13,20,3,70
SAL10048,0,0,0,0,9,6,5,8,6,26
SAL10049,26,3,42,891,1234,553,604,1871,458,5605
SAL10050,0,0,0,4,9,4,3,3,11,33
SAL10051,0,0,0,0,0,0,0,0,0,7
SAL10052,0,0,0,4,13,0,4,8,0,32
SAL10053,0,0,0,13,7,11,3,8,4,47
SAL10054,0,0,0,9,12,5,0,17,0,40
SAL10055,0,0,4,11,18,15,5,6,8,54
SAL10056,0,0,0,36,39,23,17,24,8,149
SAL10057,0,0,0,9,10,7,3,5,6,31
SAL10058,0,0,3,6,14,3,9,25,14,74
SAL10059,0,0,8,32,62,29,21,25,0,169
SAL10060,3,0,3,49,73,34,45,88,32,326
SAL10061,27,14,82,632,989,469,396,880,226,3589
SAL10062,77,12,133,1832,2970,1026,485,1174,474,7967
SAL10063,13,3,27,262,325,187,167,267,44,1247
SAL10064,14,0,23,436,673,294,275,531,110,2328
SAL10065,0,0,0,6,11,5,3,13,3,37
SAL10066,0,0,0,3,15,0,3,7,0,30
SAL10067,0,0,0,3,5,5,0,0,0,13
SAL10068,0,0,0,18,30,7,18,17,12,95
SAL10069,0,0,0,0,5,0,4,4,5,13
SAL10070,10,3,19,67,136,71,46,67,19,403
SAL10071,0,0,3,19,78,30,24,21,8,180
SAL10072,0,0,0,0,0,0,0,0,0,4
SAL10073,11,0,28,239,397,203,148,182,58,1227
SAL10074,13,3,32,230,377,167,119,245,53,1191
SAL10075,0,0,0,6,4,5,7,12,17,53
SAL10076,0,0,7,46,40,22,25,17,13,159
SAL10077,10,0,16,56,99,53,42,123,27,401
SAL10078,0,0,0,0,5,0,0,7,0,18
SAL10079,17,6,36,226,289,126,102,335,62,1131
SAL10080,0,0,0,28,36,25,30,30,27,169
SAL10081,0,0,0,0,3,0,0,0,3,10
SAL10082,3,0,14,67,81,44,61,65,30,359
SAL10083,0,0,0,6,3,3,0,7,0,26
SAL10084,0,0,0,0,5,0,5,0,4,18
SAL10085,0,0,0,14,30,17,10,30,24,130
SAL10086,212,114,599,3749,5691,2441,1420,4375,2024,19697
SAL10087,98,72,246,1824,2312,934,687,3346,1039,10131
SAL10088,0,0,0,3,0,0,0,0,3,6
SAL10089,15,3,29,85,128,74,55,194,44,576
SAL10090,7,3,13,113,171,71,48,101,18,514
SAL10091,61,10,156,1700,2263,1014,568,1678,330,7564
SAL10092,0,0,0,8,12,4,3,6,3,38
SAL10093,0,0,0,5,7,3,0,3,9,34
SAL10094,33,0,66,563,813,410,255,642,84,2774
SAL10095,0,0,4,27,81,52,45,47,31,280
SAL10096,0,0,3,32,68,56,28,42,26,254
SAL10097,0,0,0,5,7,0,4,6,0,18
SAL10098,32,9,53,364,356,185,254,1235,337,2734
SAL10099,587,38,816,3937,5581,2042,1268,6507,985,20315
SAL10100,18,0,24,60,125,65,67,204,48,560
SAL10101,0,0,0,55,57,24,30,48,47,269
SAL10102,72,15,108,458,607,289,215,1091,305,2962
SAL10103,27,5,56,782,1088,530,349,764,111,3632
SAL10104,25,3,69,951,1438,716,449,1143,154,4847
SAL10105,0,0,0,10,14,3,11,12,0,56
SAL10106,5,0,5,85,99,70,45,110,26,433
SAL10107,309,102,515,4274,4761,2193,2414,15405,3427,32463
SAL10108,0,0,4,17,23,17,19,11,0,97
SAL10109,17,3,38,439,760,434,221,278,44,2173
SAL10110,25,98,140,756,1057,504,547,1737,505,5106
SAL10111,5,0,3,20,31,19,21,30,19,135
SAL10112,89,66,292,1802,2767,1340,842,1322,331,8414
SAL10113,0,0,0,0,13,5,10,4,3,31
SAL10114,0,0,0,39,63,28,18,27,13,184
SAL10115,15,5,54,803,1185,631,413,578,132,3728
SAL10116,0,0,0,0,0,0,0,0,0,0
SAL10117,6,0,15,249,387,187,145,353,69,1391
SAL10118,0,0,0,35,44,21,15,7,9,123
SAL10119,5,0,8,64,87,54,40,78,17,344
SAL10120,4,0,4,27,63,18,18,37,9,178
SAL10121,3,0,3,20,26,18,12,36,17,134
SAL10122,0,0,0,0,0,0,0,7,0,14
SAL10123,0,0,0,0,4,0,0,0,0,4
SAL10124,0,0,0,13,8,0,4,3,5,33
SAL10125,0,0,0,6,0,0,0,5,0,13
SAL10126,0,0,0,5,8,0,0,6,5,22
SAL10127,0,0,0,0,3,0,0,0,0,7
SAL10128,0,0,0,0,4,0,0,0,0,4
SAL10129,0,0,0,6,10,3,4,3,3,21
SAL10130,0,0,0,14,27,16,12,12,6,78
SAL10131,0,0,4,23,32,26,16,24,14,130
SAL10132,0,0,0,4,4,0,0,0,4,18
SAL10133,0,0,6,19,34,3,18,41,20,134
SAL10134,0,0,0,0,0,0,0,7,0,10
SAL10135,0,0,0,3,20,22,3,11,17,80
SAL10136,0,0,0,5,5,0,0,8,6,22
SAL10137,0,0,0,9,7,7,8,0,4,42
SAL10138,0,0,0,3,6,8,5,6,7,35
SAL10139,0,0,0,5,12,10,3,11,10,52
SAL10140,0,0,0,8,15,8,6,5,0,34
SAL10141,0,0,0,0,8,3,0,0,9,18
SAL10142,0,0,0,0,3,0,0,6,0,13
SAL10143,0,0,0,8,14,7,0,16,3,54
SAL10144,4,0,11,74,144,65,47,98,17,449
SAL10145,4,0,5,19,42,16,12,10,5,107
SAL10146,9,5,17,141,222,133,76,219,26,822
SAL10147,0,0,0,9,8,5,4,6,0,34
SAL10148,0,0,3,42,94,51,33,32,8,254
SAL10149,0,0,0,6,0,0,0,0,0,15
SAL10150,0,0,0,0,0,0,3,4,6,13
SAL10151,0,0,0,10,15,12,0,10,3,53
SAL10152,0,0,0,8,21,4,3,13,0,52
SAL10153,0,0,0,8,10,0,3,4,14,42
SAL10154,59,7,161,1500,2149,960,520,1123,196,6453
SAL10155,30,0,87,665,869,443,273,387,60,2693
SAL10156,56,9,128,942,1363,705,500,984,175,4671
SAL10157,0,0,0,0,7,0,3,3,0,14
SAL10158,0,0,5,15,31,14,14,13,19,114
SAL10159,0,0,0,4,3,0,4,4,0,23
SAL10160,0,0,0,18,34,7,25,16,31,131
SAL10161,0,0,0,13,24,12,8,16,3,82
SAL10162,0,0,5,31,67,20,18,30,29,194
SAL10163,491,178,900,1526,2164,990,636,2525,738,8576
SAL10164,0,0,0,0,0,0,0,0,0,3
SAL10165,47,20,136,1974,3150,1204,574,1378,381,8653
SAL10166,16,7,33,388,583,233,110,230,93,1636
SAL10167,10,0,11,126,172,100,50,149,21,609
SAL10168,0,0,4,82,115,56,39,65,27,394
SAL10169,19,12,44,147,224,117,95,270,143,1012
SAL10170,0,0,0,7,5,11,6,4,0,36
SAL10171,0,0,0,0,0,0,0,0,0,0
SAL10172,0,0,4,26,27,14,33,13,0,111
SAL10173,0,0,0,0,0,0,3,4,0,3
SAL10174,5,0,15,105,210,112,89,120,29,668
SAL10175,43,5,63,395,703,297,200,337,206,2135
SAL10176,0,4,4,5,8,4,7,10,3,35
SAL10177,4,0,6,15,31,10,11,21,4,94
SAL10178,75,41,155,889,1371,761,433,874,135,4463
SAL10179,36,8,76,502,674,329,214,866,134,2718
SAL10180,0,0,0,86,105,28,22,120,83,447
SAL10181,348,146,627,3799,4500,2195,2298,12361,2679,27836
SAL10182,0,0,0,0,0,0,0,0,0,5
SAL10183,0,0,0,14,13,8,9,9,0,44
SAL10184,0,0,4,22,31,19,12,22,12,115
SAL10185,0,0,0,4,6,3,6,0,0,16
SAL10186,511,102,936,2630,3626,1919,1204,3818,761,13957
SAL10187,0,0,0,8,3,6,6,6,0,28
SAL10188,8,0,15,303,346,138,74,205,69,1130
SAL10189,0,0,4,8,34,15,16,8,28,112
SAL10190,0,0,0,4,4,5,0,0,0,20
SAL10191,15,5,36,102,127,60,56,205,92,639
SAL10192,0,0,0,38,55,23,6,44,36,209
SAL10193,0,0,0,0,0,0,0,0,0,0
SAL10194,46,0,63,775,1029,524,299,694,64,3382
SAL10195,10,0,8,559,863,444,440,1422,220,3951
SAL10196,27,0,59,377,554,247,235,467,59,1940
SAL10197,14,4,52,373,482,261,140,549,104,1908
SAL10198,9,0,17,68,81,47,48,104,34,382
SAL10199,38,7,78,643,989,513,430,857,166,3602
SAL10200,56,14,102,220,343,171,158,380,98,1363
SAL10201,0,0,0,0,0,0,0,0,0,0
SAL10202,0,0,0,26,50,38,18,13,10,155
SAL10203,3,0,7,57,67,42,41,91,29,325
SAL10204,0,0,0,0,0,0,0,0,0,0
SAL10205,3,0,14,281,426,171,130,378,35,1416
SAL10206,18,3,40,300,420,224,172,355,112,1586
SAL10207,39,11,62,148,278,136,128,356,99,1150
SAL10208,64,13,135,838,1241,598,510,1460,257,4907
SAL10209,8,4,14,117,154,80,55,167,37,614
SAL10210,0,0,0,10,33,14,22,30,10,122
SAL10211,0,0,4,16,27,11,10,20,3,91
SAL10212,0,0,0,0,3,0,0,3,0,11
SAL10213,0,0,0,0,0,0,0,0,0,0
SAL10214,0,0,4,26,69,33,22,14,16,179
SAL10215,0,0,0,5,3,3,3,4,3,15
SAL10216,0,0,0,4,6,0,4,7,4,28
SAL10217,5,3,8,64,88,67,47,58,24,339
SAL10218,0,0,0,0,0,0,0,0,0,0
SAL10219,0,0,0,25,38,16,11,27,11,124
SAL10220,0,0,0,0,0,0,0,0,3,3
SAL10221,5,0,6,19,22,19,6,23,17,106
SAL10222,0,0,0,0,0,0,0,10,7,15
SAL10223,40,0,57,211,349,184,141,353,81,1322
SAL10224,107,53,239,1069,1318,703,727,3118,865,7798
SAL10225,0,0,0,0,0,0,0,4,0,5
SAL10226,0,0,0,10,20,16,6,10,10,82
SAL10227,301,165,616,1822,2708,1377,977,2504,724,10112
SAL10228,67,3,94,260,402,214,149,515,135,1684
SAL10229,33,7,71,224,326,123,96,470,151,1394
SAL10230,0,0,0,0,12,6,3,4,8,37
SAL10231,181,23,304,1188,1720,650,393,1753,405,6108
SAL10232,27,0,45,167,286,129,103,293,84,1062
SAL10233,419,34,693,5677,8451,4469,3115,6737,853,29310
SAL10234,0,0,6,39,66,45,31,30,15,216
SAL10235,3,0,11,130,220,120,90,103,54,719
SAL10236,0,0,0,0,0,0,0,0,0,0
SAL10237,161,40,305,686,913,506,286,763,201,3345
SAL10238,61,16,162,1435,1854,947,543,1241,210,6234
SAL10239,3,0,3,299,377,90,50,170,31,1019
SAL10240,0,0,0,5,15,9,7,8,6,52
SAL10241,0,0,0,10,17,14,11,3,0,50
SAL10242,0,0,4,19,25,27,22,16,7,106
SAL10243,25,7,48,1573,2038,961,672,1638,129,7012
SAL10244,0,0,0,19,20,9,13,27,3,93
SAL10245,0,0,4,42,50,27,17,26,11,159
SAL10246,0,0,0,0,10,3,11,12,0,39
SAL10247,0,0,4,19,26,15,7,15,13,95
SAL10248,6,0,17,147,206,124,90,119,40,711
SAL10249,87,59,292,1756,2532,1376,865,1422,337,8286
SAL10250,0,0,0,0,0,0,0,0,0,0
SAL10251,0,0,4,58,72,37,20,70,15,282
SAL10252,0,0,0,8,5,0,5,7,0,26
SAL10253,55,72,198,738,1054,542,419,935,372,4061
SAL10254,0,0,3,22,32,12,12,11,7,91
SAL10255,0,0,0,4,0,4,7,0,4,18
SAL10256,0,0,0,15,30,19,13,25,5,109
SAL10257,81,8,159,934,1123,630,523,1832,275,5309
SAL10258,0,0,0,25,48,34,18,12,12,143
SAL10259,0,0,0,0,0,0,8,0,0,11
SAL10260,0,0,3,20,28,16,8,10,8,89
SAL10261,0,0,0,83,129,86,54,77,29,463
SAL10262,0,0,0,4,11,10,9,3,3,33
SAL10263,38,0,79,1422,1850,1013,704,1670,185,6832
SAL10264,32,3,65,507,802,391,314,1012,281,3303
SAL10265,0,0,0,9,32,15,10,8,16,98
SAL10266,0,0,4,36,36,24,16,63,28,210
SAL10267,0,0,0,16,31,21,25,15,4,107
SAL10268,12,0,27,309,457,239,200,494,87,1796
SAL10269,4,4,15,130,176,82,70,164,20,650
SAL10270,3,0,9,29,75,55,42,41,28,274
SAL10271,75,14,177,2320,2631,991,603,1797,426,8772
SAL10272,0,0,0,11,14,10,9,23,8,67
SAL10273,31,27,99,550,965,507,320,489,276,3098
SAL10274,0,0,0,22,25,16,9,17,12,93
SAL10275,0,0,0,0,14,3,6,0,5,21
SAL10276,127,71,323,1146,1712,810,514,1620,432,6232
SAL10277,121,20,205,1000,1533,684,452,1260,192,5124
SAL10278,11,3,23,177,256,108,65,268,44,919
SAL10279,157,88,348,1844,2312,1005,973,4235,1203,11563
SAL10280,0,0,0,34,55,19,28,44,35,219
SAL10281,0,0,0,0,3,4,0,3,0,16
SAL10282,0,0,0,0,4,0,0,0,0,5
SAL10283,257,27,462,1487,2133,1125,637,1580,163,7125
SAL10284,4,0,9,84,134,72,66,92,42,495
SAL10285,0,0,0,7,14,12,15,5,6,66
SAL10286,0,0,0,15,34,13,6,13,8,99
SAL10287,0,0,0,19,43,17,12,49,17,147
SAL10288,3,0,3,14,27,19,17,17,9,107
SAL10289,11,5,19,73,93,60,46,91,46,409
SAL10290,0,0,0,33,21,19,18,24,14,130
SAL10291,0,0,6,22,56,33,34,42,9,196
SAL10292,0,0,0,15,15,22,9,7,10,84
SAL10293,0,0,0,13,15,7,10,17,40,96
SAL10294,0,0,0,5,3,0,0,5,0,7
SAL10295,0,0,0,0,5,0,0,0,0,0
SAL10296,0,0,0,5,15,13,6,13,4,53
SAL10297,6,0,20,368,622,343,229,342,51,1953
SAL10298,4,4,9,35,55,31,22,33,8,187
SAL10299,84,14,169,1208,1384,661,605,2980,546,7392
SAL10300,0,3,3,16,25,20,8,9,3,89
SAL10301,33,5,76,491,674,309,271,836,132,2715
SAL10302,0,0,0,19,46,32,15,29,13,155
SAL10303,120,27,220,1026,1375,687,633,2133,455,6313
SAL10304,78,87,213,1374,1977,913,670,1674,452,7063
SAL10305,3,0,8,148,218,88,149,215,1151,1964
SAL10306,0,0,0,0,0,0,0,0,0,0
SAL10307,28,12,72,276,470,267,189,265,153,1623
SAL10308,24,5,55,838,1247,634,403,567,68,3765
SAL10309,31,5,75,878,1384,768,433,610,74,4146
SAL10310,0,0,0,24,62,17,24,19,9,152
SAL10311,0,0,11,81,121,57,37,82,29,412
SAL10312,0,0,9,43,100,39,22,52,33,294
SAL10313,4,0,6,15,21,13,7,10,3,72
SAL10314,0,0,0,3,8,9,0,6,0,27
SAL10315,19,0,36,192,353,128,97,209,95,1080
SAL10316,0,0,0,5,6,3,6,4,3,29
SAL10317,12,33,70,185,249,137,136,248,130,1088
SAL10318,0,0,6,33,55,31,24,29,6,190
SAL10319,7,0,18,116,214,113,73,83,91,695
SAL10320,0,0,0,5,11,5,3,0,0,26
SAL10321,95,64,237,440,790,434,315,436,238,2649
SAL10322,0,0,0,18,16,9,14,15,3,71
SAL10323,0,0,0,0,8,9,6,0,3,29
SAL10324,0,0,4,27,46,23,21,49,6,166
SAL10325,0,0,0,10,9,7,7,13,0,53
SAL10326,0,0,0,14,23,11,13,21,10,95
SAL10327,0,0,0,19,39,15,19,23,7,125
SAL10328,0,0,0,8,5,0,9,7,14,35
SAL10329,83,50,155,400,504,286,179,637,152,2165
SAL10330,143,16,298,1604,2034,1057,837,2801,412,8752
SAL10331,0,0,3,6,26,5,16,15,3,69
SAL10332,0,0,4,70,122,59,50,68,51,425
SAL10333,417,236,798,2740,3669,1742,1389,5360,1208,16112
SAL10334,73,6,150,637,882,465,328,1040,174,3525
SAL10335,0,0,0,14,14,9,11,12,8,61
SAL10336,0,0,0,11,21,9,4,15,4,67
SAL10337,0,0,0,10,28,10,16,15,14,87
SAL10338,0,0,0,13,11,3,0,0,0,23
SAL10339,16,6,24,388,455,200,285,1317,424,3071
SAL10340,0,0,3,13,18,20,15,14,6,91
SAL10341,0,0,0,6,14,8,6,12,25,71
SAL10342,0,0,0,6,24,8,4,3,4,53
SAL10343,0,0,0,0,4,0,0,6,0,15
SAL10344,0,0,5,20,30,18,12,21,14,109
SAL10345,4,0,4,30,69,27,40,45,20,233
SAL10346,8,0,10,65,100,64,39,71,23,361
SAL10347,42,42,107,564,810,390,263,618,244,2884
SAL10348,0,0,8,125,133,56,35,76,53,480
SAL10349,0,0,5,43,78,34,22,25,6,216
SAL10350,27,3,70,631,970,490,319,427,82,2917
SAL10351,0,0,0,9,3,0,3,7,3,25
SAL10352,0,0,0,5,0,0,0,0,0,7
SAL10353,0,0,4,17,27,9,11,23,17,104
SAL10354,6,0,4,25,63,26,14,25,45,208
SAL10355,0,0,3,9,19,9,9,13,9,68
SAL10356,0,0,0,19,53,31,20,27,0,151
SAL10357,3,0,9,90,152,87,87,95,31,545
SAL10358,0,0,0,0,0,0,0,0,0,0
SAL10359,0,0,4,12,10,11,4,16,5,57
SAL10360,0,0,0,16,25,21,13,12,6,90
SAL10361,5,0,11,85,128,56,49,82,40,440
SAL10362,5,0,6,54,57,29,27,30,31,228
SAL10363,0,0,0,0,0,7,7,5,10,31
SAL10364,54,4,87,170,227,153,164,369,79,1167
SAL10365,0,0,0,3,7,3,3,8,11,32
SAL10366,0,0,3,22,50,44,35,17,27,190
SAL10367,0,0,0,3,8,7,0,8,6,29
SAL10368,0,0,6,17,13,13,16,37,19,117
SAL10369,0,4,10,60,84,46,24,35,30,284
SAL10370,0,0,7,24,57,29,20,22,20,171
SAL10371,0,0,6,96,131,73,60,129,78,567
SAL10372,0,0,0,24,28,6,10,16,0,93
SAL10373,12,4,37,641,1003,427,166,329,102,2664
SAL10374,0,0,0,7,14,3,6,6,0,36
SAL10375,0,0,0,12,14,6,6,7,4,48
SAL10376,25,4,48,512,539,165,128,724,188,2257
SAL10377,0,0,0,11,5,3,4,9,0,37
SAL10378,35,3,78,431,480,288,243,1072,175,2687
SAL10379,0,0,0,27,54,22,20,29,11,172
SAL10380,0,0,4,28,40,14,11,20,12,133
SAL10381,0,0,0,6,12,5,8,10,0,44
SAL10382,0,0,0,0,0,0,0,4,0,15
SAL10383,15,4,46,138,270,152,80,217,24,883
SAL10384,0,5,3,87,114,86,47,77,22,430
SAL10385,0,0,0,0,0,0,0,5,0,11
SAL10386,4,0,7,42,70,35,34,40,21,247
SAL10387,0,0,0,49,44,31,23,22,8,181
SAL10388,0,0,4,25,44,26,19,37,35,181
SAL10389,28,4,74,417,670,333,234,600,93,2337
SAL10390,28,5,58,540,713,331,303,762,111,2763
SAL10391,14,0,17,357,454,186,223,1022,417,2656
SAL10392,38,14,108,724,1318,696,423,622,253,4036
SAL10393,0,0,0,5,9,5,0,0,3,17
SAL10394,4,0,9,28,44,18,7,48,27,169
SAL10395,33,9,62,292,399,225,134,484,104,1633
SAL10396,556,124,960,6312,8313,4076,3773,15357,3291,41130
SAL10397,0,0,0,11,20,4,10,32,36,107
SAL10398,20,4,45,327,463,227,147,349,110,1630
SAL10399,9,0,15,420,559,237,197,730,106,2245
SAL10400,3,0,4,41,75,28,30,104,35,312
SAL10401,0,0,0,15,41,13,12,20,11,115
SAL10402,130,65,282,1142,1287,693,538,1505,321,5481
SAL10403,0,0,0,19,20,13,11,7,10,70
SAL10404,0,0,0,0,8,9,8,6,11,38
SAL10405,0,0,5,40,52,23,19,33,26,183
SAL10406,40,8,106,1249,1961,1013,664,879,168,5934
SAL10407,0,0,0,17,28,14,14,16,12,98
SAL10408,4,0,7,89,125,76,68,89,18,466
SAL10409,53,4,95,499,728,367,294,717,130,2732
SAL10410,20,6,41,1012,1410,572,477,1142,177,4788
SAL10411,0,0,3,35,32,25,12,19,16,138
SAL10412,0,0,0,0,0,0,0,0,0,3
SAL10413,14,0,41,190,255,115,89,225,60,942
SAL10414,43,4,75,965,1273,605,511,1451,208,5019
SAL10415,0,0,0,23,47,34,26,28,31,192
SAL10416,0,0,0,0,0,0,0,0,0,0
SAL10417,0,0,0,8,8,0,5,0,0,17
SAL10418,0,0,0,11,15,5,3,7,14,62
SAL10419,3,0,12,33,62,27,28,49,25,221
SAL10420,9,0,21,304,448,231,150,250,79,1466
SAL10421,63,10,112,813,1241,625,398,1021,166,4263
SAL10422,0,0,0,17,11,0,11,8,9,57
SAL10423,0,0,0,0,3,5,3,9,0,18
SAL10424,6,0,21,144,245,149,102,150,35,817
SAL10425,0,0,0,6,11,3,0,3,4,26
SAL10426,0,0,3,13,33,29,22,16,8,123
SAL10427,6,0,6,14,33,19,15,9,10,96
SAL10428,6,0,15,108,161,77,57,141,49,590
SAL10429,0,0,0,3,15,0,3,3,0,27
SAL10430,0,0,0,0,0,0,0,5,0,14
SAL10431,0,0,0,11,24,14,19,30,4,109
SAL10432,0,0,0,10,22,3,0,3,9,53
SAL10433,0,0,5,99,175,103,111,141,72,705
SAL10434,0,0,3,7,16,9,11,14,13,66
SAL10435,0,0,0,22,15,15,5,7,0,72
SAL10436,0,0,0,10,11,5,7,6,0,34
SAL10437,0,3,5,43,56,16,32,32,30,203
SAL10438,25,18,66,503,805,356,220,552,197,2622
SAL10439,4,0,4,6,12,6,12,17,16,71
SAL10440,7,4,9,90,89,68,61,245,249,797
SAL10441,21,11,50,161,202,100,93,263,164,986
SAL10442,0,0,0,0,0,0,0,0,0,0
SAL10443,0,0,0,22,39,21,23,23,50,176
SAL10444,3,0,4,10,16,9,7,7,8,67
SAL10445,0,0,4,3,9,6,3,6,0,29
SAL10446,0,0,0,10,22,7,11,16,8,68
SAL10447,0,0,0,13,22,7,10,14,9,75
SAL10448,38,12,69,284,422,240,164,515,115,1740
SAL10449,4,0,15,199,350,178,117,164,53,1061
SAL10450,15,0,29,496,880,429,267,446,61,2580
SAL10451,0,0,0,0,0,0,0,0,0,0
SAL10452,108,16,220,1038,1460,667,528,1547,388,5622
SAL10453,0,0,0,0,0,0,0,9,8,22
SAL10454,38,0,49,213,285,140,118,277,100,1132
SAL10455,0,0,0,20,29,19,20,11,18,115
SAL10456,0,0,9,91,109,61,47,50,16,376
SAL10457,0,0,4,28,47,14,15,31,4,148
SAL10458,5,0,9,50,45,40,40,65,21,257
SAL10459,0,0,0,11,16,7,3,8,8,44
SAL10460,0,0,0,0,17,3,0,9,3,32
SAL10461,7,3,8,32,72,43,46,86,16,301
SAL10462,76,22,185,2303,2717,771,401,2201,687,9091
SAL10463,46,48,152,2797,3105,812,398,2349,785,10253
SAL10464,0,0,0,0,0,0,0,0,0,0
SAL10465,96,38,255,2147,2522,854,424,2357,783,9096
SAL10466,44,9,85,658,864,472,359,788,162,3310
SAL10467,4,0,23,427,601,306,188,267,35,1817
SAL10468,22,3,68,532,777,410,252,543,85,2602
SAL10469,93,72,187,1178,1280,632,660,3610,555,7920
SAL10470,49,3,85,1021,1168,592,506,2524,277,6088
SAL10471,0,0,0,21,22,15,6,25,24,110
SAL10472,14,6,47,448,702,385,258,482,104,2375
SAL10473,0,0,0,19,33,24,5,29,8,114
SAL10474,0,0,0,15,22,6,7,13,30,95
SAL10475,24,8,45,212,346,153,133,304,90,1238
SAL10476,0,0,0,14,25,11,15,20,10,105
SAL10477,0,0,0,0,0,0,0,0,0,0
SAL10478,0,0,0,0,0,0,0,0,0,0
SAL10479,0,0,0,11,18,8,14,17,12,73
SAL10480,18,0,28,257,399,173,127,323,74,1348
SAL10481,0,0,0,4,5,0,4,0,3,20
SAL10482,0,0,0,18,21,10,8,11,5,75
SAL10483,0,0,0,0,0,0,0,0,0,0
SAL10484,0,0,0,14,24,15,7,18,8,81
SAL10485,0,0,0,55,113,60,32,53,27,344
SAL10486,0,0,0,11,17,9,3,11,5,58
SAL10487,0,0,5,33,15,10,21,28,67,172
SAL10488,0,0,0,3,3,0,0,4,0,14
SAL10489,0,0,0,5,7,9,9,6,0,35
SAL10490,0,0,0,8,7,8,3,5,7,41
SAL10491,0,0,0,4,0,0,5,3,6,19
SAL10492,0,0,4,20,33,15,12,32,13,121
SAL10493,20,96,150,213,321,146,128,318,264,1391
SAL10494,0,0,4,64,99,69,43,55,32,363
SAL10495,0,0,0,4,5,0,3,3,0,20
SAL10496,0,0,0,3,4,0,3,0,0,14
SAL10497,0,0,0,14,12,12,7,9,6,61
SAL10498,0,0,0,0,9,4,0,10,0,20
SAL10499,0,0,3,303,441,156,87,256,36,1284
SAL10500,0,0,0,6,6,8,4,9,0,30
SAL10501,38,14,66,268,354,173,151,365,242,1553
SAL10502,0,0,3,20,57,29,25,18,8,157
SAL10503,0,0,0,0,0,0,0,0,0,0
SAL10504,0,0,0,16,19,15,3,16,4,70
SAL10505,0,0,0,9,24,17,12,14,14,84
SAL10506,0,0,0,3,0,0,0,6,10,22
SAL10507,0,0,0,21,25,22,12,15,11,95
SAL10508,0,0,0,0,0,0,0,0,0,0
SAL10509,0,0,0,11,30,7,6,12,0,74
SAL10510,4,0,6,36,35,14,28,40,13,160
SAL10511,3,3,8,105,125,49,37,50,19,383
SAL10512,0,0,0,21,20,14,11,11,8,83
