SAL_CODE_2021,Neg_Nil_inc_cpl_fam_no_child,Neg_Nil_inc_cpl_fam_wth_chld,Neg_Nil_inc_One_parent_fam,Neg_Nil_inc_Other_fam,Neg_Nil_inc_Tot,FI_1_149_cpl_fam_no_child,FI_1_149_cpl_fam_with_child,FI_1_149_One_parent_fam,FI_1_149_Other_fam,FI_1_149_Tot,FI_150_299_cpl_fam_no_child,FI_150_299_cpl_fam_with_child,FI_150_299_One_parent_fam,FI_150_299_Other_fam,FI_150_299_Tot,FI_300_399_cpl_fam_no_child,FI_300_399_cpl_fam_with_child,FI_300_399_One_parent_fam,FI_300_399_Other_fam,FI_300_399_Tot,FI_400_499_cpl_fam_no_child,FI_400_499_cpl_fam_with_child,FI_400_499_One_parent_fam,FI_400_499_Other_fam,FI_400_499_Tot,FI_500_649_cpl_fam_no_child,FI_500_649_cpl_fam_with_child,FI_500_649_One_parent_fam,FI_500_649_Other_fam,FI_500_649_Tot,FI_650_799_cpl_fam_no_child,FI_650_799_cpl_fam_with_child,FI_650_799_One_parent_fam,FI_650_799_Other_fam,FI_650_799_Tot,FI_800_999_cpl_fam_no_child,FI_800_999_cpl_fam_wth_chld,FI_800_999_One_parent_fam,FI_800_999_Other_fam,FI_800_999_Tot,FI_1000_1249_cpl_fam_no_child,FI_1000_1249_cpl_fam_wth_chld,FI_1000_1249_One_parent_fam,FI_1000_1249_Other_fam,FI_1000_1249_Tot,FI_1250_1499_cpl_fam_no_child,FI_1250_1499_cpl_fam_wth_chld,FI_1250_1499_One_parent_fam,FI_1250_1499_Other_fam,FI_1250_1499_Tot,FI_1500_1749_cpl_fam_no_child,FI_1500_1749_cpl_fam_wth_chld,FI_1500_1749_One_parent_fam,FI_1500_1749_Other_fam,FI_1500_1749_Tot,FI_1750_1999_cpl_fam_no_child,FI_1750_1999_cpl_fam_wth_chld,FI_1750_1999_One_parent_fam,FI_1750_1999_Other_fam,FI_1750_1999_Tot,FI_2000_2499_cpl_fam_no_child,FI_2000_2499_cpl_fam_wth_chld,FI_2000_2499_One_parent_fam,FI_2000_2499_Other_fam,FI_2000_2499_Tot,FI_2500_2999_cpl_fam_no_child,FI_2500_2999_cpl_fam_wth_chld,FI_2500_2999_One_parent_fam,FI_2500_2999_Other_fam,FI_2500_2999_Tot,FI_3000_3499_cpl_fam_no_child,FI_3000_3499_cpl_fam_wth_chld,FI_3000_3499_One_parent_fam,FI_3000_3499_Other_fam,FI_3000_3499_Tot,FI_3500_3999_cpl_fam_no_child,FI_3500_3999_cpl_fam_wth_chld,FI_3500_3999_One_parent_fam,FI_3500_3999_Other_fam,FI_3500_3999_Tot,FI_4000_more_cpl_fam_no_child,FI_4000_more_cpl_fam_wth_chld,FI_4000_more_One_parent_fam,FI_4000_more_Other_fam,FI_4000_more_Tot,Prt_inc_std_cpl_fam_no_child,Part_inc_std_cpl_fam_wth_chld,Part_inc_statd_One_parent_fam,Partial_income_statd_Othr_fam,Partial_income_stated_Tot,All_inc_ns_cpl_fam_no_child,All_inc_ns_cpl_fam_wth_chld,All_incomes_ns_One_parent_fam,All_incomes_ns_Other_fam,All_incomes_ns_Tot,Tot_cpl_fam_no_child,Tot_cpl_fam_wth_chld,Tot_One_parent_fam,Tot_Other_fam,Tot_Tot
SAL10011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,0,3,0,7,0,0,3,0,3,0,0,0,0,0,0,4,0,0,9,0,0,5,0,6,5,4,0,0,8,8,10,0,0,18,0,8,0,3,14,5,10,0,0,10,0,0,0,0,0,0,3,0,0,6,0,11,0,0,9,0,0,0,0,0,22,41,16,3,83
SAL10012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,9,4,0,0,6
SAL10013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,4,0,7
SAL10014,15,3,0,0,22,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,11,0,0,3,0,3,31,4,8,0,41,11,10,4,0,26,14,3,19,0,36,19,20,8,0,47,11,20,12,0,41,7,38,9,0,56,47,80,22,6,148,29,89,9,0,123,25,102,9,0,133,12,76,4,0,91,40,183,9,0,235,8,22,13,0,40,0,4,0,0,7,268,660,127,5,1064
SAL10015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,4,0,4,12,0,0,0,7,5,0,0,0,9,6,0,0,0,6,3,0,0,0,3,0,0,0,0,3,0,0,0,0,0,6,0,0,0,5,5,5,0,0,3,6,3,0,0,7,0,0,0,0,0,3,3,0,0,11,7,5,0,0,11,0,0,0,0,0,43,25,5,0,74
SAL10016,12,0,4,0,12,3,0,0,0,8,4,0,3,0,13,0,0,6,0,6,3,0,10,0,16,3,0,12,0,23,45,3,14,0,65,45,7,27,4,78,40,11,30,0,82,58,16,28,3,104,32,21,19,6,75,31,22,35,5,90,94,62,38,10,208,47,80,12,7,143,66,105,7,4,175,38,76,3,0,112,70,221,8,5,297,38,42,23,0,103,0,3,3,0,11,639,667,280,40,1627
SAL10017,4,0,0,0,13,4,0,0,0,4,3,0,0,0,3,0,0,7,0,3,10,3,7,0,20,6,0,7,0,20,60,6,8,0,70,44,4,10,0,59,42,9,14,0,70,60,20,19,3,103,36,24,17,0,74,31,28,23,0,80,59,93,23,4,180,58,90,13,3,168,36,120,12,3,178,20,90,5,0,122,58,278,13,0,350,24,42,20,0,85,14,4,3,0,20,592,815,187,23,1617
SAL10018,0,0,0,0,0,4,0,0,0,4,0,0,0,0,7,0,0,5,0,5,7,0,0,0,5,3,0,5,0,7,28,5,0,3,36,8,4,6,0,17,13,9,4,0,23,16,3,4,0,21,11,3,0,0,16,4,0,0,0,8,12,29,6,0,36,12,13,0,0,25,4,3,0,0,11,0,0,0,0,0,8,6,0,0,16,3,13,0,0,22,0,0,0,0,4,130,98,30,3,265
SAL10019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,5,0,0,0,0,4,0,0,0,0,0,8,11,0,0,20
SAL10020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3
SAL10021,6,3,0,0,3,6,0,0,0,4,0,0,0,0,0,3,0,0,0,3,0,0,5,0,0,0,0,0,0,4,3,0,7,0,8,0,0,3,0,8,5,4,5,0,11,13,0,6,0,21,9,3,0,0,17,0,5,3,0,9,14,15,11,0,35,6,20,5,0,31,13,15,6,0,28,4,15,0,0,14,10,45,4,0,53,0,13,0,0,15,8,0,0,0,6,100,134,45,3,281
SAL10022,5,0,9,0,13,0,0,5,0,9,0,4,4,0,13,0,0,20,0,23,3,7,31,4,45,7,3,36,0,48,22,7,45,5,81,13,20,47,0,84,9,41,29,4,75,10,33,37,0,79,9,24,15,3,44,10,15,4,3,39,9,37,15,0,65,3,24,0,0,34,0,18,0,0,20,0,13,0,0,16,5,13,5,0,15,3,23,16,6,45,4,0,7,0,18,111,288,328,25,754
SAL10023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6,3,0,0,0,0,0,0,0,0,4,4,0,0,0,5,0,3,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,15,0,0,0,0,0,24,16,8,0,44
SAL10024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,8,14,0,0,21
SAL10025,13,8,3,0,31,11,0,0,0,12,3,0,4,0,15,4,3,8,0,20,31,0,24,4,58,34,0,42,5,77,167,21,54,4,248,107,20,79,4,213,107,57,68,3,233,123,89,63,0,278,76,101,57,7,240,110,135,43,0,287,188,284,65,4,542,151,294,28,0,472,97,254,25,0,375,54,191,9,0,252,54,296,12,4,360,48,137,42,0,225,23,9,16,0,53,1407,1907,630,44,3993
SAL10026,15,0,3,0,22,9,0,0,0,7,3,5,5,0,9,7,0,16,0,21,25,0,27,0,55,17,3,32,0,59,130,16,37,3,183,82,15,48,6,151,64,19,50,5,130,70,51,53,5,178,46,65,37,0,155,37,51,26,0,121,103,140,30,9,283,64,113,24,0,197,30,69,4,3,110,12,33,5,0,50,26,61,10,0,97,30,45,16,0,95,7,7,6,0,23,778,696,426,38,1929
SAL10027,11,0,7,0,13,0,0,5,0,5,4,4,0,0,10,0,0,4,0,4,7,0,6,0,14,7,0,12,0,21,31,3,16,0,47,28,9,19,0,57,44,5,24,0,71,49,17,24,0,88,25,18,10,0,52,37,22,15,0,74,98,42,27,3,168,74,47,9,0,132,42,61,10,0,111,28,46,0,0,74,87,115,8,0,212,24,39,13,0,85,3,3,6,0,17,605,426,189,11,1236
SAL10028,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,3,0,0,0,3,24,0,6,0,25,12,0,6,0,14,15,5,6,0,25,11,6,3,0,16,0,3,0,0,3,11,0,3,0,12,9,16,0,0,26,9,5,0,0,14,6,6,0,0,11,4,0,0,0,8,4,6,0,0,8,3,7,0,0,9,0,0,3,0,3,105,66,28,3,202
SAL10029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,4,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,0,0,6,0,0,0,0,4,0,0,0,0,0,21,18,4,0,43
SAL10030,3,0,4,0,8,4,0,0,0,4,0,0,0,0,4,0,0,0,0,6,10,0,5,0,11,10,0,4,0,8,14,5,15,3,27,18,9,13,0,37,25,9,6,0,39,45,10,15,5,73,45,9,15,0,66,53,22,20,0,95,176,58,33,3,276,181,43,13,9,247,156,77,9,4,244,152,50,3,3,205,577,409,34,11,1030,49,22,11,0,90,11,6,0,0,16,1531,724,190,49,2493
SAL10031,14,0,0,0,14,3,0,0,0,6,0,0,0,0,5,0,0,0,0,3,12,0,0,0,16,6,0,3,0,7,32,0,4,0,38,11,8,8,0,24,20,9,0,0,35,28,14,5,0,38,15,20,11,0,44,16,20,6,0,40,22,43,18,4,83,27,52,3,0,84,13,61,3,0,77,21,55,0,0,72,47,224,4,0,279,0,26,8,0,38,3,3,4,0,9,293,533,79,8,908
SAL10032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,4,3,0,0,0,7,0,5,0,0,5,0,0,0,0,0,11,11,0,0,30
SAL10033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL10034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,4,0,0,4,0,4,0,0,4,0,5,0,0,9,0,0,0,0,0,0,0,0,0,0,17,11,0,0,24
SAL10035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,7,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,7,10,4,0,28
SAL10036,11,0,0,0,12,3,0,0,0,10,5,4,0,0,7,0,0,0,0,0,14,0,0,0,24,13,0,8,0,22,42,6,10,0,52,39,9,11,0,58,35,12,10,0,61,66,18,23,4,100,37,26,19,0,76,31,26,11,0,66,67,67,25,0,165,54,101,17,0,176,44,110,9,0,163,28,82,10,0,119,83,635,24,0,744,14,53,11,0,79,7,10,0,0,17,594,1142,196,14,1942
SAL10037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,6,0,0,6,0,0,0,0,0,3,4,0,0,8,4,0,0,0,4,0,0,0,0,0,14,9,6,0,24
SAL10038,25,3,0,0,29,0,0,3,0,5,11,4,0,0,11,3,0,8,0,8,19,0,12,0,31,5,4,17,0,29,59,7,18,0,80,37,25,20,0,84,43,40,29,4,114,54,53,21,3,134,16,45,28,6,84,35,46,8,3,100,74,106,25,4,219,55,85,4,6,148,42,68,12,0,120,18,35,5,0,59,38,92,7,8,141,21,30,14,4,64,6,6,3,0,11,558,642,236,46,1480
SAL10039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,3,6,0,0,11
SAL10040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,6,0,0,0,6,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,8,0,0,0,0,0,0,5,0,0,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,14,19,3,0,38
SAL10041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,3,0,0,6,0,0,0,3,4,0,0,0,4,0,0,0,0,4,0,3,0,0,4,4,0,0,0,3,0,3,0,0,3,0,0,0,0,4,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,18,15,6,3,46
SAL10042,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,6,0,0,17
SAL10043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,7,7,0,0,20
SAL10044,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,3,0,0,9,0,0,0,0,0,0,0,3,0,3,0,0,0,0,3,0,0,0,0,4,0,8,0,0,8,0,4,0,0,4,4,9,0,0,8,0,0,0,0,0,0,0,0,0,0,17,20,7,0,42
SAL10045,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,10,4,0,0,0,9,9,3,0,0,11,5,5,0,0,8,0,7,0,0,13,4,3,0,0,5,5,4,3,0,9,5,4,0,0,11,0,10,0,0,11,5,3,0,0,6,8,14,0,0,22,3,3,4,0,15,0,0,0,0,0,60,56,15,0,130
SAL10046,3,0,0,0,6,5,0,0,0,5,8,0,0,0,4,0,0,5,0,8,19,0,11,0,36,11,0,27,0,33,104,3,14,0,128,74,10,28,0,119,87,18,43,5,150,103,44,33,5,193,49,45,24,3,123,51,41,24,3,114,110,92,32,0,233,51,77,9,0,136,35,54,3,0,90,14,36,5,0,50,35,82,6,0,117,19,43,12,0,75,4,9,13,0,24,789,546,288,19,1647
SAL10047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,0,5,0,5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,5,0,0,4,0,0,0,0,0,10,11,8,0,27
SAL10048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,9
SAL10049,22,9,8,0,36,3,0,7,0,9,5,3,11,0,16,7,6,17,0,27,9,6,27,4,52,15,7,51,3,80,65,25,56,6,156,49,20,75,5,156,44,40,64,3,153,47,70,50,0,167,34,53,39,5,128,38,62,34,0,134,69,129,53,3,260,48,91,23,4,163,27,67,10,0,104,16,49,3,0,67,21,71,9,0,100,18,60,36,0,113,13,5,7,4,28,538,779,567,50,1938
SAL10050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,5
SAL10051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
