SAL_CODE_2021,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
SAL10091,1852,880,1464,1926,1230,874,702,345,156,9417
SAL10092,8,10,4,6,4,7,11,4,0,47
SAL10093,9,3,9,4,4,10,0,0,0,40
SAL10094,577,454,263,394,524,485,365,213,66,3353
SAL10095,30,19,14,22,32,73,82,42,4,316
SAL10096,35,26,12,27,38,80,52,5,3,292
SAL10097,0,5,0,3,0,9,0,5,0,18
SAL10098,899,537,467,477,412,420,238,132,53,3634
SAL10099,2701,2711,5272,3531,2561,2378,1816,1237,816,23012
SAL10100,102,69,41,41,83,119,113,70,24,659
SAL10101,83,40,59,30,48,57,28,13,0,351
SAL10102,786,558,488,387,424,427,387,182,108,3747
SAL10103,958,622,491,598,661,586,426,194,56,4589
SAL10104,1311,658,929,1232,775,547,436,206,69,6160
SAL10105,9,5,3,9,10,3,14,8,0,68
SAL10106,103,48,56,74,79,73,74,24,5,542
SAL10107,6872,6488,9013,5317,4000,3657,2288,1189,515,39333
SAL10108,33,12,3,14,19,22,12,8,4,127
SAL10109,542,278,269,362,364,406,321,142,38,2725
SAL10110,1738,720,1488,1170,599,455,327,202,140,6847
SAL10111,17,26,13,8,29,26,15,18,3,145
SAL10112,1971,1246,652,1145,1526,1599,1305,646,292,10379
SAL10113,10,3,0,0,12,6,4,4,0,45
SAL10114,20,28,14,14,27,44,37,17,0,208
SAL10115,978,587,316,574,742,657,540,257,54,4708
SAL10116,0,0,0,0,0,0,0,0,0,0
SAL10117,308,176,256,188,191,276,192,98,15,1695
SAL10118,27,23,12,11,37,28,19,0,0,157
SAL10119,87,57,45,40,74,67,38,19,8,430
SAL10120,22,20,24,18,26,46,23,11,4,195
SAL10121,36,13,19,20,7,32,22,14,3,166
SAL10122,0,3,0,0,0,5,0,3,0,14
SAL10123,0,0,0,0,0,4,0,0,0,4
SAL10124,15,7,3,10,14,4,0,0,0,54
SAL10125,5,3,0,0,6,3,0,0,0,20
SAL10126,3,6,0,0,0,0,3,5,0,20
SAL10127,0,0,0,0,0,5,0,0,0,7
SAL10128,0,0,0,0,0,0,5,0,0,4
SAL10129,5,0,0,3,5,0,0,9,0,27
SAL10130,14,11,12,5,3,29,9,12,0,91
SAL10131,20,23,13,20,23,15,30,8,4,153
SAL10132,3,0,0,6,0,4,7,0,0,19
SAL10133,30,14,17,26,20,15,29,14,6,168
SAL10134,0,0,0,0,0,0,0,4,0,9
SAL10135,14,11,5,11,12,13,19,6,0,93
SAL10136,3,4,0,5,5,3,0,0,0,27
SAL10137,9,7,0,6,3,11,10,3,0,43
SAL10138,11,3,7,3,8,6,7,0,0,45
SAL10139,10,3,8,0,17,12,8,4,0,60
SAL10140,6,5,0,0,11,15,8,0,0,41
SAL10141,7,0,0,0,4,5,4,5,0,24
SAL10142,0,0,0,0,0,9,3,0,0,13
SAL10143,8,9,6,11,10,16,6,3,0,60
SAL10144,126,51,62,85,88,65,56,29,11,574
SAL10145,15,10,5,3,16,36,15,9,5,122
SAL10146,172,114,113,107,126,129,115,96,17,1002
SAL10147,15,6,5,11,0,6,4,0,0,53
SAL10148,67,31,33,40,48,52,37,12,3,321
SAL10149,6,3,0,3,4,0,4,0,0,20
SAL10150,5,0,0,3,0,0,3,0,0,17
SAL10151,8,3,0,3,16,8,13,0,0,55
SAL10152,13,9,7,3,10,13,6,4,0,67
SAL10153,8,8,0,13,6,9,7,0,0,45
SAL10154,1616,839,849,1205,1284,944,668,506,161,8068
SAL10155,848,481,140,382,674,484,315,134,87,3546
SAL10156,1054,640,597,727,727,748,640,461,128,5722
SAL10157,6,3,0,6,0,4,0,0,0,18
SAL10158,30,15,14,10,22,23,24,4,5,140
SAL10159,6,0,0,0,3,4,4,0,0,29
SAL10160,38,10,13,22,15,21,40,14,0,168
SAL10161,16,16,10,10,7,24,10,0,0,97
SAL10162,41,26,32,22,31,33,30,12,5,240
SAL10163,1164,747,881,932,1004,1266,1578,1265,900,9735
SAL10164,0,0,0,0,0,0,0,0,0,3
SAL10165,1804,815,1297,1784,1709,1342,1047,522,136,10454
SAL10166,271,180,219,252,324,279,237,118,33,1900
SAL10167,116,86,82,73,110,125,91,40,11,730
SAL10168,75,70,42,54,78,96,38,14,4,469
SAL10169,228,112,128,114,170,202,166,87,44,1240
SAL10170,3,4,3,0,4,11,0,6,0,35
SAL10171,0,0,0,0,0,0,0,0,0,0
SAL10172,26,12,8,13,20,22,24,12,4,135
SAL10173,6,0,0,4,0,0,0,0,0,11
SAL10174,147,89,64,95,96,144,115,46,15,818
SAL10175,616,227,289,433,424,329,270,99,63,2752
SAL10176,4,0,5,4,3,8,9,0,4,37
SAL10177,25,10,9,17,21,15,10,4,6,122
SAL10178,1070,660,419,739,715,707,808,271,155,5536
SAL10179,558,352,445,472,467,371,322,215,76,3277
SAL10180,59,54,182,103,54,22,19,7,0,508
SAL10181,7097,4490,6414,4926,3925,3757,2424,1259,627,34933
SAL10182,0,0,0,0,0,0,0,0,0,5
SAL10183,0,11,3,0,15,14,9,0,0,47
SAL10184,27,9,10,13,18,26,22,17,4,141
SAL10185,0,0,3,0,0,3,5,4,0,19
SAL10186,2505,1646,1485,1603,1926,2063,2314,1976,936,16460
SAL10187,5,3,0,0,9,7,9,3,0,31
SAL10188,162,204,189,141,205,195,122,62,15,1292
SAL10189,9,3,8,21,18,27,22,9,4,122
SAL10190,3,0,0,7,0,7,3,3,0,19
SAL10191,141,72,66,71,84,122,121,70,36,783
SAL10192,9,4,59,54,34,31,9,10,0,220
SAL10193,0,0,0,0,0,0,0,0,0,0
SAL10194,751,677,387,429,634,688,381,122,63,4129
SAL10195,1794,571,1144,1289,472,299,133,25,8,5747
SAL10196,374,301,274,284,344,305,226,143,59,2320
SAL10197,435,268,238,321,322,302,255,144,52,2344
SAL10198,73,51,43,42,72,70,65,26,17,459
SAL10199,916,557,454,544,612,564,496,299,78,4516
SAL10200,208,104,126,100,172,282,288,180,102,1569
SAL10201,0,0,0,0,0,0,0,0,0,0
SAL10202,36,8,13,16,28,36,43,9,0,196
SAL10203,84,38,20,35,76,68,54,21,7,404
SAL10204,0,0,0,0,0,0,0,0,0,0
SAL10205,311,215,240,228,226,247,204,54,14,1735
SAL10206,307,184,210,190,240,269,310,140,40,1888
SAL10207,170,83,95,93,148,237,248,196,62,1329
SAL10208,1097,725,731,741,716,759,683,422,135,6003
SAL10209,110,96,47,66,122,112,114,37,14,725
SAL10210,31,11,16,14,21,22,27,4,0,150
SAL10211,5,4,7,9,12,17,27,12,4,91
SAL10212,4,0,5,4,4,3,0,0,0,12
SAL10213,0,0,0,0,0,0,0,0,0,0
SAL10214,34,28,5,18,36,40,31,13,4,214
SAL10215,0,6,0,0,0,7,0,0,0,12
SAL10216,4,3,3,0,9,7,0,3,0,30
SAL10217,52,25,30,30,53,65,78,50,8,394
SAL10218,0,0,0,0,0,0,0,0,0,0
SAL10219,25,10,22,16,18,40,10,3,0,153
SAL10220,3,0,0,3,0,0,0,0,0,0
SAL10221,30,14,12,11,25,18,15,5,6,139
SAL10222,7,0,0,0,4,6,4,0,0,20
SAL10223,255,155,167,146,200,245,211,139,57,1583
SAL10224,2425,1400,1316,1271,1165,1112,816,491,239,10230
SAL10225,0,4,0,0,0,0,0,0,0,5
SAL10226,17,8,4,6,15,7,23,6,0,93
SAL10227,2402,1214,1346,1561,1371,1533,1477,991,616,12516
SAL10228,233,176,171,162,238,311,329,192,94,1911
SAL10229,180,119,175,133,205,235,255,205,71,1573
SAL10230,4,3,4,0,12,13,0,0,0,40
SAL10231,892,967,1141,734,729,866,781,584,304,7001
SAL10232,216,107,115,123,172,198,193,100,45,1270
SAL10233,8109,4074,3575,6566,5168,3878,3378,1979,693,37415
SAL10234,56,28,31,26,41,45,36,13,6,271
SAL10235,124,53,61,80,90,195,159,77,11,844
SAL10236,0,0,0,0,0,0,0,0,0,0
SAL10237,462,357,184,250,465,537,613,629,305,3807
SAL10238,1577,1066,651,989,1247,1050,652,428,162,7814
SAL10239,149,125,353,246,131,96,51,10,3,1172
SAL10240,9,0,0,9,12,20,10,8,0,56
SAL10241,13,3,10,8,3,6,8,12,0,72
SAL10242,11,3,14,10,7,29,42,8,4,117
SAL10243,2036,1411,744,1369,1623,1008,541,264,48,9041
SAL10244,31,19,5,17,15,14,25,5,0,123
SAL10245,29,15,24,19,27,39,18,13,4,194
SAL10246,15,5,6,10,8,3,4,0,0,53
SAL10247,31,10,3,13,24,22,13,7,4,127
SAL10248,198,103,122,125,95,110,95,43,17,914
SAL10249,2001,1289,724,1335,1520,1263,1093,767,292,10291
SAL10250,0,0,0,0,0,0,0,0,0,0
SAL10251,76,40,42,38,53,44,53,16,4,358
SAL10252,8,3,5,8,0,3,6,4,0,34
SAL10253,951,538,549,546,558,683,572,413,198,5013
SAL10254,35,10,20,17,15,10,4,9,3,128
SAL10255,5,3,6,6,4,6,4,0,0,22
SAL10256,16,10,7,12,19,30,19,11,0,123
SAL10257,1246,807,749,848,938,816,589,401,159,6555
SAL10258,37,16,19,28,33,28,21,4,0,176
SAL10259,0,0,0,0,0,3,0,0,0,12
SAL10260,27,15,4,16,16,22,13,0,3,124
SAL10261,118,75,64,62,78,84,68,25,0,576
SAL10262,11,3,6,3,5,4,8,6,0,44
SAL10263,1550,1180,810,1176,1229,1240,848,279,79,8384
SAL10264,734,491,579,497,500,528,412,226,65,4039
SAL10265,20,7,7,4,25,23,14,12,0,114
SAL10266,58,23,23,36,33,41,42,14,4,266
SAL10267,8,9,3,7,6,28,32,13,0,116
SAL10268,545,287,340,284,266,280,230,76,27,2338
SAL10269,158,91,102,97,94,107,88,52,15,805
SAL10270,70,38,31,18,52,64,47,21,9,339
SAL10271,1821,1246,1593,1449,1409,1257,1083,555,177,10590
SAL10272,16,6,12,15,9,11,7,11,0,82
SAL10273,823,384,295,449,565,543,487,271,99,3923
SAL10274,23,13,3,6,25,24,16,9,0,120
SAL10275,11,4,8,3,0,3,0,0,0,37
SAL10276,1052,776,796,733,871,1077,1033,629,323,7289
SAL10277,1166,759,748,772,825,752,589,469,205,6291
SAL10278,135,147,115,96,175,169,138,65,23,1053
SAL10279,2214,1690,2210,1902,1811,1630,1182,789,348,13781
SAL10280,47,24,22,26,29,50,54,23,0,268
SAL10281,0,0,3,0,4,10,0,0,0,20
SAL10282,0,0,0,0,0,0,0,0,0,5
SAL10283,1596,1069,463,961,1375,947,894,953,462,8726
SAL10284,92,60,43,51,78,112,106,38,9,589
SAL10285,7,4,5,3,12,17,9,3,0,71
SAL10286,31,13,7,11,20,22,24,5,0,135
SAL10287,24,11,10,4,34,32,42,21,0,165
SAL10288,23,3,5,16,13,25,23,8,3,135
SAL10289,77,36,38,37,71,90,86,33,19,486
SAL10290,10,5,10,7,26,28,22,25,0,143
SAL10291,63,31,24,30,29,26,29,14,6,253
SAL10292,27,14,8,15,17,23,9,0,0,108
SAL10293,37,16,18,11,24,9,10,12,0,140
SAL10294,0,3,0,0,4,4,4,0,0,16
SAL10295,0,0,0,0,0,0,0,0,0,0
SAL10296,18,9,12,6,10,7,6,6,0,76
SAL10297,543,286,179,320,401,355,283,105,20,2500
SAL10298,37,23,21,21,16,43,45,23,9,225
SAL10299,1363,1139,1583,1116,1139,1141,763,346,169,8757
SAL10300,9,15,9,11,20,20,15,4,3,104
SAL10301,550,349,537,383,359,367,349,290,76,3267
SAL10302,30,12,11,16,25,40,35,11,0,180
SAL10303,1477,947,973,920,990,1068,765,432,220,7798
SAL10304,1892,1091,1252,1163,976,1092,824,457,213,8951
SAL10305,188,247,516,465,307,224,142,56,8,2149
SAL10306,0,0,0,0,0,0,0,0,0,0
SAL10307,245,120,132,148,195,343,415,203,72,1865
SAL10308,1005,633,343,621,781,671,395,251,55,4762
SAL10309,1141,659,320,754,900,602,563,268,75,5286
SAL10310,15,11,12,12,28,40,29,21,0,169
SAL10311,72,52,62,50,65,70,64,39,11,486
SAL10312,36,20,25,16,43,81,69,35,9,333
SAL10313,13,11,7,5,14,16,11,11,6,87
SAL10314,4,6,3,0,0,4,5,9,0,33
SAL10315,224,136,135,145,176,215,163,77,36,1300
SAL10316,11,6,7,4,0,8,0,4,0,39
SAL10317,173,118,99,102,137,196,225,137,70,1264
SAL10318,26,20,24,20,28,42,23,25,6,212
SAL10319,123,70,45,72,126,139,142,83,18,813
SAL10320,7,0,0,0,10,8,5,4,0,30
SAL10321,449,202,207,288,316,442,551,415,237,3098
SAL10322,15,14,8,14,14,4,14,8,0,82
SAL10323,3,0,0,0,0,9,6,8,0,29
SAL10324,13,15,14,10,19,33,38,30,4,182
SAL10325,15,11,8,10,8,10,4,0,0,65
SAL10326,23,14,11,3,13,24,21,10,0,117
SAL10327,14,12,13,12,22,38,27,9,0,137
SAL10328,4,6,0,4,11,12,5,0,0,45
SAL10329,481,300,270,358,375,298,212,188,155,2646
SAL10330,1734,1212,1431,1448,1329,1360,1079,582,298,10483
SAL10331,13,4,13,11,13,11,12,6,3,80
SAL10332,107,34,66,59,71,97,75,14,4,528
SAL10333,3530,2298,2515,2733,2453,2277,1855,1181,798,19646
SAL10334,751,470,487,593,577,504,405,338,150,4281
SAL10335,21,12,11,13,18,10,9,0,0,84
SAL10336,14,6,0,11,15,18,13,6,0,82
SAL10337,37,4,11,16,17,18,4,16,0,123
SAL10338,4,0,0,0,5,8,7,3,0,32
SAL10339,1128,661,566,429,468,452,338,131,24,4202
SAL10340,9,8,8,9,11,26,18,13,3,104
SAL10341,7,7,9,10,14,16,5,9,0,78
SAL10342,12,4,7,13,8,9,3,5,0,61
SAL10343,0,0,0,5,0,11,0,4,0,16
SAL10344,25,25,9,4,22,24,14,11,5,135
SAL10345,34,17,21,23,28,67,54,26,4,268
SAL10346,75,45,35,60,62,68,58,31,10,441
SAL10347,602,332,391,435,436,508,478,200,107,3491
SAL10348,103,67,79,54,91,97,60,25,8,586
SAL10349,36,22,7,22,37,42,48,32,5,251
SAL10350,732,406,190,406,571,548,462,261,70,3650
SAL10351,3,5,6,0,6,8,4,0,0,31
SAL10352,0,3,0,0,0,0,0,0,0,7
SAL10353,16,10,10,12,18,19,22,11,4,117
SAL10354,53,11,30,45,39,42,35,7,4,261
SAL10355,11,9,6,7,15,15,13,4,3,79
SAL10356,40,18,15,25,32,41,26,3,0,196
SAL10357,111,65,40,61,122,118,80,35,9,653
SAL10358,0,0,0,0,0,0,0,0,0,0
SAL10359,19,8,0,10,14,12,12,6,4,71
SAL10360,25,11,7,18,14,17,13,6,0,113
SAL10361,106,43,44,73,68,90,66,39,11,550
SAL10362,66,22,26,33,21,54,46,14,6,291
SAL10363,0,0,0,3,0,10,16,4,0,32
SAL10364,149,96,64,93,129,211,286,198,87,1318
SAL10365,0,6,0,0,13,10,6,4,0,39
SAL10366,14,14,5,14,19,59,41,24,3,205
SAL10367,5,8,4,3,0,13,0,5,0,36
SAL10368,36,8,27,14,16,17,12,10,6,159
SAL10369,61,38,22,32,46,72,46,21,10,339
SAL10370,48,22,27,31,24,33,19,5,7,223
SAL10371,87,60,51,56,84,121,146,53,6,658
SAL10372,35,9,7,22,12,21,17,5,0,122
SAL10373,565,269,302,435,518,484,425,196,37,3228
SAL10374,0,0,3,5,0,12,8,4,0,34
SAL10375,10,6,5,14,8,10,7,3,0,59
SAL10376,336,703,618,285,218,195,113,70,48,2598
SAL10377,10,3,0,6,9,9,12,3,0,45
SAL10378,643,482,464,408,407,448,270,130,78,3331
SAL10379,47,22,13,23,28,30,32,11,0,218
SAL10380,28,8,21,13,23,28,27,10,4,163
SAL10381,4,9,0,4,6,17,9,5,0,47
SAL10382,11,0,4,7,0,0,0,0,0,16
SAL10383,93,55,46,52,83,152,260,202,46,972
SAL10384,87,77,32,48,92,74,73,23,3,516
SAL10385,0,5,0,0,0,6,0,0,0,11
SAL10386,45,37,30,35,55,46,36,17,7,291
SAL10387,46,31,19,26,39,22,34,9,0,230
SAL10388,48,3,29,27,24,31,39,19,4,227
SAL10389,478,334,337,290,315,374,395,212,74,2812
SAL10390,533,442,370,352,507,451,404,173,58,3291
SAL10391,933,528,499,419,419,356,257,165,17,3586
SAL10392,642,293,369,505,639,849,814,453,108,4672
SAL10393,3,0,4,5,0,0,7,0,0,22
SAL10394,15,14,17,6,24,52,43,6,9,178
SAL10395,254,225,142,176,256,308,292,171,62,1881
SAL10396,9832,6669,9334,8093,5603,4929,3463,2069,960,50961
SAL10397,20,11,15,10,22,24,16,7,0,128
SAL10398,313,195,219,235,267,267,235,170,45,1941
SAL10399,478,461,319,386,406,378,222,62,15,2725
SAL10400,96,52,63,49,41,52,32,14,4,409
SAL10401,23,21,9,15,15,29,7,15,0,132
SAL10402,1172,910,613,768,921,914,677,400,282,6652
SAL10403,19,12,12,5,21,6,9,7,0,92
SAL10404,24,3,5,6,5,10,0,0,0,61
SAL10405,21,16,21,21,29,38,30,20,5,205
SAL10406,1508,836,772,1026,947,926,896,421,106,7434
SAL10407,16,9,0,14,17,29,24,5,0,113
SAL10408,122,86,50,77,78,95,50,22,7,589
SAL10409,715,418,435,343,380,465,371,225,95,3448
SAL10410,1434,845,1092,837,732,729,373,141,41,6220
SAL10411,50,20,24,29,20,19,10,13,3,192
SAL10412,0,0,0,0,0,0,0,0,0,3
SAL10413,121,99,118,100,137,185,184,81,41,1060
SAL10414,1545,882,977,798,829,661,472,328,75,6563
SAL10415,16,12,17,12,20,64,46,11,0,210
SAL10416,0,0,0,0,0,0,0,0,0,0
SAL10417,7,0,3,5,6,3,0,3,0,25
SAL10418,25,7,10,13,13,6,5,0,0,81
SAL10419,20,18,11,15,19,42,77,38,12,242
SAL10420,303,204,138,170,295,262,261,103,21,1770
SAL10421,1041,571,611,607,667,686,656,349,112,5304
SAL10422,19,12,8,19,15,0,3,0,0,79
SAL10423,3,4,0,5,0,0,4,0,0,19
SAL10424,173,115,69,99,147,166,147,54,21,993
SAL10425,4,7,0,5,6,7,3,0,0,30
SAL10426,18,7,7,17,20,35,27,7,3,141
SAL10427,23,10,10,14,13,19,21,5,6,119
SAL10428,74,65,43,53,79,104,155,80,15,662
SAL10429,9,4,0,5,4,3,3,0,0,27
SAL10430,8,0,0,4,3,0,0,0,0,16
SAL10431,23,9,6,21,22,20,25,12,0,132
SAL10432,10,11,9,7,12,12,10,0,0,60
SAL10433,101,84,60,82,106,146,160,64,5,808
SAL10434,14,3,14,4,6,17,8,7,3,74
SAL10435,19,14,8,9,14,14,7,3,0,89
SAL10436,10,3,4,8,3,8,0,0,0,44
SAL10437,67,20,35,27,37,30,33,21,5,269
SAL10438,696,331,355,454,451,522,301,144,66,3313
SAL10439,8,9,5,5,14,14,12,7,4,82
SAL10440,226,158,108,118,140,143,92,33,9,1022
SAL10441,217,137,142,132,157,139,138,101,50,1203
SAL10442,0,0,0,0,0,0,0,0,0,0
SAL10443,33,32,21,25,42,38,18,0,0,214
SAL10444,11,13,0,9,7,13,19,0,4,83
SAL10445,7,0,0,3,6,6,6,10,4,31
SAL10446,5,7,3,3,6,19,22,3,0,74
SAL10447,15,8,5,11,9,25,15,3,0,94
SAL10448,385,257,240,220,250,280,206,218,69,2124
SAL10449,284,145,140,167,158,190,157,97,15,1350
SAL10450,850,422,332,516,477,376,280,153,29,3436
SAL10451,0,0,0,0,0,0,0,0,0,0
SAL10452,1117,706,795,701,758,856,970,612,220,6738
SAL10453,4,4,0,5,5,11,0,0,0,24
SAL10454,235,123,138,146,160,184,212,127,49,1372
SAL10455,29,12,7,6,30,17,21,10,0,142
SAL10456,128,33,39,74,78,68,49,20,9,504
SAL10457,26,26,21,21,35,13,20,3,4,175
SAL10458,40,42,14,28,54,43,57,18,9,291
SAL10459,5,11,3,5,9,9,7,4,0,52
SAL10460,6,7,6,3,3,6,0,6,0,40
SAL10461,38,15,20,22,49,88,65,38,8,338
SAL10462,1327,796,3365,1836,1085,737,626,463,185,10411
SAL10463,1259,804,4148,2213,1274,809,534,317,152,11513
SAL10464,0,0,0,0,0,0,0,0,0,0
SAL10465,1266,924,2879,1767,1107,859,773,532,255,10361
SAL10466,751,455,463,467,454,522,521,347,85,4066
SAL10467,421,254,154,310,327,307,309,136,23,2238
SAL10468,444,331,173,298,441,488,493,310,68,3045
SAL10469,1872,1399,1260,1219,1231,1335,927,361,187,9785
SAL10470,1283,1109,1012,803,970,1055,780,274,85,7369
SAL10471,22,9,6,9,25,22,20,13,0,133
SAL10472,568,326,278,329,392,425,373,196,47,2939
SAL10473,16,9,15,12,19,30,17,15,0,130
SAL10474,35,16,8,13,18,18,7,17,0,130
SAL10475,205,86,106,194,142,196,265,216,45,1442
SAL10476,26,8,16,11,18,23,15,16,0,127
SAL10477,0,0,0,0,0,0,0,0,0,0
SAL10478,0,0,0,0,0,0,0,0,0,0
SAL10479,8,13,3,9,13,17,17,4,0,85
SAL10480,281,181,246,209,185,210,168,122,28,1636
SAL10481,9,0,10,0,3,0,0,0,0,25
SAL10482,23,9,6,16,12,19,6,13,0,98
SAL10483,0,0,0,0,0,0,0,0,0,0
SAL10484,34,16,12,18,15,15,5,4,0,116
SAL10485,82,30,28,50,69,79,61,20,0,423
SAL10486,31,0,9,19,9,13,7,0,0,88
SAL10487,39,31,22,19,30,24,27,18,5,207
SAL10488,0,0,0,0,0,5,7,5,0,14
SAL10489,12,4,4,5,6,6,7,4,0,46
SAL10490,16,3,8,8,6,7,0,0,0,51
SAL10491,0,6,0,0,3,3,3,3,0,19
SAL10492,25,16,18,16,21,27,16,3,4,146
SAL10493,235,176,164,118,185,182,203,209,150,1623
SAL10494,94,52,52,45,80,69,47,21,4,457
SAL10495,4,0,4,4,3,3,3,4,0,27
SAL10496,6,0,0,8,0,5,0,0,0,24
SAL10497,9,7,10,9,5,15,3,10,0,71
SAL10498,0,6,0,6,3,4,8,3,0,20
SAL10499,459,308,421,268,139,63,52,24,3,1741
SAL10500,7,3,5,8,5,5,4,0,0,36
SAL10501,333,151,181,166,214,307,291,177,66,1888
SAL10502,17,15,12,10,18,45,34,17,3,174
SAL10503,0,0,0,0,0,0,0,0,0,0
SAL10504,12,9,15,6,11,19,10,6,0,84
SAL10505,23,9,11,18,14,15,10,5,0,107
SAL10506,0,8,8,0,6,0,5,0,0,22
SAL10507,24,8,12,9,26,24,20,9,0,117
SAL10508,0,0,0,0,0,0,0,0,0,0
SAL10509,16,10,12,15,18,12,5,7,0,93
SAL10510,44,18,18,22,24,43,26,8,6,204
SAL10511,93,60,36,47,74,68,66,20,8,476
SAL10512,10,10,7,10,21,26,3,4,0,97
SAL10513,2733,2084,1797,1781,1917,2133,1784,887,380,15492
SAL10514,21,9,13,9,26,25,22,4,6,132
