SAL_CODE_2021,CF_C_BPBO_DC_0_4,CF_C_BPBO_DC_5_9,CF_C_BPBO_DC_10_12,CF_C_BPBO_DC_13_14,CF_C_BPBO_DC_15_17,CF_C_BPBO_DC_18_20,CF_C_BPBO_DC_21_24,CF_C_BPBO_Tot,CF_C_FBO_DC_0_4,CF_C_FBO_DC_5_9,CF_C_FBO_DC_10_12,CF_C_FBO_DC_13_14,CF_C_FBO_DC_15_17,CF_C_FBO_DC_18_20,CF_C_FBO_DC_21_24,CF_C_FBO_Tot,CF_C_MBO_DC_0_4,CF_C_MBO_DC_5_9,CF_C_MBO_DC_10_12,CF_C_MBO_DC_13_14,CF_C_MBO_DC_15_17,CF_C_MBO_DC_18_20,CF_C_MBO_DC_21_24,CF_C_MBO_Tot,CF_C_BPBAu_DC_0_4,CF_C_BPBAu_DC_5_9,CF_C_BPBAu_DC_10_12,CF_C_BPBAu_DC_13_14,CF_C_BPBAu_DC_15_17,CF_C_BPBAu_DC_18_20,CF_C_BPBAu_DC_21_24,CF_C_BPBAu_Tot,CF_C_BP_NS_DC_0_4,CF_C_BP_NS_DC_5_9,CF_C_BP_NS_DC_10_12,CF_C_BP_NS_DC_13_14,CF_C_BP_NS_DC_15_17,CF_C_BP_NS_DC_18_20,CF_C_BP_NS_DC_21_24,CF_C_BP_NS_Tot,CF_C_Tot_DC_0_4,CF_C_Tot_DC_5_9,CF_C_Tot_DC_10_12,CF_C_Tot_DC_13_14,CF_C_Tot_DC_15_17,CF_C_Tot_DC_18_20,CF_C_Tot_DC_21_24,CF_C_Tot_Tot,One_PF_BPBO_DC_0_4,One_PF_BPBO_DC_5_9,One_PF_BPBO_DC_10_12,One_PF_BPBO_DC_13_14,One_PF_BPBO_DC_15_17,One_PF_BPBO_DC_18_20,One_PF_BPBO_DC_21_24,One_PF_BPBO_Tot,One_PF_FBO_DC_0_4,One_PF_FBO_DC_5_9,One_PF_FBO_DC_10_12,One_PF_FBO_DC_13_14,One_PF_FBO_DC_15_17,One_PF_FBO_DC_18_20,One_PF_FBO_DC_21_24,One_PF_FBO_Tot,One_PF_MBO_DC_0_4,One_PF_MBO_DC_5_9,One_PF_MBO_DC_10_12,One_PF_MBO_DC_13_14,One_PF_MBO_DC_15_17,One_PF_MBO_DC_18_20,One_PF_MBO_DC_21_24,One_PF_MBO_Tot,One_PF_BPBAu_DC_0_4,One_PF_BPBAu_DC_5_9,One_PF_BPBAu_DC_10_12,One_PF_BPBAu_DC_13_14,One_PF_BPBAu_DC_15_17,One_PF_BPBAu_DC_18_20,One_PF_BPBAu_DC_21_24,One_PF_BPBAu_Tot,One_PF_BP_NS_DC_0_4,One_PF_BP_NS_DC_5_9,One_PF_BP_NS_DC_10_12,One_PF_BP_NS_DC_13_14,One_PF_BP_NS_DC_15_17,One_PF_BP_NS_DC_18_20,One_PF_BP_NS_DC_21_24,One_PF_BP_NS_Tot,One_PF_Tot_DC_0_4,One_PF_Tot_DC_5_9,One_PF_Tot_DC_10_12,One_PF_Tot_DC_13_14,One_PF_Tot_DC_15_17,One_PF_Tot_DC_18_20,One_PF_Tot_DC_21_24,One_PF_Tot_Tot,Tot_DC_0_4,Tot_DC_5_9,Tot_DC_10_12,Tot_DC_13_14,Tot_DC_15_17,Tot_DC_18_20,Tot_DC_21_24,Tot_Tot
SAL11888,13,16,21,12,4,5,5,68,17,29,22,21,32,9,4,124,16,19,16,20,22,5,3,109,175,204,114,67,89,29,11,693,0,0,0,0,0,0,0,5,228,266,173,119,148,53,17,1002,0,3,5,0,0,0,0,14,4,5,7,9,5,3,0,31,4,0,3,8,6,3,0,14,16,39,36,22,22,9,3,154,0,5,0,0,0,0,0,8,28,51,46,36,25,19,3,216,258,315,216,156,174,70,22,1220
SAL11889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,12,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,4,0,0,0,0,0,15
SAL11890,25,19,12,4,3,0,0,67,29,50,23,12,12,10,9,141,20,31,20,16,8,7,0,96,238,231,157,103,140,53,20,947,0,0,0,0,0,0,0,4,316,334,214,126,169,65,34,1258,0,4,0,0,3,0,0,10,4,6,3,3,0,0,0,22,0,4,6,0,0,0,0,8,17,25,29,22,23,9,3,130,0,0,0,0,0,0,0,0,21,38,41,29,27,13,9,169,337,374,251,159,198,76,39,1429
SAL11891,0,7,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,17,5,0,5,0,0,43,0,0,0,0,0,0,0,0,13,21,5,0,5,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,3,7,4,0,0,19,0,0,0,0,0,0,0,3,5,4,3,8,4,0,0,21,17,30,10,10,5,0,5,70
SAL11892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,4,0,3,0,0,20,0,0,0,0,0,0,0,0,4,8,4,0,3,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,4,0,3,0,0,20
SAL11893,133,155,95,55,70,62,29,598,39,27,8,10,10,3,0,100,17,24,13,9,3,3,0,71,69,66,43,26,29,9,3,246,0,0,0,0,0,0,0,0,264,284,156,98,109,68,35,1023,16,33,25,13,11,8,7,110,15,25,13,6,5,0,0,71,0,0,0,6,6,0,0,11,58,76,53,29,30,3,3,253,9,0,0,3,0,0,0,12,105,136,95,56,49,13,7,462,370,422,254,149,165,87,42,1483
SAL11894,69,75,53,39,44,32,25,344,28,34,21,16,14,4,0,110,19,21,10,0,7,6,0,57,44,20,4,7,6,0,0,84,3,5,0,0,0,0,0,10,156,149,87,69,69,38,26,595,21,37,32,11,36,11,10,159,5,3,9,7,8,0,0,32,4,8,3,0,3,0,0,18,24,46,30,23,23,0,0,136,3,0,0,0,0,0,0,5,52,94,66,47,62,19,13,348,205,245,158,108,132,60,37,948
SAL11895,8,3,0,0,0,0,0,18,6,5,3,3,0,0,0,24,6,0,0,0,0,0,0,9,167,140,91,51,53,14,6,527,0,0,0,0,0,0,0,4,189,155,98,55,54,16,6,583,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,8,0,0,0,0,0,0,0,6,40,47,22,17,16,3,0,145,3,0,0,0,0,0,0,3,50,52,22,14,16,3,5,163,239,206,122,72,76,20,8,744
SAL11896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL11897,33,21,15,6,10,3,5,85,53,67,29,21,15,5,3,192,46,51,34,17,27,8,5,179,341,300,183,112,129,41,25,1121,0,0,0,0,0,0,0,5,471,436,258,148,178,61,36,1585,0,0,5,3,0,0,0,8,0,7,6,0,7,4,0,24,4,5,3,4,3,0,0,18,12,19,30,23,45,11,3,139,0,0,0,0,0,0,0,0,17,33,50,28,49,18,5,196,490,472,305,182,227,78,44,1783
