SAL_CODE_2021,CF_no_children_F,CF_no_children_P,CF_ChU15_a_DSs_a_NdCh_F,CF_ChU15_a_DSs_a_NdCh_P,CF_ChU15_a_DSs_a_no_NdCh_F,CF_ChU15_a_DSs_a_no_NdCh_P,CF_ChU15_a_no_DSs_a_NdCh_F,CF_ChU15_a_no_DSs_a_NdCh_P,CF_ChU15_a_no_DSs_a_no_NdCh_F,CF_ChU15_a_no_DSs_a_no_NdCh_P,CF_ChU15_a_Total_F,CF_ChU15_a_Total_P,CF_no_ChU15_a_DSs_a_NdCh_F,CF_no_ChU15_a_DSs_a_NdCh_P,CF_no_ChU15_a_DSs_a_no_NdCh_F,CF_no_ChU15_a_DSs_a_no_NdCh_P,CF_no_ChU15_a_no_DSs_a_NdCh_F,CF_no_ChU15_a_no_DSs_a_NdCh_P,CF_no_ChU15_a_Total_F,CF_no_ChU15_a_Total_P,CF_Total_F,CF_Total_P,OPF_ChU15_a_DSs_a_NdCh_F,OPF_ChU15_a_DSs_a_NdCh_P,OPF_ChU15_a_DSs_a_no_NdCh_F,OPF_ChU15_a_DSs_a_no_NdCh_P,OPF_ChU15_a_no_DSs_a_NdCh_F,OPF_ChU15_a_no_DSs_a_NdCh_P,OPF_ChU15_a_no_DSs_no_NdCh_F,OPF_ChU15_a_no_DSs_no_NdCh_P,OPF_ChU15_a_Total_F,OPF_ChU15_a_Total_P,OPF_no_ChU15_a_DSs_a_NdCh_F,OPF_no_ChU15_a_DSs_a_NdCh_P,OPF_no_ChU15_a_DSs_no_NdCh_F,OPF_no_ChU15_a_DSs_no_NdCh_P,OPF_no_ChU15_no_DSs_a_NdCh_F,OPF_no_ChU15_no_DSs_a_NdCh_P,OPF_no_ChU15_a_Total_F,OPF_no_ChU15_a_Total_P,OPF_Total_F,OPF_Total_P,Other_family_F,Other_family_P,Total_F,Total_P
SAL10731,664,1306,5,22,47,167,9,35,255,957,315,1181,19,58,25,76,61,175,94,310,405,1497,0,4,18,57,7,20,75,186,103,270,4,11,23,41,69,153,95,197,199,471,12,32,1284,3304
SAL10732,17,37,0,0,0,0,0,0,4,18,4,18,0,0,0,0,0,5,0,5,6,18,0,0,0,0,0,0,0,4,4,3,0,0,0,0,9,11,6,14,9,22,0,0,31,73
SAL10733,186,365,4,32,18,98,5,17,80,318,110,463,12,32,30,93,44,128,77,250,188,714,0,0,6,16,0,3,9,23,13,35,0,0,7,8,16,34,21,45,35,82,6,3,404,1155
SAL10734,297,605,4,22,24,115,6,20,111,442,146,598,15,68,37,131,52,158,106,366,251,964,0,5,3,18,0,3,9,33,19,56,3,4,11,21,22,60,33,83,53,147,4,9,610,1729
SAL10735,17,30,0,0,0,3,0,0,0,9,5,12,0,0,0,0,0,0,0,0,5,12,0,0,0,5,0,0,0,4,0,5,0,0,0,3,0,4,0,9,3,13,0,0,25,54
SAL10736,0,4,0,5,0,0,0,0,0,9,0,15,0,6,0,0,0,0,0,6,0,22,0,0,3,15,0,0,4,27,13,39,0,0,0,0,0,4,0,4,11,39,0,5,17,68
SAL10737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,4,0,0,0,4
SAL10738,1308,2782,38,247,214,1022,62,325,944,3713,1260,5304,177,808,222,798,587,2023,986,3634,2246,8940,14,86,106,411,58,224,411,1171,595,1890,78,271,185,448,646,1538,903,2252,1499,4146,224,496,5275,16365
SAL10739,434,935,28,147,89,444,36,191,345,1445,494,2230,84,393,91,324,249,865,425,1586,918,3815,16,79,49,211,26,91,169,486,262,873,31,111,60,160,240,583,336,855,592,1721,40,87,1980,6562
SAL10740,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL10741,212,440,16,72,67,309,13,56,405,1580,498,2016,30,121,31,115,42,158,105,394,605,2417,5,8,7,30,3,21,30,72,42,130,0,8,10,19,20,52,29,71,73,202,8,13,896,3066
SAL10742,3,11,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,5,0,5,4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,21
SAL10743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL10744,13,30,0,0,0,9,0,0,19,62,16,74,0,0,0,0,3,13,3,13,21,87,0,0,0,9,0,0,4,12,4,20,0,0,0,0,3,8,4,10,9,30,3,4,46,148
SAL10745,6,16,0,0,0,0,0,0,3,10,3,10,0,0,0,5,0,5,3,9,8,19,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,5,0,5,0,0,17,44
SAL10746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL10747,448,896,12,61,52,253,19,84,304,1187,387,1583,25,100,32,104,80,254,137,458,519,2044,4,16,17,54,11,24,91,265,114,357,10,18,26,54,53,125,84,193,201,550,14,24,1181,3514
SAL10748,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,5,0,0,0,10
SAL10749,293,587,8,26,37,158,10,38,377,1434,428,1658,9,40,17,47,46,152,68,249,493,1902,0,5,4,18,4,19,55,151,71,193,4,17,9,20,25,55,39,91,106,286,10,14,904,2788
SAL10750,5,7,0,0,0,0,0,0,6,18,6,18,0,5,0,0,5,8,5,9,4,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,0,11,35
SAL10751,13,29,0,0,0,3,0,0,10,41,12,46,0,5,0,4,5,10,0,17,14,62,0,0,0,0,0,0,0,7,0,7,0,0,0,0,5,11,5,11,4,16,0,0,37,106
SAL10752,0,4,0,0,0,0,0,0,0,5,0,5,0,4,0,0,0,0,0,4,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9
SAL10753,9,14,0,6,0,4,0,0,0,15,3,27,0,5,0,0,0,3,3,5,5,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,3,7,3,7,0,0,17,55
SAL10754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL10755,4,8,0,8,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12
SAL10756,330,655,7,30,19,96,10,34,96,369,131,524,10,56,23,73,55,171,92,296,220,825,0,11,4,17,5,24,40,117,54,165,0,4,3,11,43,88,52,106,102,270,10,24,662,1778
SAL10757,149,300,3,22,3,21,0,10,21,96,30,148,8,28,0,0,5,22,13,55,47,201,0,4,3,4,0,3,6,18,14,31,0,4,3,7,18,35,21,44,30,77,4,5,237,576
SAL10758,6,14,0,0,0,4,3,8,5,13,8,25,0,5,0,0,6,21,6,23,11,48,0,0,0,0,0,0,3,8,3,8,0,0,0,0,0,0,0,0,3,8,0,0,21,69
SAL10759,10,25,0,0,0,7,0,0,4,15,3,20,0,0,0,4,0,4,4,3,7,26,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,4,0,0,18,51
SAL10760,0,5,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,13
SAL10761,7,17,0,0,0,9,0,4,3,9,7,18,0,0,0,0,3,13,9,14,10,39,0,0,0,0,0,5,5,9,6,17,0,0,0,0,0,0,0,0,8,17,0,3,25,72
SAL10762,40,74,0,0,6,18,0,5,6,21,11,45,0,7,8,14,16,38,20,61,28,106,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,6,6,10,9,10,0,0,74,196
SAL10763,144,280,8,39,25,101,5,19,70,280,102,441,10,35,20,61,42,124,67,223,174,667,0,4,0,11,0,4,19,58,24,73,0,0,0,0,15,31,16,33,39,112,3,5,356,1066
SAL10764,14,20,0,0,0,0,0,0,5,16,5,16,0,0,0,0,0,0,0,0,5,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,43
SAL10765,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,0,10,13
SAL10766,201,416,4,35,15,85,15,67,139,535,175,727,13,68,13,34,61,202,92,300,270,1032,0,18,9,28,0,4,39,109,53,158,4,7,10,32,42,99,56,139,106,295,5,13,583,1758
SAL10767,593,1218,18,128,61,305,27,140,383,1499,494,2060,32,143,34,110,144,485,213,735,712,2796,10,45,34,125,31,130,220,649,293,943,14,48,22,54,221,502,260,603,555,1553,33,68,1891,5634
SAL10768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL10769,313,628,9,44,25,117,11,40,216,848,258,1046,12,57,28,102,71,219,113,376,368,1425,3,8,11,39,9,38,56,130,78,211,5,9,18,38,61,127,82,176,160,388,6,14,846,2449
SAL10770,31,59,0,0,0,10,0,0,8,21,7,32,0,3,0,0,4,10,8,16,14,47,0,0,0,0,0,3,3,8,4,9,0,0,0,0,3,0,3,0,5,10,0,5,49,115
SAL10771,193,388,13,58,46,208,17,84,166,683,238,1036,35,143,35,128,69,256,139,526,377,1564,0,10,5,21,0,13,20,53,31,96,0,0,6,13,24,43,25,57,55,155,4,8,634,2116
SAL10772,490,999,14,70,64,286,17,88,360,1435,455,1879,24,98,31,94,116,396,172,595,624,2473,0,8,12,32,12,25,73,183,93,250,4,23,17,32,76,165,101,221,192,472,7,15,1317,3965
SAL10773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL10774,791,1584,32,172,167,765,51,224,966,3772,1208,4939,73,308,87,301,233,770,391,1376,1607,6315,9,46,28,86,21,63,137,376,193,575,19,74,32,64,103,240,152,374,344,950,19,43,2764,8889
SAL10775,3,4,0,0,0,0,0,0,3,10,3,10,0,0,0,0,0,4,0,4,4,13,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,0,4,23
SAL10776,4,8,0,0,0,0,0,0,0,12,0,12,0,0,0,0,0,4,0,4,5,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,25
SAL10777,846,1679,0,8,83,345,3,14,593,2184,679,2554,12,55,80,277,59,174,148,505,832,3054,0,0,16,43,0,0,128,269,151,316,11,40,44,95,67,152,126,286,271,607,30,63,1978,5403
SAL10778,8,9,0,0,0,0,0,6,0,5,0,9,0,6,0,0,0,3,0,5,3,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,26
SAL10779,1480,3009,42,240,147,685,48,258,1063,4049,1293,5230,59,264,92,328,246,817,399,1413,1693,6637,17,102,62,225,38,126,360,962,484,1418,34,113,73,159,291,658,396,936,878,2352,96,200,4146,12208
SAL10780,1226,2437,0,9,37,151,4,4,356,1241,397,1407,11,42,50,163,42,128,98,336,497,1745,0,0,12,32,5,18,77,148,90,193,5,7,27,54,61,125,90,183,178,373,43,95,1947,4645
SAL10781,2434,5057,30,182,177,796,38,186,1429,5259,1676,6419,121,523,254,887,556,1832,930,3239,2605,9662,14,67,45,173,25,84,337,849,422,1176,44,150,152,363,569,1273,761,1785,1181,2959,254,574,6471,18251
SAL10782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL10783,29,60,0,0,0,8,0,3,11,29,13,38,0,0,0,0,0,0,0,0,11,42,0,0,0,0,0,0,7,18,7,18,0,4,5,7,3,8,8,17,14,33,0,0,59,140
SAL10784,122,239,3,14,23,113,4,8,98,376,125,513,12,41,15,52,36,115,59,216,190,730,0,0,0,0,0,0,23,48,23,48,0,7,4,6,35,75,37,91,61,136,8,15,372,1124
SAL10785,4,7,0,0,0,4,0,0,0,3,4,12,0,0,0,0,0,0,0,0,4,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,18
SAL10786,6,3,0,0,0,0,0,0,8,22,8,22,0,0,0,0,0,0,0,0,9,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,27
SAL10787,100,197,4,9,7,36,3,20,37,138,44,201,9,22,3,13,21,58,29,96,76,295,0,4,0,7,0,0,14,36,16,47,0,3,3,8,10,30,19,36,35,85,0,5,215,583
SAL10788,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,3,7,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,18
SAL10789,82,168,6,22,9,40,7,45,53,219,81,326,6,16,4,12,25,80,32,109,106,434,0,3,3,8,0,0,13,29,11,38,0,5,5,13,6,15,15,38,29,77,0,0,222,681
SAL10790,628,1345,43,259,151,752,56,290,578,2392,823,3686,129,577,141,522,440,1562,710,2657,1530,6349,17,88,56,224,35,139,244,718,348,1172,60,212,87,233,340,851,491,1295,842,2468,91,201,3086,10358
SAL10791,570,1200,37,212,136,648,37,181,469,1885,676,2926,96,428,109,413,328,1171,538,2020,1215,4948,7,39,63,217,29,114,192,538,287,908,43,141,64,168,290,692,393,992,677,1897,83,173,2543,8220
SAL10792,71,139,0,3,15,68,0,4,24,103,44,176,4,11,13,36,14,36,24,77,66,255,0,0,0,0,0,0,3,11,3,11,0,0,0,3,0,0,0,3,8,15,0,0,142,403
SAL10793,24,45,0,0,3,11,5,19,8,41,15,72,0,8,0,3,3,15,8,26,24,97,0,0,0,3,0,0,0,0,0,3,0,0,0,0,5,14,5,14,8,17,0,0,54,160
SAL10794,4,9,0,0,0,0,0,0,4,14,4,14,0,0,0,0,0,0,0,0,5,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,19
SAL10795,295,583,4,47,24,112,10,39,108,438,150,636,9,38,14,33,45,138,64,211,217,844,3,9,7,20,9,17,39,113,51,159,0,7,3,14,38,79,44,99,97,262,6,12,620,1711
SAL10796,1054,2149,5,24,68,323,15,72,634,2298,725,2715,34,161,88,292,186,630,311,1078,1034,3796,3,26,14,45,12,46,118,286,153,398,22,81,59,137,170,364,246,579,399,980,70,153,2562,7084
SAL10797,140,276,0,0,7,34,0,3,41,158,46,193,3,12,3,13,20,64,25,86,75,283,0,3,4,13,0,5,15,38,21,59,0,0,8,16,25,54,29,65,47,128,3,7,268,694
SAL10798,61,125,0,0,4,16,4,24,34,123,37,165,0,8,4,10,3,19,10,33,50,202,0,0,0,0,0,0,4,3,4,3,0,6,0,0,9,21,7,20,15,23,0,0,125,353
SAL10799,12,25,0,0,0,8,0,0,0,7,3,9,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,3,3,3,3,0,0,0,0,0,0,0,0,3,3,0,0,22,42
SAL10800,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,5,0,0,7,11
SAL10801,12,31,0,0,0,0,0,0,6,22,6,22,0,0,5,8,4,5,4,9,8,31,0,0,0,0,0,0,3,7,3,7,0,0,0,0,4,5,4,5,7,8,0,0,27,73
SAL10802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL10803,69,132,0,3,4,23,0,0,34,147,45,181,3,13,6,20,9,35,18,62,60,245,0,0,0,12,0,0,13,29,14,39,0,0,10,12,12,21,21,37,30,75,0,6,163,462
SAL10804,11,22,0,0,0,0,0,3,6,19,8,22,0,0,0,0,0,0,0,0,3,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,55
SAL10805,14,26,0,3,3,18,0,0,8,41,15,66,0,0,0,5,4,3,0,9,18,72,0,5,0,0,0,0,0,0,0,5,0,0,0,0,4,7,4,7,3,13,0,0,40,113
SAL10806,3,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,11,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,8,0,5,11,26
SAL10807,40,79,0,13,0,0,4,13,11,48,18,74,0,0,0,8,3,19,12,27,25,95,0,0,0,0,0,0,8,16,8,16,0,0,3,4,0,3,4,3,12,26,0,0,73,200
SAL10808,667,1338,12,79,55,258,22,83,390,1461,477,1877,19,98,40,121,128,420,192,638,667,2516,0,0,27,77,14,48,149,369,186,499,12,31,35,74,142,302,188,406,372,908,32,67,1740,4829
SAL10809,157,304,3,16,16,65,3,18,88,342,108,448,3,12,16,50,37,110,49,172,166,621,0,0,9,15,6,12,15,38,27,61,0,5,3,17,20,42,30,64,51,128,6,15,377,1072
SAL10810,276,557,3,23,33,136,10,61,184,701,230,921,26,103,25,88,83,252,129,445,364,1364,0,0,9,30,6,20,59,154,80,205,10,27,10,24,64,147,87,198,167,408,13,31,814,2354
SAL10811,127,259,0,3,5,18,4,20,37,155,49,197,4,5,3,17,13,43,22,73,71,269,0,7,4,13,0,0,19,45,24,67,0,0,0,6,18,35,20,42,45,108,5,8,242,643
SAL10812,55,110,0,9,7,32,0,9,51,214,63,264,0,7,3,20,9,37,19,60,80,317,0,0,0,0,0,6,12,30,10,29,0,0,0,3,3,9,6,9,21,45,0,4,155,475
SAL10813,14,26,0,0,0,5,0,0,10,57,14,56,0,0,4,7,0,4,7,14,18,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,0,37,101
SAL10814,1243,2489,11,84,104,469,24,101,966,3616,1106,4273,56,250,109,377,194,644,362,1275,1467,5547,9,32,41,128,9,30,209,485,267,674,21,60,79,164,258,578,361,805,618,1471,49,97,3375,9605
SAL10815,1283,2575,26,140,188,881,43,198,1016,4070,1277,5291,163,688,188,664,414,1373,765,2724,2037,8017,5,25,22,84,9,36,88,244,131,387,26,76,42,94,196,435,259,609,389,994,33,62,3743,11655
SAL10816,5,9,0,0,0,8,0,5,0,0,0,14,0,4,0,0,0,0,0,8,5,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,24
SAL10817,2350,4752,26,142,374,1696,57,271,2520,9720,2980,11830,254,1057,513,1789,774,2556,1543,5407,4518,17237,13,48,67,207,7,31,364,930,451,1220,56,163,172,430,360,803,588,1401,1041,2620,106,232,8017,24842
SAL10818,1005,2068,18,126,108,495,27,124,707,2665,865,3402,86,369,141,495,282,953,508,1812,1372,5213,3,24,28,106,15,47,112,273,160,452,27,90,63,134,211,468,297,686,453,1140,60,130,2888,8556
SAL10819,153,313,26,143,75,370,16,83,327,1375,444,1965,21,107,40,139,87,299,146,547,591,2516,5,12,12,35,4,3,22,84,48,145,9,25,5,9,36,101,48,143,97,283,3,11,845,3121
SAL10820,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4
SAL10821,14,31,0,5,3,7,0,0,3,18,8,28,0,3,3,11,4,16,10,30,17,63,0,0,0,4,0,3,4,8,5,16,0,0,3,3,6,10,3,15,8,26,0,0,41,121
SAL10822,17,31,0,0,0,3,0,0,9,24,10,31,0,0,3,13,5,18,8,26,15,58,0,0,0,0,0,0,16,48,16,48,0,3,0,0,3,12,3,12,22,64,0,9,49,156
SAL10823,0,3,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,5,0,0,0,10
SAL10824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL10825,213,435,10,59,47,242,10,42,155,643,220,991,19,71,27,103,73,246,116,421,339,1408,5,12,11,48,7,22,57,151,79,236,13,33,19,52,102,247,136,328,216,563,20,40,781,2445
SAL10826,25,46,0,0,3,17,0,3,12,39,14,62,5,8,4,4,7,11,12,23,24,85,0,0,0,0,0,0,0,9,0,9,0,0,0,0,3,8,3,8,4,12,0,0,54,151
SAL10827,18,41,0,0,5,7,0,5,5,15,7,25,0,4,0,10,7,9,8,28,15,53,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,35,97
SAL10828,10,11,0,0,0,0,0,0,0,10,0,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,6,0,0,9,22
SAL10829,242,469,0,13,9,38,0,7,129,450,137,505,0,3,9,35,17,61,33,100,168,607,0,0,4,15,6,14,44,109,46,133,0,0,11,26,39,84,56,114,99,247,4,10,517,1336
SAL10830,7,9,0,0,0,0,0,0,3,9,3,9,0,0,0,0,5,5,5,5,3,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,27
SAL10831,30,66,0,0,3,26,0,0,17,78,25,104,5,19,4,5,7,17,11,37,31,135,0,0,0,5,0,0,9,25,9,30,0,3,0,6,3,4,5,11,17,41,5,9,85,246
SAL10832,3,9,0,0,0,6,0,0,3,12,5,18,0,0,0,0,0,0,0,0,5,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,27
SAL10833,17,35,0,0,3,19,0,6,7,30,15,53,0,0,0,0,3,23,3,23,19,74,0,0,0,0,0,0,9,19,9,19,0,0,0,0,0,3,0,3,5,23,0,0,44,130
SAL10834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,0,7,0,0,4,4
SAL10835,3,10,0,0,0,0,0,0,5,7,5,7,0,0,0,0,0,0,0,0,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,13
SAL10836,112,221,4,11,24,107,3,11,78,316,105,448,12,68,23,96,41,133,82,304,187,755,0,0,0,6,0,6,7,20,8,27,6,27,7,9,24,50,34,88,46,114,0,5,347,1091
SAL10837,128,271,15,78,30,150,11,54,127,524,176,801,13,53,12,59,49,184,78,291,255,1095,7,33,17,70,8,18,76,224,104,343,4,23,16,29,85,188,106,239,203,584,11,17,599,1969
SAL10838,24,51,0,6,0,6,0,0,7,28,8,38,0,8,4,10,5,15,8,30,20,63,0,0,0,0,0,0,8,10,3,18,0,0,0,0,0,0,0,0,6,16,0,0,52,133
SAL10839,8,10,0,0,0,0,0,0,3,11,3,11,0,0,0,0,0,0,0,0,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,27
SAL10840,208,421,4,26,20,75,6,21,100,392,125,513,16,74,15,43,56,174,85,294,211,802,0,10,0,4,0,0,18,50,24,75,0,3,3,10,10,17,12,31,37,102,9,10,463,1342
SAL10841,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
SAL10842,1191,2386,15,76,71,340,34,168,471,1946,588,2529,32,133,40,137,204,661,278,932,869,3457,6,39,35,123,35,133,299,877,377,1173,26,80,41,85,235,516,303,683,677,1858,56,124,2790,7826
SAL10843,35,66,6,13,5,17,0,0,15,77,23,103,0,0,0,3,5,21,7,24,26,121,0,0,0,0,0,4,3,9,4,11,0,0,0,3,4,9,5,16,9,26,0,0,72,217
SAL10844,237,481,4,19,59,275,5,17,185,761,252,1069,21,95,71,251,80,271,176,619,428,1689,0,0,6,24,0,0,13,39,18,62,6,12,10,31,38,80,57,128,72,189,4,10,748,2366
SAL10845,25,49,0,0,3,25,0,0,13,42,15,67,0,0,4,14,0,0,3,21,22,85,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,4,7,0,0,47,137
SAL10846,3748,7577,75,397,762,3493,86,386,3065,11914,3985,16188,423,1855,794,2874,1223,4031,2438,8763,6423,24955,11,47,97,330,33,92,344,882,481,1350,78,252,184,439,490,1091,748,1785,1231,3135,108,224,11503,35889
SAL10847,15,35,0,0,0,8,0,6,7,31,11,36,0,0,5,16,4,11,5,26,13,64,0,4,0,0,0,0,0,0,0,4,0,0,0,0,5,3,5,3,6,8,0,0,38,111
SAL10848,284,561,8,26,71,343,7,27,191,746,273,1142,23,106,108,373,84,270,216,750,492,1889,0,0,10,23,0,0,16,50,28,76,3,10,18,45,26,61,47,116,77,190,8,19,861,2662
SAL10849,127,244,0,16,17,78,8,43,84,380,116,522,8,35,10,35,41,132,55,204,174,726,0,4,3,12,0,12,8,26,11,45,3,13,0,3,21,58,26,72,40,116,3,11,340,1095
SAL10850,327,660,6,20,54,224,7,26,305,1211,367,1489,23,102,39,141,46,148,110,386,474,1878,0,10,13,33,3,4,42,97,55,147,0,4,13,27,25,51,42,85,99,232,0,7,903,2776
SAL10851,1040,2124,87,540,259,1280,58,306,1045,4284,1454,6406,198,886,201,721,561,1895,957,3496,2410,9898,27,125,46,192,26,97,229,702,329,1114,40,150,70,167,338,798,449,1112,780,2231,55,116,4279,14371
SAL10852,340,693,5,23,29,137,8,40,89,343,123,546,5,17,6,21,53,161,62,206,194,745,4,11,10,39,5,31,50,131,66,219,10,20,9,14,48,110,63,143,128,362,7,20,669,1811
SAL10853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,4,0,0,0,4
SAL10854,12,22,0,5,6,18,0,0,8,24,7,43,0,0,0,0,0,3,0,3,12,47,0,0,0,0,0,0,6,8,6,8,0,0,0,0,5,6,5,6,9,16,0,0,33,83
SAL10855,250,515,10,57,36,165,20,107,192,770,255,1096,18,84,15,62,89,312,126,461,379,1557,0,5,0,10,6,19,31,79,35,115,4,15,9,10,42,103,55,126,92,244,6,14,730,2327
SAL10856,98,194,6,20,18,72,0,10,90,368,115,461,3,10,6,38,19,64,30,108,149,572,6,13,0,0,0,0,14,32,12,39,0,0,0,3,6,13,11,15,20,55,3,9,271,831
SAL10857,0,0,0,0,0,6,0,0,3,10,4,17,0,0,0,0,0,13,0,13,7,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,33
SAL10858,94,196,5,19,21,103,9,40,74,311,107,473,11,48,6,37,43,137,64,219,171,692,0,0,0,0,0,3,10,21,8,20,0,6,0,5,8,17,8,28,19,51,3,4,283,936
SAL10859,0,3,0,0,0,0,0,0,0,10,0,10,0,0,0,0,0,0,0,0,0,10,0,0,0,4,0,0,0,5,6,7,0,0,0,0,0,0,0,0,6,7,0,0,3,18
SAL10860,0,8,0,0,0,0,0,0,0,4,0,4,0,8,0,3,0,0,4,17,7,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,33
