SAL_CODE_2021,One_method_Train_M,One_method_Train_F,One_method_Train_P,One_method_Bus_M,One_method_Bus_F,One_method_Bus_P,One_method_Ferry_M,One_method_Ferry_F,One_method_Ferry_P,One_met_Tram_or_lt_rail_M,One_met_Tram_or_lt_rail_F,One_met_Tram_or_lt_rail_P,One_met_Taxi_or_Rideshare_M,One_met_Taxi_or_Rideshare_F,One_met_Taxi_or_Rideshare_P,One_method_Car_as_driver_M,One_method_Car_as_driver_F,One_method_Car_as_driver_P,One_method_Car_as_passenger_M,One_method_Car_as_passenger_F,One_method_Car_as_passenger_P,One_method_Truck_M,One_method_Truck_F,One_method_Truck_P,One_method_Motorbike_scootr_M,One_method_Motorbike_scootr_F,One_method_Motorbike_scootr_P,One_method_Bicycle_M,One_method_Bicycle_F,One_method_Bicycle_P,One_method_Other_M,One_method_Other_F,One_method_Other_P,One_method_Walked_only_M,One_method_Walked_only_F,One_method_Walked_only_P,One_method_Tot_one_method_M,One_method_Tot_one_method_F,One_method_Tot_one_method_P,Two_methods_Train_Bus_M,Two_methods_Train_Bus_F,Two_methods_Train_Bus_P,Two_methods_Train_Ferry_M,Two_methods_Train_Ferry_F,Two_methods_Train_Ferry_P,Two_mt_trn_Trm_or_lt_rail_M,Two_mt_trn_Trm_or_lt_rail_F,Two_mt_trn_Trm_or_lt_rail_P,Two_methods_Trn_Car_as_drvr_M,Two_methods_Trn_Car_as_drvr_F,Two_methods_Trn_Car_as_drvr_P,Two_methods_Trn_Car_as_pass_M,Two_methods_Trn_Car_as_pass_F,Two_methods_Trn_Car_as_pass_P,Two_methods_Train_Other_M,Two_methods_Train_Other_F,Two_methods_Train_Other_P,Two_methods_Train_Tot_M,Two_methods_Train_Tot_F,Two_methods_Train_Tot_P,Two_methods_Bus_Ferry_M,Two_methods_Bus_Ferry_F,Two_methods_Bus_Ferry_P,Two_mth_Bu_Trm_or_lt_rail_M,Two_mth_Bu_Trm_or_lt_rail_F,Two_mth_Bu_Trm_or_lt_rail_P,Two_methods_Bus_Car_as_drvr_M,Two_methods_Bus_Car_as_drvr_F,Two_methods_Bus_Car_as_drvr_P,Two_methods_Bus_Car_as_pass_M,Two_methods_Bus_Car_as_pass_F,Two_methods_Bus_Car_as_pass_P,Two_methods_Bus_Other_M,Two_methods_Bus_Other_F,Two_methods_Bus_Other_P,Two_methods_Bus_Tot_M,Two_methods_Bus_Tot_F,Two_methods_Bus_Tot_P,Two_methds_Othr_two_methds_M,Two_methds_Othr_two_methds_F,Two_methds_Othr_two_methds_P,Two_methods_Tot_two_methods_M,Two_methods_Tot_two_methods_F,Two_methods_Tot_two_methods_P,Three_meth_Tr_2_oth_meth_M,Three_meth_Tr_2_oth_meth_F,Three_meth_Tr_2_oth_meth_P,Three_met_Bs_2_ot_met_ex_tr_M,Three_met_Bs_2_ot_met_ex_tr_F,Three_met_Bs_2_ot_met_ex_tr_P,Three_meth_Othr_three_meth_M,Three_meth_Othr_three_meth_F,Three_meth_Othr_three_meth_P,Three_meth_Tot_three_meth_M,Three_meth_Tot_three_meth_F,Three_meth_Tot_three_meth_P,Worked_home_M,Worked_home_F,Worked_home_P,Did_not_go_to_work_M,Did_not_go_to_work_F,Did_not_go_to_work_P,Method_travel_to_work_ns_M,Method_travel_to_work_ns_F,Method_travel_to_work_ns_P,Tot_M,Tot_F,Tot_P
SAL10011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,40,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,40,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,15,24,12,16,28,0,0,0,94,73,170
SAL10012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,14,0,0,0,0,0,0,12,10,17
SAL10013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,11
SAL10014,4,10,15,10,6,17,0,0,0,0,0,0,0,0,0,402,313,714,17,35,55,5,0,5,3,0,3,0,0,0,5,4,6,0,6,5,459,368,832,3,10,17,0,0,0,0,0,0,0,3,3,5,0,3,0,0,0,7,8,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,9,17,14,29,8,5,10,0,0,0,0,0,0,8,5,12,381,431,809,135,168,300,3,3,4,1002,990,1989
SAL10015,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,38,27,65,5,3,6,0,0,0,0,0,0,0,0,0,0,0,3,4,9,13,54,41,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,13,21,4,7,15,4,0,5,71,65,134
SAL10016,4,0,6,19,24,36,0,0,0,0,0,0,8,0,10,965,788,1756,41,60,95,13,0,13,15,3,23,15,8,20,12,10,18,39,31,71,1123,927,2050,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,5,18,3,18,21,4,26,0,0,0,0,0,0,0,0,0,0,0,0,359,504,866,185,346,532,6,3,10,1698,1783,3486
SAL10017,0,0,0,4,5,9,0,0,0,0,0,0,0,0,0,800,577,1375,27,41,73,6,0,6,10,0,12,16,0,15,5,9,11,22,20,43,892,661,1556,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,3,7,0,0,0,0,3,7,4,0,7,4,7,10,0,0,5,0,0,0,0,0,0,0,0,5,369,453,824,184,275,454,6,3,9,1459,1406,2860
SAL10018,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,164,126,292,10,4,14,4,0,4,0,0,0,0,0,0,0,0,4,5,12,21,187,150,333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,3,8,0,3,0,0,0,0,0,0,0,0,0,0,0,0,8,15,28,17,32,48,0,5,3,224,195,421
SAL10019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,8,21,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,5,4,9,17,11,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,11,0,0,0,0,0,0,22,20,42
SAL10020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,6,4,11
SAL10021,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,168,96,267,3,13,12,14,0,14,0,0,0,0,0,0,0,3,0,7,5,13,202,114,313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,76,109,34,42,72,0,0,0,281,226,506
SAL10022,3,11,11,3,4,10,0,0,0,0,0,0,0,0,5,203,169,365,29,33,60,3,0,3,6,0,6,0,0,0,0,0,0,0,6,9,253,219,469,3,11,20,0,0,0,0,0,0,0,4,5,3,0,3,0,0,0,13,12,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,12,12,30,5,9,6,0,0,0,0,0,0,5,9,6,42,59,101,52,58,107,10,0,7,366,357,725
SAL10023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,17,28,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,19,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,11,7,3,6,0,0,0,27,23,48
SAL10024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,10,22,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,6,17,11,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,12,0,0,0,0,0,0,18,20,41
SAL10025,7,6,18,4,6,12,0,0,0,0,0,0,4,0,4,2361,1787,4144,94,105,202,56,5,59,22,0,22,7,0,7,24,7,27,22,22,45,2604,1940,4542,4,3,3,0,0,0,0,0,0,8,0,9,0,0,0,0,0,0,5,3,13,0,0,0,0,0,0,0,0,0,3,4,9,0,0,0,6,4,3,17,15,34,24,23,49,4,0,8,0,0,0,0,0,0,4,0,8,432,756,1183,448,688,1140,9,6,20,3520,3416,6936
SAL10026,21,7,31,3,8,14,0,0,0,0,0,0,0,0,0,998,803,1805,41,43,85,40,0,40,11,5,14,8,0,4,4,3,11,15,15,25,1145,887,2034,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8,0,0,0,0,0,0,0,0,0,3,3,5,0,0,0,3,3,5,7,3,12,20,8,21,0,3,3,0,0,0,0,0,0,0,3,3,136,244,379,192,294,483,11,5,15,1495,1439,2929
SAL10027,0,4,4,0,3,5,0,0,0,0,0,0,3,4,10,774,763,1541,37,60,99,5,0,5,6,0,6,31,11,41,9,0,12,114,124,239,972,972,1946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,17,9,5,17,0,0,0,0,0,0,0,0,0,0,0,0,157,190,346,78,128,211,7,0,7,1231,1301,2529
SAL10028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,109,225,3,9,9,6,0,6,5,0,5,0,0,0,0,0,4,0,0,0,121,121,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,15,21,18,11,28,0,0,5,143,145,293
SAL10029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,25,43,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,4,5,29,21,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,22,8,4,11,0,0,0,44,39,82
SAL10030,130,94,232,37,40,75,0,0,0,0,0,0,6,15,26,638,420,1059,24,51,74,4,0,4,55,7,62,83,40,128,22,18,41,156,160,319,1163,853,2012,41,39,76,0,0,0,4,0,3,6,0,4,0,4,4,8,7,10,55,51,101,0,0,0,0,0,0,0,0,0,0,3,3,0,0,4,7,4,11,8,12,19,66,64,127,12,9,16,0,0,0,0,0,0,12,9,15,1988,1946,3930,289,350,637,12,4,10,3521,3220,6742
SAL10031,15,0,14,0,0,0,0,0,0,0,0,0,0,0,0,397,269,663,9,25,34,22,0,22,0,0,0,0,0,0,7,3,11,4,6,5,446,312,752,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,9,5,14,0,0,0,0,0,0,0,0,0,0,0,0,286,343,628,96,128,223,0,0,6,839,788,1622
SAL10032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,17,37,5,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,18,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,15,4,0,4,0,0,0,24,32,57
SAL10033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL10034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,7,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,8,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,8,0,0,3,0,0,0,21,17,35
SAL10035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,11,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,13,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,10,12,3,3,3,0,0,0,27,20,49
SAL10036,0,0,0,35,30,64,0,0,0,0,0,0,0,0,6,673,503,1175,45,52,92,24,0,26,29,4,30,13,9,25,10,7,16,26,48,78,849,650,1501,5,9,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,10,0,0,0,0,0,0,8,0,3,0,4,5,0,0,5,15,9,19,5,4,13,23,22,40,3,0,0,0,0,0,0,0,0,6,0,3,791,786,1573,162,309,472,4,3,8,1827,1773,3599
SAL10037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,12,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,10,15,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,17,3,0,5,0,0,0,21,27,41
SAL10038,164,147,309,5,7,6,0,0,0,0,0,0,0,0,4,505,279,780,19,59,74,8,0,8,11,0,11,4,0,4,8,3,11,18,42,66,738,537,1274,30,58,86,0,0,0,0,0,3,0,0,0,0,6,10,0,0,3,39,67,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,8,17,48,76,127,10,7,10,0,0,0,0,0,0,10,7,10,396,407,806,205,222,432,0,4,3,1403,1251,2651
SAL10039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,9,5,15,0,6,6,0,0,0,14,14,31
SAL10040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,32,48,3,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,29,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,5,0,0,0,27,38,64
SAL10041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,17,57,3,0,3,3,0,3,0,0,0,0,0,0,0,0,0,4,0,7,45,23,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,13,0,4,4,0,0,0,50,31,85
SAL10042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,6,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,9,0,0,7,0,0,0,10,10,25
SAL10043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6,18,0,0,0,0,0,0,15,9,29
SAL10044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,24,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,25,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,11,21,4,5,9,0,0,0,39,37,75
SAL10045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,57,119,4,0,3,3,0,8,0,0,0,0,0,0,0,0,0,3,0,3,80,59,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,26,53,20,19,34,5,0,3,126,108,236
SAL10046,4,0,4,7,10,17,0,0,0,0,0,0,0,0,0,756,717,1470,46,48,99,12,0,13,0,0,0,5,0,7,3,3,8,25,24,54,862,808,1666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,3,11,9,6,15,0,0,0,0,0,0,0,0,0,0,0,0,162,233,395,137,227,360,7,8,21,1175,1282,2461
SAL10047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,15,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,10,0,0,0,0,0,0,21,17,42
