SSC_CODE_2016,Tot_OcMngr,Tot_OcProf,Tot_OcTechTrdW,Tot_OcComPerS,Tot_OcClericAdm,Tot_OcSalesWk,Tot_OcMacOp_Driv,Tot_OcLab,Tot_OcID_NS,Tot_Tot
SSC10106,901,1929,2683,1488,1289,1478,1301,2531,484,14075
SSC10107,13,15,10,8,4,4,0,10,0,64
SSC10108,189,537,128,109,127,72,35,43,13,1245
SSC10109,188,134,219,87,173,116,142,108,27,1207
SSC10110,21,13,5,6,3,7,8,19,0,77
SSC10111,901,1424,649,465,646,468,82,256,91,4977
SSC10112,3,0,3,0,0,0,0,0,0,12
SSC10113,30,20,14,10,12,11,0,10,4,103
SSC10114,323,649,305,267,268,208,66,150,24,2256
SSC10115,0,0,0,0,0,0,0,0,0,0
SSC10116,64,95,148,94,110,86,64,79,9,737
SSC10117,15,3,6,8,5,3,0,6,0,53
SSC10118,15,31,34,16,25,18,18,22,3,179
SSC10119,18,18,18,6,10,14,7,12,0,107
SSC10120,21,3,6,6,10,3,13,11,3,75
SSC10121,0,0,0,0,0,0,0,0,0,3
SSC10122,3,0,0,0,0,0,0,3,0,5
SSC10123,13,0,0,0,0,0,0,0,0,21
SSC10124,3,0,0,0,0,0,0,3,0,14
SSC10125,10,0,0,0,0,0,0,0,0,10
SSC10126,0,0,0,0,0,0,0,0,0,3
SSC10127,3,0,0,0,0,0,0,0,0,7
SSC10128,7,0,0,0,0,3,0,0,0,11
SSC10129,3,18,3,3,5,8,0,4,0,44
SSC10130,7,5,15,8,13,3,0,14,3,66
SSC10131,3,5,0,0,0,0,0,0,0,9
SSC10132,22,9,9,3,11,5,17,11,0,81
SSC10133,0,0,0,0,0,0,0,0,0,0
SSC10134,6,3,5,0,3,0,0,7,0,27
SSC10135,6,0,3,0,3,0,3,0,0,14
SSC10136,4,0,6,0,0,0,0,0,0,11
SSC10137,0,0,4,4,0,0,0,3,0,12
SSC10138,3,6,6,3,0,0,0,3,0,28
SSC10139,4,3,0,0,3,0,4,0,0,13
SSC10140,3,0,0,0,0,0,0,0,0,4
SSC10141,9,0,0,0,0,0,0,0,0,13
SSC10142,14,4,6,0,0,0,0,0,0,24
SSC10143,29,32,56,24,26,25,15,24,3,232
SSC10144,24,5,3,7,8,0,3,7,0,57
SSC10145,33,64,72,46,46,46,30,33,8,384
SSC10146,11,0,4,0,0,0,0,4,0,29
SSC10147,16,21,23,8,10,14,8,9,0,112
SSC10148,4,0,0,0,0,0,0,0,0,4
SSC10149,0,0,0,0,0,0,0,0,0,3
SSC10150,15,5,0,0,3,4,0,4,0,35
SSC10151,25,7,0,0,3,3,0,10,0,41
SSC10152,6,7,0,0,0,0,0,0,0,19
SSC10153,908,1390,349,337,538,364,81,132,70,4152
SSC10154,394,582,55,109,189,131,11,36,26,1532
SSC10155,322,634,345,260,352,224,118,172,48,2474
SSC10156,0,0,0,0,0,0,0,3,0,11
SSC10157,16,8,3,11,4,0,3,8,0,57
SSC10158,7,0,0,0,0,0,0,0,0,6
SSC10159,24,7,4,4,3,3,0,6,0,59
SSC10160,6,4,7,3,4,3,3,3,0,39
SSC10161,30,10,11,7,11,9,5,5,0,92
SSC10162,279,439,448,402,312,352,153,423,47,2854
SSC10163,0,0,0,0,0,0,0,0,0,3
SSC10164,1335,2410,302,352,637,374,52,106,70,5634
SSC10165,243,442,36,66,100,66,14,19,19,994
SSC10166,35,62,69,40,52,38,30,40,3,359
SSC10167,34,32,51,25,26,18,13,22,6,230
SSC10168,85,56,70,74,58,26,75,116,15,565
SSC10169,3,3,0,0,3,0,0,3,0,15
SSC10170,0,0,0,0,0,0,0,0,0,0
SSC10171,16,6,9,3,7,0,5,12,0,60
SSC10172,0,0,0,0,0,0,0,0,0,3
SSC10173,49,82,46,34,38,42,18,19,7,331
SSC10174,171,276,114,98,98,91,34,82,16,976
SSC10175,13,0,0,0,0,0,0,3,0,24
SSC10176,27,10,9,5,8,4,3,3,4,60
SSC10177,462,713,372,260,537,310,115,141,45,2957
SSC10178,180,326,196,184,241,151,121,176,26,1608
SSC10179,0,3,0,0,0,0,0,0,0,15
SSC10180,876,1976,1526,1479,1411,1200,1210,1482,327,11490
SSC10181,0,0,0,0,0,0,0,0,0,0
SSC10182,4,0,3,5,0,0,4,0,0,16
SSC10183,26,16,4,7,4,7,3,4,0,66
SSC10184,5,0,0,0,0,0,0,3,0,12
SSC10185,614,916,934,925,870,871,350,697,96,6266
SSC10186,0,0,0,0,0,0,3,4,0,8
SSC10187,81,279,46,74,70,40,15,30,13,653
SSC10188,3,12,3,0,0,0,0,3,0,28
SSC10189,0,5,0,0,0,0,0,0,0,12
SSC10190,50,33,24,27,19,6,15,50,10,236
SSC10191,22,26,3,0,10,7,0,5,0,78
SSC10192,0,0,0,0,0,0,0,0,0,0
SSC10193,376,559,361,239,438,251,99,138,42,2520
SSC10194,89,201,139,73,148,52,58,42,19,820
SSC10195,166,314,135,81,198,102,62,65,27,1140
SSC10196,145,262,138,77,164,93,82,77,17,1062
SSC10197,83,25,25,7,28,8,24,25,4,222
SSC10198,242,247,404,193,271,195,211,222,38,2023
SSC10199,119,87,68,58,57,41,43,99,14,580
SSC10200,0,0,0,0,0,0,0,0,0,0
SSC10201,12,20,9,8,3,3,3,6,0,60
SSC10202,50,14,19,3,12,8,5,26,3,133
SSC10203,0,0,0,0,0,0,0,0,0,0
SSC10204,49,72,174,88,125,101,94,139,16,848
SSC10205,135,94,114,87,83,64,52,134,15,774
SSC10206,86,58,49,48,45,33,18,73,7,415
SSC10207,158,277,431,331,278,258,224,289,41,2307
SSC10208,45,58,51,20,40,29,20,24,9,300
SSC10209,4,6,9,4,7,3,0,10,4,50
SSC10210,7,5,6,5,4,4,0,5,0,43
SSC10211,0,0,0,0,0,0,0,0,0,0
SSC10212,0,0,0,0,0,0,0,0,0,0
SSC10213,29,16,7,8,7,6,3,8,0,82
SSC10214,0,0,4,0,0,0,0,0,0,7
SSC10215,0,3,0,0,0,0,0,3,0,10
SSC10216,30,24,20,9,17,3,13,12,4,141
SSC10217,0,0,0,0,0,0,0,0,0,0
SSC10218,16,3,15,3,11,3,11,14,3,72
SSC10219,0,0,0,0,0,0,0,0,0,0
SSC10220,19,5,0,3,3,5,0,5,0,47
SSC10221,6,0,0,0,0,0,0,0,0,15
SSC10222,3,0,0,3,0,0,0,8,0,18
SSC10223,53,73,107,86,59,68,41,71,13,568
SSC10224,296,537,514,346,520,328,320,339,90,3291
SSC10225,0,0,0,0,0,0,0,0,0,3
SSC10226,5,6,3,4,3,0,0,3,3,24
SSC10227,531,932,847,645,665,634,290,531,66,5133
SSC10228,51,83,76,86,75,84,36,74,16,588
SSC10229,67,30,59,70,23,71,26,60,7,415
SSC10230,3,3,4,3,3,0,3,4,0,18
SSC10231,333,713,406,496,299,368,150,360,47,3164
SSC10232,74,57,66,58,45,21,70,154,16,551
SSC10233,2797,5684,1990,1522,3018,1669,589,918,303,18490
SSC10234,20,23,16,16,14,10,3,13,0,117
SSC10235,35,49,48,26,29,28,6,32,3,254
SSC10236,0,0,0,0,0,0,0,0,0,0
SSC10237,338,394,140,133,207,124,31,53,22,1439
SSC10238,623,1000,468,364,588,346,136,270,65,3861
SSC10239,128,208,60,61,93,47,16,44,15,666
SSC10240,10,6,0,0,3,0,0,4,0,24
SSC10241,27,4,0,0,0,0,0,4,0,37
SSC10242,17,18,4,0,5,3,5,8,0,53
SSC10243,855,1293,456,363,810,498,147,216,96,4725
SSC10244,21,6,8,5,4,3,4,3,0,57
SSC10245,36,14,19,4,8,3,10,10,4,103
SSC10246,8,3,0,3,3,0,0,5,0,26
SSC10247,22,7,6,3,7,5,6,7,3,70
SSC10248,26,32,48,30,41,21,15,27,3,245
SSC10249,787,1856,283,323,676,364,69,127,48,4530
SSC10250,0,0,0,0,0,0,0,0,0,0
SSC10251,24,18,38,20,21,28,20,31,0,204
SSC10252,0,0,0,0,0,0,0,0,0,4
SSC10253,164,265,227,239,201,218,124,395,31,1854
SSC10254,33,6,0,0,3,4,0,6,0,56
SSC10255,4,3,0,0,0,0,0,0,0,12
SSC10256,13,18,8,3,0,4,5,3,0,50
SSC10257,337,555,394,244,486,282,157,243,64,2766
SSC10258,9,17,28,8,7,5,13,6,0,93
SSC10259,0,0,3,0,3,0,0,0,0,10
SSC10260,15,8,10,7,16,3,3,7,0,61
SSC10261,36,43,71,29,47,16,24,28,8,302
SSC10262,0,3,0,0,3,0,0,0,0,13
SSC10263,773,1345,339,285,741,381,115,156,85,4223
SSC10264,84,264,254,226,174,127,118,194,31,1464
SSC10265,13,3,7,0,3,3,3,8,0,47
SSC10266,61,13,4,7,15,4,29,18,0,154
SSC10267,17,14,6,0,3,6,0,0,0,50
SSC10268,56,78,153,115,112,80,104,99,7,804
SSC10269,29,43,69,40,39,36,40,43,3,341
SSC10270,30,16,7,6,4,4,3,6,0,76
SSC10271,1221,2232,252,392,624,434,57,138,123,5466
SSC10272,16,0,4,4,6,3,5,5,0,44
SSC10273,162,388,201,197,138,124,71,133,20,1437
SSC10274,31,16,6,10,11,0,0,3,3,69
SSC10275,10,8,0,0,0,0,0,0,0,18
SSC10276,280,536,493,334,419,300,169,296,31,2852
SSC10277,246,478,550,341,373,265,191,293,38,2784
SSC10278,32,53,85,67,54,42,27,58,10,427
SSC10279,433,880,727,627,778,516,465,672,134,5220
SSC10280,19,13,15,11,12,13,11,13,11,117
SSC10281,8,0,3,0,0,4,0,0,0,16
SSC10282,0,0,0,0,0,0,0,0,0,3
SSC10283,739,1063,400,338,611,389,105,196,75,3917
SSC10284,52,28,27,23,25,14,18,37,5,226
SSC10285,9,7,9,4,4,3,0,3,0,42
SSC10286,33,8,9,0,7,3,3,13,3,71
SSC10287,11,3,4,3,6,3,6,12,0,45
SSC10288,3,5,5,0,7,4,0,3,0,31
SSC10289,47,29,28,20,21,7,23,44,3,219
SSC10290,11,8,7,3,8,0,6,19,3,65
SSC10291,15,6,8,8,5,4,6,9,3,68
SSC10292,11,14,4,0,0,0,0,3,0,30
SSC10293,27,9,0,5,0,0,3,5,3,53
SSC10294,4,0,0,0,0,0,3,0,0,11
SSC10295,0,0,0,3,0,0,0,0,0,3
SSC10296,15,0,3,3,3,0,0,3,0,27
SSC10297,148,275,211,172,202,133,52,103,30,1326
SSC10298,21,7,16,4,10,10,0,9,5,85
SSC10299,259,635,673,363,499,276,364,584,131,3780
SSC10300,3,14,6,3,3,4,3,5,3,50
SSC10301,62,107,213,146,146,115,144,314,16,1258
SSC10302,21,19,6,9,9,5,3,4,3,79
SSC10303,190,338,483,375,366,328,286,414,62,2843
SSC10304,364,588,702,497,531,421,286,461,72,3916
SSC10305,85,44,119,39,78,39,91,58,6,557
SSC10306,0,0,0,0,0,0,0,0,0,0
SSC10307,74,79,94,75,48,68,17,57,10,513
SSC10308,361,746,278,247,450,203,56,155,39,2537
SSC10309,3,3,0,0,0,0,0,0,0,5
SSC10310,394,746,422,276,449,220,88,148,35,2764
SSC10311,6,6,0,0,0,3,0,3,0,19
SSC10312,20,19,39,33,25,17,6,23,0,183
SSC10313,16,17,24,21,17,13,0,12,3,115
SSC10314,19,8,3,3,3,0,0,8,0,41
SSC10315,0,5,0,3,0,0,0,3,0,12
SSC10316,84,71,94,83,68,57,44,70,16,579
SSC10317,13,0,0,0,0,0,0,4,0,21
SSC10318,118,58,60,46,45,33,52,66,11,489
SSC10319,16,25,18,5,16,10,5,10,0,114
SSC10320,64,77,45,22,34,25,14,31,4,309
SSC10321,0,0,3,0,0,0,0,0,0,4
SSC10322,183,255,137,90,111,92,37,68,13,998
SSC10323,25,0,4,0,0,3,0,0,0,36
SSC10324,0,3,0,0,0,0,0,0,0,9
SSC10325,15,12,15,0,8,5,0,3,0,60
SSC10326,11,3,5,3,4,3,0,7,0,26
SSC10327,3,7,11,3,5,3,7,3,0,42
SSC10328,39,7,7,7,6,3,0,9,0,78
SSC10329,7,0,4,7,0,0,0,3,0,18
SSC10330,167,284,158,99,187,118,46,62,19,1137
SSC10331,497,1119,537,468,749,427,300,350,115,4551
SSC10332,7,4,3,3,4,3,3,3,0,37
SSC10333,29,50,25,45,27,28,10,29,3,247
SSC10334,951,1840,1099,864,1347,849,645,793,170,8550
SSC10335,237,479,208,134,324,147,91,133,37,1794
SSC10336,24,3,5,0,0,0,0,8,0,41
SSC10337,14,3,3,0,3,4,7,4,3,38
SSC10338,30,5,3,4,3,0,3,6,0,54
SSC10339,12,7,0,0,0,0,0,5,0,20
SSC10340,39,72,103,129,124,86,189,188,38,961
SSC10341,15,10,10,3,3,0,6,6,0,53
SSC10342,10,0,3,3,0,0,0,6,0,25
SSC10343,13,3,3,0,0,0,9,0,0,32
SSC10344,0,0,0,0,0,0,4,0,0,11
SSC10345,20,11,6,4,8,3,5,6,3,65
SSC10346,49,6,12,0,6,3,4,10,0,89
SSC10347,14,23,35,24,26,21,15,19,0,182
SSC10348,133,285,275,206,177,157,98,153,14,1501
SSC10349,54,23,45,22,44,36,19,48,5,292
SSC10350,33,31,8,8,21,14,0,3,3,119
SSC10351,360,549,202,160,239,157,42,63,30,1796
SSC10352,14,0,0,0,0,0,0,0,4,24
SSC10353,5,0,0,0,0,0,0,0,0,5
SSC10354,28,8,5,4,3,0,3,7,0,53
SSC10355,11,15,16,16,11,4,3,17,0,93
SSC10356,3,3,4,0,3,0,0,3,0,20
SSC10357,5,18,19,12,11,9,8,7,0,86
SSC10358,58,43,74,31,28,27,28,27,5,318
SSC10359,0,0,0,0,0,0,0,0,0,0
SSC10360,13,5,0,3,3,3,3,6,0,35
SSC10361,6,5,9,4,7,10,9,4,3,48
SSC10362,53,38,38,22,24,17,12,34,3,241
SSC10363,41,12,11,7,8,5,3,15,7,107
SSC10364,5,0,0,0,4,0,0,3,0,16
SSC10365,73,63,59,57,50,28,42,72,3,439
SSC10366,3,0,0,4,0,0,0,0,0,9
SSC10367,3,15,12,7,11,11,4,13,0,77
SSC10368,4,3,0,0,0,0,0,0,0,17
SSC10369,27,9,3,3,5,3,3,13,0,66
SSC10370,29,30,17,13,23,12,13,8,0,147
SSC10371,17,20,16,10,13,6,0,3,0,84
SSC10372,47,11,13,15,12,6,15,28,0,155
SSC10373,35,11,0,0,9,3,4,6,3,76
SSC10374,462,784,67,78,180,101,13,23,29,1741
SSC10375,4,3,0,0,0,0,4,3,0,14
SSC10376,15,0,0,0,0,0,0,0,0,25
SSC10377,49,183,110,150,80,113,73,119,9,878
SSC10378,11,0,0,0,0,0,0,0,0,16
SSC10379,92,230,182,122,176,114,113,158,37,1218
SSC10380,14,17,24,10,10,6,17,16,5,117
SSC10381,28,16,14,3,20,9,5,3,0,93
SSC10382,7,6,3,3,3,3,0,0,0,20
SSC10383,0,0,0,0,0,0,0,0,0,5
SSC10384,32,59,36,42,27,30,9,18,4,259
SSC10385,47,63,40,23,39,20,11,22,0,255
SSC10386,6,3,0,0,0,0,0,0,0,15
SSC10387,35,30,15,8,17,9,10,16,7,148
SSC10388,10,15,12,12,17,10,7,10,3,92
SSC10389,30,3,14,8,6,7,10,6,0,84
SSC10390,81,184,211,142,146,135,100,146,19,1163
SSC10391,137,252,257,171,248,217,114,149,15,1565
SSC10392,34,59,135,94,136,99,236,190,27,1010
SSC10393,233,550,235,201,204,139,86,167,21,1839
SSC10394,3,3,0,0,3,0,0,0,0,8
SSC10395,11,11,3,7,9,4,5,10,0,56
SSC10396,75,85,145,88,106,90,57,96,15,747
SSC10397,1676,3491,2807,2220,3203,1891,2629,2555,455,20937
SSC10398,26,3,0,3,6,0,0,3,0,40
SSC10399,90,124,138,90,111,76,47,84,14,763
SSC10400,126,307,177,131,247,162,128,156,31,1464
SSC10401,18,28,29,17,28,24,28,13,3,191
SSC10402,15,7,6,3,10,13,6,7,0,69
SSC10403,523,830,264,196,475,288,109,128,55,2871
SSC10404,12,9,3,0,3,3,0,7,0,31
SSC10405,17,0,0,0,0,0,0,0,0,23
SSC10406,20,13,15,11,7,4,18,10,0,101
SSC10407,467,1094,447,373,564,279,174,242,45,3688
SSC10408,3,12,8,6,6,0,3,5,0,49
SSC10409,25,41,66,24,36,21,21,20,7,259
SSC10410,152,156,222,163,157,115,190,217,22,1410
SSC10411,304,426,609,395,577,343,366,340,72,3425
SSC10412,41,5,5,0,7,3,3,13,0,77
SSC10413,0,0,0,0,0,0,0,0,0,0
SSC10414,48,93,66,53,68,57,19,41,7,448
SSC10415,236,273,435,385,326,320,281,359,55,2682
SSC10416,3,19,12,9,3,10,0,4,3,63
SSC10417,0,0,0,0,0,0,0,0,0,0
SSC10418,10,0,0,0,0,0,0,0,0,14
SSC10419,15,5,0,0,3,0,4,8,0,41
SSC10420,24,9,6,10,4,6,0,3,0,64
SSC10421,111,204,105,75,110,65,38,75,14,800
SSC10422,203,357,309,312,341,323,132,280,28,2280
SSC10423,9,7,3,3,3,0,0,4,0,33
SSC10424,9,20,8,8,5,4,0,6,0,64
SSC10425,58,99,84,60,40,51,21,34,3,440
SSC10426,9,0,0,0,0,0,0,0,0,9
SSC10427,16,14,0,5,6,0,7,7,0,53
SSC10428,3,5,5,3,4,3,0,5,3,37
SSC10429,29,28,34,16,25,24,18,30,6,207
SSC10430,6,4,0,0,0,0,0,0,0,12
SSC10431,0,0,0,0,0,0,0,0,0,3
SSC10432,4,3,4,0,10,4,3,7,4,45
SSC10433,7,0,3,3,0,0,0,3,0,15
SSC10434,55,28,62,36,38,24,20,48,0,315
SSC10435,20,8,0,0,0,3,0,7,0,42
SSC10436,22,3,8,0,12,4,4,3,0,51
SSC10437,10,0,0,0,0,0,0,0,0,11
SSC10438,44,12,11,7,7,3,5,7,0,94
SSC10439,132,293,243,187,150,145,66,182,15,1414
SSC10440,3,5,4,0,8,0,3,4,0,28
SSC10441,56,30,13,39,21,16,29,47,3,249
SSC10442,79,41,65,31,36,20,85,69,3,439
SSC10443,0,0,0,0,0,0,0,0,0,0
SSC10444,17,6,15,14,10,11,10,6,0,92
SSC10445,6,0,3,0,6,3,0,6,0,34
SSC10446,3,3,0,0,3,0,0,0,0,12
SSC10447,12,0,0,0,7,0,0,3,0,30
SSC10448,17,11,5,7,7,3,3,3,0,48
SSC10449,58,105,103,94,100,71,59,87,15,689
SSC10450,66,118,73,56,64,37,27,34,6,481
SSC10451,199,351,233,134,220,124,96,92,14,1453
SSC10452,0,0,0,0,0,0,0,0,0,0
SSC10453,204,383,403,355,296,265,164,300,29,2407
SSC10454,3,0,0,0,0,0,0,0,0,3
SSC10455,98,72,89,59,67,40,95,94,14,628
SSC10456,13,16,3,3,5,0,0,0,0,51
SSC10457,37,40,23,16,24,9,18,6,0,173
SSC10458,6,14,13,10,3,4,5,3,0,49
SSC10459,29,26,17,21,7,8,14,16,3,136
SSC10460,9,3,0,0,0,3,4,4,0,27
SSC10461,3,4,3,0,4,0,0,3,0,15
SSC10462,3,0,3,0,0,0,0,0,0,17
SSC10463,24,16,6,14,3,7,7,24,3,98
SSC10464,1047,2191,518,531,596,441,130,320,94,5859
SSC10465,1391,2778,521,648,601,564,81,244,128,6955
SSC10466,0,0,0,0,0,0,0,0,0,0
SSC10467,891,1880,381,497,538,409,100,265,84,5043
SSC10468,132,260,261,177,195,134,125,156,35,1478
SSC10469,196,368,122,112,232,124,27,39,14,1227
SSC10470,139,275,194,163,149,117,60,121,17,1239
SSC10471,211,388,455,310,397,298,443,461,75,3036
SSC10472,267,478,511,258,510,319,384,386,49,3158
SSC10473,24,3,0,4,4,0,4,8,0,47
SSC10474,158,226,163,123,155,115,63,118,25,1154
SSC10475,11,5,10,7,12,9,0,13,4,69
SSC10476,27,9,0,0,3,0,0,3,0,44
SSC10477,72,84,86,47,75,47,33,28,11,477
SSC10478,40,10,7,3,3,0,3,15,5,82
SSC10479,0,0,0,0,0,0,0,0,0,10
SSC10480,0,0,0,0,0,0,0,0,0,0
SSC10481,0,6,9,4,4,0,0,6,0,23
SSC10482,31,73,92,70,62,55,35,61,7,495
SSC10483,3,0,0,0,0,0,0,0,0,10
SSC10484,35,0,5,0,7,0,3,16,0,62
SSC10485,0,0,0,0,0,0,0,0,0,0
SSC10486,17,3,6,3,4,0,0,9,0,43
SSC10487,13,30,24,16,13,12,3,18,0,128
SSC10488,9,3,0,0,4,0,5,6,0,34
SSC10489,49,0,4,3,6,0,13,17,3,103
SSC10490,9,3,0,0,0,0,0,0,0,13
SSC10491,11,0,0,0,0,0,0,0,0,9
SSC10492,14,0,0,0,3,0,0,4,0,20
SSC10493,0,0,0,0,0,0,0,0,0,5
SSC10494,8,10,4,4,8,10,3,9,0,45
SSC10495,25,62,61,57,58,59,46,62,14,440
SSC10496,36,20,25,11,26,14,24,27,5,191
SSC10497,3,0,0,0,0,0,0,0,0,8
SSC10498,3,0,0,0,0,0,0,0,0,8
SSC10499,18,6,0,4,3,4,0,3,0,39
SSC10500,0,3,0,3,0,0,0,0,0,9
SSC10501,33,133,65,93,50,46,15,48,0,482
SSC10502,13,0,3,0,0,0,0,0,0,23
SSC10503,164,74,112,70,72,51,49,93,10,699
SSC10504,10,18,4,5,11,5,3,4,3,64
SSC10505,0,0,0,0,0,0,0,0,0,0
SSC10506,11,5,4,3,4,3,0,0,0,35
SSC10507,4,7,6,7,3,0,3,11,0,36
SSC10508,5,0,0,0,0,0,3,0,0,16
SSC10509,31,5,3,3,11,7,3,10,0,68
SSC10510,0,0,0,0,0,0,0,0,0,0
SSC10511,17,9,5,3,5,0,3,11,0,55
SSC10512,41,3,0,3,8,3,10,4,0,86
SSC10513,62,54,22,23,32,11,12,21,4,240
SSC10514,7,3,7,6,8,3,0,3,0,38
SSC10515,551,950,876,507,998,591,558,588,152,5776
SSC10516,11,9,3,9,7,3,5,8,0,55
SSC10517,818,1200,714,613,973,501,323,387,89,5633
SSC10518,17,4,10,3,5,0,4,8,0,52
SSC10519,0,0,0,3,3,0,4,0,0,6
SSC10520,0,0,0,0,0,0,0,0,0,3
SSC10521,9,0,0,3,0,0,0,7,0,19
SSC10522,92,141,82,142,69,49,55,90,24,744
