SSC_CODE_2016,F_GrpH_Mem_0_14,F_GrpH_Mem_15_24,F_GrpH_Mem_25_34,F_GrpH_Mem_35_44,F_GrpH_Mem_45_54,F_GrpH_Mem_55_64,F_GrpH_Mem_65_74,F_GrpH_Mem_75_84,F_GrpH_Mem_85ov,F_GrpH_Mem_Tot,F_LonePsn_0_14,F_LonePsn_15_24,F_LonePsn_25_34,F_LonePsn_35_44,F_LonePsn_45_54,F_LonePsn_55_64,F_LonePsn_65_74,F_LonePsn_75_84,F_LonePsn_85ov,F_LonePsn_Tot,F_Vis_within_Aus_0_14,F_Vis_within_Aus_15_24,F_Vis_within_Aus_25_34,F_Vis_within_Aus_35_44,F_Vis_within_Aus_45_54,F_Vis_within_Aus_55_64,F_Vis_within_Aus_65_74,F_Vis_within_Aus_75_84,F_Vis_within_Aus_85ov,F_Vis_within_Aus_Tot,F_Tot_0_14,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_H_or_W_in_RM_0_14,P_H_or_W_in_RM_15_24,P_H_or_W_in_RM_25_34,P_H_or_W_in_RM_35_44,P_H_or_W_in_RM_45_54,P_H_or_W_in_RM_55_64,P_H_or_W_in_RM_65_74,P_H_or_W_in_RM_75_84,P_H_or_W_in_RM_85ov,P_H_or_W_in_RM_Tot,P_Ptn_in_DFM_0_14,P_Ptn_in_DFM_15_24,P_Ptn_in_DFM_25_34,P_Ptn_in_DFM_35_44,P_Ptn_in_DFM_45_54,P_Ptn_in_DFM_55_64,P_Ptn_in_DFM_65_74,P_Ptn_in_DFM_75_84,P_Ptn_in_DFM_85ov,P_Ptn_in_DFM_Tot,P_LonePnt_0_14,P_LonePnt_15_24,P_LonePnt_25_34,P_LonePnt_35_44,P_LonePnt_45_54,P_LonePnt_55_64,P_LonePnt_65_74,P_LonePnt_75_84,P_LonePnt_85ov,P_LonePnt_Tot,P_CU15_0_14,P_CU15_15_24,P_CU15_25_34,P_CU15_35_44,P_CU15_45_54,P_CU15_55_64,P_CU15_65_74,P_CU15_75_84,P_CU15_85ov,P_CU15_Tot,P_DpStu_0_14,P_DpStu_15_24,P_DpStu_25_34,P_DpStu_35_44,P_DpStu_45_54,P_DpStu_55_64,P_DpStu_65_74,P_DpStu_75_84,P_DpStu_85ov,P_DpStu_Tot,P_NDpChl_0_14,P_NDpChl_15_24,P_NDpChl_25_34,P_NDpChl_35_44,P_NDpChl_45_54,P_NDpChl_55_64,P_NDpChl_65_74,P_NDpChl_75_84,P_NDpChl_85ov,P_NDpChl_Tot,P_OthRI_0_14,P_OthRI_15_24,P_OthRI_25_34,P_OthRI_35_44,P_OthRI_45_54,P_OthRI_55_64,P_OthRI_65_74,P_OthRI_75_84,P_OthRI_85ov,P_OthRI_Tot,P_URI_in_FH_0_14,P_URI_in_FH_15_24,P_URI_in_FH_25_34,P_URI_in_FH_35_44,P_URI_in_FH_45_54,P_URI_in_FH_55_64,P_URI_in_FH_65_74,P_URI_in_FH_75_84,P_URI_in_FH_85ov,P_URI_in_FH_Tot,P_GrpH_Mem_0_14,P_GrpH_Mem_15_24,P_GrpH_Mem_25_34,P_GrpH_Mem_35_44,P_GrpH_Mem_45_54,P_GrpH_Mem_55_64,P_GrpH_Mem_65_74,P_GrpH_Mem_75_84,P_GrpH_Mem_85ov,P_GrpH_Mem_Tot,P_LonePsn_0_14,P_LonePsn_15_24,P_LonePsn_25_34,P_LonePsn_35_44,P_LonePsn_45_54,P_LonePsn_55_64,P_LonePsn_65_74,P_LonePsn_75_84,P_LonePsn_85ov,P_LonePsn_Tot,P_Vis_within_Aus_0_14,P_Vis_within_Aus_15_24,P_Vis_within_Aus_25_34,P_Vis_within_Aus_35_44,P_Vis_within_Aus_45_54,P_Vis_within_Aus_55_64,P_Vis_within_Aus_65_74,P_Vis_within_Aus_75_84,P_Vis_within_Aus_85ov,P_Vis_within_Aus_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
SSC10019,..,0,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,0,5,3,7,0,0,0,32,..,0,4,7,3,13,0,0,0,27,..,0,0,0,4,0,0,0,0,6,..,0,0,0,0,0,0,0,0,0,18,..,..,..,..,..,..,..,..,18,..,4,..,..,..,..,..,..,..,4,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,3,0,0,0,3,..,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,25,9,9,11,14,16,4,0,0,73
SSC10020,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,0,3,0,3,9,4,4,0,22,..,0,0,0,3,5,3,4,0,16,..,0,0,0,3,3,0,0,0,11,..,0,0,0,0,0,0,0,0,0,7,..,..,..,..,..,..,..,..,7,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,3,0,0,3,..,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,7,3,3,0,8,11,12,3,0,41
SSC10021,..,0,0,0,0,4,0,0,0,5,..,0,0,0,0,3,3,3,0,10,0,3,6,0,0,0,0,0,0,10,94,52,44,56,62,47,33,7,8,405,..,3,39,82,80,74,53,9,0,343,..,9,12,14,12,3,0,0,0,49,..,3,4,9,7,3,8,0,0,30,192,..,..,..,..,..,..,..,..,192,..,48,..,..,..,..,..,..,..,48,..,40,20,8,3,0,0,0,0,69,..,4,0,3,0,3,5,0,3,23,..,0,7,0,3,3,0,0,0,10,..,3,0,3,4,3,0,0,0,15,..,3,0,0,11,5,6,7,0,34,3,3,7,0,0,0,0,0,0,20,195,116,81,115,116,104,78,19,8,837
SSC10022,..,0,0,0,0,11,3,0,0,19,..,3,3,9,23,40,46,14,0,149,8,13,9,3,0,3,3,0,0,48,318,245,169,189,193,164,134,42,3,1454,..,11,33,57,96,107,104,27,0,430,..,20,39,44,38,19,6,0,0,163,..,32,76,123,87,47,23,8,3,393,696,..,..,..,..,..,..,..,..,696,..,143,..,..,..,..,..,..,..,143,..,196,79,38,22,3,0,0,0,341,..,23,7,10,13,26,15,7,4,95,..,5,5,0,6,3,3,0,0,21,..,0,7,3,3,11,15,0,0,42,..,8,7,16,51,59,62,19,4,226,21,24,18,13,10,10,4,0,0,108,716,467,279,302,318,276,223,64,8,2652
SSC10023,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,3,4,0,7,0,0,0,0,0,0,0,0,0,5,11,13,7,4,6,11,11,3,0,58,..,0,3,0,9,6,13,7,0,37,..,0,0,0,0,0,0,0,0,6,..,3,3,0,0,0,0,0,0,7,28,..,..,..,..,..,..,..,..,28,..,10,..,..,..,..,..,..,..,10,..,4,0,3,0,0,0,0,0,10,..,5,0,0,0,0,0,0,0,4,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,3,..,0,0,0,0,3,3,4,0,15,0,3,0,0,0,0,0,0,0,7,27,19,8,9,15,17,22,10,0,120
SSC10024,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,6,3,3,3,5,3,0,31,..,0,6,8,7,8,5,0,0,33,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,16,..,..,..,..,..,..,..,..,16,..,3,..,..,..,..,..,..,..,3,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,16,3,8,13,7,7,7,3,0,67
SSC10025,..,5,11,4,9,10,6,4,4,51,..,7,21,21,46,87,72,64,46,362,31,31,21,11,5,16,4,5,9,135,1466,933,819,915,932,692,430,222,99,6500,..,46,749,1198,1229,980,578,240,52,5071,..,113,307,207,152,76,22,14,0,895,..,23,105,165,154,79,33,21,19,600,2808,..,..,..,..,..,..,..,..,2808,..,801,..,..,..,..,..,..,..,801,..,695,201,45,50,20,5,0,0,1019,..,57,21,17,21,32,30,36,13,230,..,62,17,11,16,5,7,0,0,120,..,6,42,7,16,16,12,14,6,123,..,17,49,61,88,148,115,86,58,616,64,66,49,21,21,26,13,12,6,271,2873,1877,1531,1740,1747,1382,823,425,155,12549
SSC10026,..,6,11,4,10,8,12,5,0,53,..,7,19,13,22,57,79,65,28,293,7,22,9,9,9,13,4,7,0,73,585,422,446,371,435,436,312,172,56,3240,..,34,308,356,452,535,401,177,56,2314,..,61,185,95,84,57,25,3,3,522,..,24,94,111,121,52,22,14,4,447,1207,..,..,..,..,..,..,..,..,1207,..,275,..,..,..,..,..,..,..,275,..,292,149,41,30,8,0,0,0,524,..,36,20,11,21,37,29,12,9,166,..,39,13,9,11,6,0,0,0,80,..,13,22,13,16,17,17,4,0,109,..,15,51,46,76,99,127,86,38,539,26,43,25,18,10,15,11,11,0,163,1231,837,870,705,832,833,632,307,110,6358
SSC10027,..,31,24,0,6,8,3,0,0,78,..,36,39,37,39,83,82,61,39,424,10,10,12,3,5,8,13,10,7,81,328,247,257,265,291,317,252,121,62,2142,..,12,165,271,289,354,276,90,29,1491,..,37,115,68,53,46,27,0,0,351,..,3,16,41,61,21,11,10,9,161,669,..,..,..,..,..,..,..,..,669,..,156,..,..,..,..,..,..,..,156,..,76,25,8,15,8,0,0,0,135,..,13,9,3,11,0,6,3,0,43,..,15,11,0,4,0,0,0,0,26,..,77,57,8,12,14,7,0,0,180,..,61,102,89,98,134,130,87,57,764,21,21,17,20,13,11,27,8,7,144,691,469,515,518,550,586,482,209,103,4117
SSC10028,..,0,0,0,3,3,0,0,0,7,..,0,0,0,3,3,4,5,0,20,0,0,0,0,0,0,0,0,0,6,45,38,22,35,46,74,40,15,6,318,..,0,22,41,59,96,72,25,3,319,..,3,8,3,6,9,4,0,0,26,..,3,5,6,5,5,0,0,0,26,95,..,..,..,..,..,..,..,..,95,..,26,..,..,..,..,..,..,..,26,..,28,11,5,8,0,3,0,0,52,..,3,0,0,0,0,0,6,3,9,..,0,3,0,0,0,0,0,0,6,..,0,0,0,3,5,3,0,0,14,..,0,0,7,6,9,16,5,5,46,0,3,3,0,0,0,3,0,0,9,95,73,54,58,90,124,101,39,8,646
SSC10029,..,0,0,0,0,0,0,0,0,3,..,0,0,0,0,0,7,0,0,12,0,0,0,0,0,0,0,0,0,0,11,11,9,8,15,17,9,4,0,82,..,0,6,8,13,33,19,8,0,79,..,0,3,0,0,0,0,0,0,6,..,0,0,0,0,0,0,0,0,3,25,..,..,..,..,..,..,..,..,25,..,3,..,..,..,..,..,..,..,3,..,5,3,0,0,0,0,0,0,8,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,3,0,0,0,0,0,0,0,3,..,3,3,0,3,3,8,4,0,22,0,0,0,0,0,0,0,0,0,0,25,17,15,9,17,37,21,6,0,158
