SSC_CODE_2016,P_AdvDi_Di_AdvDi_AsDe_Mng,P_AdvDi_Di_AdvDi_AsDe_Pro,P_AdvDi_Di_AdvDi_AsDe_TTW,P_AdvDi_Di_AdvDi_AsDe_CPS,P_AdvDi_Di_AdvDi_AsDe_CA,P_AdvDi_Di_AdvDi_AsDe_Sal,P_AdvDi_Di_AdvDi_AsDe_MOD,P_AdvDi_Di_AdvDi_AsDe_Lab,P_AdvDi_Di_AdvDi_AsDe_IDNS,P_AdvDi_Di_AdvDi_AsDe_Tot,P_AdvDi_Di_Dip_Mng,P_AdvDi_Di_Dip_Pro,P_AdvDi_Di_Dip_TTW,P_AdvDi_Di_Dip_CPS,P_AdvDi_Di_Dip_CA,P_AdvDi_Di_Dip_Sal,P_AdvDi_Di_Dip_MOD,P_AdvDi_Di_Dip_Lab,P_AdvDi_Di_Dip_IDNS,P_AdvDi_Di_Dip_Tot,P_Cert_CertIII_IV_Mng,P_Cert_CertIII_IV_Pro,P_Cert_CertIII_IV_TTW,P_Cert_CertIII_IV_CPS,P_Cert_CertIII_IV_CA,P_Cert_CertIII_IV_Sal,P_Cert_CertIII_IV_MOD,P_Cert_CertIII_IV_Lab,P_Cert_CertIII_IV_IDNS,P_Cert_CertIII_IV_Tot,P_Cert_CertI_II_Mng,P_Cert_CertI_II_Pro,P_Cert_CertI_II_TTW,P_Cert_CertI_II_CPS,P_Cert_CertI_II_CA,P_Cert_CertI_II_Sal,P_Cert_CertI_II_MOD,P_Cert_CertI_II_Lab,P_Cert_CertI_II_IDNS,P_Cert_CertI_II_Tot,P_Cert_Cert_nfd_Mng,P_Cert_Cert_nfd_Pro,P_Cert_Cert_nfd_TTW,P_Cert_Cert_nfd_CPS,P_Cert_Cert_nfd_CA,P_Cert_Cert_nfd_Sal,P_Cert_Cert_nfd_MOD,P_Cert_Cert_nfd_Lab,P_Cert_Cert_nfd_IDNS,P_Cert_Cert_nfd_Tot,P_LE_ID_Mng,P_LE_ID_Pro,P_LE_ID_TTW,P_LE_ID_CPS,P_LE_ID_CA,P_LE_ID_Sal,P_LE_ID_MOD,P_LE_ID_Lab,P_LE_ID_IDNS,P_LE_ID_Tot,P_LE_NS_Mng,P_LE_NS_Pro,P_LE_NS_TTW,P_LE_NS_CPS,P_LE_NS_CA,P_LE_NS_Sal,P_LE_NS_MOD,P_LE_NS_Lab,P_LE_NS_IDNS,P_LE_NS_Tot,P_Tot_Mng,P_Tot_Pro,P_Tot_TTW,P_Tot_CPS,P_Tot_CA,P_Tot_Sal,P_Tot_MOD,P_Tot_Lab,P_Tot_IDNS,P_Tot_Tot
SSC10014,15,18,12,21,17,4,8,6,3,108,17,28,16,19,26,16,5,3,0,140,39,17,130,39,47,27,22,19,3,348,0,3,0,0,0,3,0,3,0,16,3,5,4,3,10,3,7,3,0,40,7,9,3,7,3,0,0,0,0,29,3,5,8,0,10,7,0,0,0,32,195,456,213,141,239,90,84,53,16,1491
SSC10015,0,0,0,5,0,0,0,0,0,4,3,0,0,3,0,0,0,0,0,13,13,0,8,5,5,0,3,8,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,20,4,14,12,7,4,0,13,3,78
SSC10016,32,44,17,17,30,8,3,3,3,146,37,41,28,41,41,18,0,9,6,210,63,33,261,84,105,32,40,59,12,681,0,0,0,4,10,3,3,7,0,35,12,5,3,11,25,13,0,13,0,84,4,6,0,0,3,0,0,3,0,21,0,6,3,9,7,4,0,6,7,46,275,758,344,215,298,102,59,107,29,2189
SSC10017,24,47,19,17,29,4,3,0,0,153,21,37,20,30,34,11,6,3,0,171,58,28,177,35,53,32,34,40,7,467,3,0,3,3,5,0,6,3,0,31,5,3,4,4,20,3,0,7,0,51,0,9,0,0,4,0,0,0,0,11,3,8,0,4,5,0,3,3,5,28,267,756,249,137,229,82,60,72,22,1870
SSC10018,3,3,0,0,0,0,0,0,0,10,0,3,3,7,6,0,0,0,0,18,15,10,36,13,14,3,13,8,0,126,0,0,0,0,0,0,3,3,0,9,3,4,0,0,3,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,0,14,33,33,48,32,27,6,26,19,4,220
SSC10019,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,5,4,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,3,0,0,0,0,24
SSC10020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,11
SSC10021,0,4,0,3,6,0,4,0,0,19,4,0,3,9,9,0,0,0,0,22,16,4,53,6,14,11,15,10,3,132,0,0,0,0,3,0,0,0,0,6,0,0,3,0,4,0,0,0,0,16,0,0,0,0,0,0,0,0,0,3,0,3,3,0,0,0,0,0,0,4,31,50,64,29,39,15,16,12,6,270
SSC10022,0,3,0,5,0,0,0,3,0,9,0,0,0,13,3,0,0,3,0,19,8,9,17,36,5,3,9,13,8,108,0,0,0,0,3,3,0,3,0,12,0,0,0,3,0,0,0,5,0,12,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,3,6,3,22,14,15,20,62,21,17,22,36,6,213
SSC10023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,4,3,0,0,0,0,0,18
SSC10024,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,16,4,0,0,3,0,0,0,0,25
SSC10025,33,59,32,43,35,10,6,0,4,231,54,67,51,159,73,26,20,22,4,477,149,96,811,281,221,122,214,157,24,2068,11,3,3,20,19,11,9,15,0,96,19,10,15,51,48,28,14,13,0,193,3,4,6,11,12,4,0,0,0,40,5,7,16,11,19,12,8,18,10,108,391,769,964,647,512,238,277,242,44,4086
SSC10026,10,20,6,31,10,3,0,7,0,91,22,21,17,65,29,15,4,6,0,183,73,46,346,124,99,48,121,106,15,973,3,5,6,9,13,13,13,15,0,72,6,8,3,18,27,8,3,20,0,90,0,3,4,5,3,3,3,3,3,33,3,5,13,5,10,8,7,15,7,79,144,278,411,285,215,117,154,172,30,1806
SSC10027,20,49,12,12,23,11,4,0,0,129,25,33,9,33,17,12,0,6,3,144,64,24,137,57,49,30,18,32,0,420,3,0,3,0,3,0,0,5,0,15,3,3,0,6,15,4,3,0,0,41,3,3,4,3,0,0,0,0,0,13,3,13,7,0,7,7,0,5,4,37,285,672,200,157,184,85,29,59,17,1693
SSC10028,3,3,0,0,0,0,0,0,0,9,0,0,0,6,7,0,0,0,0,12,13,5,33,22,3,6,6,11,0,106,0,0,0,0,4,0,0,0,0,11,0,0,0,0,4,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,11,20,36,37,37,19,13,10,16,0,191
SSC10029,3,3,0,0,0,0,0,0,0,7,0,0,0,0,3,0,0,0,0,6,4,0,3,0,0,0,3,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,14,10,3,4,7,0,3,5,3,52
SSC10030,47,78,19,27,42,26,4,9,3,248,68,95,35,40,67,35,8,8,8,359,80,58,178,36,70,37,21,15,4,500,8,4,0,7,8,5,0,0,0,40,20,15,7,11,16,12,0,4,0,82,5,12,8,0,9,7,3,0,0,35,5,13,3,5,9,0,0,6,12,60,895,2110,338,269,551,278,54,84,67,4646
SSC10031,24,31,12,15,21,7,3,3,4,114,20,25,12,12,35,13,3,0,0,112,47,20,138,27,36,26,9,27,4,337,0,0,0,0,12,0,0,0,0,17,4,3,3,5,20,7,3,6,0,50,6,3,0,0,4,6,3,0,4,28,5,8,0,0,6,10,0,0,3,34,224,360,172,86,196,92,27,33,31,1221
SSC10032,7,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,6,0,12,0,5,0,0,3,0,18,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,5,11,3,6,0,0,3,0,44
SSC10033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC10034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,10,0,3,0,0,4,0,20
SSC10035,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,3,3,4,0,0,0,0,20
SSC10036,46,69,9,24,43,15,3,0,0,209,48,49,18,32,52,20,4,9,3,233,76,23,238,57,55,48,21,30,5,554,3,5,5,3,11,3,0,0,0,33,12,12,4,13,24,8,3,3,0,83,4,17,3,3,7,5,0,4,0,42,15,12,5,3,11,4,3,3,3,51,517,826,317,205,316,159,37,71,40,2487
SSC10037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,3,9,0,0,3,3,0,3,3,25
SSC10038,22,26,23,22,20,18,11,11,4,164,22,18,33,34,35,23,12,17,3,208,30,7,97,40,34,27,33,30,6,302,0,3,3,4,7,0,0,5,0,28,4,8,3,8,15,16,3,4,0,57,5,5,0,3,8,3,0,0,0,32,4,3,3,5,6,3,0,11,10,57,236,591,237,244,279,209,96,158,36,2094
SSC10039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,3,0,0,0,0,0,13
SSC10040,0,0,0,4,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,0,3,4,0,0,7,4,0,18,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,4,10,0,0,7,3,0,33
SSC10041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6,4,0,15,3,0,0,3,6,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,9,0,15,3,7,0,4,6,0,50
SSC10042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,3,0,0,0,3,0,0,20
SSC10043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,0,0,0,0,0,0,0,16
SSC10044,0,4,3,0,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,14,6,6,5,3,0,3,0,50
SSC10045,7,5,0,0,0,0,0,0,3,15,0,0,0,6,3,0,0,0,0,14,14,0,16,4,7,0,3,5,3,53,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,0,0,0,0,3,38,50,24,21,18,3,4,8,9,170
SSC10046,10,38,4,16,17,9,3,10,6,121,17,30,15,47,32,12,3,0,0,158,56,32,195,79,58,30,32,40,0,528,4,0,3,5,12,4,0,7,0,38,0,3,3,8,17,7,0,4,0,49,3,0,0,0,3,0,3,3,0,17,4,3,0,3,7,5,0,3,5,39,176,476,251,197,202,73,47,80,29,1543
SSC10047,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4,3,0,4,3,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,4,3,3,0,0,0,0,26
SSC10048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,16
SSC10049,15,22,5,18,13,3,5,7,3,98,21,23,16,45,34,19,8,13,3,182,69,35,240,92,99,44,76,77,6,739,5,0,0,5,9,10,3,0,0,37,4,5,4,16,18,10,10,12,0,90,0,3,4,3,6,0,6,3,0,32,8,3,17,12,10,7,16,11,4,84,153,289,309,230,238,125,134,139,24,1639
SSC10050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,6
SSC10051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC10052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,10,3,0,0,0,0,0,3,0,12
SSC10053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,4
SSC10054,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,3,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,3,0,0,3,0,20
SSC10055,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,5,4,3,0,0,0,0,22
SSC10056,4,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,3,7,0,5,3,0,3,0,8,3,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,15,8,5,7,3,4,4,8,3,56
SSC10057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,3,0,0,0,0,0,11
SSC10058,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,3,0,0,0,0,14
SSC10059,0,3,0,4,3,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,7,0,7,5,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,33,7,10,5,6,0,0,0,73
SSC10060,13,32,7,12,7,3,0,5,0,74,14,17,17,22,20,13,0,3,0,101,60,28,182,60,47,29,50,51,3,518,3,0,0,7,5,3,0,3,0,23,3,3,6,3,9,7,0,4,0,32,0,0,0,0,3,0,0,0,0,4,4,12,0,5,9,3,0,8,0,38,128,192,235,139,109,61,57,70,9,1004
SSC10061,42,87,17,15,32,15,4,0,3,211,50,64,30,35,46,24,3,17,3,274,62,53,142,51,57,28,16,19,0,429,6,8,0,3,8,8,0,0,0,31,9,26,6,9,18,9,0,4,0,84,5,19,0,0,7,3,0,0,5,47,9,11,3,4,6,6,3,3,14,59,844,2177,282,248,456,213,45,75,70,4410
SSC10062,9,14,8,7,14,0,0,0,0,47,12,8,9,4,5,9,0,4,0,47,47,11,76,17,23,7,7,14,0,190,0,0,0,3,0,0,0,0,0,8,10,0,3,0,9,6,0,3,0,32,3,0,0,0,4,0,0,0,0,4,0,8,3,0,3,0,0,0,0,12,112,127,96,39,84,28,12,25,4,520
SSC10063,5,12,0,12,9,0,4,3,0,42,13,9,13,34,21,12,5,4,0,111,46,13,201,33,59,27,49,34,12,474,3,0,0,3,6,0,0,0,0,24,0,0,3,3,9,3,4,0,0,26,0,3,0,4,3,3,0,0,0,13,0,0,3,0,3,3,0,0,3,14,102,175,225,106,125,59,64,56,10,916
SSC10064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,7
SSC10065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,3,0,0,0,0,9
SSC10066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3
SSC10067,3,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,3,0,6,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,3,3,4,5,0,0,10,0,37
SSC10068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,5
