SSC_CODE_2016,P_1000_1249_15_19_yrs,P_1000_1249_20_24_yrs,P_1000_1249_25_34_yrs,P_1000_1249_35_44_yrs,P_1000_1249_45_54_yrs,P_1000_1249_55_64_yrs,P_1000_1249_65_74_yrs,P_1000_1249_75_84_yrs,P_1000_1249_85ov,P_1000_1249_Tot,P_1250_1499_15_19_yrs,P_1250_1499_20_24_yrs,P_1250_1499_25_34_yrs,P_1250_1499_35_44_yrs,P_1250_1499_45_54_yrs,P_1250_1499_55_64_yrs,P_1250_1499_65_74_yrs,P_1250_1499_75_84_yrs,P_1250_1499_85ov,P_1250_1499_Tot,P_1500_1749_15_19_yrs,P_1500_1749_20_24_yrs,P_1500_1749_25_34_yrs,P_1500_1749_35_44_yrs,P_1500_1749_45_54_yrs,P_1500_1749_55_64_yrs,P_1500_1749_65_74_yrs,P_1500_1749_75_84_yrs,P_1500_1749_85ov,P_1500_1749_Tot,P_1750_1999_15_19_yrs,P_1750_1999_20_24_yrs,P_1750_1999_25_34_yrs,P_1750_1999_35_44_yrs,P_1750_1999_45_54_yrs,P_1750_1999_55_64_yrs,P_1750_1999_65_74_yrs,P_1750_1999_75_84_yrs,P_1750_1999_85ov,P_1750_1999_Tot,P_2000_2999_15_19_yrs,P_2000_2999_20_24_yrs,P_2000_2999_25_34_yrs,P_2000_2999_35_44_yrs,P_2000_2999_45_54_yrs,P_2000_2999_55_64_yrs,P_2000_2999_65_74_yrs,P_2000_2999_75_84_yrs,P_2000_2999_85ov,P_2000_2999_Tot,P_3000_more_15_19_yrs,P_3000_more_20_24_yrs,P_3000_more_25_34_yrs,P_3000_more_35_44_yrs,P_3000_more_45_54_yrs,P_3000_more_55_64_yrs,P_3000_more_65_74_yrs,P_3000_more_75_84_yrs,P_3000_more_85ov,P_3000_more_Tot,P_PI_NS_15_19_yrs,P_PI_NS_ns_20_24_yrs,P_PI_NS_ns_25_34_yrs,P_PI_NS_ns_35_44_yrs,P_PI_NS_ns_45_54_yrs,P_PI_NS_ns_55_64_yrs,P_PI_NS_ns_65_74_yrs,P_PI_NS_ns_75_84_yrs,P_PI_NS_ns_85_yrs_ovr,P_PI_NS_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
SSC10015,0,0,0,3,6,0,3,0,0,17,0,0,3,0,0,0,0,0,0,6,0,0,3,0,5,0,0,0,0,7,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,3,0,7,0,0,0,4,0,0,3,0,0,5,0,3,0,3,3,8,0,3,0,24,12,11,20,23,43,59,58,30,9,262
SSC10016,0,37,139,93,88,59,13,7,0,429,0,18,109,64,90,44,6,3,0,333,0,0,65,73,59,52,3,3,0,264,0,0,57,67,60,31,3,0,0,220,0,0,70,113,87,28,3,4,0,311,0,7,17,45,45,16,3,0,0,127,16,23,33,30,43,32,23,23,14,236,370,491,944,855,869,636,420,227,104,4919
SSC10017,0,21,64,83,73,58,41,14,3,353,0,11,52,64,61,39,25,4,3,260,0,3,57,65,92,37,12,0,6,277,0,0,38,75,48,21,12,4,0,204,0,0,46,130,93,52,9,3,0,340,0,0,17,57,25,38,12,9,0,149,14,12,17,18,24,18,23,12,12,149,300,254,532,765,694,565,550,394,139,4191
SSC10018,0,0,9,11,18,13,4,3,0,56,0,0,3,11,9,6,3,0,0,31,0,0,6,10,9,3,6,3,0,33,0,0,0,9,5,3,0,0,0,27,0,0,0,3,5,3,0,0,0,16,0,0,3,5,0,0,0,0,0,4,5,0,9,3,13,25,10,8,0,73,52,40,75,104,123,147,132,75,21,764
SSC10019,0,0,0,0,0,0,0,0,0,8,0,0,0,4,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,0,0,0,5,8,0,9,13,14,13,4,0,0,58
SSC10020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,3,9,10,12,3,0,45
SSC10021,0,12,12,14,18,13,4,3,0,73,0,3,12,11,7,14,4,0,0,49,0,3,7,5,15,5,4,0,0,37,0,3,4,11,9,6,0,0,0,31,0,0,0,13,14,11,0,0,0,36,0,0,0,4,6,4,3,0,0,21,0,3,10,15,11,6,12,0,0,56,65,58,96,128,131,110,83,19,11,693
SSC10022,0,8,18,17,13,16,3,0,0,73,0,0,3,4,3,3,0,0,0,19,0,0,3,3,3,3,3,0,0,13,0,0,0,0,3,0,0,0,0,3,0,0,3,0,0,0,0,0,0,7,0,0,4,5,3,0,0,3,0,15,53,32,40,40,54,54,42,8,4,332,278,239,305,326,355,309,251,68,10,2147
SSC10023,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,12,3,5,7,3,3,0,44,10,12,25,10,15,23,26,11,0,136
SSC10024,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,4,0,3,0,0,15,0,0,12,13,11,7,12,3,0,58
SSC10025,7,68,245,226,228,141,27,14,0,954,0,30,128,167,161,92,13,4,0,600,0,24,118,156,122,102,4,3,0,528,0,6,80,122,120,71,0,0,0,405,0,3,70,173,162,84,5,0,0,489,0,0,12,44,36,20,3,0,0,113,47,55,96,84,94,98,63,41,19,605,1068,877,1609,1829,1849,1477,905,488,271,10371
SSC10026,0,33,136,97,96,72,26,8,0,466,0,11,72,66,53,52,6,0,0,265,0,7,54,46,59,40,11,0,0,212,0,3,23,32,49,21,3,0,0,131,0,0,16,35,38,36,0,0,0,132,3,0,4,4,11,5,6,0,0,31,30,37,59,49,58,54,68,86,123,555,437,449,930,750,874,895,700,381,219,5634
SSC10027,0,22,78,51,48,67,40,4,4,328,0,9,50,46,47,56,33,6,0,251,0,6,43,51,51,50,16,0,0,217,0,0,22,30,49,30,8,5,0,147,0,0,40,65,66,56,15,3,0,252,0,0,11,43,47,48,27,5,4,181,19,37,67,56,56,54,76,64,57,491,272,298,589,577,630,664,577,278,166,4047
SSC10028,0,3,9,7,6,11,3,0,3,36,0,3,0,4,3,3,0,0,0,14,0,0,0,4,0,7,0,0,0,9,0,0,3,0,0,5,0,0,0,17,0,0,0,3,3,4,0,0,0,11,0,0,0,0,0,0,3,0,0,5,21,87,233,130,64,24,14,7,5,582,54,115,284,188,149,157,112,47,14,1125
SSC10029,0,0,3,0,0,10,0,0,0,17,0,0,3,0,3,0,0,0,0,8,0,0,0,0,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,5,0,0,8,0,0,0,3,0,3,3,0,0,13,6,7,16,14,19,33,24,8,0,143
SSC10030,4,92,393,138,88,42,16,10,0,777,0,52,364,153,94,54,11,0,0,733,3,22,359,175,113,57,15,0,0,745,0,16,232,167,98,33,6,0,0,553,3,10,378,354,146,76,4,6,0,982,0,5,121,274,159,59,5,0,0,620,15,56,261,151,96,46,22,22,10,676,166,614,2800,1745,1052,587,280,116,35,7390
SSC10031,0,42,59,34,63,67,9,0,0,274,0,6,44,29,36,48,15,0,0,186,0,5,36,26,47,46,7,4,0,168,0,0,13,24,26,45,0,0,0,113,0,0,19,43,55,67,5,0,0,191,0,0,8,36,42,58,6,0,0,150,12,13,22,8,9,31,3,3,5,106,239,279,339,333,453,613,225,71,30,2590
SSC10032,0,0,4,0,6,0,0,0,0,11,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,6,0,0,3,3,3,0,0,0,0,17,5,3,14,15,18,21,3,5,0,84
SSC10033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3,0,0,6
SSC10034,0,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,5,3,0,0,0,12,8,3,4,7,14,16,10,3,0,75
SSC10035,0,0,0,0,0,7,0,0,0,7,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,3,0,3,0,3,0,0,0,0,11,9,3,5,8,13,17,6,4,0,65
SSC10036,0,35,80,80,86,69,48,14,7,418,0,14,51,64,93,61,27,3,3,316,0,0,43,85,90,58,19,9,4,306,0,0,22,81,61,37,15,3,0,219,0,0,31,178,138,70,19,3,3,439,0,0,19,189,162,53,6,0,0,439,17,5,15,28,42,27,46,54,73,314,437,309,507,1047,1040,746,644,455,259,5441
SSC10037,0,0,0,0,4,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,5,6,18,6,13,0,3,57
SSC10038,3,28,170,117,77,61,13,7,0,479,0,14,99,58,32,27,14,0,0,246,0,3,75,55,45,37,5,0,0,221,0,0,50,42,33,21,7,0,0,151,0,0,48,50,45,26,10,0,0,184,0,0,16,16,15,10,3,3,0,69,25,19,74,35,39,30,30,16,6,263,298,493,1356,746,657,663,380,200,65,4856
SSC10039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,3,0,0,0,8,9,0,4,8,7,7,5,4,3,40
SSC10040,0,0,0,3,4,4,3,0,0,9,0,0,0,3,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,12,9,9,4,15,22,28,22,4,0,108
SSC10041,0,0,3,0,3,3,0,0,0,9,0,0,0,0,3,4,0,0,0,11,0,0,0,0,0,3,0,0,0,9,0,0,0,6,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,13,3,3,18,13,22,32,19,15,0,132
SSC10042,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,5,5,12,9,16,5,0,56
SSC10043,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,6,7,7,7,10,0,0,34
SSC10044,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,0,0,0,0,3,0,0,0,0,8,0,0,0,0,0,3,0,0,0,3,0,0,0,3,4,0,0,0,0,10,8,4,3,18,32,15,16,11,0,108
SSC10045,0,0,6,0,8,11,7,0,0,34,0,0,3,6,13,0,0,0,0,27,0,0,3,0,4,11,0,0,0,15,0,0,0,0,4,3,0,0,0,12,0,0,3,3,3,7,6,0,0,15,0,0,0,3,3,4,0,0,0,12,0,0,0,0,5,5,10,3,0,29,38,18,31,34,69,84,69,19,0,369
SSC10046,0,8,45,77,89,86,42,22,10,378,0,3,30,44,57,45,22,4,6,212,0,0,17,44,41,30,14,13,3,161,0,0,11,28,45,29,11,3,0,129,0,0,8,34,33,43,10,0,3,132,0,0,4,17,24,12,4,6,3,68,25,8,27,42,49,61,75,69,84,439,339,171,381,633,699,815,786,580,366,4763
SSC10047,0,0,0,0,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,4,5,10,8,14,16,14,7,0,76
SSC10048,0,0,0,3,0,0,3,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,5,0,0,0,0,0,0,0,0,3,5,3,0,12,9,0,3,0,0,33
SSC10049,3,45,149,93,93,92,23,0,0,497,0,21,78,70,73,72,11,0,0,316,0,0,47,47,58,42,5,0,0,208,0,0,22,37,26,30,4,0,0,122,0,0,15,36,40,40,6,0,0,128,0,3,9,3,3,6,0,0,0,20,71,53,96,84,74,67,46,13,3,494,540,615,1051,876,909,933,529,168,42,5660
SSC10050,0,0,0,0,0,0,4,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,6,0,10,4,0,26
SSC10051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3
SSC10052,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,9,7,0,3,0,29
SSC10053,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,12,3,3,0,4,5,8,4,0,0,29
SSC10054,0,0,0,0,3,4,0,0,0,10,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,3,3,6,3,19,12,7,4,0,58
SSC10055,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,15,0,0,8,10,12,9,5,3,3,51
SSC10056,0,0,0,0,5,3,0,0,0,10,0,0,0,0,0,3,0,0,0,9,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,8,0,0,0,21,12,12,11,20,28,31,12,8,3,128
SSC10057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,3,4,0,0,11,6,5,3,7,15,9,10,4,0,52
SSC10058,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,3,0,7,3,0,26,0,0,6,7,14,12,27,17,4,81
SSC10059,0,0,8,0,0,8,0,0,0,14,0,0,0,3,0,3,0,0,0,7,0,0,0,3,0,10,0,0,0,14,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,8,0,0,0,12,0,0,0,3,0,0,0,0,0,3,0,0,0,6,3,6,3,0,0,17,10,3,15,31,29,66,29,4,5,194
SSC10060,0,11,32,57,53,43,20,6,3,218,0,3,29,21,48,28,3,0,0,137,0,0,11,28,26,21,5,0,0,96,0,0,7,17,31,16,0,0,0,74,0,0,6,11,41,17,0,0,0,82,0,3,0,10,6,8,0,0,0,35,28,9,29,20,42,62,131,78,24,419,286,202,310,391,539,545,589,312,70,3243
SSC10061,0,55,200,125,97,82,49,6,4,621,0,24,172,110,101,54,30,11,3,515,0,8,173,152,103,72,29,4,0,538,0,0,118,124,92,59,20,3,0,421,0,4,230,337,220,115,39,7,0,963,0,0,102,384,298,131,34,3,0,944,31,53,156,167,108,100,54,22,6,709,349,642,1685,1781,1368,1012,658,282,114,7891
SSC10062,0,12,16,20,22,13,5,0,0,93,0,7,23,20,13,11,5,3,0,89,0,3,4,14,16,22,3,4,0,65,0,0,4,8,22,11,11,0,0,53,0,0,12,15,31,19,4,0,0,74,0,0,0,7,20,21,5,3,0,57,10,8,8,9,16,9,11,4,0,83,126,118,125,148,222,179,150,72,11,1153
SSC10063,0,12,76,44,31,30,3,0,0,196,0,6,63,37,32,17,3,0,0,164,0,6,50,35,25,19,3,0,0,135,0,0,26,37,17,16,3,0,0,105,0,3,17,39,37,13,0,0,0,113,0,0,10,6,7,8,3,0,0,36,10,7,32,31,18,16,7,3,0,130,172,147,454,370,328,264,139,57,18,1953
SSC10064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,11,0,0,0,7,9,3,10,0,0,31
SSC10065,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,5,7,0,3,0,0,28
SSC10066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,3,4,5,0,0,11
SSC10067,0,0,0,0,0,9,0,0,0,8,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,3,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,11,0,4,14,9,26,15,8,0,91
SSC10068,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,3,0,0,14
SSC10069,0,0,3,0,11,13,3,0,3,31,0,0,0,5,0,4,0,0,0,10,0,0,0,0,0,8,0,0,0,9,0,0,0,3,3,3,0,0,0,10,0,0,0,3,3,4,0,0,0,13,0,0,0,0,5,3,0,0,0,10,0,0,0,3,0,3,4,4,0,22,23,16,19,38,67,98,85,35,6,381
