SSC_CODE_2016,M_Hbn_in_RM_0_14,M_Hbn_in_RM_15_24,M_Hbn_in_RM_25_34,M_Hbn_in_RM_35_44,M_Hbn_in_RM_45_54,M_Hbn_in_RM_55_64,M_Hbn_in_RM_65_74,M_Hbn_in_RM_75_84,M_Hbn_in_RM_85ov,M_Hbn_in_RM_Tot,M_Ptn_in_DFM_0_14,M_Ptn_in_DFM_15_24,M_Ptn_in_DFM_25_34,M_Ptn_in_DFM_35_44,M_Ptn_in_DFM_45_54,M_Ptn_in_DFM_55_64,M_Ptn_in_DFM_65_74,M_Ptn_in_DFM_75_84,M_Ptn_in_DFM_85ov,M_Ptn_in_DFM_Tot,M_LonePnt_0_14,M_LonePnt_15_24,M_LonePnt_25_34,M_LonePnt_35_44,M_LonePnt_45_54,M_LonePnt_55_64,M_LonePnt_65_74,M_LonePnt_75_84,M_LonePnt_85ov,M_LonePnt_Tot,M_CU15_0_14,M_CU15_15_24,M_CU15_25_34,M_CU15_35_44,M_CU15_45_54,M_CU15_55_64,M_CU15_65_74,M_CU15_75_84,M_CU15_85ov,M_CU15_Tot,M_DpStu_0_14,M_DpStu_15_24,M_DpStu_25_34,M_DpStu_35_44,M_DpStu_45_54,M_DpStu_55_64,M_DpStu_65_74,M_DpStu_75_84,M_DpStu_85ov,M_DpStu_Tot,M_NDpChl_0_14,M_NDpChl_15_24,M_NDpChl_25_34,M_NDpChl_35_44,M_NDpChl_45_54,M_NDpChl_55_64,M_NDpChl_65_74,M_NDpChl_75_84,M_NDpChl_85ov,M_NDpChl_Tot,M_OthRI_0_14,M_OthRI_15_24,M_OthRI_25_34,M_OthRI_35_44,M_OthRI_45_54,M_OthRI_55_64,M_OthRI_65_74,M_OthRI_75_84,M_OthRI_85ov,M_OthRI_Tot,M_URI_in_FH_0_14,M_URI_in_FH_15_24,M_URI_in_FH_25_34,M_URI_in_FH_35_44,M_URI_in_FH_45_54,M_URI_in_FH_55_64,M_URI_in_FH_65_74,M_URI_in_FH_75_84,M_URI_in_FH_85ov,M_URI_in_FH_Tot,M_GrpH_Mem_0_14,M_GrpH_Mem_15_24,M_GrpH_Mem_25_34,M_GrpH_Mem_35_44,M_GrpH_Mem_45_54,M_GrpH_Mem_55_64,M_GrpH_Mem_65_74,M_GrpH_Mem_75_84,M_GrpH_Mem_85ov,M_GrpH_Mem_Tot,M_LonePsn_0_14,M_LonePsn_15_24,M_LonePsn_25_34,M_LonePsn_35_44,M_LonePsn_45_54,M_LonePsn_55_64,M_LonePsn_65_74,M_LonePsn_75_84,M_LonePsn_85ov,M_LonePsn_Tot,M_Vis_within_Aus_0_14,M_Vis_within_Aus_15_24,M_Vis_within_Aus_25_34,M_Vis_within_Aus_35_44,M_Vis_within_Aus_45_54,M_Vis_within_Aus_55_64,M_Vis_within_Aus_65_74,M_Vis_within_Aus_75_84,M_Vis_within_Aus_85ov,M_Vis_within_Aus_Tot,M_Tot_0_14,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Wife_in_RM_0_14,F_Wife_in_RM_15_24,F_Wife_in_RM_25_34,F_Wife_in_RM_35_44,F_Wife_in_RM_45_54,F_Wife_in_RM_55_64,F_Wife_in_RM_65_74,F_Wife_in_RM_75_84,F_Wife_in_RM_85ov,F_Wife_in_RM_Tot,F_Ptn_in_DFM_0_14,F_Ptn_in_DFM_15_24,F_Ptn_in_DFM_25_34,F_Ptn_in_DFM_35_44,F_Ptn_in_DFM_45_54,F_Ptn_in_DFM_55_64,F_Ptn_in_DFM_65_74,F_Ptn_in_DFM_75_84,F_Ptn_in_DFM_85ov,F_Ptn_in_DFM_Tot,F_LonePnt_0_14,F_LonePnt_15_24,F_LonePnt_25_34,F_LonePnt_35_44,F_LonePnt_45_54,F_LonePnt_55_64,F_LonePnt_65_74,F_LonePnt_75_84,F_LonePnt_85ov,F_LonePnt_Tot,F_CU15_0_14,F_CU15_15_24,F_CU15_25_34,F_CU15_35_44,F_CU15_45_54,F_CU15_55_64,F_CU15_65_74,F_CU15_75_84,F_CU15_85ov,F_CU15_Tot,F_DpStu_0_14,F_DpStu_15_24,F_DpStu_25_34,F_DpStu_35_44,F_DpStu_45_54,F_DpStu_55_64,F_DpStu_65_74,F_DpStu_75_84,F_DpStu_85ov,F_DpStu_Tot,F_NDpChl_0_14,F_NDpChl_15_24,F_NDpChl_25_34,F_NDpChl_35_44,F_NDpChl_45_54,F_NDpChl_55_64,F_NDpChl_65_74,F_NDpChl_75_84,F_NDpChl_85ov,F_NDpChl_Tot,F_OthRI_0_14,F_OthRI_15_24,F_OthRI_25_34,F_OthRI_35_44,F_OthRI_45_54,F_OthRI_55_64,F_OthRI_65_74,F_OthRI_75_84,F_OthRI_85ov,F_OthRI_Tot,F_URI_in_FH_0_14,F_URI_in_FH_15_24,F_URI_in_FH_25_34,F_URI_in_FH_35_44,F_URI_in_FH_45_54,F_URI_in_FH_55_64,F_URI_in_FH_65_74,F_URI_in_FH_75_84,F_URI_in_FH_85ov,F_URI_in_FH_Tot
SSC10011,..,0,11,6,16,11,5,4,0,52,..,0,5,5,0,0,0,0,0,13,..,0,0,0,0,0,0,0,0,0,37,..,..,..,..,..,..,..,..,37,..,14,..,..,..,..,..,..,..,14,..,5,0,3,0,0,0,0,0,11,..,0,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,3,..,0,0,0,0,8,0,0,0,6,0,0,0,0,0,0,0,0,0,0,41,22,21,18,21,17,9,9,0,145,..,0,7,11,20,3,7,3,0,51,..,0,3,4,0,0,0,0,0,8,..,0,0,3,0,3,0,0,0,10,30,..,..,..,..,..,..,..,..,30,..,6,..,..,..,..,..,..,..,6,..,6,0,0,0,0,0,0,0,10,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0
SSC10012,..,0,0,3,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,..,0,0,3,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,4,..,..,..,..,..,..,..,..,4,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0
SSC10013,..,0,0,3,0,3,0,0,0,8,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,3,..,..,..,..,..,..,..,3,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,5,0,3,3,3,0,0,0,17,..,0,0,0,3,5,0,0,0,5,..,0,0,0,0,0,0,0,0,0,..,0,0,0,3,0,0,0,0,3,8,..,..,..,..,..,..,..,..,8,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0
SSC10014,..,5,124,286,192,141,85,10,8,850,..,4,20,13,11,5,0,0,0,53,..,0,0,5,6,8,0,0,0,23,468,..,..,..,..,..,..,..,..,468,..,128,..,..,..,..,..,..,..,128,..,86,81,12,0,0,0,0,0,186,..,5,13,12,4,0,3,6,3,41,..,3,9,3,0,0,0,0,0,19,..,9,4,3,6,0,0,0,0,20,..,0,10,10,12,4,3,0,0,34,0,3,3,4,0,0,0,0,0,13,473,246,256,346,233,163,88,25,13,1839,..,10,172,283,193,129,59,9,0,859,..,4,27,12,17,8,0,0,0,64,..,0,14,22,45,18,5,3,5,105,411,..,..,..,..,..,..,..,..,411,..,129,..,..,..,..,..,..,..,129,..,74,43,8,3,0,0,0,0,133,..,11,8,3,3,16,11,15,3,67,..,4,5,0,0,0,0,0,0,11
SSC10015,..,0,6,6,11,10,16,7,0,59,..,3,0,0,0,3,3,0,0,14,..,0,0,0,0,0,0,0,0,3,21,..,..,..,..,..,..,..,..,21,..,0,..,..,..,..,..,..,..,0,..,4,0,0,0,0,0,0,0,8,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,4,0,4,9,3,7,0,36,0,0,0,0,0,0,0,3,0,5,21,8,10,13,18,25,24,17,0,141,..,0,6,8,9,13,20,0,0,61,..,0,0,3,0,7,0,0,0,13,..,0,0,0,0,0,0,0,0,7,16,..,..,..,..,..,..,..,..,16,..,6,..,..,..,..,..,..,..,6,..,4,0,0,3,0,0,0,0,4,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0
SSC10016,..,0,103,228,227,152,106,59,14,891,..,31,125,37,44,21,10,0,0,275,..,0,3,10,29,11,4,3,0,61,530,..,..,..,..,..,..,..,..,530,..,157,..,..,..,..,..,..,..,157,..,97,37,15,19,4,3,0,0,179,..,23,10,3,3,0,9,3,0,57,..,14,9,3,3,0,3,0,0,37,..,50,78,21,9,11,6,4,0,183,..,9,50,51,48,53,39,30,13,293,4,6,14,6,0,7,4,0,0,48,535,394,438,371,382,264,184,100,31,2691,..,3,150,254,222,170,85,38,10,917,..,57,122,36,39,23,7,0,0,287,..,0,17,65,85,28,17,12,5,228,545,..,..,..,..,..,..,..,..,545,..,139,..,..,..,..,..,..,..,139,..,83,23,0,6,6,0,0,0,125,..,6,14,4,0,10,13,3,7,57,..,10,6,0,0,0,0,0,0,21
SSC10017,..,0,98,252,220,208,200,148,36,1166,..,3,49,41,25,6,8,0,0,136,..,3,3,11,14,9,0,3,4,45,564,..,..,..,..,..,..,..,..,564,..,140,..,..,..,..,..,..,..,140,..,98,41,25,23,16,5,0,0,198,..,7,3,3,4,0,0,4,0,30,..,12,8,0,0,0,0,0,0,18,..,21,15,9,8,8,5,0,0,61,..,5,7,11,24,24,18,25,22,136,6,12,6,5,4,3,3,0,0,47,568,296,235,362,316,270,247,181,64,2540,..,4,138,284,235,180,193,106,23,1182,..,7,47,31,26,10,3,0,0,134,..,0,12,24,51,16,11,16,7,132,506,..,..,..,..,..,..,..,..,506,..,146,..,..,..,..,..,..,..,146,..,48,28,9,4,5,0,0,0,96,..,11,8,0,5,5,7,6,3,53,..,3,4,3,0,0,0,0,0,8
SSC10018,..,0,14,26,32,41,39,15,3,168,..,3,11,10,5,6,3,3,0,44,..,0,0,3,0,0,0,0,0,4,88,..,..,..,..,..,..,..,..,88,..,19,..,..,..,..,..,..,..,19,..,11,7,3,3,3,0,0,0,27,..,0,3,0,0,3,3,4,0,12,..,0,0,0,0,0,0,0,0,4,..,0,0,0,0,0,0,0,0,3,..,0,3,6,8,4,18,16,3,60,0,6,0,3,0,0,0,0,0,13,88,43,37,49,59,62,62,29,8,444,..,0,18,27,31,44,28,13,3,165,..,7,10,15,9,9,0,0,0,45,..,0,0,15,6,5,3,0,0,25,77,..,..,..,..,..,..,..,..,77,..,17,..,..,..,..,..,..,..,17,..,10,3,0,3,0,0,0,0,11,..,3,0,0,0,0,0,0,0,5,..,3,0,0,0,0,0,0,0,3
SSC10019,..,0,0,3,3,10,0,0,0,19,..,0,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0,9,..,..,..,..,..,..,..,..,9,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,15,4,3,3,6,10,0,0,0,41,..,0,0,5,3,3,0,0,0,16,..,0,0,0,3,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0,9,..,..,..,..,..,..,..,..,9,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0
SSC10020,..,0,0,0,0,0,3,0,0,8,..,0,0,0,3,3,0,0,0,3,..,0,0,0,0,0,0,0,0,0,3,..,..,..,..,..,..,..,..,3,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,3,8,0,0,26,..,0,0,0,3,3,0,0,0,10,..,0,0,0,0,3,0,0,0,4,..,0,0,0,0,0,0,0,0,0,4,..,..,..,..,..,..,..,..,4,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0
SSC10021,..,3,12,40,41,39,28,3,0,167,..,4,6,7,6,3,3,0,0,26,..,0,0,0,0,0,0,0,0,0,105,..,..,..,..,..,..,..,..,105,..,29,..,..,..,..,..,..,..,29,..,27,14,3,5,0,0,0,0,54,..,0,0,3,0,3,7,0,0,15,..,0,4,0,0,3,0,0,0,5,..,0,0,0,0,0,0,0,0,8,..,3,0,0,5,3,4,0,0,24,0,0,3,0,0,0,0,0,0,10,106,66,41,60,62,50,43,6,3,435,..,0,22,41,44,36,22,3,0,171,..,9,4,5,4,3,0,0,0,27,..,3,4,4,7,3,8,0,0,24,93,..,..,..,..,..,..,..,..,93,..,20,..,..,..,..,..,..,..,20,..,16,5,0,0,0,0,0,0,20,..,0,0,0,0,0,3,0,3,9,..,0,5,0,0,0,0,0,0,4
