SSC_CODE_2016,P_FoodHospPersServ_Occ_Mng,P_FoodHospPersServ_Occ_Pro,P_FoodHospPersServ_Occ_TTW,P_FoodHospPersServ_Occ_CPS,P_FoodHospPersServ_Occ_CA,P_FoodHospPersServ_Occ_Sal,P_FoodHospPersServ_Occ_MOD,P_FoodHospPersServ_Occ_Lab,P_FoodHospPersServ_Occ_IDNS,P_FoodHospPersServ_Total,P_MixFieldProg_Occ_Mng,P_MixFieldProg_Occ_Pro,P_MixFieldProg_Occ_TTW,P_MixFieldProg_Occ_CPS,P_MixFieldProg_Occ_CA,P_MixFieldProg_Occ_Sal,P_MixFieldProg_Occ_MOD,P_MixFieldProg_Occ_Lab,P_MixFieldProg_Occ_IDNS,P_MixFieldProg_Total,P_FS_ID_Occ_Mng,P_FS_ID_Occ_Pro,P_FS_ID_Occ_TTW,P_FS_ID_Occ_CPS,P_FS_ID_Occ_CA,P_FS_ID_Occ_Sal,P_FS_ID_Occ_MOD,P_FS_ID_Occ_Lab,P_FS_ID_Occ_IDNS,P_FS_ID_Total,P_FS_NS_Occ_Mng,P_FS_NS_Occ_Pro,P_FS_NS_Occ_TTW,P_FS_NS_Occ_CPS,P_FS_NS_Occ_CA,P_FS_NS_Occ_Sal,P_FS_NS_Occ_MOD,P_FS_NS_Occ_Lab,P_FS_NS_Occ_IDNS,P_FS_NS_Total,P_Tot_Occ_Mng,P_Tot_Occ_Pro,P_Tot_Occ_TTW,P_Tot_Occ_CPS,P_Tot_Occ_CA,P_Tot_Occ_Sal,P_Tot_Occ_MOD,P_Tot_Occ_Lab,P_Tot_Occ_IDNS,P_Total_Total
SSC10041,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,0,15,3,7,0,4,6,0,50
SSC10042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,3,0,0,0,3,0,0,20
SSC10043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,0,0,0,0,0,0,0,16
SSC10044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,14,6,6,5,3,0,3,0,50
SSC10045,0,0,3,7,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,3,38,50,24,21,18,3,4,8,9,170
SSC10046,8,3,36,12,7,5,4,9,0,91,0,0,0,0,0,0,0,0,0,3,3,3,3,0,0,0,0,3,0,10,8,3,3,0,3,0,0,3,11,38,176,476,251,197,202,73,47,80,29,1543
SSC10047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,4,3,3,0,0,0,0,26
SSC10048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,16
SSC10049,12,3,42,19,11,8,4,14,3,109,0,0,0,0,0,0,0,0,0,3,0,0,3,0,3,0,3,3,0,22,3,3,14,10,10,11,15,14,4,96,153,289,309,230,238,125,134,139,24,1639
SSC10050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,6
SSC10051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC10052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,0,0,0,0,0,3,0,12
SSC10053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,4
SSC10054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,15,0,0,0,3,0,0,3,0,20
SSC10055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,5,4,3,0,0,0,0,22
SSC10056,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,15,8,5,7,3,4,4,8,3,56
SSC10057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,4,0,0,3,0,0,0,0,0,11
SSC10058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,3,0,0,0,0,14
SSC10059,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,33,7,10,5,6,0,0,0,73
SSC10060,3,0,24,14,4,7,10,8,0,65,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,0,0,0,14,7,5,4,5,3,3,0,7,0,30,128,192,235,139,109,61,57,70,9,1004
SSC10061,14,8,35,16,12,10,0,3,0,97,0,0,0,0,0,0,0,0,0,3,18,35,7,3,16,0,0,0,7,77,12,14,7,3,10,3,5,3,15,63,844,2177,282,248,456,213,45,75,70,4410
SSC10062,0,0,14,3,4,3,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,3,0,0,0,0,7,112,127,96,39,84,28,12,25,4,520
SSC10063,4,0,22,5,10,12,0,3,3,59,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,3,3,3,0,4,3,0,0,3,19,102,175,225,106,125,59,64,56,10,916
SSC10064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,7
SSC10065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,3,0,0,0,0,9
SSC10066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3
SSC10067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,3,3,4,5,0,0,10,0,37
SSC10068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,5
SSC10069,5,0,0,0,0,0,0,3,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,30,29,30,10,15,6,3,12,7,137
SSC10070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,7,12,6,3,0,5,3,0,7,3,37
SSC10071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3
SSC10072,0,0,18,6,0,4,0,0,0,25,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,12,92,140,94,44,70,26,10,27,13,501
SSC10073,0,0,10,3,3,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,6,0,0,3,5,0,0,0,0,3,18,40,86,98,52,59,23,29,25,3,413
SSC10074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,9
SSC10075,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,15,15,9,3,6,3,0,4,0,67
SSC10076,0,0,0,3,0,0,0,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,3,26,10,13,13,5,4,5,10,0,89
SSC10077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,7
SSC10078,0,0,14,3,0,0,0,3,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,3,0,0,3,0,3,0,10,16,46,68,38,24,20,22,29,6,271
SSC10079,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,15,8,11,12,3,3,3,10,0,55
SSC10080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,10
SSC10081,3,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,42,24,15,9,11,3,3,5,0,113
SSC10082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,3,3,3,0,0,0,0,19
SSC10083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3
SSC10084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,20,5,3,3,3,0,0,4,0,34
SSC10085,36,6,128,51,29,38,9,36,3,330,0,0,0,5,0,3,0,3,0,7,18,18,9,7,9,0,8,4,0,72,13,33,12,17,11,13,13,33,18,168,777,2397,845,794,836,369,160,438,79,6694
SSC10086,17,6,82,28,11,13,10,7,0,173,0,0,3,0,0,0,0,0,0,6,11,11,6,7,9,3,6,5,4,60,8,10,18,8,9,8,0,9,11,82,446,1047,445,330,444,232,151,264,56,3405
SSC10087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8,0,0,0,0,0,0,7
SSC10088,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,4,13,7,14,0,3,0,12,0,61
SSC10089,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,25,60,23,12,17,7,3,17,3,158
SSC10090,13,9,46,14,8,3,0,6,0,102,0,0,0,0,0,0,0,0,0,6,11,22,8,7,9,3,0,3,0,57,11,23,3,5,9,4,0,3,16,75,700,2026,273,257,487,217,53,93,61,4164
SSC10091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,6,3,0,0,0,0,0,0,21
SSC10092,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,3,0,0,0,0,3,0,14
SSC10093,7,0,12,7,3,5,0,9,0,56,0,0,0,0,0,0,0,0,0,4,4,3,3,0,7,3,0,3,0,25,3,4,6,4,3,5,0,0,0,18,197,467,148,94,163,68,21,44,14,1215
SSC10094,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,11,23,19,11,10,4,4,9,0,88
SSC10095,0,0,5,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,8,15,5,7,4,0,4,0,46
SSC10096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
SSC10097,0,0,9,7,4,0,0,3,0,27,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,3,7,4,0,0,12,3,7,35,33,58,74,71,49,21,41,46,17,421
SSC10098,43,13,167,55,44,30,24,33,4,406,0,0,9,9,3,3,3,9,0,29,23,38,13,14,37,13,9,6,3,158,12,20,16,26,20,4,3,23,38,166,1036,3503,943,964,1221,613,283,593,165,9323
SSC10099,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,6,29,14,12,25,7,6,4,14,0,113
SSC10100,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,14,11,17,14,8,9,9,11,0,98
SSC10101,0,0,25,8,7,8,0,11,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,14,3,3,0,4,3,3,28,49,98,159,121,78,51,50,83,6,690
SSC10102,4,0,24,16,4,11,3,8,0,72,0,0,0,0,0,0,0,0,0,4,0,3,4,0,0,0,0,0,0,8,0,0,5,0,3,3,0,3,5,25,191,446,294,167,207,81,87,52,16,1544
SSC10103,4,4,15,6,5,3,0,0,0,40,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,3,0,0,4,9,0,7,0,0,7,0,0,0,0,18,181,523,138,123,177,63,26,37,16,1279
SSC10104,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,3,0,0,0,6,3,0,22
SSC10105,0,0,5,3,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,0,0,0,0,8,33,32,23,20,18,3,9,19,3,166
SSC10106,18,3,171,48,28,32,21,35,3,377,0,0,11,7,0,6,9,21,0,54,9,18,22,10,15,7,15,16,5,121,23,15,56,30,18,14,28,52,69,297,620,1729,1252,1004,822,759,551,987,205,7923
SSC10107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,11,9,4,4,0,3,0,43
SSC10108,3,3,4,7,3,0,3,0,0,24,0,0,0,0,0,0,0,0,0,3,3,8,0,0,4,0,3,0,0,19,0,4,3,3,0,5,0,0,0,8,159,501,107,68,97,42,19,27,9,1025
SSC10109,8,3,12,5,4,8,0,0,0,40,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,12,4,0,8,3,3,7,9,5,3,33,99,118,159,60,77,47,49,35,15,655
SSC10110,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,5,3,3,0,0,8,0,36
SSC10111,23,9,45,13,24,17,4,4,3,149,0,0,0,0,3,0,0,0,0,3,8,13,3,3,3,5,0,4,3,50,4,11,9,0,6,5,3,8,8,52,728,1268,488,275,436,222,45,99,61,3621
SSC10112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,9
SSC10113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,18,5,10,11,3,0,3,0,68
SSC10114,4,6,16,9,8,3,4,8,0,63,0,3,0,0,0,0,0,0,0,3,3,8,0,0,0,0,0,3,0,19,3,3,11,0,5,0,7,3,0,27,261,600,236,170,167,86,32,69,19,1632
SSC10115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC10116,0,3,12,6,3,3,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,5,0,3,0,0,12,43,81,130,64,63,38,28,23,3,477
