SSC_CODE_2016,M_0_149_CFNC,M_0_149_CF_C_und15,M_0_149_CFNC_und15,M_0_149_1PF_C_und15,M_0_149_1PFNC_und15,M_0_149_OthF,M_0_149_Tot,M_150_299_CFNC,M_150_299_CF_C_und15,M_150_299_CFNC_und15,M_150_299_1PF_C_und15,M_150_299_1PFNC_und15,M_150_299_OthF,M_150_299_Tot,M_300_449_CFNC,M_300_449_CF_C_und15,M_300_449_CFNC_und15,M_300_449_1PF_C_und15,M_300_449_1PFNC_und15,M_300_449_OthF,M_300_449_Tot,M_450_599_CFNC,M_450_599_CF_C_und15,M_450_599_CFNC_und15,M_450_599_1PF_C_und15,M_450_599_1PFNC_und15,M_450_599_OthF,M_450_599_Tot,M_600_799_CFNC,M_600_799_CF_C_und15,M_600_799_CFNC_und15,M_600_799_1PF_C_und15,M_600_799_1PFNC_und15,M_600_799_OthF,M_600_799_Tot,M_800_999_CFNC,M_800_999_CF_C_und15,M_800_999_CFNC_und15,M_800_999_1PF_C_und15,M_800_999_1PFNC_und15,M_800_999_OthF,M_800_999_Tot,M_1000_1199_CFNC,M_1000_1199_CF_C_und15,M_1000_1199_CFNC_und15,M_1000_1199_1PF_C_und15,M_1000_1199_1PFNC_und15,M_1000_1199_OthF,M_1000_1199_Tot,M_1200_1399_CFNC,M_1200_1399_CF_C_und15,M_1200_1399_CFNC_und15,M_1200_1399_1PF_C_und15,M_1200_1399_1PFNC_und15,M_1200_1399_OthF,M_1200_1399_Tot,M_1400_1599_CFNC,M_1400_1599_CF_C_und15,M_1400_1599_CFNC_und15,M_1400_1599_1PF_C_und15,M_1400_1599_1PFNC_und15,M_1400_1599_OthF,M_1400_1599_Tot,M_1600_1799_CFNC,M_1600_1799_CF_C_und15,M_1600_1799_CFNC_und15,M_1600_1799_1PF_C_und15,M_1600_1799_1PFNC_und15,M_1600_1799_OthF,M_1600_1799_Tot,M_1800_1999_CFNC,M_1800_1999_CF_C_und15,M_1800_1999_CFNC_und15,M_1800_1999_1PF_C_und15,M_1800_1999_1PFNC_und15,M_1800_1999_OthF,M_1800_1999_Tot,M_2000_2199_CFNC,M_2000_2199_CF_C_und15,M_2000_2199_CFNC_und15,M_2000_2199_1PF_C_und15,M_2000_2199_1PFNC_und15,M_2000_2199_OthF,M_2000_2199_Tot,M_2200_2399_CFNC,M_2200_2399_CF_C_und15,M_2200_2399_CFNC_und15,M_2200_2399_1PF_C_und15,M_2200_2399_1PFNC_und15,M_2200_2399_OthF,M_2200_2399_Tot,M_2400_2599_CFNC,M_2400_2599_CF_C_und15,M_2400_2599_CFNC_und15,M_2400_2599_1PF_C_und15,M_2400_2599_1PFNC_und15,M_2400_2599_OthF,M_2400_2599_Tot,M_2600_2999_CFNC,M_2600_2999_CF_C_und15,M_2600_2999_CFNC_und15,M_2600_2999_1PF_C_und15,M_2600_2999_1PFNC_und15,M_2600_2999_OthF,M_2600_2999_Tot,M_3000_3999_CFNC,M_3000_3999_CF_C_und15,M_3000_3999_CFNC_und15,M_3000_3999_1PF_C_und15,M_3000_3999_1PFNC_und15,M_3000_3999_OthF,M_3000_3999_Tot,M_4000_4999_CFNC,M_4000_4999_CF_C_und15,M_4000_4999_CFNC_und15,M_4000_4999_1PF_C_und15,M_4000_4999_1PFNC_und15,M_4000_4999_OthF,M_4000_4999_Tot,M_5000over_CFNC,M_5000over_CF_C_und15,M_5000over_CFNC_und15,M_5000over_1PF_C_und15,M_5000over_1PFNC_und15,M_5000over_OthF,M_5000over_Tot,M_NS_CFNC,M_NS_CF_C_und15,M_NS_CFNC_und15,M_NS_1PF_C_und15,M_NS_1PFNC_und15,M_NS_OthF,M_NS_Tot,Tot_CFNC,Tot_CF_C_und15,Tot_CFNC_und15,Tot_1PF_C_und15,Tot_1PFNC_und15,Tot_OthF,Tot_Tot
SSC10011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,0,0,0,0,8,0,4,0,0,0,0,6,0,3,0,0,0,0,5,0,14,0,0,0,0,14,0,3,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,32,5,4,3,0,44
SSC10012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC10013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC10014,6,6,3,0,0,0,11,0,0,0,0,0,0,3,0,3,0,0,0,0,3,0,4,0,0,0,0,5,3,9,3,0,3,0,13,0,3,4,0,0,0,10,4,8,9,4,0,0,24,3,12,4,0,0,0,22,4,9,7,3,4,0,26,7,18,12,0,7,0,44,3,12,5,0,4,0,33,13,46,21,6,3,0,87,10,32,6,4,3,0,55,8,19,5,3,3,0,38,23,47,27,4,4,0,101,32,76,21,3,3,3,141,4,10,6,0,3,0,30,3,7,9,0,0,0,23,0,12,9,0,0,0,26,130,343,151,28,44,3,693
SSC10015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,3,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,4,3,3,0,0,22
SSC10016,4,10,3,0,0,0,23,0,3,0,0,0,0,3,3,3,4,0,0,0,10,3,0,3,0,3,0,10,10,8,0,3,0,0,20,11,7,6,3,7,0,31,7,10,6,3,5,0,35,11,12,6,3,9,0,38,10,17,3,9,3,0,46,15,32,10,0,7,0,64,13,14,0,3,0,0,28,18,42,6,6,4,0,78,6,22,0,0,0,0,39,0,11,4,3,0,0,14,4,43,10,5,0,0,60,19,52,8,0,0,0,89,5,22,0,0,0,0,28,0,9,0,0,0,0,9,0,6,0,3,6,0,19,145,316,84,39,46,3,628
SSC10017,12,12,6,3,0,0,31,0,4,0,0,0,0,3,0,3,5,0,0,0,11,0,0,0,0,0,0,3,3,4,0,0,3,0,10,11,7,10,0,3,0,35,10,11,14,0,3,0,38,5,20,8,3,3,0,35,12,22,4,3,4,0,45,5,21,5,4,3,0,41,4,16,0,0,3,0,30,14,58,11,0,0,0,85,4,44,4,0,0,0,54,5,26,3,0,0,0,41,15,40,4,3,0,0,62,14,68,10,0,3,0,93,5,16,3,0,0,0,19,0,14,0,0,0,0,14,7,11,3,0,0,0,21,128,398,100,21,31,6,672
SSC10018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,3,3,3,0,3,0,0,9,6,4,0,0,0,0,14,0,9,3,0,0,0,13,3,8,0,0,0,0,7,3,3,0,0,0,0,7,0,5,4,0,0,0,13,0,6,0,0,0,0,4,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,27,43,21,9,0,0,96
SSC10019,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,10
SSC10020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SSC10021,3,0,3,0,0,0,9,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,3,0,0,0,0,7,3,5,0,0,0,0,9,3,9,0,0,0,0,12,4,8,3,0,3,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,3,0,3,0,0,7,4,13,6,0,0,0,22,4,4,0,0,0,0,5,0,3,0,0,0,0,5,0,4,0,0,0,0,4,34,60,23,6,5,0,119
SSC10022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,3,0,5,0,16
SSC10023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,5
SSC10024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3
SSC10025,16,15,9,0,3,0,43,4,4,0,0,3,0,10,13,5,13,3,3,0,34,13,9,14,0,4,0,37,18,10,15,3,7,0,53,21,19,17,4,9,0,72,21,33,19,6,12,0,97,23,59,27,12,5,0,137,21,58,27,15,5,3,131,32,78,41,18,4,0,174,32,118,29,21,7,0,208,60,153,62,16,24,3,313,34,92,13,14,3,0,158,12,51,12,4,0,0,72,44,95,38,8,7,0,194,30,71,27,9,3,0,137,3,18,5,0,3,0,34,3,3,3,0,0,0,7,23,37,11,3,5,0,79,425,931,397,130,107,10,1993
SSC10026,11,3,6,0,3,0,25,4,0,3,0,0,0,8,6,0,4,0,0,0,12,0,0,3,0,0,0,6,7,3,3,3,6,0,23,19,14,6,0,4,0,45,22,11,11,4,5,0,42,23,21,13,13,7,0,74,16,20,18,11,10,0,72,31,52,16,13,3,0,114,26,39,19,5,6,0,86,31,55,22,12,3,3,119,17,18,4,0,3,0,47,8,5,3,0,0,0,18,11,14,3,0,3,0,28,5,9,7,0,0,0,27,0,3,4,0,0,0,3,0,3,3,0,0,0,4,11,5,6,8,0,0,28,236,275,151,69,64,6,794
SSC10027,11,8,3,0,0,0,25,0,3,0,0,0,0,5,5,0,0,0,0,0,11,0,0,3,0,0,0,4,3,3,0,3,3,0,14,11,7,0,0,0,0,22,13,3,5,3,0,0,22,11,13,3,0,3,0,30,12,17,3,3,3,0,35,19,27,9,0,3,0,52,3,17,3,0,3,0,29,13,23,7,0,0,0,43,5,13,0,0,0,0,18,0,7,3,0,0,0,15,8,8,0,0,0,0,16,6,17,4,0,0,0,29,0,3,0,0,0,0,8,3,5,0,0,0,0,8,4,4,0,0,4,0,7,127,176,58,14,16,3,392
SSC10028,0,0,0,0,0,0,4,4,0,0,0,0,0,4,0,0,0,0,0,0,4,4,0,0,0,0,0,6,0,0,0,0,0,0,6,3,4,0,0,0,0,6,0,0,0,0,0,0,5,7,3,0,3,0,0,17,3,4,0,3,0,0,11,3,4,0,0,0,0,10,3,3,0,0,0,0,7,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,35,25,11,7,3,0,87
SSC10029,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,0,0,0,0,11
SSC10030,11,7,0,0,0,0,20,6,0,0,0,0,0,5,0,0,0,0,0,0,4,3,3,0,0,0,0,9,3,3,0,0,0,0,7,3,3,0,0,3,0,9,16,8,0,0,0,0,21,8,10,0,4,3,0,28,6,4,0,0,0,0,13,14,13,3,0,4,0,33,14,10,3,4,0,0,36,44,24,8,6,3,0,90,19,15,0,0,0,0,33,21,22,0,0,3,0,50,51,23,3,3,0,0,79,92,75,9,0,0,0,183,41,46,4,0,0,0,90,37,39,4,0,3,0,79,7,7,3,0,0,0,17,400,317,40,26,26,14,813
SSC10031,3,3,4,0,0,0,13,0,0,0,0,0,0,3,0,3,0,0,0,0,3,3,0,3,0,0,0,10,0,0,8,0,0,0,12,5,0,3,0,0,0,7,3,3,9,0,3,0,21,3,3,8,0,0,0,17,4,6,0,0,0,0,19,0,3,9,0,3,0,21,0,10,3,0,3,0,20,10,15,10,3,0,0,45,4,5,3,0,0,0,16,0,9,3,0,0,0,15,4,22,3,0,4,0,33,15,48,20,0,10,0,92,3,21,6,3,0,0,33,7,3,9,0,0,0,23,7,7,4,0,3,0,16,73,177,116,11,30,3,408
SSC10032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,15
SSC10033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SSC10034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,3,0,9
SSC10035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
