SSC_CODE_2016,CF_no_children_F,CF_no_children_P,CF_ChU15_a_DSs_a_NdCh_F,CF_ChU15_a_DSs_a_NdCh_P,CF_ChU15_a_DSs_a_no_NdCh_F,CF_ChU15_a_DSs_a_no_NdCh_P,CF_ChU15_a_no_DSs_a_NdCh_F,CF_ChU15_a_no_DSs_a_NdCh_P,CF_ChU15_a_no_DSs_a_no_NdCh_F,CF_ChU15_a_no_DSs_a_no_NdCh_P,CF_ChU15_a_Total_F,CF_ChU15_a_Total_P,CF_no_ChU15_a_DSs_a_NdCh_F,CF_no_ChU15_a_DSs_a_NdCh_P,CF_no_ChU15_a_DSs_a_no_NdCh_F,CF_no_ChU15_a_DSs_a_no_NdCh_P,CF_no_ChU15_a_no_DSs_a_NdCh_F,CF_no_ChU15_a_no_DSs_a_NdCh_P,CF_no_ChU15_a_Total_F,CF_no_ChU15_a_Total_P,CF_Total_F,CF_Total_P,OPF_ChU15_a_DSs_a_NdCh_F,OPF_ChU15_a_DSs_a_NdCh_P,OPF_ChU15_a_DSs_a_no_NdCh_F,OPF_ChU15_a_DSs_a_no_NdCh_P,OPF_ChU15_a_no_DSs_a_NdCh_F,OPF_ChU15_a_no_DSs_a_NdCh_P,OPF_ChU15_a_no_DSs_no_NdCh_F,OPF_ChU15_a_no_DSs_no_NdCh_P,OPF_ChU15_a_Total_F,OPF_ChU15_a_Total_P,OPF_no_ChU15_a_DSs_a_NdCh_F,OPF_no_ChU15_a_DSs_a_NdCh_P,OPF_no_ChU15_a_DSs_no_NdCh_F,OPF_no_ChU15_a_DSs_no_NdCh_P,OPF_no_ChU15_no_DSs_a_NdCh_F,OPF_no_ChU15_no_DSs_a_NdCh_P,OPF_no_ChU15_a_Total_F,OPF_no_ChU15_a_Total_P,OPF_Total_F,OPF_Total_P,Other_family_F,Other_family_P,Total_F,Total_P
SSC11308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC11309,52,95,0,0,3,11,0,5,18,81,27,98,3,12,0,10,9,34,14,58,44,151,0,0,0,0,0,0,3,10,6,14,0,0,3,3,6,12,4,15,11,32,0,0,105,284
SSC11310,200,401,0,4,10,46,0,0,20,83,36,136,4,12,4,18,22,79,31,108,68,241,0,0,4,9,0,3,11,31,16,38,0,0,6,7,24,46,25,55,44,96,0,5,310,745
SSC11311,11,16,0,0,0,0,0,0,3,13,3,13,0,0,0,0,3,7,3,7,3,21,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,3,3,0,0,17,41
SSC11312,345,688,4,29,68,308,10,40,358,1376,438,1751,39,184,71,250,118,365,227,794,666,2543,0,9,18,63,4,8,53,140,73,219,6,28,18,38,74,162,94,227,169,451,19,34,1196,3724
SSC11313,412,822,11,48,69,313,15,80,397,1530,492,1974,44,193,89,299,136,444,270,939,759,2913,0,12,17,78,3,17,64,178,87,283,10,37,25,64,91,203,126,299,216,583,21,39,1401,4352
SSC11314,24,43,0,0,0,10,0,3,9,42,10,53,0,0,3,4,3,5,5,12,16,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,3,7,3,7,0,0,45,119
SSC11315,3,11,0,0,3,11,0,0,0,3,4,16,0,0,0,0,0,0,0,0,4,16,0,0,0,4,0,0,3,11,3,14,0,0,0,0,5,6,5,6,4,26,0,0,17,49
SSC11316,146,297,0,0,22,81,3,10,46,195,72,290,3,7,10,26,17,51,29,85,98,373,3,11,3,15,3,3,24,67,30,102,0,0,4,13,9,21,18,36,44,136,4,8,294,808
SSC11317,4,8,0,0,0,5,0,0,3,13,3,21,0,0,0,3,3,7,3,9,11,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,3,7,3,3,20,51
SSC11318,26,59,3,11,0,4,0,0,16,68,21,77,0,0,0,0,5,19,5,19,29,104,0,0,0,4,0,0,4,10,7,14,0,0,3,4,6,12,10,16,9,37,0,0,67,193
SSC11319,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SSC11320,234,463,3,32,20,104,3,19,74,284,106,435,13,45,18,56,41,122,72,227,170,662,0,0,3,18,3,6,56,154,61,181,0,8,5,9,35,72,43,91,111,273,8,10,523,1407
SSC11321,49,97,0,0,8,34,0,0,31,126,41,159,0,4,0,0,12,26,10,41,51,201,0,0,0,5,0,0,6,14,10,17,0,0,0,0,8,11,3,10,14,29,0,0,113,322
SSC11322,3,9,0,0,0,8,0,0,3,9,4,14,0,5,0,3,0,3,5,13,4,23,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,4,3,4,0,0,12,34
SSC11323,26,44,0,0,3,7,0,0,13,51,13,59,0,9,4,23,9,20,16,52,31,113,0,0,0,0,0,3,0,3,3,9,0,0,0,0,5,6,5,6,4,13,0,0,58,173
SSC11324,17,34,0,0,0,0,0,0,6,16,6,16,0,0,0,0,3,9,3,9,5,29,0,0,0,7,0,0,0,0,3,3,0,0,0,0,3,6,3,6,3,8,0,0,24,63
SSC11325,78,155,3,14,6,33,0,0,38,145,46,193,6,22,6,11,9,31,17,66,66,259,0,9,5,11,0,3,10,35,18,52,3,9,5,10,11,17,18,35,36,91,0,3,181,507
SSC11326,56,113,0,0,6,27,7,31,43,165,59,223,8,27,6,33,10,38,31,97,87,324,0,0,0,3,0,0,8,20,8,22,3,6,0,0,5,8,10,15,16,38,0,0,161,470
SSC11327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
SSC11328,647,1279,22,131,132,606,32,145,453,1857,645,2743,116,509,114,419,230,761,465,1689,1107,4429,4,11,22,61,3,13,62,184,92,275,16,50,34,81,99,230,148,366,239,633,28,60,2024,6398
SSC11329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC11330,32,62,0,0,3,15,0,5,8,48,17,63,6,9,7,17,3,18,10,44,27,108,0,0,0,0,0,0,3,7,3,7,0,0,0,0,0,0,0,0,3,7,0,3,66,181
SSC11331,25,54,0,0,0,0,0,11,15,52,17,63,0,3,0,0,5,27,10,32,24,87,0,0,0,0,0,5,4,10,3,13,0,0,0,3,0,3,3,5,7,14,3,6,60,166
SSC11332,57,121,0,9,5,32,7,24,35,126,46,195,3,13,4,17,11,36,25,67,70,260,0,0,0,5,0,0,3,9,6,17,0,0,0,3,5,11,7,13,15,29,0,0,140,409
SSC11333,10,14,0,0,0,3,0,0,0,3,5,9,0,8,3,10,0,3,3,18,5,25,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6,5,3,5,3,0,0,21,46
SSC11334,17,31,0,0,0,6,0,0,9,36,12,41,0,0,3,9,0,3,3,12,14,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,78
SSC11335,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,13
SSC11336,12,23,0,0,0,5,0,0,3,26,6,32,0,0,0,0,0,6,3,8,8,37,0,0,0,0,0,0,4,11,4,11,0,0,0,0,0,0,0,0,3,9,0,0,27,76
SSC11337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC11338,43,88,0,7,0,3,3,20,17,60,23,90,3,14,4,10,7,15,9,40,32,129,0,0,0,5,0,0,5,13,8,14,0,0,0,3,9,18,11,21,18,37,0,0,93,258
SSC11339,14,33,0,0,3,9,0,0,3,10,3,23,0,0,0,0,0,0,0,0,4,21,0,0,0,0,0,0,3,6,3,6,0,0,0,0,3,5,3,5,7,9,0,0,24,64
SSC11340,0,5,0,0,0,3,0,13,12,41,16,55,0,0,0,6,4,5,3,12,20,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,74
SSC11341,412,842,20,99,70,339,36,163,350,1374,471,1971,60,270,62,217,227,750,349,1239,817,3213,14,71,13,60,13,59,135,388,179,573,18,65,26,57,129,295,176,422,351,992,14,35,1599,5085
SSC11342,35,76,0,0,0,5,3,10,16,59,19,72,0,0,0,0,3,9,4,15,22,82,0,0,0,0,0,0,0,3,0,3,0,0,0,3,7,6,4,14,7,10,0,0,62,169
SSC11343,1491,2999,34,203,225,1063,44,217,1181,4618,1485,6107,168,740,222,777,619,2048,1009,3565,2499,9675,8,29,43,136,24,73,175,473,243,714,31,98,72,189,362,817,463,1103,710,1812,74,166,4782,14647
SSC11344,652,1279,10,37,57,250,12,45,384,1460,451,1794,32,119,57,182,79,252,168,555,622,2344,3,20,24,83,7,26,96,250,130,376,10,17,34,68,74,152,115,243,250,619,17,37,1542,4285
SSC11345,815,1619,10,38,52,238,9,46,301,1162,373,1485,20,79,39,134,90,282,152,485,525,1969,0,3,17,49,5,21,119,282,140,356,7,17,20,50,66,132,90,196,234,550,19,30,1590,4170
SSC11346,157,316,3,27,18,72,7,23,158,635,185,751,3,28,12,40,32,93,46,155,229,907,0,0,10,29,6,12,42,117,60,170,3,6,7,10,17,48,29,58,85,227,3,12,481,1465
SSC11347,28,46,0,0,3,17,4,16,9,30,12,63,3,17,0,3,9,24,15,46,29,108,0,0,0,4,0,3,0,3,6,8,0,0,0,3,0,3,3,8,10,16,0,0,62,173
SSC11348,334,658,6,42,31,141,8,33,213,834,260,1054,17,67,28,93,66,202,104,360,363,1413,3,7,10,25,3,18,63,144,76,194,6,26,29,65,69,152,107,239,181,433,11,24,888,2531
SSC11349,439,876,0,15,37,166,7,40,245,938,288,1158,18,77,22,82,65,190,108,346,401,1509,5,12,13,55,5,22,70,184,96,270,9,18,15,36,94,194,114,251,213,523,10,20,1065,2933
SSC11350,27,55,0,0,0,10,0,10,18,78,25,95,0,0,0,14,8,28,12,38,37,133,4,5,5,9,0,0,6,16,6,32,0,3,0,0,3,12,6,12,12,50,0,0,80,240
SSC11351,247,497,3,30,48,217,15,62,182,713,246,1025,27,118,52,187,115,372,196,676,434,1703,3,13,5,32,3,11,39,106,52,170,12,39,12,22,55,122,73,182,129,351,17,39,831,2588
SSC11352,73,136,0,0,9,40,4,15,54,214,68,265,0,7,7,24,7,25,19,54,90,323,0,5,0,5,0,3,10,31,13,38,0,0,3,12,6,16,9,24,29,62,0,0,188,523
SSC11353,13,25,0,4,0,0,0,0,0,5,3,15,3,9,0,0,4,10,3,22,5,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,4,0,0,20,58
SSC11354,126,255,3,11,11,45,6,29,69,285,91,374,3,16,8,28,13,45,24,85,119,459,4,33,6,22,10,28,32,85,53,165,3,11,6,14,30,66,42,93,97,258,0,0,335,970
SSC11355,223,453,12,52,62,279,11,32,186,749,261,1106,54,217,96,349,93,290,247,861,512,1971,0,0,9,36,0,5,23,60,32,104,6,26,15,31,35,66,51,128,88,229,15,33,843,2679
SSC11356,185,372,12,49,37,195,13,66,156,630,214,945,17,90,24,73,81,280,124,444,339,1386,0,0,3,6,0,3,23,46,22,58,3,3,5,11,25,59,32,75,57,133,0,0,582,1895
SSC11357,273,542,12,55,79,372,7,20,299,1204,394,1651,45,209,91,321,84,267,222,792,619,2447,0,4,10,32,0,7,19,67,30,106,3,8,15,42,33,72,52,121,87,230,8,16,981,3237
SSC11358,383,764,7,35,38,187,12,38,215,888,271,1144,21,84,41,129,86,264,147,473,412,1619,6,18,15,56,11,26,145,374,176,477,8,32,33,64,106,220,149,321,323,798,15,37,1143,3215
SSC11359,14,26,0,0,0,9,0,0,3,13,4,26,0,3,0,5,0,0,0,10,9,33,0,0,0,0,0,0,3,12,3,12,0,0,0,3,0,0,0,3,3,12,0,4,29,78
SSC11360,1251,2482,19,114,134,618,43,186,632,2462,833,3387,56,228,92,314,233,714,382,1257,1212,4645,4,26,35,122,14,53,235,678,298,877,27,78,63,139,210,444,300,668,592,1541,76,162,3135,8827
SSC11361,189,374,4,17,45,183,8,38,216,850,266,1085,30,129,44,154,78,250,149,531,418,1615,0,3,3,23,0,4,24,52,27,81,3,7,3,13,47,101,52,125,82,204,6,10,696,2202
SSC11362,37,72,0,5,0,8,3,15,14,64,19,91,3,12,0,3,21,56,19,70,41,163,0,0,3,3,0,0,4,10,6,16,0,3,4,7,7,5,10,17,11,33,0,0,96,260
SSC11363,638,1262,5,36,48,218,6,40,285,1094,351,1392,16,58,33,103,86,250,138,416,488,1811,0,0,14,52,4,11,107,286,125,353,11,41,31,59,82,169,119,264,247,620,12,24,1389,3718
SSC11364,25,54,0,0,0,5,0,3,10,43,12,51,0,0,0,0,9,25,9,25,18,75,0,0,0,0,3,13,10,20,10,30,0,0,0,3,3,10,4,12,17,43,0,0,64,173
SSC11365,36,80,0,3,4,22,3,7,10,55,20,92,0,0,4,13,6,10,11,22,31,116,0,0,0,3,0,4,3,15,6,19,0,3,0,3,9,22,11,23,20,47,0,0,86,247
SSC11366,58,115,3,9,17,86,6,19,56,249,83,366,3,9,8,20,19,70,30,97,111,460,3,11,0,3,4,22,17,42,25,81,0,5,3,3,12,21,15,34,40,116,3,9,203,696
SSC11367,57,115,0,5,8,52,3,7,56,216,69,279,8,49,11,49,35,137,63,230,133,515,0,0,0,0,0,0,8,18,8,18,0,0,0,0,20,43,20,43,23,61,3,10,219,700
SSC11368,484,970,11,80,63,305,11,58,509,1940,601,2383,49,208,65,232,156,515,278,951,874,3333,0,12,19,56,11,45,81,207,114,324,11,43,37,84,149,315,199,442,314,767,56,117,1733,5191
SSC11369,1532,3090,17,96,215,957,30,125,1215,4545,1476,5726,160,667,354,1232,458,1501,972,3406,2455,9132,6,23,29,95,8,27,184,471,225,616,28,98,86,212,272,584,388,896,615,1510,98,222,4700,13956
SSC11370,26,58,0,11,3,16,0,4,7,36,14,70,0,4,3,13,0,10,6,29,24,99,0,0,3,5,0,7,4,8,4,23,0,5,0,3,3,3,6,7,7,27,0,0,63,187
SSC11371,90,185,6,39,25,102,6,34,54,229,93,414,9,46,7,33,31,111,52,190,147,597,0,0,3,7,3,8,4,15,13,30,0,0,3,7,6,18,8,18,19,48,0,0,259,837
SSC11372,23,38,0,0,0,5,0,0,8,28,5,38,0,0,4,12,3,16,8,29,20,64,0,0,0,0,0,0,3,7,3,7,0,0,0,0,3,11,3,11,5,15,0,3,45,111
SSC11373,4,9,0,0,0,0,0,0,0,7,0,7,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,6,0,6,4,3,0,0,11,26
SSC11374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC11375,385,762,4,14,20,105,11,31,133,512,167,662,8,40,10,35,47,142,71,219,242,877,4,19,14,42,11,36,64,195,89,287,5,15,12,27,48,92,66,138,155,427,10,25,789,2084
SSC11376,24,52,0,0,0,0,0,3,0,5,4,13,0,0,5,15,3,10,6,23,9,37,0,0,0,0,0,3,3,3,3,6,0,0,0,0,0,3,3,6,5,15,0,5,47,103
SSC11377,610,1246,43,237,154,753,51,263,506,2076,758,3320,147,674,130,495,483,1673,760,2842,1520,6166,8,40,34,144,17,51,144,421,202,658,37,133,40,95,218,537,295,764,494,1423,44,109,2676,8949
SSC11378,13,27,0,0,0,0,0,0,3,7,3,7,0,0,0,6,0,5,3,11,8,19,0,0,0,0,0,0,3,7,4,11,0,0,0,0,0,0,0,0,4,11,0,0,20,54
SSC11379,323,635,0,6,9,39,0,0,124,405,128,449,3,15,15,45,18,58,37,117,168,562,0,0,0,3,0,0,22,54,24,60,3,19,6,21,18,42,34,77,54,136,10,20,557,1355
SSC11380,19,29,0,0,0,4,3,7,6,24,8,33,0,3,0,0,3,6,4,12,11,48,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,3,6,3,9,0,0,34,86
SSC11381,649,1285,12,67,50,241,32,146,363,1416,463,1877,37,147,33,127,155,511,232,789,689,2660,0,5,12,47,9,30,153,440,182,519,7,20,25,56,135,279,166,359,350,880,32,70,1723,4899
SSC11382,15,34,0,0,0,0,0,0,4,15,4,15,0,0,0,0,3,18,4,23,12,37,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,3,4,3,0,0,30,72
SSC11383,137,278,3,26,51,252,10,64,233,914,301,1246,19,82,31,117,46,146,95,342,398,1593,3,6,5,18,4,8,13,48,22,84,5,11,0,0,21,59,30,73,50,155,7,12,589,2037
SSC11384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC11385,0,0,0,0,0,0,0,0,3,9,3,9,0,0,0,0,0,0,0,0,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9
SSC11386,220,430,4,34,35,171,7,49,177,684,233,941,8,34,33,97,52,161,89,300,317,1241,0,0,11,33,3,4,47,128,61,168,0,9,7,25,29,62,40,91,94,251,9,14,642,1936
SSC11387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC11388,10,26,0,0,0,4,0,0,9,28,11,28,0,4,0,0,3,14,6,19,17,45,0,0,0,0,0,0,8,22,8,22,0,0,3,7,3,3,3,8,10,31,0,0,43,106
SSC11389,368,727,7,18,73,322,13,62,412,1640,499,2037,45,189,45,147,130,404,218,740,716,2775,0,0,9,36,3,7,36,96,49,139,15,48,17,35,49,112,82,193,125,339,7,6,1213,3846
SSC11390,3,6,0,0,0,15,0,0,0,0,0,15,0,0,0,0,0,8,0,8,7,22,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,0,7,30
SSC11391,496,998,17,105,81,375,33,148,510,1993,642,2625,46,203,43,158,157,507,249,863,890,3484,4,19,22,81,21,74,88,233,131,404,14,46,22,45,95,199,125,289,258,690,21,43,1658,5217
SSC11392,11,28,0,0,0,3,0,3,9,30,12,38,0,10,0,0,11,25,12,33,19,71,0,0,0,3,0,0,4,6,3,11,0,0,0,0,0,0,0,0,3,11,0,3,42,109
SSC11393,672,1318,9,40,91,436,17,62,392,1565,507,2102,57,237,108,364,161,477,321,1077,832,3182,6,9,15,38,0,0,50,148,70,202,8,17,22,46,59,119,81,187,150,386,14,21,1668,4907
SSC11394,584,1168,8,33,69,332,7,42,342,1330,431,1733,37,157,38,138,147,438,226,739,656,2472,3,10,12,57,11,42,122,313,148,421,7,28,23,43,88,190,119,267,267,682,29,55,1539,4383
SSC11395,822,1578,0,0,3,21,0,0,124,402,133,427,0,10,7,20,14,34,24,65,153,492,0,0,0,3,0,0,28,61,29,57,3,10,4,10,20,44,32,65,62,123,9,21,1044,2214
SSC11396,37,77,0,0,3,7,0,0,11,43,13,54,0,0,0,4,4,8,3,10,15,67,0,0,0,3,0,0,4,11,7,10,0,0,0,3,0,0,3,4,4,11,0,3,61,160
SSC11397,138,271,9,41,39,201,8,49,279,1134,337,1415,25,113,21,89,54,204,110,397,448,1813,0,4,8,21,4,14,38,110,51,158,5,17,3,10,22,53,31,85,86,235,0,6,666,2328
SSC11398,106,219,3,32,13,61,6,30,52,218,80,347,5,23,8,20,33,94,44,142,123,491,0,5,4,18,0,0,28,88,36,109,3,11,0,5,26,54,30,63,70,168,4,6,302,886
SSC11399,45,95,3,10,3,10,3,7,18,61,18,86,0,9,6,15,8,32,16,50,36,139,0,3,0,0,0,0,0,0,0,3,0,3,0,0,3,7,3,10,7,12,0,3,88,252
SSC11400,38,87,0,0,3,7,0,0,16,54,17,65,0,3,3,9,6,12,9,31,24,97,0,3,0,3,0,0,7,20,8,28,0,3,0,0,13,24,10,30,24,56,0,4,84,238
SSC11401,16,38,0,0,0,13,0,0,13,45,13,53,0,0,0,0,8,19,8,19,18,73,0,0,0,0,0,0,3,4,3,4,0,0,0,0,3,7,3,7,6,17,0,3,45,129
SSC11402,8,10,0,0,0,6,0,0,5,21,6,29,0,0,0,0,0,0,0,0,6,29,0,0,0,7,0,0,0,0,0,7,0,0,0,0,0,3,0,3,3,11,0,0,10,41
SSC11403,10,20,0,0,0,0,0,0,7,30,7,30,0,0,3,7,0,3,3,12,10,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,69
SSC11404,10,26,0,0,0,0,0,0,7,30,7,30,0,4,0,0,0,3,0,5,7,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,0,23,66
SSC11405,94,205,0,7,15,90,3,15,53,217,71,330,3,10,20,59,29,95,50,170,130,499,0,0,0,3,0,3,9,31,17,38,0,0,0,4,14,25,10,29,28,65,0,6,253,772
SSC11406,17,34,0,0,0,3,0,0,7,26,7,30,0,4,3,8,0,11,8,21,12,45,0,0,0,0,0,0,0,3,0,3,0,0,0,0,5,7,5,7,3,11,0,0,35,90
SSC11407,16,23,0,0,0,4,0,0,8,26,7,29,0,0,0,0,9,31,9,31,17,63,0,0,0,0,0,0,0,4,0,4,0,0,0,0,3,0,3,0,0,10,0,0,37,98
SSC11408,27,52,0,14,7,36,4,11,15,59,28,124,0,0,6,12,5,17,7,25,35,151,0,0,0,4,0,0,7,16,6,19,0,0,3,3,0,6,7,5,13,28,0,3,73,226
SSC11409,44,85,0,0,9,41,3,8,22,74,27,124,0,0,3,11,15,48,21,59,51,181,0,6,0,0,0,0,0,0,5,7,0,0,0,0,3,4,3,4,8,16,0,0,99,286
SSC11410,14,24,0,0,0,0,0,0,0,3,0,3,0,10,0,4,0,3,5,13,4,19,0,0,0,0,0,0,0,4,0,4,0,0,0,0,4,3,4,3,4,10,0,0,23,50
SSC11411,268,522,7,30,28,141,10,32,154,603,192,806,14,42,17,61,52,160,84,268,282,1072,0,0,5,20,4,5,41,110,49,143,6,18,4,17,26,61,40,95,88,232,4,10,640,1833
SSC11412,17,36,0,0,0,0,0,0,7,45,7,45,0,0,0,0,4,13,9,15,18,62,0,0,0,0,0,0,0,8,0,8,0,0,0,0,0,0,0,0,0,8,0,0,36,103
SSC11413,130,263,11,80,17,96,20,124,94,401,147,704,10,29,16,42,52,170,68,247,223,948,5,37,11,55,13,45,75,228,107,360,4,20,9,16,52,135,66,175,172,536,17,30,534,1776
SSC11414,97,186,0,0,0,0,0,8,19,93,19,96,0,3,4,19,8,21,16,41,37,142,0,0,0,6,0,0,9,21,8,23,0,0,3,7,9,13,8,23,19,47,0,3,149,382
SSC11415,242,483,4,22,36,175,16,69,161,596,220,864,20,92,25,80,54,184,101,361,317,1228,0,0,15,57,3,19,38,107,59,180,3,9,10,24,41,88,52,121,115,307,4,12,681,2023
SSC11416,21,42,0,0,9,30,0,4,6,30,16,67,0,0,0,11,6,21,12,27,25,94,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,3,0,3,4,11,0,0,52,141
SSC11417,282,560,14,103,48,228,11,51,230,893,307,1272,39,185,39,140,106,357,187,686,496,1961,3,12,18,60,9,22,52,142,72,228,9,21,5,19,46,104,55,146,129,375,9,17,919,2915
SSC11418,814,1644,8,58,91,438,34,176,557,2217,692,2890,70,294,73,262,232,762,375,1321,1072,4208,3,14,21,73,17,42,119,315,155,445,17,65,36,87,152,330,209,479,365,926,18,37,2269,6814
SSC11419,13,26,0,3,0,13,0,3,6,36,11,54,0,5,0,6,4,24,12,37,24,92,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,5,0,0,40,121
SSC11420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC11421,225,462,3,19,39,191,9,21,154,593,209,824,21,105,46,167,93,313,161,584,373,1410,0,3,6,19,3,8,41,113,51,141,3,13,19,39,73,170,91,218,146,365,25,51,761,2279
SSC11422,1557,3100,34,206,259,1147,58,253,1508,6035,1858,7642,147,629,159,561,507,1641,812,2825,2671,10465,5,35,46,165,9,25,243,633,307,854,36,112,68,164,232,522,334,788,640,1644,46,102,4912,15317
SSC11423,29,54,0,3,4,19,0,3,35,144,45,171,0,0,0,3,11,24,9,28,55,199,0,3,0,9,0,3,9,25,15,43,0,0,3,3,8,26,11,31,29,72,6,14,112,339
SSC11424,11,24,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,6,3,5,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,35
SSC11425,400,791,0,6,23,107,3,14,195,716,227,838,7,43,18,65,43,141,75,241,303,1080,0,0,4,5,3,18,31,78,38,99,4,7,17,26,41,92,62,124,100,227,23,47,829,2143
SSC11426,6,13,0,0,0,5,0,3,13,46,15,56,0,4,0,0,0,4,3,6,16,60,0,0,0,0,0,3,3,10,3,12,0,0,0,0,0,4,0,4,3,22,0,3,30,98
SSC11427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC11428,1996,3988,20,94,310,1374,42,170,1806,6783,2177,8425,249,1059,514,1803,623,1976,1386,4835,3562,13256,3,18,54,165,18,60,227,570,299,812,44,135,151,362,275,593,469,1088,767,1900,113,231,6436,19384
SSC11429,36,74,0,0,8,22,0,0,12,37,13,60,0,0,4,6,4,13,3,18,24,84,0,0,0,5,0,0,3,3,4,9,0,0,0,0,0,7,0,7,4,15,0,0,64,172
SSC11430,3,5,0,0,0,0,0,0,3,12,3,12,0,0,0,0,0,3,0,3,4,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,15
SSC11431,4,10,0,0,0,4,0,0,8,28,10,28,0,0,0,0,0,0,0,0,10,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,4,0,0,14,42
SSC11432,9,13,0,0,3,13,0,0,3,19,4,28,0,0,0,0,0,3,0,3,9,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,47
SSC11433,579,1148,6,54,36,156,15,56,199,762,254,1036,31,113,37,122,81,263,147,507,401,1534,0,8,14,50,8,16,48,130,73,204,3,18,13,36,66,146,90,192,162,395,13,27,1158,3104
SSC11434,31,70,0,0,3,19,3,20,31,134,36,167,6,30,7,23,12,36,23,88,63,256,0,0,3,8,0,0,4,5,4,18,3,9,0,0,4,17,7,21,14,34,0,0,107,360
SSC11435,800,1579,26,125,128,600,38,168,855,3284,1042,4175,93,387,119,406,316,1078,522,1871,1572,6055,4,23,27,104,14,53,140,373,185,547,19,52,59,136,207,451,283,639,465,1185,35,72,2871,8890
SSC11436,99,203,0,7,3,29,3,12,25,104,36,154,4,14,5,12,10,29,14,54,50,202,0,0,0,3,0,0,10,39,14,36,0,3,0,0,10,20,11,25,23,63,3,6,183,478
SSC11437,6,9,0,0,0,0,0,3,5,15,6,17,0,0,0,3,0,4,3,8,6,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,37
