SSC_CODE_2016,P_EducTrain_GD_GC,P_EducTrain_BD,P_EducTrain_AdD_D,P_EducTrain_Cert,P_EducTrain_ID_NS,P_EducTrain_ToT,P_HealthCareSocA_PD,P_HealthCareSocA_GD_GC,P_HealthCareSocA_BD,P_HealthCareSocA_AdD_D,P_HealthCareSocA_Cert,P_HealthCareSocA_ID_NS,P_HealthCareSocA_ToT,P_ArtRecServ_PD,P_ArtRecServ_GD_GC,P_ArtRecServ_BD,P_ArtRecServ_AdD_D,P_ArtRecServ_Cert,P_ArtRecServ_ID_NS,P_ArtRecServ_ToT,P_OthServ_PD,P_OthServ_GD_GC,P_OthServ_BD,P_OthServ_AdD_D,P_OthServ_Cert,P_OthServ_ID_NS,P_OthServ_ToT,P_ID_NS_PD,P_ID_NS_GD_GC,P_ID_NS_BD,P_ID_NS_AdD_D,P_ID_NS_Cert,P_ID_NS_ID_NS,P_ID_NS_ToT,P_ToT_PD,P_ToT_GD_GC,P_ToT_BD,P_ToT_AdD_D,P_ToT_Cert,P_ToT_ID_NS,P_ToT_ToT
SSC10021,0,6,5,3,0,23,3,0,12,4,9,0,29,0,0,5,0,3,3,15,0,0,0,0,15,0,12,0,0,0,0,6,0,6,13,3,44,38,150,9,270
SSC10022,0,0,8,8,0,19,3,0,7,13,33,0,54,0,0,0,0,0,0,6,0,0,0,0,7,0,11,0,0,0,3,16,6,22,5,0,24,37,131,20,213
SSC10023,0,0,0,0,0,4,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,9,0,18
SSC10024,0,0,0,0,0,3,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,16,3,25
SSC10025,45,189,59,85,3,418,27,21,147,168,321,28,714,5,0,4,12,23,3,38,7,0,15,28,185,0,239,3,0,10,22,69,28,130,136,97,635,716,2359,149,4086
SSC10026,15,44,27,60,5,154,6,4,67,88,167,17,359,0,0,4,5,5,0,15,0,0,5,6,83,8,106,0,0,6,7,44,16,73,33,25,216,277,1144,111,1806
SSC10027,36,106,36,19,3,255,46,33,174,67,49,5,371,0,0,9,3,4,0,14,0,3,10,9,39,3,63,5,0,10,3,10,3,36,182,106,608,274,477,51,1693
SSC10028,0,15,8,4,0,31,0,0,14,8,19,0,42,0,0,0,0,0,0,0,0,0,0,0,8,0,12,0,0,0,0,4,3,6,0,0,33,18,122,6,191
SSC10029,0,0,3,0,0,7,0,0,4,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,11,13,16,4,52
SSC10030,35,186,21,23,8,436,113,29,203,42,25,11,427,23,6,52,20,8,3,117,10,3,47,18,41,3,135,20,4,87,25,23,22,182,879,226,2215,613,626,98,4646
SSC10031,16,69,28,16,4,173,21,9,54,18,26,0,132,0,0,7,0,8,0,11,0,0,3,11,36,7,65,5,0,15,10,17,13,48,106,42,376,228,406,62,1221
SSC10032,0,0,0,0,0,4,0,0,5,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,14,5,27,0,44
SSC10033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC10034,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,13,4,20
SSC10035,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,11,0,20
SSC10036,21,121,22,17,4,238,26,22,149,52,61,9,324,8,0,11,5,14,0,40,8,0,19,17,46,6,98,8,4,31,8,43,13,109,277,111,902,442,667,95,2487
SSC10037,0,3,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,7,10,10,25
SSC10038,16,51,13,12,3,140,54,6,154,60,41,17,327,3,0,14,7,9,0,31,8,3,13,21,30,3,74,17,0,43,8,20,13,107,379,51,808,379,388,84,2094
SSC10039,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8,0,13
SSC10040,0,3,0,0,0,5,0,0,3,4,4,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,21,0,33
SSC10041,0,0,0,0,0,4,0,0,0,0,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,6,33,7,50
SSC10042,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,6,0,12,0,20
SSC10043,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,16
SSC10044,0,0,0,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,15,12,16,0,50
SSC10045,4,6,11,3,0,26,3,3,10,5,4,3,39,0,0,0,0,0,0,0,0,0,3,0,0,0,6,0,0,3,3,6,0,9,10,6,53,33,60,10,170
SSC10046,24,109,33,24,3,236,24,28,118,71,116,10,368,0,0,6,0,3,0,18,0,0,9,13,54,0,77,0,0,0,9,14,5,37,86,68,429,283,616,49,1543
SSC10047,0,3,0,0,0,3,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,18,0,26
SSC10048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,4,0,16
SSC10049,6,48,20,30,0,135,11,14,61,60,112,12,262,0,0,4,0,4,0,10,0,0,7,7,57,5,77,3,0,3,7,50,20,88,67,28,269,291,867,118,1639
SSC10050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,6
SSC10051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC10052,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,3,12
SSC10053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4
SSC10054,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,12,0,20
SSC10055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,0,4,7,7,0,22
SSC10056,0,0,0,0,0,0,0,0,0,3,3,0,8,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,7,36,3,56
SSC10057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,11
SSC10058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,4,0,14
SSC10059,3,5,3,3,0,17,6,0,6,0,3,0,20,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,9,3,32,13,16,3,73
SSC10060,7,39,20,16,0,87,7,3,37,34,62,8,153,0,0,0,0,8,0,5,0,0,11,18,25,3,54,0,0,3,5,28,0,35,26,20,165,172,565,47,1004
SSC10061,59,201,34,28,14,571,152,35,287,38,43,17,576,30,3,80,20,13,3,154,15,8,32,13,36,0,100,25,6,76,21,17,21,154,972,235,2059,494,543,104,4410
SSC10062,3,33,0,8,0,59,0,5,19,11,8,3,42,0,0,0,3,4,0,4,3,0,0,3,31,0,37,0,0,4,4,9,3,21,35,14,134,93,224,19,520
SSC10063,11,53,13,23,0,127,7,3,21,30,30,3,93,0,0,0,0,4,0,4,0,0,7,0,35,0,52,0,0,4,4,18,3,30,28,22,157,150,520,31,916
SSC10064,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,7
SSC10065,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,9
SSC10066,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SSC10067,0,0,0,0,0,5,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,3,0,0,3,10,15,3,37
SSC10068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
SSC10069,0,5,6,0,0,10,3,0,8,6,6,0,27,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,3,5,7,32,25,61,4,137
SSC10070,3,0,0,0,0,4,0,0,3,0,0,0,6,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,3,4,6,9,3,19,5,37
SSC10071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SSC10072,7,16,6,11,5,56,7,3,21,3,12,0,44,0,0,0,3,0,0,7,0,0,3,10,21,3,38,0,0,3,3,11,0,21,40,21,139,95,188,16,501
SSC10073,0,13,8,16,0,52,3,0,23,12,22,3,64,0,0,0,0,3,0,3,0,0,0,3,21,0,21,0,0,3,3,5,0,8,18,6,74,69,227,22,413
SSC10074,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,9
SSC10075,3,3,0,3,0,11,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,8,3,14,14,24,0,67
SSC10076,0,5,4,4,0,21,0,0,4,0,4,0,7,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,15,13,52,3,89
SSC10077,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,7
SSC10078,0,7,4,3,0,18,0,0,17,8,23,0,47,0,0,0,0,0,0,0,0,0,0,0,15,3,16,0,0,0,3,4,0,5,4,3,42,46,166,12,271
SSC10079,0,0,0,3,0,5,0,0,0,0,5,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,7,30,4,55
SSC10080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,0,10
SSC10081,3,17,0,4,4,27,0,0,3,3,3,0,9,0,0,0,0,0,0,3,0,0,0,0,8,0,9,0,0,0,0,3,0,3,0,4,24,19,64,3,113
SSC10082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,9,0,19
SSC10083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
SSC10084,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,14,10,15,3,34
SSC10085,162,667,177,207,27,1889,133,78,404,225,298,45,1178,6,3,15,8,26,3,57,14,6,36,20,159,5,240,12,3,32,14,62,25,144,1092,360,1905,889,2204,248,6694
SSC10086,23,122,34,23,7,284,54,21,150,53,66,19,359,0,3,29,17,17,3,71,8,0,17,30,62,4,126,18,5,47,16,47,24,155,540,111,1308,580,728,150,3405
SSC10087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,4,0,4,0,0,0,0,7,0,7
SSC10088,4,3,0,0,0,5,0,0,7,5,8,0,16,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,10,10,29,3,61
SSC10089,6,13,0,3,0,28,0,0,22,4,6,0,35,0,0,0,0,0,0,4,0,0,0,0,4,0,10,0,0,0,0,0,0,0,10,14,57,22,52,10,158
SSC10090,27,177,28,13,7,376,128,22,230,56,44,17,498,14,5,21,7,12,3,56,17,3,38,12,24,4,100,33,6,41,14,10,22,134,1007,213,1997,478,357,121,4164
SSC10091,0,3,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,6,0,21
SSC10092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,13,0,14
SSC10093,27,73,10,11,8,180,38,10,58,29,28,3,166,5,0,6,6,3,4,22,6,0,15,7,23,3,52,5,0,9,3,13,4,37,182,69,432,192,298,35,1215
SSC10094,0,4,0,0,0,14,0,0,0,6,11,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,6,8,8,13,17,46,6,88
SSC10095,0,3,0,0,0,6,0,0,0,3,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,3,9,35,4,46
SSC10096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5
SSC10097,0,14,3,7,4,27,0,0,22,21,20,10,68,0,0,0,0,7,0,8,0,0,0,5,17,0,22,0,0,0,3,21,12,39,9,3,80,74,201,49,421
SSC10098,94,408,71,42,14,969,255,45,632,219,156,49,1362,30,5,89,28,28,6,184,46,12,85,30,91,8,266,53,9,143,58,66,47,373,1894,389,4080,1336,1273,349,9323
SSC10099,0,4,3,4,4,16,0,0,3,9,16,0,34,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,3,3,9,20,69,13,113
SSC10100,0,5,0,0,0,9,0,0,0,0,9,3,10,0,0,0,0,0,0,0,0,0,0,0,5,0,9,0,0,0,0,0,0,3,7,0,10,10,59,11,98
SSC10101,0,15,10,23,0,57,0,4,28,27,66,11,145,0,0,0,0,6,0,8,0,0,0,3,31,3,40,0,0,3,5,16,5,30,14,14,86,74,466,38,690
SSC10102,21,71,18,33,3,172,31,18,82,55,85,15,290,0,4,4,0,5,0,17,0,0,4,19,49,0,76,6,0,5,8,17,4,33,103,64,351,308,662,58,1544
SSC10103,15,61,23,16,0,146,28,8,92,50,38,10,230,3,0,9,0,4,0,18,8,0,11,8,23,0,46,7,0,8,10,10,4,40,201,56,460,234,292,36,1279
SSC10104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,3,22
SSC10105,0,8,3,5,0,13,3,3,8,8,11,0,33,0,0,0,0,0,0,0,0,0,0,0,7,0,9,0,0,0,3,6,0,10,4,4,29,24,96,9,166
SSC10106,25,179,47,37,5,430,151,42,499,241,211,51,1189,6,0,23,9,10,3,56,23,3,60,63,97,10,256,71,5,193,89,109,117,587,1291,160,2966,1454,1532,525,7923
SSC10107,0,0,0,0,0,4,0,0,5,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,3,11,9,15,3,43
SSC10108,35,100,22,16,6,235,40,12,97,19,22,7,193,3,0,7,10,3,0,25,0,0,9,3,10,0,29,0,0,9,5,7,0,27,175,69,409,160,194,19,1025
SSC10109,0,26,8,10,0,56,0,3,25,15,17,7,62,0,0,0,0,0,0,0,0,0,0,3,41,6,52,3,0,3,3,33,5,49,27,5,129,99,351,46,655
SSC10110,0,0,0,0,0,3,0,0,7,0,4,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,23,4,36
SSC10111,47,167,72,45,4,413,52,30,176,102,67,14,430,12,0,26,20,14,0,71,9,0,15,17,71,3,118,27,8,64,44,44,18,199,370,147,1269,668,1016,147,3621
SSC10112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,9
SSC10113,0,3,3,3,0,10,0,0,3,0,4,0,12,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,5,6,4,12,18,35,3,68
SSC10114,26,114,22,25,10,231,36,15,161,63,50,4,333,0,3,7,8,7,0,30,3,0,3,4,28,0,45,10,0,18,13,19,6,58,137,72,518,311,544,52,1632
SSC10115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC10116,8,11,4,11,8,41,4,6,21,25,40,3,104,0,0,0,0,3,0,8,0,0,0,4,24,0,24,0,0,0,3,10,0,14,18,14,64,78,285,18,477
SSC10117,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,14,16,24,0,47
SSC10118,0,10,0,0,0,10,3,0,7,11,9,0,22,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,4,0,17,21,58,6,104
SSC10119,0,4,3,0,0,10,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,5,0,4,3,3,12,14,33,3,58
SSC10120,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,8,22,7,41
SSC10121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC10122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC10123,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7
SSC10124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3
SSC10125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7
SSC10126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3
SSC10127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
SSC10128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,7
SSC10129,0,3,0,0,0,4,0,0,6,3,3,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,16,3,12,3,31
SSC10130,0,0,0,0,0,3,0,0,6,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,10,8,19,0,41
SSC10131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,4,0,3,3,5
SSC10132,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,4,3,17,0,28
SSC10133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC10134,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,9,0,17
SSC10135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,6
SSC10136,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,13
SSC10137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,3,9,0,9
SSC10138,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,7,0,17
SSC10139,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,3,0,0,11
SSC10140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC10141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,3,13
SSC10142,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,8,0,16
SSC10143,0,0,4,3,0,13,0,0,11,0,8,3,19,0,0,0,0,3,0,3,0,0,0,3,3,0,7,0,0,3,5,5,0,9,14,3,18,29,90,4,156
SSC10144,0,3,0,3,0,7,0,0,0,0,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,12,3,14,0,33
SSC10145,0,16,3,6,0,29,3,0,15,11,16,0,54,0,0,0,0,0,0,0,0,0,0,0,9,0,12,0,0,3,0,3,0,3,12,3,60,48,120,7,255
SSC10146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,11,3,17
