SSC_CODE_2016,Num_Psns_UR_1_FamHhold,Num_Psns_UR_1_NonFamHhold,Num_Psns_UR_1_Total,Num_Psns_UR_2_FamHhold,Num_Psns_UR_2_NonFamHhold,Num_Psns_UR_2_Total,Num_Psns_UR_3_FamHhold,Num_Psns_UR_3_NonFamHhold,Num_Psns_UR_3_Total,Num_Psns_UR_4_FamHhold,Num_Psns_UR_4_NonFamHhold,Num_Psns_UR_4_Total,Num_Psns_UR_5_FamHhold,Num_Psns_UR_5_NonFamHhold,Num_Psns_UR_5_Total,Num_Psns_UR_6mo_FamHhold,Num_Psns_UR_6mo_NonFamHhold,Num_Psns_UR_6mo_Total,Total_FamHhold,Total_NonFamHhold,Total_Total
SSC10021,..,37,37,64,9,68,44,0,43,45,0,45,34,0,34,21,0,21,215,43,251
SSC10022,..,227,227,228,17,240,189,5,191,134,0,134,73,0,73,66,0,66,692,244,939
SSC10023,..,13,13,10,0,16,9,0,9,3,0,3,5,0,5,4,0,4,30,17,43
SSC10024,..,3,3,7,0,7,3,0,3,0,0,0,4,0,4,0,0,0,20,3,25
SSC10025,..,621,621,1228,53,1280,773,3,777,973,0,974,405,0,407,179,0,179,3561,676,4237
SSC10026,..,541,541,795,43,833,421,6,430,367,3,373,160,0,161,92,0,92,1836,588,2424
SSC10027,..,763,763,611,66,674,209,17,220,200,3,204,84,4,84,19,0,19,1115,846,1961
SSC10028,..,49,49,96,7,106,41,0,44,34,0,34,10,0,10,13,0,13,193,58,248
SSC10029,..,22,22,28,3,29,12,0,12,11,0,11,3,0,3,3,0,3,49,23,67
SSC10030,..,1047,1047,1274,342,1620,407,120,522,270,42,316,56,8,65,23,3,28,2033,1557,3592
SSC10031,..,53,53,225,3,224,183,0,179,276,0,277,114,0,114,52,0,52,854,57,908
SSC10032,..,7,7,10,0,10,5,0,5,6,0,6,0,0,0,3,0,3,21,11,35
SSC10033,..,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3
SSC10034,..,7,7,9,0,9,3,0,3,3,0,3,3,0,3,3,0,3,22,5,29
SSC10035,..,14,14,8,0,8,5,0,5,5,0,5,0,0,0,0,0,0,23,14,30
SSC10036,..,426,426,510,24,534,349,7,360,562,0,563,244,0,244,90,0,91,1761,466,2228
SSC10037,..,8,8,9,0,11,6,0,6,0,0,0,0,0,0,0,0,0,21,7,31
SSC10038,..,428,428,504,80,582,421,29,450,339,16,359,135,6,137,69,0,69,1469,561,2031
SSC10039,..,3,3,6,0,6,0,0,0,0,0,0,0,0,0,3,0,3,11,3,14
SSC10040,..,19,19,10,3,12,4,0,4,10,0,10,4,0,4,0,0,0,28,19,49
SSC10041,..,35,35,16,3,24,3,0,3,6,0,6,0,0,0,3,0,3,34,34,70
SSC10042,..,6,6,12,0,15,3,0,3,0,0,0,6,0,6,0,0,0,22,6,25
SSC10043,..,0,0,4,0,4,4,0,4,0,0,0,3,0,3,0,0,0,13,0,14
SSC10044,..,3,3,18,0,18,7,0,7,12,0,12,7,0,7,0,0,0,35,0,38
SSC10045,..,18,18,62,3,60,21,0,21,28,0,28,4,0,4,3,0,3,130,25,150
SSC10046,..,715,715,826,50,878,286,5,290,245,0,248,130,0,130,43,0,43,1540,766,2301
SSC10047,..,3,3,14,0,17,8,0,8,6,0,6,0,0,0,0,0,0,26,7,33
SSC10048,..,0,0,8,0,8,0,0,0,3,0,3,0,0,0,0,0,0,10,0,11
SSC10049,..,356,356,676,40,714,428,7,440,401,0,402,218,3,221,162,0,162,1895,404,2302
SSC10050,..,6,6,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,9,6,10
SSC10051,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
SSC10052,..,7,7,4,0,4,0,0,0,3,0,3,3,0,3,0,0,0,7,7,19
SSC10053,..,4,4,6,0,6,0,0,0,3,0,3,0,0,0,0,0,0,5,4,6
SSC10054,..,12,12,11,0,11,3,0,3,5,0,5,0,0,0,0,0,0,22,12,29
SSC10055,..,3,3,10,0,10,0,0,0,5,0,5,3,0,3,0,0,0,16,3,23
SSC10056,..,16,16,27,0,27,3,0,4,3,0,3,9,0,9,0,0,0,44,15,56
SSC10057,..,10,10,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,9,10,21
SSC10058,..,7,7,17,0,20,0,0,0,0,0,0,0,0,0,0,0,0,20,7,34
SSC10059,..,29,29,33,3,37,15,0,15,8,0,8,0,0,0,0,0,0,60,28,87
SSC10060,..,356,356,465,34,498,206,0,208,181,0,181,75,0,75,46,0,46,978,389,1364
SSC10061,..,1089,1089,1013,170,1181,522,96,611,521,32,555,125,5,127,39,3,38,2214,1390,3602
SSC10062,..,26,26,102,4,111,59,0,59,75,0,75,57,0,57,53,0,53,350,31,375
SSC10063,..,90,90,224,10,234,137,0,137,178,0,178,92,0,92,50,0,50,686,107,788
SSC10064,..,3,3,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,11,8,15
SSC10065,..,0,0,0,0,0,3,0,3,3,0,3,0,0,0,0,0,0,9,0,9
SSC10066,..,3,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,7,3,5
SSC10067,..,3,3,18,0,15,3,0,3,0,0,0,4,0,4,3,0,3,33,8,36
SSC10068,..,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,8
SSC10069,..,41,41,89,7,89,25,0,25,13,0,13,5,0,5,3,0,3,132,40,177
SSC10070,..,28,28,31,0,32,3,0,3,8,0,8,0,0,0,0,0,0,38,31,69
SSC10071,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC10072,..,41,41,122,10,127,72,0,72,85,0,85,50,0,50,36,0,36,365,52,416
SSC10073,..,93,93,179,4,189,96,0,95,81,0,81,37,0,37,6,0,6,404,102,507
SSC10074,..,3,3,10,0,10,3,0,3,4,0,4,0,0,0,0,0,0,20,3,24
SSC10075,..,11,11,40,0,37,16,0,16,11,0,11,4,0,4,0,0,0,69,16,78
SSC10076,..,73,73,65,8,76,33,0,33,14,0,14,10,0,10,4,0,4,121,78,208
SSC10077,..,3,3,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,7,3,13
SSC10078,..,161,161,166,22,180,92,0,92,52,0,52,22,0,22,23,0,23,348,180,530
SSC10079,..,25,25,31,8,39,12,0,12,11,0,11,3,0,3,3,0,3,58,30,88
SSC10080,..,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6
SSC10081,..,57,57,63,3,72,11,0,11,13,0,13,20,0,20,5,0,5,121,61,185
SSC10082,..,4,4,10,0,10,3,0,3,0,0,0,0,0,0,0,0,0,11,4,18
SSC10083,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3
SSC10084,..,11,11,12,0,17,3,0,3,3,0,3,5,0,5,3,0,3,33,8,43
SSC10085,..,2460,2460,2532,276,2809,1052,91,1145,946,44,993,449,18,467,215,4,217,5196,2892,8089
SSC10086,..,708,708,867,159,1026,597,71,672,461,32,499,286,11,292,248,3,246,2456,990,3440
SSC10087,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC10088,..,108,108,115,3,121,27,0,27,3,0,3,0,0,0,0,0,0,144,111,258
SSC10089,..,43,43,75,4,79,29,0,29,32,0,32,12,0,12,10,0,7,148,53,198
SSC10090,..,847,847,959,196,1156,708,49,752,577,19,592,172,7,174,64,0,67,2477,1110,3593
SSC10091,..,4,4,8,0,8,0,0,0,4,0,4,0,0,0,0,0,0,12,4,15
SSC10092,..,6,6,4,0,4,0,0,0,0,0,0,3,0,3,0,0,0,7,6,12
SSC10093,..,142,142,279,15,292,189,3,192,274,0,274,108,3,109,42,0,44,888,161,1050
SSC10094,..,34,34,69,0,69,12,0,16,8,0,8,6,0,6,0,0,0,101,39,136
SSC10095,..,22,22,32,4,35,22,0,22,6,0,6,0,0,0,3,0,3,69,24,91
SSC10096,..,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,4,0,4
SSC10097,..,253,253,181,13,202,157,4,159,178,0,176,121,0,121,110,0,110,752,270,1022
SSC10098,..,2225,2225,2215,480,2696,1521,192,1709,1127,87,1216,404,32,436,228,31,256,5492,3050,8546
SSC10099,..,83,83,93,9,103,34,0,34,23,0,21,11,0,11,8,0,8,166,91,255
SSC10100,..,28,28,44,0,44,19,0,15,22,0,22,17,0,17,3,0,3,94,33,125
SSC10101,..,431,431,435,47,488,212,10,224,155,0,155,85,0,84,41,0,41,933,488,1425
SSC10102,..,207,207,449,12,462,275,4,279,334,0,333,138,0,138,59,0,59,1263,220,1487
SSC10103,..,182,182,284,17,308,196,3,197,260,0,261,104,0,107,39,0,39,886,209,1091
SSC10104,..,9,9,12,0,12,3,0,3,3,0,3,3,0,3,3,0,3,19,6,31
SSC10105,..,37,37,86,3,95,31,0,35,25,0,25,13,0,13,5,0,5,167,43,211
SSC10106,..,1418,1418,1748,258,2012,1573,186,1756,1747,168,1917,1161,152,1309,1289,210,1503,7522,2399,9919
SSC10107,..,3,3,18,0,24,5,0,4,7,0,7,3,0,3,0,0,0,34,4,41
SSC10108,..,178,178,276,27,300,127,5,134,177,0,177,74,0,74,26,0,26,671,207,880
SSC10109,..,189,189,201,12,213,118,0,121,126,0,126,101,0,101,80,0,80,627,207,830
SSC10110,..,9,9,20,0,16,7,0,7,10,0,10,5,0,5,0,0,0,42,7,51
SSC10111,..,633,633,987,47,1038,482,9,487,688,3,691,322,0,322,129,0,129,2610,690,3298
SSC10112,..,4,4,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,7,4,11
SSC10113,..,16,16,27,3,29,13,0,13,9,0,9,6,0,6,4,0,4,60,21,77
SSC10114,..,277,277,445,21,465,252,3,260,327,3,333,138,0,138,57,0,57,1216,301,1518
SSC10115,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC10116,..,175,175,202,5,212,95,0,95,97,0,97,38,0,38,17,0,17,454,185,638
SSC10117,..,3,3,14,0,14,7,0,7,6,0,6,9,0,9,3,0,3,34,3,35
SSC10118,..,21,21,42,4,41,28,0,29,27,0,27,13,0,13,4,0,4,105,24,134
SSC10119,..,18,18,22,3,26,17,0,17,8,0,8,0,0,0,0,0,0,52,23,71
SSC10120,..,19,19,35,5,36,7,0,7,3,0,3,0,0,0,3,0,3,47,23,68
SSC10121,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC10122,..,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3
SSC10123,..,0,0,7,0,7,0,0,0,3,0,3,0,0,0,3,0,3,10,0,11
SSC10124,..,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6
SSC10125,..,3,3,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,9,3,10
SSC10126,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
SSC10127,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8
SSC10128,..,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3
SSC10129,..,3,3,12,0,12,0,0,0,7,0,7,0,0,0,3,0,3,20,3,23
SSC10130,..,3,3,19,0,19,11,0,11,6,0,6,4,0,4,3,0,3,37,3,45
SSC10131,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,6
SSC10132,..,15,15,14,3,22,6,0,6,7,0,7,6,0,6,6,0,6,44,18,65
SSC10133,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
SSC10134,..,3,3,10,3,13,3,0,3,3,0,3,0,0,0,0,0,0,17,4,17
SSC10135,..,0,0,5,0,5,3,0,3,4,0,4,0,0,0,0,0,0,14,0,15
SSC10136,..,8,8,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,9,8,16
SSC10137,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,7,3,11
SSC10138,..,0,0,8,0,14,3,0,3,0,0,0,0,0,0,0,0,0,17,5,18
SSC10139,..,0,0,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,14,0,14
SSC10140,..,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7
SSC10141,..,0,0,7,0,8,0,0,0,0,0,0,0,0,0,0,0,0,7,0,8
SSC10142,..,7,7,8,0,8,3,0,3,0,0,0,0,0,0,0,0,0,10,7,20
SSC10143,..,32,32,60,3,60,37,0,34,18,0,18,12,0,12,9,0,9,132,34,168
SSC10144,..,13,13,19,0,23,3,0,3,4,0,4,3,0,3,0,0,0,33,16,46
SSC10145,..,83,83,131,8,142,52,0,52,50,0,50,23,0,23,16,0,16,267,91,355
SSC10146,..,7,7,9,0,9,0,0,0,5,0,5,0,0,0,0,0,0,11,7,14
SSC10147,..,15,15,34,0,35,12,0,12,12,0,12,5,0,5,4,0,4,68,18,91
SSC10148,..,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4
SSC10149,..,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4
SSC10150,..,4,4,9,0,10,3,0,3,0,0,0,0,0,0,0,0,0,16,3,21
SSC10151,..,3,3,12,0,18,0,0,0,5,0,5,5,0,5,0,0,0,28,9,30
SSC10152,..,3,3,4,0,4,3,0,3,3,0,3,0,0,0,0,0,0,9,3,16
SSC10153,..,731,731,874,92,966,551,28,576,520,5,525,184,6,187,32,0,32,2151,855,3008
SSC10154,..,124,124,209,8,218,166,4,174,333,0,333,139,0,139,27,0,27,877,139,1018
SSC10155,..,459,459,651,29,680,340,5,344,335,0,335,155,0,152,54,0,54,1538,496,2036
SSC10156,..,0,0,0,0,3,0,0,0,0,0,0,4,0,4,0,0,0,3,0,6
SSC10157,..,3,3,19,0,19,9,0,9,7,0,7,0,0,0,0,0,0,32,3,39
SSC10158,..,3,3,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,4,4,12
SSC10159,..,20,20,22,4,25,7,0,7,7,0,7,3,0,3,0,0,0,37,21,59
SSC10160,..,4,4,10,0,10,3,0,3,4,0,4,0,0,0,3,0,3,27,4,24
SSC10161,..,15,15,16,0,17,18,0,18,9,0,9,3,0,3,0,0,0,46,15,59
SSC10162,..,1687,1687,1220,118,1338,368,11,382,288,11,296,98,3,106,25,0,25,2007,1827,3837
SSC10163,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC10164,..,1350,1350,1284,170,1450,574,35,609,557,15,569,169,3,166,39,3,40,2621,1571,4188
SSC10165,..,246,246,280,20,294,96,10,100,105,4,102,37,0,37,10,0,10,516,275,787
SSC10166,..,47,47,90,8,97,52,0,52,45,0,45,18,0,18,4,0,4,210,49,259
SSC10167,..,22,22,47,0,50,26,0,26,40,0,40,11,0,11,3,0,3,127,23,151
SSC10168,..,164,164,173,4,183,68,0,72,41,0,41,40,0,40,17,0,17,343,172,516
SSC10169,..,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,5,0,5
SSC10170,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC10171,..,6,6,15,0,15,7,0,7,9,0,9,3,0,3,0,0,0,29,6,35
SSC10172,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5
SSC10173,..,41,41,87,0,92,47,0,47,32,0,32,13,0,13,7,0,7,194,38,231
SSC10174,..,151,151,205,32,234,123,6,132,125,3,124,51,0,51,8,0,8,519,194,707
SSC10175,..,7,7,6,0,6,0,0,0,3,0,3,3,0,3,0,0,0,13,7,16
SSC10176,..,12,12,17,0,17,0,0,0,8,0,8,3,0,3,0,0,0,26,12,37
SSC10177,..,228,228,545,19,561,338,4,345,432,0,435,162,0,163,63,0,63,1542,251,1791
SSC10178,..,156,156,292,30,319,179,9,190,220,5,226,100,7,108,58,3,60,854,206,1056
SSC10179,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4
SSC10180,..,1932,1932,2065,216,2284,1762,81,1842,1701,24,1723,957,18,974,813,17,837,7304,2292,9590
SSC10181,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC10182,..,4,4,8,0,6,0,0,0,0,0,0,0,0,0,0,0,0,9,4,17
SSC10183,..,11,11,12,0,12,8,0,8,9,0,9,4,0,4,3,0,3,34,11,43
SSC10184,..,9,9,3,0,3,3,0,3,0,0,0,0,0,0,0,0,0,9,9,16
SSC10185,..,1777,1777,2314,177,2487,832,20,853,801,6,812,301,0,301,143,0,148,4399,1983,6378
SSC10186,..,3,3,5,3,3,3,0,3,4,0,4,0,0,0,0,0,0,14,3,19
SSC10187,..,207,207,134,23,155,50,6,58,62,3,63,21,3,24,8,0,8,269,243,511
SSC10188,..,20,20,12,0,12,3,0,3,0,0,0,0,0,0,0,0,0,21,20,34
SSC10189,..,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,13
SSC10190,..,117,117,107,6,115,37,0,44,34,0,34,15,0,15,4,0,4,198,123,318
SSC10191,..,21,21,25,0,25,3,0,3,6,0,6,0,0,0,0,0,0,30,24,57
SSC10192,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC10193,..,77,77,253,3,250,213,0,217,381,0,381,189,0,189,83,0,83,1114,83,1192
SSC10194,..,47,47,94,11,102,117,0,119,104,3,107,55,0,56,33,0,33,405,62,462
SSC10195,..,142,142,203,18,216,127,5,130,170,3,171,66,3,70,27,0,28,593,169,759
SSC10196,..,164,164,191,15,204,134,4,136,150,0,150,70,0,73,48,0,48,597,182,779
SSC10197,..,55,55,63,7,68,29,0,28,26,0,26,10,0,10,6,0,6,136,58,196
SSC10198,..,285,285,457,20,473,229,0,229,244,0,247,137,0,137,99,0,99,1156,306,1465
SSC10199,..,247,247,239,11,256,60,0,60,50,0,50,21,0,21,12,0,12,379,260,636
SSC10200,..,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC10201,..,26,26,19,0,19,13,0,13,9,0,9,3,0,3,0,0,0,41,25,67
SSC10202,..,45,45,57,0,57,20,0,20,23,0,23,13,0,13,5,0,5,118,47,161
SSC10203,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC10204,..,90,90,191,15,201,117,0,117,108,0,108,42,0,42,28,0,28,481,105,587
SSC10205,..,182,182,239,20,256,65,3,71,87,0,87,42,0,42,18,0,18,460,208,665
SSC10206,..,251,251,214,21,230,54,0,58,42,0,42,30,0,30,4,0,4,339,266,607
SSC10207,..,494,494,710,30,742,403,3,403,311,0,311,146,3,149,60,0,60,1625,536,2159
SSC10208,..,73,73,72,0,76,27,0,27,41,0,41,18,0,18,6,0,6,171,73,241
SSC10209,..,11,11,24,0,24,6,0,6,8,0,8,3,0,3,3,0,3,39,12,51
SSC10210,..,6,6,18,3,24,7,0,7,3,0,3,0,0,0,0,0,0,32,7,40
SSC10211,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC10212,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC10213,..,10,10,27,0,27,5,0,7,9,0,9,5,0,5,4,0,4,48,8,59
SSC10214,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
SSC10215,..,4,4,4,0,4,0,0,0,4,0,4,0,0,0,0,0,0,6,4,10
SSC10216,..,34,34,73,0,69,26,0,26,13,0,13,3,0,3,3,0,3,114,31,148
SSC10217,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC10218,..,17,17,18,0,18,4,0,4,14,0,14,6,0,6,3,0,3,41,16,62
SSC10219,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC10220,..,8,8,7,0,7,3,0,3,9,0,9,4,0,4,0,0,0,23,8,29
SSC10221,..,5,5,5,0,5,0,0,0,3,0,3,0,0,0,0,0,0,6,5,12
SSC10222,..,17,17,7,0,7,4,0,4,0,0,0,0,0,0,3,0,3,17,17,33
SSC10223,..,155,155,184,14,196,74,0,72,73,0,73,46,0,46,19,0,19,384,175,564
SSC10224,..,528,528,557,46,601,411,8,415,484,4,490,364,3,363,274,0,276,2089,591,2674
SSC10225,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC10226,..,4,4,16,3,18,4,0,4,0,0,0,5,0,5,0,0,0,20,5,31
SSC10227,..,1248,1248,1430,67,1498,618,11,630,678,0,687,318,0,321,110,0,110,3156,1338,4492
SSC10228,..,267,267,270,19,286,86,0,92,54,0,54,25,0,25,11,0,11,443,289,737
SSC10229,..,332,332,206,20,225,52,0,57,30,0,30,16,0,12,15,0,15,321,356,678
SSC10230,..,0,0,0,0,5,4,0,4,0,0,0,4,0,4,0,0,0,12,3,11
SSC10231,..,1283,1283,816,167,985,304,55,361,218,27,251,71,5,77,30,0,30,1440,1545,2988
SSC10232,..,167,167,205,14,223,46,3,49,47,0,48,30,0,30,7,0,10,335,189,527
SSC10233,..,1753,1753,3190,159,3349,2344,45,2387,2872,24,2888,1136,15,1152,487,15,506,10025,2011,12039
SSC10234,..,15,15,34,0,34,15,0,15,15,0,15,9,0,9,3,0,3,72,19,88
SSC10235,..,89,89,116,3,116,40,0,40,26,0,26,9,0,9,3,0,3,195,93,284
SSC10236,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC10237,..,525,525,438,16,454,153,0,153,192,0,192,81,0,85,37,0,37,904,536,1441
SSC10238,..,268,268,536,26,564,372,3,374,628,4,631,266,0,265,126,0,126,1919,310,2230
SSC10239,..,106,106,119,31,152,44,15,62,57,3,62,13,0,14,3,0,4,239,151,394
SSC10240,..,5,5,11,3,14,0,0,0,6,0,6,0,0,0,0,0,0,15,7,27
SSC10241,..,5,5,9,0,9,3,0,3,0,0,0,3,0,3,0,0,0,13,5,19
SSC10242,..,10,10,24,0,21,4,0,4,4,0,4,0,0,0,3,0,3,31,8,41
SSC10243,..,145,145,440,15,452,454,4,456,854,3,853,390,0,390,176,0,176,2307,163,2473
SSC10244,..,4,4,15,0,17,8,0,8,5,0,5,3,0,3,5,0,5,31,6,42
SSC10245,..,11,11,22,0,27,11,0,11,14,0,14,5,0,5,0,0,0,52,14,71
SSC10246,..,3,3,3,0,3,3,0,3,0,0,0,0,0,0,0,0,0,16,3,19
SSC10247,..,11,11,18,0,18,8,0,8,3,0,3,3,0,3,4,0,4,41,11,46
SSC10248,..,49,49,80,7,83,23,0,23,27,0,27,21,0,21,8,0,8,164,51,217
SSC10249,..,387,387,830,17,847,515,9,527,747,3,749,307,0,307,135,0,135,2538,410,2956
SSC10250,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC10251,..,27,27,49,0,52,25,0,25,19,0,19,14,0,14,7,0,7,115,23,135
SSC10252,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6
SSC10253,..,586,586,595,39,638,253,0,253,201,3,204,78,0,81,54,0,54,1185,635,1815
SSC10254,..,0,0,14,0,14,0,0,0,0,0,0,6,0,6,4,0,4,29,0,26
SSC10255,..,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8
SSC10256,..,15,15,16,0,17,9,0,9,4,0,4,0,0,0,0,0,0,29,14,44
SSC10257,..,435,435,511,36,548,338,3,342,416,5,418,195,3,200,138,0,135,1595,485,2081
SSC10258,..,4,4,15,0,18,5,0,5,12,0,12,8,0,8,3,0,3,45,8,50
SSC10259,..,4,4,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,8,3,10
SSC10260,..,5,5,12,0,12,10,0,10,9,0,9,4,0,4,3,0,3,30,6,40
SSC10261,..,19,19,51,7,59,26,0,26,27,0,27,24,0,24,11,0,11,147,24,164
SSC10262,..,3,3,3,0,3,4,0,4,3,0,3,0,0,0,3,0,3,14,3,13
SSC10263,..,134,134,445,11,455,428,10,436,685,3,685,283,9,295,154,20,174,1997,182,2183
SSC10264,..,512,512,453,45,496,252,4,256,198,0,201,76,0,76,41,0,41,1014,566,1582
SSC10265,..,13,13,12,0,12,5,0,5,6,0,6,0,0,0,3,0,3,26,13,35
SSC10266,..,33,33,43,3,42,15,0,15,13,0,13,9,0,9,6,0,6,85,40,122
SSC10267,..,3,3,26,0,26,7,0,7,7,0,7,0,0,0,0,0,0,40,3,41
SSC10268,..,155,155,216,19,240,111,0,113,128,3,126,65,0,65,15,0,15,531,179,707
SSC10269,..,52,52,113,9,120,52,0,52,47,0,47,19,0,19,5,0,5,231,58,287
SSC10270,..,48,48,35,3,40,14,0,14,8,0,8,8,0,8,3,0,3,75,46,122
SSC10271,..,941,941,1140,211,1357,543,69,607,561,17,580,296,3,302,82,3,81,2618,1248,3867
SSC10272,..,7,7,14,0,14,7,0,7,3,0,3,4,0,4,3,0,3,28,7,36
