SSC_CODE_2016,IA_DS_Separate_house,IA_DS_SemD_ro_tr_h_th,IA_DS_Flat_or_Apart,IA_DS_Other_dwelling,IA_DS_Not_stated,IA_Total,I_NA_DS_Separate_house,I_NA_DS_SemD_ro_tr_h_th,I_NA_DS_Flat_or_Apart,I_NA_DS_Other_dwelling,I_NA_DS_Not_stated,I_NA_Total,IC_NS_DS_Separate_house,IC_NS_DS_SemD_ro_tr_h_th,IC_NS_DS_Flat_or_Apart,IC_NS_DS_Other_dwelling,IC_NS_DS_Not_stated,IC_not_stated_Total,Total_DS_Separate_house,Total_DS_SemD_ro_tr_h_th,Total_DS_Flat_or_Apart,Total_DS_Other_dwelling,Total_DS_Not_stated,Total_Total
SSC10042,18,0,0,0,0,18,5,0,0,0,0,6,0,0,0,0,0,0,26,0,0,0,0,25
SSC10043,13,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,14
SSC10044,34,0,0,0,0,34,0,0,0,3,0,3,0,0,0,0,0,0,38,0,0,3,0,38
SSC10045,124,3,0,0,0,134,13,0,0,0,0,13,5,0,0,0,0,5,147,3,0,0,0,150
SSC10046,1508,281,31,4,9,1836,261,136,5,0,0,404,42,20,0,0,3,63,1807,432,36,9,15,2301
SSC10047,15,0,0,0,3,21,9,0,0,0,0,9,0,0,0,0,0,0,26,0,0,0,3,33
SSC10048,10,0,0,0,0,10,4,0,0,0,0,4,0,0,0,0,0,0,11,0,0,0,0,11
SSC10049,1623,160,65,0,0,1849,299,51,20,0,0,375,64,11,5,0,0,82,1986,223,94,0,0,2302
SSC10050,11,0,0,0,0,11,7,0,0,0,0,7,0,0,0,0,0,0,10,0,0,0,0,10
SSC10051,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3
SSC10052,13,0,0,0,0,13,7,0,0,0,0,7,0,0,0,0,0,0,19,0,0,0,0,19
SSC10053,6,0,0,0,0,7,5,0,0,0,0,5,0,0,0,0,0,0,7,0,0,0,0,6
SSC10054,15,0,0,0,0,15,11,0,0,0,0,11,0,0,0,0,0,0,29,0,0,0,0,29
SSC10055,15,0,0,0,0,15,0,0,0,0,0,0,3,0,0,0,0,3,23,0,0,0,0,23
SSC10056,48,0,0,0,0,48,10,0,0,0,0,10,0,0,0,0,0,0,56,0,0,0,0,56
SSC10057,8,0,0,4,0,14,5,0,0,0,0,5,0,0,0,3,0,3,14,0,0,8,0,21
SSC10058,14,0,0,0,0,21,12,0,0,0,0,13,0,0,0,0,0,4,29,0,0,3,4,34
SSC10059,61,20,0,0,4,79,5,3,0,0,0,10,0,0,0,0,0,0,62,18,0,0,4,87
SSC10060,874,148,3,71,13,1105,156,28,0,29,7,214,34,4,0,4,3,45,1057,171,3,109,20,1364
SSC10061,153,2175,847,63,18,3258,14,132,106,3,3,252,5,52,29,9,5,96,163,2353,984,78,28,3602
SSC10062,353,0,0,0,6,358,13,0,0,0,0,13,4,0,0,0,0,9,366,4,0,0,4,375
SSC10063,668,13,3,8,3,695,68,0,3,4,0,76,13,0,0,0,0,16,750,17,9,13,6,788
SSC10064,7,0,0,0,0,14,3,0,0,0,0,3,0,0,0,0,0,0,14,0,0,0,0,15
SSC10065,12,0,0,0,0,12,5,0,0,0,0,5,0,0,0,0,0,0,9,0,0,0,0,9
SSC10066,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,5
SSC10067,3,0,0,26,0,29,0,0,0,9,0,9,0,0,0,0,0,0,3,0,0,30,0,36
SSC10068,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,8
SSC10069,144,3,0,0,0,152,17,0,0,3,0,24,3,0,0,0,0,3,168,3,0,3,0,177
SSC10070,50,0,0,0,3,53,18,0,0,0,0,18,4,0,0,0,0,4,68,0,0,0,3,69
SSC10071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC10072,374,0,0,0,4,377,25,0,0,0,0,25,12,0,0,0,0,12,409,0,0,0,4,416
SSC10073,412,7,0,0,0,421,71,0,0,0,0,72,13,0,0,0,0,15,494,5,0,0,0,507
SSC10074,12,0,0,0,0,12,7,0,0,0,0,7,0,0,0,0,0,0,24,0,0,0,0,24
SSC10075,63,0,0,0,0,63,12,0,0,0,0,12,0,0,0,0,0,0,78,0,0,0,0,78
SSC10076,135,0,0,0,3,135,52,0,4,0,0,59,9,0,0,0,0,9,193,0,4,0,3,208
SSC10077,8,0,0,0,0,8,3,0,0,0,0,3,0,0,0,0,0,0,13,0,0,0,0,13
SSC10078,334,34,7,3,4,379,109,22,10,0,0,133,16,0,0,0,0,19,451,52,21,3,4,530
SSC10079,51,0,0,0,0,51,25,0,0,0,0,25,7,0,0,0,0,7,86,0,0,0,0,88
SSC10080,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6
SSC10081,116,0,3,3,5,129,37,3,0,0,0,47,7,0,0,0,0,11,166,8,3,3,4,185
SSC10082,14,0,0,0,0,14,5,0,0,0,0,5,0,0,0,0,0,0,18,0,0,0,0,18
SSC10083,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,3
SSC10084,37,0,0,0,0,37,5,0,0,0,0,5,0,0,0,0,0,0,43,0,0,0,0,43
SSC10085,5494,637,343,28,54,6562,946,220,131,4,8,1307,156,36,27,3,8,217,6590,888,503,35,67,8089
SSC10086,1260,359,1151,29,16,2811,238,62,192,5,0,501,49,21,56,3,0,126,1547,441,1402,33,22,3440
SSC10087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC10088,139,3,0,46,0,186,45,0,0,19,0,58,12,0,0,3,0,16,191,3,0,65,0,258
SSC10089,164,3,3,0,0,169,24,3,0,0,0,27,8,0,0,0,0,8,192,3,3,0,0,198
SSC10090,749,297,2175,9,4,3238,44,9,230,0,0,287,8,0,50,0,0,63,803,314,2462,8,8,3593
SSC10091,12,0,0,0,0,12,3,0,0,0,0,3,3,0,0,0,0,3,15,0,0,0,0,15
SSC10092,10,0,0,0,0,9,3,0,0,0,0,3,0,0,0,0,0,0,14,0,0,0,0,12
SSC10093,819,75,11,6,0,915,113,4,0,0,0,116,18,3,0,0,0,20,947,83,18,6,0,1050
SSC10094,119,0,0,0,0,119,16,0,0,0,0,17,0,0,0,0,0,0,138,0,0,0,0,136
SSC10095,67,0,0,6,0,67,13,0,0,0,0,16,3,0,0,0,0,4,80,0,0,6,0,91
SSC10096,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4
SSC10097,594,17,100,0,0,708,150,4,93,0,0,247,42,0,18,0,0,61,787,18,215,4,0,1022
SSC10098,1658,601,4842,29,30,7166,274,62,644,7,0,985,48,14,180,4,147,392,1983,676,5671,42,179,8546
SSC10099,147,3,0,4,0,154,87,0,0,3,0,92,10,0,0,6,0,16,238,0,3,15,0,255
SSC10100,87,0,0,0,0,87,31,0,0,0,0,31,6,0,0,0,0,8,127,0,0,0,0,125
SSC10101,790,0,141,0,4,945,342,0,82,0,0,428,42,0,14,0,0,55,1182,0,238,0,4,1425
SSC10102,1273,69,0,0,3,1346,101,18,0,0,0,121,14,4,0,0,0,19,1394,87,0,0,6,1487
SSC10103,822,117,38,8,4,986,74,9,5,0,0,95,13,0,0,0,0,15,910,129,50,8,4,1091
SSC10104,19,0,0,0,0,19,9,0,0,0,0,10,0,0,0,0,0,0,25,0,0,0,0,31
SSC10105,156,0,0,0,0,159,47,0,0,0,0,47,7,0,0,0,0,7,209,0,0,0,0,211
SSC10106,3749,807,3415,63,30,8066,602,160,531,20,6,1320,208,57,249,5,15,527,4559,1021,4197,86,54,9919
SSC10107,33,0,0,0,0,33,4,0,0,0,0,4,3,0,0,0,0,3,41,0,0,0,0,41
SSC10108,642,84,70,5,3,799,49,9,9,0,0,62,9,3,0,0,0,14,694,93,81,5,3,880
SSC10109,559,5,0,3,0,568,180,0,3,0,0,188,22,0,0,0,44,73,763,7,4,5,47,830
SSC10110,42,0,0,0,0,42,10,0,0,0,0,10,0,0,0,0,0,0,51,0,0,0,0,51
SSC10111,2499,70,450,6,12,3038,107,5,68,0,0,186,53,0,18,0,5,74,2663,80,537,10,13,3298
SSC10112,8,0,0,0,0,8,0,0,0,0,0,0,3,0,0,0,0,3,11,0,0,0,0,11
SSC10113,61,3,0,0,0,63,10,0,0,0,0,7,0,0,0,0,0,0,70,3,0,0,0,77
SSC10114,1185,82,60,46,3,1377,67,4,5,34,0,112,21,0,3,3,0,29,1272,88,70,83,7,1518
SSC10115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC10116,424,63,13,0,3,498,46,28,35,0,0,109,13,6,7,0,0,28,478,98,49,3,8,638
SSC10117,34,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,35
SSC10118,106,0,0,0,0,105,25,0,0,0,0,25,0,0,0,0,0,0,131,0,0,0,0,134
SSC10119,63,0,0,0,0,63,10,0,0,0,0,10,0,0,0,0,0,0,70,0,0,0,0,71
SSC10120,41,0,0,0,0,48,12,0,0,0,0,12,4,0,0,0,0,4,65,0,0,0,0,68
SSC10121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC10122,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3
SSC10123,9,0,0,0,0,9,3,0,0,0,0,3,0,0,0,0,0,0,11,0,0,0,0,11
SSC10124,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6
SSC10125,3,0,0,0,0,3,10,0,0,0,0,10,0,0,0,0,0,0,10,0,0,0,0,10
SSC10126,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5
SSC10127,3,0,0,0,0,3,3,0,0,0,0,3,0,0,0,0,0,0,8,0,0,0,0,8
SSC10128,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3
SSC10129,14,0,0,0,0,14,4,0,0,0,0,4,4,0,0,0,0,4,23,0,0,0,0,23
SSC10130,39,0,0,0,0,39,4,0,0,0,0,4,0,0,0,0,0,0,45,0,0,0,0,45
SSC10131,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6
SSC10132,49,0,0,0,0,52,12,0,0,0,0,11,3,0,0,0,0,3,65,0,0,0,3,65
SSC10133,7,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,7
SSC10134,15,0,0,0,0,15,0,0,0,0,0,3,0,0,0,0,0,0,17,0,0,0,0,17
SSC10135,6,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,4,15
SSC10136,10,0,0,0,0,10,5,0,0,0,0,5,0,0,0,0,0,0,16,0,0,0,0,16
SSC10137,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,11
SSC10138,19,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,18
SSC10139,11,0,0,0,0,11,3,0,0,0,0,3,0,0,0,0,0,0,14,0,0,0,0,14
SSC10140,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,7
SSC10141,8,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,8
SSC10142,6,0,0,10,0,14,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,5,0,20
SSC10143,139,0,0,0,0,135,26,0,0,0,0,26,3,0,0,0,0,3,163,0,0,0,0,168
SSC10144,29,0,0,0,0,29,9,0,0,0,0,9,3,0,0,0,0,3,43,0,0,0,0,46
SSC10145,291,0,6,0,0,306,54,0,3,0,0,54,0,0,0,0,0,0,346,0,10,0,0,355
SSC10146,10,0,0,0,0,10,3,0,0,0,0,3,0,0,0,0,0,0,14,0,0,0,0,14
SSC10147,71,5,0,0,0,78,8,0,0,0,0,8,0,0,0,0,0,0,86,5,0,0,0,91
SSC10148,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4
SSC10149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4
SSC10150,16,0,0,0,0,16,8,0,0,0,0,8,0,0,0,0,0,0,21,0,0,0,0,21
SSC10151,25,0,0,0,0,25,5,0,0,0,0,5,0,0,0,0,0,0,30,0,0,0,0,30
SSC10152,9,0,0,0,0,9,3,0,0,0,0,3,0,0,0,0,0,0,16,0,0,0,0,16
SSC10153,949,641,1095,29,11,2723,59,44,117,3,0,226,18,16,20,0,3,54,1026,703,1238,32,12,3008
SSC10154,914,24,0,9,0,947,57,4,0,0,0,62,9,0,0,0,0,7,980,30,0,9,3,1018
SSC10155,1246,405,20,3,0,1672,200,99,8,0,0,303,33,17,4,0,0,54,1479,516,30,3,0,2036
SSC10156,7,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6
SSC10157,26,0,0,0,0,26,12,0,0,0,0,12,0,0,0,0,0,0,39,0,0,0,0,39
SSC10158,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,12
SSC10159,44,0,0,0,0,44,16,0,0,0,0,15,0,0,0,0,0,0,54,0,0,0,0,59
SSC10160,27,0,0,0,0,23,3,0,0,0,0,3,0,0,0,0,0,0,28,0,0,0,0,24
SSC10161,45,0,0,0,0,45,14,0,0,0,0,14,3,0,0,0,0,3,59,0,0,0,0,59
SSC10162,1338,944,208,95,10,2599,368,511,94,91,5,1064,61,90,8,8,3,168,1764,1542,311,201,18,3837
SSC10163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC10164,335,2150,1219,11,25,3740,21,132,212,0,3,370,3,28,48,0,0,82,361,2307,1474,11,32,4188
SSC10165,44,401,262,3,3,713,0,15,41,0,0,60,0,5,14,0,0,19,42,421,318,3,3,787
SSC10166,227,3,0,0,0,235,25,0,0,0,0,25,3,0,0,0,0,3,258,3,0,0,0,259
SSC10167,127,0,0,0,0,126,19,0,0,0,0,20,0,0,0,0,0,0,143,0,0,0,3,151
SSC10168,308,3,14,4,0,329,128,6,12,4,0,157,19,4,0,0,0,22,459,13,25,9,3,516
SSC10169,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5
SSC10170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC10171,34,0,0,0,0,31,3,0,0,0,0,5,0,0,0,0,0,0,33,0,0,0,3,35
SSC10172,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5
SSC10173,198,0,0,0,9,209,18,0,0,0,4,22,0,0,0,0,0,0,222,0,0,0,13,231
SSC10174,608,7,7,4,4,640,38,5,0,0,0,50,13,0,0,0,0,15,668,18,13,4,7,707
SSC10175,8,0,0,0,0,8,5,0,0,0,0,5,0,0,0,0,0,0,16,0,0,0,0,16
SSC10176,25,0,0,0,0,25,9,0,0,0,0,9,0,0,0,0,0,0,37,0,0,0,0,37
SSC10177,1471,143,24,0,0,1640,83,18,28,0,0,124,19,9,3,0,0,29,1567,163,57,0,0,1791
SSC10178,658,74,109,23,3,863,140,11,12,3,0,167,17,3,6,3,0,31,816,93,120,25,3,1056
SSC10179,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
SSC10180,2508,930,4132,59,19,7653,548,120,925,3,12,1605,112,41,160,7,17,336,3162,1093,5225,64,46,9590
SSC10181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC10182,11,0,0,0,0,11,6,0,0,0,0,6,0,0,0,0,0,0,17,0,0,0,0,17
SSC10183,32,0,0,0,0,32,6,0,0,0,0,6,0,0,0,0,0,0,43,0,0,0,0,43
SSC10184,5,0,0,0,0,5,3,0,0,0,0,3,0,0,0,0,0,0,16,0,0,0,0,16
SSC10185,3345,1515,110,0,4,4972,526,623,63,0,3,1220,84,96,4,0,0,183,3956,2236,181,3,9,6378
SSC10186,13,0,0,0,0,13,0,0,0,0,0,0,3,0,0,0,0,3,19,0,0,0,0,19
SSC10187,182,81,150,0,0,414,11,0,64,0,0,77,5,0,13,0,0,19,196,85,230,0,3,511
SSC10188,21,0,0,0,0,21,10,0,0,0,0,8,0,0,0,0,0,0,34,0,0,0,3,34
SSC10189,5,0,0,0,0,5,6,0,0,0,0,6,0,0,0,0,0,0,13,0,0,0,0,13
SSC10190,190,0,0,3,0,200,102,0,4,3,0,110,11,0,0,0,0,8,300,3,11,9,0,318
SSC10191,3,0,49,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,3,0,49,0,0,57
SSC10192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC10193,1051,85,0,0,4,1145,31,4,0,0,0,42,13,0,0,0,0,13,1099,92,0,0,4,1192
SSC10194,299,111,0,0,10,419,17,9,0,0,3,26,3,11,0,0,0,19,320,131,0,3,14,462
SSC10195,551,50,29,12,0,637,87,3,17,3,0,107,15,0,3,0,0,16,655,49,39,16,0,759
SSC10196,462,174,17,6,0,652,63,27,10,0,0,94,18,3,5,0,0,22,538,204,33,6,0,779
SSC10197,129,0,0,0,0,132,53,0,0,0,0,53,13,0,0,0,0,13,194,0,0,0,0,196
SSC10198,1083,99,0,13,6,1205,163,34,0,21,0,218,35,10,0,0,0,42,1280,144,0,37,6,1465
SSC10199,370,25,12,15,0,417,155,19,18,3,0,203,15,0,3,0,0,19,540,44,37,16,3,636
SSC10200,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC10201,57,0,0,5,0,57,9,0,0,0,0,9,0,0,0,0,0,0,63,0,0,5,0,67
SSC10202,121,0,0,3,3,122,35,0,0,0,0,32,4,0,0,0,0,4,156,0,0,5,3,161
SSC10203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC10204,500,0,0,0,0,499,75,0,0,0,0,75,10,0,0,0,0,10,584,0,0,0,0,587
SSC10205,473,11,13,12,0,518,83,15,16,5,0,121,18,0,3,0,0,27,578,31,33,25,0,665
SSC10206,337,0,5,7,6,356,201,7,10,4,0,219,33,0,3,3,0,33,574,9,18,8,6,607
SSC10207,1495,9,140,3,3,1649,379,4,68,0,0,452,53,0,11,0,0,62,1924,15,216,3,4,2159
SSC10208,140,25,14,16,0,196,16,0,4,24,0,45,0,0,0,3,0,6,151,30,18,44,0,241
SSC10209,32,0,0,0,0,34,11,0,0,0,0,11,3,0,0,0,0,3,49,0,0,0,3,51
SSC10210,35,0,0,0,0,38,3,0,0,0,0,3,0,0,0,0,0,0,37,0,0,0,0,40
SSC10211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC10212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC10213,46,0,0,0,7,51,3,0,0,0,0,3,0,0,0,0,0,0,48,0,0,0,7,59
SSC10214,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3
SSC10215,5,0,0,0,0,5,3,0,0,0,0,3,0,0,0,0,0,0,10,0,0,0,0,10
SSC10216,110,0,0,0,0,109,27,0,0,0,0,27,10,0,0,0,0,10,145,0,0,0,0,148
SSC10217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC10218,42,0,0,0,0,38,20,0,0,0,0,20,0,0,0,0,0,0,59,0,0,0,0,62
SSC10219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC10220,23,0,0,0,0,23,9,0,0,0,0,9,0,0,0,0,0,0,29,0,0,0,0,29
SSC10221,8,0,0,0,0,8,3,0,0,0,0,3,0,0,0,0,0,0,12,0,0,0,0,12
SSC10222,5,0,0,0,0,6,28,0,0,0,0,28,0,0,0,0,0,0,30,0,0,0,0,33
SSC10223,420,13,0,0,0,428,81,9,0,0,0,89,9,0,34,0,0,44,509,18,34,0,0,564
SSC10224,1555,445,73,10,4,2098,306,93,85,3,0,478,64,20,9,0,0,100,1924,563,167,12,4,2674
SSC10225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC10226,20,0,0,0,0,23,3,0,0,0,0,3,0,0,0,0,0,0,26,0,0,0,0,31
SSC10227,3003,337,156,9,11,3513,451,320,47,3,9,834,82,54,10,0,0,145,3528,715,218,14,20,4492
SSC10228,366,68,75,13,3,518,110,29,36,9,3,192,19,3,4,4,0,28,495,99,107,20,5,737
SSC10229,178,51,155,3,7,399,85,37,111,3,0,245,10,9,12,3,0,34,276,95,279,15,12,678
SSC10230,10,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,11
SSC10231,1234,632,308,12,6,2190,281,270,169,3,3,718,33,26,19,0,4,76,1550,925,492,16,14,2988
SSC10232,344,0,3,3,3,356,137,3,3,0,0,147,18,3,0,3,0,23,498,7,5,8,9,527
SSC10233,8339,1694,991,8,16,11047,539,125,137,0,3,800,139,27,24,0,6,198,9016,1845,1145,8,24,12039
SSC10234,70,0,0,0,0,70,13,0,0,0,0,13,0,0,0,0,0,0,88,0,0,0,0,88
SSC10235,222,0,0,19,0,240,41,0,0,0,0,41,3,0,0,0,0,3,266,0,0,24,0,284
SSC10236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC10237,785,278,125,0,4,1197,38,108,58,0,0,203,15,22,6,0,0,44,843,408,187,0,4,1441
SSC10238,1856,96,69,0,10,2034,134,6,11,0,0,150,42,0,3,0,0,47,2030,112,81,0,10,2230
SSC10239,36,175,136,3,10,360,3,16,5,0,0,25,0,8,3,0,3,13,38,202,141,4,9,394
SSC10240,17,0,0,0,0,17,10,0,0,0,0,10,0,0,0,0,0,0,27,0,0,0,0,27
SSC10241,17,0,0,0,0,17,7,0,0,0,0,7,0,0,0,0,0,0,19,0,0,0,0,19
SSC10242,34,0,0,0,4,40,3,0,0,0,0,3,0,0,0,0,0,0,40,0,0,0,4,41
