SSC_CODE_2016,P_PGrad_Deg_35_44,P_PGrad_Deg_45_54,P_PGrad_Deg_55_64,P_PGrad_Deg_65_74,P_PGrad_Deg_75_84,P_PGrad_Deg_85ov,P_PGrad_Deg_Total,P_GradDip_and_GradCert_15_24,P_GradDip_and_GradCert_25_34,P_GradDip_and_GradCert_35_44,P_GradDip_and_GradCert_45_54,P_GradDip_and_GradCert_55_64,P_GradDip_and_GradCert_65_74,P_GradDip_and_GradCert_75_84,P_GradDip_and_GradCert_85ov,P_GradDip_and_GradCert_Total,P_BachDeg_15_24,P_BachDeg_25_34,P_BachDeg_35_44,P_BachDeg_45_54,P_BachDeg_55_64,P_BachDeg_65_74,P_BachDeg_75_84,P_BachDeg_85ov,P_BachDeg_Total,P_AdvDip_and_Dip_15_24,P_AdvDip_and_Dip_25_34,P_AdvDip_and_Dip_35_44,P_AdvDip_and_Dip_45_54,P_AdvDip_and_Dip_55_64,P_AdvDip_and_Dip_65_74,P_AdvDip_and_Dip_75_84,P_AdvDip_and_Dip_85ov,P_AdvDip_and_Dip_Total,P_Cert_III_IV_15_24,P_Cert_III_IV_25_34,P_Cert_III_IV_35_44,P_Cert_III_IV_45_54,P_Cert_III_IV_55_64,P_Cert_III_IV_65_74,P_Cert_III_IV_75_84,P_Cert_III_IV_85ov,P_Cert_III_IV_Total,P_Cert_I_II_15_24,P_Cert_I_II_25_34,P_Cert_I_II_35_44,P_Cert_I_II_45_54,P_Cert_I_II_55_64,P_Cert_I_II_65_74,P_Cert_I_II_75_84,P_Cert_I_II_85ov,P_Cert_I_II_Total,P_Cert_Levl_nfd_15_24,P_Cert_Levl_nfd_25_34,P_Cert_Levl_nfd_35_44,P_Cert_Levl_nfd_45_54,P_Cert_Levl_nfd_55_64,P_Cert_Levl_nfd_65_74,P_Cert_Levl_nfd_75_84,P_Cert_Levl_nfd_85ov,P_Cert_Levl_nfd_Total,P_Cert_Lev_Tot_15_24,P_Cert_Lev_Tot_25_34,P_Cert_Lev_Tot_35_44,P_Cert_Lev_Tot_45_54,P_Cert_Lev_Tot_55_64,P_Cert_Lev_Tot_65_74,P_Cert_Lev_Tot_75_84,P_Cert_Lev_Tot_85ov,P_Cert_Lev_Tot_Total,P_Lev_Edu_IDes_15_24,P_Lev_Edu_IDes_25_34,P_Lev_Edu_IDes_35_44,P_Lev_Edu_IDes_45_54,P_Lev_Edu_IDes_55_64,P_Lev_Edu_IDes_65_74,P_Lev_Edu_IDes_75_84,P_Lev_Edu_IDes_85ov,P_Lev_Edu_IDes_Total,P_Lev_Edu_NS_15_24,P_Lev_Edu_NS_25_34,P_Lev_Edu_NS_35_44,P_Lev_Edu_NS_45_54,P_Lev_Edu_NS_55_64,P_Lev_Edu_NS_65_74,P_Lev_Edu_NS_75_84,P_Lev_Edu_NS_85ov,P_Lev_Edu_NS_Total,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Total
SSC10011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,3,0,0,8,0,4,3,9,4,0,0,0,20,5,17,16,12,11,5,3,0,71,0,0,3,0,0,0,0,0,8,0,3,0,0,0,0,0,0,4,9,21,19,15,11,3,3,0,85,0,0,0,0,0,0,0,0,0,17,14,8,12,7,9,4,0,74,28,39,33,40,17,11,11,0,180
SSC10012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6
SSC10013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,3,0,0,3,0,14
SSC10014,94,37,22,4,0,0,230,0,15,16,12,4,4,0,0,53,46,177,219,101,72,28,3,0,650,18,59,91,71,33,13,4,4,299,47,90,104,83,62,29,8,3,415,3,3,6,3,6,3,0,0,23,3,6,12,13,14,6,0,0,56,51,100,124,97,80,36,8,6,503,3,5,8,10,6,3,0,0,35,19,31,24,14,19,8,0,0,119,141,454,576,342,237,106,13,12,1880
SSC10015,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,7,5,0,0,14,0,0,3,8,0,0,3,0,25,7,3,13,11,12,10,3,0,59,0,0,0,4,3,0,0,0,3,0,0,0,0,0,0,0,0,7,7,3,14,13,16,10,9,0,69,0,0,0,0,0,0,0,0,0,5,0,0,3,11,9,7,0,32,9,14,18,28,30,29,24,0,142
SSC10016,70,48,27,10,4,3,220,0,22,28,27,19,10,0,0,102,60,303,209,152,65,34,11,3,845,35,76,131,114,66,27,7,4,466,91,214,162,194,145,73,23,6,914,12,6,14,9,11,0,0,0,54,14,5,18,35,31,17,5,0,124,117,235,192,239,188,93,26,9,1091,3,7,4,4,10,3,4,3,31,32,38,32,39,42,31,24,23,263,254,734,666,636,413,200,85,41,3025
SSC10017,75,62,32,27,8,3,243,0,7,21,26,20,20,3,0,106,26,181,264,159,123,76,38,7,880,10,55,111,102,57,68,33,8,451,60,115,122,128,116,68,71,21,703,10,12,9,6,9,3,3,0,48,6,8,14,21,25,34,13,0,123,73,130,145,147,149,110,90,26,876,0,3,3,12,3,5,8,4,41,20,20,21,17,19,40,34,22,192,135,430,645,534,412,342,214,64,2779
SSC10018,0,0,3,0,0,0,5,0,0,0,0,3,0,0,0,3,0,4,10,7,9,4,0,0,38,3,6,8,7,11,5,5,0,51,10,32,29,34,33,27,6,0,173,0,7,3,0,3,3,3,0,18,0,3,7,3,0,0,3,0,18,17,36,39,36,35,28,9,0,211,0,0,0,0,0,0,0,0,0,9,6,5,14,22,16,17,4,86,27,52,63,69,77,62,31,10,394
SSC10019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,6,0,0,0,0,0,0,0,0,4,0,0,6,5,3,0,0,0,17,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,3,4,3,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,7,4,11,8,0,0,0,34
SSC10020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,3,10,3,0,0,15
SSC10021,7,10,0,0,0,0,15,0,0,3,5,0,0,0,0,6,3,18,10,15,5,9,0,0,57,0,11,14,13,12,3,0,0,54,27,34,38,27,28,10,3,0,160,0,0,0,3,0,0,0,0,8,0,3,0,3,7,7,0,0,22,23,35,37,34,35,13,3,0,189,0,0,0,0,0,0,0,0,3,4,10,12,13,10,7,0,0,58,37,74,85,80,54,42,8,0,385
SSC10022,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,5,13,4,4,0,0,0,0,28,14,21,17,21,15,5,0,0,96,35,45,51,49,24,16,4,0,235,15,3,9,14,3,0,0,0,43,10,6,12,3,4,3,0,0,39,57,53,74,68,32,21,3,0,319,3,4,0,3,0,0,0,0,10,70,49,40,50,56,42,10,4,325,153,139,138,145,105,77,20,4,780
SSC10023,0,0,0,4,0,0,6,0,0,0,0,3,0,0,0,5,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,3,0,0,3,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,3,0,4,7,4,0,0,19,0,0,0,0,0,0,0,0,3,6,12,4,5,6,3,5,0,46,11,19,7,12,17,14,7,0,82
SSC10024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,6,0,0,0,0,0,0,0,0,5,0,4,4,0,0,0,0,0,10,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,6,3,0,3,0,0,0,17,0,0,0,0,0,0,0,0,0,0,4,0,4,3,0,0,0,8,0,10,8,11,8,3,0,0,40
SSC10025,55,32,32,9,0,0,160,5,22,33,19,34,6,0,0,118,72,191,217,133,114,49,17,4,802,66,182,240,220,150,58,11,0,922,304,603,594,506,387,176,82,24,2672,33,37,17,25,23,3,0,0,138,33,36,48,69,60,27,9,0,285,362,671,659,604,468,216,88,24,3095,6,7,4,14,19,17,9,0,80,92,82,78,104,99,87,101,111,756,607,1183,1277,1128,919,447,218,149,5934
SSC10026,11,14,5,8,0,0,47,3,9,7,5,11,3,0,0,39,21,88,56,34,49,29,10,0,293,35,107,68,74,66,48,5,8,415,137,306,243,246,251,124,43,19,1370,22,18,25,17,12,6,0,0,98,19,23,29,30,26,22,16,6,171,175,340,295,290,298,152,58,25,1633,8,4,10,10,15,12,4,0,56,73,77,63,63,65,91,101,127,654,314,634,514,494,502,337,191,153,3136
SSC10027,63,43,58,30,6,0,226,0,22,24,30,36,12,0,0,128,40,191,157,145,120,86,20,9,767,10,53,61,89,100,65,24,4,406,83,102,100,109,92,61,14,10,575,6,6,5,7,3,4,0,0,33,8,5,7,12,15,28,6,3,88,102,119,111,130,107,94,23,16,703,4,0,3,3,6,12,5,5,39,52,75,50,53,62,78,72,42,489,215,487,471,492,484,382,155,73,2755
SSC10028,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,4,6,9,15,7,3,0,44,0,5,9,7,12,11,3,0,39,15,26,15,34,37,29,3,3,153,3,4,0,3,3,0,0,0,13,0,0,3,3,9,0,0,0,16,22,24,20,35,48,30,10,3,190,0,0,0,0,0,0,0,0,3,104,230,132,63,29,16,7,4,591,131,267,168,115,105,61,23,7,875
SSC10029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,3,0,0,0,0,14,0,3,3,4,7,0,0,0,19,0,3,0,3,10,0,0,0,15,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,3,3,3,0,4,7,0,0,0,20,0,0,0,0,0,0,0,0,0,0,3,8,3,3,3,3,0,15,5,12,11,16,20,8,6,0,70
SSC10030,274,163,77,28,4,0,966,9,99,66,40,46,10,4,0,267,234,1158,616,275,137,55,8,0,2492,43,272,188,116,58,22,7,3,707,57,227,119,95,49,27,12,0,583,3,14,18,5,0,0,0,0,43,3,29,18,20,18,3,4,0,101,63,273,158,120,71,28,12,0,727,0,17,12,7,3,9,4,0,48,71,257,152,99,44,21,18,12,666,428,2478,1473,817,439,180,63,13,5874
SSC10031,21,23,40,7,0,0,118,0,7,8,14,17,3,0,0,56,65,93,73,73,114,26,5,0,451,19,38,54,77,80,19,3,0,290,48,68,77,86,91,28,16,0,419,3,0,0,10,3,4,0,0,25,3,8,4,10,33,13,3,0,78,57,76,83,108,128,48,17,0,524,0,3,8,7,16,3,3,0,43,17,15,9,16,32,9,0,9,119,164,267,255,324,432,126,28,15,1600
SSC10032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,3,0,0,0,11,0,0,3,0,3,0,0,0,9,3,4,0,7,3,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,3,4,4,6,4,0,0,0,29,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,0,15,3,15,15,15,12,3,0,0,61
SSC10033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SSC10034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,7,6,0,4,3,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,5,4,3,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,0,0,18,6,7,8,8,4,5,4,0,44
SSC10035,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,11,0,0,3,3,0,0,0,0,4,3,0,7,0,3,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,0,3,0,0,0,14,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,12,7,3,6,3,7,5,3,0,45
SSC10036,118,96,39,22,9,0,322,0,11,38,35,33,8,3,0,137,53,155,353,264,150,81,26,12,1098,16,63,149,167,97,69,35,7,612,53,99,149,175,137,97,70,20,804,7,3,11,10,9,8,0,0,42,8,11,19,36,22,27,16,4,144,69,115,178,222,165,128,84,31,992,3,8,9,13,15,14,7,7,72,24,16,32,41,32,48,86,104,387,173,398,882,836,534,384,257,162,3615
SSC10037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,3,0,0,0,0,0,0,0,0,8,0,0,4,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,15,0,0,0,0,0,0,0,0,0,3,0,0,4,0,3,0,0,10,3,0,3,7,7,9,0,3,32
SSC10038,114,65,42,15,3,0,478,0,17,12,9,7,4,0,0,62,121,463,211,132,98,41,22,3,1095,61,159,104,81,85,31,15,10,535,29,95,70,75,75,39,15,3,400,0,7,5,13,4,3,0,0,35,10,10,16,20,18,12,9,0,96,41,106,93,111,99,51,26,3,534,3,15,12,7,6,4,0,0,56,49,71,42,41,41,33,17,9,296,286,1070,583,445,381,182,80,31,3056
SSC10039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0,0,8,0,0,0,0,0,0,0,0,0,3,3,0,0,3,0,0,0,8,3,4,3,5,3,3,4,0,27
SSC10040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,0,0,14,0,0,0,0,4,0,0,0,10,3,0,3,5,9,0,0,0,23,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,3,8,13,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,9,4,0,8,16,23,8,0,0,58
SSC10041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,5,0,0,0,0,3,0,0,0,5,0,10,10,12,9,4,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,8,0,10,10,7,8,4,0,0,44,0,0,0,0,0,0,0,0,3,3,0,0,3,4,0,4,0,18,3,18,14,16,13,9,0,0,75
SSC10042,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,5,0,0,3,0,3,5,0,0,10,0,0,0,0,0,0,0,0,6,0,3,0,0,4,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,3,3,11,10,3,0,31
SSC10043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,4,0,4,8,0,0,22
SSC10044,0,3,3,0,0,0,7,0,0,0,0,0,0,0,0,3,0,0,3,3,3,3,3,0,23,0,0,0,12,4,3,0,0,12,0,0,7,4,3,0,3,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,7,4,3,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,13,0,3,16,19,11,11,6,0,71
SSC10045,0,0,6,3,3,0,11,0,0,0,4,9,0,0,0,12,0,15,11,15,12,12,0,0,68,4,3,5,17,7,6,3,0,44,9,10,5,17,9,8,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,3,8,3,0,0,13,11,10,6,18,23,14,0,0,81,0,0,0,0,3,0,0,0,3,0,0,0,0,10,10,3,0,26,19,26,21,54,65,42,9,0,246
SSC10046,17,28,37,25,12,8,141,3,3,21,24,31,22,11,0,110,14,72,152,139,134,91,66,17,678,8,55,94,81,107,83,48,18,489,57,122,130,159,174,115,75,25,860,11,6,6,14,10,12,0,3,58,3,3,11,24,26,29,18,8,118,75,126,143,196,208,156,93,38,1036,0,0,3,6,3,12,10,5,46,35,25,45,51,57,77,71,59,416,143,287,475,526,579,458,303,143,2915
SSC10047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,3,3,0,0,0,0,6,0,4,3,0,4,3,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,3,0,11,3,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,9,3,10,5,9,10,5,3,0,47
SSC10048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,5,0,8,6,0,3,0,0,21
SSC10049,18,19,12,10,3,0,82,0,10,6,10,11,0,0,0,39,40,94,76,66,60,33,5,3,374,49,106,76,89,69,40,3,0,433,127,261,185,165,187,79,26,4,1037,23,24,22,18,23,3,0,0,103,15,15,41,30,35,17,3,0,151,161,302,246,211,242,98,25,4,1292,4,8,8,11,6,6,0,0,52,126,100,88,84,89,65,20,7,587,385,642,515,491,490,254,58,16,2860
SSC10050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,3,3,0,4,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,4,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,6,0,8,3,0,15
SSC10051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SSC10052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,7,3,3,0,0,0,13
SSC10053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,4,3,0,0,0,0,14,3,0,4,4,3,0,0,0,19
SSC10054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,8,0,0,0,0,0,0,0,0,7,3,0,0,3,4,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,4,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,4,3,13,5,3,0,0,29
