SA3_CODE_2016,P_15_yrs_over_M,P_15_yrs_over_F,P_15_yrs_over_P,lfs_Emplyed_wrked_full_time_M,lfs_Emplyed_wrked_full_time_F,lfs_Emplyed_wrked_full_time_P,lfs_Emplyed_wrked_part_time_M,lfs_Emplyed_wrked_part_time_F,lfs_Emplyed_wrked_part_time_P,lfs_Employed_away_from_work_M,lfs_Employed_away_from_work_F,lfs_Employed_away_from_work_P,lfs_Unmplyed_lookng_for_wrk_M,lfs_Unmplyed_lookng_for_wrk_F,lfs_Unmplyed_lookng_for_wrk_P,lfs_Tot_LF_M,lfs_Tot_LF_F,lfs_Tot_LF_P,lfs_N_the_labour_force_M,lfs_N_the_labour_force_F,lfs_N_the_labour_force_P,Percent_Unem_loyment_M,Percent_Unem_loyment_F,Percent_Unem_loyment_P,Percnt_LabForc_prticipation_M,Percnt_LabForc_prticipation_F,Percnt_LabForc_prticipation_P,Percnt_Employment_to_populn_M,Percnt_Employment_to_populn_F,Percnt_Employment_to_populn_P,Non_sch_quals_PostGrad_Dgre_M,Non_sch_quals_PostGrad_Dgre_F,Non_sch_quals_PostGrad_Dgre_P,Non_sch_quals_Gr_Dip_Gr_Crt_M,Non_sch_quals_Gr_Dip_Gr_Crt_F,Non_sch_quals_Gr_Dip_Gr_Crt_P,Non_sch_quals_Bchelr_Degree_M,Non_sch_quals_Bchelr_Degree_F,Non_sch_quals_Bchelr_Degree_P,Non_sch_quls_Advncd_Dip_Dip_M,Non_sch_quls_Advncd_Dip_Dip_F,Non_sch_quls_Advncd_Dip_Dip_P,Non_sch_quls_Cert3a4_Level_M,Non_sch_quls_Cert3a4_Level_F,Non_sch_quls_Cert3a4_Level_P,Non_sch_quls_Cert1a2_Level_M,Non_sch_quls_Cert1a2_Level_F,Non_sch_quls_Cert1a2_Level_P,Non_sch_quls_Certnfd_Level_M,Non_sch_quls_Certnfd_Level_F,Non_sch_quls_Certnfd_Level_P,Non_sch_quls_CertTot_Level_M,Non_sch_quls_CertTot_Level_F,Non_sch_quls_CertTot_Level_P,Migtn_Lvd_same_add_1_yr_ago_M,Migtn_Lvd_same_add_1_yr_ago_F,Migtn_Lvd_same_add_1_yr_ago_P,Migtn_Lvd_Diff_add_1_yr_ago_M,Migtn_Lvd_Diff_add_1_yr_ago_F,Migtn_Lvd_Diff_add_1_yr_ago_P,Migtn_Lvd_sme_add_5_yrs_ago_M,Migtn_Lvd_sme_add_5_yrs_ago_F,Migtn_Lvd_sme_add_5_yrs_ago_P,Mign_Lvd_Diff_add_5_yrs_ago_M,Mign_Lvd_Diff_add_5_yrs_ago_F,Mign_Lvd_Diff_add_5_yrs_ago_P
11001,14568,15763,30334,5768,3549,9312,1958,3695,5650,423,501,921,616,547,1166,8767,8281,17055,4624,6208,10834,7,6.6,6.8,60.2,52.5,56.2,55.9,49.1,52.4,1017,933,1952,237,455,691,1520,2481,4002,845,1445,2292,3075,1564,4635,170,274,443,229,453,683,3471,2288,5763,13300,13962,27258,2764,3246,6011,8916,9274,18185,6517,7283,13808
11002,15389,15923,31309,5392,3039,8434,1681,3268,4950,434,522,958,636,517,1154,8144,7354,15500,5778,7077,12854,7.8,7,7.4,52.9,46.2,49.5,48.8,42.9,45.8,116,165,285,98,208,301,717,1444,2167,712,1341,2054,3641,2022,5661,185,305,493,276,463,740,4103,2791,6893,14337,14701,29042,2276,2513,4788,10415,10512,20930,5340,5874,11213
11003,10067,9989,20053,4792,2526,7316,834,2139,2970,354,369,720,394,314,708,6376,5345,11717,2503,3451,5952,6.2,5.9,6,63.3,53.5,58.4,59.4,50.4,54.9,119,123,237,55,155,208,575,1046,1620,437,819,1256,2201,1117,3317,93,172,265,124,258,378,2412,1551,3963,9647,9444,19086,1388,1501,2883,6980,6636,13613,3365,3558,6924
11004,31130,33101,64232,14081,8007,22087,3196,7446,10647,932,1076,2008,1115,1081,2197,19333,17612,36941,9262,12824,22086,5.8,6.1,5.9,62.1,53.2,57.5,58.5,49.9,54.1,456,562,1018,237,560,794,2001,3606,5609,1731,3063,4792,8250,4279,12528,314,737,1045,495,1021,1518,9056,6038,15099,29614,30835,60447,5639,5887,11526,19704,20296,39996,13560,14623,28184
11101,47159,50890,98050,20142,10877,31015,5696,13499,19194,1249,1506,2753,2137,1636,3768,29222,27511,56731,15820,21078,36896,7.3,5.9,6.6,62,54.1,57.9,57.4,50.9,54,1399,1452,2849,578,1063,1639,4990,7214,12203,3706,5156,8864,14492,6129,20619,394,891,1287,873,1708,2578,15763,8727,24487,47417,49942,97353,6753,7180,13935,33994,35633,69623,18163,19574,37739
11102,29752,31778,61527,12173,6435,18610,3198,7772,10968,818,946,1756,1454,1039,2489,17640,16186,33824,10605,13930,24538,8.2,6.4,7.4,59.3,50.9,55,54.4,47.7,50.9,781,750,1532,280,515,793,2174,3541,5719,2147,3279,5428,9547,4401,13947,248,570,822,601,1111,1712,10394,6083,16485,28985,30357,59341,4882,5262,10146,19707,20348,40054,12803,13846,26644
11103,66391,69722,136118,28148,17196,45338,8854,17960,26820,1697,2288,3988,3504,2629,6133,42209,40074,82278,20263,25461,45725,8.3,6.6,7.5,63.6,57.5,60.4,58.3,53.7,55.9,3352,3380,6738,921,1647,2563,9367,12529,21898,4966,6832,11800,16058,7636,23691,633,1020,1655,1067,1767,2834,17761,10422,28184,60857,62607,123464,13398,14063,27465,39764,41202,80966,31716,33121,64840
11201,31161,34113,65274,10241,6236,16480,5277,9197,14473,913,976,1894,1211,965,2177,17644,17373,35020,10422,13460,23884,6.9,5.6,6.2,56.6,50.9,53.7,52.7,48.1,50.3,1014,1219,2234,512,867,1380,3896,5653,9551,2300,4085,6383,7835,3536,11378,238,486,722,576,1073,1651,8655,5097,13751,28026,29594,57624,5402,6273,11675,18559,19440,37996,13591,15180,28771
11202,27778,29417,57199,9445,5776,15221,4019,7060,11086,722,828,1547,1371,1015,2391,15553,14690,30243,9836,12373,22208,8.8,6.9,7.9,56,49.9,52.9,51.1,46.4,48.7,564,634,1190,301,627,924,2247,3661,5907,1500,2748,4252,7011,3886,10899,362,635,991,500,896,1400,7871,5419,13291,26347,27445,53792,4260,4502,8758,18834,19421,38250,10469,11300,21766
11203,36237,39810,76052,12134,6855,18991,4949,9746,14694,953,1094,2045,1439,1280,2720,19476,18978,38450,13934,17719,31653,7.4,6.7,7.1,53.7,47.7,50.6,49.8,44.4,47,727,816,1544,394,749,1140,2931,4595,7529,2496,4224,6727,10204,4662,14867,297,583,881,666,1261,1920,11166,6507,17670,33203,35556,68757,6426,7027,13446,21710,23045,44758,16336,18189,34530
