SA3_CODE_2016,P_Greece_0_4,P_Greece_5_14,P_Greece_15_24,P_Greece_25_44,P_Greece_45_54,P_Greece_55_64,P_Greece_65_74,P_Greece_75_84,P_Greece_85ov,P_Greece_Tot,P_Hong_Kong_0_4,P_Hong_Kong_5_14,P_Hong_Kong_15_24,P_Hong_Kong_25_44,P_Hong_Kong_45_54,P_Hong_Kong_55_64,P_Hong_Kong_65_74,P_Hong_Kong_75_84,P_Hong_Kong_85ov,P_Hong_Kong_Tot,P_India_0_4,P_India_5_14,P_India_15_24,P_India_25_44,P_India_45_54,P_India_55_64,P_India_65_74,P_India_75_84,P_India_85ov,P_India_Tot,P_Indonesia_0_4,P_Indonesia_5_14,P_Indonesia_15_24,P_Indonesia_25_44,P_Indonesia_45_54,P_Indonesia_55_64,P_Indonesia_65_74,P_Indonesia_75_84,P_Indonesia_85ov,P_Indonesia_Tot,P_Iran_0_4,P_Iran_5_14,P_Iran_15_24,P_Iran_25_44,P_Iran_45_54,P_Iran_55_64,P_Iran_65_74,P_Iran_75_84,P_Iran_85ov,P_Iran_Tot,P_Iraq_0_4,P_Iraq_5_14,P_Iraq_15_24,P_Iraq_25_44,P_Iraq_45_54,P_Iraq_55_64,P_Iraq_65_74,P_Iraq_75_84,P_Iraq_85ov,P_Iraq_Tot,P_Ireland_0_4,P_Ireland_5_14,P_Ireland_15_24,P_Ireland_25_44,P_Ireland_45_54,P_Ireland_55_64,P_Ireland_65_74,P_Ireland_75_84,P_Ireland_85ov,P_Ireland_Tot,P_Italy_0_4,P_Italy_5_14,P_Italy_15_24,P_Italy_25_44,P_Italy_45_54,P_Italy_55_64,P_Italy_65_74,P_Italy_75_84,P_Italy_85ov,P_Italy_Tot,P_Japan_0_4,P_Japan_5_14,P_Japan_15_24,P_Japan_25_44,P_Japan_45_54,P_Japan_55_64,P_Japan_65_74,P_Japan_75_84,P_Japan_85ov,P_Japan_Tot,P_Korea_South_0_4,P_Korea_South_5_14,P_Korea_South_15_24,P_Korea_South_25_44,P_Korea_South_45_54,P_Korea_South_55_64,P_Korea_South_65_74,P_Korea_South_75_84,P_Korea_South_85ov,P_Korea_South_Tot,P_Lebanon_0_4,P_Lebanon_5_14,P_Lebanon_15_24,P_Lebanon_25_44,P_Lebanon_45_54,P_Lebanon_55_64,P_Lebanon_65_74,P_Lebanon_75_84,P_Lebanon_85ov,P_Lebanon_Tot,P_Malaysia_0_4,P_Malaysia_5_14,P_Malaysia_15_24,P_Malaysia_25_44,P_Malaysia_45_54,P_Malaysia_55_64,P_Malaysia_65_74,P_Malaysia_75_84,P_Malaysia_85ov,P_Malaysia_Tot,P_Malta_0_4,P_Malta_5_14,P_Malta_15_24,P_Malta_25_44,P_Malta_45_54,P_Malta_55_64,P_Malta_65_74,P_Malta_75_84,P_Malta_85ov,P_Malta_Tot,P_Mauritius_0_4,P_Mauritius_5_14,P_Mauritius_15_24,P_Mauritius_25_44,P_Mauritius_45_54,P_Mauritius_55_64,P_Mauritius_65_74,P_Mauritius_75_84,P_Mauritius_85ov,P_Mauritius_Tot,P_Myanmar_0_4,P_Myanmar_5_14,P_Myanmar_15_24,P_Myanmar_25_44,P_Myanmar_45_54,P_Myanmar_55_64,P_Myanmar_65_74,P_Myanmar_75_84,P_Myanmar_85ov,P_Myanmar_Tot,P_Nepal_0_4,P_Nepal_5_14,P_Nepal_15_24,P_Nepal_25_44,P_Nepal_45_54,P_Nepal_55_64,P_Nepal_65_74,P_Nepal_75_84,P_Nepal_85ov,P_Nepal_Tot,P_Netherlands_0_4,P_Netherlands_5_14,P_Netherlands_15_24,P_Netherlands_25_44,P_Netherlands_45_54,P_Netherlands_55_64,P_Netherlands_65_74,P_Netherlands_75_84,P_Netherlands_85ov,P_Netherlands_Tot,P_New_Zealand_0_4,P_New_Zealand_5_14,P_New_Zealand_15_24,P_New_Zealand_25_44,P_New_Zealand_45_54,P_New_Zealand_55_64,P_New_Zealand_65_74,P_New_Zealand_75_84,P_New_Zealand_85ov,P_New_Zealand_Tot,P_Nthern_Ireland_0_4,P_Nthern_Ireland_5_14,P_Nthern_Ireland_15_24,P_Nthern_Ireland_25_44,P_Nthern_Ireland_45_54,P_Nthern_Ireland_55_64,P_Nthern_Ireland_65_74,P_Nthern_Ireland_75_84,P_Nthern_Ireland_85ov,P_Nthern_Ireland_Tot,P_Pakistan_0_4,P_Pakistan_5_14,P_Pakistan_15_24,P_Pakistan_25_44,P_Pakistan_45_54,P_Pakistan_55_64,P_Pakistan_65_74,P_Pakistan_75_84,P_Pakistan_85ov,P_Pakistan_Tot
10304,0,0,0,5,3,4,15,11,0,42,0,0,0,10,8,12,4,0,0,36,8,32,23,263,20,17,15,3,0,385,0,4,0,12,8,0,4,0,3,31,0,0,3,15,4,3,0,0,0,24,0,0,0,8,0,0,0,0,0,11,0,5,0,22,13,3,12,4,0,68,0,0,0,8,9,27,26,34,11,115,0,0,0,10,5,3,0,0,0,18,0,6,7,47,7,3,0,0,0,70,0,0,0,0,0,3,0,0,0,12,0,0,3,12,9,13,3,0,0,39,0,0,0,0,0,7,6,0,0,12,0,0,0,0,0,0,0,0,0,4,0,0,3,6,0,0,0,3,0,9,0,6,11,82,11,0,0,0,0,105,0,0,3,4,6,18,47,23,14,113,10,31,38,139,117,108,64,28,5,531,0,4,0,3,0,0,7,4,3,22,0,6,3,20,0,4,0,0,0,37
10401,0,0,0,0,3,5,0,3,0,12,0,0,0,3,13,9,0,0,0,31,0,9,0,47,8,8,8,8,0,87,0,0,0,9,4,3,3,3,3,26,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,3,0,0,0,3,4,9,12,5,3,38,0,0,0,3,3,5,6,5,3,38,0,3,0,11,4,3,0,0,0,21,0,0,0,5,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,7,7,6,7,0,0,29,0,0,0,0,0,10,8,3,0,26,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,11,0,0,0,0,0,11,0,0,0,12,11,30,62,33,16,162,3,20,14,95,92,153,111,33,18,553,0,0,0,0,0,6,8,3,0,28,0,0,0,3,0,0,0,0,0,10
10402,0,0,0,0,5,6,3,0,5,19,3,0,9,21,6,17,8,0,0,74,16,50,75,559,129,124,78,30,15,1063,0,0,3,20,8,5,8,0,4,52,0,12,18,7,0,0,0,0,0,44,0,0,0,4,0,3,0,0,0,13,0,18,10,66,25,26,24,12,5,183,0,3,3,13,11,15,50,29,17,146,3,11,8,31,10,7,3,4,0,75,0,6,17,40,6,0,0,0,0,66,0,0,0,0,3,7,0,0,3,14,24,22,4,36,23,15,10,4,0,134,0,0,0,0,0,15,30,7,4,47,0,0,0,0,4,5,0,0,0,13,0,38,62,148,43,9,4,3,0,307,0,0,3,9,0,0,0,0,0,7,0,0,10,16,28,61,110,70,20,308,8,44,69,285,224,276,200,78,25,1214,0,3,0,11,10,8,16,15,3,75,3,24,21,11,9,8,3,0,0,70
10501,0,0,0,0,0,3,4,0,0,10,0,0,0,0,3,0,3,0,0,7,6,3,4,52,3,0,3,0,0,72,0,0,0,6,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,4,6,3,0,0,33,0,0,0,0,0,0,4,3,5,9,0,0,0,3,0,0,0,0,0,9,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,3,4,0,0,0,0,13,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,4,0,27,0,0,0,0,0,28,0,0,0,3,0,3,13,0,0,26,0,7,11,57,47,42,14,11,3,193,0,0,0,3,3,3,0,3,0,10,0,7,0,21,5,4,0,0,0,31
10502,0,0,0,0,0,0,10,5,0,10,0,0,0,3,0,0,0,0,0,4,3,3,0,39,4,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,4,0,0,0,12,0,0,0,0,0,3,12,7,6,35,3,0,0,3,0,0,0,0,0,7,0,0,0,8,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,0,0,0,0,0,3,14,5,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,7,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,6,9,3,0,21,0,3,7,25,22,12,17,4,0,91,0,0,0,4,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3
10503,0,0,0,3,3,6,10,12,0,34,0,0,3,5,3,8,3,0,0,28,17,34,13,288,28,21,10,4,0,421,4,0,3,19,0,3,3,0,0,31,0,0,0,24,0,3,0,0,0,27,0,0,0,8,0,0,0,0,0,11,0,9,0,20,3,4,13,4,3,52,0,3,0,4,4,8,18,10,3,55,0,3,0,6,0,0,3,0,0,9,0,3,9,46,0,0,3,0,0,59,0,0,0,5,3,7,9,3,0,38,0,0,3,21,14,8,5,3,0,54,0,0,0,0,0,3,8,0,0,16,0,0,0,0,7,0,0,0,0,5,0,0,0,4,0,3,0,0,0,9,0,16,14,178,3,0,0,0,0,207,0,0,0,12,5,18,44,26,8,104,3,19,48,154,92,81,84,18,6,506,0,6,4,9,3,9,8,3,0,39,9,9,11,46,4,3,0,0,0,73
10601,0,0,0,0,0,9,0,4,0,16,0,0,3,7,12,10,5,0,0,39,5,5,4,88,8,7,20,3,3,142,0,0,3,16,9,7,6,0,0,40,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,13,0,29,6,15,23,13,3,105,0,0,3,6,0,18,21,8,3,54,0,0,0,4,3,3,6,0,0,18,3,0,3,18,3,0,0,0,0,30,0,0,0,4,8,4,6,0,4,24,0,3,3,29,14,13,3,0,0,64,0,0,0,0,3,11,24,3,0,36,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,9,0,3,4,7,13,29,58,23,8,145,3,54,69,290,247,191,120,29,3,1001,0,3,0,13,4,3,4,13,0,36,0,0,4,10,6,8,3,0,0,26
10602,0,0,0,0,3,4,13,3,0,28,0,0,3,13,9,17,0,0,0,42,4,39,15,248,45,21,15,9,0,398,0,3,3,16,7,3,6,0,3,42,0,0,0,7,0,0,0,0,0,6,0,3,0,3,0,0,0,0,0,14,3,5,0,28,10,11,15,11,4,80,0,0,0,4,5,7,12,14,10,61,0,0,3,3,5,4,0,0,0,12,0,0,3,33,0,3,0,0,0,41,0,0,0,4,7,0,0,0,0,10,3,3,8,34,28,11,0,3,0,82,0,0,0,3,0,5,11,5,0,27,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0,9,0,0,0,13,5,25,47,24,3,110,9,46,56,270,151,118,71,20,3,757,0,0,0,7,7,10,4,9,0,43,0,6,8,18,17,7,0,0,0,58
10603,0,0,0,0,8,15,20,15,3,55,0,6,0,17,6,8,0,3,0,47,0,4,7,56,7,9,6,14,0,113,0,0,0,11,3,3,5,3,0,30,0,0,0,0,0,3,0,0,0,4,0,0,0,0,3,4,0,3,0,10,0,11,3,28,27,13,25,16,8,121,0,0,3,5,11,16,52,31,9,123,0,4,0,15,3,4,3,3,0,30,3,7,10,19,11,0,0,0,0,46,0,0,0,3,3,3,0,3,0,16,0,4,0,55,29,30,16,3,0,138,0,0,0,3,7,22,46,13,0,89,0,0,0,11,8,15,12,5,3,54,0,0,0,0,0,0,0,0,0,3,0,8,3,13,0,0,0,0,0,25,0,3,0,11,18,29,109,63,21,245,3,36,35,213,176,201,179,58,13,920,0,0,0,4,5,12,23,6,7,58,0,0,0,12,0,0,3,0,0,16
10604,0,0,0,0,0,4,0,0,0,7,0,0,3,6,0,3,0,0,0,12,5,9,3,59,11,16,7,0,0,107,0,0,0,8,0,0,0,0,0,7,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,7,12,57,11,12,6,4,3,117,0,0,0,0,0,5,5,6,0,21,0,0,0,4,0,0,0,0,0,10,0,0,0,11,0,0,0,0,0,11,0,0,0,3,5,4,0,0,0,10,0,0,0,12,8,5,0,0,0,29,0,0,0,0,0,0,5,3,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,9,0,0,0,9,0,0,0,0,0,10,0,0,0,3,0,15,15,10,0,44,3,21,27,128,88,73,44,18,3,400,0,0,0,4,3,6,5,3,0,16,0,0,0,10,0,0,0,0,0,10
10701,0,0,0,9,27,40,67,83,26,251,0,0,0,12,3,7,3,0,0,34,4,16,13,126,29,22,13,12,4,240,0,3,3,23,18,6,3,3,0,64,0,0,4,16,6,5,3,0,0,39,3,11,9,27,5,3,6,3,0,67,0,9,3,31,17,14,24,27,3,134,0,0,3,24,50,207,259,377,190,1112,0,0,4,0,4,0,0,0,0,15,0,3,8,29,17,9,3,0,0,72,3,7,18,123,62,53,48,11,0,324,0,0,3,18,20,17,10,4,0,67,0,0,0,4,14,55,102,93,16,286,0,0,0,5,3,0,0,3,0,9,0,0,0,4,0,0,0,0,0,6,0,0,7,11,3,0,3,0,0,22,0,0,0,5,13,35,108,53,27,245,10,52,91,224,154,107,73,20,13,739,0,0,0,4,6,12,16,14,3,54,0,3,4,12,0,3,3,0,0,26
10702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10703,0,0,0,8,11,34,35,41,11,128,3,8,3,11,6,12,3,7,0,47,5,6,13,109,19,20,18,7,0,206,0,4,5,20,5,5,8,3,3,53,0,0,0,18,6,5,7,3,0,38,0,3,3,3,10,0,3,0,0,20,0,19,5,50,26,31,36,34,12,212,0,0,3,11,67,123,127,119,49,498,0,9,3,14,8,3,0,0,0,36,0,5,11,31,5,0,0,3,0,60,0,0,0,8,9,23,8,4,5,59,0,3,8,28,10,7,4,0,0,65,0,0,0,8,16,84,117,43,19,287,0,0,0,6,5,7,0,0,0,20,0,0,0,0,0,0,3,0,0,10,0,0,0,3,0,0,0,0,0,3,0,0,5,15,12,54,133,76,34,333,7,41,62,304,189,181,99,31,7,922,0,3,3,5,12,24,28,18,6,98,0,3,4,19,9,4,4,0,0,47
