SA3_CODE_2016,O_OR_DS_Sep_house,O_OR_DS_SemiD_ro_or_tce_h_th,O_OR_DS_Flat_apart,O_OR_DS_Oth_dwell,O_OR_DS_not_stated,O_OR_Total,O_MTG_DS_Sep_house,O_MTG_DS_SemiD_ro_or_tce_h_th,O_MTG_DS_Flat_apart,O_MTG_DS_Oth_dwell,O_MTG_DS_not_stated,O_MTG_Total,R_RE_Agt_DS_Sep_house,R_RE_Ag_DS_SemD_ro_or_tc_h_th,R_RE_Agt_DS_Flat_apart,R_RE_Agt_DS_Oth_dwell,R_RE_Agt_DS_not_stated,R_RE_Agt_Total,R_ST_h_auth_DS_Sep_house,R_ST_h_au_DS_SD_ro_or_tc_h_th,R_ST_h_auth_DS_Flat_apart,R_ST_h_auth_DS_Oth_dwell,R_ST_h_auth_DS_not_stated,R_ST_h_auth_Total,R_Psn_not_in_s_hh_DS_Sep_hous,R_P_not_in_s_h_DS_SD_ro_t_h_t,R_P_not_in_s_hh_DS_Flat_apart,R_Psn_not_in_s_hh_DS_Oth_dwel,R_Psn_not_in_s_hh_DS_NS,R_Psn_not_in_s_hh_Total,R_Hs_cop_cty_ch_gp_DS_Sp_ho,R_Hs_c_ct_ch_g_DS_SD_ro_t_h_t,R_Hse_cp_cty_ch_g_DS_Flt_apt,R_Hs_cop_cty_ch_gp_DS_Ot_dwel,R_Hse_coop_cty_ch_gp_DS_NS,R_Hse_coop_cty_ch_gp_Total,R_Ot_landld_typ_DS_Sep_house,R_O_LLd_typ_DS_SD_ro_tc_h_th,R_Ot_LLd_typ_DS_Flat_apart,R_Ot_landld_typ_DS_Oth_dwell,R_Ot_landld_typ_DS_not_stated,R_Ot_landld_typ_Total,R_Landld_typ_NS_DS_Sep_house,R_Ld_typ_NS_DS_SD_ro_tce_h_th,R_LLd_typ_NS_DS_Flat_apart,R_Landld_typ_NS_DS_Oth_dwell,R_Landld_typ_NS_DS_not_stated,R_Landld_typ_NS_Total,R_Tot_DS_Sep_house,R_Tot_DS_SemiD_ro_or_tce_h_th,R_Tot_DS_Flat_apart,R_Tot_DS_Oth_dwell,R_Tot_DS_not_stated,R_Tot_Total,Oth_ten_type_DS_Sep_house,Oth_ten_ty_DS_SD_ro_tce_h_th,Oth_ten_type_DS_Flat_apart,Oth_ten_type_DS_Oth_dwell,Oth_ten_type_DS_not_stated,Oth_ten_type_Total,Ten_type_NS_DS_Sep_house,Ten_ty_NS_DS_SD_ro_tce_h_t,Ten_ty_NS_DS_Flat_apart,Ten_type_NS_DS_Oth_dwell,Ten_type_NS_DS_not_stated,Ten_type_NS_Total,Total_DS_Sep_house,Total_DS_SemiD_ro_or_tce_h_th,Total_DS_Flat_apart,Total_DS_Oth_dwell,Total_DS_not_stated,Total_Total
10304,6521,228,63,38,15,6864,6837,105,36,10,20,7004,2643,674,320,8,14,3660,526,214,105,0,0,853,992,85,35,6,10,1130,31,42,26,0,11,119,146,11,11,10,9,182,101,15,4,0,3,120,4453,1036,503,26,49,6065,78,21,22,6,9,128,506,64,35,7,87,696,18380,1452,652,84,182,20755
10401,7643,306,190,350,50,8540,4989,90,60,63,26,5228,1768,341,397,28,15,2546,234,73,72,0,0,388,1109,110,145,30,19,1409,117,73,18,3,0,205,125,20,15,77,8,248,97,19,3,10,3,133,3446,647,645,146,49,4939,99,12,5,7,3,123,486,43,48,36,14,621,16660,1088,947,594,145,19441
10402,10235,940,505,438,79,12189,8250,481,274,28,59,9091,2845,1115,1302,16,54,5334,573,330,279,0,3,1186,1601,293,252,42,43,2233,102,91,36,3,3,236,184,38,31,134,20,401,133,16,16,8,7,184,5444,1888,1921,200,127,9579,214,83,36,7,7,351,574,153,127,50,54,953,24717,3543,2863,720,328,32171
10501,2888,7,22,163,35,3116,1628,3,9,18,24,1676,387,20,84,3,4,501,470,16,47,0,14,554,659,13,52,21,15,761,380,3,57,0,12,451,586,32,102,17,13,748,169,0,17,9,7,195,2657,88,355,45,63,3206,114,0,3,24,3,142,353,0,25,39,23,434,7641,98,408,286,142,8581
10502,3296,31,11,10,12,3359,2185,18,0,4,7,2219,561,50,41,0,0,658,144,29,30,0,0,202,604,32,30,0,6,664,58,4,21,0,0,89,250,12,24,7,3,297,82,0,5,0,0,95,1700,126,151,12,10,1998,65,4,7,0,0,73,285,7,21,8,6,340,7530,185,197,37,42,7995
10503,8041,165,175,144,48,8571,7423,102,54,106,39,7725,2478,542,624,44,17,3708,689,112,195,3,4,1002,1522,75,83,31,12,1729,120,58,55,0,0,236,303,16,30,25,19,390,213,10,15,0,3,237,5321,811,995,112,64,7302,149,27,110,7,4,298,623,28,74,35,12,770,21553,1135,1411,393,168,24663
10601,9680,320,43,67,48,10161,10741,158,39,29,46,11012,3753,1004,320,18,40,5129,622,236,112,0,3,967,1336,100,47,18,15,1509,23,40,3,0,0,68,265,29,3,29,12,334,159,11,3,3,3,184,6154,1421,486,70,69,8201,149,48,8,0,0,207,676,110,26,9,21,842,27400,2059,601,171,189,30417
10602,6952,432,35,27,142,7587,9751,246,29,17,27,10070,3613,1037,337,19,19,5026,739,307,113,3,3,1166,857,137,29,4,4,1038,27,29,25,0,6,83,255,18,11,23,11,317,64,15,4,0,3,81,5550,1546,518,57,39,7711,91,108,0,0,58,255,431,69,20,8,112,636,22775,2399,602,109,379,26258
10603,8387,1185,263,301,44,10180,7361,516,88,39,21,8021,2562,1138,402,23,14,4141,475,160,73,0,0,715,899,214,77,17,12,1222,41,89,16,0,0,144,430,64,12,84,8,599,81,19,12,7,0,113,4487,1690,585,133,41,6939,198,101,17,9,3,332,498,120,54,127,24,825,20932,3610,1002,616,132,26292
10604,3161,67,32,62,24,3347,3368,37,20,7,16,3444,1600,376,135,0,15,2124,270,90,44,0,0,411,628,22,25,3,9,692,51,15,8,0,0,78,250,10,7,15,14,299,124,9,0,0,3,137,2926,531,228,20,39,3739,67,13,0,0,7,83,244,27,25,4,12,311,9758,666,300,100,95,10929
10701,9127,545,137,23,10,9840,8469,325,112,14,20,8938,2122,471,527,25,17,3164,1304,414,479,4,0,2203,932,147,131,5,15,1236,38,35,33,4,0,115,93,21,23,12,9,158,61,13,22,3,0,103,4544,1107,1219,56,41,6972,95,105,16,0,0,214,586,88,115,20,10,819,22823,2164,1604,114,83,26788
10702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
10703,9881,1134,312,258,65,11651,9806,878,151,22,28,10886,2438,1184,603,20,17,4268,1093,435,149,0,4,1683,972,258,122,27,3,1382,46,49,34,0,3,129,84,18,15,46,5,168,71,26,14,3,4,113,4704,1972,940,96,40,7748,81,65,117,3,27,295,506,140,58,27,14,755,24973,4193,1583,407,173,31327
10704,12101,1598,1915,173,102,15882,11066,1338,1612,30,46,14100,2447,1891,4702,87,50,9171,878,1153,1057,3,4,3095,1078,463,805,35,22,2402,48,96,112,3,0,269,86,42,82,34,3,255,103,35,71,7,6,225,4643,3692,6830,166,84,15407,123,141,153,14,33,465,628,216,339,17,120,1317,28556,6985,10849,395,384,47170
10801,4708,894,304,205,36,6140,2668,158,108,20,16,2969,920,291,617,30,16,1871,33,123,89,3,0,244,498,114,106,11,5,737,51,47,32,0,0,127,60,14,11,33,8,127,62,5,6,6,0,84,1618,590,857,88,34,3184,81,47,6,0,7,144,306,72,64,28,3,484,9381,1756,1344,343,98,12919
10802,7385,165,187,309,52,8100,4554,56,50,25,36,4714,1663,269,400,27,14,2376,443,57,99,0,0,601,1063,51,55,29,22,1218,126,55,32,0,0,213,118,12,13,61,9,213,133,4,3,4,4,158,3550,446,610,123,53,4779,99,13,9,3,3,130,494,34,51,25,25,628,16075,718,898,490,173,18344
10803,48,0,0,0,0,48,29,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,17,0,0,0,0,0,0,19,0,0,0,0,19,7,0,0,0,0,7,42,0,0,0,0,42,3,0,0,0,0,3,13,0,0,0,0,13,132,0,0,0,0,132
10804,10366,1353,768,461,64,13013,7310,508,275,31,35,8162,2615,1078,1186,36,25,4934,335,293,323,0,3,957,1070,247,259,23,17,1616,55,86,46,0,5,189,109,42,40,106,8,304,98,21,38,4,5,169,4285,1762,1892,166,62,8161,154,224,194,7,0,577,543,184,169,42,23,956,22650,4026,3293,706,189,30864
10805,8469,503,129,205,50,9355,5217,103,42,31,31,5420,2134,502,466,27,28,3160,400,69,134,3,3,610,988,82,63,16,8,1167,56,64,45,0,0,172,97,26,13,58,5,186,115,7,6,4,0,137,3792,753,730,111,46,5428,117,100,3,6,0,227,479,78,38,27,20,649,18079,1526,944,371,152,21079
10901,6850,465,30,48,16,7411,7222,328,20,8,21,7604,2571,1898,269,17,14,4775,508,170,23,0,10,713,980,249,27,12,13,1279,63,68,3,0,3,138,143,23,11,21,3,202,98,16,3,4,0,118,4361,2431,336,50,43,7225,221,14,0,3,4,244,480,129,32,4,3,655,19140,3374,416,121,95,23140
10902,1715,9,25,53,13,1812,1196,8,9,8,9,1229,237,19,98,0,4,354,84,7,7,0,0,99,368,19,14,10,4,418,54,7,18,0,0,82,149,3,25,16,8,202,53,0,5,3,0,68,948,66,165,35,17,1224,44,0,0,11,3,51,157,3,11,11,5,195,4057,79,208,108,43,4502
10903,6354,171,177,207,24,6933,4445,41,45,26,16,4569,1309,143,412,19,13,1894,137,11,27,0,9,190,963,53,90,26,13,1137,56,21,38,0,0,120,312,22,24,40,3,399,157,4,12,5,0,186,2933,256,602,95,38,3919,118,39,17,16,3,188,472,33,53,22,16,592,14322,530,892,358,101,16202
11001,4638,104,22,29,35,4827,3435,54,15,11,22,3531,1523,549,297,9,17,2400,312,93,116,0,3,525,754,58,53,5,13,888,58,14,37,0,0,115,234,9,8,14,6,264,143,9,4,4,3,163,3026,738,517,28,48,4355,105,3,9,3,3,123,288,33,32,5,12,365,11492,930,589,78,117,13211
11002,5992,37,50,84,56,6220,3722,14,10,26,39,3812,1390,136,276,9,17,1821,269,15,47,0,3,331,998,18,51,13,12,1085,80,36,58,0,33,202,225,3,15,33,5,271,184,10,7,6,7,220,3143,209,444,57,74,3931,117,3,0,8,5,123,458,17,39,18,21,545,13436,278,543,187,191,14635
11003,2594,76,42,56,7,2778,2251,59,24,13,16,2362,647,143,274,4,7,1076,344,14,122,0,0,478,673,40,67,12,10,800,148,10,39,0,0,196,445,11,37,29,8,530,156,10,9,7,3,178,2414,228,548,54,25,3262,72,11,11,0,0,100,312,25,51,24,7,418,7647,402,665,148,48,8915
11004,9785,279,48,134,36,10277,8680,100,28,68,43,8915,3567,1039,403,82,27,5123,518,190,128,100,8,953,1767,129,68,27,22,2019,112,56,22,3,3,194,475,23,20,37,16,573,247,23,15,7,3,288,6688,1458,659,260,76,9141,207,33,10,7,6,259,726,127,52,31,13,944,26085,1996,787,495,178,29544
11101,14901,1852,456,197,13,17418,14866,644,207,26,16,15767,3731,1272,701,27,30,5764,1164,672,448,3,0,2282,1510,352,139,16,7,2024,38,75,65,3,0,182,80,38,13,32,4,167,118,16,10,3,0,144,6639,2424,1371,86,42,10562,143,128,87,0,0,366,727,180,95,14,17,1032,37280,5239,2221,318,87,45146
11102,8891,642,141,131,14,9812,9869,163,28,6,14,10080,2863,310,141,27,12,3362,603,208,78,3,0,892,1158,66,42,11,6,1288,88,94,42,3,3,233,114,30,4,91,10,249,82,11,7,0,0,100,4917,721,312,145,34,6126,174,207,40,3,0,428,534,90,20,31,12,699,24387,1831,548,313,74,27146
11103,16458,1996,823,38,44,19358,17349,1573,840,20,30,19812,6426,3026,3184,94,77,12809,877,1292,1475,10,19,3677,2724,723,752,25,39,4266,119,187,124,0,8,435,307,91,76,6,11,496,159,52,53,0,0,265,10613,5383,5660,135,160,21946,247,145,51,0,8,456,1029,260,295,13,38,1638,45693,9358,7670,211,276,63212
11201,9310,1326,298,563,94,11587,6863,821,213,42,58,7990,2308,1407,659,35,35,4447,271,346,123,0,3,746,1889,460,251,109,35,2742,100,87,25,0,0,211,130,39,12,159,10,344,152,39,16,7,0,215,4854,2380,1078,314,83,8705,215,112,8,8,3,351,595,193,61,58,49,956,21839,4827,1654,981,283,29589
11202,9186,313,145,255,43,9939,7612,171,76,93,31,7980,2270,595,629,26,19,3533,444,168,108,0,0,727,1845,161,152,49,22,2234,103,109,67,0,3,286,180,18,11,82,9,295,173,13,14,14,0,222,5018,1066,990,175,52,7294,165,31,34,16,0,244,615,68,90,34,11,816,22595,1644,1330,565,139,26275
11203,9637,2330,1249,861,86,14166,8250,1171,442,44,38,9945,2207,1396,1456,12,23,5089,239,395,263,0,0,898,1534,582,401,42,38,2593,52,85,25,3,0,157,162,63,50,164,15,446,136,46,31,6,6,226,4324,2561,2216,230,82,9413,151,154,67,5,44,421,560,280,206,70,29,1138,22929,6489,4180,1211,282,35089
11301,5556,152,106,67,37,5905,4505,56,63,20,25,4669,1501,257,643,12,14,2432,395,33,55,3,0,492,1174,56,117,12,16,1374,50,13,32,0,5,101,390,23,66,45,16,542,163,5,15,0,0,185,3672,382,933,74,52,5118,111,22,3,3,3,140,487,41,84,18,6,636,14326,651,1184,180,127,16474
11302,2218,25,15,14,14,2285,1553,0,10,3,6,1571,449,45,70,0,8,570,143,7,17,0,0,161,357,10,22,0,5,395,17,16,0,0,0,34,96,3,13,4,3,118,49,4,3,0,0,55,1108,91,117,3,16,1335,35,10,0,0,0,39,135,6,14,8,4,170,5047,135,153,32,41,5403
11303,10818,248,277,82,45,11470,10389,95,143,52,37,10707,3546,475,1381,66,17,5486,1051,39,224,0,3,1317,1888,87,163,36,12,2187,53,43,85,0,3,186,531,18,29,30,4,612,229,8,24,4,5,270,7291,676,1914,137,44,10061,208,82,50,3,5,346,847,55,114,24,8,1054,29552,1154,2488,293,143,33640
11401,15066,649,181,699,98,16699,9876,190,75,42,45,10234,3810,864,350,17,24,5063,801,345,121,0,3,1269,1776,164,92,33,29,2091,157,101,27,0,8,292,416,12,4,127,24,589,186,21,8,10,6,230,7144,1506,607,185,87,9526,284,126,27,13,16,462,935,109,70,62,26,1204,33301,2585,963,1002,276,38127
11402,7136,424,41,78,54,7739,5689,97,28,9,23,5841,1563,285,150,9,16,2015,259,75,36,0,0,369,667,66,31,8,9,774,64,41,18,0,0,112,107,0,0,8,10,132,97,3,3,3,3,108,2751,470,234,27,37,3519,158,29,5,3,3,194,384,32,16,18,14,475,16123,1055,324,136,130,17770
11501,13902,1423,632,3,11,15974,16975,1948,582,8,22,19533,3249,1449,1049,6,22,5775,37,74,8,0,3,125,733,211,145,0,4,1101,33,102,121,0,6,265,77,66,10,0,3,157,62,14,8,0,3,92,4184,1929,1345,4,45,7509,189,391,405,0,3,985,496,101,103,0,11,721,35745,5786,3075,22,96,44721
11502,3100,119,110,60,14,3412,2944,96,23,16,11,3089,453,46,20,14,4,539,4,0,4,0,0,7,328,12,6,5,8,361,8,11,15,0,0,34,40,0,0,28,0,66,56,3,4,3,0,70,883,74,48,48,22,1071,77,27,12,3,0,121,134,11,11,8,7,175,7147,328,199,138,58,7867
11503,2629,3,7,10,23,2668,3825,0,0,13,18,3851,457,10,16,0,4,476,3,0,0,0,0,4,278,3,8,4,13,300,3,6,0,0,0,9,28,3,0,43,7,79,44,0,0,3,4,51,812,17,19,49,23,920,38,0,0,0,0,44,145,3,0,9,13,161,7443,26,29,75,80,7649
11504,2341,207,13,24,15,2608,4444,594,20,8,11,5078,942,163,82,3,5,1195,5,3,3,0,0,16,237,30,14,3,4,292,4,3,3,0,0,14,84,6,0,16,0,105,24,3,0,0,0,35,1299,211,101,19,15,1653,41,8,0,0,0,44,159,18,3,7,8,202,8281,1033,146,59,55,9577
11601,10559,538,124,10,3,11236,13278,2001,423,10,22,15739,5406,1398,1393,29,51,8278,1774,1004,520,0,3,3303,1549,281,154,22,27,2029,69,94,45,0,0,212,171,29,20,3,3,230,131,24,23,3,0,180,9097,2835,2158,61,84,14231,173,52,33,0,0,260,981,186,119,0,29,1320,34091,5605,2863,78,145,42788
11602,3823,1249,47,126,16,5262,10439,3867,327,32,45,14703,2971,1332,317,17,37,4673,178,97,11,0,0,283,571,216,38,12,12,838,52,16,0,0,0,66,112,37,0,41,0,204,50,20,4,4,0,73,3929,1719,370,74,50,6143,59,35,0,3,0,94,392,87,9,56,23,573,18636,6945,763,293,136,26768
11603,5985,299,78,3,3,6370,10954,1117,202,18,13,12306,4343,1169,880,40,19,6450,2756,905,428,4,7,4095,1136,188,76,16,11,1421,94,67,22,0,0,189,127,40,12,3,6,188,100,11,15,0,0,130,8562,2383,1437,61,40,12475,172,37,7,0,0,221,772,120,83,0,15,987,26445,3955,1807,79,72,32360
11701,2453,453,1051,10,10,3976,1915,774,1972,16,10,4686,557,285,3752,60,29,4689,105,455,795,0,0,1360,198,73,513,23,15,816,25,14,38,0,0,83,17,25,98,3,4,145,19,14,36,0,0,65,932,867,5228,87,45,7157,36,19,51,0,0,103,152,64,270,6,10,500,5484,2176,8571,118,78,16424
11702,2418,1524,690,36,12,4689,2009,2300,1560,25,23,5914,846,1316,4221,222,69,6670,79,58,498,0,0,631,340,351,653,74,26,1442,41,44,84,3,0,171,22,26,46,8,3,100,25,10,47,4,0,86,1338,1806,5546,314,100,9107,23,36,41,0,0,108,180,151,240,21,43,634,5972,5822,8080,405,174,20447
11703,734,3868,7556,50,41,12247,517,5071,11905,45,59,17601,270,5339,31204,247,159,37223,62,1634,4863,0,24,6580,105,1704,6131,90,67,8101,11,127,1048,11,14,1212,13,81,797,19,25,932,16,95,353,3,3,467,476,8988,44388,373,296,54514,17,116,419,6,0,555,93,577,1986,45,180,2884,1829,18621,66252,519,579,87796
11801,4558,3654,5810,106,67,14201,3001,3560,4896,63,47,11566,588,1979,12798,226,49,15647,4,15,438,0,4,463,282,656,3046,81,28,4101,8,26,109,0,0,148,30,29,152,8,6,235,38,54,189,7,0,295,960,2771,16738,329,89,20887,54,66,226,0,18,360,207,249,930,20,30,1436,8779,10310,28600,514,251,48449
11802,6652,2598,3870,51,21,13193,4306,2879,4352,65,40,11643,1195,1465,13066,224,48,15993,112,531,2435,0,0,3081,521,413,2465,79,26,3511,39,31,283,3,0,351,61,107,264,9,0,438,52,24,159,3,0,243,1977,2574,18669,320,81,23610,77,49,233,3,0,361,307,207,981,13,52,1568,13316,8306,28104,452,191,50373
11901,13404,2095,891,36,18,16442,10965,4077,1575,40,43,16699,3486,2019,2701,112,52,8374,1881,1229,1682,0,11,4803,1622,531,412,35,31,2629,105,138,214,0,0,458,324,88,71,15,10,504,173,45,35,7,3,269,7593,4053,5122,164,108,17037,174,69,114,3,0,361,981,280,307,9,29,1613,33117,10573,8003,253,199,52154
11902,9478,972,1811,30,19,12312,6975,1668,2774,32,29,11475,2373,999,8380,112,55,11922,359,547,744,5,0,1650,956,271,983,24,20,2257,67,85,101,0,0,251,169,42,188,9,9,415,120,45,92,3,7,261,4053,1991,10481,149,87,16755,113,44,94,4,3,259,686,162,551,11,24,1448,21308,4837,15708,226,163,42240
11903,10645,1740,1802,19,23,14218,8213,1701,2982,26,23,12935,2136,910,5622,84,45,8795,377,614,1342,0,4,2335,761,205,1019,36,20,2041,45,92,128,0,0,264,84,59,90,13,4,256,93,24,62,0,0,176,3501,1895,8267,136,66,13862,113,56,116,3,0,294,529,159,381,6,39,1112,23001,5547,13540,185,148,42420
11904,9611,2103,2871,84,15,14686,6689,1949,5014,33,29,13711,2208,1209,9660,198,52,13314,131,123,649,3,0,902,819,301,1355,72,32,2569,58,63,97,0,5,223,96,43,125,26,6,301,86,26,89,9,4,215,3395,1767,11967,299,92,17516,116,39,119,3,5,285,588,173,585,22,29,1395,20399,6026,20564,436,170,47593
12001,6019,791,2946,29,26,9812,4196,1053,3933,55,19,9262,1200,621,6528,145,45,8537,84,191,459,0,4,740,392,109,978,51,16,1547,23,15,99,0,8,151,25,58,146,3,7,238,46,17,65,3,3,139,1771,1017,8276,209,80,11348,47,13,87,3,7,156,259,67,318,11,19,673,12290,2936,15560,306,151,31246
12002,1303,3509,719,23,28,5584,1430,4358,991,35,27,6837,584,2439,2943,96,38,6102,27,294,592,0,3,914,135,596,442,49,23,1244,8,12,77,0,0,101,5,42,31,3,3,96,6,34,50,3,0,101,773,3417,4133,159,74,8558,16,43,20,0,3,92,69,208,156,13,11,448,3595,11535,6022,226,142,21515
12003,9503,1808,2891,63,24,14290,6236,2089,5149,106,41,13620,1959,1289,13003,287,116,16656,115,257,730,0,3,1096,777,341,2174,76,49,3420,78,55,249,0,8,395,82,42,264,11,15,420,82,37,139,7,4,268,3095,2022,16560,378,200,22258,106,39,179,0,0,335,470,137,857,32,196,1690,19406,6103,25633,582,466,52190
12101,8320,856,3273,8,15,12477,6721,946,4328,5,13,12013,1608,635,9279,46,27,11599,29,81,428,0,0,541,606,192,1396,18,18,2224,17,23,148,0,0,193,44,24,146,4,28,240,71,10,91,0,3,175,2370,965,11489,67,76,14969,85,17,236,0,3,344,306,52,423,5,10,802,17808,2836,19751,86,121,40605
12102,7135,568,936,5,20,8667,8425,676,1812,3,12,10924,1577,377,2971,20,30,4969,69,168,300,0,0,536,617,102,492,11,9,1226,21,16,161,0,0,198,56,17,36,3,0,118,49,3,39,0,3,91,2386,689,3993,34,41,7143,48,26,66,0,0,139,296,52,145,3,27,525,18292,2007,6957,44,98,27397
12103,12909,906,2389,0,19,16224,12000,302,2197,6,12,14511,2039,194,2769,10,14,5030,21,0,11,0,0,26,698,48,484,3,11,1251,41,11,104,0,3,162,67,7,74,4,6,159,78,10,33,0,0,122,2938,277,3473,15,47,6750,138,23,290,0,3,453,397,50,167,0,9,632,28383,1560,8518,21,84,38566
