SA2_MAINCODE_2016,C11_F_u_a_a_h_FH_One_PFam,C11_F_u_a_a_h_FH_oth_fa,C11_F_u_a_a_h_FH_Tot,C11_F_u_a_a_h_LP_H,C11_F_u_a_a_h_GH,C11_F_u_a_a_h_OH,C11_F_u_a_a_h_Tot,C11_F_u_a_T_FH_CF_no_ch,C11_F_u_a_T_FH_CF_w_ch,C11_F_u_a_T_FH_One_PFam,C11_F_u_a_T_FH_oth_fa,C11_F_u_a_T_FH_Tot,C11_F_u_a_T_LP_H,C11_F_u_a_T_GH,C11_F_u_a_T_OH,C11_F_u_a_T_Tot,C11_OD_C_c_hb_FH_CF_no_ch,C11_OD_C_c_hb_FH_CF_w_ch,C11_OD_C_c_hb_FH_One_PFam,C11_OD_C_c_hb_FH_oth_fa,C11_OD_C_c_hb_FH_Tot,C11_OD_C_c_hb_LP_H,C11_OD_C_c_hb_GH,C11_OD_C_c_hb_OH,C11_OD_C_c_hb_Tot,C11_OD_Ih_t_s_FH_CF_no_ch,C11_OD_Ih_t_s_FH_CF_w_ch,C11_OD_Ih_t_s_FH_One_PFam,C11_OD_Ih_t_s_FH_oth_fa,C11_OD_Ih_t_s_FH_Tot,C11_OD_Ih_t_s_LP_H,C11_OD_Ih_t_s_GH,C11_OD_Ih_t_s_OH,C11_OD_Ih_t_s_Tot,C11_OD_H_f_so_FH_CF_no_ch,C11_OD_H_f_so_FH_CF_w_ch,C11_OD_H_f_so_FH_One_PFam,C11_OD_H_f_so_FH_oth_fa,C11_OD_H_f_so_FH_Tot,C11_OD_H_f_so_LP_H,C11_OD_H_f_so_GH,C11_OD_H_f_so_OH,C11_OD_H_f_so_Tot,C11_OD_T_FH_CF_no_ch,C11_OD_T_FH_CF_w_ch,C11_OD_T_FH_One_PFam,C11_OD_T_FH_oth_fa,C11_OD_T_FH_Tot,C11_OD_Tot_LP_H,C11_OD_Tot_GH,C11_OD_Tot_OH,C11_OD_T_T,C11_DS_ns_FH_CF_no_ch,C11_DS_ns_FH_CF_w_ch,C11_DS_ns_FH_One_PFam,C11_DS_ns_FH_oth_fa,C11_DS_ns_FH_Tot,C11_DS_ns_LP_H,C11_DS_ns_GH,C11_DS_ns_OH,C11_DS_NS_T,C11_T_FH_CF_no_ch,C11_T_FH_CF_w_ch,C11_T_FH_One_PFam,C11_T_FH_oth_fa,C11_T_FH_Tot,C11_Tot_LP_H,C11_Tot_GH,C11_Tot_OH,C11_T_T,C16_S_h_FH_CF_no_ch,C16_S_h_FH_CF_w_ch,C16_S_h_FH_One_PFam,C16_S_h_FH_oth_fa,C16_S_h_FH_Tot,C16_S_h_LP_H,C16_S_h_GH,C16_S_h_OH,C16_S_h_Tot,C16_Sd_r_t_1_FH_CF_no_ch,C16_Sd_r_t_1_FH_CF_w_ch,C16_Sd_r_t_1_FH_One_PFam,C16_Sd_r_t_1_FH_oth_fa,C16_Sd_r_t_1_FH_Tot,C16_Sd_r_t_1_LP_H,C16_Sd_r_t_1_GH,C16_Sd_r_t_1_OH,C16_Sd_r_t_1_Tot,C16_Sd_r_t_2m_FH_CF_no_ch,C16_Sd_r_t_2m_FH_CF_w_ch,C16_Sd_r_t_2m_FH_One_PFam,C16_Sd_r_t_2m_FH_oth_fa,C16_Sd_r_t_2m_FH_Tot,C16_Sd_r_t_2m_LP_H,C16_Sd_r_t_2m_GH,C16_Sd_r_t_2m_OH,C16_Sd_r_t_2m_Tot,C16_Sd_r_t_T_FH_CF_no_ch,C16_Sd_r_t_T_FH_CF_w_ch,C16_Sd_r_t_T_FH_One_PFam,C16_Sd_r_t_T_FH_oth_fa,C16_Sd_r_t_T_FH_Tot,C16_Sd_r_t_T_LP_H,C16_Sd_r_t_T_GH,C16_Sd_r_t_T_OH,C16_Sd_r_t_T_Tot,C16_F_u_a_1_2_FH_CF_no_ch,C16_F_u_a_1_2_FH_CF_w_ch,C16_F_u_a_1_2_FH_One_PFam,C16_F_u_a_1_2_FH_oth_fa,C16_F_u_a_1_2_FH_Tot,C16_F_u_a_1_2_LP_H,C16_F_u_a_1_2_GH,C16_F_u_a_1_2_OH,C16_F_u_a_1_2_Tot,C16_F_u_a_3_FH_CF_no_ch,C16_F_u_a_3_FH_CF_w_ch,C16_F_u_a_3_FH_One_PFam,C16_F_u_a_3_FH_oth_fa,C16_F_u_a_3_FH_Tot,C16_F_u_a_3_LP_H,C16_F_u_a_3_GH,C16_F_u_a_3_OH,C16_F_u_a_3_Tot,C16_F_u_a_4m_FH_CF_no_ch,C16_F_u_a_4m_FH_CF_w_ch,C16_F_u_a_4m_FH_One_PFam,C16_F_u_a_4m_FH_oth_fa,C16_F_u_a_4m_FH_Tot,C16_F_u_a_4m_LP_H,C16_F_u_a_4m_GH,C16_F_u_a_4m_OH,C16_F_u_a_4m_Tot,C16_F_u_a_a_h_FH_CF_no_ch,C16_F_u_a_a_h_FH_CF_w_ch,C16_F_u_a_a_h_FH_One_PFam,C16_F_u_a_a_h_FH_oth_fa,C16_F_u_a_a_h_FH_Tot,C16_F_u_a_a_h_LP_H,C16_F_u_a_a_h_GH,C16_F_u_a_a_h_OH,C16_F_u_a_a_h_Tot,C16_F_u_a_T_FH_CF_no_ch,C16_F_u_a_T_FH_CF_w_ch,C16_F_u_a_T_FH_One_PFam,C16_F_u_a_T_FH_oth_fa,C16_F_u_a_T_FH_Tot,C16_F_u_a_T_LP_H,C16_F_u_a_T_GH,C16_F_u_a_T_OH,C16_F_u_a_T_Tot,C16_OD_C_c_hb_FH_CF_no_ch,C16_OD_C_c_hb_FH_CF_w_ch,C16_OD_C_c_hb_FH_One_PFam,C16_OD_C_c_hb_FH_oth_fa,C16_OD_C_c_hb_FH_Tot,C16_OD_C_c_hb_LP_H,C16_OD_C_c_hb_GH,C16_OD_C_c_hb_OH,C16_OD_C_c_hb_Tot,C16_OD_Ih_t_s_FH_CF_no_ch,C16_OD_Ih_t_s_FH_CF_w_ch,C16_OD_Ih_t_s_FH_One_PFam,C16_OD_Ih_t_s_FH_oth_fa,C16_OD_Ih_t_s_FH_Tot,C16_OD_Ih_t_s_LP_H,C16_OD_Ih_t_s_GH,C16_OD_Ih_t_s_OH,C16_OD_Ih_t_s_Tot,C16_OD_H_f_so_FH_CF_no_ch,C16_OD_H_f_so_FH_CF_w_ch,C16_OD_H_f_so_FH_One_PFam,C16_OD_H_f_so_FH_oth_fa,C16_OD_H_f_so_FH_Tot,C16_OD_H_f_so_LP_H,C16_OD_H_f_so_GH,C16_OD_H_f_so_OH,C16_OD_H_f_so_Tot,C16_OD_T_FH_CF_no_ch,C16_OD_T_FH_CF_w_ch,C16_OD_T_FH_One_PFam,C16_OD_T_FH_oth_fa,C16_OD_T_FH_Tot,C16_OD_Tot_LP_H,C16_OD_Tot_GH,C16_OD_Tot_OH,C16_OD_T_T,C16_DS_ns_FH_CF_no_ch,C16_DS_ns_FH_CF_w_ch,C16_DS_ns_FH_One_PFam,C16_DS_ns_FH_oth_fa,C16_DS_ns_FH_Tot,C16_DS_ns_LP_H,C16_DS_ns_GH,C16_DS_ns_OH,C16_DS_NS_T,C16_T_FH_CF_no_ch,C16_T_FH_CF_w_ch,C16_T_FH_One_PFam,C16_T_FH_oth_fa
107011546,3,0,8,11,0,0,18,63,39,102,3,204,401,23,44,673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,17,3,10,4,0,18,21,5,3,43,3,10,4,0,18,21,5,24,63,0,0,0,0,4,0,0,0,4,821,948,661,50,2477,1177,117,152,3920,626,792,476,24,1922,578,76,111,2689,15,9,13,0,39,83,0,7,129,33,41,88,0,162,69,10,18,256,52,44,99,3,205,152,11,23,385,56,44,61,9,176,221,23,53,471,16,14,26,3,57,165,4,39,273,0,0,3,0,3,38,0,0,37,0,0,0,0,3,0,0,0,3,77,59,91,9,241,428,28,96,785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,0,5,0,0,6,0,3,0,15,0,5,0,0,12,5,3,8,23,0,0,0,0,3,4,0,0,10,761,906,669,40
107011547,0,0,0,0,0,0,0,16,4,12,0,31,70,3,12,120,41,0,10,0,52,59,0,0,113,0,0,0,0,0,3,0,3,5,3,0,0,0,4,0,0,0,5,40,7,5,0,55,63,0,4,122,0,0,0,0,0,0,0,0,0,527,408,189,17,1138,605,40,80,1854,385,374,142,18,924,406,31,56,1416,56,7,23,3,93,177,7,19,293,10,9,9,0,34,19,0,10,62,71,19,27,4,119,193,5,28,347,7,5,8,0,25,59,3,6,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,8,0,25,59,3,6,88,3,5,3,0,16,19,4,19,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,3,0,16,19,4,15,60,3,0,0,0,3,6,3,0,15,467,407,192,24
107021135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107031136,0,0,3,0,0,0,7,32,17,23,0,65,44,0,11,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,5,6,0,0,13,0,3,3,0,7,6,0,0,16,0,0,0,0,0,0,0,0,0,1106,2017,530,23,3682,605,48,85,4419,1022,1964,507,19,3504,446,47,93,4095,102,37,56,3,201,144,10,25,376,43,46,28,0,119,50,11,11,189,142,89,86,5,318,187,17,37,571,0,0,0,0,3,11,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,3,9,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,4,0,0,0,3,4,3,0,0,9,6,0,0,11,1165,2054,593,24
107031137,0,0,0,0,0,0,0,9,9,14,0,29,45,3,6,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,9,0,3,3,0,4,0,0,0,8,0,0,0,0,0,0,0,0,0,640,821,416,19,1887,523,46,47,2510,541,672,325,23,1560,322,38,74,1985,71,28,55,3,156,135,9,22,319,22,20,37,0,86,40,3,9,141,96,45,91,6,240,180,15,32,464,0,4,0,0,4,9,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,9,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,3,0,3,7,23,0,0,0,25,34,0,15,71,664,726,425,24
107031138,0,0,0,8,0,0,8,136,14,30,3,188,276,4,12,484,4,0,0,0,5,7,0,54,62,0,0,0,0,0,0,0,0,0,0,5,4,0,11,17,4,3,39,3,5,3,0,14,26,4,51,99,0,0,0,0,0,0,0,0,0,1004,764,281,16,2062,786,53,118,3017,697,654,164,8,1523,296,32,78,1937,44,18,15,3,82,67,0,3,149,185,78,62,5,326,169,19,24,538,223,98,77,4,406,234,24,25,694,48,17,20,3,84,106,4,18,217,24,4,3,0,33,39,0,10,83,65,0,3,0,66,116,3,19,209,0,0,0,0,0,0,0,0,0,137,21,24,3,188,262,13,51,509,3,3,0,0,6,8,0,46,65,0,0,0,0,0,0,0,5,5,3,4,0,0,14,5,0,0,21,7,8,0,0,18,9,0,51,88,3,5,0,0,8,9,0,3,20,1067,790,266,25
107031139,0,0,0,0,0,0,0,18,6,9,0,27,18,0,4,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,651,796,205,11,1666,308,27,57,2068,605,775,158,7,1549,264,32,66,1913,23,4,6,0,34,6,0,3,47,29,12,15,0,56,30,3,4,93,45,23,19,0,87,40,3,6,137,14,6,8,0,22,17,0,9,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,6,8,0,22,17,0,9,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,664,802,188,7
107031140,0,0,7,8,0,0,14,28,7,7,0,44,96,0,6,141,9,0,0,0,12,3,0,12,23,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,8,11,3,3,0,18,10,0,12,35,0,0,0,0,0,0,0,0,0,821,851,217,15,1897,540,38,89,2563,823,868,182,13,1891,396,50,181,2510,17,6,12,0,36,9,3,6,49,24,3,3,0,32,13,4,7,58,37,11,20,0,70,25,6,18,108,26,7,6,0,47,89,0,35,174,6,0,0,0,9,4,0,8,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,9,6,0,50,100,0,40,195,4,4,4,0,12,0,0,16,26,0,0,0,0,0,0,0,3,0,3,0,0,0,3,0,0,0,7,6,4,4,0,15,6,0,20,40,7,3,0,0,9,7,24,22,60,912,896,207,18
107031141,0,0,0,0,0,0,3,69,27,49,7,153,97,15,13,280,13,0,3,0,10,38,0,28,78,0,0,0,0,0,0,0,0,0,8,3,3,0,15,0,0,0,15,18,3,3,0,24,38,0,28,90,0,0,0,0,0,0,0,0,0,1201,1999,490,30,3721,689,58,122,4594,1127,2261,399,29,3809,398,52,129,4390,87,42,62,4,196,101,9,17,322,175,152,93,11,426,186,24,31,665,262,194,150,13,622,293,29,43,990,53,23,17,0,98,48,5,28,180,0,0,0,0,0,0,0,4,6,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,61,20,17,0,96,49,5,36,185,7,3,3,0,13,45,0,26,81,0,0,0,0,0,0,0,9,7,3,0,6,0,8,5,0,3,17,11,3,3,0,21,51,0,30,103,8,3,3,0,19,0,0,0,18,1471,2485,571,40
107031142,0,0,0,0,0,0,0,36,8,30,3,70,134,10,3,219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,8,3,0,0,5,0,3,0,0,8,3,0,0,10,0,0,0,0,0,0,0,0,0,897,1247,473,37,2660,775,67,47,3551,824,1086,373,28,2310,463,39,109,2926,89,33,65,6,200,196,15,14,422,54,49,60,0,156,81,8,17,266,142,82,128,6,353,280,27,32,693,9,3,8,0,19,36,0,3,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,8,0,25,39,0,3,66,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,5,5,7,0,0,0,3,3,3,3,10,7,0,0,0,3,3,3,7,16,3,6,0,0,11,3,0,0,9,987,1175,511,34
107031143,0,0,3,0,0,0,3,65,20,64,3,156,314,11,37,523,63,8,21,3,90,139,5,11,250,0,0,0,0,0,0,0,3,3,0,0,3,0,6,0,0,3,11,65,5,26,3,97,140,5,13,255,0,0,0,0,0,3,0,0,3,1970,2075,1313,110,5469,2039,164,255,7927,1633,1866,1085,76,4656,1168,127,317,6268,65,20,31,3,126,162,3,23,312,79,52,69,9,211,217,23,20,464,144,72,103,9,332,378,29,39,776,97,41,125,13,279,374,23,57,728,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,41,128,13,280,378,23,57,733,67,4,14,4,88,149,3,18,265,0,0,0,0,0,0,0,3,3,4,3,3,0,8,6,0,5,19,72,7,17,4,98,159,3,25,284,3,3,3,0,9,8,0,0,17,1949,1994,1329,102
107041144,0,0,3,0,0,0,3,199,82,73,18,382,499,117,49,1045,16,3,6,3,30,42,4,23,101,0,0,0,0,0,0,0,0,0,4,7,5,0,13,13,3,0,37,27,13,6,3,47,54,8,25,138,0,0,0,0,0,3,0,0,4,1962,2309,875,85,5231,2073,284,215,7800,1443,2096,613,63,4217,994,150,141,5506,128,82,92,6,307,349,54,36,745,191,138,131,10,462,422,31,38,946,316,214,224,11,763,768,85,75,1695,64,34,31,8,137,173,44,19,375,17,14,0,0,28,27,9,4,68,106,40,21,5,174,119,48,22,369,0,0,0,0,0,0,0,0,4,190,81,60,13,343,316,106,49,816,0,0,0,0,0,3,0,38,42,0,0,0,0,0,0,0,3,3,7,10,9,0,22,19,9,3,54,10,8,9,0,28,22,4,41,98,7,5,0,0,12,7,0,3,20,1968,2405,911,86
107041145,0,0,0,7,0,0,7,128,55,122,14,313,622,48,49,1037,3,0,0,0,3,6,0,4,16,0,0,0,0,0,0,0,0,3,4,3,3,0,10,18,3,3,29,6,3,3,0,10,21,3,7,47,0,3,0,0,3,3,0,0,7,1414,1605,917,72,4009,1910,193,160,6273,913,1334,473,42,2770,659,65,101,3596,144,83,110,7,345,396,25,36,802,196,168,202,15,580,422,46,43,1096,343,255,313,23,928,818,73,83,1902,83,51,61,3,191,256,23,20,497,44,18,27,4,87,126,12,15,242,24,3,0,0,24,19,3,6,54,0,0,0,0,0,0,0,0,3,149,70,84,10,308,400,42,42,792,4,4,0,0,8,12,0,36,52,0,0,0,0,0,0,0,6,6,4,4,5,0,19,5,0,3,31,13,8,5,0,24,16,0,46,88,0,0,3,0,6,7,0,0,13,1413,1662,877,73
107041146,0,0,0,0,0,0,3,102,68,50,4,225,320,103,55,702,25,4,18,0,49,114,7,0,176,0,0,0,0,0,0,0,0,0,3,0,6,0,10,3,0,0,11,25,4,19,0,56,117,12,3,188,0,0,0,0,3,3,3,0,8,1929,2490,714,72,5209,1562,357,242,7366,1554,2374,566,63,4555,895,220,157,5823,67,42,55,7,171,111,37,15,329,66,78,69,5,213,126,44,9,393,141,115,120,12,384,239,76,29,726,106,55,46,4,216,329,81,40,663,0,14,8,3,24,18,3,4,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,109,71,56,7,239,352,84,45,722,26,7,17,4,54,104,7,26,186,0,0,0,0,0,0,0,5,5,3,3,3,0,7,8,0,0,22,25,15,21,4,64,111,11,30,211,3,3,4,0,15,14,0,0,28,1828,2582,768,89
107041147,0,0,3,9,0,0,8,31,17,5,0,59,29,3,3,89,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,3,0,0,0,0,3,4,0,0,5,0,0,0,0,0,0,0,0,0,612,1317,266,12,2213,423,40,80,2754,552,1286,211,14,2067,262,33,71,2432,13,7,3,0,22,9,0,3,36,17,28,3,0,39,15,7,3,68,22,29,6,0,61,32,9,5,104,65,56,33,0,161,55,3,6,220,20,6,7,0,30,21,0,4,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,62,44,0,186,76,3,12,283,0,0,3,0,3,3,0,4,11,0,0,0,0,0,0,0,0,0,0,3,3,0,6,3,0,3,14,0,3,4,0,9,11,0,10,23,0,3,0,0,9,3,0,0,10,666,1388,262,11
107041148,0,0,5,3,0,0,4,68,30,32,3,137,118,20,31,311,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,3,3,0,0,0,0,0,3,0,0,7,0,0,0,0,0,5,0,4,17,0,0,0,0,0,0,0,0,3,982,1435,375,29,2816,792,132,163,3909,920,1399,268,22,2604,449,90,103,3240,30,13,9,0,54,51,3,3,114,65,73,35,5,173,89,9,25,294,95,90,41,3,225,142,11,28,407,47,30,20,0,99,78,3,12,199,51,15,7,0,74,30,8,3,125,3,3,0,0,10,6,0,13,31,0,0,0,0,0,0,0,0,0,99,47,30,0,181,125,14,34,351,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,3,3,5,0,18,6,0,0,21,3,4,5,0,19,6,0,5,27,7,9,0,0,9,13,0,0,25,1117,1547,349,28
107041150,0,0,7,8,4,0,13,111,34,57,3,199,357,19,34,617,0,3,0,0,5,3,0,12,17,0,0,0,0,0,0,0,8,8,0,0,0,0,7,7,0,3,16,0,4,3,0,5,8,0,23,40,0,0,0,0,3,0,0,0,3,1713,2380,872,69,5030,1692,136,189,7054,1279,2278,500,38,4101,682,84,158,5025,71,47,63,3,181,170,7,6,365,143,150,109,4,402,267,15,29,710,216,195,166,10,584,436,19,37,1078,189,114,117,9,428,436,34,47,948,18,5,12,3,41,67,4,6,114,12,3,4,0,29,25,3,5,63,0,0,0,0,0,0,0,0,4,222,129,131,7,490,532,37,62,1124,4,0,3,0,3,6,0,21,40,0,0,0,0,0,0,0,4,4,3,3,0,0,13,3,3,0,17,7,3,3,0,14,10,0,24,55,11,15,6,0,30,9,0,0,38,1730,2620,817,53
107041548,0,0,6,14,3,8,34,1252,387,279,83,2002,1948,671,496,5102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,29,9,3,3,4,15,22,11,4,56,9,3,3,4,15,25,11,28,77,3,0,0,0,3,3,0,0,9,1491,640,419,100,2652,2246,844,561,6305,128,187,78,15,404,176,98,66,743,4,0,3,0,12,15,6,11,35,92,37,18,5,153,81,51,29,321,97,37,23,8,164,100,55,37,355,133,71,56,15,274,306,109,70,759,299,116,97,25,538,650,242,271,1698,975,280,178,46,1480,943,296,314,3030,0,0,0,0,0,3,0,0,3,1410,466,333,83,2284,1897,648,659,5492,0,0,0,0,0,3,0,46,52,0,0,0,0,0,0,0,32,32,5,3,0,0,10,12,4,7,28,5,3,0,0,10,15,4,84,108,72,7,3,0,81,141,8,13,234,1710,696,432,102
107041549,4,0,14,22,12,3,54,317,184,150,30,683,872,224,152,1932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,7,3,0,0,7,3,0,3,11,7,3,0,0,7,3,0,7,13,0,0,0,0,0,3,4,0,6,1382,1545,642,77,3644,1833,519,270,6267,766,1091,337,37,2238,540,220,103,3094,48,44,35,4,129,96,20,13,258,170,182,90,16,459,196,105,31,793,217,228,125,21,586,295,131,46,1050,133,110,99,24,362,362,114,53,896,122,85,61,6,266,290,92,65,718,139,86,53,12,293,245,132,33,694,4,0,0,0,8,3,0,0,9,393,278,209,48,926,898,345,147,2319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,65,0,8,0,0,6,6,0,0,16,0,8,0,0,12,8,0,70,91,6,0,3,0,9,5,6,7,28,1386,1601,669,110
108011151,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,3,4,0,5,18,0,31,50,0,0,0,0,3,3,0,7,9,4,0,0,0,3,3,0,0,8,5,5,4,0,11,21,0,40,71,0,0,0,0,3,0,0,0,3,570,514,179,19,1282,445,45,111,1882,580,454,184,13,1236,412,57,103,1808,3,0,4,0,7,8,3,0,12,0,0,0,0,0,0,0,0,0,3,0,4,0,7,8,3,0,12,3,3,0,0,10,3,0,6,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,6,3,0,6,18,5,3,5,0,14,10,0,31,54,3,0,0,0,3,0,0,3,7,3,0,0,0,5,0,0,0,8,8,3,5,0,16,17,0,35,68,8,3,4,0,11,0,0,3,13,600,466,198,20
108011152,0,0,3,6,0,0,13,194,40,95,7,328,395,40,150,922,30,5,7,0,40,61,3,48,149,0,0,0,0,0,0,0,4,3,3,5,0,0,11,8,0,0,19,35,9,7,0,48,67,4,48,172,3,0,0,0,3,0,0,0,3,2061,1044,651,45,3798,1760,145,389,6090,1595,890,498,41,3026,968,92,188,4280,286,43,80,8,420,448,28,55,954,32,9,23,0,59,43,3,19,125,318,53,105,5,483,489,30,74,1073,51,21,66,6,136,237,19,62,453,36,10,18,3,65,102,8,39,215,77,13,25,0,118,69,8,51,241,0,0,0,0,0,0,0,0,0,171,37,103,9,320,406,39,143,913,21,9,5,0,31,42,7,55,124,0,0,0,0,0,0,0,0,0,4,3,6,0,18,10,5,4,39,24,7,10,0,47,51,9,61,165,16,10,3,0,26,21,0,13,55,2122,1000,723,54
108011153,0,0,3,3,0,0,6,5,0,3,0,9,7,3,7,23,29,0,3,0,31,50,4,17,111,0,0,0,0,0,0,0,0,3,3,3,3,0,10,0,0,0,10,34,4,6,0,44,52,4,17,124,0,0,0,0,0,0,0,0,4,768,519,247,18,1552,547,62,137,2300,794,533,213,15,1558,504,64,175,2299,10,3,5,0,12,10,0,3,25,6,0,0,0,11,3,0,7,21,19,4,3,0,23,12,0,13,44,4,3,5,0,12,7,0,3,20,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,5,0,10,12,0,3,26,43,3,7,0,56,78,5,59,194,0,0,0,0,0,0,0,3,7,0,3,0,0,3,0,0,0,5,47,10,5,0,59,79,7,62,214,4,0,0,0,5,5,0,0,11,861,547,232,21
108011154,0,0,0,4,0,0,7,88,13,52,5,163,262,19,43,491,53,6,6,0,61,60,3,97,223,0,0,0,0,0,0,0,0,0,3,3,3,0,9,3,0,0,18,58,5,11,0,73,67,3,100,243,0,0,0,0,3,3,0,0,4,943,328,287,25,1577,1046,80,185,2891,614,270,144,6,1038,389,38,101,1563,188,26,49,3,273,299,17,28,623,29,10,15,0,61,46,4,10,120,219,37,71,4,332,345,19,42,747,28,6,27,3,65,134,11,26,233,20,10,18,0,48,67,10,16,140,52,8,25,0,89,112,5,23,232,0,0,0,0,0,0,0,0,0,97,24,73,8,199,314,27,68,604,6,0,0,0,10,33,0,91,137,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,3,11,13,0,0,0,14,32,0,96,146,10,0,0,0,13,9,0,18,47,950,336,284,22
108021155,0,0,0,0,0,0,3,12,3,41,3,62,146,9,4,221,7,7,4,0,22,50,0,22,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,7,7,4,0,20,55,0,22,92,3,0,0,0,3,0,0,0,3,1293,1169,979,58,3504,1424,135,172,5240,1227,1086,905,57,3276,1100,145,376,4896,18,7,12,0,39,106,3,16,163,3,5,6,0,10,25,0,5,42,19,11,19,3,50,128,3,28,210,10,14,24,3,51,142,5,29,227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,16,0,0,0,0,0,0,0,0,0,10,14,24,3,49,152,8,37,240,5,0,0,0,5,24,0,32,60,0,0,0,0,0,0,0,0,7,0,4,3,0,3,12,4,0,21,7,3,3,0,15,37,4,33,88,18,9,5,0,28,16,0,9,53,1278,1117,961,60
108021156,0,0,0,3,0,0,5,16,0,7,0,27,49,7,11,96,15,5,3,0,24,26,0,76,127,0,4,6,0,15,5,0,14,33,3,0,0,0,3,4,0,0,6,20,9,7,0,39,37,0,94,168,0,0,0,0,0,0,0,0,0,1148,828,437,32,2450,934,103,271,3759,1083,753,399,32,2265,874,106,303,3539,11,3,6,0,23,35,3,3,67,0,3,0,0,3,0,0,0,3,11,3,6,0,20,35,3,3,69,5,0,3,0,10,18,0,11,35,0,0,3,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,3,0,10,0,11,20,0,11,42,11,0,3,0,10,15,0,53,76,0,0,0,0,4,0,0,12,14,0,0,0,0,3,0,0,0,7,9,0,4,0,19,16,0,63,93,18,18,3,0,43,31,4,52,124,1132,776,422,38
