SA2_MAINCODE_2016,C11_DS_ns_NPUR_5,C11_DS_ns_NPUR_6more,C11_Dwg_st_NS_T,C11_Tot_NPUR_1,C11_Tot_NPUR_2,C11_Tot_NPUR_3,C11_Tot_NPUR_4,C11_Tot_NPUR_5,C11_Tot_NPUR_6more,C11_T_T,C16_Se_h_NPUR_1,C16_Se_h_NPUR_2,C16_Se_h_NPUR_3,C16_Se_h_NPUR_4,C16_Se_h_NPUR_5,C16_Se_h_NPUR_6more,C16_Se_h_Tot,C16_S_r_t_h_t_1_s_NPUR_1,C16_S_r_t_h_t_1_s_NPUR_2,C16_S_r_t_h_t_1_s_NPUR_3,C16_S_r_t_h_t_1_s_NPUR_4,C16_S_r_t_h_t_1_s_NPUR_5,C16_S_r_t_h_t_1_s_NPUR_6mo,C16_SDRTHTS_To,C16_S_r_t_h_t_2mor_s_NPUR_1,C16_S_r_t_h_t_2mor_s_NPUR_2,C16_S_r_t_h_t_2mor_s_NPUR_3,C16_S_r_t_h_t_2mor_s_NPUR_4,C16_S_r_t_h_t_2mor_s_NPUR_5,C16_SDRTHT2S_NPUR_6mo,C16_SDRTHT2S_To,C16_Sd_r_t_h_t_To_NPUR_1,C16_Sd_r_t_h_t_To_NPUR_2,C16_Sd_r_t_h_t_To_NPUR_3,C16_Sd_r_t_h_t_To_NPUR_4,C16_Sd_r_t_h_t_To_NPUR_5,C16_SDRTHT_NPUR_6mor,C16_Sd_r_t_h_t_To_Tot,C16_Fl_u_a_1_2SB_NPUR_1,C16_Fl_u_a_1_2SB_NPUR_2,C16_Fl_u_a_1_2SB_NPUR_3,C16_Fl_u_a_1_2SB_NPUR_4,C16_Fl_u_a_1_2SB_NPUR_5,C16_F_u_a_1_2SB_NPUR_6mor,C16_FUA_1_2SB_Tot,C16_F_u_a_I_a_3SB_NPUR_1,C16_F_u_a_I_a_3SB_NPUR_2,C16_F_u_a_I_a_3SB_NPUR_3,C16_F_u_a_I_a_3SB_NPUR_4,C16_F_u_a_I_a_3SB_NPUR_5,C16_F_u_a_I_a_3SB_NPUR_6m,C16_FUA_In_a_3_st_b_To,C16_F_u_a_4mor_s_b_NPUR_1,C16_F_u_a_4mor_s_b_NPUR_2,C16_F_u_a_4mor_s_b_NPUR_3,C16_F_u_a_4mor_s_b_NPUR_4,C16_F_u_a_4mor_s_b_NPUR_5,C16_F_u_a_4m_s_b_NPUR_6mor,C16_FUA_4mor_st_bl_Tot,C16_FUA_AH_NPUR_1,C16_FUA_AH_NPUR_2,C16_FUA_AH_NPUR_3,C16_FUA_AH_NPUR_4,C16_FUA_AH_NPUR_5,C16_FUA_AH_NPUR_6mo,C16_FUA_AH_Tot,C16_FUA_To_NPUR_1,C16_FUA_To_NPUR_2,C16_FUA_To_NPUR_3,C16_FUA_To_NPUR_4,C16_FUA_To_NPUR_5,C16_FUA_To_NPUR_6mo,C16_FUA_To_To,C16_OD_CCH_NPUR_1,C16_OD_CCH_NPUR_2,C16_OD_CCH_NPUR_3,C16_OD_CCH_NPUR_4,C16_OD_CCH_NPUR_5,C16_OD_CCH_NPUR_6mo,C16_OD_CCH_Tot,C16_OD_IHTSO_NPUR_1,C16_OD_IHTSO_NPUR_2,C16_OD_IHTSO_NPUR_3,C16_OD_IHTSO_NPUR_4,C16_OD_IHTSO_NPUR_5,C16_OD_IHTSO_NPUR_6mo,C16_OD_IHTSO_Tot,C16_OD_H_f_a_s_o_NPUR_1,C16_OD_H_f_a_s_o_NPUR_2,C16_OD_H_f_a_s_o_NPUR_3,C16_OD_H_f_a_s_o_NPUR_4,C16_OD_H_f_a_s_o_NPUR_5,C16_OD_H_f_a_s_o_NPUR_6mor,C16_OD_H_f_a_s_o_TO,C16_OD_Tot_NPUR_1,C16_OD_Tot_NPUR_2,C16_OD_Tot_NPUR_3,C16_OD_Tot_NPUR_4,C16_OD_Tot_NPUR_5,C16_OD_Tot_NPUR_6mor,C16_OD_T_T,C16_DS_ns_NPUR_1,C16_DS_ns_NPUR_2,C16_DS_ns_NPUR_3,C16_DS_ns_NPUR_4,C16_DS_ns_NPUR_5,C16_DS_ns_NPUR_6more,C16_Dwg_st_NS_T,C16_Tot_NPUR_1,C16_Tot_NPUR_2,C16_Tot_NPUR_3,C16_Tot_NPUR_4,C16_Tot_NPUR_5,C16_Tot_NPUR_6more,C16_T_T
101061541,0,0,0,569,828,315,333,176,65,2290,474,726,347,338,153,66,2107,129,47,8,5,0,0,194,7,3,0,0,0,0,9,137,52,9,5,0,0,206,14,5,3,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,5,3,0,0,0,20,4,3,0,0,0,0,8,0,0,0,0,0,0,0,0,3,0,0,0,0,9,3,4,0,0,0,0,14,3,3,0,0,0,0,7,630,793,365,351,155,66,2359
101061542,0,0,3,605,1365,527,625,299,139,3565,611,1440,522,698,358,130,3757,8,3,3,0,0,0,17,0,0,0,0,0,0,0,8,4,3,0,0,0,14,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,9,11,3,0,0,0,24,9,4,0,0,0,0,14,0,3,0,0,0,0,10,21,20,4,3,0,3,43,18,17,8,3,0,3,50,659,1478,534,707,355,137,3872
101061543,0,0,4,1115,1289,538,495,241,146,3827,854,1275,510,445,244,134,3472,142,35,11,3,4,0,194,3,0,0,0,0,0,3,141,35,9,3,4,0,199,174,61,20,7,3,0,260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174,61,20,7,3,0,260,0,4,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,3,3,3,3,4,0,0,12,5,0,0,0,0,0,10,1181,1379,538,457,252,139,3944
101061544,0,0,0,879,1132,299,333,191,101,2927,782,1085,298,291,154,72,2687,45,53,11,4,3,0,118,0,0,0,0,0,0,0,45,53,11,4,3,0,118,36,7,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,7,0,0,0,0,47,8,0,0,0,0,0,13,3,0,0,0,0,0,6,4,11,3,4,0,0,22,15,12,3,4,0,0,40,22,8,0,3,3,3,40,907,1169,310,301,163,76,2925
102011028,0,0,3,470,755,360,502,213,81,2378,314,645,390,506,205,80,2145,3,14,10,0,0,0,27,39,31,11,10,0,0,95,41,42,22,10,3,0,121,19,26,9,7,3,0,64,5,8,0,0,0,0,17,3,5,0,0,0,0,5,0,0,0,0,0,0,0,27,39,10,12,3,0,93,58,24,3,3,0,0,81,0,0,0,0,0,0,0,3,3,0,0,0,0,7,60,24,3,3,0,0,95,5,0,4,0,0,0,8,449,759,425,533,211,85,2457
102011029,0,0,0,930,1428,548,610,250,101,3860,817,1387,544,617,280,105,3745,13,18,4,6,0,0,38,17,18,10,3,0,0,55,30,32,15,14,0,0,96,42,22,0,0,0,0,71,5,13,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,41,4,0,0,0,93,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,7,3,3,0,0,0,0,12,4,6,3,0,0,0,17,908,1470,566,630,284,108,3965
102011030,0,0,6,344,511,211,239,136,67,1499,348,535,212,218,122,73,1512,4,9,0,0,0,0,12,0,0,0,0,0,0,0,4,9,0,0,0,0,12,11,8,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,8,0,0,0,0,20,23,12,5,0,3,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,12,5,0,3,0,40,13,4,3,0,0,0,16,398,564,221,218,126,78,1607
102011031,0,0,0,1431,1674,674,803,327,138,5050,1003,1379,672,710,334,137,4239,297,194,26,13,3,4,531,100,48,19,10,4,0,187,399,241,49,21,8,4,719,75,55,20,10,0,0,159,26,16,3,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,76,18,9,0,0,212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,3,0,0,0,0,3,11,9,0,0,0,0,20,1515,1703,740,742,344,142,5190
102011032,0,0,81,2779,2595,1006,803,287,142,7613,682,1164,597,612,277,138,3467,144,64,21,15,4,0,246,453,344,173,104,21,7,1095,591,409,194,121,24,5,1343,772,401,104,49,17,3,1350,311,247,72,30,7,0,672,345,367,101,53,14,3,874,3,0,0,0,0,0,3,1434,1017,279,130,35,12,2899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,7,3,0,0,0,0,0,4,37,13,5,0,3,0,56,2746,2598,1080,862,339,152,7778
102011033,0,0,0,295,548,375,507,215,92,2036,235,490,365,472,161,98,1819,38,45,25,14,3,0,128,7,5,4,3,0,0,19,48,45,31,20,3,3,144,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,3,0,0,11,290,541,393,493,166,100,1977
102011034,0,0,3,832,876,360,415,190,78,2747,300,610,360,395,177,56,1895,421,219,24,7,4,0,683,144,96,10,12,3,0,266,568,318,40,19,4,0,946,4,13,0,0,0,0,28,7,12,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,29,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,880,959,399,413,187,54,2892
102011035,0,0,0,421,709,400,444,181,87,2254,292,629,390,433,161,92,1999,73,80,17,11,10,0,201,23,16,4,0,0,0,48,98,100,30,19,10,0,247,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,8,390,734,419,451,167,97,2256
102011036,0,0,0,441,763,465,598,259,112,2637,281,663,411,470,221,107,2161,86,32,21,19,3,0,160,36,40,31,31,11,0,150,127,70,56,50,16,0,310,32,7,0,0,0,0,40,29,37,0,0,0,0,65,0,0,0,0,0,0,0,4,0,0,0,0,0,7,65,46,0,0,0,0,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,24,19,15,6,3,72,4,24,19,15,6,3,72,0,4,0,10,0,0,15,482,801,487,548,241,109,2669
102011037,0,0,0,613,809,321,355,149,60,2305,411,769,334,355,146,55,2072,50,23,3,6,0,0,77,32,21,6,4,0,0,61,84,43,9,10,0,0,143,74,41,0,3,0,0,126,4,3,0,0,0,0,12,0,0,0,0,0,0,0,0,3,0,0,0,0,3,74,45,5,3,0,0,134,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,9,14,0,0,0,0,0,16,590,859,348,368,144,62,2373
102011038,0,0,0,565,894,380,412,162,66,2482,396,758,361,440,180,65,2200,84,63,9,0,0,0,151,7,12,4,4,0,0,23,89,73,6,7,0,0,180,69,36,5,0,0,0,117,21,11,6,0,0,0,35,0,0,0,0,0,0,0,3,0,0,0,0,0,4,92,43,12,3,0,0,148,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,3,0,0,0,0,3,3,3,0,0,0,0,7,0,0,0,0,3,0,3,576,881,388,454,185,65,2543
102011039,0,0,8,1085,1669,719,744,317,94,4635,659,1206,632,709,316,128,3649,31,16,4,8,0,0,61,76,116,49,33,0,3,279,99,135,61,37,3,3,339,195,280,90,57,13,9,646,47,62,20,12,3,0,145,3,9,0,0,0,0,14,0,0,0,0,0,0,3,257,351,112,72,17,9,811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,8,4,0,0,0,27,1029,1695,802,825,342,137,4828
102011040,0,0,3,2959,3277,1261,1075,435,196,9204,1558,2363,1099,1035,386,207,6648,704,524,101,55,13,5,1405,186,217,67,24,16,3,517,887,743,172,79,23,11,1919,339,139,40,14,6,3,534,9,5,4,0,0,0,17,15,12,0,0,0,0,28,11,0,0,0,0,0,9,362,164,43,14,6,3,590,162,84,24,8,0,3,274,0,0,0,0,0,0,0,14,8,3,0,0,0,26,174,91,23,13,0,3,301,29,16,3,0,0,0,54,3020,3373,1339,1140,415,226,9516
