SA2_MAINCODE_2016,Ot_ty_Ed_Ins_Pt_st_C06_P,Ot_ty_Ed_Ins_Pt_st_C11_M,Ot_ty_Ed_Ins_Pt_st_C11_F,Ot_ty_Ed_Ins_Pt_st_C11_P,Ot_ty_Ed_Ins_Pt_st_C16_M,Ot_ty_Ed_Ins_Pt_st_C16_F,Ot_ty_Ed_Ins_Pt_st_C16_P,O_t_E_I_F_P_s_s_ns_C06_M,O_t_E_I_F_P_s_s_ns_C06_F,O_t_E_I_F_P_s_s_ns_C06_P,O_t_E_I_F_P_s_s_ns_C11_M,O_t_E_I_F_P_s_s_ns_C11_F,O_t_E_I_F_P_s_s_ns_C11_P,O_t_E_I_F_P_s_s_ns_C16_M,O_t_E_I_F_P_s_s_ns_C16_F,O_t_E_I_F_P_s_s_ns_C16_P,Oth_ty_Edu_Ins_Tot_C06_M,Oth_ty_Edu_Ins_Tot_C06_F,Oth_ty_Edu_Ins_Tot_C06_P,Oth_ty_Edu_Ins_Tot_C11_M,Oth_ty_Edu_Ins_Tot_C11_F,Oth_ty_Edu_Ins_Tot_C11_P,Oth_ty_Edu_Ins_Tot_C16_M,Oth_ty_Edu_Ins_Tot_C16_F,Oth_ty_Edu_Ins_Tot_C16_P,Type_Educ_Insti_ns_C06_M,Type_Educ_Insti_ns_C06_F,Type_Educ_Insti_ns_C06_P,Type_Educ_Insti_ns_C11_M,Type_Educ_Insti_ns_C11_F,Type_Educ_Insti_ns_C11_P,Type_Educ_Insti_ns_C16_M,Type_Educ_Insti_ns_C16_F,Type_Educ_Insti_ns_C16_P,Tot_C06_M,Tot_C06_F,Tot_C06_P,Tot_C11_M,Tot_C11_F,Tot_C11_P,Tot_C16_M,Tot_C16_F,Tot_C16_P
102011038,16,12,18,27,5,20,29,0,0,0,0,0,0,0,0,0,10,25,29,12,22,32,7,24,36,278,285,572,138,178,321,177,170,353,987,1056,2039,877,989,1860,923,1005,1930
102011039,61,23,34,52,23,45,66,0,0,0,0,3,3,0,0,0,21,51,73,35,37,70,35,53,92,505,486,993,442,453,897,300,341,645,1881,1979,3861,1892,1959,3856,1911,1946,3853
102011040,85,33,75,109,29,55,87,3,0,4,0,3,3,0,0,0,33,78,110,44,92,133,51,82,130,1383,1480,2864,858,992,1845,829,968,1790,3295,3495,6786,2955,3284,6243,2938,3251,6192
102011041,38,14,48,64,12,24,36,0,4,4,0,0,0,0,0,3,17,33,55,19,52,68,22,37,57,376,332,704,270,238,505,248,236,483,1541,1513,3049,1421,1474,2900,1512,1544,3052
102011042,43,27,30,60,18,39,55,0,3,5,0,0,0,0,0,3,29,38,64,41,42,86,23,59,85,742,853,1590,528,532,1056,500,574,1070,1908,2009,3921,1701,1775,3471,1711,1901,3619
102011043,64,23,40,68,19,33,54,0,0,4,0,0,0,0,0,0,29,60,91,31,50,78,26,42,67,318,381,703,307,352,661,387,446,832,1654,1732,3379,1575,1680,3256,1602,1779,3383
102021044,82,29,57,90,20,56,78,0,3,3,0,3,0,0,0,0,35,71,100,42,73,113,37,77,107,765,907,1675,584,730,1313,675,858,1533,2983,3278,6265,2847,3179,6027,3053,3299,6345
102021045,55,16,29,45,14,47,57,6,0,8,0,0,0,0,0,0,11,51,63,17,43,58,24,67,91,330,316,649,359,384,741,281,320,605,1674,1706,3374,1759,1846,3600,1643,1811,3456
102021046,34,9,22,35,13,22,33,0,0,0,0,0,0,0,0,0,14,30,40,10,23,40,16,23,40,363,378,741,284,282,563,308,342,647,1230,1267,2500,1143,1224,2364,1199,1251,2452
102021047,64,15,56,70,22,49,74,0,0,0,0,0,0,0,0,0,29,58,92,25,68,90,34,67,99,396,527,924,377,403,781,330,367,701,2270,2462,4729,2232,2402,4637,2122,2324,4450
102021048,80,21,48,70,24,88,108,0,0,0,0,3,3,0,3,3,26,72,102,30,62,99,38,121,152,698,843,1535,680,774,1451,894,1014,1910,2699,3007,5703,2812,3035,5847,3098,3385,6482
102021049,10,0,8,12,7,10,18,0,0,0,0,0,0,0,0,0,3,5,10,0,8,12,6,17,27,115,98,214,108,104,212,147,141,292,459,449,914,458,517,978,543,569,1115
102021050,31,10,21,32,10,24,32,0,0,0,0,3,3,0,0,0,4,26,38,15,28,41,14,38,50,376,398,773,277,329,607,346,398,741,1379,1456,2829,1253,1398,2648,1316,1420,2735
102021051,15,9,14,15,6,10,14,0,0,0,0,0,0,0,0,0,8,13,13,7,13,23,12,16,19,101,112,207,113,115,230,109,112,225,754,756,1504,778,832,1611,759,764,1524
102021052,12,10,15,26,3,18,25,0,0,3,0,0,0,0,0,0,8,10,21,10,18,25,10,25,33,182,197,375,135,128,258,129,136,258,725,753,1472,716,744,1462,724,749,1473
102021053,38,21,35,57,17,31,48,0,4,4,0,0,0,0,0,0,7,45,55,27,44,76,26,46,69,680,684,1362,714,727,1437,620,707,1329,1614,1654,3268,1930,2040,3969,1906,2068,3978
102021054,28,8,33,40,7,17,28,0,0,0,5,0,0,0,0,0,12,26,39,15,36,53,10,22,38,328,397,722,319,351,666,441,502,948,1148,1161,2306,1099,1212,2315,1255,1370,2624
102021055,29,7,13,22,5,16,28,0,0,0,0,0,0,0,0,0,12,27,40,7,20,30,17,32,54,186,178,363,173,141,317,200,174,367,784,842,1630,807,872,1679,861,886,1744
102021056,46,21,31,52,21,53,78,0,0,0,3,0,3,0,0,0,19,40,58,19,39,60,32,66,98,313,298,613,394,406,799,374,403,779,1492,1544,3035,2054,2159,4209,2466,2634,5097
102021057,16,11,22,38,17,24,38,0,0,0,0,3,3,0,0,3,7,13,25,19,40,54,20,41,62,298,324,620,331,346,673,323,358,678,1173,1227,2403,1220,1290,2503,1219,1390,2608
103011058,72,20,54,71,34,64,102,0,0,0,0,3,7,0,0,0,32,58,89,27,57,83,48,81,130,1217,745,1959,1286,842,2132,1427,1006,2426,4266,3944,8210,4372,4059,8432,4345,4199,8546
103011059,24,5,31,37,8,22,32,0,0,0,0,0,0,0,0,0,9,19,30,5,30,38,15,36,50,220,220,437,306,298,607,383,365,745,1360,1321,2681,1532,1572,3103,1928,1911,3845
103011060,10,15,11,26,0,12,20,3,0,3,0,0,0,0,0,0,6,10,20,15,22,38,5,22,30,363,149,506,373,181,552,630,313,944,1091,929,2018,1183,1007,2190,1333,1111,2448
103011061,13,3,9,7,3,11,16,0,0,0,0,0,0,0,0,0,3,12,13,4,11,11,7,10,16,256,159,412,254,143,393,398,264,663,764,668,1425,686,585,1270,799,682,1478
103021062,9,4,9,10,0,13,19,0,0,0,0,0,0,0,0,0,4,14,15,5,5,15,0,20,20,258,263,524,256,233,489,431,400,830,970,1022,1995,904,951,1850,1013,1048,2064
103021063,15,8,20,23,11,15,25,3,0,3,0,0,0,0,0,0,12,15,23,9,19,28,14,25,36,312,319,631,452,433,883,396,440,834,1314,1326,2638,1356,1392,2747,1206,1346,2551
103021064,9,3,8,16,3,7,11,0,0,0,0,0,0,0,0,0,9,18,22,8,10,21,5,10,18,164,133,296,157,130,289,258,240,497,715,707,1425,712,721,1430,772,797,1565
103021065,37,11,20,24,3,18,20,0,3,6,0,0,0,0,0,0,15,32,52,8,24,35,5,22,26,362,374,732,310,335,641,508,481,994,1568,1572,3137,1379,1407,2790,1519,1600,3118
103021066,4,0,6,4,0,6,6,0,0,0,0,0,0,0,0,0,0,11,7,0,6,4,3,8,13,111,95,201,125,95,218,179,209,389,477,500,973,465,499,963,487,529,1019
103021067,34,4,11,19,12,26,33,0,0,0,0,3,3,0,0,0,15,33,44,8,14,23,12,31,36,298,333,628,472,476,949,495,578,1074,1588,1603,3192,1668,1766,3437,1658,1852,3508
103021068,8,3,6,4,3,10,16,0,0,0,0,0,0,0,0,0,0,8,13,5,12,22,3,11,14,134,114,248,159,139,297,190,201,392,506,521,1027,511,543,1053,490,575,1067
103021069,11,3,13,16,4,11,16,0,0,0,0,0,0,3,0,3,0,6,11,3,13,19,4,16,19,185,192,373,149,137,291,365,376,738,838,947,1788,748,856,1608,920,1010,1925
103031070,44,13,23,34,23,26,44,0,0,4,0,0,0,0,0,0,16,36,52,18,28,41,24,37,67,765,433,1206,779,452,1234,995,632,1624,2053,1662,3718,1945,1612,3560,2125,1811,3932
103031071,18,5,22,32,3,15,18,0,0,0,0,0,0,0,0,3,13,22,33,4,24,34,9,19,26,317,301,618,309,287,594,577,541,1119,1137,1179,2313,1132,1152,2284,1312,1359,2670
103031072,25,9,24,36,14,18,30,0,0,0,0,0,7,0,0,0,15,14,31,16,30,44,12,21,39,312,356,671,461,385,843,532,567,1099,1435,1430,2864,1583,1569,3156,1714,1831,3551
103031073,8,3,9,12,3,11,14,0,0,0,0,0,0,0,0,0,3,9,12,9,11,23,6,12,19,142,120,259,113,82,193,242,217,457,473,456,932,433,420,854,530,512,1038
103031074,45,3,18,26,13,16,30,0,0,3,0,0,0,0,0,0,18,34,52,17,22,39,14,16,35,420,345,768,487,383,871,712,652,1364,1529,1459,2992,1458,1421,2881,1699,1676,3372
103031075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103041076,13,4,15,17,4,16,19,0,0,0,0,0,0,0,3,3,4,9,21,4,23,26,3,22,20,176,163,342,245,236,486,302,280,575,955,975,1929,995,1105,2106,1088,1177,2267
103041077,47,18,40,59,13,50,66,0,0,3,0,0,4,0,4,4,25,38,66,30,52,82,23,67,90,818,838,1651,799,771,1568,813,869,1677,2912,3075,5986,2861,2965,5824,2758,2978,5733
103041078,36,30,38,70,32,49,87,0,0,0,0,0,3,0,0,0,15,36,58,39,46,88,53,59,113,480,470,949,545,514,1059,576,568,1148,2228,2348,4576,2625,2840,5471,3129,3227,6361
103041079,36,14,23,38,6,25,27,0,0,0,0,0,0,0,0,0,18,31,51,21,27,43,9,28,40,322,286,609,251,239,497,505,484,994,1609,1655,3266,1573,1641,3212,1845,1967,3814
104011080,64,20,43,64,19,33,54,0,0,0,0,0,3,0,0,0,33,59,88,33,55,87,32,55,88,887,711,1599,811,654,1465,907,732,1645,2750,2628,5375,2682,2666,5349,2804,2676,5482
104011081,57,16,32,55,7,25,39,0,0,3,0,0,0,0,0,0,14,59,79,31,39,69,30,45,73,499,418,916,493,388,881,795,693,1480,2268,2279,4550,2067,2127,4191,2134,2225,4357
104011082,60,25,41,65,8,26,35,0,0,3,0,3,3,0,3,3,21,47,60,28,44,76,14,38,52,473,452,922,441,518,962,678,700,1379,1892,1969,3855,1884,2106,3988,1960,2032,3993
104021083,41,4,15,21,6,13,22,0,0,0,0,0,0,0,0,0,6,35,39,10,18,25,6,20,23,232,246,483,121,120,243,224,258,480,965,1070,2032,858,935,1797,871,1011,1877
104021084,77,24,50,68,26,49,75,0,0,0,0,0,0,0,0,4,29,74,103,21,69,95,47,64,109,591,551,1140,551,651,1200,701,728,1424,2300,2479,4775,2254,2573,4832,2517,2736,5253
104021085,66,16,38,55,10,31,45,0,0,3,0,0,0,0,0,0,28,63,93,27,54,78,28,46,75,383,391,768,385,457,841,512,655,1170,1231,1331,2562,1360,1556,2917,1436,1804,3243
104021086,7,3,7,9,3,11,22,0,0,0,0,0,0,0,0,0,3,4,11,5,11,19,8,20,30,140,117,255,111,88,198,177,160,340,648,629,1280,548,578,1126,555,627,1186
104021087,21,5,7,17,3,11,8,0,0,0,0,0,0,0,0,5,4,22,27,4,9,16,3,11,18,109,91,201,115,107,218,175,164,340,479,451,935,463,468,928,437,448,893
104021088,29,11,12,26,16,28,41,0,0,0,0,0,0,0,0,0,9,28,37,13,17,33,19,30,50,224,243,465,208,184,393,238,275,516,1129,1211,2338,1155,1213,2366,1193,1357,2554
104021089,65,21,63,83,24,54,80,0,0,0,0,3,3,0,5,5,16,61,81,35,88,119,41,82,120,565,592,1159,523,526,1050,604,636,1244,2867,3080,5952,2736,2968,5706,2735,2924,5655
104021090,14,0,17,13,0,16,15,0,0,0,0,0,0,0,0,0,6,8,14,4,17,15,0,13,19,140,153,293,129,121,252,184,189,369,535,611,1147,576,627,1199,558,632,1187
104021091,36,16,32,47,15,40,56,0,0,0,0,3,3,0,3,3,15,36,47,21,42,67,35,49,87,339,341,681,379,351,730,518,541,1063,1548,1545,3093,1588,1670,3260,1740,1823,3569
105011092,10,0,5,9,3,3,6,0,0,0,0,0,0,0,0,0,3,11,10,10,7,20,4,4,10,307,239,548,315,283,598,381,324,707,786,732,1521,695,718,1408,732,729,1461
105011093,11,3,7,15,6,11,16,0,0,0,0,0,0,0,3,3,3,13,18,3,10,12,12,14,24,296,227,523,238,208,448,318,273,592,810,742,1553,720,690,1408,753,767,1514
105011094,3,10,5,13,4,3,4,0,0,4,0,0,0,0,0,0,3,4,10,10,10,15,3,3,9,148,155,305,201,177,376,341,339,683,589,687,1278,581,658,1245,667,726,1397
105011095,7,7,9,14,0,0,3,0,0,0,0,0,0,0,0,0,4,4,7,8,8,16,0,5,5,178,156,335,231,213,447,298,313,611,720,715,1434,732,780,1515,732,834,1571
105011096,19,4,9,16,0,9,13,3,0,3,0,0,0,0,0,0,9,24,34,10,9,20,4,15,21,461,326,793,437,330,766,466,420,890,1106,992,2102,1021,975,1996,1010,1015,2029
105021097,65,20,47,68,23,43,71,0,0,0,0,3,3,3,3,5,24,69,88,29,63,96,37,61,92,927,934,1857,898,933,1830,822,810,1634,2834,2936,5768,2640,2794,5433,2369,2544,4914
105021098,7,0,0,4,3,7,9,0,0,0,0,0,0,0,0,0,7,12,13,3,3,12,6,8,17,164,108,276,142,69,210,229,185,411,379,364,744,370,346,709,409,384,791
105031099,27,9,15,27,5,17,19,0,0,0,0,0,3,0,0,4,12,24,30,16,22,34,5,23,29,295,276,568,367,301,673,435,449,884,1166,1223,2390,1265,1225,2487,1143,1246,2392
105031100,25,15,28,43,16,23,37,0,0,0,0,0,3,0,0,0,11,18,29,23,40,60,21,39,55,438,430,875,379,376,759,405,427,832,1803,1866,3667,1619,1737,3361,1543,1660,3207
105031101,51,16,38,49,21,40,61,0,3,3,5,3,5,0,3,3,24,40,63,22,45,67,29,58,92,706,660,1365,490,488,977,576,611,1191,2345,2459,4806,2164,2456,4620,2367,2637,5003
105031102,22,4,22,28,14,16,34,0,0,0,0,0,0,0,0,0,12,16,30,10,28,40,17,22,38,349,461,806,252,250,501,361,394,753,1182,1282,2469,1166,1160,2323,1376,1434,2812
105031103,12,10,18,28,3,12,18,0,0,0,0,0,0,0,0,0,8,13,18,13,21,32,6,17,26,217,200,415,208,180,386,294,270,562,821,811,1637,807,805,1611,933,897,1825
105031104,3,6,10,10,3,4,7,0,0,0,0,0,0,0,0,0,0,4,4,7,7,17,9,6,12,155,185,335,168,175,345,224,212,433,619,735,1356,593,681,1275,618,634,1248
105031105,17,10,15,24,0,10,8,0,3,3,0,0,0,0,3,3,5,14,19,8,18,33,3,11,14,228,232,468,207,242,451,364,359,723,949,988,1935,941,1016,1954,1029,1042,2068
105031106,11,9,24,28,4,9,12,0,0,0,0,0,0,0,0,0,7,15,23,7,24,27,13,17,28,371,345,714,731,357,1087,1090,602,1687,1283,1339,2625,1604,1223,2830,1836,1412,3249
106011107,26,11,23,32,3,23,26,0,0,0,0,0,0,0,0,0,7,32,37,13,19,36,15,28,42,325,283,606,258,257,514,361,350,718,1356,1293,2642,1365,1355,2724,1519,1599,3120
106011108,45,34,43,80,15,71,88,0,4,4,7,4,10,0,3,6,20,44,57,48,61,109,32,95,125,1068,751,1819,1308,802,2111,1545,827,2369,3014,2694,5706,3352,2920,6269,3613,3143,6753
106011109,23,10,11,21,8,18,28,0,0,0,0,0,0,0,0,0,13,19,34,16,14,27,9,29,35,236,285,524,212,222,426,477,469,949,976,1008,1986,1007,1070,2076,1254,1318,2567
106011110,20,8,18,34,3,24,24,0,0,0,0,0,0,0,0,0,15,31,42,8,25,37,5,25,32,302,310,613,259,260,523,376,374,753,1198,1256,2453,1134,1189,2321,1303,1335,2636
106011111,44,21,39,61,8,41,55,0,3,4,0,0,0,3,0,3,26,38,65,29,59,87,17,60,77,477,433,914,482,512,989,613,693,1305,2182,2173,4353,2197,2328,4517,2470,2592,5057
106011112,48,22,58,78,15,50,70,0,0,0,0,0,0,0,0,0,19,43,63,35,57,93,58,56,120,515,504,1017,503,440,940,516,536,1054,2496,2454,4956,2448,2467,4913,2345,2505,4849
106011113,22,0,10,10,0,15,16,0,0,0,0,0,0,0,0,0,33,20,49,3,15,13,3,19,21,154,116,271,167,131,297,348,311,655,740,674,1410,693,677,1371,833,863,1701
106021114,18,7,13,18,12,19,31,0,0,0,0,0,0,0,0,0,13,15,24,4,13,23,12,26,41,213,195,409,179,167,350,276,255,531,676,685,1360,682,690,1369,996,999,1994
106021115,87,34,75,103,39,84,122,0,0,0,0,0,0,0,0,3,26,89,114,48,90,138,57,106,166,816,868,1686,726,692,1419,786,833,1616,3654,3900,7556,3810,3891,7702,4033,4211,8244
106021116,21,11,13,20,12,14,26,0,0,0,0,0,0,0,0,0,9,41,57,22,17,37,15,17,33,165,135,301,148,139,291,200,177,380,925,907,1836,1055,1019,2078,1249,1190,2436
106021117,62,17,46,65,38,72,107,4,0,4,0,0,0,0,0,0,22,53,69,21,53,78,61,98,157,532,594,1121,576,582,1163,657,676,1334,2416,2561,4977,2637,2909,5551,3233,3511,6740
106021118,31,8,26,33,7,23,35,0,0,0,0,0,0,0,0,0,14,32,45,16,33,51,19,24,41,187,172,360,208,190,395,165,161,328,1295,1268,2570,1346,1352,2698,1476,1546,3029
106031119,22,6,15,20,6,13,18,0,0,0,0,0,0,0,0,0,7,25,30,5,15,22,9,15,21,189,162,352,194,182,373,243,282,528,882,859,1739,886,802,1691,839,858,1702
106031120,12,7,19,27,4,21,30,0,0,0,0,0,0,0,0,0,0,17,17,12,26,30,10,25,37,229,211,440,150,153,300,274,257,532,798,749,1550,801,806,1608,887,883,1768
106031121,68,16,65,84,23,51,69,0,0,0,0,0,4,5,3,5,20,56,81,25,73,98,35,63,91,690,809,1497,906,908,1817,823,916,1737,2311,2448,4762,2592,2775,5368,2665,2850,5510
106031122,42,18,44,60,15,43,60,0,0,0,0,3,6,0,0,0,17,46,58,28,56,85,27,61,86,510,507,1015,480,490,963,540,577,1124,2080,2132,4214,1990,2080,4071,2045,2158,4207
106031123,14,4,15,16,5,10,17,0,0,0,0,0,0,0,0,0,3,12,14,9,19,26,8,17,20,132,157,293,109,99,211,156,142,297,782,853,1638,830,910,1739,833,899,1731
106031124,9,7,13,15,7,7,14,0,0,0,0,0,0,0,0,0,10,3,9,9,8,15,7,8,13,151,133,282,173,176,356,184,163,353,448,418,866,477,489,964,462,498,961
106031125,56,12,44,59,18,39,56,0,0,0,0,0,0,0,0,0,21,51,73,16,62,78,25,40,63,284,296,584,355,339,697,629,577,1203,1744,1775,3524,1824,1979,3800,2113,2196,4304
