SA2_MAINCODE_2016,C16_P_35_39_Tot_LF,C16_P_35_39_Notin_LF,C16_P_35_39_LF_NS,C16_P_35_39_Tot,C16_P_40_44_Em_FT,C16_P_40_44_Em_PT,C16_P_40_44_Em_AFW,C16_P_40_44_Em_Hrs_NS,C16_P_40_44_Em_Tot,C16_P_40_44_Unem_Look_FT,C16_P_40_44_Unem_Look_PT,C16_P_40_44_Unem_Tot,C16_P_40_44_Tot_LF,C16_P_40_44_Notin_LF,C16_P_40_44_LF_NS,C16_P_40_44_Tot,C16_P_45_49_Em_FT,C16_P_45_49_Em_PT,C16_P_45_49_Em_AFW,C16_P_45_49_Em_Hrs_NS,C16_P_45_49_Em_Tot,C16_P_45_49_Unem_Look_FT,C16_P_45_49_Unem_Look_PT,C16_P_45_49_Unem_Tot,C16_P_45_49_Tot_LF,C16_P_45_49_Notin_LF,C16_P_45_49_LF_NS,C16_P_45_49_Tot,C16_P_50_54_Em_FT,C16_P_50_54_Em_PT,C16_P_50_54_Em_AFW,C16_P_50_54_Em_Hrs_NS,C16_P_50_54_Em_Tot,C16_P_50_54_Unem_Look_FT,C16_P_50_54_Unem_Look_PT,C16_P_50_54_Unem_Tot,C16_P_50_54_Tot_LF,C16_P_50_54_Notin_LF,C16_P_50_54_LF_NS,C16_P_50_54_Tot,C16_P_55_59_Em_FT,C16_P_55_59_Em_PT,C16_P_55_59_Em_AFW,C16_P_55_59_Em_Hrs_NS,C16_P_55_59_Em_Tot,C16_P_55_59_Unem_Look_FT,C16_P_55_59_Unem_Look_PT,C16_P_55_59_Unem_Tot,C16_P_55_59_Tot_LF,C16_P_55_59_Notin_LF,C16_P_55_59_LF_NS,C16_P_55_59_Tot,C16_P_60_64_Em_FT,C16_P_60_64_Em_PT,C16_P_60_64_Em_AFW,C16_P_60_64_Em_Hrs_NS,C16_P_60_64_Em_Tot,C16_P_60_64_Unem_Look_FT,C16_P_60_64_Unem_Look_PT,C16_P_60_64_Unem_Tot,C16_P_60_64_Tot_LF,C16_P_60_64_Notin_LF,C16_P_60_64_LF_NS,C16_P_60_64_Tot,C16_P_65_69_Em_FT,C16_P_65_69_Em_PT,C16_P_65_69_Em_AFW,C16_P_65_69_Em_Hrs_NS,C16_P_65_69_Em_Tot,C16_P_65_69_Unem_Look_FT,C16_P_65_69_Unem_Look_PT,C16_P_65_69_Unem_Tot,C16_P_65_69_Tot_LF,C16_P_65_69_Notin_LF,C16_P_65_69_LF_NS,C16_P_65_69_Tot,C16_P_70_74_Em_FT,C16_P_70_74_Em_PT,C16_P_70_74_Em_AFW,C16_P_70_74_Em_Hrs_NS,C16_P_70_74_Em_Tot,C16_P_70_74_Unem_Look_FT,C16_P_70_74_Unem_Look_PT,C16_P_70_74_Unem_Tot,C16_P_70_74_Tot_LF,C16_P_70_74_Notin_LF,C16_P_70_74_LF_NS,C16_P_70_74_Tot,C16_P_75over_Emp_Wor_ft,C16_P_75ov_Em_Work_pt,C16_P_75ov_Em_Aw_fr_w,C16_P_75ov_Emp_Hou_w_ns,C16_P_75andOver_Em_Tot,C16_P_75over_Unem_Lo_ft_w,C16_P_75over_Unem_Lo_pt_w,C16_P_75over_Unemp_Tot,C16_P_75over_Tot_lab_for,C16_P_75over_N_lab_forc,C16_P_75over_LF_NS,C16_P_75over_Tot,C16_P_Tot_Em_FT,C16_P_Tot_Em_PT,C16_P_Tot_Em_AFW,C16_P_Tot_Em_Hrs_NS,C16_P_Tot_Em_Tot,C16_P_Tot_Unem_Look_FT,C16_P_Tot_Unem_Look_PT,C16_P_Tot_Unem_Tot,C16_P_T_T_labo_for,C16_P_Tot_Notin_LF,C16_P_Tot_LF_NS,C16_P_T_T
125041491,1862,297,168,2334,844,254,21,5,1123,38,16,50,1173,188,100,1463,579,166,11,15,776,16,15,34,804,139,65,1005,460,130,11,10,615,20,4,26,641,135,39,818,339,146,9,9,505,22,11,27,539,177,52,761,211,103,9,4,332,16,3,21,351,291,48,687,96,75,6,6,186,3,5,10,190,412,38,643,21,36,3,3,59,0,0,0,59,402,40,504,14,23,0,4,39,0,0,0,44,953,140,1133,7045,2362,275,174,9854,431,308,733,10592,4322,1160,16079
125041492,2569,465,312,3338,829,195,26,30,1082,79,19,94,1176,294,149,1616,511,166,15,9,702,40,15,58,760,256,109,1125,401,141,14,8,568,39,18,60,628,290,95,1016,291,94,9,8,402,31,14,50,446,336,80,855,171,91,9,5,271,28,10,39,314,384,86,783,73,28,5,6,108,3,0,7,115,403,72,581,16,25,0,4,41,0,0,0,42,263,44,344,7,12,0,0,16,0,0,0,22,593,114,733,10087,3679,323,308,14399,918,557,1474,15872,6097,2236,24205
125041493,1275,211,72,1560,822,276,19,25,1138,35,29,59,1203,242,75,1515,796,254,15,14,1090,31,14,42,1134,227,51,1405,759,227,17,20,1027,28,15,50,1075,210,49,1327,618,216,21,12,862,28,19,49,912,299,65,1276,380,158,28,11,576,14,14,28,602,464,47,1113,114,90,16,4,227,5,0,6,234,723,39,1000,32,51,3,0,84,0,3,3,87,701,29,823,10,15,0,0,27,0,0,0,26,1785,115,1925,6723,2749,322,194,10000,376,308,686,10685,6272,804,17762
125041494,750,84,17,853,545,203,18,9,774,14,4,11,789,74,16,882,488,144,11,9,655,17,12,27,679,73,13,762,385,123,10,10,524,11,7,19,547,86,8,637,298,118,10,5,429,13,0,14,445,112,8,568,185,107,4,3,299,5,3,11,310,198,7,522,73,69,7,0,147,3,0,3,151,397,19,566,29,57,4,0,88,3,0,4,86,509,23,623,7,11,0,0,19,0,0,0,19,657,37,712,3474,1581,158,67,5287,127,102,229,5512,2698,179,8394
125041588,1021,226,80,1323,576,132,7,13,733,31,18,54,781,149,45,981,389,102,9,11,513,30,19,47,566,134,25,726,359,81,7,7,456,22,4,24,480,171,45,694,236,77,14,8,341,13,11,27,364,205,43,612,148,75,11,4,236,0,5,10,249,221,33,501,45,34,7,5,90,0,0,0,93,371,33,492,14,17,0,0,30,0,3,3,34,295,20,350,0,5,3,0,7,0,0,0,7,754,124,884,3733,1366,118,158,5367,260,189,453,5821,3526,624,9974
125041589,1286,244,79,1605,631,170,19,17,836,32,30,60,899,194,49,1137,450,124,13,9,591,35,25,60,650,161,37,850,391,115,10,17,531,22,8,32,560,214,37,817,313,99,7,8,431,18,16,36,469,283,45,793,161,78,7,8,246,22,5,29,278,306,37,623,54,35,5,0,96,0,3,4,99,355,32,486,9,22,0,0,35,0,3,3,42,287,19,342,4,6,0,3,12,0,3,0,17,730,71,812,4736,1822,157,168,6882,428,283,709,7591,4098,650,12333
126011495,1542,299,53,1893,1041,355,28,16,1437,42,39,79,1518,299,48,1863,1015,376,13,19,1422,35,21,50,1473,227,37,1738,1065,382,20,15,1481,43,30,69,1550,296,37,1879,886,341,26,19,1273,40,27,66,1342,379,27,1747,472,304,19,11,803,18,26,43,843,653,41,1531,154,187,15,5,363,3,11,13,375,746,33,1155,37,61,11,4,111,0,7,7,111,645,26,786,14,48,3,0,68,0,4,3,69,1581,112,1762,8465,4080,309,215,13075,453,509,961,14032,7707,620,22364
126011496,1063,161,35,1257,890,286,17,16,1216,23,19,44,1258,165,45,1464,905,308,14,11,1238,39,11,53,1291,175,33,1505,928,311,14,14,1272,31,12,41,1317,177,38,1534,726,297,25,14,1066,22,12,41,1103,267,38,1401,427,259,23,9,709,11,14,25,733,436,28,1197,183,188,15,5,391,4,13,16,406,651,32,1091,46,96,6,0,151,0,4,7,149,664,41,860,27,52,3,8,87,4,0,3,92,1381,245,1725,6345,3321,259,135,10064,240,269,501,10567,5335,656,16561
126021497,1340,259,59,1650,846,341,27,16,1232,35,19,62,1291,242,49,1577,834,334,22,14,1203,41,18,56,1258,256,56,1572,954,359,15,20,1353,43,24,69,1417,317,54,1793,730,342,22,16,1109,32,17,52,1160,405,54,1619,384,295,28,15,729,17,31,44,777,688,55,1517,160,152,10,0,318,3,4,9,330,810,53,1195,36,52,0,3,99,0,3,3,100,683,45,829,7,35,3,3,47,0,0,0,50,1507,73,1628,7270,3840,297,219,11622,410,443,858,12481,7680,770,20931
126021498,885,111,70,1065,728,240,16,14,994,9,19,32,1022,110,66,1202,666,231,12,15,915,21,5,26,942,107,44,1097,584,193,10,11,794,23,13,41,836,122,49,1001,437,174,19,7,629,13,9,21,653,167,43,862,271,128,13,5,415,12,8,20,431,293,36,760,103,109,14,5,233,0,3,3,243,464,32,738,46,47,3,3,99,0,0,0,101,413,36,552,16,29,0,4,50,0,0,0,51,1055,58,1160,4960,2115,198,106,7374,144,173,316,7688,3512,627,11834
