region_id,C11_Tot_res_Bo_par_bo_os,C11_Tot_res_Fa_onl_bo_os,C11_Tot_res_Mo_onl_bo_os,C11_Tot_res_Bo_pa_bo_Aus,C11_Tot_resp_Bplace_ns,C11_Tot_resp_Tot_resp,C11_T_P_BP_B_OS,C11_T_P_Fa_only_bor_os,C11_T_P_Mo_O_B_OS,C11_T_P_BP_B_Aus,C11_T_P_Bplace_NS,C11_T_P_Tot_resp
LGA13550,742,641,466,12916,918,15683,627,404,296,9961,886,12174
LGA13650,302,198,157,4549,294,5500,241,122,90,3546,272,4271
LGA13660,272,235,234,5358,231,6330,230,143,156,4143,191,4863
LGA13700,317,166,162,3706,202,4553,250,103,95,2860,176,3484
LGA13800,13554,7771,5534,51397,4247,82503,11381,4779,3351,38614,3895,62020
LGA13850,290,188,119,3123,211,3931,249,115,72,2402,202,3040
LGA13950,64570,8005,4838,30137,7851,115401,59924,5518,3167,22542,7469,98620
LGA14000,77618,17707,12927,85116,6572,199940,69290,10682,7776,60855,5971,154574
LGA14100,5157,1947,1310,8436,657,17507,4492,1198,806,5924,600,13020
LGA14150,48155,6522,4322,30510,4335,93844,44802,4244,2745,22450,4054,78295
LGA14200,1371,1015,630,16445,1017,20478,1179,625,414,12700,908,15826
LGA14250,157,73,63,1428,93,1814,128,51,38,1107,88,1412
LGA14300,361,288,221,5219,1095,7184,292,180,142,4073,1065,5752
LGA14350,2901,2246,1402,27795,2625,36969,2434,1390,861,21350,2441,28476
LGA14400,4271,2430,1713,17256,882,26552,3588,1487,1017,12675,803,19570
LGA14450,34516,4933,3390,20981,3294,67114,32184,3259,2176,15370,3118,56107
LGA14500,54016,14008,10923,58854,5078,142879,46517,8389,6524,41798,4651,107879
LGA14550,1278,859,575,8714,580,12006,1036,530,348,6592,543,9049
LGA14600,352,311,273,6851,478,8265,294,182,161,5410,425,6472
LGA14650,27654,19225,13076,176368,10373,246696,23277,11783,8006,133196,9297,185559
LGA14700,14996,4469,3274,18130,1599,42468,12811,2656,1978,12656,1488,31589
LGA14750,1336,741,486,10896,864,14323,1180,487,301,8106,815,10889
LGA14800,22996,8134,5423,30607,3587,70747,18889,4838,3179,21194,3325,51425
LGA14850,6210,4343,3093,42272,2603,58521,5021,2608,1836,30890,2333,42688
LGA14870,2560,1735,1140,18555,1831,25821,2173,1092,693,14173,1685,19816
LGA14900,114499,15048,9003,58575,14693,211818,105630,10178,5914,44185,13955,179862
LGA14920,561,435,273,7709,440,9418,442,271,176,5967,409,7265
LGA14950,214,132,106,3261,124,3837,181,81,62,2435,115,2874
LGA15050,7981,5559,4109,66845,3997,88491,6604,3415,2495,50847,3652,67013
LGA15150,18595,5459,4265,21989,3035,53343,15216,3281,2520,15612,2869,39498
LGA15200,39120,9995,6905,36891,6795,99706,34154,5915,4044,25128,6375,75616
LGA15270,2779,1667,1321,21684,1809,29260,2328,1016,801,16336,1657,22138
LGA15300,1014,621,515,13683,1427,17260,838,388,322,10717,1350,13615
LGA15350,12211,3749,2757,15770,2168,36655,9948,2256,1643,11073,2059,26979
LGA15500,679,417,334,6975,465,8870,583,262,200,5420,425,6890
LGA15550,187,126,89,2360,176,2938,150,88,60,1738,162,2198
LGA15650,1690,1100,779,15654,1634,20857,1375,679,486,11961,1562,16063
LGA15700,2597,1674,1193,17934,1162,24560,2162,1029,740,13558,1058,18547
LGA15750,793,666,515,13611,1175,16760,672,410,311,10679,1088,13160
LGA15800,423,359,176,6183,551,7692,371,226,108,4652,507,5864
LGA15850,378,349,221,6880,435,8263,314,221,142,5352,399,6428
LGA15900,27280,15388,10442,133757,10961,197828,23551,9390,6340,98765,10113,148159
LGA15950,30939,7561,5723,32341,6135,82699,26237,4484,3349,22331,5890,62291
LGA16100,843,424,309,4798,407,6781,715,257,174,3605,368,5119
LGA16150,5113,3103,2035,37319,3257,50827,4335,1913,1213,28007,3001,38469
LGA16180,3096,1888,1378,12425,1185,19972,2520,1118,811,9049,1089,14587
LGA16200,1082,867,645,15012,1271,18877,929,535,402,11503,1162,14531
LGA16250,106437,13534,8942,55367,14434,198714,98851,8906,5708,40610,13851,167926
LGA16350,60545,22345,14467,120913,12535,230805,52919,13796,8879,90868,11519,177981
LGA16370,19124,8425,6274,38751,3090,75664,15742,5075,3783,28271,2793,55664
LGA16380,11690,6973,5066,67849,4982,96560,9793,4289,3097,51125,4510,72814
LGA16400,10452,6541,4598,58520,4541,84652,8748,4006,2820,44315,4181,64070
LGA16470,11124,4395,3071,29158,2517,50265,9630,2690,1846,21513,2363,38042
LGA16550,70066,13835,10011,56873,12988,163773,61558,8432,6046,40555,12340,128931
LGA16610,1862,1634,1023,22838,1660,29017,1528,1012,651,17536,1518,22245
LGA16650,64495,8174,4986,28348,8089,114092,59653,5532,3269,20979,7669,97102
LGA16700,60640,10039,6922,43050,6431,127082,55807,6183,4242,30748,6104,103084
LGA16900,18810,8201,5806,45921,3367,82105,16433,5112,3579,34533,3041,62698
LGA16950,16691,9918,6834,79412,7503,120358,14131,6071,4181,59546,6922,90851
LGA17000,2882,1775,1546,22667,1433,30303,2342,1071,955,17275,1301,22944
LGA17050,3401,2320,1890,14732,3006,25349,2741,1373,1107,10422,2901,18544
LGA17100,25793,2031,1530,7170,2980,39504,24384,1382,1005,5262,2900,34933
LGA17150,59251,26718,18465,162340,10596,277370,50856,16344,11275,120081,9636,208192
LGA17200,97168,16956,12355,74168,29570,230217,84603,10118,7331,50859,28850,181761
LGA17310,4373,3496,2363,58735,4253,73220,3675,2135,1459,44774,3926,55969
LGA17350,429,311,194,6317,276,7527,355,188,125,4732,254,5654
LGA17400,714,529,376,6777,517,8913,601,330,224,5079,481,6715
LGA17420,83901,18608,12800,91334,6803,213446,75529,11541,7882,66988,6228,168168
LGA17450,409,243,187,3106,327,4272,344,154,99,2398,294,3289
LGA17500,1324,651,551,10911,698,14135,1118,386,333,8387,643,10867
LGA17550,18494,9448,6563,74369,6330,115204,15284,5830,4068,55438,5767,86387
LGA17620,1325,874,676,13895,997,17767,1127,529,416,10736,939,13747
LGA17640,798,486,321,7297,441,9343,642,303,199,5450,387,6981
LGA17650,565,492,320,6091,309,7777,475,297,201,4587,271,5831
LGA17700,72,60,37,1217,85,1471,61,34,25,923,78,1121
LGA17750,6933,4332,3136,61688,3562,79651,5956,2626,1886,46401,3172,60041
LGA17800,381,198,181,4041,325,5126,329,130,116,3096,303,3974
LGA17850,242,170,139,3315,137,4003,193,109,84,2493,120,2999
LGA17900,995,355,254,6130,802,8536,875,237,164,4817,767,6860
LGA17950,169,137,103,3056,165,3630,141,81,69,2351,147,2789
LGA18000,59236,20011,14443,83354,8017,185061,49960,12094,8657,60771,7290,138772
LGA18020,768,566,429,9744,753,12260,679,360,257,7423,702,9421
LGA18050,34931,8100,5685,24965,7791,81472,29357,4969,3456,17467,7481,62730
LGA18100,280,222,192,3808,211,4713,240,135,113,2864,193,3545
LGA18150,609,467,358,8236,1118,10788,496,284,225,6297,1055,8357
LGA18200,715,391,300,7125,569,9100,634,255,186,5487,516,7078
LGA18250,38518,7675,5934,29762,4027,85916,34452,4607,3577,20976,3808,67420
LGA18350,10057,5698,4003,36961,2866,59585,8282,3442,2409,26978,2566,43677
LGA18400,9545,5461,3736,35390,2378,56510,8032,3320,2261,26785,2162,42560
LGA18450,65603,24813,17212,130016,12226,249870,57937,15170,10520,95922,11149,190698
LGA18500,24499,7227,5062,25969,6145,68902,20190,4472,3098,18063,5842,51665
LGA18550,27235,17184,11357,129529,10574,195879,22765,10584,6991,97787,9621,147748
LGA18710,2364,1530,1220,13818,1114,20046,1927,906,736,10186,1043,14798
LGA18750,1045,844,568,12409,941,15807,883,518,362,9379,860,12002
LGA19399,766,326,203,2689,454,4438,666,197,126,1963,440,3392
