region_id,C11_AP_45_49_NCB_2,C11_AP_45_49_NCB_3,C11_AP_45_49_NCB_4,C11_AP_45_49_NCB_5,C11_AP_45_49_NCB_6m,C11_AP_45_49_NCB_NS,C11_AP_45_49_Tot,C11_AP_50_54_NCB_0,C11_AP_50_54_NCB_1,C11_AP_50_54_NCB_2,C11_AP_50_54_NCB_3,C11_AP_50_54_NCB_4,C11_AP_50_54_NCB_5,C11_AP_50_54_NCB_6m,C11_AP_50_54_NCB_NS,C11_AP_50_54_Tot,C11_AP_55_59_NCB_0,C11_AP_55_59_NCB_1,C11_AP_55_59_NCB_2,C11_AP_55_59_NCB_3,C11_AP_55_59_NCB_4,C11_AP_55_59_NCB_5,C11_AP_55_59_NCB_6m,C11_AP_55_59_NCB_NS,C11_AP_55_59_Tot,C11_AP_60_64_NCB_0,C11_AP_60_64_NCB_1,C11_AP_60_64_NCB_2,C11_AP_60_64_NCB_3,C11_AP_60_64_NCB_4,C11_AP_60_64_NCB_5,C11_AP_60_64_NCB_6m,C11_AP_60_64_NCB_NS,C11_AP_60_64_Tot,C11_AP_65_69_NCB_0,C11_AP_65_69_NCB_1,C11_AP_65_69_NCB_2,C11_AP_65_69_NCB_3,C11_AP_65_69_NCB_4,C11_AP_65_69_NCB_5,C11_AP_65_69_NCB_6m,C11_AP_65_69_NCB_NS,C11_AP_65_69_Tot,C11_AP_70_74_NCB_0,C11_AP_70_74_NCB_1,C11_AP_70_74_NCB_2,C11_AP_70_74_NCB_3,C11_AP_70_74_NCB_4,C11_AP_70_74_NCB_5,C11_AP_70_74_NCB_6m,C11_AP_70_74_NCB_NS,C11_AP_70_74_Tot,C11_AP_75_79_NCB_0,C11_AP_75_79_NCB_1,C11_AP_75_79_NCB_2,C11_AP_75_79_NCB_3,C11_AP_75_79_NCB_4,C11_AP_75_79_NCB_5,C11_AP_75_79_NCB_6m,C11_AP_75_79_NCB_NS,C11_AP_75_79_Tot,C11_AP_80_84_NCB_0,C11_AP_80_84_NCB_1,C11_AP_80_84_NCB_2,C11_AP_80_84_NCB_3,C11_AP_80_84_NCB_4,C11_AP_80_84_NCB_5,C11_AP_80_84_NCB_6m,C11_AP_80_84_NCB_NS,C11_AP_80_84_Tot,C11_AP_85andover_N_c_b_0,C11_AP_85andover_N_c_b_1,C11_AP_85andover_N_c_b_2,C11_AP_85andover_N_c_b_3,C11_AP_85andover_N_c_b_4,C11_AP_85andover_N_c_b_5,C11_AP_85ov_N_c_b_6mor,C11_AP_85andover_N_c_b_NS,C11_AP_85_and_over_Tot,C11_AP_Tot_NCB_0,C11_AP_Tot_NCB_1,C11_AP_Tot_NCB_2,C11_AP_Tot_NCB_3,C11_AP_Tot_NCB_4,C11_AP_Tot_NCB_5,C11_AP_Tot_N_ch_b_6mor,C11_AP_Tot_NCB_NS,C11_AP_T_T
LGA14950,27,28,19,5,0,4,99,9,6,26,28,12,7,5,4,97,6,8,19,33,13,4,11,5,99,3,3,31,31,11,10,0,0,89,5,4,20,27,9,4,0,8,77,8,3,11,24,19,0,9,0,74,0,3,7,10,11,3,5,4,43,0,3,4,11,14,7,3,3,45,7,5,12,10,7,15,3,3,62,199,92,243,278,148,59,45,46,1110
LGA15050,930,512,213,58,36,74,2328,200,224,908,619,174,49,32,87,2293,170,167,765,581,190,45,26,63,2007,133,143,674,522,220,64,40,70,1866,95,102,432,394,175,52,39,57,1346,98,75,263,255,153,86,70,51,1051,66,59,200,222,131,69,67,58,872,61,51,159,165,117,49,70,73,745,86,73,145,148,109,48,56,70,735,6952,3002,7619,5010,2053,655,535,1220,27046
LGA15150,558,265,56,6,4,78,1487,255,181,472,207,51,12,3,68,1249,199,123,386,180,58,4,3,60,1013,177,128,386,184,52,9,8,68,1012,103,89,300,197,73,14,5,58,839,73,56,188,145,72,15,4,33,586,60,40,115,121,60,21,14,62,493,63,35,129,116,54,25,10,45,477,57,60,147,93,48,18,11,120,554,6425,1980,4091,2056,607,133,70,1200,16562
LGA15200,693,231,80,20,20,164,2701,832,377,569,229,72,41,24,131,2275,575,330,501,262,99,40,36,150,1993,381,232,462,214,103,38,27,116,1573,201,146,403,227,82,20,33,84,1196,137,115,344,178,76,40,36,83,1009,107,96,252,152,83,40,57,60,847,96,70,141,104,44,26,48,51,580,103,81,121,59,49,27,37,91,568,16543,4412,5697,2273,838,337,356,2401,32857
LGA15270,263,219,83,15,9,31,779,81,58,231,210,86,18,16,18,718,106,47,222,161,79,31,8,39,693,58,74,246,188,92,28,15,38,739,48,41,209,170,90,28,19,37,642,36,31,98,100,89,32,31,37,454,33,26,66,80,67,34,35,33,374,32,30,68,61,40,13,29,19,292,32,33,78,50,33,22,16,34,298,1931,903,2278,1751,846,287,220,519,8735
LGA15300,146,98,48,24,9,34,451,31,46,135,108,67,21,13,39,460,22,24,114,99,45,18,14,29,365,37,28,110,106,57,18,13,36,405,23,9,93,60,42,15,25,27,294,15,4,43,47,40,19,25,25,218,12,7,19,24,31,12,21,22,148,4,15,24,26,21,16,13,12,131,11,4,15,19,24,9,18,11,111,1157,521,1206,907,524,198,201,483,5197
LGA15350,411,208,48,7,0,58,1142,236,128,299,192,42,7,3,56,963,190,117,292,145,49,3,3,62,861,207,123,289,177,54,5,8,57,920,144,80,259,146,52,15,0,49,745,99,38,157,121,38,17,4,33,507,69,34,103,98,27,13,5,25,374,71,27,91,96,50,18,17,26,396,103,75,157,114,45,13,14,48,569,4663,1392,2822,1641,472,109,54,843,11996
LGA15500,79,60,21,6,0,9,214,24,18,83,71,20,8,3,12,239,9,13,82,67,29,9,3,7,219,26,23,104,76,29,8,4,13,283,22,16,93,69,42,11,5,15,273,18,5,51,48,41,22,13,8,206,17,7,38,32,32,16,14,7,163,11,6,23,26,14,8,8,18,114,5,9,18,23,11,3,6,9,84,600,246,807,611,285,98,60,161,2868
LGA15550,22,21,12,6,0,5,79,3,9,23,22,13,0,3,0,73,6,11,28,7,8,3,0,0,63,0,3,13,24,12,0,3,3,58,0,0,15,14,3,3,3,3,41,3,4,4,12,11,9,4,3,50,0,0,6,5,5,3,3,5,27,0,0,0,4,9,3,3,0,19,0,0,4,6,0,0,0,4,14,133,70,203,177,100,38,28,47,796
LGA15650,175,149,62,21,14,20,517,39,45,174,140,66,12,10,26,512,32,22,133,127,39,14,13,20,400,20,17,128,106,65,15,10,17,378,8,14,82,83,46,13,10,14,270,15,6,43,58,34,12,5,15,188,13,10,31,40,30,19,19,25,187,3,14,25,27,17,14,15,13,128,3,9,27,24,12,11,11,9,106,1407,588,1462,1149,514,185,146,376,5827
LGA15700,231,139,70,17,15,23,649,93,89,284,198,62,30,17,29,802,99,81,241,181,78,15,13,30,738,93,75,281,178,96,25,16,22,786,69,52,226,174,79,19,25,27,671,50,44,143,136,76,27,18,29,523,33,26,90,108,87,45,20,20,429,33,26,79,78,58,43,35,25,377,27,35,82,82,45,33,23,34,361,1515,819,2175,1610,801,324,223,380,7847
LGA15750,173,114,48,13,7,22,456,34,48,163,117,54,21,9,17,463,33,29,145,108,48,13,6,20,402,33,9,136,96,49,16,13,17,369,15,18,72,100,51,20,10,16,302,10,10,58,67,58,23,21,19,266,8,11,40,40,38,27,24,14,202,14,11,29,23,32,12,14,22,157,7,11,24,22,15,5,19,32,135,995,464,1376,991,505,196,152,337,5016
LGA15800,68,48,27,16,3,14,212,23,11,55,68,31,9,0,10,207,11,9,56,53,28,10,4,11,182,19,12,52,45,24,13,3,15,183,16,4,57,40,26,9,13,5,170,11,6,25,32,26,11,3,7,121,4,7,26,20,20,3,11,15,106,8,12,15,12,24,10,11,18,110,3,10,6,20,10,4,14,33,100,406,210,554,503,266,105,73,211,2328
LGA15850,68,48,31,9,8,5,210,12,13,80,61,29,8,6,6,215,18,15,74,65,24,11,7,8,222,6,14,73,49,39,5,3,12,201,16,12,50,51,28,11,8,11,187,3,3,30,35,30,17,4,8,130,7,4,21,25,27,12,5,5,106,3,4,11,25,14,3,13,6,79,3,4,14,8,11,4,6,10,60,450,223,640,524,310,112,84,134,2477
LGA15900,1876,943,288,77,48,174,4910,733,626,1834,1078,360,84,37,225,4977,544,494,1692,1034,320,88,39,162,4373,455,388,1463,935,352,89,37,199,3918,341,284,1112,766,320,102,41,179,3145,262,193,773,655,320,123,111,151,2588,202,196,603,603,325,146,117,207,2399,204,228,639,493,314,149,115,259,2401,240,266,653,502,281,122,102,457,2623,21287,7342,16047,9307,3540,1146,764,3599,63032
LGA15950,457,131,34,8,0,161,1933,732,295,503,197,40,10,3,156,1936,565,251,560,252,72,13,4,146,1863,444,263,608,309,92,22,6,122,1866,326,147,456,251,91,18,6,104,1399,226,91,251,179,79,22,6,95,949,152,54,175,136,71,33,21,74,716,136,56,129,101,54,23,19,62,580,149,85,168,116,59,24,18,106,725,15669,3441,4623,1973,647,179,93,2461,29086
LGA16100,52,31,14,12,6,3,149,17,14,56,41,19,5,6,4,162,19,12,50,49,30,4,3,3,170,22,16,58,44,31,7,5,8,191,15,10,47,38,25,7,4,9,155,10,6,18,26,14,8,6,4,92,4,7,4,15,8,7,12,3,60,0,4,11,7,12,3,6,0,43,8,3,12,10,10,3,6,7,59,390,172,494,400,205,68,60,80,1869
LGA16150,445,309,119,36,32,57,1278,130,130,439,296,142,37,19,49,1242,110,100,364,296,123,33,23,45,1094,85,71,375,276,121,35,23,46,1032,86,62,237,192,95,32,21,40,765,51,28,172,176,109,47,35,40,658,39,39,130,142,94,53,52,33,582,38,38,106,99,84,41,35,38,479,51,60,106,131,72,33,43,41,537,4183,1633,3840,2804,1240,458,367,880,15405
LGA16180,214,118,40,9,5,33,593,103,61,190,140,57,19,4,33,607,104,47,188,114,39,10,6,33,541,66,48,181,116,46,13,7,18,495,37,26,91,78,43,11,3,14,303,16,15,42,53,33,5,13,7,184,6,6,19,30,19,14,3,12,109,0,6,16,13,17,11,8,9,80,4,4,11,14,11,7,5,5,61,1534,578,1534,956,392,124,63,318,5499
LGA16200,143,136,57,23,15,25,477,53,39,145,142,63,20,10,28,500,38,25,133,114,82,24,13,23,452,24,28,136,98,53,18,9,26,392,33,28,90,84,51,19,20,19,344,23,15,65,95,57,31,25,26,337,24,5,53,58,47,25,30,18,260,22,8,35,54,35,23,30,17,224,23,19,51,40,30,27,24,30,244,1200,528,1349,1161,621,267,213,392,5731
LGA16250,1856,831,341,145,107,324,5492,813,855,1590,862,376,111,104,286,4997,648,743,1348,751,359,126,107,291,4373,496,405,1234,728,317,122,115,169,3586,314,281,922,586,260,96,92,179,2730,220,207,695,489,286,135,124,157,2313,166,154,481,434,242,124,147,171,1919,165,151,400,341,196,122,176,224,1775,185,254,483,340,225,116,124,350,2077,23971,10300,15196,7635,3516,1410,1306,5008,68342
LGA16350,2283,1440,570,175,88,257,6135,548,584,2343,1673,663,178,101,298,6388,409,470,2062,1395,548,170,78,236,5368,338,436,1751,1224,524,168,92,200,4733,187,244,994,743,418,146,115,165,3012,151,174,514,519,298,162,137,152,2107,93,124,335,332,265,153,145,124,1571,90,119,268,232,178,78,126,171,1262,79,135,317,221,148,92,114,225,1331,20169,8388,18903,11795,5030,1740,1248,4050,71323
LGA16370,975,434,111,9,9,64,2256,304,293,890,464,133,27,7,63,2181,279,242,843,460,137,33,12,70,2076,210,203,765,420,114,22,11,77,1822,160,143,614,340,137,25,11,55,1485,60,98,368,269,103,35,17,48,998,64,56,248,234,115,34,28,48,827,72,77,235,198,98,33,19,62,794,98,129,322,194,94,28,36,100,1001,6255,2735,7464,3929,1248,271,156,1025,23083
