region_id,C11_85o_SOL_SE_To,C11_85o_LPE_NS,C11_85o_Tot,C11_Tot_SEO,C11_To_SOL_SE_Vw_w,C11_To_SOL_SE_Nw_Na,C11_To_SOL_SE_P_E_n,C11_Tot_SOL_SE_Tot,C11_Tot_LPE_NS,C11_T_T
LGA17700,0,6,25,1041,15,3,0,18,56,1115
LGA17750,44,67,1144,55300,2549,452,50,3051,1695,60046
LGA17800,9,7,105,3622,106,22,0,128,219,3969
LGA17850,4,4,79,2881,48,6,0,54,60,2995
LGA17900,0,14,74,5887,348,55,6,409,563,6859
LGA17950,0,0,47,2640,48,8,0,56,91,2787
LGA18000,672,276,3843,111224,20160,2780,297,23237,4319,138780
LGA18020,4,22,261,8708,175,9,9,193,515,9416
LGA18050,415,145,1362,44241,10757,1167,149,12073,6412,62726
LGA18100,0,4,96,3385,49,6,3,58,111,3554
LGA18150,0,7,149,7369,147,23,6,176,810,8355
LGA18200,10,4,118,6506,224,24,7,255,309,7070
LGA18250,353,102,1586,40695,19456,4172,204,23832,2883,67410
LGA18350,49,160,1165,39978,1887,157,40,2084,1616,43678
LGA18400,78,17,456,38893,2038,208,30,2276,1386,42555
LGA18450,860,295,4231,151254,26255,5896,391,32542,6898,190694
LGA18500,277,184,1528,39537,6481,497,92,7070,5061,51668
LGA18550,161,281,3774,135858,5452,727,88,6267,5614,147739
LGA18710,12,17,228,13604,498,67,5,570,624,14798
LGA18750,9,25,320,11074,309,52,6,367,556,11997
LGA19399,0,5,50,2806,169,31,0,200,385,3391
