SA3_CODE_2016,C16_85o_Seprtd_M,C16_85o_Seprtd_F,C16_85o_Divorce_M,C16_85o_Divorce_F,C16_85o_Wid_M,C16_85o_Wid_F,C16_85o_Nvr_mard_M,C16_85o_Nvr_mard_F,C16_85o_T_M,C16_85o_T_F,C16_85o_T_P,C16_T_Married_M,C16_T_Married_F,C16_Tot_Sep_M,C16_Tot_Sep_F,C16_Tot_Div_M,C16_Tot_Div_F,C16_Tot_Wid_M,C16_Tot_Wid_F,C16_Tot_nver_marrie_M,C16_Tot_nver_marrie_F,C16_Tot_T_M,C16_Tot_T_F,C16_Tot_T_P
11703,22,10,49,105,182,750,127,110,724,1087,1811,25924,25087,2099,1899,6417,7623,833,3151,68221,58314,103486,96080,199572
11801,15,10,62,148,318,1395,121,148,1179,1987,3166,21399,21718,1005,1153,3257,5170,798,3800,23795,24497,50253,56344,106594
11802,21,18,55,145,339,1390,113,191,1129,2053,3181,23253,22785,1236,1457,3274,4893,934,4040,29808,28018,58494,61195,119690
11901,26,3,67,98,578,1933,58,64,1525,2505,4028,34360,34408,2086,2770,4436,6593,1579,6295,23062,19160,65520,69222,134748
11902,17,9,34,56,288,1124,45,50,1072,1529,2601,29010,28182,1544,1937,3252,4653,941,4291,19528,14698,54269,53763,108033
11903,18,21,33,97,381,1704,45,76,1165,2245,3409,27669,28088,1112,1503,2841,4639,1049,4766,18330,16025,51003,55028,106028
11904,25,12,71,111,415,1500,91,94,1338,2038,3379,29050,28836,1525,1803,3511,5204,1167,4768,21449,18216,56698,58824,115524
12001,13,7,22,68,220,957,29,78,735,1280,2011,18117,18416,690,891,1965,3171,645,2803,12313,12249,33738,37526,71258
12002,3,5,16,47,86,326,33,42,261,466,726,9762,9816,498,630,1717,2694,339,1211,9274,9864,21583,24220,45798
12003,23,21,58,98,361,1556,110,160,1261,2150,3410,29816,29732,1295,1653,3448,5142,955,4770,28059,25143,63569,66447,130010
12101,20,9,32,99,277,1108,44,102,916,1598,2514,24027,24561,790,1055,2220,3773,702,2984,15653,15287,43399,47652,91054
12102,11,4,35,53,190,691,16,45,574,958,1532,18508,18669,606,797,1588,3023,581,2197,9694,8487,30986,33171,64158
12103,20,4,40,99,460,1786,44,113,1500,2543,4039,28468,29408,624,848,1513,3096,1008,4195,12871,12396,44480,49936,94421
12104,8,3,46,100,203,880,57,153,709,1341,2052,18136,18194,900,995,2855,4787,566,2697,14875,16742,37331,43418,80751
12201,7,3,16,45,90,358,14,33,338,557,892,8323,8344,354,399,1157,1612,277,1024,6354,6175,16460,17552,34011
12202,0,7,33,73,187,790,18,35,576,1078,1651,13525,13583,531,664,1731,2659,523,2214,7104,6170,23410,25283,48692
12203,24,14,82,199,530,2042,41,113,1543,2860,4399,31509,31664,1279,1530,3739,5999,1331,5202,20133,17946,57983,62339,120319
12301,8,3,11,22,105,476,6,6,283,592,868,12966,13049,636,894,1285,2236,381,1580,7469,7021,22743,24773,47522
12302,12,11,31,68,215,830,26,27,580,1114,1695,29459,29475,2128,2863,4135,6275,1162,4349,23461,21086,60346,64042,124387
12303,3,0,13,12,81,280,9,9,223,383,605,8687,8754,458,519,1056,1365,322,1048,5313,4650,15835,16340,32176
12401,7,10,29,89,199,770,35,58,548,1077,1622,15379,15408,859,1099,2475,4112,743,2655,10342,9576,29802,32851,62651
12402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,3
12403,12,3,31,64,239,876,22,41,591,1127,1715,26504,26644,1755,2234,3705,5625,1088,3707,20136,18252,53192,56462,109652
12404,3,0,8,27,100,350,12,11,237,456,693,6453,6274,524,609,1183,1793,355,1242,6059,5122,14570,15045,29613
12405,3,4,7,19,67,287,12,8,179,359,535,9616,9600,774,943,1585,2162,375,1490,8710,7606,21059,21808,42867
12501,11,5,17,22,117,492,22,34,348,646,998,20577,18349,968,1089,1981,2609,482,1939,15712,10306,39721,34295,74020
12502,4,3,22,39,146,562,17,24,503,787,1287,14877,15094,546,694,1460,2209,519,2020,8794,7635,26191,27660,53851
12503,28,11,41,82,346,1325,44,47,985,1729,2710,30410,29616,2031,2477,3778,5095,1154,5055,22106,16794,59479,59041,118524
12504,11,3,42,74,366,1293,40,69,935,1661,2597,32567,31614,1265,1484,3066,4583,1039,4312,18941,14650,56880,56645,113525
12601,4,3,12,36,122,507,7,23,438,711,1149,11336,11535,283,358,655,1220,343,1377,6272,5544,18883,20032,38919
12602,13,3,54,134,463,1707,76,210,1355,2428,3780,28679,28901,1031,1229,2703,4468,1083,4505,20531,19169,54024,58273,112299
12701,6,6,16,20,110,400,8,18,312,507,815,20651,20657,1244,1673,2110,3113,545,2511,14131,12168,38679,40118,78799
12702,35,20,41,82,364,1458,41,50,1250,1933,3187,36447,36464,2507,3201,5226,7546,1414,6819,27748,23311,73347,77342,150687
12703,8,9,20,51,180,776,22,24,546,995,1547,23938,23798,1474,1932,2767,4004,753,3590,15871,12965,44798,46288,91086
12801,13,8,45,138,403,1654,42,60,1278,2292,3563,23066,23179,1114,1349,3064,4634,1080,4347,14891,13308,43212,46817,90027
12802,15,7,23,79,323,1151,35,54,843,1537,2381,24185,24298,889,1184,2262,3790,917,3296,13550,11920,41808,44496,86302
19797,0,0,0,0,3,3,0,0,3,7,10,102,119,3,8,10,29,7,21,26,35,157,220,374
19999,6,0,9,9,8,26,7,3,32,48,78,1157,1181,635,257,980,569,143,185,4049,2395,6958,4590,11545
