SA3_CODE_2016,C16_AP_75_79_NCB_4,C16_AP_75_79_NCB_5,C16_AP_75_79_NCB_6m,C16_AP_75_79_NCB_NS,C16_AP_75_79_Tot,C16_AP_80_84_NCB_0,C16_AP_80_84_NCB_1,C16_AP_80_84_NCB_2,C16_AP_80_84_NCB_3,C16_AP_80_84_NCB_4,C16_AP_80_84_NCB_5,C16_AP_80_84_NCB_6m,C16_AP_80_84_NCB_NS,C16_AP_80_84_Tot,C16_AP_85andover_N_c_b_0,C16_AP_85andover_N_c_b_1,C16_AP_85andover_N_c_b_2,C16_AP_85andover_N_c_b_3,C16_AP_85andover_N_c_b_4,C16_AP_85andover_N_c_b_5,C16_AP_85ov_N_c_b_6mor,C16_AP_85andover_N_c_b_NS,C16_AP_85_and_over_Tot,C16_AP_Tot_NCB_0,C16_AP_Tot_NCB_1,C16_AP_Tot_NCB_2,C16_AP_Tot_NCB_3,C16_AP_Tot_NCB_4,C16_AP_Tot_NCB_5,C16_AP_Tot_N_ch_b_6mor,C16_AP_Tot_NCB_NS,C16_AP_T_T
11401,368,133,76,265,2480,97,111,409,437,250,119,95,259,1781,112,117,388,393,224,92,92,432,1852,8793,4369,11901,8139,3611,1122,673,3773,42374
11402,164,60,45,96,1201,82,65,192,189,127,36,36,94,809,86,62,205,181,90,45,44,169,889,5221,2179,5702,3849,1564,450,292,1611,20867
11501,224,79,41,112,1891,94,99,413,315,152,56,40,153,1314,132,143,421,339,202,87,101,466,1893,16169,7407,19742,9257,2730,695,452,2904,59352
11502,58,30,15,25,430,25,12,79,73,39,17,18,14,268,27,55,104,88,40,25,22,19,374,2938,941,2963,2154,781,219,137,661,10787
11503,33,17,4,21,252,8,11,48,29,27,11,9,16,160,9,12,32,28,20,10,10,18,136,2598,1021,2661,1747,689,181,110,819,9823
11504,39,15,7,11,253,4,4,37,40,20,12,17,6,148,11,15,41,34,13,4,17,12,143,3471,1379,3912,2218,726,193,121,639,12658
11601,195,103,112,114,1529,61,101,303,259,172,116,118,104,1239,76,141,270,206,162,105,155,147,1259,15340,7778,14154,7526,3239,1281,1017,3664,53991
11602,77,49,44,42,570,14,16,85,72,46,27,26,30,319,13,19,50,49,47,37,38,39,299,9936,5016,11000,4826,1681,500,333,1852,35157
11603,180,85,115,111,1030,34,53,111,141,100,61,121,80,694,73,68,120,121,100,64,143,68,755,11904,5326,9801,6741,3514,1474,1585,3650,43988
11701,73,22,27,57,648,28,51,133,92,51,20,15,59,453,46,51,131,70,40,26,41,95,497,7334,2827,4755,1959,660,200,153,1718,19597
11702,56,23,23,61,600,49,49,155,93,48,27,33,62,517,59,46,112,73,58,29,43,111,528,11837,2972,4129,1600,596,225,230,2390,23988
11703,123,46,29,219,1526,152,153,235,159,89,48,49,161,1047,158,128,236,153,99,47,54,220,1087,59740,9370,8775,3141,1087,382,340,13247,96080
11801,150,44,21,252,1862,174,136,372,293,119,38,35,212,1372,258,246,557,308,159,37,47,374,1987,24638,6632,11236,5279,1415,286,218,6635,56344
11802,162,39,40,176,1831,176,154,397,286,155,64,53,177,1468,259,232,502,327,173,70,97,397,2053,27625,7368,12726,5427,1617,416,329,5688,61195
11901,268,110,177,221,2303,131,148,495,377,239,121,210,196,1914,173,258,582,452,271,126,244,395,2505,20027,8219,16638,10163,4772,1965,1837,5601,69222
11902,174,101,96,156,1851,101,137,453,294,161,81,115,133,1459,136,172,386,238,175,90,157,162,1529,16828,7983,12549,6559,2934,1234,1080,4598,53763
11903,217,60,63,145,1984,109,157,495,365,188,92,82,116,1606,206,221,633,443,230,106,135,268,2245,18307,8484,14411,6533,2331,694,570,3697,55028
11904,189,47,66,188,2091,155,158,500,337,165,72,64,214,1674,206,237,496,317,173,72,103,442,2038,21694,8840,13733,6090,2177,707,555,5027,58824
12001,124,49,25,78,1239,101,90,302,251,95,43,33,79,990,163,126,360,240,136,54,43,153,1280,14450,5500,9097,4008,1178,321,180,2793,37526
12002,52,26,8,51,575,54,42,113,78,40,13,19,37,387,60,77,120,70,43,21,24,51,466,10444,3510,5355,1944,522,137,95,2216,24220
12003,206,87,65,152,1971,203,179,487,359,189,82,87,151,1729,276,249,498,368,227,132,175,217,2150,28246,9803,13697,5724,2060,700,582,5626,66447
12101,150,44,20,86,1379,157,107,303,259,161,45,48,82,1165,195,173,410,315,172,91,57,179,1598,18317,7303,11763,5108,1447,359,227,3120,47652
12102,127,33,31,71,1072,55,60,204,194,111,50,33,44,759,120,107,235,188,121,60,51,80,958,9990,5151,9849,4532,1389,364,231,1671,33171
12103,240,90,28,116,2065,136,125,473,464,230,71,52,141,1700,204,213,654,540,284,103,66,477,2543,13816,5984,15901,8229,2372,564,271,2794,49936
12104,119,35,14,120,1407,178,79,236,199,109,39,26,87,952,227,117,303,293,127,47,46,181,1341,20093,5545,8563,3929,1139,266,141,3744,43418
12201,61,19,9,43,534,47,37,89,101,55,17,15,40,401,65,53,134,100,63,16,18,110,557,6655,2037,4494,2200,615,115,66,1380,17552
12202,118,43,8,77,1042,50,54,230,223,106,37,32,96,832,76,77,281,207,110,32,29,259,1078,6498,2782,8294,4307,1307,283,124,1693,25283
12203,282,82,35,179,2418,157,140,495,486,237,88,67,223,1891,230,260,722,586,320,133,113,489,2860,19254,7808,18181,9087,2722,695,377,4212,62339
12301,92,27,23,60,585,18,22,106,101,70,32,26,64,450,27,38,107,98,56,39,37,191,592,6708,2882,7308,4262,1546,453,233,1383,24773
12302,232,111,113,151,1576,65,82,205,202,155,81,120,148,1063,62,85,175,199,126,74,105,290,1114,17595,7938,16099,9737,4477,1787,1453,4947,64042
12303,60,34,27,49,496,21,21,77,76,45,25,17,53,329,19,35,72,76,42,18,26,92,383,4161,1644,4474,3087,1197,384,194,1197,16340
12401,153,82,40,102,1309,110,98,221,203,131,61,50,73,947,120,102,300,214,118,65,56,104,1077,9216,3957,9174,5459,2063,671,416,1884,32851
12402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12403,213,118,92,111,1474,55,83,214,198,171,92,87,107,1003,92,106,281,206,140,73,101,125,1127,15794,6847,15122,9047,3699,1322,839,3790,56462
12404,81,34,39,56,549,27,28,94,60,54,28,40,42,384,31,38,110,86,50,42,29,79,456,4132,1662,3674,2519,1068,365,293,1329,15045
12405,63,37,39,49,482,18,30,61,81,54,34,42,57,383,16,24,58,49,47,28,47,88,359,6088,2605,5410,3413,1478,522,465,1826,21808
12501,94,44,67,73,695,42,44,84,99,91,38,49,37,475,67,58,128,116,62,43,91,77,646,12426,5267,6795,3280,1549,694,715,3569,34295
12502,115,46,36,75,973,64,40,187,167,95,44,46,55,699,64,69,200,139,115,39,48,110,787,8246,4350,7950,3524,1260,383,281,1672,27660
12503,219,119,188,149,1768,96,103,337,261,174,91,150,162,1374,130,167,365,288,182,118,228,250,1729,17542,7500,12768,7952,4259,1952,1889,5181,59041
12504,186,104,67,148,1627,84,109,312,278,166,92,90,166,1292,131,155,406,290,181,92,139,269,1661,18496,10496,13741,5583,2130,767,598,4826,56645
12601,102,26,17,47,742,37,39,140,161,94,25,10,48,554,46,59,153,140,96,33,39,145,711,6276,2792,6003,2720,884,202,124,1047,20032
12602,226,75,56,151,1961,158,130,411,386,182,87,78,151,1590,289,213,510,473,256,125,129,439,2428,22351,8494,14123,6269,1990,617,439,3985,58273
12701,158,90,92,99,945,18,43,139,128,62,51,102,81,621,23,38,86,108,73,42,91,59,507,11380,4093,9878,6376,3009,1168,1013,3208,40118
12702,313,202,384,190,2493,107,150,369,336,230,136,407,144,1882,99,133,311,277,240,185,430,256,1933,23412,8273,18274,11511,5372,2264,2646,5587,77342
12703,163,78,100,138,1255,50,66,225,199,118,69,82,90,901,50,98,221,168,108,53,127,164,995,12716,5916,12051,6592,2694,1041,906,4374,46288
12801,247,68,42,118,1919,120,119,520,437,230,76,68,125,1696,167,204,679,508,286,103,74,271,2292,13735,5323,13742,7690,2521,596,319,2899,46817
12802,186,59,36,67,1425,70,79,312,265,138,53,46,69,1039,112,155,458,330,179,91,77,136,1537,12392,4998,14189,7796,2276,596,344,1909,44496
19797,0,0,0,5,14,0,0,0,0,3,0,0,3,10,0,0,3,3,0,0,0,0,7,39,21,65,35,21,6,0,37,220
19999,3,3,0,23,78,4,8,4,11,3,0,3,11,38,3,0,15,6,3,4,7,13,48,1744,350,650,414,184,65,57,1134,4590
