region_id,C11_P_35_39_Tot_LF,C11_P_35_39_Notin_LF,C11_P_35_39_LF_NS,C11_P_35_39_Tot,C11_P_40_44_Em_FT,C11_P_40_44_Em_PT,C11_P_40_44_Em_AFW,C11_P_40_44_Em_Hrs_NS,C11_P_40_44_Em_Tot,C11_P_40_44_Unem_Look_FT,C11_P_40_44_Unem_Look_PT,C11_P_40_44_Unem_Tot,C11_P_40_44_Tot_LF,C11_P_40_44_Notin_LF,C11_P_40_44_LF_NS,C11_P_40_44_Tot,C11_P_45_49_Em_FT,C11_P_45_49_Em_PT,C11_P_45_49_Em_AFW,C11_P_45_49_Em_Hrs_NS,C11_P_45_49_Em_Tot,C11_P_45_49_Unem_Look_FT,C11_P_45_49_Unem_Look_PT,C11_P_45_49_Unem_Tot,C11_P_45_49_Tot_LF,C11_P_45_49_Notin_LF,C11_P_45_49_LF_NS,C11_P_45_49_Tot,C11_P_50_54_Em_FT,C11_P_50_54_Em_PT,C11_P_50_54_Em_AFW,C11_P_50_54_Em_Hrs_NS,C11_P_50_54_Em_Tot,C11_P_50_54_Unem_Look_FT,C11_P_50_54_Unem_Look_PT,C11_P_50_54_Unem_Tot,C11_P_50_54_Tot_LF,C11_P_50_54_Notin_LF,C11_P_50_54_LF_NS,C11_P_50_54_Tot,C11_P_55_59_Em_FT,C11_P_55_59_Em_PT,C11_P_55_59_Em_AFW,C11_P_55_59_Em_Hrs_NS,C11_P_55_59_Em_Tot,C11_P_55_59_Unem_Look_FT,C11_P_55_59_Unem_Look_PT,C11_P_55_59_Unem_Tot,C11_P_55_59_Tot_LF,C11_P_55_59_Notin_LF,C11_P_55_59_LF_NS,C11_P_55_59_Tot,C11_P_60_64_Em_FT,C11_P_60_64_Em_PT,C11_P_60_64_Em_AFW,C11_P_60_64_Em_Hrs_NS,C11_P_60_64_Em_Tot,C11_P_60_64_Unem_Look_FT,C11_P_60_64_Unem_Look_PT,C11_P_60_64_Unem_Tot,C11_P_60_64_Tot_LF,C11_P_60_64_Notin_LF,C11_P_60_64_LF_NS,C11_P_60_64_Tot,C11_P_65_69_Em_FT,C11_P_65_69_Em_PT,C11_P_65_69_Em_AFW,C11_P_65_69_Em_Hrs_NS,C11_P_65_69_Em_Tot,C11_P_65_69_Unem_Look_FT,C11_P_65_69_Unem_Look_PT,C11_P_65_69_Unem_Tot,C11_P_65_69_Tot_LF,C11_P_65_69_Notin_LF,C11_P_65_69_LF_NS,C11_P_65_69_Tot,C11_P_70_74_Em_FT,C11_P_70_74_Em_PT,C11_P_70_74_Em_AFW,C11_P_70_74_Em_Hrs_NS,C11_P_70_74_Em_Tot,C11_P_70_74_Unem_Look_FT,C11_P_70_74_Unem_Look_PT,C11_P_70_74_Unem_Tot,C11_P_70_74_Tot_LF,C11_P_70_74_Notin_LF,C11_P_70_74_LF_NS,C11_P_70_74_Tot,C11_P_75over_Emp_Wor_ft,C11_P_75ov_Em_Work_pt,C11_P_75ov_Em_Aw_fr_w,C11_P_75ov_Emp_Hou_w_ns,C11_P_75andOver_Em_Tot,C11_P_75over_Unem_Lo_ft_w,C11_P_75over_Unem_Lo_pt_w,C11_P_75over_Unemp_Tot,C11_P_75over_Tot_lab_for,C11_P_75over_N_lab_forc,C11_P_75over_LF_NS,C11_P_75over_Tot,C11_P_Tot_Em_FT,C11_P_Tot_Em_PT,C11_P_Tot_Em_AFW,C11_P_Tot_Em_Hrs_NS,C11_P_Tot_Em_Tot,C11_P_Tot_Unem_Look_FT,C11_P_Tot_Unem_Look_PT,C11_P_Tot_Unem_Tot,C11_P_T_T_labo_for,C11_P_Tot_Notin_LF,C11_P_Tot_LF_NS,C11_P_T_T
105301501,3705,1077,215,4997,2512,804,89,95,3500,157,65,222,3722,990,216,4928,2921,911,96,106,4034,147,70,217,4251,974,247,5472,3040,882,119,91,4132,109,45,154,4286,1107,209,5602,2250,701,131,64,3146,95,53,148,3294,1373,175,4842,1120,501,66,29,1716,64,43,107,1823,1770,189,3782,281,167,18,15,481,7,8,15,496,1727,134,2357,40,70,3,6,119,0,0,0,119,1307,124,1550,9,25,3,3,40,0,0,0,40,1922,592,2554,22756,8570,1097,944,33367,1784,945,2729,36096,19041,3152,58289
105301504,3546,932,256,4734,2205,754,93,79,3131,132,74,206,3337,898,235,4470,2458,754,90,96,3398,120,46,166,3564,775,258,4597,2365,772,99,72,3308,115,43,158,3466,936,247,4649,2025,681,132,63,2901,92,40,132,3033,1257,219,4509,1261,643,96,38,2038,57,33,90,2128,1955,233,4316,281,257,22,13,573,4,8,12,585,1946,151,2682,39,66,8,3,116,0,0,0,116,1486,133,1735,7,30,7,8,52,0,0,0,52,2360,263,2675,20973,8417,1128,894,31412,1629,857,2486,33898,18359,3165,55422
105308400,2618,440,123,3181,1836,747,61,77,2721,43,32,75,2796,358,114,3268,1771,675,64,49,2559,48,24,72,2631,348,105,3084,1758,602,86,50,2496,46,24,70,2566,434,112,3112,1285,521,74,32,1912,43,19,62,1974,610,80,2664,728,377,52,33,1190,22,22,44,1234,1080,89,2403,190,162,13,3,368,3,9,12,380,1190,68,1638,49,63,8,4,124,0,0,0,124,960,48,1132,13,31,6,8,58,0,0,0,58,1598,138,1794,13618,6039,734,514,20905,551,371,922,21827,9475,1294,32596
105350150,2717,428,191,3336,1614,587,80,37,2318,71,33,104,2422,396,164,2982,1644,603,41,50,2338,80,38,118,2456,351,157,2964,1366,485,60,50,1961,74,35,109,2070,413,143,2626,1042,379,45,39,1505,55,36,91,1596,498,120,2214,608,300,39,14,961,37,27,64,1025,777,105,1907,162,158,15,10,345,0,10,10,355,897,87,1339,36,51,3,6,96,4,0,4,100,1020,109,1229,17,28,5,9,59,0,0,0,59,2884,412,3355,13314,6113,699,453,20579,751,597,1348,21927,10618,2352,34897
105351300,1644,374,107,2125,1029,415,29,42,1515,49,32,81,1596,330,85,2011,1125,418,39,30,1612,51,24,75,1687,398,98,2183,1017,367,55,30,1469,42,20,62,1531,396,128,2055,738,321,44,24,1127,21,18,39,1166,481,82,1729,449,235,25,20,729,21,18,39,768,671,86,1525,133,119,6,4,262,0,0,0,262,818,60,1140,35,51,3,8,97,0,3,3,100,853,69,1022,11,31,5,8,55,0,0,0,55,2125,352,2532,9230,4990,484,381,15085,582,522,1104,16189,9701,1770,27660
105351521,2426,459,241,3126,1505,531,60,50,2146,44,25,69,2215,358,166,2739,1497,539,45,32,2113,44,24,68,2181,322,149,2652,1386,428,46,38,1898,40,19,59,1957,364,147,2468,973,378,50,36,1437,30,15,45,1482,498,86,2066,530,359,38,23,950,24,20,44,994,810,88,1892,195,180,23,3,401,3,6,9,410,922,71,1403,47,61,10,3,121,0,3,3,124,938,75,1137,12,26,6,0,44,0,3,3,47,2055,219,2321,13033,5238,666,399,19336,545,493,1038,20374,10033,2335,32742
105351524,2772,387,190,3349,1736,573,78,36,2423,47,27,74,2497,310,128,2935,1500,482,57,32,2071,55,20,75,2146,297,109,2552,1352,430,40,30,1852,57,8,65,1917,291,97,2305,1017,408,69,25,1519,34,24,58,1577,434,80,2091,615,394,56,18,1083,17,21,38,1121,805,99,2025,219,213,19,13,464,0,10,10,474,977,88,1539,54,94,8,0,156,0,0,0,156,1009,80,1245,24,51,3,7,85,3,6,9,94,2544,360,2998,13093,4857,725,327,19002,432,279,711,19713,8648,1667,30028
105357100,1616,423,150,2189,1106,409,32,40,1587,50,33,83,1670,405,162,2237,1184,486,31,47,1748,66,31,97,1845,425,179,2449,1135,403,39,40,1617,45,40,85,1702,400,133,2235,798,298,41,27,1164,57,26,83,1247,516,113,1876,461,228,36,21,746,15,15,30,776,604,102,1482,193,150,13,10,366,3,6,9,375,684,73,1132,55,68,0,6,129,0,0,0,129,728,76,933,30,55,0,4,89,0,3,3,92,1794,198,2084,10563,4883,474,419,16339,610,526,1136,17475,9482,2242,29199
105400200,3549,1563,361,5473,2100,747,70,105,3022,149,84,233,3255,1460,376,5091,2071,721,78,108,2978,133,75,208,3186,1320,340,4846,1975,629,54,89,2747,124,63,187,2934,1305,364,4603,1437,453,79,65,2034,90,50,140,2174,1331,255,3760,691,335,52,30,1108,52,38,90,1198,1499,164,2861,196,126,14,16,352,6,7,13,365,1406,143,1914,32,35,6,6,79,0,6,6,85,1336,112,1533,11,24,10,6,51,0,6,6,57,2573,229,2859,18872,8263,892,1096,29123,1576,1144,2720,31843,23265,4497,59605
105403950,5739,1512,413,7664,3277,1151,125,106,4659,191,95,286,4945,1333,346,6624,3183,982,105,103,4373,181,84,265,4638,1311,327,6276,2738,879,102,97,3816,124,73,197,4013,1331,321,5665,1990,741,103,70,2904,100,46,146,3050,1567,251,4868,1318,627,88,51,2084,72,55,127,2211,2328,233,4772,379,257,25,18,679,10,9,19,698,2589,222,3509,56,81,16,10,163,0,0,0,163,2443,207,2813,14,27,13,6,60,3,6,9,69,4583,845,5497,28488,11011,1454,1194,42147,2084,1200,3284,45431,27477,4992,77900
