SUA_CODE_2021,P_Mng_0,P_Mng_1_19,P_Mng_20_29,P_Mng_30_34,P_Mng_35_39,P_Mng_40_44,P_Mng_45_49,P_Mng_50_over,P_Mng_hours_NS,P_Mng_Tot,P_Pro_0,P_Pro_1_19,P_Pro_20_29,P_Pro_30_34,P_Pro_35_39,P_Pro_40_44,P_Pro_45_49,P_Pro_50_over,P_Pro_hours_NS,P_Pro_Tot,P_TTW_0,P_TTW_1_19,P_TTW_20_29,P_TTW_30_34,P_TTW_35_39,P_TTW_40_44,P_TTW_45_49,P_TTW_50_over,P_TTW_hours_NS,P_TTW_Tot,P_CPS_0,P_CPS_1_19,P_CPS_20_29,P_CPS_30_34,P_CPS_35_39,P_CPS_40_44,P_CPS_45_49,P_CPS_50_over,P_CPS_hours_NS,P_CPS_Tot,P_CA_0,P_CA_1_19,P_CA_20_29,P_CA_30_34,P_CA_35_39,P_CA_40_44,P_CA_45_49,P_CA_50_over,P_CA_hours_NS,P_CA_Tot,P_Sal_0,P_Sal_1_19,P_Sal_20_29,P_Sal_30_34,P_Sal_35_39,P_Sal_40_44,P_Sal_45_49,P_Sal_50_over,P_Sal_hours_NS,P_Sal_Tot,P_MOD_0,P_MOD_1_19,P_MOD_20_29,P_MOD_30_34,P_MOD_35_39,P_MOD_40_44,P_MOD_45_49,P_MOD_50_over,P_MOD_hours_NS,P_MOD_Tot,P_Lab_0,P_Lab_1_19,P_Lab_20_29,P_Lab_30_34,P_Lab_35_39,P_Lab_40_44,P_Lab_45_49,P_Lab_50_over,P_Lab_hours_NS,P_Lab_Tot,P_ID_NS_0,P_ID_NS_1_19,P_ID_NS_20_24,P_ID_NS_30_34,P_ID_NS_35_39,P_ID_NS_40_44,P_ID_NS_45_49,P_ID_NS_50_over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_19,P_Tot_20_29,P_Tot_30_34,P_Tot_35_39,P_Tot_40_44,P_Tot_45_49,P_Tot_50_over,P_Tot_hours_NS,P_Tot_Tot
1010,1401,1462,1205,908,3387,4526,1405,3799,154,18247,1738,3423,3488,2627,6205,7288,1753,3664,219,30404,2832,2349,1758,1177,4574,5666,1130,1927,349,21775,3412,3845,3220,2141,3190,1770,787,771,283,19418,1387,3077,2962,1729,5312,3247,699,954,164,19526,2317,4014,2093,981,2000,1331,309,539,140,13723,703,1210,793,541,2052,1743,527,1204,139,8919,1974,3908,1845,1001,2335,1911,443,829,277,14518,284,255,176,102,410,381,72,193,651,2523,16052,23541,17548,11213,29466,27861,7125,13879,2370,149052
1011,137,234,255,268,820,929,350,848,51,3895,327,693,808,637,1355,1306,405,782,52,6369,148,377,335,284,1196,1014,286,478,63,4170,266,1098,976,652,760,401,145,240,85,4615,167,573,650,443,1057,618,151,209,38,3901,137,1060,557,288,506,316,84,145,44,3141,67,187,150,121,300,280,114,233,26,1470,216,1136,654,374,637,484,97,204,91,3888,30,62,40,27,98,59,7,53,141,522,1488,5417,4425,3098,6723,5415,1636,3191,582,31976
1012,61,81,74,78,442,505,208,560,17,2019,194,274,342,247,988,967,257,482,26,3785,65,159,135,109,713,760,252,479,49,2726,151,468,439,420,785,425,121,175,61,3038,106,245,302,211,850,452,119,165,18,2456,84,513,282,145,406,256,70,109,25,1889,47,85,66,62,214,263,82,307,24,1144,75,442,247,126,359,419,94,175,48,1988,22,19,13,8,81,59,13,30,112,355,801,2289,1897,1400,4844,4107,1215,2484,364,19401
1013,25,46,52,43,123,190,55,167,4,708,72,158,156,119,259,235,86,139,18,1243,42,109,89,71,234,275,58,89,22,987,73,245,279,195,192,108,33,38,25,1191,30,147,137,100,221,110,27,29,13,812,44,296,134,84,117,73,20,37,15,832,17,33,26,28,56,48,22,52,3,284,47,265,162,60,105,88,18,41,21,799,11,12,16,6,20,10,7,9,52,133,362,1306,1051,701,1334,1132,325,602,175,6986
1014,43,52,58,50,229,286,115,291,3,1134,90,152,166,138,394,373,111,222,13,1656,52,83,103,94,382,446,122,256,29,1560,111,264,291,198,444,243,65,107,25,1757,65,136,151,133,430,203,48,75,6,1253,63,315,185,78,166,107,35,57,14,1014,36,65,57,38,191,179,63,256,24,908,59,311,199,90,326,204,67,94,33,1369,22,23,16,12,28,34,9,27,65,220,540,1394,1231,818,2595,2076,627,1384,202,10874
1015,20,36,38,45,148,143,50,173,10,665,48,87,104,119,275,246,87,139,5,1115,21,83,64,56,255,233,53,103,20,883,80,206,244,216,286,130,47,76,25,1305,37,94,129,74,319,144,26,45,11,881,36,267,133,67,139,67,18,20,14,760,26,46,31,26,107,95,47,118,8,505,52,255,140,86,168,124,36,77,28,957,12,8,4,9,21,14,5,10,47,124,328,1076,898,691,1720,1193,369,752,171,7194
1016,34,55,80,72,278,300,140,334,24,1320,62,97,127,130,374,367,104,170,16,1451,38,85,66,47,379,401,131,208,26,1374,40,187,176,141,222,106,48,66,26,1007,24,160,161,118,324,200,59,53,14,1112,40,299,135,75,178,117,30,38,19,924,16,60,42,29,206,162,43,124,7,702,41,255,197,196,841,339,99,140,37,2155,10,14,14,8,86,42,4,16,78,271,305,1218,998,825,2896,2024,658,1154,231,10301
1017,19,34,48,33,90,111,33,115,4,489,40,71,89,79,164,153,29,80,10,726,18,52,52,49,173,163,34,81,15,637,70,159,193,133,191,121,28,72,14,990,18,65,93,65,166,76,22,22,4,533,37,169,95,56,81,45,12,23,20,534,16,34,42,17,91,74,28,59,12,377,39,181,94,66,146,91,22,38,23,699,4,15,4,4,14,13,5,3,34,105,269,786,710,504,1123,845,215,495,143,5082
1018,45,67,80,57,254,284,103,257,13,1158,128,254,318,284,605,548,157,248,20,2563,48,127,147,115,489,424,100,162,30,1642,111,382,466,324,343,170,52,70,34,1946,59,191,199,172,489,262,58,77,14,1520,73,387,239,122,244,135,36,47,9,1285,26,64,52,47,166,127,68,113,13,682,57,432,273,183,361,263,49,75,36,1731,13,20,16,12,33,30,6,10,48,184,554,1924,1785,1310,2991,2234,633,1063,219,12716
1019,24,27,21,23,84,102,43,96,0,428,32,81,73,51,164,144,24,67,0,636,38,55,40,39,183,219,56,90,8,741,55,155,102,77,117,70,32,37,13,666,42,60,120,64,195,98,14,14,7,617,38,112,76,40,53,44,18,19,5,406,32,40,29,25,102,171,46,74,10,520,67,136,77,39,85,65,19,39,16,536,7,17,7,0,10,11,3,8,27,86,335,684,552,355,992,934,262,444,91,4647
1020,40,47,49,43,138,193,67,174,6,752,50,104,117,94,216,247,52,100,15,1010,70,76,62,55,345,401,95,152,19,1282,81,202,156,123,160,108,42,43,13,930,52,141,137,90,241,154,36,57,10,913,48,178,118,59,113,48,19,21,3,601,27,43,36,25,94,129,45,148,10,560,80,205,88,54,102,97,23,43,12,707,8,14,11,6,14,27,11,17,35,138,456,1013,779,548,1421,1408,392,754,124,6890
1021,80,105,88,75,243,284,107,293,12,1274,130,280,248,200,427,478,98,218,22,2093,191,199,136,122,423,513,140,197,28,1942,184,311,272,178,229,157,56,71,22,1481,92,222,236,136,373,198,57,78,15,1407,116,233,144,84,148,107,34,43,15,919,60,101,99,52,191,192,56,170,18,934,123,297,182,94,210,161,37,95,23,1217,20,22,9,11,46,40,7,13,68,236,989,1774,1401,948,2286,2123,594,1173,214,11500
1022,16,28,40,36,108,149,44,196,4,628,40,86,119,67,141,216,91,183,3,937,45,58,56,50,180,274,89,297,19,1069,56,174,145,95,148,64,23,28,9,738,27,83,105,61,138,93,31,29,9,576,33,151,81,45,85,59,14,32,10,517,40,30,32,16,103,195,100,229,10,757,49,186,89,45,107,74,30,39,14,641,4,8,3,4,9,12,0,16,34,91,314,803,673,422,1017,1141,422,1042,111,5949
1023,15,17,17,8,64,90,36,107,3,352,25,43,53,36,107,126,57,92,5,559,32,45,65,32,212,262,132,250,17,1057,53,126,109,78,111,42,22,31,7,572,22,62,58,38,146,98,33,37,0,492,19,154,91,47,72,48,19,9,4,456,46,44,69,30,156,185,105,333,14,978,39,176,96,58,144,104,18,70,20,727,7,8,4,4,14,13,0,8,43,106,266,679,558,328,1021,974,423,940,114,5299
1024,79,132,116,84,276,329,122,275,4,1413,100,281,273,156,322,387,124,228,11,1883,114,208,145,100,421,496,129,192,28,1821,185,436,296,179,227,130,51,53,26,1584,82,284,215,141,291,202,34,61,5,1322,114,367,193,91,162,93,27,42,10,1098,39,90,50,32,105,86,45,92,15,546,166,363,151,87,121,133,18,54,18,1114,17,34,10,16,32,21,7,22,51,210,906,2190,1447,876,1955,1880,555,1017,172,10996
1025,1035,1404,1598,1404,5123,6413,2463,6072,166,25683,2930,5338,6139,5000,11651,12791,3455,6483,270,54052,1626,2540,2458,1902,8519,10670,2726,4423,413,35275,2972,7933,6092,4135,5420,3137,1055,1274,410,32434,1482,3800,4664,2997,8565,5342,1178,1468,183,29673,1662,7061,3596,1675,3215,2062,608,801,214,20894,936,1544,1176,765,3558,3655,1549,3199,241,16628,1669,6279,3230,1774,3624,3170,784,1405,376,22301,237,322,244,174,624,603,193,315,867,3566,14550,36230,29202,19828,50293,47835,13994,25441,3143,240511
1026,71,96,117,87,345,435,151,363,14,1670,151,276,305,226,587,614,148,266,22,2597,91,168,177,137,643,771,193,279,35,2499,175,552,461,344,493,341,83,154,32,2640,74,246,238,153,502,273,63,84,14,1648,94,548,266,143,276,146,44,74,27,1611,31,84,81,53,211,183,73,186,15,922,103,565,243,141,283,225,62,115,40,1789,24,19,20,13,45,35,14,18,81,260,816,2563,1910,1294,3384,3025,827,1538,278,15631
1027,55,95,112,114,423,496,223,603,12,2131,231,381,448,285,1005,1050,402,624,24,4453,85,176,172,110,609,759,266,643,35,2845,132,505,428,351,586,279,113,153,37,2581,81,278,337,209,753,481,126,165,18,2444,72,518,241,118,285,177,66,93,21,1599,56,95,83,38,226,230,110,471,31,1342,108,551,252,130,319,294,79,163,38,1927,9,25,26,6,61,51,10,40,76,299,833,2618,2083,1354,4277,3815,1396,2960,280,19618
1028,104,132,162,130,491,585,238,541,13,2393,245,530,522,528,1053,1173,305,616,26,4997,107,264,217,216,699,738,182,309,34,2763,206,892,653,463,541,303,99,127,37,3320,118,396,379,311,751,458,90,130,12,2641,114,717,313,178,382,240,69,93,28,2132,40,113,82,62,167,150,45,144,14,820,96,653,269,171,290,231,47,106,27,1892,18,47,21,18,69,51,11,16,100,356,1030,3743,2614,2076,4442,3928,1085,2081,306,21307
1029,19,24,40,34,122,139,76,268,9,722,48,102,71,65,196,182,130,191,8,1002,50,77,83,51,240,370,169,411,24,1473,77,229,191,89,134,310,50,152,22,1249,57,115,111,91,212,169,55,75,6,887,52,253,137,55,90,57,15,25,3,687,85,52,89,34,224,290,128,446,18,1368,47,217,129,66,123,110,37,56,21,805,3,14,18,3,21,23,8,25,37,148,447,1076,874,488,1356,1646,661,1646,143,8338
1030,48,63,63,42,187,182,82,180,8,864,72,167,196,128,288,256,73,160,9,1346,78,110,87,68,342,367,75,122,27,1271,99,274,210,135,200,146,47,62,26,1201,43,163,134,90,240,107,25,35,7,830,43,182,120,68,106,83,14,31,10,654,27,44,29,29,56,60,18,62,7,340,60,220,126,84,125,98,16,45,19,792,12,7,9,4,23,17,3,10,33,131,494,1230,974,652,1572,1310,358,711,137,7427
1031,23417,23679,20210,14512,63458,94918,28193,75303,2972,346657,28667,62402,54830,39180,152356,197843,42774,93006,5622,676683,44903,25933,19699,10648,43665,50589,10263,17883,4225,227805,41591,41059,31127,17482,32170,20593,6754,8705,3301,202793,22292,41314,38081,20959,88487,65361,12519,19399,2833,311246,30834,41194,24278,10390,26517,23225,5039,8956,2290,172736,14932,14816,14749,7797,29115,22417,6412,11942,2630,124812,28384,33049,22572,9073,24405,17021,3720,6005,3021,147249,4353,3946,3340,1616,7324,7056,1208,3141,11995,43982,239381,287398,228898,131662,467492,499017,116879,244341,38891,2253956
1032,48,86,98,77,440,455,216,533,17,1966,164,277,358,292,867,842,262,523,13,3608,76,147,163,148,742,734,225,419,29,2682,150,459,449,389,594,288,107,160,29,2622,101,248,289,206,741,410,77,127,17,2218,91,531,293,153,363,213,61,107,22,1841,48,108,90,57,245,278,114,329,35,1296,109,600,298,194,515,880,134,220,54,3002,22,23,23,8,55,47,14,14,84,284,810,2477,2058,1536,4564,4139,1207,2423,302,19521
1033,30,37,55,57,158,230,74,199,13,853,54,136,170,134,327,319,87,162,11,1390,38,95,102,87,342,322,81,139,22,1235,104,278,328,262,294,187,49,91,29,1614,30,126,136,111,276,167,38,49,12,944,51,305,205,116,192,99,28,56,17,1083,28,57,64,40,119,122,40,147,12,629,77,336,205,152,244,174,38,61,40,1328,16,23,6,9,16,18,4,10,64,169,425,1402,1274,978,1960,1632,429,930,217,9250
1034,37,89,72,64,130,203,56,166,11,828,78,188,185,102,188,197,62,136,14,1151,49,117,97,102,244,312,71,116,8,1127,74,253,199,98,127,68,16,42,26,906,38,153,145,80,141,80,16,29,0,679,40,273,130,63,108,71,11,35,13,739,14,34,29,18,44,46,7,48,8,246,61,260,95,48,104,85,19,35,17,735,3,12,10,9,11,10,0,8,40,100,388,1382,957,583,1102,1069,275,613,141,6508
1035,105,135,128,136,633,705,323,813,13,2987,264,465,575,435,1422,1436,430,807,36,5876,89,248,238,176,1056,1199,355,561,49,3975,199,783,691,498,854,433,150,343,59,4004,118,335,490,308,1069,554,142,183,22,3214,110,893,400,193,443,299,100,151,32,2620,53,162,112,82,354,297,110,289,22,1483,125,775,366,276,609,438,105,165,47,2908,27,47,30,15,82,86,16,41,129,461,1090,3849,3025,2106,6520,5446,1728,3346,413,27525
1036,1193,1272,1012,751,2987,3676,1374,3296,102,15663,1873,3613,3615,2565,7104,7525,1921,3775,165,32151,2328,1788,1423,968,4493,5865,1283,2013,281,20454,3326,3886,2908,1785,2863,1867,751,710,235,18323,1257,2570,2812,1555,5031,2759,614,845,119,17559,1918,3477,1741,801,1669,987,243,377,122,11346,708,1036,690,384,1980,1883,905,1444,165,9198,1712,3386,1702,831,1699,1509,375,626,213,12062,246,185,162,87,397,346,94,166,519,2205,14561,21213,16062,9734,28227,26418,7568,13256,1917,138956
