SUA_CODE_2021,R_1_74_LT_Real_estate_agent,R_1_74_LT_Ste_terr_hsg_auth,R_1_74_LT_com_hou_pro,R_1_74_LT_Psn_not_Sme_hhd,R_1_74_LT_Other_Lld_type,R_1_74_LT_Lld_type_ns,R_1_74_Tot,R_75_99_LT_Real_estate_agent,R_75_99_LT_Ste_terr_hsg_auth,R_75_99_LT_com_hou_pro,R_75_99_LT_Psn_not_Sme_hhd,R_75_99_LT_Other_Lld_type,R_75_99_LT_Lld_type_ns,R_75_99_Tot,R_100_149_LT_Real_eSte_agent,R_100_149_LT_St_ter_hsg_aut,R_100_149_LT_com_hou_pro,R_100_149_LT_Psn_not_Sme_hhd,R_100_149_LT_Other_Lld_type,R_100_149_LT_Lld_type_ns,R_100_149_Tot,R_150_199_LT_Real_eSte_agent,R_150_199_LT_Ste_ter_hsg_aut,R_150_199_LT_com_hou_pro,R_150_199_LT_Psn_not_Sme_hhd,R_150_199_LT_Other_Lld_type,R_150_199_LT_Lld_type_ns,R_150_199_Tot,R_200_224_LT_Real_eSte_agent,R_200_224_LT_Ste_ter_hsg_aut,R_200_224_LT_com_hou_pro,R_200_224_LT_Psn_not_Sme_hhd,R_200_224_LT_Other_Lld_type,R_200_224_LT_Lld_type_ns,R_200_224_Tot,R_225_274_LT_Real_eSte_agent,R_225_274_LT_Ste_ter_hsg_aut,R_225_274_LT_com_hou_pro,R_225_274_LT_Psn_not_Sme_hhd,R_225_274_LT_Other_Lld_type,R_225_274_LT_Lld_type_ns,R_225_274_Tot,R_275_349_LT_Real_eSte_agent,R_275_349_LT_Ste_ter_hsg_aut,R_275_349_LT_com_hou_pro,R_275_349_LT_Psn_not_Sme_hhd,R_275_349_LT_Other_Lld_type,R_275_349_LT_Lld_type_ns,R_275_349_Tot,R_350_449_LT_Real_eSte_agent,R_350_449_LT_Ste_ter_hsg_aut,R_350_449_LT_com_hou_pro,R_350_449_LT_Psn_not_Sme_hhd,R_350_449_LT_Other_Lld_type,R_350_449_LT_Lld_type_ns,R_350_449_Tot,R_450_549_LT_Real_eSte_agent,R_450_549_LT_Ste_ter_hsg_aut,R_450_549_LT_com_hou_pro,R_450_549_LT_Psn_not_Sme_hhd,R_450_549_LT_Other_Lld_type,R_450_549_LT_Lld_type_ns,R_450_549_Tot,R_550_649_LT_Real_eSte_agent,R_550_649_LT_Ste_ter_hsg_aut,R_550_649_LT_com_hou_pro,R_550_649_LT_Psn_not_Sme_hhd,R_550_649_LT_Other_Lld_type,R_550_649_LT_Lld_type_ns,R_550_649_Tot,R_650_749_LT_Real_eSte_agent,R_650_749_LT_Ste_ter_hsg_aut,R_650_749_LT_com_hou_pro,R_650_749_LT_Psn_not_Sme_hhd,R_650_749_LT_Other_Lld_type,R_650_749_LT_Lld_type_ns,R_650_749_Tot,R_750_849_LT_Real_eSte_agent,R_750_849_LT_Ste_ter_hsg_aut,R_750_849_LT_com_hou_pro,R_750_849_LT_Psn_not_Sme_hhd,R_750_849_LT_Other_Lld_type,R_750_849_LT_Lld_type_ns,R_750_849_Tot,R_850_949_LT_Real_estat_agent,R_850_949_LT_Ste_ter_hsg_aut,R_850_949_LT_com_hou_pro,R_850_949_LT_Psn_not_Sme_hhd,R_850_949_LT_Other_Lld_type,R_850_949_LT_Lld_type_ns,R_850_949_Tot,R_950_over_LT_Real_eSte_agent,R_950_over_LT_Ste_ter_hsg_aut,R_950_ovr_LT_com_hou_pro,R_950_over_LT_Psn_not_Sme_hhd,R_950_over_LT_Other_Lld_type,R_950_over_LT_Lld_type_ns,R_950_over_Tot,Rent_ns_LT_Real_eSte_agent,Rent_ns_LT_Ste_ter_hsg_auth,Rent_ns_LT_com_hou_pro,Rent_ns_LT_Psn_not_Sme_hhd,Rent_ns_LT_Other_Lld_type,Rent_ns_LT_Lld_type_ns,Rent_ns_Tot,Tot_LT_Real_eSte_agent,Tot_LT_Ste_ter_hsg_auth,Tot_LT_com_hou_pro,Tot_LT_Psn_not_Sme_hhd,Tot_LT_Other_Lld_type,Tot_LT_Lld_type_ns,Tot_Tot
1020,0,0,0,0,0,0,0,0,0,0,0,4,0,4,3,0,0,3,0,0,12,3,3,3,15,14,0,38,3,0,5,18,0,0,30,10,6,6,22,106,0,150,40,0,0,40,43,0,118,209,0,0,54,10,0,275,201,0,0,28,4,0,233,99,0,0,3,0,0,101,24,0,0,3,0,0,33,15,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,5,12,0,0,17,12,4,43,613,16,13,200,200,6,1061
1021,0,0,0,8,3,0,11,0,0,0,0,3,0,10,3,11,8,12,17,0,49,14,11,11,36,15,4,91,34,7,12,30,30,4,113,75,7,3,48,8,0,140,210,3,4,106,16,0,341,702,0,0,138,15,0,860,446,0,3,74,0,0,522,89,0,0,8,3,0,104,22,0,0,3,0,0,24,3,0,0,4,0,0,6,4,0,0,0,0,0,4,5,0,0,0,0,0,5,40,5,5,25,15,5,87,1640,57,53,498,123,18,2378
1022,0,0,0,3,4,0,11,0,6,0,0,0,0,5,3,17,6,9,4,0,38,19,40,19,26,5,0,107,18,16,7,15,5,0,59,58,28,10,21,3,3,122,206,48,5,43,9,0,308,394,10,4,67,5,3,480,296,0,0,26,6,0,323,56,0,0,3,0,0,58,10,0,0,0,0,0,13,0,0,0,0,0,0,0,6,0,0,0,0,0,6,4,0,0,0,0,0,5,21,13,0,8,11,3,60,1092,170,53,217,43,9,1587
1023,0,0,0,0,5,0,6,0,4,0,4,0,0,8,8,27,9,4,5,0,57,59,80,25,19,4,0,190,65,27,9,29,0,0,124,148,29,10,45,7,0,244,268,46,15,53,12,0,386,480,9,0,50,4,0,543,83,3,0,7,0,0,96,4,0,0,4,0,0,7,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,23,11,0,13,5,3,56,1139,227,75,227,48,7,1728
1024,0,0,3,8,0,0,11,0,0,0,4,4,0,6,0,13,39,17,25,0,100,10,29,36,19,37,0,129,34,3,10,47,6,5,96,76,11,14,39,53,8,202,252,11,8,97,22,0,393,694,5,3,135,13,0,847,495,0,0,75,3,0,578,152,0,0,25,0,0,179,56,0,0,3,0,0,67,3,0,0,0,0,0,5,5,0,0,0,0,0,4,5,0,0,0,5,0,9,32,3,7,25,17,6,98,1817,92,119,497,184,23,2732
1025,29,182,30,52,16,0,313,10,327,45,33,14,9,431,120,2616,206,287,81,23,3335,477,1538,583,468,151,20,3242,611,566,175,545,79,10,1986,1719,818,286,817,438,22,4103,5520,832,299,1773,250,24,8702,13823,556,187,2708,247,33,17554,9029,69,39,1223,110,14,10484,3173,15,8,403,24,8,3639,1036,6,0,131,11,6,1182,382,0,0,63,4,0,456,156,5,0,27,0,0,193,200,6,0,64,7,5,277,569,475,115,463,161,117,1897,36848,8014,1995,9056,1598,283,57794
1026,3,4,10,3,11,0,29,0,13,10,0,0,0,31,5,51,59,20,10,5,151,43,157,147,31,18,0,397,77,65,47,47,14,0,248,196,118,95,62,146,6,630,533,108,99,147,54,5,946,1066,37,41,193,29,8,1374,531,5,10,73,3,0,624,99,0,0,11,4,0,117,22,0,0,0,0,0,22,3,0,0,0,0,0,5,0,0,0,4,3,0,12,3,0,0,4,0,0,12,41,53,23,36,23,12,183,2622,622,537,628,320,36,4765
1027,0,21,4,8,0,0,27,0,39,10,0,5,0,52,26,219,26,21,5,0,295,69,167,43,37,9,8,329,118,52,21,69,10,0,270,385,77,22,95,18,0,598,838,70,24,156,22,5,1120,1231,26,13,148,12,9,1433,601,4,0,52,5,0,666,121,0,0,13,0,0,139,16,0,0,6,0,0,20,0,0,0,9,0,0,9,0,0,0,0,0,0,3,11,0,0,8,3,0,18,68,74,10,32,17,15,218,3492,738,176,652,107,28,5201
1028,4,6,7,0,5,0,22,7,4,3,4,4,0,23,3,36,48,24,18,9,129,20,124,170,30,30,3,382,48,34,31,57,4,0,170,254,56,69,91,11,6,484,726,36,62,169,12,10,1009,1607,29,75,339,32,0,2087,1123,4,8,149,4,4,1292,336,3,0,45,0,0,390,112,0,0,17,3,0,131,24,0,0,3,0,0,32,12,0,0,4,0,0,17,7,0,3,5,4,0,19,60,27,29,46,14,14,198,4346,357,506,981,147,40,6383
1029,3,3,0,0,0,0,9,4,0,0,0,0,0,5,4,29,4,6,3,0,49,26,80,23,7,7,0,148,33,33,6,20,10,0,101,110,52,9,21,43,0,231,225,34,8,65,30,0,357,424,41,11,60,12,0,545,153,8,0,12,0,0,180,27,0,0,5,0,0,35,6,0,0,0,0,0,15,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,4,20,15,0,12,8,4,59,1037,294,58,208,134,7,1732
