LGA_CODE_2021,P_NS_0_14,P_NS_15_24,P_NS_25_34,P_NS_35_44,P_NS_45_54,P_NS_55_64,P_NS_65_74,P_NS_75_84,P_NS_85_over,P_NS_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
LGA11250,420,279,272,263,239,225,166,137,124,2120,2999,1874,2182,1883,2010,2570,2214,1272,590,17588
LGA11300,278,449,637,343,303,286,191,226,250,2967,4802,6830,8805,5002,4503,4109,3028,1960,1177,40217
LGA11350,795,452,630,707,658,629,482,179,81,4617,5812,3183,4871,5150,5197,5197,4488,1634,584,36116
LGA11400,290,149,107,161,178,172,155,105,61,1371,2792,1499,1139,1539,1832,1987,1677,960,331,13766
LGA11450,1961,934,1072,1134,891,599,382,206,99,7274,30093,14488,19454,18834,14279,10328,7203,3432,1220,119325
LGA11500,3667,1958,2131,2130,1692,1430,915,545,225,14692,38859,22208,25608,26597,20283,19501,14817,6689,1953,176519
LGA11520,817,636,980,775,679,592,519,332,343,5680,14101,9496,14886,13677,11738,10252,8074,4743,2219,89177
LGA11570,7149,4485,5410,4875,4065,3406,2349,1637,1325,34696,73477,47782,55449,51070,45671,41923,29760,17504,8374,371006
LGA11600,70,44,74,50,69,59,48,30,5,442,567,298,472,337,371,390,251,126,56,2866
LGA11650,5336,3293,3027,3187,3370,3167,2717,2025,1326,27457,62348,38764,38119,41358,44183,44882,40693,25702,10545,346596
LGA11700,74,60,46,38,37,62,53,16,3,394,302,208,217,182,225,240,222,105,22,1725
LGA11720,1230,838,1140,976,846,688,492,277,136,6618,12833,7585,9106,7898,7749,7635,6577,3083,1167,63632
LGA11730,951,684,923,836,784,801,641,340,148,6106,8656,5098,5203,5404,6516,8407,8356,4719,1757,54115
LGA11750,154,90,93,90,69,88,59,38,7,687,831,458,592,508,444,552,390,211,75,4059
LGA11800,1318,795,838,877,852,816,660,499,326,6975,13964,8105,8788,9273,9821,10579,10183,5726,2320,78759
LGA12000,84,42,31,40,42,47,40,35,14,376,866,475,439,438,533,599,565,335,135,4385
LGA12150,179,71,73,84,47,75,52,43,7,634,811,390,460,395,435,511,404,240,85,3732
LGA12160,226,133,110,127,141,150,166,106,40,1203,1982,1128,999,1096,1303,1674,1763,1086,382,11403
LGA12350,259,183,157,131,172,147,162,112,36,1357,2155,1372,1285,1203,1560,1763,1869,1105,411,12724
LGA12380,4788,3002,4235,3523,2479,2048,1276,783,492,22616,46888,31305,43631,36083,25996,23165,16129,8806,3442,235439
LGA12390,1551,907,1237,1003,856,671,484,312,145,7168,11507,6236,8321,6671,6273,6424,5169,3131,1186,54922
LGA12700,151,76,65,97,68,70,68,42,20,654,1772,915,864,1120,1242,1529,1254,658,184,9541
LGA12730,178,111,124,113,113,129,105,78,27,973,1486,876,868,846,1022,1262,1136,676,286,8456
LGA12750,705,404,311,373,509,651,609,325,159,4055,5617,3238,3172,3547,4767,6929,7823,4000,1498,40593
LGA12850,3619,2403,2344,2306,2290,2259,1531,902,597,18250,37247,29122,27047,24959,27188,27942,20373,10159,4440,208475
LGA12870,244,133,128,113,154,188,201,90,47,1297,2021,1189,1135,1153,1525,1956,2169,1284,468,12899
LGA12900,193,130,110,106,117,135,108,90,30,1026,1850,1023,1003,1003,1074,1217,1126,748,284,9319
LGA12930,1416,1211,1510,1242,1182,1075,819,624,640,9708,24266,19595,23667,20681,19057,18651,13895,8224,4229,152274
LGA12950,125,61,67,68,72,74,63,54,16,604,818,379,444,435,531,650,555,353,129,4295
LGA13010,226,133,145,147,148,153,142,92,43,1228,1367,854,849,840,1074,1416,1375,855,303,8931
LGA13310,668,384,519,461,449,369,305,161,73,3378,5784,3474,4097,3740,3987,4284,3744,2121,825,32053
LGA13340,229,139,73,144,160,183,169,89,22,1204,2250,1228,934,1253,1376,1669,1486,743,229,11157
LGA13450,596,352,394,356,368,329,273,161,99,2933,5257,3270,4019,3396,3433,3221,2369,1431,689,27086
LGA13550,387,183,220,173,163,166,148,114,69,1623,2895,1371,1747,1509,1394,1575,1264,851,332,12929
LGA13660,108,48,46,70,62,81,74,44,18,553,868,382,393,501,616,758,742,477,173,4910
LGA13800,1035,717,697,639,702,633,415,287,152,5277,12849,8641,8834,7916,9184,8650,6361,3560,1215,67207
LGA13850,74,49,46,41,42,72,44,36,12,410,463,312,314,259,333,522,331,255,90,2882
LGA13910,407,228,193,205,244,291,205,159,53,1996,3642,1999,1969,1979,2293,2747,2587,1504,541,19254
LGA14000,1266,884,678,962,1050,834,687,625,608,7589,28859,18119,14405,22239,22004,18731,14233,8902,4327,151811
LGA14100,119,102,69,98,136,100,96,130,266,1119,2319,1725,996,1537,2017,1714,1498,1009,734,13559
LGA14170,1475,1302,2363,1940,1633,1405,917,597,364,12004,26701,18706,35238,30530,26101,19845,14219,7906,3569,182818
LGA14220,481,234,244,233,288,259,216,148,73,2175,3420,2028,1971,1832,2171,2366,2170,1424,471,17853
LGA14300,104,180,298,280,211,127,75,53,8,1346,1051,693,890,840,844,868,719,391,125,6415
LGA14350,738,516,647,575,463,443,349,232,72,4022,5071,3148,3062,3017,3570,4773,4743,2444,863,30688
LGA14400,246,179,128,163,187,218,270,148,77,1620,3795,2236,1992,2485,2763,3436,3597,1988,777,23074
LGA14500,973,701,417,595,804,686,492,371,353,5384,24148,16091,9330,16439,18833,15230,11713,8150,4138,124076
LGA14550,211,89,99,130,123,207,160,68,33,1119,1483,793,710,907,1167,1811,1588,675,228,9359
LGA14600,213,91,105,99,116,108,77,52,25,873,1298,579,710,678,706,818,687,412,199,6094
LGA14650,3137,1799,1649,1754,1787,1717,1452,1056,619,14975,38759,23988,24165,25799,26769,27279,25149,15618,6305,213845
LGA14700,307,206,364,392,231,207,144,112,137,2091,7182,3980,6440,6953,5239,3990,3110,1824,725,39438
LGA14750,302,163,169,160,164,163,94,57,39,1315,2419,1535,1366,1258,1385,1447,1065,710,284,11452
LGA14850,891,593,518,549,596,595,452,222,137,4553,7580,4940,4751,5196,5986,6638,5537,2620,1081,44334
LGA14870,393,262,344,307,278,282,268,148,37,2322,3412,2116,2273,2144,2613,3171,2910,1666,534,20842
LGA14900,4743,2846,2962,2995,2390,1968,1252,863,597,20627,51573,32697,33456,33975,29602,25169,15987,8048,2943,233446
LGA14920,177,116,93,115,157,138,155,74,37,1066,1334,771,703,786,961,1136,1073,600,189,7551
LGA14950,71,52,20,30,45,52,39,18,14,341,690,338,265,309,389,527,433,248,125,3319
LGA15050,1626,867,912,897,730,672,418,271,150,6540,19266,11041,12943,12042,10990,9936,8181,4334,1494,90226
LGA15240,1609,878,773,851,1006,1226,1347,925,454,9066,14067,8120,7601,8382,10914,15414,17646,10533,3884,96579
LGA15270,578,262,286,309,334,351,278,179,63,2653,5114,2523,2945,2981,3329,3497,2935,1782,598,25713
LGA15300,634,376,380,390,374,398,254,140,47,3001,2621,1474,1699,1508,1607,1723,1238,690,199,12751
LGA15350,232,188,153,193,232,225,163,155,48,1596,4611,2963,2935,3649,4238,3727,3073,2216,916,28329
LGA15520,209,109,124,131,140,188,160,137,60,1242,2167,1095,1194,1277,1533,1926,2034,1223,401,12850
LGA15560,82,43,45,41,47,63,59,29,14,424,568,342,406,353,418,545,436,214,76,3353
LGA15650,380,222,288,252,254,188,129,69,31,1811,3462,1928,2309,2112,2116,1977,1451,746,256,16357
LGA15700,445,230,221,187,236,347,283,147,68,2157,3214,1775,1675,1828,2313,3461,3471,1953,713,20407
LGA15750,366,191,195,180,234,251,163,69,27,1681,2542,1403,1564,1388,1552,1822,1345,787,303,12703
LGA15800,176,82,67,91,81,82,82,47,25,735,1143,568,549,616,667,822,687,437,203,5698
LGA15850,259,112,113,121,91,135,97,72,51,1058,1345,674,712,687,703,854,749,473,173,6360
LGA15900,1937,2249,1933,1532,1516,1358,938,668,595,12717,27360,24150,26941,21852,20660,19267,15262,8967,4421,168873
LGA15950,430,336,834,711,529,489,421,301,173,4231,8724,5505,14656,12343,8800,7436,6417,3848,1226,68950
LGA15990,2685,1789,1782,2048,2435,1994,1368,1007,681,15792,48729,30004,28875,35504,40004,32479,24219,16501,7243,263554
LGA16100,164,101,101,125,102,81,124,58,7,876,959,522,539,609,742,828,846,429,107,5580
LGA16150,858,459,491,464,438,372,327,190,135,3743,9377,5071,5893,5464,5108,4776,4256,2511,1049,43512
LGA16200,343,195,184,196,162,206,109,75,49,1522,2935,1666,1631,1562,1672,1915,1551,995,438,14361
LGA16260,2732,1984,3819,3190,1926,1555,1044,651,373,17274,46643,28537,49933,45531,29102,24787,18185,9948,4067,256729
LGA16350,4148,2637,3231,2860,2392,1697,1244,811,532,19562,46117,28321,32976,31767,26855,23332,17418,8164,2713,217664
LGA16380,1177,791,625,666,731,812,787,526,311,6422,13860,8803,7637,8655,10452,12073,13187,8690,3417,86762
LGA16400,1163,653,585,608,744,749,799,584,264,6141,12890,7935,7049,7877,9271,10759,11058,6564,1860,75276
LGA16490,895,541,698,637,599,645,404,170,78,4657,12359,6836,9347,9004,9200,8022,5281,2475,777,63304
LGA16550,1330,1271,2009,1635,1384,1056,819,563,508,10572,20665,16173,24573,20345,17468,14085,10665,6904,3371,134252
LGA16610,639,363,302,335,334,357,290,195,91,2901,4316,2571,2296,2336,2811,3330,3296,1857,765,23565
LGA16700,1075,794,1335,1121,813,807,567,415,445,7372,20967,14501,23722,21266,15232,13994,10500,5836,3111,129123
LGA16900,1319,797,715,673,682,638,510,407,376,6127,14618,9409,9585,9343,9674,9667,7827,4452,1695,76271
LGA16950,1912,1197,1302,1287,1254,1249,1093,706,314,10319,17341,10221,11029,11131,12301,16093,17085,9829,3504,108531
LGA17000,458,415,309,260,302,280,142,80,19,2258,5076,3295,3219,3030,3337,3079,2153,1033,353,24577
LGA17040,307,271,392,306,323,315,237,120,50,2318,3553,2353,2807,2473,3013,3182,2449,1349,483,21666
LGA17080,331,162,198,234,218,218,158,134,36,1690,2745,1483,1465,1693,1837,2210,1915,1141,398,14891
LGA17100,456,533,793,452,283,258,160,108,52,3098,6767,6662,11081,6639,4535,4388,2971,1717,826,45593
LGA17150,2505,1614,1562,1793,1927,1595,1214,858,651,13712,42528,26981,26420,30575,31902,28567,22941,13859,6435,230211
LGA17200,1156,2418,5594,3202,2107,1654,1078,623,299,18134,16033,26862,68112,39461,22838,17940,12378,5972,2037,211632
LGA17310,1434,868,784,743,750,651,525,414,211,6374,12705,7414,7984,7352,7452,7638,6768,4178,1579,63070
LGA17350,81,60,36,45,54,74,60,48,17,476,1100,643,520,562,710,862,866,530,236,6034
LGA17400,112,61,53,79,103,137,147,65,21,780,955,555,479,569,825,1194,1392,633,211,6810
LGA17420,1772,1192,981,1290,1306,982,713,433,311,8981,40664,24508,19325,30834,27125,21006,16849,8724,2845,191876
LGA17550,1657,964,924,1115,1207,1179,1011,737,495,9287,16084,9217,8868,11161,12115,14018,13616,8467,3844,97392
LGA17620,237,123,153,150,172,195,132,90,52,1302,2647,1499,1659,1707,1789,1934,1651,942,406,14229
LGA17640,155,79,66,94,104,161,152,69,27,909,1412,782,723,837,1123,1510,1229,667,229,8514
LGA17650,101,58,61,59,79,87,65,31,9,552,1057,605,547,602,821,952,845,422,118,5971
LGA17750,1197,975,793,663,652,587,437,297,176,5771,13755,9801,9689,8230,7554,7394,6105,3524,1567,67609
LGA17850,72,35,30,28,42,56,51,32,8,353,509,265,271,265,361,461,486,324,81,3016
LGA17900,314,156,176,160,188,209,170,88,17,1478,973,504,633,520,644,834,711,353,83,5253
LGA17950,63,26,25,32,38,43,50,37,32,351,496,254,271,244,303,387,303,212,87,2550
LGA18020,241,143,130,122,180,222,206,163,74,1473,1551,846,858,824,1099,1408,1425,873,345,9225
LGA18050,699,504,1412,911,633,443,345,269,171,5387,10813,6218,16114,11614,8858,6127,4621,2849,1381,68605
LGA18100,52,20,26,34,44,55,47,36,10,327,561,316,290,340,439,587,588,354,143,3608
LGA18200,205,129,134,135,138,132,115,49,15,1046,1428,777,804,828,963,1098,942,464,136,7453
LGA18250,671,397,531,615,565,392,337,203,178,3905,14285,8145,9375,12731,10832,8161,6527,3611,1954,75613
LGA18350,685,414,314,404,501,509,507,422,298,4050,8797,5134,4747,5332,6753,7235,7778,5167,1764,52709
LGA18400,861,591,458,528,546,433,315,256,194,4178,11725,6902,6537,6900,7346,6311,5005,2462,766,53961
LGA18450,2739,2244,1974,1832,1905,1702,1215,862,485,14965,37709,28813,28419,26758,26838,26064,20904,13310,5754,214564
LGA18500,475,428,567,487,444,373,333,317,293,3717,7956,5583,8405,7215,6990,6173,5573,3876,1724,53496
LGA18710,256,163,118,160,192,160,142,84,34,1302,3424,1909,1591,2181,2709,2300,1897,935,338,17281
LGA19399,20,7,9,12,8,20,20,13,4,109,181,57,119,150,136,164,135,55,20,1016
LGA19499,555,462,763,794,661,469,210,54,14,3980,1260,1357,2187,1859,1678,1648,1055,277,49,11371
LGA19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
