LGA_CODE_2021,P_Mng_0,P_Mng_1_19,P_Mng_20_29,P_Mng_30_34,P_Mng_35_39,P_Mng_40_44,P_Mng_45_49,P_Mng_50_over,P_Mng_hours_NS,P_Mng_Tot,P_Pro_0,P_Pro_1_19,P_Pro_20_29,P_Pro_30_34,P_Pro_35_39,P_Pro_40_44,P_Pro_45_49,P_Pro_50_over,P_Pro_hours_NS,P_Pro_Tot,P_TTW_0,P_TTW_1_19,P_TTW_20_29,P_TTW_30_34,P_TTW_35_39,P_TTW_40_44,P_TTW_45_49,P_TTW_50_over,P_TTW_hours_NS,P_TTW_Tot,P_CPS_0,P_CPS_1_19,P_CPS_20_29,P_CPS_30_34,P_CPS_35_39,P_CPS_40_44,P_CPS_45_49,P_CPS_50_over,P_CPS_hours_NS,P_CPS_Tot,P_CA_0,P_CA_1_19,P_CA_20_29,P_CA_30_34,P_CA_35_39,P_CA_40_44,P_CA_45_49,P_CA_50_over,P_CA_hours_NS,P_CA_Tot,P_Sal_0,P_Sal_1_19,P_Sal_20_29,P_Sal_30_34,P_Sal_35_39,P_Sal_40_44,P_Sal_45_49,P_Sal_50_over,P_Sal_hours_NS,P_Sal_Tot,P_MOD_0,P_MOD_1_19,P_MOD_20_29,P_MOD_30_34,P_MOD_35_39,P_MOD_40_44,P_MOD_45_49,P_MOD_50_over,P_MOD_hours_NS,P_MOD_Tot,P_Lab_0,P_Lab_1_19,P_Lab_20_29,P_Lab_30_34,P_Lab_35_39,P_Lab_40_44,P_Lab_45_49,P_Lab_50_over,P_Lab_hours_NS,P_Lab_Tot,P_ID_NS_0,P_ID_NS_1_19,P_ID_NS_20_24,P_ID_NS_30_34,P_ID_NS_35_39,P_ID_NS_40_44,P_ID_NS_45_49,P_ID_NS_50_over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_19,P_Tot_20_29,P_Tot_30_34,P_Tot_35_39,P_Tot_40_44,P_Tot_45_49,P_Tot_50_over,P_Tot_hours_NS,P_Tot_Tot
LGA10800,11,22,33,37,50,96,34,324,14,612,13,18,38,28,49,49,19,65,5,298,17,31,10,16,63,78,25,121,12,372,7,58,48,42,28,16,9,11,3,236,10,52,38,25,62,31,6,18,8,242,3,53,27,14,31,19,5,9,0,158,18,10,21,18,30,47,24,117,3,296,12,66,41,19,43,39,15,31,4,276,6,5,4,0,4,7,0,4,19,50,94,307,260,202,363,389,143,707,71,2545
LGA10850,9,44,49,36,73,112,49,238,5,612,32,55,65,52,85,98,41,75,3,505,28,38,31,22,101,127,49,131,0,517,26,91,70,51,72,48,13,25,5,394,13,61,56,30,107,64,21,26,3,385,9,64,35,15,40,22,7,21,3,224,18,11,24,11,54,63,27,114,10,333,25,112,48,19,75,78,40,53,6,462,0,6,3,0,7,8,5,8,23,70,161,478,382,247,611,633,253,681,67,3503
LGA10900,348,405,358,242,871,1151,435,1206,33,5050,595,1530,1335,917,2033,2463,682,1442,48,11051,636,584,385,275,914,1045,242,442,54,4582,924,945,667,361,620,412,194,172,37,4321,336,758,662,363,1149,772,172,246,23,4485,395,721,359,193,312,226,78,120,21,2425,159,212,165,90,239,270,109,202,15,1453,477,722,296,154,296,277,55,130,29,2435,55,62,36,29,86,78,12,34,91,491,3928,5937,4258,2620,6519,6701,1978,4005,343,36295
LGA10950,9,10,8,11,14,40,14,149,3,258,8,7,11,15,30,50,12,30,3,159,3,13,3,9,13,43,16,51,0,148,9,25,31,10,32,10,0,5,3,129,3,9,12,11,24,17,4,9,0,91,8,13,4,5,14,3,0,7,0,52,5,6,6,4,22,28,24,69,4,165,5,38,14,4,25,35,8,27,10,166,4,8,0,0,9,3,0,4,5,27,45,120,102,65,170,227,81,354,30,1199
LGA11150,4,10,4,5,17,32,15,132,11,235,0,14,8,10,42,53,6,28,0,159,0,9,3,8,16,23,7,25,7,92,14,9,18,23,52,26,13,10,4,161,4,12,3,13,25,21,6,17,5,107,0,5,7,3,7,4,0,4,0,38,0,6,0,0,6,4,6,35,0,66,5,19,10,5,14,24,4,14,3,99,0,0,0,0,4,6,0,0,19,31,37,90,57,59,181,193,67,264,40,992
LGA11200,5,9,0,0,17,10,6,51,0,105,0,6,0,7,10,24,4,12,0,73,0,0,6,3,4,8,0,12,0,32,7,10,5,9,20,12,0,8,0,76,0,5,6,6,16,7,0,0,0,39,0,0,0,0,4,0,0,0,0,12,0,4,0,0,0,8,0,14,0,35,0,13,5,4,7,10,4,11,0,65,0,3,0,0,0,4,0,0,6,13,18,48,26,30,84,86,21,117,22,446
LGA11250,29,30,33,31,160,153,65,173,7,677,79,73,85,69,283,321,92,170,8,1181,49,76,54,50,265,284,64,259,11,1115,78,195,178,160,224,175,57,79,25,1173,37,82,103,56,263,142,21,45,3,750,28,230,110,47,114,53,21,31,11,637,55,43,33,31,100,135,36,299,16,737,39,233,106,54,126,87,20,55,18,735,12,10,4,11,18,17,0,23,63,155,407,976,698,509,1557,1364,375,1127,165,7172
LGA11300,202,228,174,110,443,590,149,387,29,2318,254,572,490,316,1410,1618,331,615,52,5659,343,277,247,90,282,310,57,109,44,1768,392,378,408,175,247,164,24,62,39,1891,179,333,333,149,677,534,95,139,22,2459,295,365,341,95,235,162,35,67,32,1630,75,115,112,45,159,116,24,61,14,725,245,451,483,119,219,171,28,55,49,1829,53,55,61,11,67,56,12,12,165,492,2047,2778,2639,1115,3750,3722,757,1506,452,18768
LGA11350,126,356,349,252,434,632,154,520,36,2863,197,796,730,594,618,811,194,419,42,4396,117,425,289,221,427,479,95,195,54,2298,197,809,438,228,195,137,22,39,53,2116,47,337,290,158,255,149,33,57,9,1346,95,488,245,138,158,138,32,73,25,1393,29,87,60,59,55,70,24,67,19,470,115,594,253,123,147,127,29,58,30,1470,23,73,56,26,26,41,3,24,112,381,947,3954,2702,1792,2318,2583,587,1455,378,16724
LGA11400,33,99,112,74,125,255,115,576,9,1397,52,107,149,94,190,217,79,193,4,1089,28,64,66,49,175,250,82,202,11,924,43,180,122,68,109,60,24,37,11,637,35,124,144,81,166,108,28,40,8,731,12,114,65,32,66,50,19,30,0,389,23,38,30,14,63,104,35,151,15,480,33,154,103,40,104,161,38,100,16,757,7,15,12,0,11,13,5,15,40,123,262,885,802,461,1017,1217,427,1342,121,6525
LGA11450,565,572,448,325,1658,2142,611,1692,69,8075,760,995,1057,792,2890,3173,678,1479,121,11946,1246,862,575,367,1714,2172,473,909,142,8454,1119,1023,866,604,1310,796,281,320,92,6416,786,1200,1073,658,2594,1830,341,556,82,9122,870,1284,738,341,895,646,129,221,77,5198,445,450,400,273,1083,976,364,771,93,4852,726,1042,507,264,671,639,154,294,66,4364,106,82,67,41,195,183,38,71,279,1055,6635,7503,5737,3659,13020,12552,3050,6308,1017,59482
LGA11500,675,504,360,282,1712,1830,477,1003,89,6936,676,1200,1093,873,4080,3831,699,1146,174,13760,2218,751,554,314,2138,1709,406,579,144,8805,1410,1336,1380,977,1716,907,309,438,149,8625,895,1141,1037,712,3692,2245,442,573,120,10851,1142,1568,934,437,1091,665,134,170,102,6238,961,719,739,473,2271,1607,485,847,175,8272,1650,1457,889,489,1468,964,213,263,181,7574,223,143,104,69,357,240,43,80,463,1727,9850,8820,7086,4628,18517,14004,3205,5104,1579,72788
LGA11520,535,580,548,326,1584,2529,815,2130,75,9124,662,1541,1316,959,3449,4659,1091,2433,121,16227,590,496,344,168,674,852,183,352,69,3736,721,667,525,269,415,353,103,146,36,3237,412,966,819,461,1754,1436,282,435,53,6615,613,746,423,198,526,544,128,260,28,3466,152,162,153,69,182,179,54,98,23,1082,327,530,397,127,248,197,53,100,36,2002,81,84,63,33,119,131,25,68,233,838,4102,5772,4577,2607,8950,10875,2730,6017,675,46315
LGA11570,1944,1234,1010,665,3125,3898,991,2371,249,15477,1704,3197,2664,1838,8087,8518,1578,3035,438,31057,5138,1614,1228,643,2671,2518,448,724,391,15371,3199,2530,2147,1195,2214,1248,427,534,286,13787,2089,2566,2431,1335,5959,4055,712,1085,259,20494,2660,2847,1846,792,1771,1201,227,370,229,11945,1994,1248,1182,585,2301,1515,392,677,263,10162,3440,2102,1528,630,2082,1211,275,346,321,11943,470,281,243,95,550,456,62,124,1086,3358,22640,17623,14277,7782,28765,24625,5103,9268,3518,133597
LGA11600,7,20,12,14,40,64,45,242,10,456,10,14,9,10,13,26,3,8,0,94,3,11,11,5,21,37,11,32,4,139,4,27,15,19,21,9,0,5,4,110,8,23,14,14,27,19,4,11,0,115,0,12,3,0,5,6,0,0,3,35,7,14,12,10,23,37,22,57,9,186,9,38,29,9,38,56,30,85,7,298,0,0,0,0,0,5,0,0,11,23,49,154,116,76,185,274,124,447,44,1468
LGA11650,1421,1492,1226,922,3439,4602,1429,3897,156,18585,1758,3467,3529,2657,6254,7369,1769,3718,218,30741,2855,2386,1784,1198,4623,5739,1139,1971,350,22054,3444,3887,3254,2157,3224,1785,797,778,289,19613,1400,3121,3001,1749,5360,3279,707,962,164,19738,2349,4050,2112,998,2014,1349,312,545,140,13860,712,1221,799,545,2073,1773,530,1229,139,9014,2001,3940,1869,1017,2349,1922,442,837,278,14666,292,264,181,105,420,380,71,196,662,2564,16228,23823,17758,11348,29751,28195,7210,14128,2398,150834
LGA11700,0,3,7,0,6,33,4,95,0,150,3,0,9,0,12,23,6,25,4,78,0,3,5,0,0,5,0,3,0,19,4,14,3,9,6,21,4,11,0,75,0,8,5,8,11,5,0,10,0,48,0,0,4,0,0,0,0,0,0,7,0,3,0,3,3,6,8,9,0,31,0,19,4,4,13,19,9,25,5,93,0,0,0,0,0,0,0,0,4,10,13,54,36,30,51,110,26,174,12,510
LGA11720,166,198,202,143,452,591,188,585,23,2547,178,328,365,280,696,729,192,392,34,3204,291,343,320,241,1135,1358,413,749,65,4914,429,810,658,489,695,387,103,142,49,3765,156,389,446,320,802,523,107,153,25,2919,194,717,458,211,389,241,83,85,31,2411,208,204,246,124,677,721,310,824,71,3388,365,841,441,297,600,513,135,222,55,3472,36,37,31,28,83,72,27,51,137,497,2024,3873,3168,2132,5534,5140,1561,3196,486,27120
LGA11730,79,165,177,156,398,535,164,700,29,2410,173,351,354,330,662,630,191,380,16,3090,103,254,232,198,674,710,155,337,54,2713,191,566,626,482,594,280,89,173,61,3061,91,356,374,210,685,317,71,98,17,2216,84,582,349,172,330,161,52,77,29,1833,71,143,125,79,228,255,107,360,22,1387,157,770,389,226,379,362,89,222,70,2670,40,26,19,21,61,43,10,35,145,394,989,3218,2643,1874,4012,3294,923,2375,447,19770
LGA11750,8,11,19,11,36,39,22,144,8,283,15,10,14,8,21,44,26,67,0,201,21,9,17,11,31,81,46,121,5,353,8,17,27,16,27,20,4,19,4,137,7,18,24,17,48,34,11,14,0,178,0,34,21,9,17,14,0,9,0,109,30,18,18,3,27,43,20,170,9,331,7,53,39,8,17,32,4,52,4,217,8,0,0,0,0,3,3,4,6,28,108,170,166,89,229,300,142,592,50,1844
LGA11800,147,256,276,283,861,980,366,924,57,4144,340,738,862,678,1423,1382,424,827,58,6729,159,397,364,312,1285,1107,308,515,68,4519,276,1171,1023,686,796,425,152,249,89,4882,169,607,691,482,1116,657,155,223,34,4148,154,1117,589,296,544,331,93,152,46,3316,78,206,157,129,322,303,125,266,30,1610,228,1202,695,399,685,521,100,221,99,4135,33,69,46,30,98,67,10,58,158,576,1586,5754,4710,3296,7136,5772,1727,3434,642,34050
LGA12000,8,17,29,26,50,89,34,196,5,457,12,24,28,29,51,60,18,41,3,265,9,15,19,12,58,86,13,37,4,257,15,58,58,25,54,24,13,18,4,272,12,24,38,13,71,29,9,5,4,210,8,55,14,6,23,12,4,14,3,130,8,17,14,7,27,37,8,39,4,164,8,32,11,24,35,34,15,23,0,192,3,0,4,4,4,3,0,4,8,32,68,247,215,146,383,384,115,377,36,1982
LGA12150,6,11,18,11,23,49,26,187,5,347,12,14,12,13,30,50,20,39,0,191,9,14,7,12,17,30,6,30,7,126,6,27,27,26,48,27,6,0,3,186,3,21,19,21,41,13,8,6,0,138,5,14,7,7,7,12,3,4,0,59,7,6,3,5,17,25,6,22,10,92,4,32,19,33,21,45,13,28,0,206,4,4,6,0,6,3,0,11,9,43,54,146,120,124,211,265,91,330,43,1386
LGA12160,27,44,59,40,88,149,71,275,20,780,29,69,80,48,108,127,37,96,3,599,23,34,32,37,126,171,46,92,17,587,30,105,113,72,109,66,29,22,5,544,14,58,75,67,104,76,14,33,9,438,15,102,81,27,66,38,5,25,7,365,25,27,25,10,69,75,24,93,6,363,45,139,85,68,145,140,42,53,19,724,3,9,11,7,9,20,4,7,35,96,216,582,567,363,822,857,276,695,128,4497
LGA12350,24,54,65,44,117,204,77,359,19,966,44,71,79,68,121,139,44,108,3,676,20,51,49,35,155,190,64,103,15,682,39,128,135,98,117,75,16,34,10,650,18,89,113,62,146,72,17,30,0,550,26,121,81,24,79,62,25,36,10,469,12,36,18,20,62,81,15,99,7,351,32,156,92,61,161,117,38,49,23,728,0,3,7,6,13,8,5,14,28,92,222,707,639,420,976,953,303,834,118,5158
LGA12380,946,654,538,360,1977,2310,526,1052,159,8517,888,1689,1450,1061,5844,6733,882,1515,336,20405,2847,1038,923,404,1936,1616,306,413,328,9812,1411,1559,1708,883,1583,878,268,414,275,8977,1011,1366,1340,687,3975,2503,393,592,172,12038,1111,1728,1240,478,1121,697,129,170,170,6841,908,927,1086,491,1753,1193,283,512,225,7375,1847,1697,1693,606,1793,1002,212,264,273,9377,286,216,210,86,459,338,51,86,960,2689,11261,10878,10180,5059,20437,17268,3046,5010,2885,86028
LGA12390,94,141,133,128,591,710,293,1004,36,3133,236,351,459,323,1160,1156,317,607,32,4648,97,210,187,142,907,973,312,664,59,3556,199,594,552,529,992,526,144,221,76,3822,129,347,403,282,1078,544,135,222,24,3158,106,644,363,165,480,320,86,125,39,2320,64,141,93,76,276,352,111,436,26,1580,106,609,336,184,447,534,129,283,68,2692,26,32,18,11,94,75,15,47,151,473,1063,3070,2541,1843,6023,5185,1541,3613,511,25386
LGA12700,30,48,57,44,79,154,67,219,10,702,39,66,79,66,119,125,43,102,8,652,39,56,56,49,152,238,57,127,23,804,45,122,87,63,67,40,5,16,11,462,15,98,87,57,108,90,22,44,7,523,31,83,63,28,41,35,4,19,6,307,21,38,24,11,64,94,42,102,9,408,33,119,59,62,72,74,11,41,11,476,7,8,3,8,10,6,7,10,22,74,261,641,525,390,708,841,257,682,103,4403
LGA12730,18,43,38,40,71,112,71,321,11,728,22,43,63,46,120,103,53,89,4,553,20,29,35,20,87,148,40,81,14,477,34,116,82,66,97,50,17,30,5,495,16,55,69,51,152,63,9,17,0,426,12,104,38,29,54,29,12,15,3,299,8,20,29,11,42,56,20,61,6,251,15,119,52,27,71,71,26,63,11,453,9,10,7,5,19,18,4,8,17,98,153,537,415,287,716,653,252,689,82,3773
LGA12750,92,146,166,136,321,457,129,420,28,1894,148,313,376,263,515,432,130,288,28,2499,108,251,256,201,586,643,115,257,34,2453,158,524,416,325,339,179,67,83,36,2118,105,361,293,194,443,237,49,91,25,1800,87,496,256,144,290,159,39,49,32,1548,49,93,85,45,154,171,51,120,19,782,113,540,236,144,256,214,44,83,46,1687,24,49,42,17,34,50,6,7,103,329,893,2780,2122,1463,2937,2540,619,1407,350,15097
LGA12850,801,438,398,243,1237,1212,283,737,96,5444,579,1009,824,662,3152,2985,512,919,137,10784,2390,755,583,298,1555,1262,252,408,218,7723,1572,1267,964,518,949,482,159,229,151,6287,910,1079,976,562,2935,1763,327,510,116,9177,1302,1386,791,338,852,490,109,157,96,5521,1184,894,824,524,2496,1477,380,648,190,8613,1894,1316,1002,504,2077,978,208,261,216,8456,221,137,135,77,338,230,47,74,583,1840,10863,8279,6491,3720,15591,10882,2263,3944,1797,63831
LGA12870,41,49,54,38,110,172,54,353,7,878,40,61,97,75,98,125,30,69,3,615,27,51,44,37,194,273,75,111,8,827,58,158,120,91,87,59,14,25,7,620,26,99,91,57,128,89,24,32,3,559,16,145,82,45,72,52,4,26,9,453,23,32,39,27,88,118,29,119,13,493,63,181,77,59,162,239,49,82,6,921,15,19,4,4,13,16,0,4,29,115,314,795,614,430,960,1148,283,816,95,5466
LGA12900,25,42,48,50,90,183,62,321,10,824,25,54,61,50,114,145,56,121,9,628,11,31,37,25,118,145,61,113,11,551,16,66,86,85,92,58,22,24,5,459,24,43,69,51,114,71,10,27,0,404,7,114,46,31,70,54,14,32,3,360,9,30,21,11,58,65,23,92,14,322,28,112,70,36,92,86,31,56,19,526,3,9,3,6,6,9,0,11,36,84,141,499,443,330,747,814,271,793,113,4150
LGA12930,901,703,596,433,1757,2423,655,1699,91,9260,955,1960,1727,1268,4897,5444,1067,2205,193,19712,2101,827,684,342,1307,1273,228,406,145,7312,1378,1306,1292,697,1200,643,166,253,116,7055,873,1348,1340,710,3048,2099,369,635,94,10508,1240,1424,1017,433,997,716,160,224,80,6289,600,364,413,209,767,566,155,253,65,3386,1148,1121,1097,378,829,530,111,153,139,5500,178,120,123,52,228,203,29,82,419,1433,9370,9166,8300,4527,15018,13897,2951,5911,1328,70462
LGA12950,9,24,25,20,38,76,33,252,12,483,17,31,32,22,43,59,10,24,0,246,3,10,16,11,49,69,12,30,6,200,16,46,31,35,56,17,4,9,0,220,12,27,20,19,35,16,0,8,4,141,7,34,22,21,21,19,0,8,0,133,4,3,6,5,10,35,10,42,0,122,14,38,24,21,25,32,9,34,5,204,0,5,3,0,5,7,3,3,16,39,81,235,179,146,280,319,78,421,48,1792
LGA13010,17,49,44,27,81,130,42,265,18,665,17,43,64,37,84,86,19,68,4,423,17,34,34,34,83,86,26,73,6,401,34,83,86,40,91,42,10,29,7,419,19,57,50,42,105,66,10,22,5,363,11,99,56,26,37,32,4,22,12,305,12,26,19,19,38,29,8,51,3,202,18,126,65,32,64,60,27,66,16,476,5,6,7,0,12,7,4,6,26,75,143,525,431,261,588,552,148,602,89,3336
LGA13310,77,105,97,84,306,423,149,495,12,1747,110,204,209,174,478,496,140,284,16,2106,78,125,132,123,486,615,159,367,39,2129,156,322,353,240,517,302,79,127,30,2136,76,191,217,170,547,288,58,99,16,1665,78,398,234,91,203,142,45,72,17,1284,55,88,82,58,240,229,99,355,28,1231,76,406,251,123,384,270,82,120,44,1751,26,27,18,12,43,43,18,31,83,305,733,1856,1589,1077,3204,2814,827,1957,293,14350
LGA13340,34,59,61,45,101,192,84,493,23,1096,42,97,89,73,130,137,50,101,0,713,37,57,40,42,133,220,53,124,14,718,32,96,113,78,92,51,18,16,9,507,30,89,102,75,135,80,15,28,7,562,14,117,44,28,44,49,9,31,4,340,24,25,35,15,51,85,35,91,8,367,35,149,68,44,86,108,32,74,11,602,7,9,4,4,10,8,0,22,35,99,256,698,555,411,784,923,301,964,102,5001
LGA13450,62,108,117,111,375,478,217,628,34,2121,85,132,166,165,437,464,144,214,16,1819,46,115,86,66,486,546,169,288,35,1832,53,246,235,170,279,131,53,68,27,1262,41,223,252,159,445,265,65,76,14,1540,57,397,175,92,225,158,41,53,17,1206,28,89,58,41,263,224,67,181,14,958,49,336,246,224,942,435,119,190,51,2602,11,21,24,17,92,56,5,17,105,344,424,1670,1352,1047,3545,2751,878,1723,308,13690
LGA13550,28,46,49,44,106,160,54,432,16,926,56,79,83,56,125,151,102,172,3,820,27,53,52,39,136,160,78,243,17,812,27,137,112,101,130,68,16,32,11,626,34,80,81,60,151,80,23,44,3,559,10,118,66,42,92,43,28,32,11,437,38,43,41,27,93,152,100,389,7,885,26,141,81,43,124,132,41,97,10,705,8,7,4,3,17,9,7,11,38,104,256,701,569,413,968,953,449,1444,116,5873
LGA13660,13,30,36,19,33,102,29,321,15,602,7,30,29,20,40,49,23,51,3,241,0,16,17,5,31,36,12,38,3,167,10,37,46,23,30,19,3,13,5,185,7,35,42,31,31,29,5,14,0,188,5,34,23,11,20,12,8,11,0,110,0,19,8,8,29,26,11,49,3,147,12,38,33,23,48,66,16,48,4,277,3,0,6,0,0,10,0,0,11,33,54,250,225,136,260,344,97,539,50,1952
LGA13800,284,349,298,188,730,1131,362,1243,56,4647,330,579,559,391,1031,1199,344,748,36,5217,803,655,443,268,1157,1594,355,781,93,6151,637,647,476,317,656,419,142,140,44,3478,391,880,743,404,1100,803,158,307,51,4828,361,685,366,183,392,330,69,153,22,2562,274,258,231,149,509,637,194,519,57,2829,465,759,362,172,501,436,94,182,68,3043,72,69,46,19,76,97,23,46,164,613,3619,4874,3524,2091,6161,6647,1731,4128,590,33364
LGA13850,3,8,12,13,22,51,19,119,5,256,6,15,13,8,29,31,7,26,0,133,4,20,7,8,34,38,17,47,10,190,7,26,14,25,25,14,0,6,3,122,8,29,25,10,33,16,5,6,0,134,0,31,22,7,14,16,0,16,0,110,6,7,4,9,18,22,0,32,0,97,12,37,24,19,34,50,9,40,10,228,0,0,0,0,3,0,0,0,15,26,41,173,129,102,206,236,67,285,45,1286
