LGA_CODE_2021,CF_C_BPBO_DC_0_4,CF_C_BPBO_DC_5_9,CF_C_BPBO_DC_10_12,CF_C_BPBO_DC_13_14,CF_C_BPBO_DC_15_17,CF_C_BPBO_DC_18_20,CF_C_BPBO_DC_21_24,CF_C_BPBO_Tot,CF_C_FBO_DC_0_4,CF_C_FBO_DC_5_9,CF_C_FBO_DC_10_12,CF_C_FBO_DC_13_14,CF_C_FBO_DC_15_17,CF_C_FBO_DC_18_20,CF_C_FBO_DC_21_24,CF_C_FBO_Tot,CF_C_MBO_DC_0_4,CF_C_MBO_DC_5_9,CF_C_MBO_DC_10_12,CF_C_MBO_DC_13_14,CF_C_MBO_DC_15_17,CF_C_MBO_DC_18_20,CF_C_MBO_DC_21_24,CF_C_MBO_Tot,CF_C_BPBAu_DC_0_4,CF_C_BPBAu_DC_5_9,CF_C_BPBAu_DC_10_12,CF_C_BPBAu_DC_13_14,CF_C_BPBAu_DC_15_17,CF_C_BPBAu_DC_18_20,CF_C_BPBAu_DC_21_24,CF_C_BPBAu_Tot,CF_C_BP_NS_DC_0_4,CF_C_BP_NS_DC_5_9,CF_C_BP_NS_DC_10_12,CF_C_BP_NS_DC_13_14,CF_C_BP_NS_DC_15_17,CF_C_BP_NS_DC_18_20,CF_C_BP_NS_DC_21_24,CF_C_BP_NS_Tot,CF_C_Tot_DC_0_4,CF_C_Tot_DC_5_9,CF_C_Tot_DC_10_12,CF_C_Tot_DC_13_14,CF_C_Tot_DC_15_17,CF_C_Tot_DC_18_20,CF_C_Tot_DC_21_24,CF_C_Tot_Tot,One_PF_BPBO_DC_0_4,One_PF_BPBO_DC_5_9,One_PF_BPBO_DC_10_12,One_PF_BPBO_DC_13_14,One_PF_BPBO_DC_15_17,One_PF_BPBO_DC_18_20,One_PF_BPBO_DC_21_24,One_PF_BPBO_Tot,One_PF_FBO_DC_0_4,One_PF_FBO_DC_5_9,One_PF_FBO_DC_10_12,One_PF_FBO_DC_13_14,One_PF_FBO_DC_15_17,One_PF_FBO_DC_18_20,One_PF_FBO_DC_21_24,One_PF_FBO_Tot,One_PF_MBO_DC_0_4,One_PF_MBO_DC_5_9,One_PF_MBO_DC_10_12,One_PF_MBO_DC_13_14,One_PF_MBO_DC_15_17,One_PF_MBO_DC_18_20,One_PF_MBO_DC_21_24,One_PF_MBO_Tot,One_PF_BPBAu_DC_0_4,One_PF_BPBAu_DC_5_9,One_PF_BPBAu_DC_10_12,One_PF_BPBAu_DC_13_14,One_PF_BPBAu_DC_15_17,One_PF_BPBAu_DC_18_20,One_PF_BPBAu_DC_21_24,One_PF_BPBAu_Tot,One_PF_BP_NS_DC_0_4,One_PF_BP_NS_DC_5_9,One_PF_BP_NS_DC_10_12,One_PF_BP_NS_DC_13_14,One_PF_BP_NS_DC_15_17,One_PF_BP_NS_DC_18_20,One_PF_BP_NS_DC_21_24,One_PF_BP_NS_Tot,One_PF_Tot_DC_0_4,One_PF_Tot_DC_5_9,One_PF_Tot_DC_10_12,One_PF_Tot_DC_13_14,One_PF_Tot_DC_15_17,One_PF_Tot_DC_18_20,One_PF_Tot_DC_21_24,One_PF_Tot_Tot,Tot_DC_0_4,Tot_DC_5_9,Tot_DC_10_12,Tot_DC_13_14,Tot_DC_15_17,Tot_DC_18_20,Tot_DC_21_24,Tot_Tot
LGA17000,49,69,38,45,46,14,7,264,57,59,43,30,19,12,0,215,68,80,49,22,34,15,3,276,1045,1119,670,448,498,118,44,3943,10,7,0,6,6,0,0,20,1227,1329,799,537,596,154,52,4708,3,0,4,3,9,4,0,22,6,15,3,6,8,0,0,38,11,18,8,3,10,0,0,55,187,303,180,109,104,26,3,911,10,11,6,5,0,0,0,24,212,340,210,126,125,29,9,1050,1441,1671,1013,664,724,180,57,5756
LGA17040,62,57,31,16,26,4,6,208,47,57,47,30,43,0,6,227,47,55,58,31,47,5,0,248,664,703,460,319,324,55,29,2550,4,7,7,0,5,0,0,18,831,874,595,404,443,65,31,3246,0,9,6,3,3,0,0,27,12,20,3,11,12,0,3,55,0,3,9,7,12,0,0,34,86,141,116,87,100,7,10,549,0,9,9,0,0,0,0,24,105,178,143,106,134,11,12,689,933,1057,737,511,574,76,47,3935
LGA17080,30,39,23,11,17,4,0,128,25,31,17,15,8,0,0,104,36,46,10,14,13,0,0,123,522,543,364,198,249,37,5,1916,0,0,0,5,3,0,0,10,618,663,417,240,291,40,9,2281,3,6,0,0,0,0,0,10,4,18,16,7,5,0,0,52,4,5,3,3,4,0,0,26,125,146,116,71,76,10,6,551,7,5,0,0,0,0,0,13,139,178,145,82,89,16,6,649,755,842,561,322,383,57,8,2927
LGA17100,1395,1384,663,436,525,432,287,5115,159,100,66,49,87,48,28,541,157,148,82,56,75,53,30,594,376,324,193,135,161,139,81,1408,21,17,6,3,0,0,0,44,2105,1977,1013,678,854,665,428,7704,56,128,113,75,118,124,87,700,12,29,16,12,22,8,5,113,9,22,22,15,18,10,10,105,38,42,34,20,27,15,10,188,3,8,6,0,7,3,0,23,123,225,189,128,198,153,113,1133,2227,2202,1200,802,1053,821,537,8841
LGA17150,1713,1815,957,627,805,526,344,6790,1102,1315,789,524,723,385,169,5002,1385,1352,760,479,599,327,124,5027,7736,7707,4753,3256,4161,2049,931,30584,37,29,14,17,7,0,0,105,11967,12211,7273,4900,6290,3292,1574,47502,95,188,150,120,167,99,58,878,121,227,165,134,179,96,53,971,66,156,116,109,147,76,40,708,507,994,765,579,792,358,195,4189,18,28,14,16,15,7,0,91,802,1594,1205,956,1296,637,348,6836,12770,13805,8479,5853,7582,3927,1921,54342
LGA17200,2762,1585,634,321,390,271,142,6110,827,446,223,125,147,76,34,1878,962,540,213,132,144,72,44,2105,1675,929,503,338,401,240,113,4200,30,15,4,3,5,0,0,56,6258,3509,1581,918,1085,661,336,14343,231,258,182,153,212,213,160,1402,86,121,82,57,94,34,27,503,77,96,71,31,68,38,29,418,222,307,199,126,167,107,61,1198,27,26,8,12,8,0,0,90,644,808,545,379,554,397,277,3609,6898,4320,2121,1299,1642,1064,611,17954
LGA17310,286,242,116,71,82,11,9,824,81,101,66,39,40,10,3,341,131,107,54,33,64,10,0,403,2187,2354,1499,1022,1104,189,58,8414,4,16,14,14,3,0,0,41,2681,2821,1750,1176,1296,227,69,10027,8,9,7,3,14,0,0,48,35,49,38,14,16,0,0,159,9,22,13,11,16,6,0,77,782,1003,605,413,461,62,9,3329,20,23,13,13,9,4,0,88,856,1108,680,451,516,65,15,3700,3539,3930,2424,1634,1814,297,87,13720
LGA17350,7,15,8,7,0,0,0,41,0,0,3,0,9,0,0,14,7,10,8,0,0,0,0,24,234,253,169,114,98,24,7,893,0,0,0,0,0,0,0,0,253,277,189,125,107,22,7,983,0,3,3,0,0,0,0,8,0,0,0,0,5,0,0,7,0,0,0,0,0,0,0,3,45,46,52,26,34,8,0,216,3,5,0,0,0,0,0,16,54,60,57,33,39,8,0,249,307,338,248,158,142,35,7,1224
LGA17400,7,10,4,0,6,0,0,21,6,0,4,5,3,0,0,28,3,13,6,5,3,0,0,37,155,168,102,102,95,19,0,639,6,4,0,0,0,0,0,6,177,195,115,108,103,20,0,725,0,0,0,0,0,0,0,3,0,4,0,8,0,0,0,13,3,0,6,0,3,0,0,10,59,74,61,35,35,0,0,266,0,4,4,4,0,0,0,21,64,86,71,42,39,9,0,309,244,278,189,154,144,25,4,1036
LGA17420,5074,7318,3952,2282,2770,1990,1256,24642,766,969,610,413,580,319,139,3806,931,991,583,348,452,264,119,3690,3385,3978,2772,1982,2647,1380,624,16764,48,59,23,8,9,4,5,156,10212,13313,7933,5034,6456,3956,2148,49059,152,367,288,208,293,242,176,1719,80,109,94,91,111,69,24,579,58,94,71,51,70,45,35,422,271,440,351,296,429,208,96,2096,18,15,9,7,3,0,0,63,579,1030,812,662,902,566,330,4880,10793,14344,8746,5696,7363,4524,2480,53940
LGA17550,316,357,238,142,168,61,19,1302,356,435,253,153,176,42,21,1443,431,391,245,158,166,37,14,1441,2494,2787,1740,1105,1284,391,138,9931,15,17,9,13,0,0,0,63,3609,3996,2484,1570,1798,527,200,14182,19,44,41,36,45,9,10,209,68,146,113,68,106,22,10,534,38,90,68,41,55,11,7,309,517,796,554,466,517,122,57,3031,38,29,21,14,3,0,0,106,685,1097,796,637,725,168,86,4186,4295,5090,3280,2207,2521,696,284,18371
LGA17620,27,39,26,10,18,4,0,128,23,27,12,8,11,0,0,88,41,42,14,13,10,0,0,123,488,599,364,286,314,46,9,2101,0,0,0,0,4,0,0,15,586,709,424,317,352,52,9,2453,0,4,3,0,4,0,0,12,3,0,0,0,0,0,0,16,0,8,3,4,0,0,4,21,96,123,88,73,70,13,0,461,0,4,0,4,0,0,0,14,110,140,92,77,82,13,5,520,695,846,522,393,432,64,18,2973
LGA17640,7,11,7,0,0,0,0,29,23,13,10,5,14,0,0,66,11,20,11,10,8,4,0,58,338,353,178,109,164,17,12,1174,0,6,0,0,0,0,0,10,381,408,199,120,186,26,14,1337,0,0,0,0,0,0,0,8,0,7,4,0,0,0,0,10,0,3,0,0,0,0,0,16,43,53,33,19,32,5,0,181,3,0,0,0,0,0,0,3,46,59,35,25,35,9,4,213,422,466,238,148,224,29,13,1546
LGA17650,3,4,3,4,4,0,0,18,6,5,10,7,11,0,0,40,11,21,6,3,14,0,0,59,192,219,167,93,114,16,9,818,0,0,0,0,0,0,0,0,214,253,194,109,142,23,7,944,0,0,3,0,0,0,0,7,5,5,0,0,8,0,0,19,0,7,0,0,6,0,0,11,49,54,34,31,35,8,0,211,0,4,0,0,0,0,0,6,51,66,41,39,50,8,0,255,268,319,233,150,189,32,8,1201
LGA17750,565,595,288,170,211,117,44,1995,146,142,91,62,69,11,0,529,126,124,62,38,50,17,7,432,2680,2456,1550,1020,1167,326,98,9294,12,3,0,0,5,0,0,23,3535,3314,1993,1293,1500,476,156,12268,31,58,41,17,31,11,4,199,48,53,35,21,21,7,8,186,12,18,25,20,18,4,4,91,651,808,507,383,373,79,26,2829,31,22,15,6,4,0,0,73,776,962,616,439,444,98,41,3380,4307,4280,2612,1727,1946,573,196,15649
LGA17850,0,3,0,0,0,0,0,3,9,9,0,0,0,0,0,20,6,13,5,4,0,0,0,28,108,114,60,46,44,20,0,386,0,0,0,0,0,0,0,0,123,132,66,53,45,20,0,436,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,8,0,0,0,0,0,0,0,0,10,19,11,13,14,6,0,70,0,5,4,0,0,0,0,8,17,32,18,13,17,6,0,89,142,160,79,66,59,18,0,528
LGA17900,10,3,6,0,0,0,0,18,5,5,3,0,3,0,0,13,9,6,3,0,0,0,0,22,144,114,71,36,40,11,4,421,0,0,0,0,0,0,0,3,174,131,83,39,45,11,4,483,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,17,0,0,0,0,0,0,0,0,58,78,39,32,26,4,0,233,0,0,0,0,0,0,0,7,59,91,45,32,28,4,0,262,233,221,123,67,72,15,4,740
LGA17950,5,6,3,0,0,0,0,17,4,3,6,5,0,6,0,12,12,5,0,0,0,0,0,19,103,101,67,37,34,7,0,357,0,0,0,0,0,0,0,0,116,116,72,39,38,11,3,403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,9,29,22,11,11,9,0,0,78,9,3,4,0,0,0,0,11,38,26,12,17,6,0,0,104,155,140,88,53,46,9,3,501
LGA18020,6,5,0,3,0,0,0,19,10,13,6,5,3,0,0,41,25,9,5,9,4,0,0,55,283,298,195,144,158,32,8,1107,0,0,0,0,0,0,0,0,327,328,209,157,163,35,7,1228,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,14,0,4,9,0,4,0,0,22,68,83,78,47,69,13,0,360,3,0,0,0,0,0,0,13,75,91,90,54,78,13,0,408,399,417,299,217,241,47,11,1635
LGA18050,1101,894,530,339,379,250,168,3655,560,488,283,177,220,104,49,1878,523,457,269,138,199,114,55,1758,1177,1001,600,410,523,269,146,4124,13,9,4,0,9,0,0,40,3372,2845,1687,1070,1327,736,422,11463,38,103,86,64,103,61,33,499,34,77,70,47,67,18,14,332,31,46,53,37,42,25,11,258,49,118,118,96,117,58,31,586,11,12,3,0,0,7,0,35,162,364,332,253,330,173,93,1700,3538,3213,2012,1327,1653,905,514,13163
LGA18100,8,0,5,0,5,0,0,11,4,3,3,9,5,0,0,20,3,7,10,9,6,0,0,24,117,119,71,48,67,20,0,445,0,3,0,0,0,0,0,3,131,138,84,65,78,20,0,508,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,7,26,30,17,17,15,3,0,111,0,3,5,0,0,0,0,6,26,34,23,22,19,3,0,119,156,171,102,84,96,20,0,630
LGA18200,12,9,4,0,6,0,0,33,14,3,3,0,4,0,0,39,22,15,6,5,3,0,0,56,299,320,164,134,128,22,6,1085,7,0,0,0,0,0,0,11,355,351,188,144,141,30,7,1214,0,0,0,0,0,0,0,8,3,7,0,0,3,0,3,15,0,0,0,0,0,0,0,3,52,60,42,19,39,12,0,215,0,0,3,0,0,0,0,11,59,67,44,26,45,11,4,258,409,422,227,170,186,36,11,1470
LGA18250,1565,2315,1212,702,747,461,276,7278,363,389,278,171,242,134,79,1651,524,560,324,202,251,147,73,2086,1079,1231,818,549,784,442,201,5114,15,21,10,0,5,0,0,55,3551,4515,2641,1630,2028,1176,639,16175,100,230,216,157,247,164,119,1238,37,53,29,28,50,33,21,255,26,42,39,26,32,27,13,204,48,95,98,63,128,80,43,544,5,12,3,0,0,0,0,25,218,422,385,281,464,309,189,2264,3761,4946,3026,1905,2489,1489,827,18443
LGA18350,251,221,135,76,89,39,20,830,167,233,174,108,134,50,15,880,193,233,129,99,115,37,11,819,1573,1620,1090,697,815,251,84,6130,15,10,0,3,0,0,0,31,2205,2317,1524,984,1154,376,134,8685,10,11,7,8,25,8,0,70,31,56,35,43,46,12,5,226,10,27,17,19,20,8,8,105,168,296,267,190,225,64,38,1251,13,10,14,4,6,0,0,41,227,394,346,267,319,85,55,1702,2426,2711,1864,1255,1475,461,192,10384
LGA18400,92,124,87,71,86,55,29,547,173,215,147,88,99,61,13,800,153,193,133,100,99,53,19,754,2763,2631,1559,990,1131,401,144,9626,9,16,11,7,9,4,0,46,3193,3175,1939,1261,1429,573,204,11771,5,6,15,6,18,8,3,61,43,48,51,29,31,4,3,205,15,25,21,14,10,5,10,100,330,457,278,206,233,62,28,1592,14,16,12,6,7,0,0,41,406,552,370,259,293,78,42,1999,3599,3725,2308,1517,1723,650,244,13769
LGA18450,1262,1437,805,503,657,397,210,5266,893,956,562,370,495,243,129,3661,895,903,561,345,477,196,83,3459,6945,6420,3763,2557,3072,1248,566,24577,20,40,15,15,9,0,0,93,10016,9754,5713,3798,4707,2078,989,37053,88,158,126,121,155,97,62,815,155,242,188,136,179,71,48,1029,70,136,117,99,116,44,27,608,1061,1630,1082,824,939,314,136,5983,51,52,44,25,23,5,4,201,1435,2225,1552,1207,1410,538,275,8638,11451,11978,7266,4999,6112,2611,1262,45687
LGA18500,460,593,376,238,297,227,113,2295,364,317,202,130,196,101,59,1361,348,361,225,151,182,92,41,1406,927,800,535,349,487,259,179,3536,8,3,3,7,3,0,0,27,2113,2067,1340,873,1173,670,385,8622,27,89,67,56,74,36,39,392,32,66,43,30,61,37,21,287,10,47,36,23,38,18,17,188,54,122,83,79,117,75,34,560,11,11,3,6,7,0,0,33,135,339,231,196,292,170,101,1467,2250,2402,1573,1069,1470,833,487,10085
LGA18710,48,51,30,13,31,13,4,182,65,88,61,27,41,9,3,293,57,61,59,31,42,13,9,265,603,782,516,326,386,128,48,2792,3,3,4,0,0,0,0,13,780,985,659,402,502,159,60,3550,4,3,6,0,3,3,0,18,11,4,5,5,15,4,0,48,6,13,5,4,11,3,0,44,64,116,84,61,81,16,10,417,0,3,0,0,0,0,0,3,81,145,100,69,104,22,11,531,866,1124,765,472,612,182,69,4077
LGA19399,6,7,0,0,0,0,0,8,0,5,0,0,0,0,0,3,6,6,0,0,0,0,0,19,34,43,21,9,6,0,0,113,0,0,0,0,0,0,0,0,49,56,32,7,9,5,0,149,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,9,4,0,0,0,0,12,0,0,3,0,0,0,0,3,4,10,5,9,0,0,0,20,49,63,35,15,10,5,0,169
LGA19499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
