LGA_CODE_2021,P_Pakistan_0_4,P_Pakistan_5_14,P_Pakistan_15_24,P_Pakistan_25_44,P_Pakistan_45_54,P_Pakistan_55_64,P_Pakistan_65_74,P_Pakistan_75_84,P_Pakistan_85ov,P_Pakistan_Tot,P_PNG_0_4,P_PNG_5_14,P_PNG_15_24,P_PNG_25_44,P_PNG_45_54,P_PNG_55_64,P_PNG_65_74,P_PNG_75_84,P_PNG_85ov,P_PNG_Tot,P_Philippines_0_4,P_Philippines_5_14,P_Philippines_15_24,P_Philippines_25_44,P_Philippines_45_54,P_Philippines_55_64,P_Philippines_65_74,P_Philippines_75_84,P_Philippines_85ov,P_Philippines_Tot,P_Poland_0_4,P_Poland_5_14,P_Poland_15_24,P_Poland_25_44,P_Poland_45_54,P_Poland_55_64,P_Poland_65_74,P_Poland_75_84,P_Poland_85ov,P_Poland_Tot,P_Samoa_0_4,P_Samoa_5_14,P_Samoa_15_24,P_Samoa_25_44,P_Samoa_45_54,P_Samoa_55_64,P_Samoa_65_74,P_Samoa_75_84,P_Samoa_85ov,P_Samoa_Tot,P_Scotland_0_4,P_Scotland_5_14,P_Scotland_15_24,P_Scotland_25_44,P_Scotland_45_54,P_Scotland_55_64,P_Scotland_65_74,P_Scotland_75_84,P_Scotland_85ov,P_Scotland_Tot,P_Singapore_0_4,P_Singapore_5_14,P_Singapore_15_24,P_Singapore_25_44,P_Singapore_45_54,P_Singapore_55_64,P_Singapore_65_74,P_Singapore_75_84,P_Singapore_85ov,P_Singapore_Tot,P_South_Africa_0_4,P_South_Africa_5_14,P_South_Africa_15_24,P_South_Africa_25_44,P_South_Africa_45_54,P_South_Africa_55_64,P_South_Africa_65_74,P_South_Africa_75_84,P_South_Africa_85ov,P_South_Africa_Tot,P_Sri_Lanka_0_4,P_Sri_Lanka_5_14,P_Sri_Lanka_15_24,P_Sri_Lanka_25_44,P_Sri_Lanka_45_54,P_Sri_Lanka_55_64,P_Sri_Lanka_65_74,P_Sri_Lanka_75_84,P_Sri_Lanka_85ov,P_Sri_Lanka_Tot,P_Taiwan_0_4,P_Taiwan_5_14,P_Taiwan_15_24,P_Taiwan_25_44,P_Taiwan_45_54,P_Taiwan_55_64,P_Taiwan_65_74,P_Taiwan_75_84,P_Taiwan_85ov,P_Taiwan_Tot,P_Thailand_0_4,P_Thailand_5_14,P_Thailand_15_24,P_Thailand_25_44,P_Thailand_45_54,P_Thailand_55_64,P_Thailand_65_74,P_Thailand_75_84,P_Thailand_85ov,P_Thailand_Tot,P_Turkey_0_4,P_Turkey_5_14,P_Turkey_15_24,P_Turkey_25_44,P_Turkey_45_54,P_Turkey_55_64,P_Turkey_65_74,P_Turkey_75_84,P_Turkey_85ov,P_Turkey_Tot,P_USA_0_4,P_USA_5_14,P_USA_15_24,P_USA_25_44,P_USA_45_54,P_USA_55_64,P_USA_65_74,P_USA_75_84,P_USA_85ov,P_USA_Tot,P_Vietnam_0_4,P_Vietnam_5_14,P_Vietnam_15_24,P_Vietnam_25_44,P_Vietnam_45_54,P_Vietnam_55_64,P_Vietnam_65_74,P_Vietnam_75_84,P_Vietnam_85ov,P_Vietnam_Tot,P_Wales_0_4,P_Wales_5_14,P_Wales_15_24,P_Wales_25_44,P_Wales_45_54,P_Wales_55_64,P_Wales_65_74,P_Wales_75_84,P_Wales_85ov,P_Wales_Tot,P_Zimbabwe_0_4,P_Zimbabwe_5_14,P_Zimbabwe_15_24,P_Zimbabwe_25_44,P_Zimbabwe_45_54,P_Zimbabwe_55_64,P_Zimbabwe_65_74,P_Zimbabwe_75_84,P_Zimbabwe_85ov,P_Zimbabwe_Tot,P_Elsewhere_0_4,P_Elsewhere_5_14,P_Elsewhere_15_24,P_Elsewhere_25_44,P_Elsewhere_45_54,P_Elsewhere_55_64,P_Elsewhere_65_74,P_Elsewhere_75_84,P_Elsewhere_85ov,P_Elsewhere_Tot,P_COB_NS_0_4,P_COB_NS_5_14,P_COB_NS_15_24,P_COB_NS_25_44,P_COB_NS_45_54,P_COB_NS_55_64,P_COB_NS_65_74,P_COB_NS_75_84,P_COB_NS_85ov,P_COB_NS_Tot,P_Tot_0_4,P_Tot_5_14,P_Tot_15_24,P_Tot_25_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
LGA10800,0,0,0,0,0,0,0,0,0,0,0,0,6,7,0,0,0,0,0,12,0,3,3,17,3,0,3,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,7,6,0,4,0,27,0,0,0,5,0,0,0,0,0,5,4,0,0,4,0,0,0,0,0,4,0,0,0,0,4,4,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,4,0,5,0,27,34,75,32,134,60,88,61,53,24,556,349,737,542,1214,642,791,681,411,176,5547
LGA10850,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,5,0,5,0,0,4,0,0,0,0,14,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,4,0,19,0,0,0,0,0,0,0,0,0,5,0,0,0,4,4,0,0,0,0,11,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,5,0,0,0,6,0,0,0,4,3,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,7,0,0,0,0,0,3,0,0,0,5,0,3,0,5,6,4,3,4,0,39,16,64,42,78,80,89,76,56,10,506,448,1073,776,1574,1009,1106,877,477,165,7497
LGA10900,0,0,0,7,7,9,3,4,0,37,0,0,0,13,27,22,9,0,5,73,0,20,20,151,58,44,46,10,0,356,0,0,0,47,28,44,58,12,6,202,0,0,0,5,5,0,6,0,0,12,0,12,16,54,64,118,158,77,33,520,0,13,3,17,20,9,13,0,0,83,0,7,18,78,91,54,58,27,8,345,0,0,0,21,15,20,14,6,3,74,0,0,3,16,0,4,7,0,0,33,0,10,9,82,31,18,9,0,0,172,0,0,0,6,9,3,5,0,0,27,5,28,29,129,84,100,100,46,3,534,0,14,28,77,35,8,4,0,0,169,0,0,0,4,24,27,42,21,3,121,0,0,0,10,4,10,3,0,0,32,7,35,38,320,329,311,335,228,70,1670,112,266,210,536,343,314,334,276,203,2602,3889,9744,8087,16711,10957,11205,10517,5258,1763,78121
LGA10950,0,0,0,5,0,0,0,0,0,5,0,0,0,4,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,5,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,6,3,16,30,34,28,32,27,29,9,206,156,317,292,543,336,321,225,208,71,2467
LGA11150,0,0,0,4,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,11,36,72,46,108,59,58,36,21,4,448,178,342,260,583,303,315,211,106,34,2340
LGA11200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,9,11,18,29,60,35,41,21,3,7,223,88,186,161,339,169,209,132,51,17,1356
LGA11250,0,0,0,5,0,0,0,0,0,0,0,3,5,3,0,0,0,0,0,10,3,21,25,80,27,19,18,5,0,201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,6,0,22,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6,0,0,0,0,17,0,0,0,6,4,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,5,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,6,6,8,0,7,0,0,0,27,0,0,0,3,0,0,0,0,0,7,0,0,0,0,0,0,5,0,0,6,0,7,0,4,0,0,0,0,0,10,0,4,6,21,10,10,12,15,3,71,71,184,181,357,174,169,170,144,124,1567,972,2030,1874,4066,2010,2570,2214,1272,590,17588
LGA11300,0,3,9,39,15,4,9,0,0,80,0,0,0,6,5,8,11,7,4,44,4,17,36,318,80,49,71,16,13,604,0,0,0,12,5,19,17,6,8,75,0,0,0,3,5,4,3,0,0,12,0,0,0,9,9,12,15,6,0,54,0,4,26,62,19,15,3,9,0,139,0,7,5,31,9,13,15,5,0,69,0,0,5,56,29,40,45,29,5,215,0,8,28,344,26,22,24,9,3,462,0,3,24,244,45,19,10,0,0,349,0,6,4,18,15,18,12,11,6,89,5,19,18,31,5,10,3,5,0,104,6,21,186,348,192,168,118,30,10,1076,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,5,9,40,85,406,152,166,148,144,66,1213,45,104,318,732,182,174,140,184,233,2115,1532,3271,6830,13804,4503,4109,3028,1960,1177,40217
LGA11350,0,0,0,0,0,0,0,0,0,3,0,0,0,5,20,8,8,0,0,46,0,3,3,46,13,12,3,0,0,100,0,0,0,15,3,3,3,7,0,34,0,0,0,0,0,0,3,0,0,0,0,0,0,24,17,25,32,15,8,123,0,6,0,9,3,7,5,0,0,37,0,9,3,64,52,47,40,13,4,229,0,0,0,12,4,3,6,0,0,22,0,4,0,5,0,4,0,0,0,18,0,10,10,32,21,9,10,0,0,92,0,0,0,6,0,0,0,0,0,14,13,37,21,156,68,66,94,24,6,476,0,4,3,13,3,5,0,0,0,26,0,0,10,10,7,0,7,0,0,43,0,0,0,10,9,9,12,0,0,28,5,49,70,729,196,150,104,43,12,1355,174,415,333,1105,524,525,417,156,75,3727,1733,4079,3183,10015,5197,5197,4488,1634,584,36116
LGA11400,0,0,0,0,6,0,0,0,0,3,0,0,0,0,6,0,0,0,0,5,0,3,0,7,10,5,4,0,0,25,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,6,3,0,0,20,0,3,0,0,0,0,0,0,0,5,0,0,6,10,8,12,0,3,3,44,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,6,0,0,5,5,5,0,0,0,0,8,0,0,0,0,0,0,0,0,0,3,0,8,3,11,0,3,0,0,0,30,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,3,0,0,12,0,0,0,0,0,0,0,0,0,4,0,3,0,15,9,9,14,4,0,63,46,135,111,214,165,175,159,114,49,1170,751,2043,1499,2679,1832,1987,1677,960,331,13766
LGA11450,0,75,75,347,115,49,19,7,0,678,3,0,3,12,19,8,3,0,3,50,3,63,110,751,257,190,95,15,7,1504,0,0,7,74,39,24,37,13,9,198,0,11,38,92,77,82,33,7,0,342,0,9,18,76,71,100,96,63,19,451,0,16,9,22,15,10,11,0,0,91,11,50,54,227,136,78,46,17,6,622,0,11,28,112,57,46,28,9,9,296,0,0,4,43,26,7,10,0,0,93,6,19,17,191,51,14,18,0,0,306,0,7,7,55,37,20,3,0,0,125,3,37,31,84,32,25,21,4,3,255,0,6,19,224,81,66,29,4,6,438,0,3,5,16,22,23,14,8,5,98,0,3,62,152,75,36,9,0,0,335,19,160,203,1282,683,568,412,173,59,3543,263,552,410,1152,366,288,238,153,63,3479,11190,18901,14488,38285,14279,10328,7203,3432,1220,119325
LGA11500,8,213,190,893,233,144,45,4,0,1740,0,4,9,24,25,20,15,0,0,104,25,161,439,1789,921,909,574,160,34,5006,0,0,9,83,76,92,138,50,14,468,8,87,192,471,394,428,209,68,5,1865,0,17,7,52,63,175,231,130,29,700,0,25,19,43,27,20,27,11,0,166,3,30,34,235,166,161,158,61,15,872,7,52,59,233,110,106,77,34,7,684,0,3,6,55,16,7,11,0,0,100,5,30,58,431,133,99,60,10,0,827,0,9,12,54,28,29,12,9,0,158,4,27,44,127,48,41,33,8,5,333,3,32,57,526,243,208,120,19,11,1219,0,0,0,18,21,31,28,12,6,112,0,9,35,103,32,20,7,5,0,210,34,317,433,2153,1353,1338,987,542,124,7288,654,1515,1173,2840,1082,868,674,525,228,9564,13106,25759,22208,52199,20283,19501,14817,6689,1953,176519
LGA11520,3,14,16,125,27,10,9,3,0,212,0,0,0,11,23,16,6,0,0,53,4,28,64,571,123,102,92,11,5,998,0,4,0,73,19,25,39,11,8,187,0,0,3,7,3,0,0,0,0,14,0,0,7,53,59,56,51,36,12,271,8,28,29,92,34,35,31,14,4,276,3,17,27,199,95,81,56,24,0,506,0,4,16,165,62,74,50,28,15,410,4,8,14,200,24,35,23,4,0,312,0,14,29,234,73,14,16,5,0,383,0,4,9,112,69,80,34,24,4,338,23,61,34,147,57,40,42,20,4,426,0,19,66,288,223,120,77,31,8,821,0,0,0,17,12,9,10,0,0,49,0,0,4,24,18,3,9,0,0,59,30,125,163,1394,461,387,351,231,122,3261,136,293,380,1224,369,319,312,245,201,3479,4851,9248,9496,28558,11738,10252,8074,4743,2219,89177
LGA11570,75,444,749,2959,631,299,107,20,0,5288,0,0,7,35,35,30,19,13,4,140,22,170,385,2073,786,805,504,134,34,4906,0,3,4,130,59,82,109,84,73,547,3,4,50,155,134,142,87,17,5,609,0,9,0,40,39,72,80,51,30,333,5,35,53,131,70,73,70,25,12,476,0,23,47,182,123,98,68,42,7,588,5,9,26,189,85,110,111,44,18,596,4,14,33,322,55,48,48,14,4,540,8,35,86,772,241,156,83,11,4,1395,3,16,17,180,206,182,108,68,17,795,17,70,103,245,78,56,37,12,7,619,73,466,1586,6290,4611,4984,2704,850,402,21972,0,0,0,19,16,18,16,11,8,85,0,3,20,56,39,22,8,0,0,152,132,1188,1421,6342,3352,3067,2238,1403,582,19727,1397,3101,2839,7259,2615,2275,1710,1099,674,22970,24664,48817,47782,106515,45671,41923,29760,17504,8374,371006
