LGA_CODE_2021,Num_MVs_per_dweling_0_MVs,Num_MVs_per_dweling_1_MVs,Num_MVs_per_dweling_2_MVs,Num_MVs_per_dweling_3_MVs,Num_MVs_per_dweling_4mo_MVs,Num_MVs_per_dweling_Tot,Num_MVs_NS,Total_dwelings
LGA12700,87,916,1430,608,472,3515,63,3578
LGA12730,176,1176,1251,445,221,3262,63,3331
LGA12750,713,6364,6255,1949,1020,16309,296,16603
LGA12850,6337,20587,19144,8331,5333,59730,1183,60918
LGA12870,249,1918,1958,636,372,5130,97,5231
LGA12900,183,1228,1289,500,276,3480,87,3563
LGA12930,6460,21408,16051,5078,2633,51633,766,52401
LGA12950,99,487,577,258,131,1545,51,1598
LGA13010,241,1375,1186,474,279,3555,81,3628
LGA13310,727,4065,4194,1756,1097,11840,211,12045
LGA13340,108,1058,1468,728,503,3867,68,3936
LGA13450,458,2868,3428,1383,940,9075,198,9266
LGA13550,228,1524,1760,690,413,4613,85,4697
LGA13660,68,626,665,293,190,1840,52,1898
LGA13800,884,6100,8434,3813,3579,22817,241,23060
LGA13850,67,398,387,149,94,1098,29,1134
LGA13910,390,2446,2612,1081,697,7223,184,7403
LGA14000,3448,19706,19087,5684,3275,51199,434,51629
LGA14100,373,1539,1849,557,317,4638,36,4670
LGA14170,12955,38423,17208,3385,1308,73279,806,74091
LGA14220,394,2236,2342,918,557,6443,179,6626
LGA14300,111,657,733,330,211,2035,59,2103
LGA14350,594,4098,4018,1524,862,11101,254,11352
LGA14400,297,2700,3660,1144,725,8531,80,8612
LGA14500,1806,14861,17499,5020,2372,41561,301,41864
LGA14550,138,1440,1338,480,267,3663,75,3736
LGA14600,131,726,766,330,203,2155,37,2191
LGA14650,4137,26527,31837,10803,6458,79765,918,80677
LGA14700,1467,7494,4862,1015,459,15293,128,15420
LGA14750,187,1235,1435,629,393,3880,79,3961
LGA14850,914,6256,6290,2220,1184,16870,281,17154
LGA14870,670,2955,2702,1110,718,8152,164,8319
LGA14900,5364,21811,24894,9837,6164,68069,1246,69314
LGA14920,160,922,1015,417,275,2782,64,2848
LGA14950,54,316,437,204,170,1174,30,1202
LGA15050,1484,10088,13278,4737,2716,32303,345,32648
LGA15240,2009,15635,14040,4562,2500,38750,904,39654
LGA15270,418,2887,3635,1515,964,9423,208,9638
LGA15300,320,1355,1384,503,339,3898,143,4042
LGA15350,1283,5409,3542,820,372,11432,104,11544
LGA15520,214,1556,1921,680,388,4756,121,4875
LGA15560,52,411,465,194,140,1259,34,1291
LGA15650,336,2079,2187,813,480,5901,100,6001
LGA15700,469,3382,2799,905,506,8068,195,8265
LGA15750,227,1421,1698,704,421,4475,104,4574
LGA15800,136,737,725,285,204,2094,47,2141
LGA15850,116,737,774,319,239,2180,41,2221
LGA15900,5416,25170,24399,6868,3483,65334,786,66129
LGA15950,6081,18176,6504,976,353,32093,310,32395
LGA15990,6126,34394,35922,10793,6233,93468,909,94377
LGA16100,60,588,784,334,229,1997,39,2038
LGA16150,985,5801,6180,1984,962,15918,266,16183
LGA16200,344,1880,1902,686,486,5301,105,5401
LGA16260,10829,42203,27726,6872,3158,90792,1321,92109
LGA16350,4778,24684,26845,9664,6440,72415,984,73398
LGA16380,1874,13493,12540,3980,2147,34043,811,34848
LGA16400,1142,10359,10917,3694,2373,28478,383,28868
LGA16490,797,7095,9090,3496,2382,22854,248,23100
LGA16550,8149,23746,14048,3334,1454,50721,708,51433
LGA16610,466,3201,3115,1205,643,8630,197,8825
LGA16700,6111,23137,13988,3538,1686,48465,578,49040
LGA16900,1397,8764,10717,3810,2502,27192,350,27543
LGA16950,1863,16055,16005,5106,2936,41960,703,42667
LGA17000,299,2206,3359,1489,999,8347,93,8443
LGA17040,317,2480,2993,1273,839,7909,134,8043
LGA17080,257,1881,2065,883,497,5584,90,5671
LGA17100,2226,7155,4153,1233,671,15437,310,15746
LGA17150,4709,28058,32998,10296,6494,82555,734,83292
LGA17200,37727,45146,10921,1511,584,95895,1848,97743
LGA17310,1395,8205,8694,3025,1880,23210,412,23617
LGA17350,149,795,823,349,232,2347,43,2393
LGA17400,150,1073,954,384,218,2787,92,2875
LGA17420,1454,16978,26013,8922,5957,59324,483,59810
LGA17550,2181,14526,13747,4214,2296,36962,635,37602
LGA17620,239,1799,2069,834,466,5410,85,5499
LGA17640,81,818,1251,597,447,3189,59,3249
LGA17650,76,668,907,361,242,2251,29,2285
LGA17750,1514,8510,9408,3227,1739,24391,377,24776
LGA17850,47,335,449,188,137,1152,27,1183
LGA17900,128,622,537,187,142,1618,39,1660
LGA17950,57,290,319,149,98,913,23,936
LGA18020,166,1160,1180,484,331,3314,85,3400
LGA18050,5100,13137,6825,1375,587,27021,432,27455
LGA18100,83,489,500,248,159,1478,25,1500
LGA18200,121,666,991,428,234,2440,102,2546
LGA18250,3840,13091,7904,1809,698,27341,255,27599
LGA18350,665,6745,7766,2860,1886,19927,260,20184
LGA18400,425,3688,6601,3178,3226,17123,198,17325
LGA18450,6764,28876,29052,9495,5487,79676,986,80658
LGA18500,3150,10231,6224,1336,689,21626,284,21907
LGA18710,135,1369,2302,1153,908,5867,65,5932
LGA19399,40,122,78,44,57,341,9,353
LGA19499,0,0,0,0,0,0,0,0
LGA19799,0,0,0,0,0,0,0,0
