LGA_CODE_2021,Sme_Usl_ad_5_yr_ago_as_2021_M,Sme_Usl_ad_5_yr_ago_as_2021_F,Sme_Usl_ad_5_yr_ago_as_2021_P,Dif_Usl_ad_5_yr_ago_Sme_SA2_M,Dif_Usl_ad_5_yr_ago_Sme_SA2_F,Dif_Usl_ad_5_yr_ago_Sme_SA2_P,Dif_Us_ad_5_ago_Dif_SA2_NSW_M,Dif_Us_ad_5_ago_Dif_SA2_NSW_F,Dif_Us_ad_5_ago_Dif_SA2_NSW_P,Dif_Us_ad_5_ago_Dif_SA2_Vic_M,Dif_Us_ad_5_ago_Dif_SA2_Vic_F,Dif_Us_ad_5_ago_Dif_SA2_Vic_P,Dif_Us_ad_5_ago_Dif_SA2_Qld_M,Dif_Us_ad_5_ago_Dif_SA2_Qld_F,Dif_Us_ad_5_ago_Dif_SA2_Qld_P,Dif_Us_ad_5_ago_Dif_SA2_SA_M,Dif_Us_ad_5_ago_Dif_SA2_SA_F,Dif_Us_ad_5_ago_Dif_SA2_SA_P,Dif_Us_ad_5_ago_Dif_SA2_WA_M,Dif_Us_ad_5_ago_Dif_SA2_WA_F,Dif_Us_ad_5_ago_Dif_SA2_WA_P,Dif_Us_ad_5_ago_Dif_SA2_Tas_M,Dif_Us_ad_5_ago_Dif_SA2_Tas_F,Dif_Us_ad_5_ago_Dif_SA2_Tas_P,Dif_Us_ad_5_ago_Dif_SA2_NT_M,Dif_Us_ad_5_ago_Dif_SA2_NT_F,Dif_Us_ad_5_ago_Dif_SA2_NT_P,Dif_Us_ad_5_ago_Dif_SA2_ACT_M,Dif_Us_ad_5_ago_Dif_SA2_ACT_F,Dif_Us_ad_5_ago_Dif_SA2_ACT_P,Dif_Us_ad_5_ago_Dif_SA2_OT_M,Dif_Us_ad_5_ago_Dif_SA2_OT_F,Dif_Us_ad_5_ago_Dif_SA2_OT_P,Dif_Us_ad_5_ago_Dif_SA2_Tot_M,Dif_Us_ad_5_ago_Dif_SA2_Tot_F,Dif_Us_ad_5_ago_Dif_SA2_Tot_P,Difnt_Usl_add_5_yr_ago_OS_M,Difnt_Usl_add_5_yr_ago_OS_F,Difnt_Usl_add_5_yr_ago_OS_P,Difnt_Usl_add_5_yr_ago_Ns_M,Difnt_Usl_add_5_yr_ago_Ns_F,Difnt_Usl_add_5_yr_ago_Ns_P,Difnt_Usl_add_5_yr_ago_Tot_M,Difnt_Usl_add_5_yr_ago_Tot_F,Difnt_Usl_add_5_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
LGA16350,55857,56921,112772,5527,5739,11264,26985,28687,55672,271,302,571,545,577,1119,81,96,176,126,125,252,38,35,69,46,51,94,78,88,162,0,0,0,28163,29961,58127,2353,2711,5068,868,664,1534,36910,39084,75991,6690,6572,13265,99456,102572,202028
LGA16380,20737,22290,43029,3750,4178,7931,10263,11671,21935,397,456,850,691,755,1443,58,67,126,109,113,217,48,60,111,72,71,142,165,169,330,3,3,4,11790,13369,25163,655,748,1400,334,384,713,16525,18677,35207,2306,2380,4681,39566,43349,82915
LGA16400,18962,19447,38408,3833,4121,7952,8117,8566,16684,280,280,562,507,535,1038,108,107,213,130,124,253,42,50,95,129,103,230,118,127,246,8,5,14,9435,9897,19333,545,565,1110,276,238,515,14089,14825,28913,2212,2114,4320,35262,36388,71646
LGA16490,15716,15469,31188,1734,1741,3472,4900,4905,9803,399,375,775,517,522,1043,136,143,285,190,173,365,31,42,73,132,129,256,3060,3103,6162,3,9,14,9373,9410,18784,1045,1049,2098,222,161,383,12371,12364,24740,1633,1525,3156,29729,29350,59080
LGA16550,29968,32778,62750,2980,3122,6098,15264,16235,31497,491,594,1087,564,613,1175,116,128,250,221,247,466,34,20,57,53,52,105,235,251,485,6,0,6,16983,18145,35127,6833,7366,14195,536,452,980,27330,29080,56407,4553,3697,8254,61853,65559,127412
LGA16610,6257,6349,12606,1219,1368,2588,1742,1829,3565,55,66,118,331,338,675,17,15,34,16,20,35,4,11,13,14,14,30,4,6,11,0,4,0,2191,2301,4486,81,91,171,70,80,153,3562,3843,7403,1200,1162,2367,11024,11360,22376
LGA16700,28597,30404,59001,3131,3372,6507,16712,17118,33832,404,365,770,344,389,732,110,135,241,191,152,347,31,28,59,35,33,74,157,131,291,0,0,0,17988,18361,36347,6701,7366,14068,448,377,825,28271,29474,57745,2480,2637,5112,59345,62514,121860
LGA16900,20281,21098,41375,2850,3067,5922,8668,9412,18077,117,132,251,183,199,379,26,29,58,58,61,122,7,10,22,23,23,46,63,83,147,0,0,0,9152,9943,19095,394,484,874,291,302,583,12682,13798,26482,1908,1916,3823,34874,36807,71682
LGA16950,27754,28442,56193,5075,5630,10710,10963,11790,22753,332,353,682,477,479,960,74,83,159,182,147,325,33,45,79,70,79,151,369,382,753,21,20,41,12523,13377,25899,743,804,1544,370,299,668,18710,20112,38826,4443,3618,8059,50909,52168,103081
LGA17000,6154,5939,12090,1571,1664,3239,2333,2332,4670,104,57,161,366,238,605,41,17,64,67,44,109,26,9,34,40,21,59,23,12,33,0,0,0,3002,2735,5736,164,138,308,92,62,157,4830,4600,9428,899,646,1541,11880,11178,23058
LGA17040,5693,5361,11057,1204,1189,2385,1549,1571,3122,133,148,278,186,171,362,33,26,53,60,54,112,11,9,20,20,23,44,280,267,550,3,0,4,2272,2272,4542,372,356,728,77,48,131,3930,3862,7787,1056,763,1818,10679,9986,20665
LGA17080,4168,4044,8208,765,907,1676,932,926,1860,121,100,217,99,104,202,11,14,22,18,17,39,3,7,13,14,10,30,32,48,83,0,0,0,1237,1224,2463,109,108,215,55,53,107,2167,2293,4464,787,605,1390,7122,6944,14067
LGA17100,9347,9677,19023,1239,1144,2383,5474,5251,10725,134,103,241,162,139,298,38,35,71,59,44,104,13,13,24,14,9,28,50,47,95,0,0,4,5945,5646,11590,4163,3423,7588,178,134,310,11532,10348,21878,1295,1050,2344,22167,21077,43245
LGA17150,65858,69018,134877,6251,6454,12710,25499,27026,52524,306,275,582,535,511,1042,81,81,162,163,174,342,36,43,75,54,53,102,116,94,212,5,0,5,26789,28254,55045,2479,2840,5320,596,519,1114,36118,38067,74187,3763,4072,7837,105742,111158,216895
LGA17200,32029,28977,61002,6818,6125,12948,32675,29366,62042,1902,1583,3482,1763,1608,3371,545,501,1046,886,718,1606,116,105,214,86,84,172,672,688,1364,0,4,6,38651,34660,73310,19458,19799,39255,1321,1008,2329,66252,61591,127839,8479,6849,15327,106757,97413,204170
LGA17310,14999,15657,30657,3157,3476,6638,6480,6995,13477,149,122,269,438,497,940,52,43,98,58,58,118,17,36,49,32,30,65,21,28,43,0,0,0,7244,7806,15052,807,815,1622,205,198,413,11418,12296,23718,2422,2441,4865,28838,30401,59240
LGA17350,1822,1880,3699,384,400,778,282,320,602,11,12,21,37,32,70,4,3,7,9,10,20,0,6,3,4,0,5,20,22,42,0,0,0,369,401,766,31,21,50,20,22,45,792,842,1640,172,204,377,2783,2930,5718
LGA17400,1866,1893,3763,279,333,611,326,351,674,18,17,34,249,300,543,3,3,4,16,7,24,4,6,12,6,3,9,5,3,7,0,0,0,622,689,1312,32,35,68,18,23,41,951,1079,2030,374,378,749,3195,3351,6544
LGA17420,49232,50565,99795,2831,2921,5746,27720,28585,56304,353,385,741,411,433,837,180,162,345,196,214,405,32,31,60,43,42,83,150,100,250,0,0,0,29073,29955,59029,5072,5619,10693,405,386,793,37381,38878,76257,2361,2384,4737,88973,91827,180799
LGA17550,23783,25469,49259,3592,3990,7586,7599,8465,16065,664,771,1430,3511,3822,7331,88,92,181,120,162,288,43,48,86,81,96,175,62,76,134,0,6,9,12174,13533,25706,932,1162,2096,424,385,805,17123,19063,36189,3538,3782,7327,44448,48322,92764
LGA17620,3873,3826,7693,710,747,1456,1185,1270,2455,24,27,48,90,96,182,12,12,19,9,10,21,5,4,8,12,6,12,0,3,3,0,0,0,1329,1427,2752,209,205,417,51,53,110,2304,2425,4734,552,497,1050,6726,6746,13479
LGA17640,2521,2368,4883,329,391,713,632,643,1273,13,15,31,23,24,48,0,11,11,12,6,15,3,0,6,0,3,4,112,124,238,0,0,0,804,820,1624,20,24,45,15,12,24,1159,1248,2407,394,357,752,4076,3972,8046
LGA17650,1697,1772,3471,227,262,492,458,537,1001,16,29,47,50,48,98,0,0,4,4,14,18,4,4,10,4,5,3,6,4,10,0,0,0,544,638,1181,24,27,52,14,11,32,814,936,1750,220,233,453,2731,2946,5672
LGA17750,15251,15996,31251,2653,3015,5666,7300,8160,15458,552,632,1184,665,589,1253,182,195,378,111,117,231,35,30,64,97,79,182,238,231,471,0,0,0,9176,10039,19215,1177,1174,2354,268,237,505,13275,14462,27733,2048,1999,4046,30574,32452,63027
LGA17850,882,852,1730,172,195,368,165,156,318,7,3,10,29,25,53,0,0,4,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,203,185,394,13,11,21,9,8,10,394,405,799,162,152,316,1432,1418,2852
LGA17900,1227,1102,2331,245,258,498,221,252,477,16,8,31,42,42,84,0,0,5,6,4,5,0,0,3,0,0,0,5,0,6,0,0,0,301,316,616,39,44,78,22,15,32,599,631,1228,671,692,1364,2502,2424,4924
LGA17950,723,715,1445,114,140,256,139,124,263,3,0,5,6,9,20,3,0,0,0,0,8,0,0,3,0,5,5,3,0,3,0,0,0,156,147,306,26,18,47,11,8,14,308,322,630,148,160,309,1179,1202,2380
LGA18020,2583,2535,5115,457,483,935,535,543,1074,10,8,21,55,53,103,0,6,6,7,13,15,6,5,11,9,11,19,0,3,3,0,0,0,618,637,1253,33,39,70,20,21,38,1126,1180,2305,655,678,1328,4360,4389,8748
LGA18050,13628,14456,28085,2470,2508,4978,7686,8106,15790,369,372,741,302,320,620,49,70,120,135,160,294,16,13,26,16,9,27,72,85,162,0,0,0,8646,9144,17789,4303,4953,9254,273,273,546,15689,16882,32569,2025,2147,4181,31348,33492,64834
LGA18100,1172,1086,2262,186,198,388,200,205,407,8,6,18,13,3,15,0,3,3,4,0,7,0,0,0,0,0,0,13,6,22,0,0,0,244,234,470,8,11,19,12,10,15,448,451,894,142,147,295,1763,1683,3446
LGA18200,2009,1792,3801,310,289,599,182,190,370,423,449,869,25,30,51,51,59,111,11,19,31,6,6,7,8,10,9,6,4,6,0,0,0,707,760,1469,52,45,93,15,9,27,1083,1097,2186,532,463,997,3625,3354,6972
LGA18250,17990,19646,37633,2083,2236,4322,8433,8835,17268,243,247,497,175,177,358,63,53,118,98,103,196,32,29,51,4,7,14,72,65,137,0,0,0,9132,9514,18648,3776,4414,8185,192,167,355,15178,16327,31508,1180,1342,2524,34349,37319,71666
LGA18350,12900,13938,26844,2019,2162,4186,6638,7276,13916,69,82,152,149,178,321,20,25,48,56,53,102,19,26,45,11,18,27,56,99,158,4,6,8,7020,7755,14775,586,625,1215,126,119,239,9752,10665,20418,1366,1518,2888,24022,26122,50143
LGA18400,15482,15281,30764,1741,1804,3546,6002,6154,12154,49,52,98,109,125,234,12,11,29,27,35,63,8,4,18,8,8,19,17,18,38,0,0,0,6230,6416,12649,156,197,353,146,123,267,8284,8538,16825,1311,1304,2609,25070,25123,50194
LGA18450,58779,60728,119508,6537,6692,13226,23187,24694,47882,446,472,916,524,561,1084,100,116,217,172,176,342,59,66,123,72,66,135,275,321,595,0,5,5,24829,26472,51294,3476,3233,6710,720,628,1343,35553,37022,72581,5061,5333,10394,99399,103084,202482
LGA18500,11435,13167,24598,1546,1737,3279,6425,7318,13745,307,334,641,284,310,592,84,107,183,120,144,262,6,23,33,14,17,33,84,110,197,3,0,4,7327,8367,15693,2017,2377,4399,140,157,294,11030,12634,23666,1274,1527,2797,23735,27326,51062
LGA18710,4811,4965,9778,653,705,1364,809,871,1680,53,60,119,72,75,151,25,22,41,30,29,63,12,6,19,20,15,31,950,1016,1971,0,6,6,1979,2109,4078,98,104,207,43,44,85,2771,2960,5730,445,396,843,8033,8326,16353
LGA19399,330,289,615,24,24,43,61,67,124,9,3,11,8,6,15,4,6,12,4,3,4,0,6,5,0,0,0,3,4,3,0,0,0,89,94,179,14,17,28,3,5,5,122,136,261,49,44,91,495,466,963
LGA19499,761,424,1186,221,160,382,1929,1707,3632,110,138,249,225,214,438,30,35,62,37,47,83,14,16,31,19,16,38,33,33,65,0,0,0,2400,2195,4597,373,438,814,56,35,95,3046,2835,5882,2307,1536,3835,6115,4793,10906
LGA19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
