LGA_CODE_2021,Num_Psns_UR_1_FamHhold,Num_Psns_UR_1_NonFamHhold,Num_Psns_UR_1_Total,Num_Psns_UR_2_FamHhold,Num_Psns_UR_2_NonFamHhold,Num_Psns_UR_2_Total,Num_Psns_UR_3_FamHhold,Num_Psns_UR_3_NonFamHhold,Num_Psns_UR_3_Total,Num_Psns_UR_4_FamHhold,Num_Psns_UR_4_NonFamHhold,Num_Psns_UR_4_Total,Num_Psns_UR_5_FamHhold,Num_Psns_UR_5_NonFamHhold,Num_Psns_UR_5_Total,Num_Psns_UR_6mo_FamHhold,Num_Psns_UR_6mo_NonFamHhold,Num_Psns_UR_6mo_Total,Total_FamHhold,Total_NonFamHhold,Total_Total
LGA14000,..,9546,9546,14429,684,15114,9568,146,9716,11346,63,11412,3996,30,4030,1806,4,1811,41149,10484,51629
LGA14100,..,1126,1126,1447,65,1510,659,12,673,844,0,840,395,0,397,130,0,131,3475,1201,4670
LGA14170,..,22451,22451,22442,3345,25787,10609,1385,11990,9513,599,10109,2582,172,2757,937,61,1003,46078,28007,74091
LGA14220,..,1934,1934,2316,147,2457,909,20,930,720,7,730,353,3,359,210,0,210,4513,2108,6626
LGA14300,..,585,585,714,47,759,279,5,283,259,3,268,143,3,145,65,5,69,1452,646,2103
LGA14350,..,3282,3282,4099,321,4420,1502,34,1539,1145,6,1154,558,0,559,403,0,405,7705,3655,11352
LGA14400,..,1957,1957,3368,136,3501,1108,27,1132,1240,6,1248,580,0,580,195,0,195,6490,2122,8612
LGA14500,..,7065,7065,12140,435,12583,7642,82,7721,9461,27,9492,3667,12,3684,1310,14,1320,34227,7631,41864
LGA14550,..,1208,1208,1384,115,1500,418,11,431,320,0,319,172,0,172,109,0,109,2405,1338,3736
LGA14600,..,674,674,718,33,756,292,3,295,230,0,231,161,0,161,72,0,72,1475,718,2191
LGA14650,..,20010,20010,26999,1593,28593,12222,265,12485,12437,84,12521,4906,36,4941,2111,6,2118,58685,21997,80677
LGA14700,..,4163,4163,4766,465,5229,2434,87,2521,2390,19,2411,869,6,879,220,4,221,10682,4738,15420
LGA14750,..,1114,1114,1287,71,1356,552,17,569,498,3,495,290,3,289,132,3,137,2756,1206,3961
LGA14850,..,5212,5212,5436,640,6072,2351,113,2465,1983,28,2015,887,13,898,496,7,506,11150,6009,17154
LGA14870,..,2831,2831,2770,178,2951,995,23,1018,902,3,907,399,0,399,212,0,217,5280,3034,8319
LGA14900,..,11919,11919,15435,1059,16499,12514,155,12671,14521,62,14582,7766,29,7795,5854,4,5858,56085,13230,69314
LGA14920,..,876,876,1003,72,1071,335,6,340,320,0,316,171,0,168,74,0,74,1892,953,2848
LGA14950,..,323,323,442,27,469,140,0,141,125,0,125,77,0,77,69,0,69,849,352,1202
LGA15050,..,7256,7256,10215,652,10870,5476,107,5578,5444,30,5470,2369,16,2379,1084,6,1088,24585,8069,32648
LGA15240,..,12219,12219,15754,964,16723,4417,91,4504,3578,23,3599,1659,18,1677,918,9,931,26332,13323,39654
LGA15270,..,2724,2724,3235,233,3466,1265,31,1298,1212,7,1222,641,0,647,286,0,286,6641,2997,9638
LGA15300,..,1185,1185,1258,108,1365,538,13,547,498,3,504,287,3,288,151,0,150,2729,1313,4042
LGA15350,..,3658,3658,3772,222,3994,1501,29,1532,1574,3,1579,613,0,615,160,0,156,7620,3920,11544
LGA15520,..,1341,1341,1911,78,1990,550,5,561,558,5,567,294,0,294,116,4,119,3434,1441,4875
LGA15560,..,413,413,458,27,489,161,0,156,117,0,117,76,0,76,39,0,39,857,437,1291
LGA15650,..,1712,1712,1827,143,1971,871,16,882,823,0,824,390,4,399,213,0,213,4131,1875,6001
LGA15700,..,2737,2737,2912,245,3150,956,13,968,770,0,770,402,0,405,228,0,230,5264,3000,8265
LGA15750,..,1316,1316,1545,109,1661,608,21,625,508,3,512,325,0,329,138,0,142,3126,1450,4574
LGA15800,..,685,685,734,46,778,274,0,273,203,6,208,126,0,126,70,0,70,1405,730,2141
LGA15850,..,649,649,717,42,759,292,9,301,276,0,275,155,0,155,80,0,80,1522,698,2221
LGA15900,..,19486,19486,19868,2697,22565,9208,1256,10459,8556,427,8979,3243,139,3379,1179,73,1253,42051,24071,66129
LGA15950,..,12490,12490,10981,1193,12175,3826,355,4184,2721,62,2782,604,12,610,149,8,151,18279,14120,32395
LGA15990,..,21056,21056,28119,2141,30257,14472,571,15040,18123,176,18301,7052,70,7118,2576,26,2604,70330,24043,94377
LGA16100,..,587,587,771,40,809,245,5,247,229,0,229,102,0,102,58,0,58,1402,634,2038
LGA16150,..,4669,4669,4976,365,5338,2226,91,2324,2187,41,2228,1107,13,1124,495,4,500,10996,5190,16183
LGA16200,..,1683,1683,1723,107,1830,698,19,719,617,4,623,369,3,368,176,0,176,3587,1816,5401
LGA16260,..,20742,20742,25528,3074,28608,17351,950,18306,15653,377,16030,5475,141,5619,2734,81,2806,66741,25368,92109
LGA16350,..,15971,15971,20060,1609,21671,12924,215,13145,12886,69,12952,6006,24,6029,3613,16,3628,55491,17910,73398
LGA16380,..,10035,10035,13123,830,13953,4260,140,4398,3882,42,3920,1688,15,1704,834,8,843,23785,11069,34848
LGA16400,..,7503,7503,10647,589,11241,3824,64,3894,3616,27,3647,1673,6,1685,901,0,901,20670,8191,28868
LGA16490,..,5819,5819,7019,393,7418,3706,67,3769,3850,29,3879,1541,3,1545,665,5,671,16785,6321,23100
LGA16550,..,14505,14505,14972,2616,17584,7419,891,8314,7418,235,7653,2422,75,2498,822,51,872,33050,18386,51433
LGA16610,..,2578,2578,3096,232,3327,1119,20,1136,951,10,959,501,0,501,331,0,331,5989,2841,8825
LGA16700,..,12976,12976,14437,1541,15980,8196,367,8563,7532,151,7678,2561,50,2612,1186,48,1234,33907,15132,49040
LGA16900,..,5942,5942,9062,465,9529,4501,77,4584,4602,38,4644,1908,8,1915,933,0,935,21014,6530,27543
LGA16950,..,12150,12150,16312,986,17301,5305,117,5417,4660,47,4710,2055,15,2067,1017,7,1023,29348,13318,42667
LGA17000,..,1901,1901,2647,162,2809,1311,17,1328,1357,3,1362,693,0,698,347,0,350,6360,2088,8443
LGA17040,..,2386,2386,2716,234,2950,1019,58,1082,950,42,990,429,3,435,175,19,195,5291,2746,8043
LGA17080,..,1668,1668,2057,81,2138,707,11,723,670,0,673,321,4,326,146,0,146,3905,1766,5671
LGA17100,..,3224,3224,4095,722,4814,2881,310,3194,2556,205,2763,1034,91,1127,578,45,622,11147,4597,15746
LGA17150,..,18511,18511,25706,1472,27178,13120,218,13332,15524,50,15577,6428,29,6452,2224,8,2232,63002,20293,83292
LGA17200,..,40160,40160,30655,7032,37689,8763,2612,11383,5101,1153,6251,1240,340,1580,520,161,675,46287,51452,97743
LGA17310,..,6726,6726,7641,562,8210,3316,90,3415,3068,37,3104,1417,21,1438,725,11,731,16167,7446,23617
LGA17350,..,756,756,881,31,913,253,0,253,250,0,250,119,0,119,100,0,100,1601,789,2393
LGA17400,..,1024,1024,1116,74,1189,282,8,291,216,0,216,108,0,108,55,0,55,1772,1104,2875
LGA17420,..,7282,7282,15546,567,16116,11583,129,11713,15183,81,15266,6339,41,6381,3042,19,3060,51702,8110,59810
LGA17550,..,10812,10812,12839,1107,13943,4869,190,5061,4766,38,4800,2008,14,2019,962,8,972,25436,12164,37602
LGA17620,..,1581,1581,1921,117,2044,686,21,706,666,3,672,358,0,361,128,0,130,3763,1734,5499
LGA17640,..,894,894,1261,38,1297,384,0,390,369,0,373,174,0,174,111,0,111,2312,936,3249
LGA17650,..,604,604,874,52,922,280,0,283,281,0,281,130,0,134,63,0,63,1630,657,2285
LGA17750,..,6859,6859,7648,658,8306,3511,185,3701,3312,70,3385,1657,28,1680,836,11,848,16963,7805,24776
LGA17850,..,358,358,487,15,499,134,0,138,102,0,102,66,0,66,23,0,23,812,372,1183
LGA17900,..,621,621,514,54,572,185,9,193,128,0,128,81,0,81,70,0,70,980,683,1660
LGA17950,..,303,303,310,25,333,105,0,105,98,0,98,61,0,61,37,0,37,612,326,936
LGA18020,..,1114,1114,1211,79,1288,394,0,393,317,5,320,182,0,182,108,0,108,2210,1193,3400
LGA18050,..,8216,8216,8059,1826,9881,3499,609,4112,3497,162,3657,1210,42,1256,325,12,336,16587,10862,27455
LGA18100,..,514,514,565,22,590,162,0,165,137,0,137,64,0,64,36,0,36,963,541,1500
LGA18200,..,631,631,923,31,955,354,3,353,350,0,351,182,0,179,70,0,70,1876,669,2546
LGA18250,..,6320,6320,7988,749,8737,4725,204,4926,5253,80,5333,1677,21,1695,570,13,587,20207,7386,27599
LGA18350,..,5280,5280,7470,347,7816,2591,51,2639,2640,15,2658,1216,7,1225,559,4,563,14478,5710,20184
LGA18400,..,2911,2911,5181,217,5398,2733,26,2761,3344,7,3352,1825,4,1833,1067,0,1067,14163,3165,17325
LGA18450,..,21265,21265,24616,2239,26856,11829,833,12661,12283,349,12635,4943,112,5050,2124,69,2191,55796,24863,80658
LGA18500,..,6946,6946,7101,908,8006,2708,331,3044,2533,88,2619,1000,18,1018,267,5,268,13611,8294,21907
LGA18710,..,1186,1186,2020,75,2095,917,12,925,982,0,983,503,0,503,239,0,239,4653,1277,5932
LGA19399,..,91,91,119,12,131,49,3,54,41,0,41,20,0,25,11,0,11,246,106,353
LGA19499,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA19799,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
