LGA_CODE_2021,T_LPLFS_EPT_DC_0_4,T_LPLFS_EPT_DC_5_9,T_LPLFS_EPT_DC_10_12,T_LPLFS_EPT_DC_13_14,T_LPLFS_EPT_DC_15_17,T_LPLFS_EPT_DC_18_20,T_LPLFS_EPT_DC_21_24,T_LPLFS_EPT_Tot,T_LPLFS_EAW_DC_0_4,T_LPLFS_EAW_DC_5_9,T_LPLFS_EAW_DC_10_12,T_LPLFS_EAW_DC_13_14,T_LPLFS_EAW_DC_15_17,T_LPLFS_EAW_DC_18_20,T_LPLFS_EAW_DC_21_24,T_LPLFS_EAW_Tot,T_LPLFS_HNS_DC_0_4,T_LPLFS_HNS_DC_5_9,T_LPLFS_HNS_DC_10_12,T_LPLFS_HNS_DC_13_14,T_LPLFS_HNS_DC_15_17,T_LPLFS_HNS_DC_18_20,T_LPLFS_HNS_DC_21_24,T_LPLFS_HNS_Tot,T_LPLFS_EW_Tot_DC_0_4,T_LPLFS_EW_Tot_DC_5_9,T_LPLFS_EW_Tot_DC_10_12,T_LPLFS_EW_Tot_DC_13_14,T_LPLFS_EW_Tot_DC_15_17,T_LPLFS_EW_Tot_DC_18_20,T_LPLFS_EW_Tot_DC_21_24,T_LPLFS_EW_Tot_Tot,T_LPLFS_ULFTW_DC_0_4,T_LPLFS_ULFTW_DC_5_9,T_LPLFS_ULFTW_DC_10_12,T_LPLFS_ULFTW_DC_13_14,T_LPLFS_ULFTW_DC_15_17,T_LPLFS_ULFTW_DC_18_20,T_LPLFS_ULFTW_DC_21_24,T_LPLFS_ULFTW_Tot,T_LPLFS_ULPTW_DC_0_4,T_LPLFS_ULPTW_DC_5_9,T_LPLFS_ULPTW_DC_10_12,T_LPLFS_ULPTW_DC_13_14,T_LPLFS_ULPTW_DC_15_17,T_LPLFS_ULPTW_DC_18_20,T_LPLFS_ULPTW_DC_21_24,T_LPLFS_ULPTW_Tot,T_LPLFS_U_T_DC_0_4,T_LPLFS_U_T_DC_5_9,T_LPLFS_U_T_DC_10_12,T_LPLFS_U_T_DC_13_14,T_LPLFS_U_T_DC_15_17,T_LPLFS_U_T_DC_18_20,T_LPLFS_U_T_DC_21_24,T_LPLFS_U_T_Tot,T_LPLFS_T_LF_DC_0_4,T_LPLFS_T_LF_DC_5_9,T_LPLFS_T_LF_DC_10_12,T_LPLFS_T_LF_DC_13_14,T_LPLFS_T_LF_DC_15_17,T_LPLFS_T_LF_DC_18_20,T_LPLFS_T_LF_DC_21_24,T_LPLFS_T_LF_Tot,T_LPLFS_NLF_DC_0_4,T_LPLFS_NLF_DC_5_9,T_LPLFS_NLF_DC_10_12,T_LPLFS_NLF_DC_13_14,T_LPLFS_NLF_DC_15_17,T_LPLFS_NLF_DC_18_20,T_LPLFS_NLF_DC_21_24,T_LPLFS_NLF_Tot,T_LPLFS_LFSNS_DC_0_4,T_LPLFS_LFSNS_DC_5_9,T_LPLFS_LFSNS_DC_10_12,T_LPLFS_LFSNS_DC_13_14,T_LPLFS_LFSNS_DC_15_17,T_LPLFS_LFSNS_DC_18_20,T_LPLFS_LFSNS_DC_21_24,T_LPLFS_LFSNS_Tot,T_LPLFS_Tot_DC_0_4,T_LPLFS_Tot_DC_5_9,T_LPLFS_Tot_DC_10_12,T_LPLFS_Tot_DC_13_14,T_LPLFS_Tot_DC_15_17,T_LPLFS_Tot_DC_18_20,T_LPLFS_Tot_DC_21_24,T_LPLFS_Tot_Tot
LGA11600,6,12,7,4,6,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,23,6,6,3,0,0,57,0,4,0,0,0,0,0,10,0,3,0,0,0,0,0,7,0,3,6,0,0,0,0,11,11,29,11,7,3,0,0,66,16,9,5,5,0,0,0,31,0,0,0,0,0,0,0,0,30,36,10,11,8,0,0,97
LGA11650,704,1250,895,611,765,205,86,4514,262,334,198,146,154,49,15,1150,44,51,37,23,23,10,3,193,1390,2566,2049,1479,1943,616,280,10319,43,90,72,40,58,10,9,323,89,103,59,38,42,19,4,344,126,189,131,74,100,30,9,669,1524,2752,2180,1556,2041,646,291,10986,1731,1788,1010,717,666,150,77,6138,25,34,24,24,19,8,0,132,3285,4574,3214,2297,2725,804,363,17258
LGA11700,3,0,0,5,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,8,8,5,7,6,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,7,7,6,0,0,29,26,20,10,15,3,0,0,73,0,5,0,0,4,0,0,13,29,36,17,23,11,0,0,111
LGA11720,247,364,201,136,142,41,11,1140,62,88,49,22,22,3,0,243,24,21,10,9,0,0,0,60,443,696,414,296,318,85,26,2289,18,32,16,8,15,0,0,94,35,46,30,20,12,0,0,139,55,73,46,31,28,3,0,235,499,772,454,327,344,89,29,2523,537,487,278,166,174,24,10,1669,7,11,7,6,6,0,0,35,1044,1267,743,501,521,114,44,4225
LGA11730,132,222,173,116,105,13,3,760,22,23,25,8,18,4,0,95,10,8,4,0,0,0,0,20,230,393,330,214,235,30,8,1446,3,16,22,12,11,0,0,69,16,17,11,5,3,0,0,56,21,41,36,20,11,0,0,126,251,431,368,238,248,38,8,1570,324,325,179,128,123,13,5,1090,9,12,10,7,3,0,0,47,579,765,559,375,377,49,15,2712
LGA11750,9,11,7,4,0,0,0,30,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,9,18,36,17,9,12,0,0,92,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,16,36,17,9,11,0,0,101,19,25,10,0,6,0,0,66,0,0,0,0,0,0,0,3,35,65,33,21,20,0,0,170
LGA11800,213,354,252,172,164,41,12,1208,27,32,21,15,6,6,0,109,11,17,12,7,5,0,0,61,355,674,526,387,436,110,31,2517,12,17,20,22,15,3,0,90,23,37,26,10,18,0,0,119,37,57,48,35,34,3,0,211,390,727,579,422,472,110,29,2724,368,307,194,139,114,31,6,1159,9,13,4,3,6,0,0,40,769,1048,776,561,589,140,40,3922
LGA12000,12,18,13,0,9,0,0,62,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,19,34,31,19,24,10,0,123,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,3,0,0,0,0,0,4,19,31,28,19,24,10,0,128,19,19,18,3,9,0,0,70,0,0,0,0,0,0,0,0,38,52,44,28,26,5,0,197
LGA12150,14,13,6,7,3,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,37,18,21,11,3,0,103,0,0,0,4,4,0,0,5,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,8,16,38,18,22,14,3,0,110,64,56,23,14,7,0,0,167,0,0,0,0,0,0,0,3,78,92,39,39,23,4,0,278
LGA12160,22,43,36,22,26,4,0,155,0,0,0,5,5,0,0,7,0,0,0,4,0,0,0,4,32,60,55,45,57,3,0,254,0,4,3,4,3,0,0,15,3,5,3,0,0,0,0,22,6,9,11,4,9,0,0,32,38,74,57,47,62,3,0,288,64,68,28,23,27,5,0,217,0,0,3,0,0,0,0,8,111,142,88,72,91,6,0,514
LGA12350,28,67,29,28,15,6,0,184,6,5,5,0,0,0,0,13,0,0,0,0,0,0,0,5,60,116,67,64,50,15,0,364,3,8,7,3,4,0,0,23,8,10,0,0,0,0,0,22,10,22,7,3,6,0,0,43,71,135,69,66,53,15,0,409,92,77,30,21,25,0,0,243,0,4,3,0,0,0,0,11,171,214,107,92,74,15,0,667
LGA12380,158,308,229,162,203,124,75,1262,63,91,67,46,80,40,23,408,19,16,19,9,11,16,8,104,419,783,553,454,639,390,234,3481,20,34,39,31,48,29,11,221,32,38,29,24,23,7,11,175,60,78,74,50,75,42,31,393,474,859,624,501,716,427,267,3876,1070,1172,677,451,629,347,216,4558,36,24,20,14,10,4,0,108,1579,2058,1324,968,1351,781,481,8542
LGA12390,173,224,143,91,83,15,3,732,26,16,9,0,4,3,0,63,13,22,17,11,9,0,0,77,331,525,380,243,261,53,11,1803,12,16,13,8,6,0,0,65,21,28,12,7,3,0,0,73,30,45,25,18,10,0,0,132,367,566,407,262,271,47,13,1934,345,309,153,112,82,10,0,1014,7,14,9,5,0,0,0,46,716,902,568,384,354,62,17,2996
LGA12700,11,15,22,19,14,3,0,78,5,4,0,0,0,0,0,10,0,0,0,0,0,0,0,8,20,35,41,38,31,6,4,179,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,5,7,0,0,0,0,0,0,11,22,43,42,36,39,6,4,190,28,34,14,15,11,0,0,110,0,7,0,0,0,0,0,3,55,79,60,55,50,6,4,309
LGA12730,15,33,13,17,7,3,0,87,3,4,3,0,0,0,0,15,0,5,0,0,0,0,0,8,33,62,40,34,42,10,3,217,0,6,3,0,0,0,0,3,0,4,0,0,0,0,0,8,0,6,3,0,0,0,0,11,29,73,41,37,38,10,3,233,17,23,17,10,9,0,0,67,0,0,0,0,0,0,0,0,51,96,61,45,46,10,3,302
LGA12750,87,151,129,99,85,5,3,559,12,13,17,16,12,0,0,74,4,3,5,5,4,0,0,20,139,270,261,193,201,34,3,1105,0,10,11,4,3,4,0,31,8,7,3,0,3,0,0,27,8,13,12,7,7,4,0,55,148,285,270,201,205,35,4,1160,182,140,81,63,57,11,4,543,6,6,5,3,0,0,0,29,338,437,358,269,268,49,10,1732
LGA12850,187,319,290,216,331,187,99,1630,111,132,87,79,118,92,48,669,17,29,25,7,17,23,7,128,463,830,673,567,858,521,278,4192,26,52,30,24,43,33,17,231,31,81,48,45,47,23,14,292,56,130,82,66,93,57,37,518,523,961,753,629,955,581,307,4710,1193,1558,990,720,948,579,325,6328,33,37,27,13,21,11,6,144,1746,2560,1776,1370,1920,1163,639,11176
LGA12870,31,31,18,13,17,3,0,116,7,3,0,4,0,0,0,15,0,4,0,0,0,0,0,3,48,68,58,38,53,18,5,288,0,0,0,0,0,0,0,3,4,8,5,0,5,0,0,23,4,8,10,0,5,0,0,26,49,76,61,40,57,22,5,314,47,39,21,22,13,6,3,152,0,0,0,0,0,0,0,5,97,115,89,63,70,24,3,463
LGA12900,20,35,17,19,21,3,0,109,3,4,4,0,3,0,0,17,0,0,0,0,0,0,0,4,40,72,39,48,51,10,0,259,0,5,0,0,0,0,0,8,4,12,0,0,0,0,0,20,4,21,0,3,8,0,0,33,42,91,44,52,52,10,0,288,67,64,27,18,11,0,0,187,3,0,0,0,0,0,0,3,111,161,72,69,67,9,0,486
LGA12930,104,250,166,136,207,123,88,1074,51,66,42,27,53,52,37,327,15,18,7,6,5,6,0,59,278,602,436,365,541,368,255,2841,10,18,12,14,17,6,6,90,11,14,13,19,22,16,6,106,22,36,25,30,41,24,12,195,298,634,458,400,582,398,268,3032,307,381,261,165,232,168,93,1622,10,11,12,10,4,5,3,47,617,1033,727,573,818,568,366,4695
LGA12950,6,23,19,11,6,0,0,61,5,6,3,0,0,0,0,12,0,4,0,0,0,0,0,3,18,38,37,20,15,4,0,130,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,3,0,4,3,0,0,0,0,10,22,37,37,20,19,4,0,136,42,25,15,8,11,0,0,109,0,0,0,0,0,0,0,4,65,68,47,30,30,3,0,247
LGA13010,18,43,26,8,12,0,0,109,3,3,0,0,0,0,0,10,0,4,0,0,0,0,0,9,32,63,49,25,33,0,0,208,0,3,4,0,4,0,0,17,4,4,0,4,5,0,0,11,5,9,4,6,5,0,0,27,36,76,53,32,37,0,0,234,65,53,23,16,13,4,0,176,3,0,0,0,0,0,0,5,102,129,74,43,56,8,0,418
LGA13310,69,151,87,58,45,16,0,424,9,8,9,5,0,0,0,36,12,9,6,0,0,0,0,31,144,269,196,124,137,33,14,920,0,12,3,4,6,0,0,22,13,13,9,6,3,0,0,52,11,23,12,10,13,0,0,73,156,297,204,141,150,33,14,993,148,155,98,48,44,5,0,500,0,0,4,3,0,3,0,12,306,453,309,191,198,38,10,1506
LGA13340,21,33,37,23,26,3,0,139,5,11,6,4,0,0,0,17,7,0,0,0,0,0,0,7,38,76,63,43,44,10,0,279,0,4,3,0,0,0,0,10,3,7,0,0,3,0,0,7,0,7,4,0,4,0,0,14,43,78,70,41,51,10,0,298,34,30,22,8,27,5,0,126,0,0,0,0,0,0,0,4,77,109,87,58,82,13,4,425
LGA13450,55,98,69,41,56,8,3,335,6,6,3,0,3,0,0,18,6,11,9,0,3,0,0,27,101,201,150,101,135,27,15,720,0,7,0,0,5,0,0,13,6,7,6,3,0,0,0,29,8,14,5,7,7,0,0,46,114,212,160,109,135,27,15,761,136,109,47,24,20,8,0,346,4,3,7,0,0,0,0,19,256,326,208,132,159,33,11,1130
LGA13550,32,53,31,17,16,0,0,157,9,10,0,0,0,0,0,32,0,0,8,0,0,0,0,10,73,127,95,45,47,5,3,399,3,8,0,5,0,0,0,12,6,8,3,0,0,0,0,23,7,18,3,5,0,0,0,34,91,139,100,45,47,5,3,426,65,71,41,35,14,0,0,232,3,3,0,0,0,0,0,13,158,218,145,83,59,4,3,672
LGA13660,9,14,10,5,5,0,0,47,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,10,26,19,15,17,3,0,93,0,0,0,0,0,0,0,3,4,6,0,0,0,0,0,9,4,9,0,0,0,0,0,12,15,29,18,15,17,3,0,109,23,29,10,9,12,0,0,83,0,0,0,0,6,0,0,3,42,57,32,21,31,8,0,193
LGA13800,97,166,123,74,110,33,17,627,35,45,20,28,13,10,6,161,12,7,4,3,5,0,0,24,198,400,284,221,304,104,50,1562,0,12,8,4,10,4,0,38,12,18,4,7,9,0,0,53,14,32,13,10,14,3,0,94,212,434,299,237,318,105,50,1655,274,283,135,97,106,26,19,934,11,10,6,9,4,0,0,38,492,728,439,337,427,134,64,2627
LGA13850,10,9,10,6,0,0,0,36,0,0,5,0,0,0,0,4,0,0,0,0,0,0,0,3,19,10,18,11,13,0,0,67,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,16,18,11,9,0,0,74,4,8,4,7,5,0,0,26,0,0,0,0,0,0,0,11,22,24,21,15,14,3,0,110
LGA13910,36,72,53,47,39,8,0,262,9,9,8,0,6,0,0,25,0,0,3,0,3,0,0,10,81,132,98,82,96,17,0,501,0,10,6,3,4,0,0,32,3,14,9,0,5,0,0,27,3,21,9,9,10,0,0,55,81,150,114,87,104,23,0,561,100,118,67,30,29,0,0,349,8,4,5,0,0,0,0,18,189,275,187,121,135,25,0,927
LGA14000,100,240,211,140,217,127,74,1113,25,34,31,31,39,17,13,200,7,3,6,9,0,7,3,31,240,599,562,399,654,370,222,3047,0,16,17,11,17,11,8,70,7,10,6,11,5,6,8,51,7,26,27,12,25,8,15,124,247,626,587,413,672,386,236,3169,130,211,160,107,176,89,57,926,3,3,3,0,0,0,0,15,377,844,748,520,852,474,296,4109
LGA14100,5,15,15,17,21,14,3,86,0,5,0,5,0,0,0,8,0,5,0,0,0,0,0,5,15,39,37,39,59,29,15,239,0,3,5,3,0,0,0,12,0,0,0,0,4,0,0,12,5,3,3,3,3,3,0,21,16,45,42,47,68,36,15,261,9,17,12,9,13,11,11,84,0,0,0,0,0,0,0,0,31,61,54,54,85,47,25,350
