LGA_CODE_2021,M_Singapore_0_4,M_Singapore_5_14,M_Singapore_15_24,M_Singapore_25_44,M_Singapore_45_54,M_Singapore_55_64,M_Singapore_65_74,M_Singapore_75_84,M_Singapore_85ov,M_Singapore_Tot,M_South_Africa_0_4,M_South_Africa_5_14,M_South_Africa_15_24,M_South_Africa_25_44,M_South_Africa_45_54,M_South_Africa_55_64,M_South_Africa_65_74,M_South_Africa_75_84,M_South_Africa_85ov,M_South_Africa_Tot,M_Sri_Lanka_0_4,M_Sri_Lanka_5_14,M_Sri_Lanka_15_24,M_Sri_Lanka_25_44,M_Sri_Lanka_45_54,M_Sri_Lanka_55_64,M_Sri_Lanka_65_74,M_Sri_Lanka_75_84,M_Sri_Lanka_85ov,M_Sri_Lanka_Tot,M_Taiwan_0_4,M_Taiwan_5_14,M_Taiwan_15_24,M_Taiwan_25_44,M_Taiwan_45_54,M_Taiwan_55_64,M_Taiwan_65_74,M_Taiwan_75_84,M_Taiwan_85ov,M_Taiwan_Tot,M_Thailand_0_4,M_Thailand_5_14,M_Thailand_15_24,M_Thailand_25_44,M_Thailand_45_54,M_Thailand_55_64,M_Thailand_65_74,M_Thailand_75_84,M_Thailand_85ov,M_Thailand_Tot,M_Turkey_0_4,M_Turkey_5_14,M_Turkey_15_24,M_Turkey_25_44,M_Turkey_45_54,M_Turkey_55_64,M_Turkey_65_74,M_Turkey_75_84,M_Turkey_85ov,M_Turkey_Tot,M_USA_0_4,M_USA_5_14,M_USA_15_24,M_USA_25_44,M_USA_45_54,M_USA_55_64,M_USA_65_74,M_USA_75_84,M_USA_85ov,M_USA_Tot,M_Vietnam_0_4,M_Vietnam_5_14,M_Vietnam_15_24,M_Vietnam_25_44,M_Vietnam_45_54,M_Vietnam_55_64,M_Vietnam_65_74,M_Vietnam_75_84,M_Vietnam_85ov,M_Vietnam_Tot,M_Wales_0_4,M_Wales_5_14,M_Wales_15_24,M_Wales_25_44,M_Wales_45_54,M_Wales_55_64,M_Wales_65_74,M_Wales_75_84,M_Wales_85ov,M_Wales_Tot,M_Zimbabwe_0_4,M_Zimbabwe_5_14,M_Zimbabwe_15_24,M_Zimbabwe_25_44,M_Zimbabwe_45_54,M_Zimbabwe_55_64,M_Zimbabwe_65_74,M_Zimbabwe_75_84,M_Zimbabwe_85ov,M_Zimbabwe_Tot,M_Elsewhere_0_4,M_Elsewhere_5_14,M_Elsewhere_15_24,M_Elsewhere_25_44,M_Elsewhere_45_54,M_Elsewhere_55_64,M_Elsewhere_65_74,M_Elsewhere_75_84,M_Elsewhere_85ov,M_Elsewhere_Tot,M_COB_NS_0_4,M_COB_NS_5_14,M_COB_NS_15_24,M_COB_NS_25_44,M_COB_NS_45_54,M_COB_NS_55_64,M_COB_NS_65_74,M_COB_NS_75_84,M_COB_NS_85ov,M_COB_NS_Tot,M_Tot_0_4,M_Tot_5_14,M_Tot_15_24,M_Tot_25_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Afghanistan_0_4,F_Afghanistan_5_14,F_Afghanistan_15_24,F_Afghanistan_25_44,F_Afghanistan_45_54,F_Afghanistan_55_64,F_Afghanistan_65_74,F_Afghanistan_75_84,F_Afghanistan_85ov,F_Afghanistan_Tot,F_Australia_0_4,F_Australia_5_14,F_Australia_15_24,F_Australia_25_44,F_Australia_45_54,F_Australia_55_64,F_Australia_65_74,F_Australia_75_84,F_Australia_85ov,F_Australia_Tot,F_Bangladesh_0_4,F_Bangladesh_5_14,F_Bangladesh_15_24,F_Bangladesh_25_44,F_Bangladesh_45_54,F_Bangladesh_55_64,F_Bangladesh_65_74,F_Bangladesh_75_84,F_Bangladesh_85ov,F_Bangladesh_Tot,F_Bosnia_Herzegov_0_4,F_Bosnia_Herzegov_5_14,F_Bosnia_Herzegov_15_24,F_Bosnia_Herzegov_25_44,F_Bosnia_Herzegov_45_54,F_Bosnia_Herzegov_55_64,F_Bosnia_Herzegov_65_74,F_Bosnia_Herzegov_75_84,F_Bosnia_Herzegov_85ov,F_Bosnia_Herzegov_Tot,F_Brazil_0_4,F_Brazil_5_14,F_Brazil_15_24,F_Brazil_25_44,F_Brazil_45_54,F_Brazil_55_64,F_Brazil_65_74,F_Brazil_75_84,F_Brazil_85ov,F_Brazil_Tot,F_Cambodia_0_4,F_Cambodia_5_14,F_Cambodia_15_24,F_Cambodia_25_44,F_Cambodia_45_54,F_Cambodia_55_64,F_Cambodia_65_74,F_Cambodia_75_84,F_Cambodia_85ov,F_Cambodia_Tot,F_Canada_0_4,F_Canada_5_14,F_Canada_15_24,F_Canada_25_44,F_Canada_45_54,F_Canada_55_64,F_Canada_65_74,F_Canada_75_84,F_Canada_85ov,F_Canada_Tot
LGA10800,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,9,0,0,0,3,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,3,0,0,0,16,18,34,13,69,38,52,34,25,6,286,184,374,269,601,319,433,348,200,72,2790,0,0,0,0,0,0,0,0,0,0,158,322,240,496,270,303,276,175,91,2329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
LGA10850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,6,0,0,0,3,4,3,3,3,0,13,9,27,20,40,45,45,44,26,0,258,241,535,403,736,486,558,467,242,69,3721,0,0,0,0,0,0,0,0,0,0,201,499,345,742,450,451,337,181,73,3286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,7
LGA10900,0,4,4,10,14,4,4,0,0,44,0,5,5,32,42,24,27,16,0,154,0,0,0,8,5,13,3,6,0,38,0,0,3,8,0,0,0,0,0,12,0,6,6,16,15,0,3,0,0,51,0,0,0,0,3,3,4,0,0,15,3,13,16,55,40,45,47,24,0,245,0,7,14,35,10,0,0,0,0,74,0,0,0,0,20,13,21,11,0,69,0,0,0,5,3,8,0,0,0,16,7,12,16,129,152,134,160,106,33,748,66,131,115,268,163,157,166,122,65,1258,1978,4979,4311,8069,5261,5232,5014,2362,657,37865,0,0,0,3,0,0,0,0,0,3,1837,4463,3466,6981,4325,4323,3816,1880,665,31753,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,5,0,0,9,0,0,0,12,3,7,8,0,0,29,0,0,4,10,4,4,3,0,0,24,0,3,3,30,29,19,17,5,3,113
LGA10950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,8,21,19,15,20,16,19,0,117,78,157,165,266,165,172,120,94,31,1240,0,0,0,0,0,0,0,0,0,0,79,150,108,226,151,126,86,103,31,1058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA11150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,15,32,22,47,35,31,21,9,0,219,93,169,133,272,152,164,112,52,14,1164,0,0,0,0,0,0,0,0,0,0,67,122,112,229,116,118,75,38,20,892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA11200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,5,7,9,14,29,10,22,13,0,0,111,48,98,85,149,71,112,74,26,8,676,0,0,0,0,0,0,0,0,0,0,36,74,58,143,73,71,53,24,8,539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA11250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,10,0,0,0,6,5,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,3,0,4,0,10,9,3,8,10,0,45,42,82,110,180,95,86,91,49,38,768,486,1008,993,1971,1015,1244,1101,542,205,8565,0,0,0,0,0,0,0,0,0,0,449,892,779,1753,852,1175,962,589,273,7726,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
LGA11300,0,0,5,37,12,4,0,10,0,58,0,0,0,17,3,3,5,0,0,33,0,0,0,30,13,13,25,16,0,110,0,5,17,182,10,7,13,4,0,235,0,0,9,81,13,3,0,0,0,109,0,0,0,12,6,6,6,0,0,40,3,9,7,9,5,7,0,0,0,44,0,10,60,137,78,80,49,20,3,437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,24,45,204,74,82,74,67,33,610,24,56,165,395,89,83,68,69,79,1034,766,1583,3477,7036,2087,1987,1407,853,461,19657,0,0,0,0,0,0,0,0,0,0,709,1380,1389,1818,803,617,330,237,170,7458,0,0,5,20,0,0,0,0,0,32,0,0,0,0,0,0,3,4,0,15,0,4,5,33,0,0,0,0,0,45,0,0,4,19,7,6,10,3,4,45,0,0,0,4,5,0,0,5,0,16
LGA11350,0,3,0,0,0,6,3,0,0,14,0,3,6,25,30,21,23,9,0,111,0,0,0,8,0,0,6,0,0,15,0,4,0,5,0,5,0,0,0,10,0,4,0,6,3,0,0,0,0,21,0,0,0,5,0,0,0,0,0,6,5,12,7,54,30,28,53,17,0,214,0,0,0,6,3,3,0,0,0,11,0,0,0,4,3,0,6,0,0,19,0,0,0,3,5,3,6,0,0,19,3,19,28,315,102,67,58,23,0,625,90,193,156,545,245,248,233,82,27,1821,877,2052,1510,4671,2403,2472,2318,802,212,17313,0,0,0,0,0,0,0,0,0,0,741,1661,1272,3079,1825,1795,1479,564,251,12670,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,4,125,14,7,0,0,0,152,0,0,3,4,0,0,0,0,0,6,0,5,13,65,25,14,15,3,0,153
LGA11400,0,0,0,0,0,0,0,0,0,3,0,0,4,5,5,5,0,0,3,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,3,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,11,0,0,0,0,0,0,0,0,0,4,0,3,0,3,3,6,6,3,0,30,21,65,61,103,77,95,87,56,19,592,380,1054,787,1273,899,974,882,480,132,6851,0,0,0,0,0,0,0,0,0,0,350,903,643,1204,786,845,651,375,160,5918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,7
LGA11450,0,9,4,5,8,6,5,0,0,38,5,29,26,114,63,43,24,10,4,308,0,7,13,51,32,18,14,3,3,146,0,0,0,10,12,0,0,0,0,28,0,11,6,56,10,3,3,0,0,95,0,3,7,25,22,11,0,0,0,68,4,26,20,38,26,20,15,0,0,153,0,3,4,87,25,32,9,0,0,173,0,0,3,13,9,12,7,8,0,51,0,3,26,64,45,19,3,0,0,156,10,71,97,580,315,276,200,90,16,1664,134,290,182,574,199,138,123,75,19,1734,5771,9659,7253,18451,7123,4889,3412,1596,428,58587,0,0,10,48,11,5,4,0,0,82,5233,8443,6162,13288,4769,3273,2194,1080,502,44947,0,9,18,225,23,12,3,0,0,290,0,0,0,69,14,19,10,0,0,123,0,5,0,33,4,9,0,0,0,44,0,0,0,42,14,10,8,0,0,81,0,8,9,35,21,5,3,0,0,74
LGA11500,0,14,9,18,14,14,10,5,0,77,3,19,18,124,75,72,79,33,9,420,3,21,23,116,52,57,38,15,0,329,0,0,0,20,0,3,0,0,0,36,4,19,27,134,26,20,21,5,0,261,0,5,9,28,14,22,6,9,0,86,0,14,22,56,33,25,13,3,0,164,0,7,20,199,106,101,50,8,0,504,0,0,0,3,10,18,15,4,0,58,0,4,14,35,25,9,4,0,0,92,17,148,228,1035,646,648,487,278,48,3534,318,761,609,1377,572,425,303,245,70,4683,6665,13159,11409,25171,10029,9347,7037,3143,679,86646,0,0,22,70,23,17,9,4,0,159,5962,10504,8048,12823,4721,4812,3919,1589,619,53001,7,136,178,1759,398,203,57,0,3,2734,0,0,5,32,33,26,18,9,0,115,0,0,0,34,6,3,4,0,0,48,0,7,11,112,53,35,37,11,3,269,5,0,8,29,8,6,5,0,0,61
