SED_CODE_2016,M_15_19_yr_Married,M_15_19_yr_Separated,M_15_19_yr_Divorced,M_15_19_yr_Widowed,M_15_19_yr_Never_Married,M_15_19_yr_Tot,M_20_24_yr_Married,M_20_24_yr_Separated,M_20_24_yr_Divorced,M_20_24_yr_Widowed,M_20_24_yr_Never_Married,M_20_24_yr_Tot,M_25_34_yr_Married,M_25_34_yr_Separated,M_25_34_yr_Divorced,M_25_34_yr_Widowed,M_25_34_yr_Never_Married,M_25_34_yr_Tot,M_35_44_yr_Married,M_35_44_yr_Separated,M_35_44_yr_Divorced,M_35_44_yr_Widowed,M_35_44_yr_Never_Married,M_35_44_yr_Tot,M_45_54_yr_Married,M_45_54_yr_Separated,M_45_54_yr_Divorced,M_45_54_yr_Widowed,M_45_54_yr_Never_Married,M_45_54_yr_Tot,M_55_64_yr_Married,M_55_64_yr_Separated,M_55_64_yr_Divorced,M_55_64_yr_Widowed,M_55_64_yr_Never_Married,M_55_64_yr_Tot,M_65_74_yr_Married,M_65_74_yr_Separated,M_65_74_yr_Divorced,M_65_74_yr_Widowed,M_65_74_yr_Never_Married,M_65_74_yr_Tot,M_75_84_yr_Married,M_75_84_yr_Separated,M_75_84_yr_Divorced,M_75_84_yr_Widowed,M_75_84_yr_Never_Married,M_75_84_yr_Tot,M_85ov_Married,M_85ov_Separated,M_85ov_Divorced,M_85ov_Widowed,M_85ov_Never_Married,M_85ov_Tot,M_Tot_Married,M_Tot_Separated,M_Tot_Divorced,M_Tot_Widowed,M_Tot_Never_Married,M_Tot_Tot,F_15_19_yr_Married,F_15_19_yr_Separated,F_15_19_yr_Divorced,F_15_19_yr_Widowed,F_15_19_yr_Never_Married,F_15_19_yr_Tot,F_20_24_yr_Married,F_20_24_yr_Separated,F_20_24_yr_Divorced,F_20_24_yr_Widowed,F_20_24_yr_Never_Married,F_20_24_yr_Tot,F_25_34_yr_Married,F_25_34_yr_Separated,F_25_34_yr_Divorced,F_25_34_yr_Widowed,F_25_34_yr_Never_Married,F_25_34_yr_Tot,F_35_44_yr_Married,F_35_44_yr_Separated,F_35_44_yr_Divorced,F_35_44_yr_Widowed,F_35_44_yr_Never_Married,F_35_44_yr_Tot,F_45_54_yr_Married,F_45_54_yr_Separated,F_45_54_yr_Divorced,F_45_54_yr_Widowed,F_45_54_yr_Never_Married,F_45_54_yr_Tot,F_55_64_yr_Married,F_55_64_yr_Separated,F_55_64_yr_Divorced,F_55_64_yr_Widowed,F_55_64_yr_Never_Married,F_55_64_yr_Tot,F_65_74_yr_Married,F_65_74_yr_Separated,F_65_74_yr_Divorced,F_65_74_yr_Widowed,F_65_74_yr_Never_Married,F_65_74_yr_Tot,F_75_84_yr_Married,F_75_84_yr_Separated,F_75_84_yr_Divorced,F_75_84_yr_Widowed,F_75_84_yr_Never_Married,F_75_84_yr_Tot,F_85ov_Married,F_85ov_Separated,F_85ov_Divorced,F_85ov_Widowed,F_85ov_Never_Married,F_85ov_Tot,F_Tot_Married,F_Tot_Separated,F_Tot_Divorced,F_Tot_Widowed,F_Tot_Never_Married,F_Tot_Tot,P_15_19_yr_Married,P_15_19_yr_Separated,P_15_19_yr_Divorced,P_15_19_yr_Widowed,P_15_19_yr_Never_Married,P_15_19_yr_Tot,P_20_24_yr_Married,P_20_24_yr_Separated,P_20_24_yr_Divorced,P_20_24_yr_Widowed,P_20_24_yr_Never_Married,P_20_24_yr_Tot,P_25_34_yr_Married,P_25_34_yr_Separated,P_25_34_yr_Divorced,P_25_34_yr_Widowed,P_25_34_yr_Never_Married,P_25_34_yr_Tot,P_35_44_yr_Married,P_35_44_yr_Separated,P_35_44_yr_Divorced,P_35_44_yr_Widowed,P_35_44_yr_Never_Married,P_35_44_yr_Tot,P_45_54_yr_Married,P_45_54_yr_Separated,P_45_54_yr_Divorced,P_45_54_yr_Widowed,P_45_54_yr_Never_Married,P_45_54_yr_Tot,P_55_64_yr_Married,P_55_64_yr_Separated,P_55_64_yr_Divorced,P_55_64_yr_Widowed,P_55_64_yr_Never_Married,P_55_64_yr_Tot,P_65_74_yr_Married,P_65_74_yr_Separated,P_65_74_yr_Divorced,P_65_74_yr_Widowed,P_65_74_yr_Never_Married,P_65_74_yr_Tot,P_75_84_yr_Married,P_75_84_yr_Separated,P_75_84_yr_Divorced,P_75_84_yr_Widowed,P_75_84_yr_Never_Married,P_75_84_yr_Tot,P_85ov_Married,P_85ov_Separated,P_85ov_Divorced,P_85ov_Widowed,P_85ov_Never_Married,P_85ov_Tot,P_Tot_Married,P_Tot_Separated,P_Tot_Divorced,P_Tot_Widowed,P_Tot_Never_Married,P_Tot_Tot
SED10011,4,0,0,0,2247,2257,45,0,0,0,1673,1713,1187,32,64,5,1873,3162,2469,144,267,15,1354,4251,2924,219,515,34,1137,4829,3326,209,738,86,791,5150,2766,150,569,165,434,4081,1134,56,187,202,147,1717,252,8,30,188,38,513,14102,816,2368,703,9692,27676,7,0,0,0,2111,2115,84,3,4,3,1503,1601,1528,67,82,5,1702,3389,2781,210,420,15,1256,4686,3066,295,828,85,1062,5330,3323,271,1167,277,754,5793,2405,163,1035,607,394,4600,806,44,327,765,163,2108,141,10,78,743,56,1027,14136,1061,3942,2508,9004,30648,13,0,0,3,4358,4374,131,3,4,3,3174,3319,2713,100,149,15,3579,6555,5252,354,688,35,2608,8936,5991,512,1342,117,2197,10154,6648,485,1903,364,1543,10944,5164,308,1599,771,826,8679,1941,98,513,966,307,3827,392,19,112,931,90,1545,28238,1877,6305,3210,18692,58322
SED10012,13,0,4,0,3077,3101,210,10,6,3,3147,3374,1837,129,208,5,3243,5418,2641,226,488,13,1249,4618,3749,286,710,35,848,5632,3594,223,703,70,460,5043,2246,139,322,123,182,3011,1046,44,128,181,48,1447,349,15,17,172,19,571,15683,1077,2573,602,12273,32215,57,3,3,4,2901,2961,459,34,27,8,2642,3164,2594,252,376,28,2506,5763,3167,324,767,46,1068,5380,3549,353,1075,168,731,5867,3329,292,954,459,462,5493,1677,109,351,677,168,2980,691,40,101,873,60,1771,137,8,35,623,29,837,15655,1415,3684,2890,10564,34212,64,0,5,6,5978,6059,666,41,34,8,5787,6538,4433,381,583,37,5746,11177,5808,555,1246,61,2320,9992,7301,638,1785,195,1580,11501,6924,511,1657,526,918,10540,3923,251,674,796,353,5994,1736,83,225,1060,113,3219,487,27,55,795,47,1407,31343,2497,6262,3485,22844,66428
SED10013,7,0,0,0,3012,3020,94,3,8,0,2699,2799,3083,113,85,9,2941,6225,4754,252,355,9,1132,6496,4078,254,552,29,626,5541,3131,165,475,84,246,4106,2295,95,281,114,102,2887,941,40,80,147,34,1240,224,4,20,150,16,416,18615,928,1846,541,10805,32738,8,0,0,0,2987,3002,211,15,3,0,2514,2755,3964,178,146,10,2473,6766,4853,337,586,49,971,6802,3902,326,844,111,511,5690,3030,202,678,277,218,4415,1925,91,455,482,76,3023,663,26,108,645,26,1467,114,8,24,627,17,791,18664,1185,2843,2212,9801,34706,16,0,0,0,6003,6021,309,21,7,0,5215,5555,7045,286,229,17,5413,12993,9611,587,936,61,2099,13296,7981,582,1391,142,1137,11231,6166,365,1160,366,470,8518,4216,189,737,593,182,5909,1597,64,191,789,67,2704,333,13,39,781,29,1199,37285,2107,4689,2751,20603,67436
SED10014,6,3,3,4,2847,2858,109,15,0,4,2832,2957,1970,126,114,4,3310,5526,2647,264,332,20,1635,4896,2719,292,563,44,908,4518,2932,279,618,89,397,4313,2292,174,382,173,177,3197,868,40,114,176,39,1242,151,7,14,99,12,285,13707,1188,2143,610,12155,29798,11,0,0,0,2683,2700,245,26,10,6,2773,3056,2524,251,181,15,3006,5971,2786,381,496,39,1585,5284,2754,409,814,126,845,4954,2808,294,984,348,338,4782,1933,166,595,645,126,3458,524,38,158,673,30,1420,88,3,26,392,10,518,13679,1567,3264,2235,11394,32143,12,5,3,0,5534,5553,353,37,14,7,5599,6013,4499,377,290,20,6311,11495,5441,643,826,54,3223,10183,5471,696,1376,167,1752,9468,5743,575,1604,440,731,9092,4227,332,985,813,299,6662,1394,72,273,849,72,2659,238,12,35,490,24,799,27390,2752,5401,2844,23545,61936
SED10015,12,0,0,0,2591,2606,184,7,0,0,2866,3054,3229,107,128,5,3689,7153,4089,207,346,8,1575,6222,3817,230,647,25,1142,5866,2973,202,654,63,593,4482,2278,144,369,113,315,3214,1676,62,120,209,103,2165,517,15,22,198,31,789,18771,976,2282,622,12904,35552,23,0,3,3,2451,2481,485,19,13,5,2429,2942,3903,176,218,11,2844,7153,4123,294,581,32,1296,6330,3803,364,1023,107,926,6219,2882,253,875,342,527,4887,2051,125,429,660,233,3500,1151,45,131,1076,87,2490,202,6,42,783,40,1067,18607,1277,3308,3025,10840,37063,37,4,3,4,5042,5087,665,20,14,6,5294,5997,7130,278,345,16,6534,14304,8212,510,923,42,2872,12550,7614,598,1670,130,2068,12091,5857,456,1528,406,1124,9366,4330,266,800,769,552,6720,2827,109,246,1290,187,4656,722,20,61,980,69,1857,37378,2254,5593,3652,23737,72622
SED10016,10,0,0,0,3103,3113,35,0,0,0,2583,2617,1645,30,38,0,2222,3935,4666,122,190,7,694,5675,4869,136,362,31,341,5734,3879,114,287,41,141,4458,2647,75,201,102,59,3082,1086,21,47,123,14,1292,247,7,10,94,3,363,19079,507,1126,394,9164,30272,11,0,0,3,2978,2992,79,0,3,0,2224,2309,2292,61,86,0,1697,4135,5301,206,360,25,563,6459,4855,215,610,80,291,6049,3626,138,538,184,164,4660,2291,59,344,507,85,3280,740,25,71,519,20,1375,117,4,34,447,8,614,19308,707,2041,1775,8033,31869,22,0,0,3,6085,6107,111,4,6,5,4806,4928,3939,90,120,0,3919,8068,9965,332,552,33,1260,12129,9721,342,973,110,636,11783,7506,256,822,227,307,9120,4941,137,542,604,139,6357,1824,51,120,641,36,2668,371,6,44,545,13,974,38389,1216,3172,2166,17199,62144
SED10017,8,5,0,0,2411,2425,95,3,3,0,2253,2355,1799,131,85,5,2925,4952,2736,275,338,19,1636,5004,2672,316,673,35,1084,4779,3031,250,748,95,536,4664,2536,150,504,214,212,3615,1017,38,137,250,76,1517,226,12,30,187,23,479,14123,1174,2529,808,11150,29786,5,7,0,0,2320,2332,140,10,4,0,2104,2261,2279,220,145,10,2559,5208,2810,338,462,34,1252,4902,2743,325,864,109,760,4806,2954,234,956,318,337,4805,2175,98,617,637,133,3665,724,24,160,863,43,1812,118,3,37,762,26,944,13949,1265,3244,2741,9535,30733,17,9,0,3,4729,4755,235,20,9,0,4354,4620,4082,349,229,12,5487,10161,5550,613,802,55,2883,9901,5420,643,1535,146,1842,9584,5986,482,1707,418,875,9470,4714,249,1124,849,344,7282,1740,65,299,1111,117,3329,338,13,71,947,44,1424,28075,2440,5774,3546,20684,60520
SED10018,4,0,3,0,2301,2304,34,3,3,3,2022,2066,1426,55,58,3,2552,4089,2866,152,259,15,1189,4477,2940,222,558,20,955,4692,2794,158,631,78,499,4162,2425,98,391,158,194,3268,1510,38,161,248,48,1999,429,0,29,278,9,752,14419,729,2091,808,9766,27814,0,0,0,0,2051,2057,83,4,4,0,1916,2010,1918,85,100,15,2210,4327,3005,265,395,30,1152,4851,3026,293,774,85,760,4934,2718,192,941,269,398,4525,2290,110,702,597,155,3846,1165,28,246,1041,60,2544,231,9,43,972,31,1281,14441,989,3198,2999,8737,30361,4,0,3,0,4350,4362,112,10,9,5,3939,4073,3339,137,160,18,4765,8417,5871,416,653,45,2344,9330,5968,509,1327,104,1710,9629,5513,354,1571,350,897,8684,4717,212,1094,756,352,7119,2678,67,413,1290,100,4546,660,7,74,1245,36,2032,28861,1716,5292,3811,18500,58181
SED10019,0,0,0,0,2316,2316,62,3,0,0,1568,1642,913,61,63,9,2000,3039,1790,164,239,13,1445,3658,2408,303,654,48,1300,4712,3263,315,1083,119,972,5755,3419,260,869,270,377,5189,1814,83,301,361,159,2719,468,23,40,270,47,849,14137,1205,3252,1091,10185,29876,11,0,0,0,2144,2153,102,20,0,0,1395,1525,1172,112,94,6,1723,3101,2012,293,391,34,1242,3969,2661,304,916,124,933,4936,3489,336,1147,395,533,5896,3081,165,752,818,205,5024,1308,54,241,1265,88,2947,235,10,61,1049,54,1407,14071,1290,3605,3681,8305,30949,11,0,0,0,4458,4467,173,21,3,0,2968,3165,2083,172,153,8,3717,6139,3804,455,633,46,2691,7623,5068,607,1574,174,2229,9647,6753,651,2223,515,1507,11650,6498,422,1626,1085,582,10215,3124,135,541,1622,242,5664,707,30,103,1321,97,2258,28210,2500,6855,4777,18496,60827
SED10020,10,0,4,0,2213,2224,66,8,0,0,1810,1888,1248,79,81,3,2292,3701,2180,197,241,14,1262,3895,2547,267,594,29,1031,4461,3068,311,992,95,759,5220,2860,186,705,193,245,4187,1511,54,263,280,80,2188,450,21,35,266,26,786,13930,1125,2902,884,9713,28551,15,0,0,0,2093,2109,122,18,7,0,1657,1806,1653,155,89,14,2047,3953,2343,259,442,56,1222,4326,2779,385,954,159,889,5167,3150,322,1174,291,533,5473,2496,169,853,656,158,4328,1201,43,314,993,47,2601,215,5,69,975,27,1284,13958,1359,3913,3146,8672,31045,20,0,6,0,4304,4331,191,23,10,3,3471,3688,2897,234,168,15,4335,7649,4526,458,686,68,2483,8219,5323,648,1547,194,1916,9633,6218,637,2163,388,1290,10689,5353,352,1561,848,410,8512,2709,101,582,1275,128,4793,663,22,99,1241,48,2070,27894,2481,6815,4026,18379,59595
SED10021,5,0,0,0,1651,1658,23,0,0,4,2458,2487,1761,40,84,5,6553,8447,3846,155,328,10,2641,6985,3020,193,510,21,1455,5209,1994,158,539,40,872,3603,1492,101,406,80,467,2552,877,54,149,140,213,1427,320,11,38,214,110,688,13345,704,2058,521,16421,33056,10,0,0,4,1586,1601,56,0,5,0,2749,2803,2344,89,168,9,7091,9701,4001,194,471,18,2730,7412,2904,237,705,81,1502,5427,1906,183,783,179,802,3856,1317,112,667,408,402,2900,643,31,246,704,188,1809,175,10,103,908,119,1317,13347,859,3154,2301,17172,36833,12,0,0,5,3240,3263,79,0,5,3,5206,5288,4101,130,254,18,13647,18145,7849,344,797,33,5370,14396,5927,427,1219,100,2960,10641,3902,339,1330,215,1676,7456,2811,212,1077,489,867,5451,1517,85,394,843,406,3235,489,18,141,1121,233,2009,26683,1564,5217,2821,33598,69886
