SED_CODE_2016,Ireland_2011,Ireland_2012,Ireland_2013,Ireland_2014,Ireland_2015,Ireland_2016,Ireland_Yr_arrival_NS,Ireland_Tot,Italy_Before_1946,Italy_1946_1955,Italy_1956_1965,Italy_1966_1975,Italy_1976_1985,Italy_1986_1995,Italy_1996_2005,Italy_2006_2010,Italy_2011,Italy_2012,Italy_2013,Italy_2014,Italy_2015,Italy_2016,Italy_Yr_arrival_NS,Italy_Tot,Japan_Before_1946,Japan_1946_1955,Japan_1956_1965,Japan_1966_1975,Japan_1976_1985,Japan_1986_1995,Japan_1996_2005,Japan_2006_2010,Japan_2011,Japan_2012,Japan_2013,Japan_2014,Japan_2015,Japan_2016,Japan_Yr_arrival_NS,Japan_Tot,Korea_Rep_Sth_Before_1946,Korea_Rep_Sth_1946_1955,Korea_Rep_Sth_1956_1965,Korea_Rep_Sth_1966_1975,Korea_Rep_Sth_1976_1985,Korea_Rep_Sth_1986_1995,Korea_Rep_Sth_1996_2005,Korea_Rep_Sth_2006_2010,Korea_Republic_South_2011,Korea_Republic_South_2012,Korea_Republic_South_2013,Korea_Republic_South_2014,Korea_Republic_South_2015,Korea_Republic_South_2016,Korea_Repub_Sth_arrival_ns,Korea_Republic_South_Tot,Lebanon_Before_1946,Lebanon_1946_1955,Lebanon_1956_1965,Lebanon_1966_1975,Lebanon_1976_1985,Lebanon_1986_1995,Lebanon_1996_2005,Lebanon_2006_2010,Lebanon_2011,Lebanon_2012,Lebanon_2013,Lebanon_2014,Lebanon_2015,Lebanon_2016,Lebanon_Yr_arrival_NS,Lebanon_Tot,Malaysia_Before_1946,Malaysia_1946_1955,Malaysia_1956_1965,Malaysia_1966_1975,Malaysia_1976_1985,Malaysia_1986_1995,Malaysia_1996_2005,Malaysia_2006_2010,Malaysia_2011,Malaysia_2012,Malaysia_2013,Malaysia_2014,Malaysia_2015,Malaysia_2016,Malaysia_Yr_arrival_ns,Malaysia_Tot,Malta_Before_1946,Malta_1946_1955,Malta_1956_1965,Malta_1966_1975,Malta_1976_1985,Malta_1986_1995,Malta_1996_2005,Malta_2006_2010,Malta_2011,Malta_2012,Malta_2013,Malta_2014,Malta_2015,Malta_2016,Malta_Yr_arrival_NS,Malta_Tot,Netherlands_Before_1946,Netherlands_1946_1955,Netherlands_1956_1965,Netherlands_1966_1975,Netherlands_1976_1985,Netherlands_1986_1995,Netherlands_1996_2005,Netherlands_2006_2010,Netherlands_2011,Netherlands_2012,Netherlands_2013,Netherlands_2014,Netherlands_2015,Netherlands_2016,Netherlands_Yr_arrival_ns,Netherlands_Tot,New_Zealand_Before_1946,New_Zealand_1946_1955,New_Zealand_1956_1965,New_Zealand_1966_1975,New_Zealand_1976_1985,New_Zealand_1986_1995,New_Zealand_1996_2005,New_Zealand_2006_2010,New_Zealand_2011,New_Zealand_2012,New_Zealand_2013,New_Zealand_2014,New_Zealand_2015,New_Zealand_2016,New_Zealand_Yr_arrival_ns,New_Zealand_Tot,Pakistan_Before_1946,Pakistan_1946_1955,Pakistan_1956_1965,Pakistan_1966_1975,Pakistan_1976_1985,Pakistan_1986_1995,Pakistan_1996_2005,Pakistan_2006_2010,Pakistan_2011,Pakistan_2012,Pakistan_2013,Pakistan_2014,Pakistan_2015,Pakistan_2016,Pakistan_Yr_arrival_NS,Pakistan_Tot,Philippines_Before_1946,Philippines_1946_1955,Philippines_1956_1965,Philippines_1966_1975,Philippines_1976_1985,Philippines_1986_1995,Philippines_1996_2005,Philippines_2006_2010,Philippines_2011,Philippines_2012,Philippines_2013,Philippines_2014,Philippines_2015,Philippines_2016,Philippines_Yr_arrival_ns,Philippines_Tot,Poland_Before_1946,Poland_1946_1955,Poland_1956_1965,Poland_1966_1975,Poland_1976_1985,Poland_1986_1995,Poland_1996_2005,Poland_2006_2010,Poland_2011,Poland_2012,Poland_2013,Poland_2014,Poland_2015,Poland_2016,Poland_Yr_arrival_NS,Poland_Tot,Singapore_Before_1946,Singapore_1946_1955,Singapore_1956_1965,Singapore_1966_1975,Singapore_1976_1985,Singapore_1986_1995,Singapore_1996_2005,Singapore_2006_2010,Singapore_2011,Singapore_2012,Singapore_2013,Singapore_2014,Singapore_2015,Singapore_2016,Singapore_Yr_arrival_ns,Singapore_Tot
SED10011,0,3,3,0,0,0,13,265,0,34,52,40,6,5,0,3,0,0,0,0,0,0,10,164,0,0,4,9,10,26,22,17,0,0,0,6,0,0,7,100,0,0,0,0,12,15,18,14,0,5,0,0,13,9,5,93,0,0,4,12,6,9,10,3,0,0,4,0,0,0,0,46,0,0,6,28,25,33,14,7,3,3,0,0,4,8,4,143,0,25,23,18,6,3,3,0,0,0,0,0,0,0,0,75,0,110,93,39,38,14,18,7,8,3,0,3,0,0,3,333,7,13,48,156,299,226,185,57,12,12,0,4,10,0,38,1068,0,0,0,8,3,3,3,0,0,0,0,0,0,0,3,24,0,0,0,12,35,72,35,40,0,4,7,19,7,9,3,253,0,8,10,22,60,42,19,3,0,0,0,0,0,0,3,173,0,0,3,9,8,5,14,3,0,0,0,0,3,5,0,60
SED10012,0,0,0,0,0,0,0,46,4,202,388,324,66,23,15,3,6,0,3,4,3,6,39,1083,0,3,0,0,3,4,10,4,0,0,3,0,0,0,0,27,0,0,0,0,0,6,5,4,0,3,0,0,3,0,3,30,0,9,11,154,166,123,87,44,4,8,3,3,7,3,21,632,0,0,3,4,43,73,43,34,10,14,11,8,14,6,22,287,0,53,82,28,15,3,3,0,0,0,0,0,0,0,4,182,0,16,16,7,0,0,3,0,0,0,0,0,5,0,0,45,0,0,5,15,71,179,347,191,55,93,70,63,72,10,61,1226,0,0,0,3,12,6,11,18,3,13,4,6,12,6,4,96,0,0,0,21,188,309,149,91,14,29,31,11,20,7,27,893,0,24,11,10,80,48,16,5,0,0,0,0,3,0,14,214,0,0,0,0,16,13,8,4,0,0,0,0,0,0,3,49
SED10013,29,23,5,12,6,8,4,293,8,221,357,247,39,14,13,3,0,4,6,3,6,5,60,986,0,0,0,0,0,3,7,0,3,0,0,0,0,0,3,21,0,0,0,0,3,5,17,9,9,0,0,0,0,3,0,58,0,0,21,96,89,106,79,17,3,4,3,12,4,0,24,458,0,3,6,4,27,35,16,10,3,0,0,0,6,3,4,128,0,132,162,75,44,23,0,6,5,0,0,0,0,0,31,486,0,51,53,23,19,11,7,0,0,0,0,0,0,0,9,169,7,5,23,71,219,242,280,103,30,26,35,33,27,8,40,1143,0,0,0,4,7,31,52,33,3,6,3,6,3,7,0,156,0,0,4,17,68,209,105,62,10,21,11,25,22,6,24,577,0,7,9,9,51,44,19,9,0,0,0,0,0,0,4,160,0,0,0,8,6,5,13,7,0,0,0,6,0,0,0,63
SED10014,3,6,3,0,0,6,5,169,0,33,62,83,17,6,0,3,0,0,0,3,0,0,10,215,0,4,3,0,0,10,13,0,0,3,0,0,0,0,0,35,0,0,0,0,0,19,14,12,0,3,0,0,3,3,8,67,0,3,16,134,86,123,67,42,3,7,6,3,3,10,16,525,0,0,7,26,30,55,30,25,6,6,3,3,15,4,9,219,0,48,42,28,3,8,0,3,0,0,0,0,0,0,5,141,3,36,52,9,14,0,7,4,0,0,0,0,0,0,10,135,3,3,17,83,246,384,602,242,87,68,97,44,42,35,110,2070,0,0,0,3,9,44,113,83,15,22,16,22,27,10,13,378,0,0,0,34,172,651,394,180,32,28,39,51,38,19,37,1670,0,8,8,4,113,55,18,16,0,0,0,6,0,0,4,233,0,0,0,5,6,14,8,6,0,3,3,0,3,3,0,54
SED10015,10,12,4,7,7,0,5,179,3,245,592,418,56,26,27,21,6,9,10,19,10,3,56,1492,0,0,0,3,8,22,49,24,7,5,4,4,11,3,9,154,3,0,0,30,228,382,492,228,30,48,33,38,54,20,55,1630,0,61,240,957,541,460,231,100,11,14,18,19,7,6,90,2767,0,0,9,26,83,124,108,76,25,48,67,80,101,52,84,883,0,36,56,17,0,0,0,0,0,0,0,0,0,0,7,115,0,5,12,9,0,4,4,4,0,0,0,0,0,0,0,37,0,3,11,46,152,207,320,133,29,26,36,27,18,12,55,1075,0,0,0,3,16,37,73,107,26,46,42,49,68,36,13,511,0,0,0,23,158,417,301,251,60,67,68,62,64,47,68,1563,0,9,10,3,26,8,12,18,5,0,6,0,0,0,5,101,0,0,3,8,19,29,32,22,4,0,3,8,4,3,3,131
SED10016,19,16,19,6,10,11,0,302,11,159,202,123,26,10,21,10,0,4,3,3,3,3,44,619,0,3,0,3,11,13,34,5,0,3,13,0,0,3,0,80,0,0,0,3,40,250,358,309,55,39,32,15,13,20,20,1153,0,7,38,122,61,80,41,5,3,0,3,0,0,0,6,369,4,0,15,55,139,210,139,98,20,13,18,19,13,0,10,771,0,89,99,40,23,5,3,3,0,0,3,0,0,0,13,275,0,42,42,20,9,15,17,20,0,3,0,0,6,0,3,171,3,0,31,101,210,202,336,154,14,35,28,28,20,14,30,1202,0,0,0,18,43,73,132,61,10,7,9,9,16,14,3,391,0,0,9,66,263,592,277,179,21,22,25,28,20,11,21,1540,0,11,8,15,69,60,19,5,0,0,3,0,0,0,10,212,0,0,5,22,39,52,64,64,3,9,6,9,3,3,8,299
SED10017,9,12,0,0,0,0,4,82,0,11,16,16,3,0,0,0,0,0,0,0,0,3,3,59,0,0,0,5,4,0,3,0,0,0,0,0,0,0,0,17,0,0,0,0,4,7,14,10,3,0,0,3,3,0,3,44,0,0,0,3,5,0,0,0,0,0,0,0,0,0,9,21,0,0,4,10,12,12,3,12,0,0,0,0,0,0,7,65,0,15,12,3,0,0,0,0,0,0,0,0,0,0,3,34,0,59,31,9,15,3,9,3,3,0,0,0,0,0,0,134,3,3,16,88,144,130,95,84,20,8,3,9,5,0,50,666,0,0,0,0,0,0,3,25,5,9,3,0,3,0,0,59,0,0,0,0,31,72,42,32,16,26,11,14,3,3,13,256,0,9,5,0,3,3,0,5,0,0,0,0,0,0,3,36,0,0,0,3,0,3,5,3,0,0,0,0,0,0,0,14
SED10018,11,10,3,0,3,0,3,129,3,54,116,42,7,3,4,12,0,0,3,0,0,0,19,252,0,0,0,5,7,6,14,7,0,3,0,5,0,6,0,50,0,0,0,3,7,12,29,26,0,3,10,4,4,3,3,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,9,26,38,20,11,16,0,5,4,6,3,0,3,141,0,9,12,3,0,0,0,0,0,0,0,0,0,0,0,22,0,67,28,7,4,0,11,3,0,0,8,0,0,0,0,136,0,13,17,87,151,110,157,76,21,17,4,17,0,11,33,709,0,0,0,0,3,0,5,5,0,0,4,0,0,3,0,24,0,0,0,3,30,62,19,37,14,10,9,15,18,9,13,230,0,23,11,4,20,8,5,3,0,0,0,0,0,0,12,89,0,0,5,12,3,3,8,3,0,0,0,0,0,0,0,32
SED10019,3,3,0,0,0,0,4,74,0,22,19,8,0,0,5,0,0,0,0,0,0,0,7,56,0,7,0,0,0,0,8,5,0,3,0,0,0,0,0,23,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,9,10,0,3,0,4,0,0,0,0,0,5,0,45,0,8,14,3,0,0,0,0,0,0,0,0,0,0,5,36,0,86,53,25,17,7,3,8,0,0,0,0,0,0,8,213,7,13,27,141,228,143,90,39,4,12,3,9,5,3,57,777,0,0,0,0,0,0,0,7,0,0,3,0,0,3,0,12,0,0,0,4,23,56,45,59,14,15,6,12,6,8,12,263,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,10,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,14
SED10020,12,12,0,0,0,0,3,158,0,45,43,14,0,3,0,8,0,0,0,0,0,0,12,134,0,0,0,3,0,9,11,13,8,8,0,3,6,0,6,67,0,0,0,0,0,7,13,3,0,3,0,3,10,7,9,59,0,3,3,3,0,0,0,0,0,0,0,0,0,3,0,19,0,5,3,14,11,10,3,13,0,4,5,9,15,7,8,121,0,21,17,0,0,0,0,0,0,0,0,0,0,0,3,45,0,90,65,35,23,3,12,6,0,0,0,0,0,0,12,240,3,6,51,152,268,171,169,94,16,25,16,6,14,10,38,1037,0,0,0,0,0,5,0,3,0,3,7,18,9,8,0,65,0,0,0,3,31,55,54,44,20,11,14,20,18,5,19,302,0,3,14,9,17,10,5,3,0,0,0,0,3,0,0,64,0,0,0,0,3,0,0,3,0,3,3,0,0,0,3,26
SED10021,260,249,259,173,173,88,54,2428,8,74,149,76,22,15,39,78,17,50,64,53,46,16,13,731,0,0,5,16,26,55,91,56,13,11,16,13,17,8,14,342,0,0,0,4,12,38,56,50,7,5,13,18,14,13,7,252,3,14,17,57,26,27,18,0,0,0,3,0,0,3,7,171,0,0,18,47,98,98,55,36,16,4,14,9,37,44,14,500,0,31,24,8,0,0,0,3,0,0,0,0,0,0,3,85,3,18,24,15,9,18,27,33,8,8,3,20,11,10,5,214,6,7,41,154,336,323,450,291,78,63,84,63,69,35,57,2055,0,0,0,3,3,4,9,4,4,0,4,12,7,4,3,61,0,0,7,16,67,117,96,116,32,35,27,28,30,20,19,621,11,38,32,13,88,44,50,40,3,9,13,6,7,3,12,364,0,0,19,28,26,44,56,42,13,14,17,26,15,14,8,317
SED10022,0,0,0,0,0,3,3,50,0,20,25,6,5,0,0,0,0,0,0,0,5,0,10,76,0,4,0,0,0,0,5,0,0,0,0,0,0,0,0,10,0,0,0,0,3,0,7,4,0,0,0,0,3,3,10,26,0,5,0,9,15,14,14,4,0,0,0,0,0,6,14,84,0,0,6,10,3,4,3,8,0,0,0,0,3,3,7,39,0,15,8,3,3,0,0,0,0,0,0,0,0,0,0,25,0,68,40,12,8,0,9,4,3,0,0,0,0,0,5,150,4,9,20,46,98,100,72,34,10,6,14,6,4,7,40,470,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,10,0,0,0,0,12,20,23,70,5,21,16,16,10,3,18,215,0,5,0,0,3,0,0,0,0,0,0,0,0,0,3,15,0,0,3,9,0,0,3,0,0,0,0,0,0,0,3,20
SED10023,0,13,11,3,4,0,6,268,0,77,140,86,6,3,3,8,3,9,11,7,5,3,16,368,0,4,0,0,5,15,16,15,6,3,0,0,3,3,0,75,0,0,0,0,10,18,20,5,3,4,0,0,0,0,0,64,0,15,10,32,17,6,7,8,0,0,0,0,0,0,0,108,0,0,9,32,25,24,9,4,0,4,0,3,4,0,5,120,0,52,29,6,12,7,0,0,0,0,0,0,0,0,4,105,0,50,33,16,13,5,12,6,3,3,6,0,0,3,7,148,6,10,30,107,179,184,253,129,35,36,11,28,23,6,27,1066,0,0,0,0,0,4,0,0,0,3,3,3,0,0,0,14,0,0,3,16,52,70,47,44,19,10,11,8,22,7,12,332,0,8,6,6,30,22,20,3,3,3,4,3,7,0,4,120,0,0,10,8,17,16,16,4,5,0,0,3,3,0,3,92
