SED_CODE_2016,Num_MVs_per_dweling_0_MVs,Num_MVs_per_dweling_1_MVs,Num_MVs_per_dweling_2_MVs,Num_MVs_per_dweling_3_MVs,Num_MVs_per_dweling_4mo_MVs,Num_MVs_per_dweling_Tot,Num_MVs_NS,Total_dwelings
SED10041,1538,9867,10581,2948,1262,26199,529,26732
SED10042,1342,8901,9652,3491,1940,25335,949,26282
SED10043,3480,10545,7749,2602,1540,25918,1294,27208
SED10044,2918,12324,10093,2485,1197,29019,703,29721
SED10045,1673,10384,9868,3208,1640,26774,1220,27995
SED10046,3071,8623,8301,3268,1877,25142,1259,26405
SED10047,2424,10065,9758,3329,2081,27667,1270,28936
SED10048,1739,9347,9701,3266,1916,25969,868,26838
SED10049,1384,8578,10973,3599,1910,26447,867,27320
SED10050,2507,12507,10066,2381,989,28451,758,29213
SED10051,3828,11017,8873,2300,1073,27093,1265,28358
SED10052,1682,8294,10136,3102,1936,25151,712,25860
SED10053,1182,8604,10217,3934,2483,26422,1048,27475
SED10054,1879,8338,8936,3366,1652,24170,992,25159
SED10055,440,4909,9885,4494,3338,23073,600,23674
SED10056,1635,9230,11038,3920,2229,28050,1552,29600
SED10057,1833,11389,9581,2961,1280,27048,1382,28429
SED10058,3222,11697,9956,2485,993,28340,1061,29406
SED10059,12143,14873,4584,748,283,32635,1455,34093
SED10060,5281,17118,7851,1494,554,32294,768,33061
SED10061,1995,9885,9812,3534,1995,27228,1402,28630
SED10062,2185,9346,9050,2867,1464,24915,684,25599
SED10063,1759,9296,10385,3563,1918,26924,1279,28197
SED10064,1550,10399,9622,3173,1533,26279,1371,27646
SED10065,4961,14691,10105,2503,1219,33485,1138,34622
SED10066,2203,9534,9970,3126,1774,26606,963,27568
SED10067,1115,7514,10438,3335,1857,24265,761,25021
SED10068,1742,11725,10342,2845,1290,27952,1246,29200
SED10069,1074,9295,9709,3217,1829,25125,1165,26292
SED10070,1553,8091,9354,3348,1818,24160,804,24970
SED10071,617,6771,12237,3785,1875,25273,614,25887
SED10072,4107,13087,8662,2310,1153,29325,1163,30485
SED10073,4216,14782,9652,2372,1089,32107,895,33004
SED10074,2248,10413,10094,3042,1460,27263,873,28138
SED10075,1654,9472,10630,3706,2084,27548,1085,28632
SED10076,1372,10872,9611,2696,1326,25880,1297,27179
SED10077,5078,12807,8039,2319,1151,29398,1206,30600
SED10078,5560,14323,6908,1462,637,28885,1121,30008
SED10079,1544,9826,9956,3217,1709,26262,1115,27374
SED10080,16524,16444,4278,497,217,37956,1654,39612
SED10081,1642,9303,10365,3596,1971,26882,1387,28267
SED10082,1251,8670,10406,3529,1838,25696,781,26482
SED10083,1863,9693,9509,3011,1661,25739,1044,26785
SED10084,1799,11750,10260,2974,1424,28212,1300,29512
SED10085,1265,8260,10352,3943,2224,26040,1064,27104
SED10086,4539,13089,8884,1976,820,29312,1066,30375
SED10087,1578,9346,10388,3457,1824,26586,1087,27671
SED10088,1921,9084,10413,3117,1609,26149,806,26951
SED10089,2202,10642,10779,3380,1648,28644,967,29613
SED10090,4030,14355,9189,1910,698,30179,751,30938
SED10091,752,6532,9398,4147,3208,24035,855,24890
SED10092,3889,12143,9305,3011,1489,29842,1502,31340
SED10093,1754,9392,9448,3305,1881,25777,1192,26971
SED19494,0,0,0,0,0,0,0,0
SED19797,0,0,0,0,0,0,0,0
