SED_CODE_2016,P_Mng_0,P_Mng_1_15,P_Mng_16_24,P_Mng_25_34,P_Mng_35_39,P_Mng_40,P_Mng_41_48,P_Mng_49over,P_Mng_hours_NS,P_Mng_Tot,P_Pro_0,P_Pro_1_15,P_Pro_16_24,P_Pro_25_34,P_Pro_35_39,P_Pro_40,P_Pro_41_48,P_Pro_49over,P_Pro_hours_NS,P_Pro_Tot,P_TTW_0,P_TTW_1_15,P_TTW_16_24,P_TTW_25_34,P_TTW_35_39,P_TTW_40,P_TTW_41_48,P_TTW_49over,P_TTW_hours_NS,P_TTW_Tot,P_CPS_0,P_CPS_1_15,P_CPS_16_24,P_CPS_25_34,P_CPS_35_39,P_CPS_40,P_CPS_41_48,P_CPS_49over,P_CPS_hours_NS,P_CPS_Tot,P_CA_0,P_CA_1_15,P_CA_16_24,P_CA_25_34,P_CA_35_39,P_CA_40,P_CA_41_48,P_CA_49over,P_CA_hours_NS,P_CA_Tot,P_Sal_0,P_Sal_1_15,P_Sal_16_24,P_Sal_25_34,P_Sal_35_39,P_Sal_40,P_Sal_41_48,P_Sal_49over,P_Sal_hours_NS,P_Sal_Tot,P_MOD_0,P_MOD_1_15,P_MOD_16_24,P_MOD_25_34,P_MOD_35_39,P_MOD_40,P_MOD_41_48,P_MOD_49over,P_MOD_hours_NS,P_MOD_Tot,P_Lab_0,P_Lab_1_15,P_Lab_16_24,P_Lab_25_34,P_Lab_35_39,P_Lab_40,P_Lab_41_48,P_Lab_49over,P_Lab_hours_NS,P_Lab_Tot,P_ID_NS_0,P_ID_NS_1_15,P_ID_NS_16_24,P_ID_NS_25_34,P_ID_NS_35_39,P_ID_NS_40,P_ID_NS_41_48,P_ID_NS_49over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_15,P_Tot_16_24,P_Tot_25_34,P_Tot_35_39,P_Tot_40,P_Tot_41_48,P_Tot_49over,P_Tot_hours_NS,P_Tot_Tot
SED10011,102,136,195,246,618,851,572,1285,23,4027,392,962,1173,1143,1513,1775,864,1450,57,9319,125,259,284,385,872,1077,552,722,66,4335,185,823,712,736,640,356,282,241,55,4023,136,597,598,618,1070,725,309,291,37,4387,81,673,428,336,328,260,136,230,28,2503,48,119,105,124,257,248,176,316,24,1422,69,694,421,357,363,302,138,202,33,2582,28,31,17,38,81,67,20,51,118,448,1157,4290,3930,3981,5743,5667,3048,4797,444,33051
SED10012,50,108,81,149,489,594,257,513,44,2286,100,289,301,325,1123,1117,337,399,55,4058,68,312,358,372,1118,1178,425,523,135,4483,90,649,597,541,525,340,133,209,91,3176,126,340,401,426,1306,807,261,237,49,3944,54,805,510,355,500,348,119,173,62,2915,74,268,251,305,1333,778,336,442,101,3881,97,736,591,499,1479,767,238,288,151,4843,20,70,73,52,152,101,28,48,327,864,676,3589,3157,3017,8024,6027,2141,2824,1006,30461
SED10013,126,194,186,289,804,1295,784,2085,73,5846,355,473,686,725,1544,1833,806,1274,68,7770,149,245,267,323,1343,1955,941,1450,118,6796,199,706,614,705,883,589,352,305,74,4429,303,678,959,918,1835,1478,512,554,77,7311,143,1034,620,546,687,586,287,433,76,4408,115,157,186,223,773,741,430,1041,96,3758,95,648,415,370,603,592,294,386,73,3477,46,68,54,38,123,125,42,116,237,846,1539,4201,3991,4141,8594,9193,4449,7639,884,44637
SED10014,70,76,98,168,591,696,415,772,28,2913,174,333,364,446,1096,1259,462,635,68,4832,87,201,231,296,1184,1361,610,679,84,4739,140,566,541,723,782,489,238,271,80,3831,184,382,498,589,1621,1120,424,373,65,5263,109,802,516,468,657,427,162,221,51,3402,101,174,219,289,1154,801,463,730,76,3999,114,648,419,492,888,660,257,298,106,3880,25,53,31,30,143,117,38,64,198,701,990,3240,2911,3499,8115,6933,3065,4046,757,33554
SED10015,102,130,203,270,836,1120,579,1049,53,4340,209,584,710,716,1917,2117,792,1065,85,8200,101,336,494,469,1133,1422,544,680,128,5303,124,698,730,720,731,557,198,211,96,4063,191,503,651,632,1609,1253,388,399,75,5696,125,871,690,524,690,507,173,237,65,3888,64,145,249,265,634,573,215,394,63,2602,104,675,873,543,901,641,238,244,103,4320,30,65,76,54,135,134,34,43,321,897,1040,3998,4674,4186,8583,8332,3172,4328,995,39307
SED10016,130,193,260,359,853,1889,976,2653,80,7403,303,819,1005,982,1955,3079,1164,1896,95,11298,74,274,255,310,769,1168,522,865,53,4289,91,823,575,486,551,395,153,181,25,3293,156,821,998,842,1425,1420,417,493,55,6622,115,1081,601,423,532,615,246,471,44,4134,25,101,97,108,229,252,134,288,27,1253,61,554,274,206,289,249,112,188,27,1962,20,49,33,49,103,144,32,102,160,707,980,4730,4109,3759,6707,9215,3752,7138,571,40961
SED10017,81,99,131,215,439,588,378,880,27,2832,175,277,476,484,753,762,383,530,41,3894,187,235,263,361,1343,1391,776,958,84,5599,166,584,646,731,646,391,180,169,58,3576,195,382,526,568,968,626,261,243,37,3809,145,890,601,492,465,288,139,173,46,3234,141,175,191,222,744,732,635,849,66,3755,135,903,613,551,671,643,254,271,81,4128,29,35,29,36,84,59,26,65,153,516,1245,3584,3469,3666,6127,5487,3034,4136,601,31340
SED10018,87,102,148,218,543,717,541,1107,30,3491,345,639,1066,991,1388,1746,783,1209,69,8226,136,232,280,355,1058,1284,547,716,51,4668,121,755,637,668,596,368,229,170,49,3591,173,540,747,736,1178,774,331,273,36,4795,123,1012,519,456,438,282,166,192,37,3216,59,126,108,104,321,340,216,281,15,1568,99,667,395,359,387,417,149,180,42,2687,20,27,19,26,85,76,27,48,114,441,1160,4099,3920,3911,5982,6003,2991,4176,437,32681
SED10019,92,182,184,244,379,532,331,1023,56,3020,181,293,464,572,734,627,305,487,40,3690,111,247,274,370,876,775,333,553,58,3590,169,561,583,808,576,250,182,237,58,3425,110,380,422,542,857,391,161,167,39,3057,110,718,422,423,425,208,143,182,44,2665,77,132,150,170,358,305,203,552,44,1993,159,815,487,687,629,545,234,279,106,3929,35,41,16,42,47,38,14,48,175,456,1040,3360,2996,3856,4879,3664,1899,3518,623,25834
SED10020,100,161,181,268,569,745,415,1052,34,3534,242,502,604,805,1047,1045,467,798,38,5555,105,260,253,400,992,887,402,646,58,4006,145,720,594,855,609,273,174,229,68,3674,144,440,518,676,1089,518,219,220,34,3865,114,925,461,479,517,285,172,216,36,3199,56,152,142,187,308,232,169,317,32,1590,115,908,550,555,588,455,163,291,87,3702,22,49,40,40,78,64,25,47,149,507,1049,4106,3341,4275,5782,4504,2218,3810,534,29620
SED10021,199,170,324,419,922,2023,1167,2860,67,8154,560,1118,1279,1500,2491,4587,2230,4090,122,17981,94,171,292,255,549,1012,447,741,45,3597,116,831,766,563,506,538,278,289,59,3942,187,539,596,549,1175,1162,496,594,32,5324,93,572,419,324,439,589,286,482,38,3230,15,76,104,78,111,155,88,120,14,759,36,273,351,160,216,243,112,187,26,1611,21,55,54,38,78,131,47,130,192,736,1320,3803,4176,3881,6472,10428,5150,9488,601,45331
SED10022,166,280,281,382,465,997,565,2652,132,5923,178,260,425,435,596,656,344,640,43,3584,105,245,240,296,861,910,409,629,91,3782,124,513,479,555,527,308,120,184,51,2867,121,382,404,526,712,403,167,203,33,2941,85,579,335,400,360,252,172,203,32,2413,106,126,146,140,379,365,241,587,56,2151,136,785,468,562,853,699,357,386,130,4382,36,33,31,19,45,66,29,50,170,471,1058,3191,2819,3313,4795,4668,2409,5519,747,28514
SED10023,167,169,265,357,658,1421,837,2357,66,6308,365,780,1036,989,1312,2136,973,1793,84,9468,142,215,256,325,819,1468,684,1104,72,5084,187,905,631,634,605,545,296,336,50,4184,180,768,953,871,1191,1185,466,500,52,6163,105,911,528,400,413,568,242,426,52,3643,46,102,103,101,243,277,131,264,32,1306,53,487,241,224,264,301,137,203,40,1948,29,41,30,41,66,104,34,89,171,608,1274,4385,4035,3947,5574,7997,3804,7075,621,38712
SED10024,134,313,378,479,709,1776,1028,2792,47,7651,337,1318,1370,1226,1630,2986,1361,2877,101,13201,52,183,189,187,403,605,259,390,27,2290,94,916,516,373,277,231,99,103,48,2653,135,784,848,659,829,925,339,435,38,4987,102,971,509,332,344,473,186,336,32,3292,11,92,47,58,117,83,47,75,8,545,27,384,190,137,140,128,42,67,26,1135,18,62,45,37,66,106,41,81,176,632,907,5023,4095,3490,4518,7300,3403,7162,501,36393
SED10025,185,203,305,419,976,1983,1043,2588,55,7761,465,890,1078,1046,2244,3599,1524,2507,112,13472,81,177,302,237,610,933,401,617,63,3419,110,657,525,408,416,402,148,203,46,2915,182,593,855,632,1417,1295,472,518,56,6029,103,750,530,355,519,667,269,449,49,3705,27,59,106,97,191,180,85,143,19,913,46,322,281,177,205,263,103,147,42,1584,22,50,50,53,105,131,49,88,192,730,1205,3707,4032,3425,6703,9453,4097,7260,637,40522
SED10026,121,189,200,272,554,855,537,1932,64,4718,244,329,536,587,1019,1118,525,950,53,5367,141,195,222,291,1091,1134,697,1092,83,4946,165,596,500,710,872,484,218,278,64,3889,135,368,469,619,1172,662,259,284,34,4001,108,799,408,488,642,330,227,293,50,3342,106,128,149,139,454,493,413,739,48,2666,107,726,447,476,658,596,213,392,102,3709,31,32,27,26,62,72,30,65,179,523,1175,3356,2952,3607,6519,5739,3116,6024,669,33152
SED10027,93,105,151,224,685,1083,524,1120,48,4032,232,482,668,575,1474,1849,634,873,90,6870,114,285,299,367,1112,1395,547,707,114,4937,107,616,543,552,575,420,166,213,71,3265,179,598,725,723,1742,1390,400,401,72,6240,96,782,511,405,527,436,143,245,54,3198,69,155,167,188,589,517,245,400,60,2395,70,473,364,296,625,460,176,201,52,2712,19,46,38,37,112,129,38,40,208,672,967,3547,3470,3356,7438,7685,2866,4208,776,34310
SED10028,113,191,246,290,811,1650,823,1879,44,6046,304,1245,1225,1081,2631,4035,1465,2062,124,14178,78,206,256,248,601,748,325,415,53,2934,78,870,561,411,364,313,113,125,37,2866,153,772,764,675,1401,1195,382,382,53,5770,97,931,521,375,376,442,159,269,43,3231,25,99,96,96,164,152,58,119,10,817,57,476,271,201,244,188,52,90,21,1602,21,56,43,27,79,120,29,50,172,585,924,4843,3989,3399,6670,8837,3411,5393,560,38034
SED10029,37,70,91,118,452,558,236,396,33,1988,98,295,284,314,1099,1058,304,368,70,3888,76,340,337,358,1136,1155,436,438,142,4406,68,549,523,490,538,334,149,264,82,2991,116,338,404,395,1365,806,265,215,61,3951,64,731,448,325,435,292,140,137,66,2639,66,243,229,299,1211,753,330,386,96,3619,104,687,531,471,1287,676,252,287,159,4460,29,62,54,57,174,109,31,43,359,925,648,3322,2896,2823,7697,5730,2143,2531,1073,28883
SED10030,107,142,173,209,544,880,486,1031,31,3616,273,489,673,705,1257,1442,553,862,61,6311,109,233,291,394,969,1244,497,720,74,4526,162,652,590,722,710,436,226,231,47,3775,181,502,568,595,1214,843,308,257,45,4510,110,782,496,460,501,352,156,255,38,3150,55,103,127,150,428,305,185,320,42,1716,111,690,417,404,524,480,240,269,71,3199,27,45,42,34,89,116,30,54,179,611,1132,3640,3382,3662,6228,6099,2680,4002,590,31413
SED10031,162,278,296,419,692,1067,601,2072,72,5647,286,458,603,723,1033,1094,558,913,60,5730,114,281,300,419,1068,1233,585,864,87,4946,217,597,642,760,850,513,232,287,74,4170,168,494,524,616,1130,658,279,339,40,4255,122,677,428,424,433,298,156,226,45,2817,99,121,134,166,489,361,244,657,44,2304,105,815,463,464,612,505,247,377,82,3671,40,47,27,41,82,96,34,68,187,621,1312,3765,3412,4030,6388,5817,2937,5809,692,34166
SED10032,75,104,160,206,709,918,395,651,62,3286,205,380,473,500,1999,2303,596,757,105,7320,89,338,428,460,1197,1432,562,570,160,5239,109,552,688,602,715,430,229,293,91,3709,159,453,514,536,1853,1151,330,327,78,5409,98,819,634,398,637,448,160,196,65,3460,60,181,315,288,912,590,280,406,85,3126,93,619,719,495,860,639,272,240,129,4061,29,71,74,46,183,154,35,51,374,1023,923,3528,3999,3539,9064,8075,2863,3484,1152,36628
SED10033,118,167,229,278,607,1027,645,1972,52,5097,214,481,563,651,930,1237,546,988,43,5650,138,302,319,410,1185,1878,881,1560,110,6779,152,665,505,597,619,529,262,247,47,3614,170,695,764,822,1232,1054,380,415,60,5594,86,768,495,384,477,464,202,302,56,3233,87,149,153,179,487,580,347,874,76,2927,110,677,431,466,519,561,225,392,76,3458,36,46,30,33,93,96,33,93,181,641,1098,3942,3481,3812,6144,7431,3530,6846,702,36988
SED10034,109,141,207,278,776,1252,858,1674,34,5323,363,727,1079,942,1571,2203,1016,1417,62,9373,148,247,274,373,1182,1735,843,1082,67,5950,185,864,724,705,732,524,374,278,53,4431,234,661,1030,957,1528,1301,523,517,41,6789,118,942,571,426,472,533,233,302,47,3643,50,107,89,130,349,346,198,372,35,1675,83,619,300,258,320,351,124,179,45,2285,15,31,35,28,104,116,34,66,147,587,1312,4340,4308,4107,7031,8356,4199,5887,520,40061
SED10035,209,144,278,352,1345,2105,1321,2482,51,8278,539,1117,1078,1075,3341,5118,2213,3305,182,17974,88,272,433,285,885,1349,649,907,92,4964,180,927,1022,699,783,671,363,395,115,5153,237,503,641,617,2034,1769,661,685,91,7235,136,879,782,515,790,796,342,442,82,4749,41,151,209,182,369,345,160,290,37,1784,102,517,724,310,500,465,151,222,68,3051,34,49,55,52,135,150,44,102,324,943,1568,4559,5219,4082,10178,12762,5911,8831,1036,54140
SED10036,113,110,163,213,785,1052,533,1219,41,4223,256,441,567,639,1594,2074,679,935,71,7257,118,237,236,310,1226,1620,622,781,115,5267,139,627,581,536,697,574,311,419,72,3960,212,515,698,693,1952,1411,408,439,71,6399,87,794,532,423,572,490,189,214,56,3364,76,175,190,251,887,703,355,587,65,3292,85,569,338,375,649,533,218,240,95,3098,19,49,43,47,150,147,48,68,242,807,1111,3506,3347,3500,8502,8608,3376,4899,825,37674
SED10037,144,161,263,337,809,1416,895,1865,48,5939,427,925,1218,1213,2320,3407,1245,1905,97,12757,82,265,341,332,866,1312,537,691,66,4497,144,944,729,613,574,400,204,194,38,3841,166,704,852,726,1286,1179,445,381,41,5782,122,929,518,395,449,410,181,240,36,3281,34,106,97,95,252,212,99,189,20,1099,75,631,377,347,382,342,95,148,49,2444,20,55,24,36,80,101,25,56,185,593,1203,4722,4414,4094,7023,8784,3721,5681,582,40230
SED10038,106,131,190,257,606,889,587,1306,41,4118,431,891,1105,1088,1688,1867,944,1419,75,9498,145,238,301,368,1021,1308,601,722,68,4785,202,989,721,666,644,424,280,257,46,4231,153,583,733,734,1211,713,262,257,28,4683,92,952,458,347,323,290,140,191,30,2825,66,111,97,113,487,299,231,316,27,1741,106,674,383,335,353,313,126,201,41,2520,19,42,43,37,82,72,20,48,160,524,1318,4619,4028,3944,6416,6173,3187,4720,522,34924
SED10039,101,187,180,270,517,736,501,1221,35,3739,306,542,744,734,1002,1103,594,850,55,5921,155,275,266,394,1082,1388,735,759,75,5125,186,745,703,713,665,391,273,210,60,3954,144,514,597,635,925,498,227,217,26,3774,104,873,462,420,382,244,141,215,37,2873,74,151,126,138,416,328,279,504,39,2052,124,746,384,350,397,357,172,235,57,2821,17,36,30,33,55,62,31,47,129,439,1214,4066,3499,3674,5438,5103,2941,4259,506,30702
SED10040,91,146,190,267,940,1202,520,1005,55,4420,301,664,766,799,2454,3009,846,1147,116,10105,94,297,573,463,1225,1301,520,568,110,5160,123,734,1004,723,832,509,203,213,90,4444,211,508,707,597,1919,1434,417,388,65,6239,106,915,948,611,802,620,188,212,74,4489,51,162,252,249,630,517,221,364,72,2516,99,675,1152,596,813,547,193,242,104,4421,29,68,71,47,167,142,24,44,328,926,1115,4181,5659,4350,9790,9288,3136,4181,1015,42718
SED10041,154,248,350,364,780,1738,1012,2540,39,7233,451,1275,1259,1276,2087,3859,1615,2824,112,14756,62,181,203,200,380,555,255,363,19,2228,103,962,544,418,332,275,141,136,38,2941,148,708,761,614,982,966,374,478,41,5074,90,851,433,288,318,420,166,296,32,2897,18,94,51,49,105,99,39,88,9,544,44,409,205,143,168,134,64,82,16,1271,16,72,48,51,76,113,31,88,150,645,1082,4791,3851,3406,5234,8165,3692,6896,463,37581
SED10042,84,110,120,166,459,636,388,864,32,2856,228,502,613,655,1019,1109,480,750,40,5405,125,254,260,355,1127,1314,574,797,74,4879,152,657,575,722,599,351,190,169,67,3488,144,479,610,649,986,628,273,229,35,4033,115,787,474,433,427,274,155,198,44,2906,96,167,152,164,448,471,326,439,31,2288,138,694,401,432,511,473,179,234,63,3130,29,36,23,22,85,61,17,59,162,489,1119,3678,3237,3603,5666,5318,2571,3734,548,29476
SED10043,70,108,146,147,591,743,320,509,71,2714,150,408,437,414,1327,1528,378,534,90,5263,76,342,443,506,1036,1086,403,453,163,4521,99,588,662,518,645,414,219,318,112,3565,127,422,471,465,1274,899,276,209,88,4231,103,836,716,462,575,418,146,186,78,3520,73,286,428,416,762,665,311,454,128,3529,84,662,676,493,887,597,212,219,130,3966,29,61,69,51,118,107,39,40,375,883,809,3707,4047,3480,7219,6462,2304,2910,1248,32190
SED10044,178,238,308,455,882,1953,1074,2825,70,7976,512,1062,1235,1289,2343,4142,1897,3293,116,15899,55,194,225,233,542,766,351,559,40,2962,97,815,599,452,412,384,164,221,46,3197,171,649,740,663,1196,1235,456,587,58,5753,103,690,461,370,442,564,240,403,39,3304,23,68,85,77,152,131,62,132,17,736,36,302,265,152,195,187,75,110,20,1341,14,58,51,38,81,138,44,81,186,690,1192,4069,3964,3726,6238,9508,4366,8210,591,41861
SED10045,95,231,264,345,478,687,402,1476,63,4053,226,546,647,870,1015,936,376,695,43,5357,100,290,290,400,890,848,375,612,64,3869,168,684,576,832,582,262,142,207,77,3546,109,442,466,605,1003,459,201,181,34,3501,120,800,417,438,439,248,160,199,39,2857,53,146,142,212,354,267,203,432,44,1851,160,858,548,604,668,490,199,274,95,3895,27,40,35,32,46,53,19,36,185,474,1051,4045,3375,4347,5469,4266,2060,4127,660,29400
SED10046,45,85,104,149,568,707,281,610,47,2586,131,295,365,431,1350,1397,390,524,76,4958,99,270,304,351,1230,1372,583,636,141,4977,109,542,514,576,690,452,213,294,110,3495,135,377,495,528,1687,1169,273,295,81,5052,86,810,524,419,564,385,165,143,66,3170,106,220,257,374,1259,830,361,609,110,4118,105,619,535,510,1138,807,276,306,131,4431,39,65,51,49,199,142,38,53,347,978,853,3277,3155,3401,8678,7265,2566,3471,1107,33762
SED10047,68,77,119,143,625,810,379,923,43,3184,197,278,317,387,1170,1266,476,566,38,4688,117,207,220,354,1362,1540,683,930,114,5530,156,554,571,736,878,590,291,280,91,4143,203,436,556,675,2135,1345,435,440,71,6292,116,831,517,486,664,442,205,247,55,3556,132,236,285,404,1487,1215,590,1149,158,5643,131,672,492,581,1039,829,347,422,131,4633,30,53,34,27,173,150,44,55,320,888,1149,3335,3109,3790,9525,8188,3441,5000,1025,38557
SED10048,80,105,116,134,733,884,449,782,45,3325,197,434,484,601,1635,1830,525,686,90,6476,99,228,262,359,1407,1458,652,723,102,5285,141,603,630,757,924,529,300,287,94,4264,195,452,593,677,2234,1383,469,412,61,6477,135,810,585,472,695,490,185,216,63,3659,105,201,224,357,1314,920,567,684,99,4479,109,656,524,510,1037,688,270,270,136,4202,27,43,36,45,162,126,45,64,225,765,1103,3531,3444,3912,10147,8292,3462,4127,909,38933
SED10049,81,96,124,225,496,687,459,1108,31,3299,274,396,619,659,1031,1222,595,909,44,5762,138,243,304,329,1314,1485,894,1188,73,5971,153,694,637,717,702,421,238,234,70,3877,183,502,632,649,1246,743,312,277,30,4575,143,1010,599,515,547,324,176,192,35,3546,118,180,180,224,641,589,574,849,52,3402,111,864,501,461,583,552,246,302,72,3692,24,39,19,31,75,76,35,77,143,516,1235,4027,3614,3800,6636,6099,3528,5141,550,34627
SED10050,221,248,387,564,852,2086,1219,3236,66,8884,483,1084,1305,1239,1678,3558,1766,3320,95,14528,99,221,307,319,585,1100,480,654,55,3821,138,916,758,574,473,409,253,252,56,3835,153,672,729,624,950,1043,477,492,53,5194,119,668,497,357,457,624,312,525,21,3589,20,74,94,83,216,148,85,126,19,855,65,410,321,179,207,244,92,140,25,1678,23,54,43,56,64,136,56,128,169,733,1323,4355,4438,3990,5487,9354,4747,8873,559,43123
SED10051,142,140,223,292,757,1375,747,1723,57,5461,326,798,874,931,1711,2708,1029,1744,75,10200,106,188,256,289,758,1194,469,773,72,4108,137,670,605,642,633,539,282,259,71,3846,171,522,754,719,1445,1276,437,443,56,5822,121,756,540,452,532,502,190,298,42,3436,44,125,146,167,373,395,173,303,41,1768,74,444,384,251,368,390,159,216,37,2336,21,41,36,36,87,133,26,63,219,662,1152,3699,3820,3780,6666,8505,3511,5837,677,37645
SED10052,142,146,243,317,713,1302,799,1886,43,5593,341,697,933,872,1446,2185,966,1483,75,8999,112,213,258,337,880,1336,617,847,64,4666,141,737,585,578,559,433,253,232,45,3566,161,662,913,829,1368,1231,442,462,65,6144,112,854,547,451,489,508,206,360,35,3548,41,121,87,124,311,334,165,305,28,1512,55,483,279,226,327,326,122,190,33,2035,22,43,49,40,93,105,34,54,168,607,1131,3954,3898,3773,6180,7763,3601,5824,552,36672
