SED_CODE_2016,One_method_Train_M,One_method_Train_F,One_method_Train_P,One_method_Bus_M,One_method_Bus_F,One_method_Bus_P,One_method_Ferry_M,One_method_Ferry_F,One_method_Ferry_P,One_met_Tram_incl_lt_rail_M,One_met_Tram_incl_lt_rail_F,One_met_Tram_incl_lt_rail_P,One_method_Taxi_M,One_method_Taxi_F,One_method_Taxi_P,One_method_Car_as_driver_M,One_method_Car_as_driver_F,One_method_Car_as_driver_P,One_method_Car_as_passenger_M,One_method_Car_as_passenger_F,One_method_Car_as_passenger_P,One_method_Truck_M,One_method_Truck_F,One_method_Truck_P,One_method_Motorbike_scootr_M,One_method_Motorbike_scootr_F,One_method_Motorbike_scootr_P,One_method_Bicycle_M,One_method_Bicycle_F,One_method_Bicycle_P,One_method_Other_M,One_method_Other_F,One_method_Other_P,One_method_Walked_only_M,One_method_Walked_only_F,One_method_Walked_only_P,One_method_Tot_one_method_M,One_method_Tot_one_method_F,One_method_Tot_one_method_P,Two_methods_Train_Bus_M,Two_methods_Train_Bus_F,Two_methods_Train_Bus_P,Two_methods_Train_Ferry_M,Two_methods_Train_Ferry_F,Two_methods_Train_Ferry_P,Two_mt_trn_Trm_incl_lt_rl_M,Two_mt_trn_Trm_incl_lt_rl_F,Two_mt_trn_Trm_incl_lt_rl_P,Two_methods_Trn_Car_as_drvr_M,Two_methods_Trn_Car_as_drvr_F,Two_methods_Trn_Car_as_drvr_P,Two_methods_Trn_Car_as_pass_M,Two_methods_Trn_Car_as_pass_F,Two_methods_Trn_Car_as_pass_P,Two_methods_Train_Other_M,Two_methods_Train_Other_F,Two_methods_Train_Other_P,Two_methods_Train_Tot_M,Two_methods_Train_Tot_F,Two_methods_Train_Tot_P,Two_methods_Bus_Ferry_M,Two_methods_Bus_Ferry_F,Two_methods_Bus_Ferry_P,Two_mth_Bu_Trm_inc_lt_rl_M,Two_mth_Bu_Trm_inc_lt_rl_F,Two_mth_Bu_Trm_inc_lt_rl_P,Two_methods_Bus_Car_as_drvr_M,Two_methods_Bus_Car_as_drvr_F,Two_methods_Bus_Car_as_drvr_P,Two_methods_Bus_Car_as_pass_M,Two_methods_Bus_Car_as_pass_F,Two_methods_Bus_Car_as_pass_P,Two_methods_Bus_Other_M,Two_methods_Bus_Other_F,Two_methods_Bus_Other_P,Two_methods_Bus_Tot_M,Two_methods_Bus_Tot_F,Two_methods_Bus_Tot_P,Two_methds_Othr_two_methds_M,Two_methds_Othr_two_methds_F,Two_methds_Othr_two_methds_P,Two_methods_Tot_two_methods_M,Two_methods_Tot_two_methods_F,Two_methods_Tot_two_methods_P,Three_meth_Trn_two_othr_met_M,Three_meth_Trn_two_othr_met_F,Three_meth_Trn_two_othr_met_P,Three_met_Bs_2_ot_met_ex_tr_M,Three_met_Bs_2_ot_met_ex_tr_F,Three_met_Bs_2_ot_met_ex_tr_P,Three_meth_Othr_three_meth_M,Three_meth_Othr_three_meth_F,Three_meth_Othr_three_meth_P,Three_meth_Tot_three_meth_M,Three_meth_Tot_three_meth_F,Three_meth_Tot_three_meth_P,Worked_home_M,Worked_home_F,Worked_home_P,Did_not_go_to_work_M,Did_not_go_to_work_F,Did_not_go_to_work_P,Method_travel_to_work_ns_M,Method_travel_to_work_ns_F,Method_travel_to_work_ns_P,Tot_M,Tot_F,Tot_P
SED10011,1334,1130,2462,47,69,124,3,0,3,4,3,7,36,31,67,10318,9652,19970,461,659,1128,342,9,349,160,16,174,83,21,105,111,51,160,434,449,882,13338,12079,25417,147,113,262,0,0,0,3,0,3,300,220,523,58,66,128,66,16,90,578,422,1001,0,0,0,0,0,0,5,6,11,4,4,9,0,0,3,10,10,22,108,63,175,700,498,1202,83,74,163,0,0,0,4,0,3,90,80,166,1004,1272,2279,1432,2324,3754,117,106,222,16687,16362,33051
SED10012,1106,1169,2276,222,327,549,6,0,6,3,4,9,19,14,32,11825,7571,19401,890,1366,2258,424,8,433,54,0,54,40,9,49,93,33,133,209,374,582,14890,10883,25773,273,331,603,0,0,0,7,0,7,337,238,575,68,153,218,13,7,15,696,723,1418,3,0,3,0,0,0,23,27,48,12,21,30,0,3,10,35,50,89,147,89,232,879,870,1740,93,101,198,0,0,3,3,0,3,99,104,208,218,445,665,688,992,1685,237,153,387,17013,13451,30461
SED10013,653,589,1245,120,156,275,3,0,3,0,3,4,15,5,21,17029,14056,31086,821,923,1741,802,12,814,134,9,147,59,10,70,134,59,195,260,236,497,20032,16058,36087,166,133,296,0,0,3,0,0,0,688,550,1242,59,95,152,9,0,15,920,780,1708,0,0,0,0,0,0,6,10,22,5,24,37,3,0,3,19,40,56,161,73,236,1103,897,1998,98,84,185,4,7,10,7,0,5,103,90,198,687,1245,1933,1397,2554,3951,253,220,467,23569,21062,44637
SED10014,1406,1298,2710,136,238,375,0,0,3,0,3,7,20,18,37,11958,9349,21308,890,991,1879,370,7,382,148,11,154,32,9,41,85,49,130,198,225,425,15254,12189,27443,348,318,667,0,0,3,3,5,13,395,332,728,88,131,219,26,10,41,853,805,1664,0,0,0,0,0,0,4,13,16,22,25,44,0,4,3,23,42,66,108,71,180,990,920,1909,134,118,251,0,3,6,6,3,9,138,127,264,278,486,759,1086,1707,2790,222,172,389,17960,15591,33554
SED10015,3361,3471,6829,430,832,1259,3,0,3,30,43,65,80,24,104,12260,7974,20234,704,1031,1728,348,8,353,218,27,244,162,38,203,153,66,212,416,485,901,18161,13984,32146,552,692,1247,18,9,19,36,30,62,312,298,607,55,159,217,53,27,84,1024,1212,2236,0,0,0,4,9,10,27,38,67,12,44,54,13,7,12,52,95,149,140,103,245,1216,1410,2627,115,137,252,9,7,16,8,0,6,131,145,278,429,659,1091,1083,1647,2737,255,179,440,21278,18034,39307
SED10016,195,152,349,2011,1679,3686,0,4,3,5,0,3,30,5,34,14499,11752,26251,586,971,1559,366,6,371,155,11,166,68,5,74,100,65,170,227,280,512,18242,14939,33179,211,153,361,0,0,0,0,0,0,219,138,356,20,28,45,6,0,6,450,318,774,0,0,0,0,0,0,300,219,517,37,102,138,11,6,16,353,320,672,126,71,197,926,712,1640,103,86,188,19,14,37,3,4,5,128,100,227,1053,1499,2548,1066,2034,3100,135,119,256,21547,19410,40961
SED10017,24,19,45,78,67,144,5,0,5,0,0,0,12,8,20,12321,10526,22852,812,705,1513,356,6,368,123,17,136,42,3,47,77,37,115,247,248,496,14100,11640,25736,12,4,16,0,0,0,0,0,0,34,12,46,6,5,12,0,0,3,52,22,76,0,0,0,0,0,0,3,6,11,11,9,22,3,0,3,15,19,30,162,48,208,226,87,318,10,9,19,0,0,3,6,0,6,20,10,29,397,681,1080,1511,2303,3815,181,174,358,16446,14896,31340
SED10018,75,43,118,214,228,441,3,0,3,0,0,3,23,15,37,12270,11329,23602,640,840,1482,246,3,250,213,25,243,236,39,274,87,41,126,258,308,561,14265,12880,27145,18,8,23,0,0,0,0,0,0,28,14,41,9,9,12,8,0,8,58,30,85,0,0,0,0,0,0,11,29,42,13,14,29,3,0,3,27,41,70,143,38,182,227,111,336,6,14,17,3,4,6,4,0,7,16,18,33,504,790,1293,1362,2272,3632,134,116,247,16501,16175,32681
SED10019,5,4,14,56,47,99,3,0,3,3,0,6,16,10,23,9068,8255,17320,652,662,1321,394,8,407,124,8,135,179,63,243,130,49,181,600,514,1114,11234,9635,20864,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,0,0,0,6,7,9,0,0,0,0,0,0,4,0,4,0,12,14,0,0,0,3,12,13,113,53,161,117,68,185,6,0,6,0,0,3,9,0,9,11,3,11,741,828,1565,1095,1750,2844,196,166,359,13390,12446,25834
SED10020,9,3,16,69,69,137,5,0,7,0,0,0,14,17,31,10689,10096,20784,771,1046,1811,350,13,359,178,20,203,182,54,231,103,78,182,430,426,855,12797,11825,24620,3,7,3,0,0,0,0,0,0,7,5,5,3,0,3,0,0,0,11,10,17,0,0,0,0,0,0,5,8,6,10,8,18,3,0,4,17,16,34,122,57,177,150,77,228,5,0,5,3,0,3,10,3,7,16,3,17,648,893,1543,1091,1800,2894,166,157,323,14869,14759,29620
SED10021,1317,1306,2622,3519,4851,8376,8,3,13,6,3,12,93,91,187,9269,7490,16760,472,871,1345,185,4,189,700,149,845,948,323,1268,179,115,293,1316,2010,3327,18018,17222,35242,1320,1429,2751,0,0,0,4,3,6,73,70,140,41,44,84,43,37,73,1474,1572,3052,7,5,11,18,15,32,37,71,111,18,45,71,80,44,115,159,187,340,135,78,214,1769,1836,3604,126,108,238,26,21,41,11,8,19,164,137,299,1005,1449,2449,1129,2237,3365,190,178,370,22268,23062,45331
SED10022,10,6,18,112,29,140,7,3,7,0,0,0,12,23,37,9590,8394,17988,835,692,1525,510,20,527,116,22,134,80,10,91,208,64,272,828,749,1577,12302,10010,22312,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,11,3,12,4,0,6,0,0,3,12,9,20,104,36,139,115,48,168,0,0,0,3,0,3,14,0,15,18,3,23,1527,1361,2888,979,1690,2667,252,204,454,15195,13318,28514
SED10023,2118,2195,4311,60,70,134,4,5,9,4,0,0,13,30,44,13026,10729,23755,553,739,1294,339,3,346,163,7,173,175,36,204,100,51,151,399,562,962,16960,14424,31388,97,124,224,4,0,4,8,8,17,319,317,633,54,105,163,33,8,42,519,561,1079,0,0,0,0,0,0,12,7,20,3,6,6,0,4,3,14,12,28,151,68,216,678,638,1317,53,42,92,0,0,0,10,0,10,61,43,99,742,1251,1993,1340,2231,3577,166,166,332,19955,18761,38712
SED10024,2265,1849,4115,1182,878,2064,3,0,3,8,3,12,50,19,68,10024,8586,18613,404,801,1205,140,3,141,223,8,233,178,23,200,114,68,182,364,381,745,14960,12633,27589,443,375,821,0,0,0,5,3,6,538,387,927,96,158,253,28,10,39,1107,933,2041,0,0,0,0,0,0,86,72,157,11,35,49,6,3,13,113,101,211,110,46,159,1329,1085,2409,115,102,217,7,3,12,14,7,19,140,119,255,1292,1611,2901,1092,1906,3001,109,123,235,18917,17473,36393
SED10025,2131,2141,4264,1429,1971,3394,480,455,929,20,27,48,57,36,94,11361,9017,20379,383,895,1281,225,6,228,285,34,325,308,79,383,141,81,224,546,629,1176,17363,15367,32734,487,527,1014,38,24,62,9,13,17,165,138,303,33,88,116,33,6,39,758,793,1554,58,49,110,11,10,17,69,104,171,15,57,74,21,18,37,174,241,409,179,136,313,1112,1169,2281,110,98,211,25,23,44,10,4,14,142,123,271,833,1088,1927,1028,1986,3009,166,139,305,20645,19876,40522
SED10026,11,5,23,54,44,99,3,0,4,0,0,0,17,41,60,12207,10929,23132,954,1025,1979,456,21,473,174,18,199,106,29,134,131,64,192,631,605,1237,14741,12788,27522,3,0,8,0,0,0,0,0,0,3,3,10,0,0,0,0,0,0,6,11,14,0,0,0,0,0,0,3,5,10,3,9,9,0,0,3,4,15,16,142,67,212,158,90,244,5,0,3,0,0,0,16,0,16,19,0,25,933,944,1875,1177,1898,3070,207,199,406,17234,15918,33152
SED10027,2224,2310,4536,153,238,391,4,0,4,0,0,0,26,11,42,11935,8880,20821,557,835,1394,422,0,425,95,5,102,61,6,69,116,51,166,207,273,488,15811,12618,28433,293,339,635,3,0,3,12,27,37,326,313,641,73,117,191,30,18,42,742,807,1546,0,0,0,0,0,0,14,8,24,10,25,36,7,3,6,28,41,62,108,46,157,868,891,1763,95,100,196,3,3,8,3,3,7,99,106,203,399,663,1063,896,1660,2556,153,141,292,18233,16081,34310
SED10028,2789,2408,5193,1390,1125,2517,3,3,8,5,7,6,21,9,34,10660,8691,19357,363,863,1229,110,3,113,164,11,179,126,10,131,90,56,149,268,311,578,15995,13505,29501,706,568,1281,0,0,0,12,13,29,489,294,778,99,197,292,47,16,60,1356,1087,2444,0,0,0,0,0,0,95,65,161,16,45,62,9,0,12,118,119,231,93,75,161,1562,1274,2838,204,143,347,5,6,9,6,3,7,213,149,362,908,1152,2056,1157,1890,3050,137,93,226,19967,18069,38034
SED10029,1473,1489,2958,186,238,422,3,0,3,3,3,9,26,15,35,10928,6930,17860,818,1130,1948,403,10,414,68,9,74,68,10,74,97,46,144,194,268,462,14269,10142,24415,314,365,681,0,0,0,7,8,17,254,162,414,60,115,175,16,7,26,651,660,1309,0,0,0,0,0,0,9,9,21,10,21,32,6,3,7,28,31,60,125,83,210,799,779,1575,91,108,198,0,4,6,4,0,3,96,111,206,196,406,601,657,972,1634,269,184,454,16289,12593,28883
SED10030,1514,1097,2616,167,238,405,7,3,12,3,3,6,21,16,38,9402,8303,17705,688,730,1418,264,4,269,140,8,149,90,31,120,107,58,160,399,415,817,12796,10911,23704,375,304,679,0,0,0,5,8,9,465,332,799,73,106,171,84,21,108,1000,769,1767,4,0,4,0,0,0,0,7,6,12,19,27,0,3,3,19,27,47,154,65,220,1175,863,2037,194,130,325,5,8,7,7,0,6,202,136,343,736,952,1688,1222,2074,3299,181,170,342,16308,15102,31413
SED10031,69,49,114,97,85,184,13,3,15,3,3,5,25,29,49,11951,10406,22358,838,952,1791,629,26,651,156,21,172,52,17,68,156,80,239,660,579,1238,14642,12235,26874,8,3,13,0,0,0,0,0,0,33,24,58,3,7,15,7,0,4,51,36,85,0,0,0,0,0,0,9,25,37,11,15,27,3,0,3,21,37,61,147,61,212,218,139,357,6,6,11,0,0,4,10,0,13,14,7,26,1378,1404,2789,1456,2254,3713,206,193,400,17923,16237,34166
SED10032,3105,2595,5697,413,642,1058,0,0,3,3,4,6,72,22,94,12660,7067,19733,822,1076,1900,424,8,426,94,5,106,86,12,99,158,78,234,368,442,801,18200,11958,30157,719,759,1481,0,0,4,12,9,28,235,162,394,62,101,163,34,18,49,1058,1061,2121,0,0,0,0,0,0,20,31,52,8,37,48,6,6,7,33,73,111,130,48,182,1224,1185,2406,129,147,272,0,10,10,4,0,4,133,157,286,307,635,942,990,1354,2343,305,188,490,21158,15476,36628
SED10033,397,453,850,71,101,166,0,0,0,0,0,4,9,13,24,13849,11529,25378,713,712,1425,1027,14,1045,164,17,180,104,15,119,109,56,168,439,330,771,16878,13239,30117,54,62,115,0,0,0,0,0,0,260,269,531,47,37,87,15,4,15,376,376,748,0,0,0,0,0,0,26,31,59,0,14,11,8,0,8,33,43,74,177,72,249,589,488,1079,53,50,103,0,4,0,5,4,8,58,61,119,868,1419,2283,1076,1938,3010,193,185,377,19664,17326,36988
SED10034,2309,2171,4477,77,89,164,3,7,9,3,0,9,20,11,36,13020,11091,24108,553,634,1186,389,3,394,134,8,147,97,21,115,103,44,148,309,428,737,17016,14515,31534,287,240,526,11,6,21,8,8,12,721,606,1325,81,140,222,54,23,78,1157,1025,2179,0,0,0,0,0,0,4,7,12,8,9,23,4,0,3,17,22,33,132,66,199,1308,1106,2420,112,105,225,0,7,7,10,0,9,125,114,238,617,1032,1651,1426,2553,3975,131,119,253,20623,19437,40061
SED10035,4282,4108,8394,3619,4523,8140,8,4,9,11,8,18,142,108,254,10998,7372,18372,699,1188,1886,168,3,172,638,130,766,1127,373,1502,206,121,330,2208,2147,4353,24107,20081,44186,1029,1044,2068,14,10,24,42,42,81,113,72,182,50,72,122,98,67,165,1337,1307,2646,7,6,13,27,36,63,56,73,129,34,95,128,75,61,132,188,275,460,169,97,267,1695,1684,3374,164,141,306,30,24,50,11,5,15,207,171,376,884,929,1809,1614,2337,3948,242,203,442,28746,25395,54140
SED10036,1448,1459,2906,166,285,448,0,0,3,4,0,3,43,14,56,14045,10451,24498,735,923,1656,394,5,402,150,13,158,102,14,109,111,59,169,346,213,555,17536,13434,30967,275,326,602,0,0,0,3,7,7,579,493,1076,66,181,244,24,9,35,948,1016,1967,0,0,0,0,0,4,17,25,41,11,39,47,3,4,3,30,67,99,128,57,186,1110,1140,2250,133,125,263,4,0,4,5,0,7,141,128,273,379,735,1107,1021,1673,2690,220,169,385,20397,17273,37674
SED10037,4004,3206,7207,154,199,357,0,3,4,3,3,9,28,11,33,10668,9062,19727,449,803,1257,283,3,289,199,24,221,102,23,123,120,63,185,616,645,1258,16627,14040,30670,520,426,948,8,4,14,4,4,8,725,532,1258,160,194,357,104,28,131,1518,1195,2709,0,0,0,0,0,0,25,15,44,7,21,30,3,0,3,39,34,75,127,79,211,1684,1308,2993,175,165,338,5,4,8,9,6,11,190,171,362,1060,1290,2345,1235,2343,3579,175,111,284,20964,19261,40230
SED10038,752,574,1331,230,318,548,6,0,6,0,0,0,15,24,43,12300,10863,23156,710,962,1677,263,3,268,146,9,154,223,50,268,95,39,136,339,362,704,15083,13207,28291,54,36,87,0,0,0,3,0,3,348,173,514,34,51,85,39,11,55,480,268,749,0,0,0,0,0,0,6,14,25,8,23,30,6,3,11,24,40,65,97,76,179,599,391,991,28,37,64,4,4,10,10,3,12,42,45,86,593,897,1490,1430,2356,3782,157,124,281,17898,17023,34924
SED10039,145,117,260,59,58,120,3,0,3,0,3,5,9,6,19,11570,9976,21544,677,674,1348,326,4,335,123,4,127,118,34,152,124,44,164,421,357,776,13568,11270,24839,16,22,45,0,0,0,3,0,3,58,47,101,17,9,27,11,3,16,108,81,194,0,0,0,0,0,0,0,3,0,3,9,7,0,0,3,4,11,16,98,53,145,208,147,353,21,12,31,0,0,3,9,0,9,26,12,42,671,992,1664,1406,2122,3530,151,125,274,16036,14670,30702
SED10040,5668,5717,11380,246,442,680,8,5,11,8,9,14,49,9,64,11643,6987,18631,529,1116,1640,227,5,232,129,13,140,75,18,96,127,73,198,728,1134,1859,19430,15525,34958,808,930,1738,11,5,17,35,39,77,248,196,444,73,140,216,46,22,69,1224,1341,2557,0,0,0,0,0,0,25,12,38,7,29,38,0,6,6,33,49,82,94,51,147,1349,1441,2791,133,136,267,9,0,10,3,0,5,142,138,281,502,625,1133,1259,1884,3143,253,161,418,22937,19775,42718
SED10041,4756,3789,8540,151,183,338,0,3,3,0,8,12,30,16,49,9058,7793,16849,316,712,1025,93,4,97,154,10,164,178,29,206,119,66,182,444,603,1048,15297,13209,28504,487,407,888,0,0,0,8,5,12,705,450,1154,120,196,312,61,18,81,1377,1067,2446,0,0,0,0,0,0,21,11,26,10,10,17,0,0,0,26,24,50,84,67,157,1490,1157,2653,124,91,216,3,0,5,8,0,4,133,90,227,1296,1534,2828,1139,2020,3161,110,94,208,19471,18114,37581
SED10042,179,137,317,95,80,175,3,0,3,3,0,6,11,6,15,11175,9941,21111,638,642,1282,385,13,395,160,18,176,63,15,76,92,41,134,230,202,431,13033,11095,24129,53,34,90,0,0,0,0,0,0,61,54,114,14,15,23,15,0,11,135,108,242,0,0,0,0,0,0,4,9,14,3,10,12,3,0,5,11,19,35,129,47,176,274,176,451,35,46,84,3,8,6,3,0,3,46,49,93,473,759,1231,1259,2018,3279,171,129,302,15249,14226,29476
SED10043,2641,2068,4708,150,274,423,0,3,4,6,3,9,148,16,161,12130,6327,18458,721,923,1648,379,4,385,77,11,89,45,3,49,152,68,223,381,321,700,16818,10021,26844,456,447,898,3,3,4,19,22,38,218,162,384,46,90,140,23,9,27,770,727,1494,0,0,0,0,0,0,19,12,27,8,18,28,0,3,4,26,29,62,150,54,201,942,816,1756,90,88,176,9,0,9,6,0,6,96,88,184,242,588,826,948,1075,2019,361,193,557,19411,12779,32190
SED10044,1461,1346,2810,3033,3249,6281,314,201,506,3,3,7,63,44,101,10940,9057,19994,435,914,1345,146,8,156,371,34,410,333,47,377,110,81,187,752,857,1608,17948,15831,33779,491,487,980,21,16,36,0,0,3,147,94,245,24,45,68,25,15,37,714,652,1372,40,16,54,0,0,0,93,113,202,33,66,105,40,20,60,205,213,421,193,111,304,1119,980,2097,101,81,183,14,19,34,11,3,11,131,103,229,1032,1298,2330,1074,2091,3156,146,121,266,21446,20418,41861
