SED_CODE_2016,P_15_yrs_over_M,P_15_yrs_over_F,P_15_yrs_over_P,lfs_Emplyed_wrked_full_time_M,lfs_Emplyed_wrked_full_time_F,lfs_Emplyed_wrked_full_time_P,lfs_Emplyed_wrked_part_time_M,lfs_Emplyed_wrked_part_time_F,lfs_Emplyed_wrked_part_time_P,lfs_Employed_away_from_work_M,lfs_Employed_away_from_work_F,lfs_Employed_away_from_work_P,lfs_Unmplyed_lookng_for_wrk_M,lfs_Unmplyed_lookng_for_wrk_F,lfs_Unmplyed_lookng_for_wrk_P,lfs_Tot_LF_M,lfs_Tot_LF_F,lfs_Tot_LF_P,lfs_N_the_labour_force_M,lfs_N_the_labour_force_F,lfs_N_the_labour_force_P,Percent_Unem_loyment_M,Percent_Unem_loyment_F,Percent_Unem_loyment_P,Percnt_LabForc_prticipation_M,Percnt_LabForc_prticipation_F,Percnt_LabForc_prticipation_P,Percnt_Employment_to_populn_M,Percnt_Employment_to_populn_F,Percnt_Employment_to_populn_P,Non_sch_quals_PostGrad_Dgre_M,Non_sch_quals_PostGrad_Dgre_F,Non_sch_quals_PostGrad_Dgre_P,Non_sch_quals_Gr_Dip_Gr_Crt_M,Non_sch_quals_Gr_Dip_Gr_Crt_F,Non_sch_quals_Gr_Dip_Gr_Crt_P,Non_sch_quals_Bchelr_Degree_M,Non_sch_quals_Bchelr_Degree_F,Non_sch_quals_Bchelr_Degree_P,Non_sch_quls_Advncd_Dip_Dip_M,Non_sch_quls_Advncd_Dip_Dip_F,Non_sch_quls_Advncd_Dip_Dip_P,Non_sch_quls_Cert3a4_Level_M,Non_sch_quls_Cert3a4_Level_F,Non_sch_quls_Cert3a4_Level_P,Non_sch_quls_Cert1a2_Level_M,Non_sch_quls_Cert1a2_Level_F,Non_sch_quls_Cert1a2_Level_P,Non_sch_quls_Certnfd_Level_M,Non_sch_quls_Certnfd_Level_F,Non_sch_quls_Certnfd_Level_P,Non_sch_quls_CertTot_Level_M,Non_sch_quls_CertTot_Level_F,Non_sch_quls_CertTot_Level_P,Migtn_Lvd_same_add_1_yr_ago_M,Migtn_Lvd_same_add_1_yr_ago_F,Migtn_Lvd_same_add_1_yr_ago_P,Migtn_Lvd_Diff_add_1_yr_ago_M,Migtn_Lvd_Diff_add_1_yr_ago_F,Migtn_Lvd_Diff_add_1_yr_ago_P,Migtn_Lvd_sme_add_5_yrs_ago_M,Migtn_Lvd_sme_add_5_yrs_ago_F,Migtn_Lvd_sme_add_5_yrs_ago_P,Mign_Lvd_Diff_add_5_yrs_ago_M,Mign_Lvd_Diff_add_5_yrs_ago_F,Mign_Lvd_Diff_add_5_yrs_ago_P
SED10022,28962,29253,58213,11524,5867,17388,2784,6530,9319,887,920,1808,905,734,1640,16102,14055,30152,10443,12651,23093,5.6,5.2,5.4,55.6,48,51.8,52.5,45.5,49,239,347,583,164,376,544,1409,2807,4216,1267,2435,3704,7224,3416,10638,299,644,945,428,860,1294,7954,4924,12877,27430,27877,55308,3902,4184,8086,20102,20122,40223,9707,10476,20182
SED10023,29110,30999,60112,15536,8922,24449,3599,8773,12369,827,1072,1897,619,619,1241,20577,19382,39955,7081,10124,17200,3,3.2,3.1,70.7,62.5,66.5,68.6,60.5,64.4,1498,1425,2922,496,806,1299,4556,5886,10444,3053,4222,7273,7938,2673,10611,203,436,641,618,1141,1762,8752,4251,13006,29075,30320,59386,4141,4287,8433,19664,20633,40296,12435,12955,25395
SED10024,29413,32555,61968,14149,8226,22381,4141,8466,12606,622,782,1405,865,745,1615,19788,18221,38003,8578,13131,21712,4.4,4.1,4.2,67.3,56,61.3,64.3,53.7,58.7,4215,3420,7632,671,1099,1769,8448,9153,17606,2497,3820,6319,2775,1271,4050,137,219,353,521,946,1471,3429,2440,5872,31078,32986,64059,4658,4952,9608,21276,22786,44060,13316,14068,27384
SED10025,31594,35358,66955,16103,11409,27515,3759,7400,11165,777,1062,1840,1039,1012,2054,21685,20892,42573,8118,12415,20532,4.8,4.8,4.8,68.6,59.1,63.6,65.3,56.2,60.5,3465,3699,7162,641,985,1632,7540,8931,16467,2757,3779,6528,4285,1878,6164,172,288,462,561,919,1478,5017,3089,8104,28945,31650,60594,6136,6537,12674,17711,19676,37382,15972,17305,33281
SED10026,29549,31012,60563,13493,7902,21397,2870,7047,9912,875,966,1844,1140,988,2129,18371,16908,35273,8606,11458,20064,6.2,5.8,6,62.2,54.5,58.2,58.3,51.3,54.7,462,602,1062,271,535,811,2029,3847,5877,1530,2767,4297,8094,4116,12210,305,672,972,483,850,1340,8884,5636,14521,27699,28607,56304,5211,5635,10845,18301,18691,36991,12712,13677,26387
SED10027,29918,32036,61955,13820,8375,22195,3615,6759,10374,803,945,1747,1183,1062,2248,19416,17143,36559,9073,13392,22466,6.1,6.2,6.1,64.9,53.5,59,61,50.2,55.4,1165,1241,2408,290,444,732,3802,4662,8467,2396,3293,5688,6646,2633,9274,193,439,633,560,918,1474,7397,3984,11380,30976,32400,63375,4021,4259,8277,21910,22911,44821,11563,12096,23658
SED10028,31441,34159,65597,15045,9271,24317,4255,7976,12227,661,823,1487,1278,1089,2369,21239,19157,40400,9096,13616,22709,6,5.7,5.9,67.6,56.1,61.6,63.5,52.9,58,4777,3828,8606,800,1066,1868,8597,9237,17831,2758,3670,6430,3095,1441,4542,142,247,380,470,903,1370,3707,2586,6289,31426,33697,65127,5280,5424,10699,21449,23097,44547,14184,14761,28947
SED10029,33940,35553,69487,11320,6785,18111,4008,5037,9043,959,771,1724,2035,1697,3733,18319,14291,32614,13732,19443,33180,11.1,11.9,11.4,54,40.2,46.9,48,35.4,41.6,589,644,1233,118,216,333,2859,3276,6136,2083,2798,4884,4677,2388,7072,247,472,714,483,699,1182,5407,3556,8965,34483,35727,70210,5114,5183,10299,23892,24824,48716,13620,14068,27688
SED10030,29547,31954,61505,12062,6943,19001,3435,7251,10687,807,910,1724,1271,1158,2435,17582,16264,33846,10023,13510,23537,7.2,7.1,7.2,59.5,50.9,55,55.2,47.3,51.1,895,976,1872,297,557,856,2880,3984,6866,2278,3536,5817,7683,3976,11661,313,553,870,567,1008,1575,8567,5542,14112,27388,29090,56484,4953,5320,10269,18076,19105,37185,13020,14183,27206
SED10031,30466,31283,61744,13344,7605,20953,3647,7562,11208,926,1070,2001,848,764,1611,18767,16998,35772,9447,11891,21344,4.5,4.5,4.5,61.6,54.3,57.9,58.8,51.9,55.3,1015,1050,2070,411,787,1194,2691,4104,6794,2197,3386,5580,8003,3737,11747,276,535,809,536,1068,1603,8822,5338,14162,28856,29485,58342,4833,5097,9926,19684,19892,39568,12364,13257,25625
SED10032,36460,35473,71932,15100,8385,23485,4939,6131,11072,1120,956,2075,2156,1704,3858,23310,17172,40488,10868,16123,26987,9.2,9.9,9.5,63.9,48.4,56.3,58,43.6,50.9,2482,2082,4562,322,434,757,5336,5948,11288,2868,3435,6300,5029,2493,7523,225,431,653,530,774,1295,5779,3693,9472,34834,34385,69218,7318,6461,13783,21583,21943,43523,18132,16521,34654
SED10033,29056,30118,59170,15436,8510,23947,3361,7880,11238,872,932,1806,754,823,1574,20418,18146,38562,6852,10118,16969,3.7,4.5,4.1,70.3,60.2,65.2,67.7,57.5,62.5,707,881,1584,247,565,814,2099,3763,5862,2132,3462,5599,9445,3930,13376,208,548,754,542,942,1482,10185,5430,15612,29266,29791,59051,4119,4239,8355,20439,20618,41051,11586,12152,23741
SED10034,29522,31241,60767,16337,9143,25478,3510,9246,12751,780,1052,1832,727,742,1470,21351,20179,41528,7212,10050,17268,3.4,3.7,3.5,72.3,64.6,68.3,69.9,62.2,65.9,1448,1477,2927,453,833,1283,3974,5571,9544,2945,4030,6973,8902,3267,12169,195,428,624,604,1224,1827,9699,4917,14616,31389,32645,64041,3485,3632,7121,23007,23717,46726,10443,11177,21621
SED10035,46899,45700,92602,21876,15800,37676,5665,8191,13859,1201,1400,2602,1996,1937,3934,30736,27330,58073,12501,14894,27399,6.5,7.1,6.8,65.5,59.8,62.7,61.3,55.6,58.5,5114,5218,10333,761,1059,1823,11393,12476,23867,3539,4000,7541,4773,2176,6954,224,327,555,541,690,1236,5544,3198,8739,33884,32923,66803,13303,13267,26563,17179,17152,34323,28961,27879,56834
SED10036,31941,33218,65161,16000,9384,25384,3450,6895,10351,944,994,1937,1262,1140,2403,21660,18417,40074,8514,13097,21612,5.8,6.2,6,67.8,55.4,61.5,63.8,52,57.8,1238,1289,2525,272,438,707,3697,5058,8757,2791,3613,6405,6909,3099,10008,218,483,703,594,900,1495,7717,4483,12200,33875,34835,68716,4427,4504,8933,23233,23779,47014,12979,13499,26479
SED10037,30785,32399,63185,15917,9297,25209,4263,8963,13228,782,1001,1787,971,979,1949,21931,20243,42179,7767,11034,18809,4.4,4.8,4.6,71.2,62.5,66.8,68.1,59.4,63.7,3181,2835,6018,673,1109,1783,6689,7864,14554,2962,4065,7022,5415,2365,7777,217,370,584,585,1057,1637,6213,3788,9999,32027,33078,65108,4405,4621,9031,22774,23477,46244,12240,12882,25124
SED10038,30596,32720,63315,13266,7227,20498,3805,8785,12589,831,1005,1837,1211,1028,2241,19109,18051,37157,10150,13284,23438,6.3,5.7,6,62.5,55.2,58.7,58.5,52,55.2,1941,2012,3949,562,979,1537,4305,5635,9943,2655,3563,6216,7945,3307,11258,221,501,725,548,1043,1595,8722,4859,13574,30881,32415,63299,4619,4771,9386,21902,23056,44959,12228,12850,25074
SED10039,28761,29751,58513,11756,5990,17747,3471,7765,11235,813,908,1722,896,768,1662,16934,15432,32365,9981,12366,22342,5.3,5,5.1,58.9,51.9,55.3,55.8,49.3,52.5,859,906,1761,385,773,1157,2773,3935,6708,2363,3425,5792,8522,3817,12338,240,530,768,544,1096,1644,9298,5447,14750,27401,28424,55823,4175,4438,8614,19029,19590,38619,11292,12086,23376
SED10040,37655,39547,77202,15966,10431,26396,5912,8287,14192,1066,1064,2130,1839,1689,3529,24774,21465,46244,10953,16044,26996,7.4,7.9,7.6,65.8,54.3,59.9,60.9,50,55.3,3469,3343,6813,430,568,1001,7541,8192,15735,3307,3884,7191,4390,2218,6608,194,330,520,549,842,1391,5131,3388,8519,34504,35634,70133,7391,7632,15028,21917,23029,44948,18238,18493,36735
SED10041,30116,34069,64187,14894,9091,23983,3937,8110,12048,642,907,1547,991,995,1987,20460,19106,39564,8409,13419,21835,4.8,5.2,5,67.9,56.1,61.6,64.7,53.2,58.5,4882,3982,8861,798,1242,2039,9124,10142,19263,2501,3656,6157,2258,1232,3491,123,224,347,492,921,1414,2874,2371,5251,30350,33055,63397,5516,5987,11500,19275,21283,40554,15265,16583,31849
SED10042,28505,30409,58914,11250,6040,17283,3188,7334,10523,814,856,1667,1408,1016,2424,16654,15245,31897,10449,13627,24077,8.5,6.7,7.6,58.4,50.1,54.1,53.5,46.8,50,821,747,1570,305,559,861,2334,3597,5931,2153,3258,5412,8827,4054,12878,252,549,801,577,1092,1670,9651,5693,15349,27647,28810,56458,4417,4722,9141,19142,19805,38942,11846,12693,24538
SED10043,35925,35020,70941,12532,6369,18898,5676,5557,11238,1201,853,2056,2122,1661,3788,21534,14438,35975,12048,18226,30273,9.9,11.5,10.5,59.9,41.2,50.7,54,36.5,45.4,2194,1607,3798,267,344,608,4799,4780,9579,2512,3085,5598,4414,2170,6581,216,401,617,490,755,1244,5124,3321,8448,36433,35811,72252,5878,5208,11085,23948,24204,48157,15774,14360,30135
SED10044,32305,34550,66850,16806,11515,28324,3909,7859,11767,735,1041,1778,947,924,1867,22395,21341,43733,8218,11473,19698,4.2,4.3,4.3,69.3,61.8,65.4,66.4,59.1,62.6,4258,4108,8366,713,1176,1883,8842,10077,18920,2735,3772,6509,3501,1630,5130,153,271,422,502,886,1385,4149,2786,6934,30324,31935,62263,6472,6604,13074,18945,20572,39523,16418,16572,32990
SED10045,29586,31377,60968,9894,6019,15921,4204,7569,11772,804,905,1710,1409,1101,2508,16310,15602,31911,10604,13005,23607,8.6,7.1,7.9,55.1,49.7,52.3,50.4,46.2,48.2,665,743,1407,348,749,1096,2623,4195,6814,1804,3093,4898,7455,3944,11398,363,631,997,527,1006,1533,8349,5583,13932,27737,28898,56634,4453,4838,9294,19754,20270,40027,11131,12213,23344
SED10046,34562,36108,70672,13857,8122,21979,3875,5954,9828,1033,916,1957,1922,1672,3595,20686,16670,37357,10904,16414,27316,9.3,10,9.6,59.9,46.2,52.9,54.3,41.5,47.8,853,949,1798,162,273,435,3068,4061,7128,2560,3346,5903,5739,3003,8740,295,590,881,542,829,1367,6571,4419,10986,34778,35689,70467,5350,5399,10745,23421,24143,47561,14399,14789,29187
SED10047,35069,36121,71191,16562,9588,26157,3362,6867,10227,1059,1114,2175,1594,1645,3244,22584,19216,41799,9884,14242,24127,7.1,8.6,7.8,64.4,53.2,58.7,59.8,48.6,54.2,850,889,1744,180,298,471,2224,3289,5514,1876,3042,4916,7928,4345,12275,278,685,965,575,906,1482,8786,5939,14722,33657,34407,68062,6428,6785,13215,21758,22029,43779,15867,16783,32652
SED10048,33121,34571,67692,16327,9700,26025,3907,6987,10893,1021,992,2015,1517,1661,3183,22776,19343,42114,8476,13200,21679,6.7,8.6,7.6,68.8,56,62.2,64.2,51.1,57.5,1807,1627,3429,283,424,710,3759,4815,8573,2534,3390,5928,7061,3526,10588,284,558,835,597,920,1511,7936,5005,12937,33453,34366,67818,5534,5633,11166,22137,22707,44846,14792,15203,29994
SED10049,28957,31333,60289,13958,7449,21402,3302,8140,11439,788,994,1781,1399,1343,2740,19445,17923,37368,7958,11846,19801,7.2,7.5,7.3,67.2,57.2,62,62.3,52.9,57.4,595,665,1258,249,531,776,2077,3553,5629,2090,3134,5225,9150,4706,13856,287,689,975,434,901,1335,9866,6293,16164,29174,30406,59575,5327,5830,11158,18582,19123,37709,14076,15534,29607
SED10050,31275,33127,64405,17400,11057,28456,4084,8699,12789,807,1074,1882,767,798,1562,23061,21630,44689,6166,9368,15536,3.3,3.7,3.5,73.7,65.3,69.4,71.3,62.9,67,3289,3058,6340,716,1135,1857,8672,9664,18336,2892,4182,7072,4379,1845,6224,150,295,444,564,884,1447,5091,3027,8120,29481,30501,59984,6136,6545,12687,18048,18859,36907,16177,16913,33087
SED10051,33535,34191,67729,14696,9824,24524,3889,7406,11300,811,1018,1825,1041,983,2025,20438,19234,39672,10707,12479,23190,5.1,5.1,5.1,60.9,56.3,58.6,57.8,53.4,55.6,2639,2632,5265,381,724,1103,5594,7035,12625,2440,3554,5991,5580,2168,7746,180,318,499,508,853,1356,6269,3339,9607,29815,31571,61386,5551,5503,11058,19543,21250,40789,14502,14539,29040
SED10052,28815,31353,60172,14781,8582,23365,3380,8242,11628,734,952,1680,778,736,1514,19673,18511,38189,7964,11642,19603,4,4,4,68.3,59,63.5,65.6,56.7,60.9,1519,1504,3030,403,729,1129,4520,5628,10145,2864,3957,6823,7183,2711,9892,187,403,591,668,1153,1819,8040,4259,12300,29486,31392,60873,3873,4110,7987,21016,22486,43498,10970,11762,22728
SED10053,30983,30650,61638,15780,10477,26256,3556,7071,10628,1056,1207,2269,852,714,1563,21246,19469,40719,7299,8893,16192,4,3.7,3.8,68.6,63.5,66.1,65.8,61.2,63.5,1721,1428,3146,557,970,1531,3331,4815,8150,2505,3373,5875,7691,3358,11051,250,541,788,431,844,1273,8377,4737,13108,28998,28415,57412,5365,5377,10742,19478,19056,38532,13357,13449,26807
SED10054,32814,34946,67753,15518,9285,24805,3849,6362,10210,999,1033,2033,1691,1756,3454,22057,18441,40495,8999,14599,23594,7.7,9.5,8.5,67.2,52.8,59.8,62.1,47.7,54.7,1145,1097,2241,202,312,518,3786,5006,8785,2471,2988,5463,5950,3465,9410,318,605,923,572,830,1408,6838,4900,11737,34575,35791,70362,5251,5506,10755,23920,24729,48648,13652,14361,28012
SED10055,31295,32222,63519,18007,10624,28627,3497,8029,11530,896,1078,1979,994,1001,1997,23396,20743,44131,6376,9932,16309,4.2,4.8,4.5,74.8,64.4,69.5,71.6,61.2,66.3,881,967,1844,212,425,640,3020,4390,7408,2470,3498,5965,8136,3788,11922,241,481,726,546,885,1436,8923,5156,14078,32902,33401,66308,4293,4564,8856,22598,22734,45331,12885,13587,26472
SED10056,33391,33513,66906,15003,7640,22648,3189,7853,11041,1183,1134,2321,1008,795,1803,20390,17428,37818,9626,12753,22375,4.9,4.6,4.8,61.1,52,56.5,58,49.6,53.8,338,412,758,168,499,664,1821,3250,5072,1568,2642,4212,8172,3822,11993,260,596,857,443,823,1265,8872,5239,14115,31584,31286,62869,4993,5251,10251,22469,21908,44374,12231,12809,25038
