SED_CODE_2016,P_EducTrain_GD_GC,P_EducTrain_BD,P_EducTrain_AdD_D,P_EducTrain_Cert,P_EducTrain_ID_NS,P_EducTrain_ToT,P_HealthCareSocA_PD,P_HealthCareSocA_GD_GC,P_HealthCareSocA_BD,P_HealthCareSocA_AdD_D,P_HealthCareSocA_Cert,P_HealthCareSocA_ID_NS,P_HealthCareSocA_ToT,P_ArtRecServ_PD,P_ArtRecServ_GD_GC,P_ArtRecServ_BD,P_ArtRecServ_AdD_D,P_ArtRecServ_Cert,P_ArtRecServ_ID_NS,P_ArtRecServ_ToT,P_OthServ_PD,P_OthServ_GD_GC,P_OthServ_BD,P_OthServ_AdD_D,P_OthServ_Cert,P_OthServ_ID_NS,P_OthServ_ToT,P_ID_NS_PD,P_ID_NS_GD_GC,P_ID_NS_BD,P_ID_NS_AdD_D,P_ID_NS_Cert,P_ID_NS_ID_NS,P_ID_NS_ToT,P_ToT_PD,P_ToT_GD_GC,P_ToT_BD,P_ToT_AdD_D,P_ToT_Cert,P_ToT_ID_NS,P_ToT_ToT
SED10036,152,1121,301,332,60,2474,379,146,1270,751,830,132,3512,6,4,61,64,120,19,275,31,15,103,169,679,21,1019,71,11,226,194,471,187,1159,2105,574,7001,4726,8893,1118,24424
SED10037,349,1657,410,347,62,3775,662,254,1886,860,812,161,4640,56,16,166,88,86,16,430,87,27,246,157,593,28,1142,150,28,352,178,294,123,1131,4821,1354,11256,4962,6981,1002,30369
SED10038,466,1856,457,466,74,4485,601,224,1580,822,954,138,4316,40,19,103,67,111,13,353,48,11,149,149,664,24,1038,59,12,144,90,310,100,709,3017,1150,7508,4255,8781,814,25524
SED10039,325,1117,344,440,54,2629,321,188,1153,788,1221,156,3831,14,9,67,60,121,13,281,21,13,77,114,683,18,928,19,10,92,78,335,102,640,1251,794,4680,3708,9960,869,21270
SED10040,145,939,224,190,50,2161,647,159,1950,729,641,147,4267,40,7,121,80,96,16,357,96,10,221,173,432,40,979,237,18,487,189,274,230,1441,5289,761,11570,5050,5724,1316,29707
SED10041,308,1414,310,172,66,3237,964,253,2178,551,346,128,4413,51,18,184,48,52,13,363,121,30,314,129,238,26,848,258,25,505,145,159,87,1191,6917,1468,14045,3635,3234,882,30185
SED10042,165,979,310,414,42,2254,261,164,1148,852,1349,144,3921,3,0,35,36,106,6,200,33,16,91,124,675,28,969,32,4,69,87,363,98,658,1076,561,4092,3427,9654,788,19598
SED10043,99,691,226,174,62,1676,289,76,946,604,577,128,2622,16,0,58,43,60,10,179,55,11,156,146,494,45,913,127,9,313,173,353,212,1197,2793,430,6723,3628,5226,1202,20002
SED10044,267,1411,294,197,57,3176,1027,257,2236,569,391,148,4631,68,29,217,97,106,14,531,138,28,272,163,371,30,1009,233,36,492,176,217,125,1272,6819,1476,14979,4535,4646,1015,33470
SED10045,296,1205,339,445,54,2646,287,195,1376,856,1339,144,4199,12,5,73,37,96,15,243,16,9,72,99,624,28,850,27,12,86,89,343,124,681,933,743,4698,2976,8865,948,19172
SED10046,62,658,229,252,48,1614,296,99,1173,738,846,144,3297,11,0,53,45,80,10,196,25,3,105,153,551,40,878,48,11,188,203,492,262,1202,1416,342,5355,4006,7429,1226,19767
SED10047,89,626,250,375,55,1742,217,99,900,721,1165,139,3239,8,0,54,53,125,14,252,29,7,70,134,726,21,984,43,5,133,136,630,251,1202,1432,386,4309,3626,10581,1302,21636
SED10048,150,853,310,330,65,2197,407,106,1324,829,1007,147,3824,24,0,49,39,100,16,239,34,6,124,120,634,34,957,84,10,220,178,474,202,1175,2748,561,6627,4336,9079,1273,24620
SED10049,212,1019,304,378,37,2238,231,142,1156,803,1326,152,3798,4,5,28,27,85,14,168,20,9,74,175,885,33,1198,14,10,63,97,411,101,697,1006,603,4427,3824,11690,819,22370
SED10050,267,1458,338,234,59,3048,616,246,1675,560,438,126,3662,84,23,326,98,107,19,656,83,23,283,169,449,15,1031,187,44,524,210,313,123,1398,5285,1487,15044,5235,5919,1094,34072
SED10051,200,1308,326,294,79,3163,664,182,1573,597,549,146,3709,38,3,183,107,148,29,507,76,18,220,195,545,42,1091,136,21,352,167,276,160,1107,4232,905,9845,4370,6706,1150,27207
SED10052,245,1327,409,280,62,2853,418,188,1363,696,651,134,3443,28,13,113,72,141,20,382,45,15,159,187,700,36,1141,63,12,234,176,373,112,977,2513,874,8172,5036,8532,965,26095
SED10053,253,1003,311,417,43,2392,263,195,975,591,730,107,2850,43,30,176,95,265,16,625,29,21,125,145,669,36,1023,58,20,105,96,402,147,834,2561,1211,6487,4559,10122,1079,26019
SED10054,99,580,209,262,46,1535,246,83,1474,750,1080,149,3783,3,3,55,42,87,11,200,17,5,147,111,566,36,885,47,10,233,180,455,224,1151,1725,388,6614,3971,8276,1241,22210
SED10055,141,1086,355,432,60,2550,268,136,1113,676,881,136,3221,7,0,55,69,121,5,261,21,6,122,182,952,28,1312,31,4,165,168,536,137,1045,1560,542,6116,4785,11351,1168,25522
SED10056,229,1126,300,402,75,2291,133,126,806,673,986,136,2856,4,6,30,37,87,12,166,6,6,53,96,741,50,947,19,13,52,85,391,177,745,629,559,4199,3141,10592,1483,20603
SED10057,185,752,291,307,48,1740,194,131,886,758,1391,177,3529,4,0,31,35,90,7,175,7,8,40,98,559,22,731,10,4,40,49,296,86,490,542,455,2739,2501,8108,946,15288
SED10058,247,1633,312,299,41,3387,798,285,2621,809,967,143,5619,23,14,122,56,91,10,329,42,11,158,148,524,33,914,45,11,196,91,240,93,675,2935,1006,9417,3803,7734,709,25609
SED10059,292,1767,272,176,44,4372,1031,229,1985,393,317,75,4035,217,64,644,181,136,26,1256,144,51,442,180,337,30,1175,199,36,618,186,198,148,1390,7873,1780,18245,4590,4460,919,37868
SED10060,224,1192,211,127,54,2824,962,235,1832,415,244,143,3834,141,36,329,81,84,15,683,107,28,309,156,225,15,846,292,45,657,181,125,121,1419,8401,1695,17962,4335,3254,1059,36710
SED10061,322,1464,442,531,84,3681,227,138,919,674,1094,145,3200,7,3,33,21,67,3,139,21,10,86,69,629,27,840,16,12,70,54,291,172,616,1586,739,4695,3077,8892,1222,20207
SED10062,222,1275,327,262,56,2741,532,166,1569,593,600,143,3606,35,7,116,74,100,14,341,81,21,182,153,519,21,977,109,10,322,174,280,141,1039,3512,878,9712,4356,6300,1029,25794
SED10063,202,1263,371,506,53,2694,359,217,1414,866,1285,181,4319,4,0,40,31,72,13,157,16,14,74,111,750,22,978,14,3,74,63,345,131,631,1199,712,5255,3431,10397,1114,22110
SED10064,207,871,324,426,61,2060,175,116,900,713,1344,124,3371,7,5,43,30,88,8,171,17,8,34,75,570,31,734,9,13,48,55,298,121,546,566,504,3115,2527,8645,952,16316
SED10065,182,1204,317,261,49,2888,770,201,2121,775,702,169,4740,40,8,143,75,113,20,403,137,33,286,182,480,49,1161,302,36,614,244,322,176,1693,7388,1117,14511,5401,6446,1336,36200
SED10066,209,1205,386,404,49,2904,303,165,1097,699,1041,127,3434,16,11,76,46,154,14,315,32,6,98,145,721,25,1026,40,17,113,151,503,134,963,1813,686,5281,4095,10660,904,23445
SED10067,270,1328,389,282,71,2842,422,179,1231,741,534,151,3256,39,8,172,105,158,26,517,49,14,193,181,640,49,1123,106,25,385,261,350,135,1260,2607,941,8748,5095,7835,1054,26286
SED10068,220,1062,357,395,50,2348,304,157,1310,845,1298,153,4073,11,3,28,38,102,9,198,16,3,65,114,618,29,849,13,12,63,62,253,84,485,932,584,4169,3268,8735,838,18520
SED10069,126,658,283,325,33,1604,143,85,753,656,1103,131,2865,3,4,40,37,107,13,205,15,14,59,119,707,22,931,18,5,62,80,357,113,641,718,389,3105,3194,9858,837,18104
SED10070,131,830,257,307,71,2023,376,91,1248,611,704,148,3181,16,0,77,56,85,11,241,61,7,151,161,591,45,1012,110,14,260,185,399,155,1124,2758,536,7124,4053,7013,1197,22663
SED10071,209,1402,306,332,66,3023,633,173,1903,835,843,161,4548,24,6,70,65,110,25,297,60,24,241,217,702,35,1286,139,24,376,203,405,146,1293,4638,986,11359,5532,8668,1192,32374
SED10072,160,972,264,212,58,2285,526,150,1641,665,615,144,3744,44,18,144,102,105,19,431,69,18,239,221,581,51,1169,160,19,412,220,354,225,1385,4335,824,11032,5339,6741,1433,29705
SED10073,237,1371,331,277,65,3371,829,262,2038,663,586,145,4523,68,7,146,66,78,16,376,151,29,313,197,473,42,1203,303,25,586,189,236,175,1514,7770,1222,14886,4730,5502,1149,35265
SED10074,223,1213,306,307,65,2809,782,226,1961,741,829,173,4722,36,5,92,56,91,20,299,94,23,202,170,557,30,1070,170,13,322,199,385,180,1279,4731,957,10150,4510,7374,1211,28936
SED10075,237,854,340,480,46,2251,250,149,989,1024,1680,143,4234,5,3,35,39,104,14,200,17,11,78,139,879,35,1155,13,7,63,90,464,121,753,921,568,3821,4036,11848,1005,22189
SED10076,207,630,262,302,36,1627,161,114,738,593,1122,116,2849,10,5,46,29,101,23,222,11,11,50,78,563,31,745,22,5,61,54,326,124,595,670,547,2769,2642,8641,821,16089
SED10077,199,1213,226,193,47,2744,967,186,2445,695,565,155,5006,53,11,181,73,70,10,402,127,21,322,169,344,45,1034,271,35,590,221,256,225,1592,6752,1068,14832,4755,5017,1341,33769
SED10078,388,1686,279,220,52,4086,915,257,1922,587,523,139,4351,128,42,374,119,115,22,801,126,39,335,162,392,21,1081,129,28,405,181,238,158,1140,5988,1645,13820,4647,5312,1041,32449
SED10079,139,930,320,370,42,2017,176,150,967,729,1305,139,3470,3,3,45,33,104,11,205,14,3,51,93,743,21,935,13,5,64,66,363,113,619,725,461,3579,3083,9947,816,18609
SED10080,199,1078,199,112,42,2758,928,181,1915,448,250,123,3841,209,43,595,205,143,46,1246,120,19,375,199,355,45,1113,307,36,866,298,181,275,1963,9554,1717,22501,6239,4520,1558,46088
SED10081,226,1119,390,454,76,2482,242,174,1178,867,1239,156,3855,5,0,23,26,98,11,165,18,10,55,100,811,40,1031,13,8,67,79,411,138,714,816,618,4375,3399,10467,1284,20966
SED10082,257,1467,377,359,62,2959,471,268,1758,840,968,156,4457,18,10,88,70,110,16,315,35,15,111,171,632,25,996,38,13,147,125,356,94,778,1674,852,6597,4295,8923,891,23234
SED10083,179,1099,300,332,48,2237,224,151,1165,811,1397,144,3889,5,7,45,61,126,7,256,22,9,77,158,762,23,1055,8,9,84,105,375,129,712,915,541,4405,3765,10037,954,20611
SED10084,237,1046,317,369,55,2286,286,175,1211,847,1268,146,3932,9,5,66,67,147,13,304,4,6,78,150,582,31,854,13,12,128,109,399,127,785,910,653,4437,3508,9069,897,19477
SED10085,158,823,287,404,49,1879,107,80,616,558,868,104,2325,3,3,32,31,92,8,177,7,7,36,106,777,30,965,3,3,74,78,381,110,651,630,470,3450,3099,11615,1043,20320
SED10086,221,1239,280,135,76,2744,1011,197,1873,414,227,150,3877,94,31,443,125,107,34,840,87,19,297,177,327,40,949,228,39,808,247,204,190,1718,6318,1339,17376,4327,3704,1274,34342
SED10087,251,1362,398,561,62,3128,318,196,1575,824,1300,137,4357,12,4,54,29,97,3,197,20,8,73,109,779,33,1016,13,7,79,73,411,115,692,1259,750,5596,3384,11111,977,23076
SED10088,235,1263,360,306,75,2756,452,201,1467,759,779,158,3815,40,18,164,89,128,12,457,58,21,209,215,704,38,1246,98,20,357,242,430,158,1312,3120,1021,10154,5473,8409,1166,29343
SED10089,207,1192,352,394,49,2819,477,223,2016,919,1459,180,5270,12,3,54,31,110,10,221,28,16,145,108,770,36,1102,19,8,104,73,298,112,626,1915,707,6431,3737,9778,855,23434
SED10090,229,1232,252,146,44,2817,868,234,1944,485,301,103,3932,88,25,239,84,79,10,523,123,26,290,167,303,35,938,223,41,556,203,151,132,1305,7466,1596,16735,4371,3514,943,34632
SED10091,240,1097,416,478,70,2795,282,150,926,744,911,135,3146,20,13,64,42,120,9,264,20,12,74,125,900,34,1171,38,11,109,127,549,117,954,1407,674,4536,3934,11306,1076,22931
SED10092,341,1325,324,390,50,3219,487,208,1459,805,1112,163,4235,23,5,94,47,96,9,274,46,8,116,154,643,44,1014,39,11,158,102,359,140,799,2300,848,6463,3787,8905,947,23245
SED10093,115,741,247,344,39,1662,162,134,905,813,1467,169,3644,10,4,39,46,144,12,252,6,9,66,123,739,34,976,16,6,72,85,424,122,729,646,432,3243,3439,10261,972,18996
SED19494,16,57,27,19,5,154,20,10,95,37,53,13,230,10,0,26,14,23,0,77,3,0,14,14,45,4,80,8,3,34,14,52,40,143,205,68,678,299,770,146,2162
SED19797,0,3,0,0,0,9,0,0,0,3,8,0,15,0,0,0,0,0,0,3,0,0,0,0,4,0,3,0,0,3,0,5,0,7,3,0,16,7,42,3,74
