SED_CODE_2016,Canada_Before_1946,Canada_1946_1955,Canada_1956_1965,Canada_1966_1975,Canada_1976_1985,Canada_1986_1995,Canada_1996_2005,Canada_2006_2010,Canada_2011,Canada_2012,Canada_2013,Canada_2014,Canada_2015,Canada_2016,Canada_Yr_arrival_NS,Canada_Tot,China_exc_SARs_Taiw_Bef_1946,China_exc_SARs_Taiwan_46_55,China_exc_SARs_Taiwan_56_65,China_exc_SARs_Taiwan_66_75,China_exc_SARs_Taiwan_76_85,China_exc_SARs_Taiwan_86_95,China_exc_SARs_Taiwan_96_05,China_exc_SARs_Taiwan_06_10,China_exc_SARs_Taiwan_2011,China_exc_SARs_Taiwan_2012,China_exc_SARs_Taiwan_2013,China_exc_SARs_Taiwan_2014,China_exc_SARs_Taiwan_2015,China_exc_SARs_Taiwan_2016,China_exc_SARs_Tawan_arr_ns,China_exc_SARs_Taiwan_Tot,Croatia_Before_1946,Croatia_1946_1955,Croatia_1956_1965,Croatia_1966_1975,Croatia_1976_1985,Croatia_1986_1995,Croatia_1996_2005,Croatia_2006_2010,Croatia_2011,Croatia_2012,Croatia_2013,Croatia_2014,Croatia_2015,Croatia_2016,Croatia_Yr_arrival_NS,Croatia_Tot,Egypt_Before_1946,Egypt_1946_1955,Egypt_1956_1965,Egypt_1966_1975,Egypt_1976_1985,Egypt_1986_1995,Egypt_1996_2005,Egypt_2006_2010,Egypt_2011,Egypt_2012,Egypt_2013,Egypt_2014,Egypt_2015,Egypt_2016,Egypt_Yr_arrival_NS,Egypt_Tot,Fiji_Before_1946,Fiji_1946_1955,Fiji_1956_1965,Fiji_1966_1975,Fiji_1976_1985,Fiji_1986_1995,Fiji_1996_2005,Fiji_2006_2010,Fiji_2011,Fiji_2012,Fiji_2013,Fiji_2014,Fiji_2015,Fiji_2016,Fiji_Yr_arrival_NS,Fiji_Tot,Germany_Before_1946,Germany_1946_1955,Germany_1956_1965,Germany_1966_1975,Germany_1976_1985,Germany_1986_1995,Germany_1996_2005,Germany_2006_2010,Germany_2011,Germany_2012,Germany_2013,Germany_2014,Germany_2015,Germany_2016,Germany_Yr_arrival_NS,Germany_Tot,Greece_Before_1946,Greece_1946_1955,Greece_1956_1965,Greece_1966_1975,Greece_1976_1985,Greece_1986_1995,Greece_1996_2005,Greece_2006_2010,Greece_2011,Greece_2012,Greece_2013,Greece_2014,Greece_2015,Greece_2016,Greece_Yr_arrival_NS,Greece_Tot,Hng_Kng_SAR_China_Bfre_1946,Hng_Kng_SAR_China_1946_1955,Hng_Kng_SAR_China_1956_1965,Hng_Kng_SAR_China_1966_1975,Hng_Kng_SAR_China_1976_1985,Hng_Kng_SAR_China_1986_1995,Hng_Kng_SAR_China_1996_2005,Hng_Kng_SAR_China_2006_2010,Hong_Kong_SAR_China_2011,Hong_Kong_SAR_China_2012,Hong_Kong_SAR_China_2013,Hong_Kong_SAR_China_2014,Hong_Kong_SAR_China_2015,Hong_Kong_SAR_China_2016,Hng_Kng_SAR_Chna_arrival_ns,Hong_Kong_SAR_China_Tot,India_Before_1946,India_1946_1955,India_1956_1965,India_1966_1975,India_1976_1985,India_1986_1995,India_1996_2005,India_2006_2010,India_2011,India_2012,India_2013,India_2014,India_2015,India_2016,India_Yr_arrival_NS,India_Tot,Indonesia_Before_1946,Indonesia_1946_1955,Indonesia_1956_1965,Indonesia_1966_1975,Indonesia_1976_1985,Indonesia_1986_1995,Indonesia_1996_2005,Indonesia_2006_2010,Indonesia_2011,Indonesia_2012,Indonesia_2013,Indonesia_2014,Indonesia_2015,Indonesia_2016,Indonesia_Yr_arrival_ns,Indonesia_Tot,Iran_Before_1946,Iran_1946_1955,Iran_1956_1965,Iran_1966_1975,Iran_1976_1985,Iran_1986_1995,Iran_1996_2005,Iran_2006_2010,Iran_2011,Iran_2012,Iran_2013,Iran_2014,Iran_2015,Iran_2016,Iran_Yr_arrival_NS,Iran_Tot,Iraq_Before_1946,Iraq_1946_1955,Iraq_1956_1965,Iraq_1966_1975,Iraq_1976_1985,Iraq_1986_1995,Iraq_1996_2005,Iraq_2006_2010,Iraq_2011,Iraq_2012,Iraq_2013,Iraq_2014,Iraq_2015,Iraq_2016,Iraq_Yr_arrival_NS,Iraq_Tot,Ireland_Before_1946,Ireland_1946_1955,Ireland_1956_1965,Ireland_1966_1975,Ireland_1976_1985,Ireland_1986_1995,Ireland_1996_2005,Ireland_2006_2010
SED10011,0,0,7,34,30,24,37,14,7,3,0,0,4,3,3,178,0,10,21,0,12,29,43,40,3,3,4,8,12,9,5,202,0,5,19,30,7,4,0,3,0,0,0,0,0,0,9,69,0,15,18,17,4,3,0,0,0,0,0,0,0,0,0,52,0,3,4,15,11,16,8,0,0,0,3,0,0,0,4,80,0,140,108,84,75,36,47,18,4,3,3,4,4,0,15,533,0,10,29,15,3,0,3,0,0,0,0,0,0,0,4,71,0,0,8,7,18,12,15,5,0,0,4,4,3,0,4,85,3,14,15,54,24,24,25,23,3,11,8,10,17,7,7,244,3,13,16,8,7,7,8,8,0,8,3,9,24,13,3,125,0,0,0,0,4,13,8,3,0,0,0,0,0,0,0,27,0,0,0,0,0,11,0,0,0,3,0,0,0,0,0,14,3,6,25,84,27,43,39,18
SED10012,0,0,0,0,0,5,10,0,0,0,0,0,3,0,0,21,0,6,59,20,357,519,341,241,38,47,47,37,34,17,131,1885,0,20,145,425,26,95,207,7,0,0,3,0,3,0,41,987,0,10,10,17,5,27,17,6,4,0,8,0,5,0,6,120,0,0,0,14,83,204,159,32,6,16,0,5,11,0,16,554,0,72,27,21,11,12,14,7,0,0,0,0,3,0,3,175,0,9,42,49,7,10,13,0,0,0,0,0,8,0,9,155,0,0,0,4,50,84,28,10,0,0,5,0,3,0,11,194,0,0,3,17,19,46,30,85,3,4,10,13,8,15,11,260,0,0,0,10,33,58,27,27,0,0,3,6,4,3,3,186,0,0,0,23,40,66,55,21,17,24,51,11,0,0,17,320,0,0,0,129,238,685,1313,741,155,134,256,118,121,116,50,4057,0,0,6,10,17,4,4,0
SED10013,0,0,0,7,11,21,27,19,0,0,7,4,8,0,3,99,0,3,12,7,59,155,146,136,5,25,27,17,15,9,32,651,3,15,58,115,11,32,25,3,0,0,0,0,0,0,7,279,0,9,15,27,6,37,15,30,4,6,6,5,4,0,6,171,0,0,0,4,39,199,191,65,24,9,13,8,3,4,22,578,0,102,61,39,18,18,21,10,4,3,0,0,0,0,10,300,0,4,34,27,4,5,3,0,0,16,0,0,0,0,8,112,0,3,3,8,11,21,15,7,5,0,3,0,0,0,6,81,0,8,4,42,19,94,161,220,32,24,28,15,19,14,16,704,0,0,6,3,18,14,34,16,0,0,0,3,4,0,4,96,0,0,0,5,8,19,21,19,9,3,0,4,0,0,0,100,0,0,3,23,30,66,125,41,4,8,16,6,0,0,4,331,0,3,13,53,33,42,28,34
SED10014,0,0,3,11,4,5,17,11,0,0,5,0,0,0,0,64,3,3,24,10,16,100,108,107,21,22,20,23,17,9,12,510,0,0,33,80,6,20,17,0,0,4,0,0,0,0,3,167,0,17,10,30,18,93,28,47,14,4,15,7,10,7,9,305,0,0,0,25,70,307,254,87,14,25,9,31,9,4,18,854,0,64,71,47,22,9,26,7,3,0,0,0,0,0,9,252,0,3,42,62,12,7,3,0,0,0,0,0,0,0,5,137,0,0,0,9,26,33,11,13,4,3,3,0,7,3,0,112,0,4,4,73,41,152,214,392,58,48,73,46,32,45,27,1200,0,4,5,3,32,37,96,45,3,4,4,0,0,3,10,254,0,0,0,14,17,11,34,12,11,12,3,0,6,0,4,131,0,0,0,14,5,48,166,82,25,5,19,22,10,0,3,393,0,0,12,57,13,29,17,8
SED10015,3,0,0,8,12,9,15,11,7,0,0,0,4,0,0,70,3,22,47,61,241,1849,2240,1683,281,308,375,397,363,196,377,8444,0,3,36,62,4,15,15,0,0,0,0,3,0,0,4,141,0,17,65,153,30,71,51,25,6,13,6,4,0,0,14,460,0,0,7,18,110,197,100,34,15,10,8,3,4,7,27,547,0,27,20,28,18,12,16,11,0,3,0,0,4,0,3,159,5,241,1725,1240,164,74,52,29,11,61,38,48,33,12,176,3903,0,5,10,49,176,226,113,39,9,17,21,13,10,11,18,701,0,0,7,41,29,93,222,503,46,48,69,127,97,66,46,1396,0,0,11,22,129,187,322,217,35,25,17,31,42,16,26,1079,0,0,0,0,6,18,28,21,8,9,17,3,0,0,0,110,0,0,4,0,3,12,39,15,5,0,3,3,3,0,0,89,0,0,8,31,14,26,39,22
SED10016,0,3,0,11,13,21,35,20,0,7,0,7,3,0,11,133,4,11,44,13,53,520,1089,735,105,156,119,149,151,48,123,3312,0,3,44,95,7,25,8,0,0,0,0,0,0,0,3,187,0,8,20,70,27,90,65,36,3,14,10,6,0,0,4,356,0,0,9,17,69,166,107,23,0,0,0,4,3,3,8,411,0,81,44,35,30,18,36,15,3,7,0,4,7,4,9,302,0,13,44,44,4,0,4,4,0,0,0,0,0,0,6,124,0,0,9,28,85,328,102,38,0,10,15,4,15,3,8,647,0,7,7,123,117,495,755,454,66,58,74,43,51,30,49,2330,0,3,3,22,48,74,208,30,13,0,3,10,7,4,8,440,0,0,3,11,57,249,226,183,41,51,33,15,31,3,17,922,0,0,0,9,10,25,30,3,3,3,0,3,0,0,0,92,0,6,17,44,19,63,35,35
SED10017,0,0,0,10,6,8,7,14,7,0,3,0,0,0,3,63,0,3,4,0,10,11,23,41,0,6,6,9,5,0,8,117,0,0,6,9,0,0,4,7,0,0,0,0,0,0,0,29,0,3,4,0,0,3,3,0,0,0,0,0,0,0,0,17,0,3,0,3,3,19,9,13,0,0,0,0,3,0,10,63,0,137,54,11,6,11,6,6,4,0,0,0,0,0,24,255,0,3,3,0,0,0,0,0,0,0,0,0,0,0,3,16,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,19,0,3,3,14,7,8,31,113,12,18,9,9,12,6,13,253,0,0,0,8,4,3,15,0,4,3,3,0,0,0,3,40,0,0,0,0,0,3,3,4,0,0,0,0,0,0,3,17,0,0,0,0,0,0,4,4,0,0,0,0,9,0,0,16,0,0,14,17,3,6,10,9
SED10018,0,0,3,12,8,24,22,21,0,10,0,6,0,3,4,120,0,0,4,8,17,27,57,54,5,11,3,15,11,13,17,237,0,3,13,12,0,0,0,0,0,0,0,0,0,0,0,40,0,3,3,14,0,3,3,5,0,0,0,3,0,0,0,31,0,0,0,5,8,16,9,4,0,0,4,0,0,0,3,53,0,176,48,8,14,17,20,13,6,3,4,4,3,6,13,341,0,33,29,30,4,5,0,0,0,0,0,0,0,0,4,98,0,0,0,15,20,12,3,11,0,0,3,3,3,0,7,72,0,3,3,23,8,34,62,69,11,12,12,12,10,5,10,271,0,5,0,0,0,8,18,14,0,0,0,0,5,0,4,63,0,0,0,0,3,0,3,13,0,5,0,0,0,3,0,27,0,0,0,0,0,6,0,4,0,0,0,0,0,0,0,8,0,0,14,8,14,17,29,27
SED10019,0,0,7,18,19,5,10,6,3,4,6,3,0,0,3,76,0,0,0,0,4,4,11,22,3,8,0,8,5,3,4,76,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,7,0,3,7,3,0,0,0,0,0,0,0,0,0,0,0,18,0,0,3,3,0,4,3,7,3,0,0,3,0,0,5,38,0,66,53,22,20,12,13,6,0,0,0,0,0,0,9,202,0,7,6,8,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,3,4,11,9,7,0,0,0,0,0,0,0,31,0,4,3,11,3,3,7,38,8,3,3,7,6,3,4,103,0,3,3,3,0,0,3,3,0,0,0,3,0,0,3,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,7,20,5,7,4,9
SED10020,3,3,5,29,29,19,20,17,3,0,0,0,3,3,0,135,0,4,8,0,3,19,19,27,7,8,0,4,13,3,6,129,0,7,4,15,0,0,3,0,0,0,0,0,0,0,0,24,0,9,10,4,0,3,5,9,0,3,6,0,4,0,3,52,0,0,7,13,12,11,23,5,0,3,0,5,0,0,0,77,0,89,83,42,44,40,36,16,3,3,0,5,3,3,11,374,0,3,8,4,3,0,0,0,0,0,0,0,0,0,0,21,0,0,4,11,8,8,3,0,0,0,0,6,9,3,5,59,0,21,27,73,55,105,88,348,12,35,82,74,38,31,47,1041,0,4,3,0,9,3,3,4,0,3,3,3,0,0,0,43,0,0,0,0,0,0,0,0,0,4,6,13,0,0,0,44,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,13,0,7,13,25,7,12,30,40
SED10021,0,0,8,25,35,35,87,76,23,16,21,30,29,26,15,437,4,22,33,20,25,249,238,188,47,61,95,166,226,228,93,1699,0,9,23,34,3,7,5,0,0,0,0,0,0,0,3,86,0,29,55,35,10,7,3,6,0,0,0,0,0,0,6,157,3,0,3,12,34,47,22,10,3,3,7,3,0,0,4,145,17,58,60,43,45,49,123,110,29,35,20,20,32,29,16,683,6,67,187,74,13,4,7,9,0,4,3,0,3,3,17,393,0,3,11,36,63,99,54,25,6,16,16,9,20,3,19,380,0,3,20,75,41,40,56,90,16,37,32,44,42,46,21,570,0,4,14,15,33,50,93,46,10,15,25,12,13,13,10,346,0,0,0,6,11,26,16,20,4,3,13,11,0,3,0,115,0,0,4,20,9,16,13,3,0,0,3,0,0,0,0,79,0,7,25,71,45,131,287,614
SED10022,0,0,4,4,0,3,7,15,0,0,0,0,3,0,4,54,3,0,5,3,4,24,19,12,4,5,3,4,0,14,19,117,0,0,8,19,0,0,0,0,0,0,0,0,0,0,0,29,0,6,4,0,0,0,0,3,0,0,0,0,0,0,0,13,0,0,3,3,4,9,4,3,0,0,0,0,0,0,0,29,0,65,34,16,12,9,4,3,3,0,0,0,3,3,6,157,0,0,9,5,0,0,0,0,0,0,0,0,0,0,0,21,0,3,0,0,3,5,4,3,0,0,0,3,5,0,3,35,0,4,0,6,4,4,14,50,12,16,13,18,11,3,11,164,0,5,3,0,0,0,3,5,0,0,0,0,0,0,3,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,6,0,8,8,9,4,3,6,3
SED10023,0,3,6,22,26,24,54,18,5,9,4,12,3,7,3,190,0,11,9,10,11,107,163,87,13,19,22,12,28,10,14,512,0,5,29,54,7,12,0,0,0,0,0,0,0,0,3,114,0,28,50,44,14,18,13,3,0,0,3,3,0,0,13,201,0,0,3,8,19,16,10,3,0,0,3,0,0,0,0,65,0,61,67,38,36,11,34,26,9,7,0,11,3,0,3,308,0,20,117,75,12,5,8,0,0,4,3,0,0,0,10,256,0,0,8,14,24,40,24,7,0,0,3,4,4,3,4,130,0,9,8,48,8,13,19,37,16,17,11,5,8,5,5,208,0,0,10,6,18,16,33,10,5,4,0,0,0,0,4,119,0,0,0,4,0,6,0,12,3,0,0,0,0,0,0,34,0,0,0,0,0,8,3,0,0,0,0,0,0,0,0,8,0,3,15,35,26,70,38,38
