SED_CODE_2016,Neg_Nil_inc_cpl_fam_no_child,Neg_Nil_inc_cpl_fam_wth_chld,Neg_Nil_inc_One_parent_fam,Neg_Nil_inc_Other_fam,Neg_Nil_inc_Tot,FI_1_149_cpl_fam_no_child,FI_1_149_cpl_fam_with_child,FI_1_149_One_parent_fam,FI_1_149_Other_fam,FI_1_149_Tot,FI_150_299_cpl_fam_no_child,FI_150_299_cpl_fam_with_child,FI_150_299_One_parent_fam,FI_150_299_Other_fam,FI_150_299_Tot,FI_300_399_cpl_fam_no_child,FI_300_399_cpl_fam_with_child,FI_300_399_One_parent_fam,FI_300_399_Other_fam,FI_300_399_Tot,FI_400_499_cpl_fam_no_child,FI_400_499_cpl_fam_with_child,FI_400_499_One_parent_fam,FI_400_499_Other_fam,FI_400_499_Tot,FI_500_649_cpl_fam_no_child,FI_500_649_cpl_fam_with_child,FI_500_649_One_parent_fam,FI_500_649_Other_fam,FI_500_649_Tot,FI_650_799_cpl_fam_no_child,FI_650_799_cpl_fam_with_child,FI_650_799_One_parent_fam,FI_650_799_Other_fam,FI_650_799_Tot,FI_800_999_cpl_fam_no_child,FI_800_999_cpl_fam_wth_chld,FI_800_999_One_parent_fam,FI_800_999_Other_fam,FI_800_999_Tot,FI_1000_1249_cpl_fam_no_child,FI_1000_1249_cpl_fam_wth_chld,FI_1000_1249_One_parent_fam,FI_1000_1249_Other_fam,FI_1000_1249_Tot,FI_1250_1499_cpl_fam_no_child,FI_1250_1499_cpl_fam_wth_chld,FI_1250_1499_One_parent_fam,FI_1250_1499_Other_fam,FI_1250_1499_Tot,FI_1500_1749_cpl_fam_no_child,FI_1500_1749_cpl_fam_wth_chld,FI_1500_1749_One_parent_fam,FI_1500_1749_Other_fam,FI_1500_1749_Tot,FI_1750_1999_cpl_fam_no_child,FI_1750_1999_cpl_fam_wth_chld,FI_1750_1999_One_parent_fam,FI_1750_1999_Other_fam,FI_1750_1999_Tot,FI_2000_2499_cpl_fam_no_child,FI_2000_2499_cpl_fam_wth_chld,FI_2000_2499_One_parent_fam,FI_2000_2499_Other_fam,FI_2000_2499_Tot,FI_2500_2999_cpl_fam_no_child,FI_2500_2999_cpl_fam_wth_chld,FI_2500_2999_One_parent_fam,FI_2500_2999_Other_fam,FI_2500_2999_Tot,FI_3000_3499_cpl_fam_no_child,FI_3000_3499_cpl_fam_wth_chld,FI_3000_3499_One_parent_fam,FI_3000_3499_Other_fam,FI_3000_3499_Tot,FI_3500_3999_cpl_fam_no_child,FI_3500_3999_cpl_fam_wth_chld,FI_3500_3999_One_parent_fam,FI_3500_3999_Other_fam,FI_3500_3999_Tot,FI_4000_more_cpl_fam_no_child,FI_4000_more_cpl_fam_wth_chld,FI_4000_more_One_parent_fam,FI_4000_more_Other_fam,FI_4000_more_Tot,Prt_inc_std_cpl_fam_no_child,Part_inc_std_cpl_fam_wth_chld,Part_inc_statd_One_parent_fam,Partial_income_statd_Othr_fam,Partial_income_stated_Tot,All_inc_ns_cpl_fam_no_child,All_inc_ns_cpl_fam_wth_chld,All_incomes_ns_One_parent_fam,All_incomes_ns_Other_fam,All_incomes_ns_Tot,Tot_cpl_fam_no_child,Tot_cpl_fam_wth_chld,Tot_One_parent_fam,Tot_Other_fam,Tot_Tot
SED10011,59,23,24,0,108,36,9,22,3,68,49,7,52,5,116,26,6,89,4,123,244,39,156,7,448,190,58,287,10,541,845,106,315,29,1296,636,190,326,24,1174,847,415,365,29,1662,719,523,249,26,1513,468,562,208,10,1246,503,576,162,6,1256,876,1341,245,12,2470,623,1151,117,7,1896,365,763,31,3,1159,251,527,37,0,817,391,1006,30,3,1429,466,987,253,16,1725,100,65,51,11,219,7687,8365,3018,202,19275
SED10012,229,123,217,12,585,75,49,76,13,206,67,112,308,10,506,57,85,263,13,419,407,233,358,24,1028,221,346,495,23,1076,1023,560,506,45,2142,369,713,533,73,1690,429,990,504,56,1982,346,939,400,39,1726,248,810,300,29,1383,191,747,256,21,1218,323,1313,308,37,1981,176,877,142,17,1214,92,597,72,8,769,56,359,51,5,467,74,573,60,8,710,293,1118,351,33,1796,110,137,102,9,350,4802,10685,5302,467,21252
SED10013,127,40,50,3,226,42,16,15,0,77,38,31,52,9,123,17,16,87,0,119,249,42,158,7,450,125,84,241,6,455,727,148,276,17,1172,393,275,326,16,1008,552,477,362,21,1413,507,727,293,23,1555,392,866,255,21,1534,420,959,196,22,1597,1141,2149,311,30,3632,809,1889,145,26,2869,439,1375,77,11,1905,265,937,48,3,1260,359,1719,62,11,2147,361,1292,294,9,1962,138,128,58,11,328,7100,13170,3316,245,23832
SED10014,117,35,78,3,237,38,19,37,5,98,42,43,125,3,213,30,29,187,6,247,286,111,346,3,750,171,145,538,15,872,854,224,553,33,1667,475,400,501,32,1404,587,651,523,44,1805,571,773,428,24,1802,422,782,263,27,1500,424,765,224,24,1442,805,1513,297,42,2665,416,1045,165,20,1643,195,664,65,9,943,110,408,40,5,563,128,669,55,7,857,346,984,436,17,1779,113,97,124,10,341,6133,9352,4983,344,20819
SED10015,317,95,135,21,566,114,26,42,4,188,88,73,129,9,294,64,43,105,8,222,492,159,202,20,869,217,247,299,27,795,1063,381,352,33,1835,537,609,376,46,1571,608,880,436,58,1981,590,905,383,59,1938,369,786,300,40,1488,364,757,214,28,1371,740,1567,306,51,2665,477,1075,151,38,1738,291,755,59,15,1123,170,554,53,3,787,295,1196,75,12,1579,489,1193,332,26,2033,131,112,54,11,313,7407,11416,4005,514,23349
SED10016,211,51,59,10,326,65,18,19,3,113,46,27,39,3,116,14,19,39,0,75,227,39,74,4,338,105,91,103,3,298,478,112,129,10,726,394,204,185,7,790,526,373,196,15,1110,470,450,186,13,1119,320,522,167,12,1016,299,636,152,18,1103,668,1709,279,21,2679,511,1539,114,20,2183,383,1408,56,5,1851,270,1218,59,8,1553,602,3569,103,14,4290,339,1506,217,4,2068,101,102,30,3,231,6030,13575,2208,167,21984
SED10017,85,22,51,4,160,58,8,22,3,96,54,27,100,11,194,31,13,186,3,238,357,49,315,18,743,208,87,488,12,793,1283,189,536,36,2036,594,314,473,52,1434,641,591,434,38,1712,681,752,256,21,1708,400,755,207,22,1384,419,812,153,24,1405,824,1411,151,17,2395,452,1079,52,8,1585,243,601,18,8,873,115,362,22,0,496,198,596,20,0,824,444,958,339,12,1746,142,81,119,11,357,7241,8694,3961,284,20184
SED10018,50,8,26,3,91,45,7,30,3,90,45,13,74,5,148,24,6,104,0,128,286,28,197,16,524,160,51,322,8,538,1170,141,374,29,1715,612,200,372,41,1226,756,385,451,22,1609,690,522,282,30,1531,373,511,222,20,1117,425,606,206,19,1249,775,1353,264,24,2416,521,1221,88,9,1840,333,945,36,3,1323,194,539,31,0,769,348,1144,33,0,1534,469,983,309,13,1780,109,70,52,4,240,7402,8741,3473,252,19865
SED10019,93,28,42,4,165,77,15,22,4,121,61,29,108,3,204,43,11,181,0,240,612,64,280,31,994,313,122,496,15,934,1985,243,511,38,2777,944,387,508,58,1892,1038,699,388,44,2169,881,712,227,31,1851,421,614,136,11,1179,473,582,119,11,1180,672,849,104,7,1636,316,544,38,4,896,134,291,7,4,443,76,160,13,0,251,139,193,9,3,351,553,877,326,27,1777,209,66,106,10,388,9048,6485,3621,300,19459
SED10020,93,33,47,0,174,33,16,30,0,79,49,22,83,5,150,34,4,139,0,179,429,62,238,13,744,244,79,442,20,782,1392,192,501,22,2107,833,312,496,40,1676,916,579,439,36,1970,875,686,307,28,1902,480,652,172,6,1311,485,588,128,13,1212,755,1103,153,12,2026,424,715,45,3,1182,200,441,11,0,660,98,284,13,0,402,218,387,18,3,631,509,912,329,8,1764,159,62,98,3,328,8228,7141,3699,210,19270
SED10021,100,31,61,13,206,39,5,16,3,65,34,15,49,6,101,16,12,48,4,75,117,23,78,10,228,98,40,121,19,277,314,52,132,26,520,236,101,170,24,530,366,163,213,31,782,393,236,213,37,876,328,250,183,34,787,392,281,157,24,859,968,715,291,62,2035,956,703,105,36,1801,726,651,49,39,1463,605,867,157,18,1645,1751,3386,104,34,5274,696,1037,233,19,1986,92,57,37,7,195,8226,8611,2407,450,19692
SED10022,82,27,54,3,163,70,6,15,3,99,71,34,105,0,210,43,23,158,4,227,447,84,248,12,795,239,101,369,16,721,1559,171,391,32,2145,700,340,378,53,1469,982,611,298,44,1940,825,702,200,31,1756,430,587,102,9,1133,499,571,80,11,1163,707,979,94,15,1798,363,580,32,3,975,191,359,16,0,559,120,194,29,0,343,251,336,18,0,601,543,1008,249,22,1830,263,77,83,19,435,8387,6783,2914,275,18364
SED10023,92,20,35,4,150,49,8,24,0,89,31,23,36,3,91,20,10,53,0,85,177,26,94,10,302,124,31,133,8,294,554,52,147,14,769,448,119,212,14,792,587,208,272,28,1099,600,317,201,34,1151,374,337,190,21,935,418,472,169,23,1083,926,1122,261,28,2334,711,1143,152,31,2036,496,1019,68,12,1597,350,884,58,4,1303,774,2803,89,6,3679,476,1297,274,9,2055,104,96,45,0,241,7318,9982,2519,248,20068
SED10024,201,77,99,18,394,82,22,21,3,128,51,16,50,12,123,22,14,25,0,61,171,42,46,8,262,131,64,90,9,290,413,95,105,4,621,329,146,122,17,621,559,246,179,24,1006,485,298,167,18,972,311,351,150,14,828,364,389,142,9,905,683,986,241,22,1940,562,922,114,19,1614,367,913,53,11,1340,328,1183,126,4,1649,1135,5028,155,7,6323,423,1669,234,11,2347,99,116,23,4,247,6710,12590,2154,211,21668
SED10025,268,62,85,33,448,87,15,27,6,136,53,17,58,3,138,29,12,72,4,115,300,44,75,6,438,149,74,128,19,377,649,112,155,19,932,379,190,226,36,835,539,336,269,44,1193,530,388,211,32,1156,353,372,217,23,970,451,436,151,42,1082,965,1145,328,51,2501,765,943,150,29,1887,601,809,58,19,1488,531,924,126,17,1589,1358,2929,95,29,4409,550,1100,263,17,1932,103,70,26,5,201,8663,9990,2728,439,21821
SED10026,80,21,33,6,144,56,11,23,3,93,40,26,111,8,190,41,16,160,3,214,365,48,267,20,696,168,90,435,10,701,1078,188,430,36,1733,555,293,418,43,1312,740,521,400,45,1706,707,614,263,38,1624,427,598,139,13,1177,490,625,131,19,1264,849,1129,175,21,2174,503,919,56,11,1485,306,563,19,0,895,142,347,18,0,518,341,585,13,8,939,562,1150,338,21,2071,197,84,124,16,420,7652,7832,3558,318,19355
SED10027,176,49,85,4,312,69,14,35,5,123,57,61,110,6,229,39,41,99,3,183,318,105,173,14,606,157,169,267,13,598,891,275,323,27,1516,404,377,342,36,1153,502,608,366,46,1518,417,737,289,34,1475,285,719,226,28,1257,317,729,210,27,1281,630,1696,300,48,2674,388,1249,154,23,1809,257,920,96,15,1281,145,626,58,11,846,264,1264,62,9,1596,338,1073,294,20,1720,107,115,60,0,281,5745,10829,3524,373,20469
SED10028,288,86,114,12,500,106,22,43,8,181,60,32,62,6,161,28,22,53,0,105,221,77,69,13,375,127,112,107,13,358,550,178,118,17,860,414,270,143,14,840,559,430,200,26,1209,544,471,178,20,1209,309,504,184,20,1012,323,583,150,15,1072,662,1439,255,29,2387,490,1285,154,25,1957,322,1093,75,10,1495,261,1106,83,4,1458,721,3601,109,11,4446,409,1482,213,10,2107,85,78,19,3,185,6487,12861,2325,256,21932
SED10029,205,159,159,16,535,70,58,55,12,193,92,115,251,12,475,46,78,196,6,333,462,343,356,32,1204,200,428,419,41,1084,1080,723,547,62,2410,393,906,564,87,1950,455,1089,553,64,2161,386,1005,403,65,1851,209,787,304,42,1345,205,804,253,39,1296,398,1207,318,47,1971,175,852,130,21,1181,101,503,73,17,697,51,287,46,7,390,81,427,57,4,571,300,1169,407,22,1900,117,172,136,12,446,5038,11107,5225,604,21976
SED10030,91,17,50,4,165,56,14,32,5,112,50,20,96,3,168,30,13,120,0,162,331,48,220,10,616,182,82,411,15,695,1130,135,401,39,1702,695,260,460,60,1464,818,486,459,50,1810,685,624,334,36,1679,427,606,231,19,1273,451,603,192,12,1254,811,1284,210,20,2329,479,908,96,21,1503,297,532,42,0,875,189,357,33,0,578,330,613,29,6,975,488,873,358,17,1736,178,74,68,8,328,7702,7559,3845,328,19442
SED10031,105,21,38,0,158,69,19,29,3,115,50,11,77,7,146,37,15,105,6,164,371,42,196,12,619,205,75,311,10,596,1078,125,309,18,1532,709,272,331,31,1341,884,455,315,35,1689,822,561,246,25,1660,473,602,158,21,1253,546,589,135,13,1283,952,1235,181,19,2386,585,955,64,15,1619,381,629,32,0,1042,231,413,30,3,679,503,900,36,10,1449,653,1069,283,14,2011,199,82,72,7,360,8855,8062,2951,239,20108
SED10032,238,154,117,15,523,70,50,44,0,164,73,92,138,8,314,56,69,137,6,277,357,289,237,22,912,189,359,320,20,885,812,579,350,52,1798,428,758,360,63,1607,570,1041,417,51,2085,491,1029,318,66,1904,376,909,257,50,1594,332,876,202,38,1450,707,1599,268,65,2637,356,1016,121,34,1532,218,678,66,25,984,105,444,34,0,586,151,814,54,14,1039,379,1227,337,28,1969,115,136,93,12,360,6027,12134,3864,576,22608
SED10033,102,24,49,0,175,60,6,27,3,97,36,13,62,3,122,26,8,95,0,130,249,37,175,8,472,126,62,249,9,452,663,98,288,18,1067,449,232,294,24,991,614,435,332,27,1405,553,589,272,19,1429,393,717,193,18,1317,444,730,176,17,1364,871,1469,261,29,2630,564,1246,118,4,1931,341,847,58,3,1243,215,634,52,3,901,380,1298,48,4,1726,412,1157,270,13,1853,114,123,69,10,316,6605,9724,3085,198,19620
SED10034,82,21,41,3,139,54,4,21,0,79,36,11,40,3,87,22,8,60,0,85,226,28,93,7,353,139,48,152,5,349,677,74,217,12,976,481,142,254,14,897,660,321,337,26,1347,616,462,237,19,1340,369,566,214,17,1168,390,699,195,15,1304,931,1678,292,41,2940,628,1698,155,21,2512,428,1309,83,10,1826,313,870,68,3,1257,444,2052,78,6,2580,412,1200,280,10,1898,92,81,42,9,227,7009,11275,2840,231,21361
SED10035,409,52,93,100,653,87,10,32,17,151,66,19,81,22,190,60,11,79,6,154,281,66,151,37,528,185,99,179,31,497,588,169,206,42,1004,381,251,264,53,951,534,392,278,68,1270,609,433,251,71,1359,487,483,204,60,1238,553,459,175,53,1231,1479,1033,264,101,2880,1327,887,119,71,2412,1025,735,51,45,1857,831,566,97,26,1514,1607,1720,70,40,3430,867,798,242,23,1933,115,65,52,11,243,11492,8246,2880,893,23506
SED10036,155,64,66,0,296,54,28,31,3,116,41,47,89,5,187,42,44,119,6,208,270,142,166,10,593,134,188,234,13,567,699,287,324,17,1328,331,487,342,20,1184,420,718,363,37,1537,388,869,325,28,1610,256,902,219,20,1404,292,933,183,19,1435,678,1923,275,49,2914,465,1565,134,18,2179,273,1091,69,3,1432,162,739,66,0,970,216,1437,59,11,1715,333,1321,267,15,1933,111,114,81,12,322,5315,12910,3402,303,21925
SED10037,169,40,47,6,265,86,14,25,0,116,59,37,53,3,150,26,21,40,0,89,221,55,89,16,380,116,77,144,12,351,570,139,185,9,909,454,219,194,17,886,619,380,287,36,1322,559,530,272,24,1379,392,560,210,27,1186,411,634,180,20,1246,782,1663,273,41,2758,589,1424,133,23,2163,398,1203,73,7,1682,292,976,65,7,1344,668,2715,69,6,3459,419,1363,285,15,2082,79,84,32,9,207,6898,12125,2651,288,21968
SED10038,96,20,49,4,170,63,8,28,3,109,51,24,91,4,168,26,10,91,3,133,320,58,192,12,587,183,88,292,12,576,1046,129,334,27,1533,565,225,328,44,1156,711,369,388,38,1508,595,509,280,20,1405,358,527,208,18,1113,382,688,179,14,1254,766,1420,263,23,2473,576,1340,111,20,2044,377,971,49,6,1397,239,689,37,3,968,411,1554,48,9,2018,496,1142,326,14,1984,145,61,67,5,273,7415,9826,3368,273,20880
SED10039,88,14,38,0,148,62,12,23,3,100,52,15,80,3,144,31,12,121,3,158,351,37,154,8,557,224,65,297,15,603,1215,134,296,26,1671,720,219,330,25,1295,923,423,339,27,1708,781,605,240,16,1644,473,622,164,7,1264,490,666,146,9,1308,845,1293,162,17,2320,510,1029,65,7,1615,287,634,21,3,939,170,424,17,0,619,315,775,35,3,1124,571,1067,282,10,1929,140,66,52,4,264,8252,8110,2875,177,19412
SED10040,449,81,166,32,725,171,27,46,13,255,117,66,115,20,312,76,65,110,13,268,464,147,179,21,807,257,256,294,21,832,1003,414,326,28,1772,522,581,367,66,1534,706,781,390,80,1961,677,830,302,69,1871,462,789,275,34,1562,466,845,227,33,1579,905,1656,288,70,2920,514,1155,161,30,1866,294,829,59,17,1201,204,539,55,10,810,302,1184,51,19,1567,479,1226,294,28,2027,117,96,54,12,274,8187,11572,3753,620,24127
SED10041,199,71,110,16,392,75,21,45,15,150,50,26,62,5,139,20,19,51,0,92,170,41,66,3,280,107,74,113,8,310,365,102,110,10,589,338,175,170,19,697,501,291,223,24,1039,495,328,183,25,1027,341,367,163,14,881,405,431,147,22,1004,776,1125,249,36,2190,633,935,131,20,1714,463,868,55,13,1391,379,1167,123,9,1684,1245,4581,116,18,5965,443,1534,242,13,2229,87,101,22,4,203,7099,12245,2375,269,21989
SED10042,76,22,38,0,145,59,16,28,0,105,50,14,93,4,163,44,9,120,6,175,347,40,231,12,632,196,62,404,19,682,1342,142,409,21,1917,765,281,393,22,1465,935,496,451,38,1919,775,586,312,29,1701,459,617,211,12,1305,447,635,130,20,1230,870,1240,190,14,2315,555,927,77,3,1566,239,627,27,3,891,170,340,23,0,528,271,640,28,3,943,468,973,316,16,1772,166,71,76,6,323,8235,7750,3559,233,19772
SED10043,202,184,144,14,555,85,51,52,5,203,82,120,174,16,393,62,98,154,3,322,435,350,271,21,1082,251,526,379,23,1178,945,819,440,40,2253,417,1044,372,55,1893,456,1323,389,63,2232,436,1171,283,62,1947,240,940,216,33,1433,266,788,159,35,1243,413,1309,214,47,1984,193,764,144,23,1121,97,514,48,26,678,70,359,41,7,475,74,570,56,6,707,364,1322,311,24,2028,106,168,102,8,386,5203,12414,3971,511,22103
SED10044,141,51,91,10,294,59,13,25,3,100,28,14,53,6,105,16,16,44,3,76,180,39,65,8,294,104,58,115,18,289,431,83,149,25,685,336,123,183,32,675,421,225,231,44,919,445,314,175,23,960,332,350,165,29,870,417,412,155,30,1010,955,1016,257,51,2287,804,868,127,46,1846,636,833,50,14,1532,490,926,154,9,1576,1482,4123,146,23,5772,534,1289,234,23,2080,92,93,45,4,238,7916,10833,2454,396,21595
SED10045,68,24,44,4,134,75,16,36,0,128,69,31,112,6,225,39,14,166,0,224,418,83,331,12,846,282,113,516,20,933,1367,251,510,42,2167,791,341,482,34,1651,918,673,417,42,2053,830,696,280,24,1831,464,621,210,14,1310,508,579,122,14,1219,721,964,144,10,1845,326,566,43,7,941,161,316,14,0,485,89,176,23,0,288,190,283,15,3,491,533,826,376,22,1760,178,73,79,11,334,8035,6643,3913,274,18864
SED10046,180,103,127,13,426,57,40,47,6,151,57,96,168,8,332,57,47,208,8,309,343,286,329,15,971,164,339,483,21,1002,775,551,506,47,1879,357,729,549,37,1675,394,1067,511,48,2028,393,1041,390,31,1861,282,974,276,20,1549,241,889,220,33,1384,506,1724,277,43,2548,285,1166,146,18,1615,140,715,77,10,938,76,432,50,0,564,93,697,53,7,847,284,1272,424,38,2016,128,140,144,11,417,4799,12301,4990,418,22509
SED10047,130,46,94,3,279,44,17,43,6,105,47,28,155,7,236,29,27,209,5,269,342,88,355,15,804,143,110,570,12,838,928,283,621,43,1871,477,434,559,41,1518,551,744,626,59,1984,605,943,499,38,2089,416,919,309,36,1681,455,912,258,37,1664,957,1796,356,58,3170,498,1263,147,26,1932,254,716,66,9,1046,121,452,42,3,614,148,655,44,11,855,379,1065,471,24,1948,160,144,157,17,477,6686,10652,5588,450,23379
SED10048,163,61,74,8,307,104,15,28,6,150,48,39,118,12,213,49,26,159,3,239,270,112,270,18,674,174,176,386,14,748,748,355,458,13,1582,425,563,437,29,1462,526,921,452,36,1935,502,1002,357,33,1889,415,994,301,27,1736,405,1010,235,29,1673,839,1960,307,33,3141,494,1343,129,26,1993,238,869,82,11,1196,136,556,33,3,728,172,925,45,3,1148,320,1207,367,16,1909,98,135,116,15,360,6120,12266,4364,328,23081
