SED_CODE_2016,R_0_74_LT_Real_estate_agent,R_0_74_LT_Ste_terr_hsg_auth,R_0_74_LT_Psn_not_Sme_hhd,R_0_74_LT_hs_coop_com_ch_g,R_0_74_LT_Other_Lld_type,R_0_74_LT_Lld_type_ns,R_0_74_Tot,R_75_99_LT_Real_estate_agent,R_75_99_LT_Ste_terr_hsg_auth,R_75_99_LT_Psn_not_Sme_hhd,R_75_99_LT_hs_coop_com_ch_g,R_75_99_LT_Other_Lld_type,R_75_99_LT_Lld_type_ns,R_75_99_Tot,R_100_149_LT_Real_eSte_agent,R_100_149_LT_St_ter_hsg_aut,R_100_149_LT_Psn_not_Sme_hhd,R_100_149_LT_hs_coop_com_ch_g,R_100_149_LT_Other_Lld_type,R_100_149_LT_Lld_type_ns,R_100_149_Tot,R_150_199_LT_Real_eSte_agent,R_150_199_LT_Ste_ter_hsg_aut,R_150_199_LT_Psn_not_Sme_hhd,R_150_199_LT_hs_coop_com_ch_g,R_150_199_LT_Other_Lld_type,R_150_199_LT_Lld_type_ns,R_150_199_Tot,R_200_224_LT_Real_eSte_agent,R_200_224_LT_Ste_ter_hsg_aut,R_200_224_LT_Psn_not_Sme_hhd,R_200_224_LT_hs_coop_com_ch_g,R_200_224_LT_Other_Lld_type,R_200_224_LT_Lld_type_ns,R_200_224_Tot,R_225_274_LT_Real_eSte_agent,R_225_274_LT_Ste_ter_hsg_aut,R_225_274_LT_Psn_not_Sme_hhd,R_225_274_LT_hs_coop_com_ch_g,R_225_274_LT_Other_Lld_type,R_225_274_LT_Lld_type_ns,R_225_274_Tot,R_275_349_LT_Real_eSte_agent,R_275_349_LT_Ste_ter_hsg_aut,R_275_349_LT_Psn_not_Sme_hhd,R_275_349_LT_hs_coop_com_ch_g,R_275_349_LT_Other_Lld_type,R_275_349_LT_Lld_type_ns,R_275_349_Tot,R_350_449_LT_Real_eSte_agent,R_350_449_LT_Ste_ter_hsg_aut,R_350_449_LT_Psn_not_Sme_hhd,R_350_449_LT_hs_coop_com_ch_g,R_350_449_LT_Other_Lld_type,R_350_449_LT_Lld_type_ns,R_350_449_Tot,R_450_549_LT_Real_eSte_agent,R_450_549_LT_Ste_ter_hsg_aut,R_450_549_LT_Psn_not_Sme_hhd,R_450_549_LT_hs_coop_com_ch_g,R_450_549_LT_Other_Lld_type,R_450_549_LT_Lld_type_ns,R_450_549_Tot,R_550_649_LT_Real_eSte_agent,R_550_649_LT_Ste_ter_hsg_aut,R_550_649_LT_Psn_not_Sme_hhd,R_550_649_LT_hs_coop_com_ch_g,R_550_649_LT_Other_Lld_type,R_550_649_LT_Lld_type_ns,R_550_649_Tot,R_650_749_LT_Real_eSte_agent,R_650_749_LT_Ste_ter_hsg_aut,R_650_749_LT_Psn_not_Sme_hhd,R_650_749_LT_hs_coop_com_ch_g,R_650_749_LT_Other_Lld_type,R_650_749_LT_Lld_type_ns,R_650_749_Tot,R_750_849_LT_Real_eSte_agent,R_750_849_LT_Ste_ter_hsg_aut,R_750_849_LT_Psn_not_Sme_hhd,R_750_849_LT_hs_coop_com_ch_g,R_750_849_LT_Other_Lld_type,R_750_849_LT_Lld_type_ns,R_750_849_Tot,R_850_949_LT_Real_estat_agent,R_850_949_LT_Ste_ter_hsg_aut,R_850_949_LT_Psn_not_Sme_hhd,R_850_949_LT_hs_coop_com_ch_g,R_850_949_LT_Other_Lld_type,R_850_949_LT_Lld_type_ns,R_850_949_Tot,R_950_over_LT_Real_eSte_agent,R_950_over_LT_Ste_ter_hsg_aut,R_950_over_LT_Psn_not_Sme_hhd,R_950_ovr_LT_hs_coop_com_ch_g,R_950_over_LT_Other_Lld_type,R_950_over_LT_Lld_type_ns,R_950_over_Tot,Rent_ns_LT_Real_eSte_agent,Rent_ns_LT_Ste_ter_hsg_auth,Rent_ns_LT_Psn_not_Sme_hhd,Rent_ns_LT_hs_coop_com_ch_g,Rent_ns_LT_Other_Lld_type,Rent_ns_LT_Lld_type_ns,Rent_ns_Tot,Tot_LT_Real_eSte_agent,Tot_LT_Ste_ter_hsg_auth,Tot_LT_Psn_not_Sme_hhd,Tot_LT_hs_coop_com_ch_g,Tot_LT_Other_Lld_type,Tot_LT_Lld_type_ns,Tot_Tot
SED10021,20,64,143,14,10,117,359,3,61,0,15,3,0,80,24,488,30,12,0,4,562,31,152,29,41,3,0,261,30,69,48,3,7,0,153,82,50,82,17,32,0,268,268,44,113,13,32,3,472,891,20,259,7,29,8,1217,2234,21,373,6,14,5,2659,2953,4,449,5,24,3,3444,1824,0,306,0,11,6,2153,952,0,176,3,11,4,1149,580,0,117,0,10,0,706,1155,3,261,0,13,0,1430,181,60,81,7,18,18,360,11224,1030,2473,154,208,176,15264
SED10022,14,44,351,65,192,280,953,14,36,57,29,23,0,154,238,245,323,44,65,20,933,670,201,451,20,64,19,1424,451,85,322,9,40,10,910,859,34,243,8,43,8,1185,406,7,128,0,16,0,557,91,0,31,0,7,0,136,9,5,6,0,3,0,21,3,0,3,0,6,0,11,0,0,3,0,0,0,4,0,0,4,0,0,0,4,0,0,0,0,0,0,3,8,0,5,0,4,0,18,34,38,102,9,69,14,272,2796,694,2033,181,519,354,6585
SED10023,8,24,81,9,5,57,184,0,20,0,3,0,0,30,5,186,21,5,4,0,222,13,53,19,15,0,0,107,14,28,40,4,3,0,91,63,17,47,3,92,3,232,377,15,99,3,11,3,508,1160,10,196,0,5,3,1388,1213,5,173,0,5,3,1406,661,9,94,0,4,4,776,447,0,68,0,3,3,518,218,0,36,0,0,0,251,117,0,17,0,0,0,135,166,0,21,0,0,0,189,70,19,64,16,8,5,185,4534,399,990,57,154,85,6217
SED10024,6,3,106,11,15,69,204,0,3,3,7,3,0,16,0,44,6,8,3,0,64,4,7,14,8,0,3,31,3,3,17,0,3,0,25,10,3,23,4,14,0,46,34,3,33,3,12,0,83,99,3,59,4,20,0,189,322,0,76,0,7,0,404,414,0,83,3,5,3,505,374,0,66,3,4,0,456,315,0,49,0,5,0,374,302,3,49,0,0,0,355,778,0,128,0,4,4,911,47,4,59,8,3,5,127,2718,72,764,52,103,88,3797
SED10025,24,33,152,13,5,74,302,0,26,7,5,0,0,39,7,329,19,13,0,3,365,15,114,25,40,3,0,197,22,41,33,9,4,3,107,38,39,34,3,31,0,145,142,32,60,13,26,4,283,505,27,161,4,9,3,712,1881,13,256,4,25,4,2182,2023,13,227,4,11,7,2285,1782,7,212,8,19,3,2029,673,0,94,0,0,4,776,297,0,52,0,0,0,351,412,0,48,0,0,0,462,146,38,81,16,20,13,312,7957,715,1459,135,165,125,10548
SED10026,24,56,175,15,91,149,514,3,52,17,31,14,0,118,117,323,135,70,33,7,681,479,261,198,46,35,11,1029,401,101,222,14,33,0,775,846,122,284,9,23,6,1290,1377,94,367,7,30,7,1875,1012,29,167,3,15,3,1222,143,0,31,0,4,0,183,15,0,7,0,0,0,24,7,0,3,0,0,0,11,5,0,0,0,0,0,5,3,0,3,0,0,0,8,3,0,10,0,0,0,12,57,59,94,10,40,20,278,4494,1089,1711,210,307,210,8020
SED10027,3,65,97,14,11,66,253,0,68,3,9,3,0,80,0,605,17,54,9,5,685,3,244,34,30,11,3,322,18,143,46,15,3,3,222,55,117,52,8,10,0,241,128,98,103,11,10,0,353,686,98,227,5,39,4,1054,1264,57,210,5,30,4,1570,679,12,74,3,12,4,779,340,3,38,0,8,0,387,59,0,11,0,0,0,72,16,0,3,0,0,0,23,11,0,4,0,0,0,11,61,95,56,15,16,8,248,3328,1598,973,168,150,99,6312
SED10028,8,17,109,9,6,48,196,0,8,3,17,0,0,26,5,56,13,55,4,0,132,9,16,36,54,6,3,126,14,11,27,33,4,0,89,26,3,37,8,23,0,91,44,8,59,14,23,0,148,332,8,93,33,7,0,469,1021,3,160,4,3,3,1203,1163,0,142,3,12,0,1323,639,0,88,0,3,0,732,342,0,29,0,4,0,372,184,0,23,0,3,0,211,117,0,23,0,0,0,138,60,14,56,48,9,6,189,3952,142,886,285,105,78,5443
SED10029,32,93,134,9,9,53,331,3,80,3,5,0,0,92,25,696,28,18,10,12,792,75,432,83,55,26,5,672,76,238,80,28,17,0,437,318,143,120,40,20,4,642,1278,144,249,51,47,8,1776,2336,139,404,19,132,23,3060,1365,32,201,7,73,13,1698,236,6,38,3,14,5,303,76,0,9,0,0,0,87,22,0,4,0,0,0,28,6,0,0,0,0,0,11,15,0,4,0,0,0,15,108,99,88,11,25,17,346,5971,2101,1452,250,368,149,10290
SED10030,13,62,113,12,19,94,305,3,44,12,7,3,3,77,20,521,51,31,10,6,635,123,198,93,83,14,12,519,173,72,157,20,10,3,429,459,62,167,17,19,5,734,1488,66,324,9,23,8,1920,2878,45,416,10,18,10,3383,914,3,115,3,7,3,1048,238,5,30,0,3,0,271,53,0,8,0,0,0,60,16,0,6,0,0,0,23,4,0,0,0,0,0,7,9,0,3,0,0,3,19,83,65,78,19,17,10,268,6478,1143,1565,214,150,163,9700
