SED_CODE_2016,OPDs_Separate_house_Dwellings,OPDs_Separate_house_Persons,OPDs_SD_r_t_h_th_1_sty_Dwgs,OPDs_SD_r_t_h_th_1_sty_Psns,OPDs_SD_r_t_h_th_2_m_sty_Dwgs,OPDs_SD_r_t_h_th_2_m_sty_Psns,OPDs_SD_r_t_h_th_Tot_Dwgs,OPDs_SD_r_t_h_th_Tot_Psns,OPDs_F_ap_I_1or2_sty_blk_Ds,OPDs_F_ap_I_1or2_sty_blk_Ps,OPDs_F_ap_I_3_sty_blk_Dwgs,OPDs_F_ap_I_3_sty_blk_Psns,OPDs_F_ap_I_4_m_sty_blk_Ds,OPDs_F_ap_I_4_m_sty_blk_Ps,OPDs_Flt_apt_Att_house_Ds,OPDs_Flt_apt_Att_house_Ps,OPDs_Flt_apart_Tot_Dwgs,OPDs_Flt_apart_Tot_Psns,OPDs_Oth_dwg_Cvn_Ds,OPDs_Oth_dw_Cvn_Ps,OPDs_Oth_dwg_cab_hboat_Ds,OPDs_Oth_dwg_cab_hboat_Ps,OPDs_Ot_dwg_Im_hm_tnt_SO_Ds,OPDs_Ot_dwg_Im_hm_tnt_SO_Ps,OPDs_Ot_dwg_Hs_f_att_sh_of_Ds,OPDs_Ot_dwg_Hs_f_att_sh_of_Ps,OPDs_Other_dwelling_Tot_Dwgs,OPDs_Other_dwelling_Tot_Psns,OPDs_Dwlling_structur_NS_Dwgs,OPDs_Dwlling_structur_NS_Psns,OPDs_Tot_OPDs_Dwellings,OPDs_Tot_OPDs_Persons,Unoccupied_PDs_Dwgs,Unoccupied_PDs_Psns,Total_PDs_Dwellings,Total_PDs_Persons
SED10050,12166,38866,806,2098,1930,4843,2732,6945,2838,6070,6656,13387,4555,8708,29,64,14077,28235,3,3,0,0,32,34,97,213,128,251,104,259,29213,74554,3381,..,32595,74554
SED10051,10684,33516,2145,5304,3939,11479,6086,16777,2235,4346,4693,9875,4406,9782,16,32,11360,24031,0,3,0,0,0,3,143,360,145,364,94,231,28358,74924,2218,..,30580,74924
SED10052,16325,50096,1132,2573,3273,7634,4402,10204,910,1736,2292,4484,1735,3250,10,19,4933,9488,39,68,32,56,5,3,64,149,146,283,59,127,25860,70195,1763,..,27631,70195
SED10053,20991,56803,1750,3291,1414,2872,3164,6166,1281,2193,538,946,960,1699,15,34,2793,4869,31,56,89,163,30,78,52,116,205,406,321,670,27475,68908,4829,..,32305,68908
SED10054,20126,69358,1195,3526,2302,7818,3502,11347,146,302,390,935,900,2297,5,14,1438,3549,0,7,0,3,13,40,30,114,45,164,53,150,25159,84564,1271,..,26428,84564
SED10055,22448,74835,228,521,743,2062,968,2584,82,127,0,3,45,104,8,21,132,255,29,45,0,3,4,25,4,16,42,84,80,235,23674,77999,1107,..,24782,77999
SED10056,25877,65951,985,1601,48,94,1031,1693,1880,3310,25,40,0,0,8,22,1920,3369,189,311,170,315,35,82,148,328,544,1042,228,543,29600,72597,4925,..,34527,72597
SED10057,22342,54571,2732,4420,367,717,3100,5131,1451,2252,353,550,405,703,7,7,2210,3513,140,222,294,522,31,47,98,195,556,991,217,431,28429,64642,5789,..,34219,64642
SED10058,17769,44404,1755,3171,3722,7751,5479,10916,2179,3274,1790,2884,1802,3034,61,86,5841,9285,7,16,21,46,3,3,112,199,143,268,177,287,29406,65161,3859,..,33266,65161
SED10059,2338,6492,4833,11257,7622,19722,12459,30984,2652,4597,4413,7775,11341,19691,99,205,18511,32262,0,5,0,8,7,14,509,1135,517,1160,265,517,34093,71419,3310,..,37404,71419
SED10060,5539,16595,1318,3313,2656,6309,3972,9631,3678,7565,8155,15174,11467,20429,64,131,23364,43296,0,0,5,11,0,0,85,189,89,205,97,192,33061,69920,4523,..,37581,69920
SED10061,25138,62487,1208,2267,190,315,1396,2581,1462,2225,46,91,3,4,5,7,1512,2334,127,210,65,106,25,53,79,191,297,562,294,707,28630,68671,4290,..,32926,68671
SED10062,16139,50300,1595,3437,2306,6667,3901,10103,858,1746,2409,5738,2101,4833,6,16,5375,12334,3,9,5,9,0,0,103,295,113,315,71,175,25599,73228,1707,..,27308,73228
SED10063,25055,64954,1477,2337,216,359,1697,2692,983,1380,51,69,17,24,6,13,1054,1485,63,83,27,47,24,47,74,156,183,337,215,454,28197,69929,3815,..,32014,69929
SED10064,24445,60181,1023,1696,170,330,1190,2026,1020,1581,91,160,35,50,10,5,1155,1802,215,345,275,398,29,52,88,185,607,984,246,549,27646,65546,3935,..,31581,65546
SED10065,12640,39217,1082,2384,5267,15376,6353,17755,2997,7089,5710,14080,6518,16371,20,42,15240,37573,3,8,5,8,0,0,211,585,214,605,179,421,34622,95578,2611,..,37234,95578
SED10066,20576,59948,1673,3086,2665,6020,4336,9107,1090,1792,1024,1790,311,540,15,31,2438,4158,3,7,109,156,14,20,18,38,141,220,75,162,27568,73597,1780,..,29345,73597
SED10067,16122,48542,655,1249,1998,4561,2652,5807,1883,3616,2207,4172,1719,3399,26,42,5838,11229,5,15,139,237,8,15,96,195,250,460,160,351,25021,66391,3458,..,28480,66391
SED10068,21113,53405,2899,4865,1052,2055,3950,6923,1668,2540,532,852,981,1628,4,7,3186,5025,329,491,392,571,8,17,48,98,782,1176,168,324,29200,66856,3758,..,32953,66856
SED10069,20932,54701,1994,3414,1619,3569,3610,6982,456,701,204,336,328,546,16,44,1002,1625,254,394,284,431,23,50,60,131,616,1006,132,254,26292,64570,6934,..,33221,64570
SED10070,18732,60695,1750,4708,2466,7576,4222,12285,692,1618,758,1937,129,360,65,151,1646,4066,74,92,0,0,3,11,171,584,246,690,116,318,24970,78058,1283,..,26251,78058
SED10071,17910,61281,3462,10882,3484,11649,6941,22534,500,1508,58,109,194,454,5,5,763,2073,0,11,68,97,6,12,72,218,153,341,125,328,25887,86560,1078,..,26968,86560
SED10072,12804,39592,2316,5226,1496,4056,3812,9279,1047,2124,3010,6652,9395,22749,48,114,13495,31649,62,84,0,0,0,0,192,504,253,590,121,258,30485,81371,2611,..,33101,81371
SED10073,14223,45260,2000,5073,3627,9021,5621,14092,972,1924,5498,12064,6391,14444,16,48,12880,28481,0,0,3,4,0,9,91,220,100,231,173,413,33004,88482,2500,..,35506,88482
SED10074,19342,58608,1164,2447,2756,7767,3918,10218,1206,2001,1245,3217,2295,6211,17,35,4759,11465,0,0,7,18,20,41,18,60,36,123,78,183,28138,80594,1794,..,29926,80594
SED10075,23404,67078,1956,3498,1647,3414,3595,6909,1166,1932,16,28,5,9,0,7,1186,1975,54,71,252,367,0,0,62,158,365,595,78,170,28632,76730,2021,..,30656,76730
SED10076,24182,57922,1090,1760,510,870,1608,2625,581,893,21,29,0,5,13,13,607,945,158,264,397,635,12,25,38,78,610,994,175,332,27179,62819,12118,..,39300,62819
SED10077,11921,38658,1206,3173,2460,7637,3674,10811,2874,6651,5013,13048,6611,17984,44,108,14542,37796,0,3,0,3,0,0,234,657,235,660,233,599,30600,88527,2151,..,32752,88527
SED10078,10157,30724,2662,6835,1200,3304,3863,10141,5225,10617,6822,14356,3108,6732,111,244,15272,31953,3,4,0,3,0,0,419,991,424,999,300,507,30008,74315,2419,..,32423,74315
SED10079,23805,61400,1288,2177,524,1053,1813,3232,1132,1748,89,116,198,333,6,9,1417,2206,80,120,115,155,12,35,53,115,266,423,62,131,27374,67393,3169,..,30545,67393
SED10080,392,935,624,1299,6412,15138,7036,16442,1318,2224,3121,5089,27309,55077,11,25,31758,62414,0,0,3,3,32,37,129,247,164,294,259,454,39612,80535,6905,..,46515,80535
SED10081,24874,63469,1612,2519,373,605,1989,3119,632,932,39,63,57,77,4,8,729,1075,88,180,51,93,19,44,326,845,480,1162,193,489,28267,69316,3557,..,31821,69316
SED10082,21938,60268,1717,2738,1024,1980,2739,4721,1236,2442,296,563,33,63,16,31,1586,3100,52,78,40,75,3,4,28,55,127,215,95,196,26482,68501,4937,..,31420,68501
SED10083,19978,55543,2860,4592,1872,3899,4732,8490,654,1098,443,767,625,1146,20,32,1747,3045,69,107,25,51,4,5,121,328,226,497,107,206,26785,67784,4098,..,30883,67784
