SED_CODE_2016,CF_no_children_F,CF_no_children_P,CF_ChU15_a_DSs_a_NdCh_F,CF_ChU15_a_DSs_a_NdCh_P,CF_ChU15_a_DSs_a_no_NdCh_F,CF_ChU15_a_DSs_a_no_NdCh_P,CF_ChU15_a_no_DSs_a_NdCh_F,CF_ChU15_a_no_DSs_a_NdCh_P,CF_ChU15_a_no_DSs_a_no_NdCh_F,CF_ChU15_a_no_DSs_a_no_NdCh_P,CF_ChU15_a_Total_F,CF_ChU15_a_Total_P,CF_no_ChU15_a_DSs_a_NdCh_F,CF_no_ChU15_a_DSs_a_NdCh_P,CF_no_ChU15_a_DSs_a_no_NdCh_F,CF_no_ChU15_a_DSs_a_no_NdCh_P,CF_no_ChU15_a_no_DSs_a_NdCh_F,CF_no_ChU15_a_no_DSs_a_NdCh_P,CF_no_ChU15_a_Total_F,CF_no_ChU15_a_Total_P,CF_Total_F,CF_Total_P,OPF_ChU15_a_DSs_a_NdCh_F,OPF_ChU15_a_DSs_a_NdCh_P,OPF_ChU15_a_DSs_a_no_NdCh_F,OPF_ChU15_a_DSs_a_no_NdCh_P,OPF_ChU15_a_no_DSs_a_NdCh_F,OPF_ChU15_a_no_DSs_a_NdCh_P,OPF_ChU15_a_no_DSs_no_NdCh_F,OPF_ChU15_a_no_DSs_no_NdCh_P,OPF_ChU15_a_Total_F,OPF_ChU15_a_Total_P,OPF_no_ChU15_a_DSs_a_NdCh_F,OPF_no_ChU15_a_DSs_a_NdCh_P,OPF_no_ChU15_a_DSs_no_NdCh_F,OPF_no_ChU15_a_DSs_no_NdCh_P,OPF_no_ChU15_no_DSs_a_NdCh_F,OPF_no_ChU15_no_DSs_a_NdCh_P,OPF_no_ChU15_a_Total_F,OPF_no_ChU15_a_Total_P,OPF_Total_F,OPF_Total_P,Other_family_F,Other_family_P,Total_F,Total_P
SED10013,7100,14338,277,1599,1230,5876,535,2496,7147,28343,9194,38311,736,3196,820,2874,2419,8003,3979,14071,13170,52384,60,278,251,908,143,549,1238,3460,1699,5203,187,614,276,642,1158,2595,1617,3844,3316,9047,245,532,23832,76296
SED10014,6133,12372,266,1603,834,4204,417,2056,4375,17617,5898,25484,559,2473,586,2035,2304,7539,3454,12045,9352,37529,108,545,351,1359,250,972,1998,5764,2705,8637,224,716,311,719,1741,3897,2281,5335,4983,13976,344,738,20819,64614
SED10015,7407,15041,166,989,952,4527,211,979,5793,22424,7127,28917,665,2889,1027,3617,2597,8527,4287,15039,11416,43953,37,178,246,903,100,373,1112,2982,1501,4438,202,658,471,1103,1832,4080,2509,5835,4005,10273,514,1127,23349,70399
SED10016,6030,12063,228,1321,1595,7358,286,1350,6459,25922,8568,35944,1015,4285,1394,4948,2600,8536,5011,17774,13575,53722,36,152,175,599,65,224,674,1810,947,2782,166,536,277,664,822,1828,1260,3028,2208,5814,167,363,21984,71958
SED10017,7241,14401,188,1064,794,3716,369,1670,4667,18365,6021,24814,420,1737,456,1510,1796,5706,2671,8959,8694,33773,52,259,249,908,185,647,1779,5101,2262,6909,109,348,265,574,1328,2868,1707,3797,3961,10705,284,592,20184,59471
SED10018,7402,14669,126,672,836,3820,248,1060,4693,18266,5897,23818,447,1852,767,2573,1631,5110,2842,9537,8741,33355,49,218,248,809,105,362,1218,3329,1614,4717,133,408,348,772,1383,2938,1856,4120,3473,8841,252,513,19865,57379
SED10019,9048,17989,150,842,708,3377,286,1326,3182,12812,4320,18354,260,1059,477,1519,1427,4387,2165,6959,6485,25314,47,235,242,869,152,607,1537,4408,1982,6123,128,388,272,583,1241,2656,1638,3626,3621,9748,300,630,19459,53683
SED10020,8228,16325,111,597,724,3357,225,1013,3862,15317,4914,20288,295,1213,527,1691,1399,4284,2223,7192,7141,27478,49,217,293,1089,142,510,1525,4164,2011,5979,126,395,314,678,1255,2654,1688,3724,3699,9706,210,433,19270,53940
SED10021,8226,16094,46,237,697,3045,69,293,5681,20967,6494,24539,327,1269,805,2717,985,2998,2118,6983,8611,31516,9,42,121,358,44,125,890,2120,1062,2646,77,242,362,797,902,1890,1347,2930,2407,5572,450,932,19692,54119
SED10022,8387,16605,148,802,730,3417,232,1070,3594,14824,4706,20116,265,1016,455,1406,1353,4192,2072,6616,6783,26726,38,167,213,780,114,420,1279,3717,1651,5079,78,242,217,478,973,2043,1265,2768,2914,7847,275,569,18364,51747
SED10023,7318,14462,163,888,936,4224,174,767,5049,19836,6320,25713,743,3125,880,3106,2042,6542,3667,12768,9982,38480,20,86,152,499,54,178,760,1928,986,2684,142,445,285,623,1104,2371,1533,3438,2519,6121,248,520,20068,59585
SED10024,6710,13334,150,758,1451,6604,126,540,6385,25187,8112,33089,910,3662,1677,5928,1895,5931,4482,15521,12590,48613,17,79,175,601,36,116,562,1506,786,2298,141,451,377,887,850,1818,1370,3151,2154,5455,211,450,21668,67849
SED10025,8663,17204,74,405,768,3415,109,477,5823,21602,6776,25891,537,2259,854,2940,1822,5828,3212,11025,9990,36912,8,35,135,453,46,159,833,2077,1028,2723,117,362,401,906,1185,2531,1701,3798,2728,6524,439,927,21821,61571
SED10026,7652,15117,120,650,767,3565,227,1024,4523,18076,5643,23315,306,1202,498,1505,1382,4303,2185,7011,7832,30329,46,213,243,874,143,555,1698,4938,2126,6577,116,362,272,567,1050,2222,1433,3149,3558,9728,318,656,19355,55821
SED10027,5745,11637,216,1236,1075,5179,297,1426,5120,20663,6711,28508,720,3098,914,3276,2479,8252,4115,14617,10829,43127,55,280,243,882,120,451,1013,2881,1431,4499,200,672,315,779,1578,3570,2096,5012,3524,9511,373,807,20469,65088
SED10028,6487,12928,124,676,1425,6356,159,679,5811,22495,7512,30203,1018,4256,1900,6729,2428,7755,5346,18735,12861,48940,18,72,173,587,36,123,617,1633,846,2416,166,527,404,967,908,1976,1476,3470,2325,5888,256,544,21932,68299
SED10029,5038,10362,350,2159,1194,6044,399,2023,4820,20109,6773,30330,843,3902,890,3243,2602,8959,4332,16107,11107,46437,123,620,368,1466,201,777,1555,4622,2245,7481,277,995,498,1248,2197,5277,2976,7526,5225,15010,604,1362,21976,73171
SED10030,7702,15333,107,597,655,3035,204,927,4052,15631,5020,20190,403,1700,554,1883,1582,4996,2540,8582,7559,28777,37,166,200,701,144,514,1359,3646,1737,5020,161,491,359,786,1587,3394,2108,4664,3845,9689,328,677,19442,54474
SED10031,8855,17463,160,893,823,3817,282,1307,4285,17046,5543,23059,335,1384,565,1805,1614,5061,2520,8245,8062,31303,41,169,220,799,124,456,1161,3207,1548,4631,91,267,272,587,1043,2171,1405,3020,2951,7656,239,486,20108,56911
SED10032,6027,12315,292,1778,1059,5356,283,1431,6900,27154,8535,35718,654,2982,791,2831,2159,7343,3599,13158,12134,48871,73,360,230,915,119,442,1219,3463,1640,5178,206,714,348,808,1673,3833,2226,5357,3864,10540,576,1305,22608,73031
SED10033,6605,13242,251,1426,931,4434,412,1924,4604,18503,6199,26278,601,2571,686,2339,2240,7374,3532,12286,9724,38570,42,167,222,810,127,427,1060,2894,1452,4301,141,443,262,596,1238,2693,1638,3731,3085,8031,198,430,19620,60269
SED10034,7009,13896,172,970,1023,4601,241,1073,5846,22851,7288,29502,728,3089,895,3131,2368,7638,3988,13862,11275,43360,30,132,190,640,74,257,913,2339,1210,3369,173,543,309,709,1159,2522,1637,3772,2840,7140,231,489,21361,64886
SED10035,11492,22751,64,353,524,2345,102,459,5308,19127,6000,22276,331,1386,643,2159,1274,4112,2247,7659,8246,29934,21,102,114,388,76,265,887,2214,1104,2965,123,367,431,962,1227,2669,1776,3999,2880,6965,893,1873,23506,61525
SED10036,5315,10742,281,1656,1464,7050,398,1908,6297,25376,8431,35991,895,3894,1025,3636,2559,8581,4478,16112,12910,52102,55,269,241,895,144,549,1109,3235,1543,4955,223,758,324,776,1305,3010,1857,4542,3402,9495,303,649,21925,72995
SED10037,6898,13761,141,804,1200,5457,173,790,6398,24855,7914,31901,779,3243,1291,4456,2141,6829,4208,14526,12125,46429,23,88,194,646,40,134,695,1783,947,2656,191,617,332,752,1177,2558,1697,3926,2651,6580,288,615,21968,67386
SED10038,7415,14674,168,925,947,4346,198,858,5239,20653,6547,26781,584,2444,897,3114,1795,5649,3278,11206,9826,37982,38,162,233,797,109,388,1129,3000,1506,4352,161,500,374,819,1329,2831,1863,4146,3368,8497,273,564,20880,61717
SED10039,8252,16316,168,918,800,3681,246,1116,4041,16011,5255,21722,449,1863,692,2300,1711,5402,2855,9569,8110,31291,39,166,212,727,114,397,1090,2942,1456,4229,129,396,286,623,1008,2127,1420,3146,2875,7378,177,377,19412,55365
SED10040,8187,16795,140,813,977,4492,238,1078,6067,22886,7420,29274,697,2976,1155,3997,2295,7453,4154,14422,11572,43700,42,198,206,744,87,311,1052,2844,1390,4097,178,594,589,1382,1596,3558,2365,5526,3753,9624,620,1366,24127,71481
SED10041,7099,14068,123,672,1403,6379,130,543,6475,24814,8138,32404,738,3009,1671,5797,1696,5311,4105,14116,12245,46522,13,59,216,709,40,113,647,1681,917,2566,148,449,446,1015,871,1836,1464,3302,2375,5862,269,575,21989,67024
SED10042,8235,16383,127,702,755,3477,307,1367,3683,14400,4877,19947,419,1734,635,2157,1814,5718,2870,9608,7750,29555,46,201,229,826,128,446,1361,3745,1771,5208,132,420,319,694,1335,2896,1789,4015,3559,9227,233,476,19772,55646
SED10043,5203,10559,384,2311,1353,7125,354,1738,6380,26235,8467,37409,759,3515,821,2964,2363,8088,3947,14575,12414,51978,93,501,282,1139,125,469,1216,3596,1715,5705,192,686,394,940,1670,3840,2256,5468,3971,11174,511,1130,22103,74843
SED10044,7916,15671,87,453,1007,4554,96,437,6332,23958,7519,29408,618,2545,1197,4158,1491,4677,3314,11380,10833,40788,9,46,128,423,31,99,777,1898,952,2460,119,369,405,917,978,2094,1502,3379,2454,5842,396,822,21595,63121
SED10045,8035,15952,106,609,732,3503,197,850,3432,13788,4472,18749,260,1067,548,1772,1361,4230,2167,7071,6643,25823,61,272,313,1118,126,438,1622,4432,2116,6260,119,395,385,828,1290,2702,1794,3924,3913,10181,274,568,18864,52529
SED10046,4799,9842,334,2008,1435,7149,467,2304,5790,23461,8027,34922,840,3773,897,3215,2536,8624,4270,15610,12301,50535,109,517,380,1497,223,850,1666,4936,2377,7797,269,935,464,1089,1871,4355,2612,6382,4990,14174,418,924,22509,75483
SED10047,6686,13629,300,1832,903,4562,497,2431,5604,22357,7297,31177,519,2301,532,1847,2304,7690,3354,11837,10652,43011,133,704,349,1427,289,1106,2230,6719,3000,9958,195,650,329,742,2070,4684,2592,6077,5588,16033,450,979,23379,73658
SED10048,6120,12471,261,1540,1195,5710,419,2057,6099,24051,7971,33354,735,3174,964,3378,2596,8547,4293,15095,12266,48451,70,355,290,1101,196,749,1539,4470,2098,6671,186,645,355,822,1719,3826,2265,5292,4364,11961,328,716,23081,73602
SED10049,7529,14952,158,861,952,4386,307,1383,5207,20476,6619,27101,452,1861,676,2255,1764,5531,2894,9650,9517,36753,52,263,280,1001,140,501,1680,4772,2156,6541,156,484,320,701,1200,2554,1680,3740,3832,10284,291,605,21175,62593
SED10050,8100,15888,80,406,995,4475,102,431,6551,24909,7726,30214,500,2000,941,3196,1305,4040,2746,9239,10473,39453,19,64,162,521,41,120,806,1981,1027,2689,116,360,327,725,889,1866,1330,2950,2356,5635,271,567,21197,61539
SED10051,6578,13111,96,524,898,4004,195,857,5365,20413,6556,25798,594,2467,863,3060,1952,6285,3409,11811,9964,37606,38,163,176,578,88,296,1017,2645,1312,3686,146,453,385,894,1511,3283,2044,4627,3353,8318,534,1157,20431,60197
SED10052,6827,13583,112,613,914,4168,210,936,5370,20922,6603,26634,673,2806,929,3252,2289,7428,3889,13489,10490,40127,26,105,159,525,72,240,864,2273,1114,3142,155,498,311,702,1237,2643,1709,3839,2818,6982,238,500,20377,61189
SED10053,7708,15158,125,719,938,4285,218,996,4987,19221,6275,25216,450,1828,797,2635,1523,4824,2775,9281,9047,34496,36,156,148,501,83,271,1128,2961,1393,3885,95,298,270,574,976,2096,1337,2966,2732,6856,218,460,19704,56963
SED10054,4969,10203,367,2224,1384,6890,473,2370,5937,24072,8160,35557,898,3944,952,3365,2495,8459,4344,15774,12505,51332,125,606,341,1403,270,1093,1846,5501,2586,8602,261,911,367,835,1638,3815,2259,5556,4843,14159,381,881,22702,76570
SED10055,5799,11700,281,1636,1272,6096,459,2157,5845,23488,7857,33373,962,4202,957,3477,3035,10245,4962,17924,12817,51296,56,284,226,868,124,446,1170,3240,1573,4835,176,602,261,622,1210,2785,1645,4010,3218,8839,230,493,22062,72327
SED10056,9111,18014,175,994,887,4075,300,1379,4587,18608,5951,25059,352,1421,542,1662,1580,4979,2469,8061,8423,33122,36,173,208,759,120,444,1290,3620,1662,4995,81,261,226,474,1055,2250,1366,2985,3028,7984,282,597,20840,59709
SED10057,9647,19107,101,583,611,2855,220,1048,2872,11492,3814,15982,220,867,494,1597,1305,3966,2014,6425,5830,22410,41,211,270,995,150,519,1486,4253,1953,5979,91,289,293,633,1273,2704,1657,3621,3606,9599,247,518,19333,51633
SED10058,7616,14919,56,306,554,2499,135,599,3820,14454,4568,17861,283,1131,607,1985,1064,3284,1959,6400,6527,24261,25,111,197,650,82,299,1150,2901,1459,3961,98,309,365,791,1221,2563,1683,3659,3143,7627,377,778,17661,47582
SED10059,9148,17932,16,80,313,1340,48,205,3386,12116,3759,13751,119,471,363,1183,583,1812,1063,3457,4819,17206,12,34,80,263,36,115,616,1420,744,1831,53,157,248,531,785,1656,1086,2345,1831,4175,585,1232,16382,40543
SED10060,10295,20037,45,218,540,2370,46,188,4683,16924,5320,19700,286,1094,905,2978,921,2756,2111,6832,7434,26530,6,13,113,354,17,54,720,1685,856,2106,95,286,381,828,688,1400,1166,2517,2018,4623,391,808,20135,51997
SED10061,8454,16715,142,779,720,3264,252,1159,4102,16389,5210,21590,241,942,578,1784,1244,3814,2063,6539,7274,28134,48,263,258,950,160,619,1620,4578,2098,6406,79,246,268,539,1099,2350,1445,3132,3538,9537,341,717,19604,55105
SED10062,6650,13395,150,852,1078,4934,200,905,5188,20216,6619,26904,727,3106,1190,4225,2266,7364,4182,14697,10804,41601,35,152,164,586,72,239,782,2070,1051,3045,180,585,383,915,1315,2909,1878,4407,2935,7456,358,789,20740,63239
SED10063,7923,15671,166,915,833,3903,262,1215,4666,18917,5934,24943,336,1373,586,1861,1383,4295,2302,7533,8229,32477,50,219,261,954,128,457,1517,4283,1957,5920,87,266,276,616,1109,2333,1481,3220,3432,9143,239,504,19829,57791
SED10064,8849,17584,119,662,684,3191,221,1007,3096,12458,4119,17328,222,914,447,1432,1371,4217,2041,6565,6158,23889,56,278,295,1125,177,693,1662,4762,2192,6861,114,350,304,631,1328,2839,1745,3826,3937,10685,264,563,19208,52718
SED10065,8542,17233,103,589,1000,4539,186,879,8562,31298,9853,37298,609,2647,1123,3867,1929,6308,3662,12820,13512,50120,39,176,225,801,71,258,1179,3020,1512,4254,175,553,531,1220,1530,3326,2237,5103,3751,9356,559,1209,26366,77920
SED10066,6926,13886,171,969,826,3963,332,1564,5029,19783,6358,26277,507,2171,632,2173,1943,6360,3079,10701,9434,36983,44,216,258,905,162,552,1676,4603,2138,6273,182,589,361,823,1530,3354,2069,4759,4206,11032,332,704,20896,62606
SED10067,7396,14555,111,563,908,4060,192,829,5121,20059,6331,25516,643,2600,899,3065,1791,5579,3333,11250,9665,36762,22,86,173,574,45,144,692,1775,926,2580,128,417,288,627,949,2015,1363,3056,2288,5640,164,343,19517,57300
SED10068,10253,20330,106,568,762,3509,190,822,3470,13715,4519,18612,229,933,550,1748,1235,3773,2015,6449,6533,25063,32,141,241,843,97,344,1277,3402,1646,4736,102,311,333,705,1092,2304,1529,3321,3174,8052,212,439,20177,53887
SED10069,8804,17444,146,786,727,3418,273,1215,3659,14404,4809,19824,366,1548,513,1725,1573,4883,2459,8152,7267,27974,46,202,209,755,136,459,1306,3613,1698,5032,106,346,228,475,1137,2424,1472,3241,3169,8268,208,439,19450,54126
SED10070,5792,11774,250,1464,1078,5166,313,1496,6048,23854,7687,31971,803,3601,928,3272,2755,9278,4480,16144,12172,48120,48,238,218,827,132,505,960,2701,1361,4267,179,608,298,730,1555,3600,2034,4930,3395,9196,375,822,21739,69915
SED10071,5617,11399,245,1366,1536,7140,339,1550,8867,34434,10984,44486,868,3700,1199,4251,2239,7411,4303,15364,15282,59855,51,250,254,919,98,350,1039,2815,1447,4338,171,554,318,773,1013,2309,1505,3635,2945,7975,250,542,24095,79764
SED10072,8557,17295,148,849,819,3862,219,1000,5468,20557,6659,26267,534,2272,742,2575,2004,6440,3287,11294,9942,37557,25,128,150,527,76,257,967,2507,1219,3421,162,523,338,763,1555,3409,2056,4698,3275,8115,603,1307,22373,64268
SED10073,8956,17970,81,466,910,4057,110,495,6684,24643,7788,29657,643,2677,1170,4107,2023,6508,3839,13293,11627,42952,11,60,149,493,48,151,920,2287,1126,2996,136,424,437,1005,1353,2974,1924,4404,3048,7398,625,1319,24255,69637
SED10074,7105,14333,145,817,944,4339,241,1096,7112,27079,8442,33334,599,2598,901,3174,2198,7236,3705,13003,12147,46340,24,119,213,759,103,350,964,2660,1299,3893,141,451,360,826,1391,3091,1891,4367,3188,8258,392,846,22834,69765
SED10075,8021,16033,181,1012,912,4270,362,1656,4855,19179,6309,26119,574,2409,746,2530,2335,7486,3650,12421,9965,38542,74,341,291,1015,179,690,1696,4673,2238,6721,163,516,370,847,1542,3362,2082,4734,4316,11455,293,620,22594,66643
SED10076,9398,18609,114,635,566,2635,237,1076,3178,12521,4092,16870,240,970,403,1278,1275,3937,1917,6182,6015,23054,48,210,201,730,141,516,1347,3793,1740,5250,100,296,268,564,1172,2480,1540,3347,3282,8589,206,437,18901,50694
SED10077,7798,15832,116,656,1001,4551,143,644,5657,21198,6916,27040,761,3304,1328,4696,2124,6956,4213,14952,11136,41991,23,90,183,634,53,165,878,2257,1131,3146,161,531,557,1299,1430,3185,2149,5017,3286,8162,714,1548,22927,67540
SED10078,7793,15621,67,378,630,2864,101,446,5096,18758,5895,22451,379,1587,751,2559,1533,4994,2660,9144,8556,31593,16,84,137,482,58,193,994,2403,1203,3158,123,401,418,911,1314,2887,1853,4204,3061,7362,540,1162,19952,55732
SED10079,8490,16885,152,832,778,3563,286,1314,3736,14667,4957,20376,426,1752,581,1961,1815,5677,2825,9385,7776,29765,65,284,231,834,161,581,1336,3619,1791,5318,154,486,295,664,1330,2818,1779,3972,3572,9290,245,502,20078,56436
SED10080,12329,24150,15,68,193,813,21,99,2889,9953,3119,10935,115,451,395,1232,532,1601,1041,3283,4166,14214,4,24,63,208,28,86,591,1402,689,1724,42,138,314,680,669,1341,1025,2163,1717,3883,759,1634,18977,43885
SED10081,8202,16255,144,798,770,3467,252,1174,4332,17274,5508,22722,281,1128,511,1581,1451,4451,2245,7157,7758,29875,44,199,233,916,145,541,1710,4876,2134,6534,101,305,259,546,1143,2481,1508,3327,3637,9861,300,633,19896,56628
SED10082,7890,15619,141,755,933,4251,258,1146,4575,18059,5906,24210,570,2345,863,2915,1786,5527,3214,10781,9124,34994,31,153,242,799,89,299,1008,2692,1369,3943,158,493,320,711,1149,2434,1624,3645,2997,7586,187,379,20192,58583
SED10083,7066,14093,142,811,739,3434,270,1211,4208,16671,5359,22130,488,2019,589,1999,1737,5491,2813,9506,8174,31637,52,255,259,920,161,559,1463,3996,1937,5726,149,457,373,802,1534,3313,2054,4571,3993,10299,277,572,19508,56601
SED10084,9150,18160,115,623,695,3187,240,1061,3954,15466,5004,20331,329,1352,586,1917,1423,4424,2339,7702,7342,28033,44,203,242,843,134,475,1317,3463,1733,4986,148,465,363,805,1381,2947,1894,4221,3627,9207,264,551,20385,55947
SED10085,8051,15887,126,720,892,4081,270,1217,4558,18182,5847,24195,376,1521,585,1877,1555,4814,2516,8208,8362,32403,40,194,213,757,122,414,1418,3999,1794,5371,102,308,230,499,997,2093,1328,2900,3122,8270,227,460,19759,57022
SED10086,8430,16500,68,323,784,3586,58,224,5070,19057,5984,23196,423,1659,892,3037,1026,3101,2344,7798,8322,30994,6,31,136,457,29,77,798,1902,975,2470,105,302,336,737,775,1578,1218,2625,2196,5090,378,788,19323,53374
SED10087,7777,15293,148,836,889,4150,265,1222,4563,18288,5863,24497,314,1270,585,1866,1295,4016,2192,7151,8057,31646,46,208,261,954,139,528,1427,3970,1875,5654,117,336,266,557,1093,2340,1474,3230,3348,8889,296,627,19476,56451
SED10088,7008,13975,144,769,1133,5170,188,799,6318,24399,7784,31138,634,2608,1006,3560,1864,6003,3502,12171,11286,43303,18,74,155,519,65,213,788,2020,1030,2834,168,535,311,724,1149,2475,1634,3734,2661,6562,273,574,21223,64414
SED10089,7453,14802,118,669,820,3782,242,1102,4891,18977,6073,24532,436,1794,669,2243,1759,5489,2856,9532,8935,34061,60,266,238,878,128,486,1533,4167,1965,5796,140,455,382,844,1444,3087,1975,4382,3932,10175,412,851,20731,59894
SED10090,8119,16007,38,186,909,4006,100,412,7158,26728,8199,31337,491,1965,1283,4350,1350,4179,3120,10497,11319,41838,7,38,174,552,28,77,867,2131,1072,2798,121,348,496,1109,981,2088,1592,3544,2665,6345,430,896,22529,65085
SED10091,7870,15631,231,1268,916,4321,443,2078,4716,19025,6306,26694,497,2074,676,2255,2074,6668,3248,10995,9550,37695,52,221,217,805,106,362,943,2610,1316,3997,97,298,231,530,1037,2216,1357,3047,2679,7042,175,370,20273,60743
SED10092,7854,15597,127,730,680,3212,231,1042,4132,16091,5166,21074,494,2067,665,2298,1886,6062,3048,10427,8213,31502,41,179,266,993,116,420,1311,3487,1729,5083,163,538,406,901,1647,3567,2216,5010,3950,10094,466,965,20481,58155
SED10093,7122,14282,188,1074,823,3907,377,1749,4312,17181,5697,23905,429,1780,566,1905,1757,5658,2759,9344,8455,33247,73,330,315,1162,213,789,1747,4969,2353,7255,162,541,306,686,1504,3288,1972,4518,4322,11764,301,636,20208,59930
SED19494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SED19797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
