SED_CODE_2016,M_Ireland_0_4,M_Ireland_5_14,M_Ireland_15_24,M_Ireland_25_44,M_Ireland_45_54,M_Ireland_55_64,M_Ireland_65_74,M_Ireland_75_84,M_Ireland_85ov,M_Ireland_Tot,M_Italy_0_4,M_Italy_5_14,M_Italy_15_24,M_Italy_25_44,M_Italy_45_54,M_Italy_55_64,M_Italy_65_74,M_Italy_75_84,M_Italy_85ov,M_Italy_Tot,M_Japan_0_4,M_Japan_5_14,M_Japan_15_24,M_Japan_25_44,M_Japan_45_54,M_Japan_55_64,M_Japan_65_74,M_Japan_75_84,M_Japan_85ov,M_Japan_Tot,M_Korea_South_0_4,M_Korea_South_5_14,M_Korea_South_15_24,M_Korea_South_25_44,M_Korea_South_45_54,M_Korea_South_55_64,M_Korea_South_65_74,M_Korea_South_75_84,M_Korea_South_85ov,M_Korea_South_Tot,M_Lebanon_0_4,M_Lebanon_5_14,M_Lebanon_15_24,M_Lebanon_25_44,M_Lebanon_45_54,M_Lebanon_55_64,M_Lebanon_65_74,M_Lebanon_75_84,M_Lebanon_85ov,M_Lebanon_Tot,M_Malaysia_0_4,M_Malaysia_5_14,M_Malaysia_15_24,M_Malaysia_25_44,M_Malaysia_45_54,M_Malaysia_55_64,M_Malaysia_65_74,M_Malaysia_75_84,M_Malaysia_85ov,M_Malaysia_Tot,M_Malta_0_4,M_Malta_5_14,M_Malta_15_24,M_Malta_25_44,M_Malta_45_54,M_Malta_55_64,M_Malta_65_74,M_Malta_75_84,M_Malta_85ov,M_Malta_Tot,M_Mauritius_0_4,M_Mauritius_5_14,M_Mauritius_15_24,M_Mauritius_25_44,M_Mauritius_45_54,M_Mauritius_55_64,M_Mauritius_65_74,M_Mauritius_75_84,M_Mauritius_85ov,M_Mauritius_Tot,M_Myanmar_0_4,M_Myanmar_5_14,M_Myanmar_15_24,M_Myanmar_25_44,M_Myanmar_45_54,M_Myanmar_55_64,M_Myanmar_65_74,M_Myanmar_75_84,M_Myanmar_85ov,M_Myanmar_Tot,M_Nepal_0_4,M_Nepal_5_14,M_Nepal_15_24,M_Nepal_25_44,M_Nepal_45_54,M_Nepal_55_64,M_Nepal_65_74,M_Nepal_75_84,M_Nepal_85ov,M_Nepal_Tot,M_Netherlands_0_4,M_Netherlands_5_14,M_Netherlands_15_24,M_Netherlands_25_44,M_Netherlands_45_54,M_Netherlands_55_64,M_Netherlands_65_74,M_Netherlands_75_84,M_Netherlands_85ov,M_Netherlands_Tot,M_New_Zealand_0_4,M_New_Zealand_5_14,M_New_Zealand_15_24,M_New_Zealand_25_44,M_New_Zealand_45_54,M_New_Zealand_55_64,M_New_Zealand_65_74,M_New_Zealand_75_84,M_New_Zealand_85ov,M_New_Zealand_Tot,M_Nthern_Ireland_0_4,M_Nthern_Ireland_5_14,M_Nthern_Ireland_15_24,M_Nthern_Ireland_25_44,M_Nthern_Ireland_45_54,M_Nthern_Ireland_55_64,M_Nthern_Ireland_65_74,M_Nthern_Ireland_75_84,M_Nthern_Ireland_85ov,M_Nthern_Ireland_Tot,M_Pakistan_0_4,M_Pakistan_5_14,M_Pakistan_15_24,M_Pakistan_25_44,M_Pakistan_45_54,M_Pakistan_55_64,M_Pakistan_65_74,M_Pakistan_75_84,M_Pakistan_85ov,M_Pakistan_Tot,M_PNG_0_4,M_PNG_5_14,M_PNG_15_24,M_PNG_25_44,M_PNG_45_54,M_PNG_55_64,M_PNG_65_74,M_PNG_75_84,M_PNG_85ov,M_PNG_Tot,M_Philippines_0_4,M_Philippines_5_14,M_Philippines_15_24,M_Philippines_25_44,M_Philippines_45_54,M_Philippines_55_64,M_Philippines_65_74,M_Philippines_75_84,M_Philippines_85ov,M_Philippines_Tot,M_Poland_0_4,M_Poland_5_14,M_Poland_15_24,M_Poland_25_44,M_Poland_45_54,M_Poland_55_64,M_Poland_65_74,M_Poland_75_84,M_Poland_85ov,M_Poland_Tot,M_Scotland_0_4,M_Scotland_5_14,M_Scotland_15_24,M_Scotland_25_44,M_Scotland_45_54,M_Scotland_55_64,M_Scotland_65_74,M_Scotland_75_84,M_Scotland_85ov,M_Scotland_Tot,M_Singapore_0_4,M_Singapore_5_14,M_Singapore_15_24,M_Singapore_25_44,M_Singapore_45_54,M_Singapore_55_64,M_Singapore_65_74,M_Singapore_75_84,M_Singapore_85ov,M_Singapore_Tot,M_South_Africa_0_4,M_South_Africa_5_14,M_South_Africa_15_24,M_South_Africa_25_44,M_South_Africa_45_54,M_South_Africa_55_64,M_South_Africa_65_74,M_South_Africa_75_84,M_South_Africa_85ov,M_South_Africa_Tot
SED10011,0,3,3,35,27,33,41,11,4,150,0,0,0,3,16,28,24,24,10,92,0,3,0,8,3,7,0,3,0,28,0,3,13,8,5,3,3,0,0,39,0,0,3,9,3,5,3,0,0,27,0,0,3,20,15,10,6,3,0,64,0,0,0,0,5,14,16,3,3,33,0,0,0,3,4,10,8,0,0,21,0,0,0,0,0,3,3,0,0,4,0,0,0,7,3,0,0,0,0,7,0,7,3,10,13,28,59,26,9,160,0,11,11,110,130,111,72,22,7,479,0,0,0,8,16,13,17,3,0,57,0,3,0,3,3,0,3,0,0,14,0,0,0,10,6,7,0,3,0,24,0,10,4,31,6,9,5,0,0,72,0,0,0,11,9,31,10,5,0,72,0,11,0,25,47,51,79,31,7,257,0,3,0,12,13,0,3,0,0,33,0,3,3,27,28,30,22,7,0,112
SED10012,0,0,0,5,3,10,8,0,0,26,3,0,4,14,64,80,172,162,51,544,0,0,0,3,0,5,0,0,0,6,0,0,0,10,0,3,0,0,0,14,0,3,14,101,84,71,44,18,3,340,0,5,18,81,14,24,9,0,0,158,0,0,0,3,4,27,39,12,3,89,0,0,0,7,5,15,14,7,3,44,0,0,5,15,7,6,0,0,0,28,0,0,0,10,0,0,0,0,0,10,0,0,0,0,0,4,13,6,5,26,19,126,168,178,50,36,11,5,0,593,0,0,0,0,0,3,0,0,0,7,0,7,3,26,11,3,3,0,0,50,0,0,0,3,0,0,0,0,0,3,0,14,41,132,51,70,50,10,3,370,0,0,0,24,8,24,26,16,11,100,0,0,0,3,5,4,11,3,4,30,0,0,0,9,4,4,7,0,0,24,0,0,0,4,3,5,3,3,0,20
SED10013,0,9,10,57,25,24,15,10,3,154,0,0,8,23,53,95,156,117,54,512,0,0,0,0,0,0,0,0,0,0,0,3,3,10,3,3,0,0,0,19,0,0,9,93,71,49,27,9,0,255,0,4,3,23,12,9,11,3,0,66,0,0,0,11,11,53,115,39,3,235,0,0,3,14,18,17,3,5,0,60,0,3,0,6,4,0,0,0,0,13,0,3,0,17,3,0,0,0,0,21,0,0,0,5,14,24,26,15,4,85,13,41,70,209,119,82,42,17,0,594,0,0,5,9,11,13,13,8,0,65,0,9,10,25,20,10,3,0,0,80,0,0,0,8,0,3,0,0,0,21,0,11,14,124,42,26,10,0,0,227,0,0,0,28,8,14,13,9,0,69,3,6,15,42,37,56,41,21,7,231,0,0,5,11,4,3,4,0,0,30,0,12,20,63,51,20,16,10,0,186
SED10014,0,9,0,31,19,12,23,14,0,99,0,0,0,5,22,20,36,34,11,119,0,3,3,0,3,3,0,0,0,9,0,0,4,16,3,3,3,4,0,25,0,9,11,86,56,54,34,20,3,273,0,3,12,32,14,17,10,3,3,98,0,3,0,0,3,24,29,14,3,74,0,0,3,14,22,26,21,11,0,96,0,0,3,5,3,3,4,4,0,23,0,3,7,49,3,3,0,0,0,69,0,0,0,3,3,13,30,16,5,66,15,128,192,339,141,91,42,13,0,971,0,0,0,3,11,4,15,6,0,37,3,9,30,104,28,15,9,0,0,205,0,0,3,10,3,3,0,0,0,19,3,33,84,263,116,103,47,11,4,673,0,0,4,26,18,31,20,13,3,118,0,3,3,20,27,66,68,33,3,211,0,4,3,8,4,10,3,4,0,33,0,6,19,95,34,48,37,12,3,256
SED10015,0,3,0,37,17,18,19,10,0,109,4,6,7,58,60,100,194,204,84,714,0,3,8,21,7,3,3,0,0,43,4,33,65,227,117,152,76,50,13,747,0,9,32,242,285,315,287,157,39,1353,0,3,72,292,66,42,31,8,0,519,0,0,0,0,3,7,21,16,3,57,0,0,0,25,13,17,14,8,9,83,0,0,13,36,19,5,4,7,0,91,13,29,255,888,25,18,5,0,0,1224,0,0,0,0,4,0,7,3,0,19,4,46,98,215,95,79,26,11,5,571,0,0,0,4,0,3,3,0,0,8,7,22,52,188,35,21,0,0,0,318,0,0,0,4,3,4,3,7,0,26,16,35,51,269,105,90,39,3,3,612,0,0,0,19,4,9,4,0,6,40,0,0,0,14,11,11,3,3,4,43,0,3,10,18,9,14,3,0,0,55,0,7,7,26,19,14,3,0,0,68
SED10016,0,21,11,44,31,16,19,13,0,157,0,9,4,20,39,70,105,71,27,341,0,4,9,5,3,3,3,0,0,33,4,70,70,192,118,54,31,16,0,564,0,0,5,37,65,38,36,14,3,190,4,20,26,104,49,76,55,12,0,353,0,0,0,11,16,30,65,28,3,143,0,0,3,6,11,3,8,0,0,33,0,0,0,8,3,3,12,3,3,38,0,0,0,19,8,3,0,0,0,33,0,4,3,9,20,15,20,9,3,93,7,65,92,167,117,107,54,15,0,627,0,0,0,3,11,6,7,3,0,36,0,22,19,74,38,27,16,0,0,201,0,0,0,6,13,6,0,0,0,25,3,37,69,220,147,134,75,10,0,687,0,0,0,21,11,40,13,7,0,91,0,8,9,31,32,33,34,18,7,179,3,28,18,24,25,24,13,3,0,134,6,87,114,211,168,111,42,12,3,752
SED10017,0,7,0,19,4,5,4,0,0,45,0,0,3,4,4,15,10,8,3,42,0,0,0,0,0,4,3,0,0,9,0,3,3,11,0,0,0,0,0,22,0,0,0,3,0,4,3,0,0,9,0,0,0,19,7,4,0,0,0,31,0,0,0,0,0,3,12,0,0,16,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,11,3,0,0,0,0,17,0,0,0,4,3,17,23,14,0,59,3,20,24,117,75,65,41,11,0,356,0,0,0,0,3,0,5,3,0,21,0,3,4,13,0,5,0,0,0,32,0,0,0,5,3,0,0,0,0,11,0,6,13,28,7,0,0,0,0,61,0,0,0,3,0,4,0,3,4,15,0,0,3,10,19,34,44,13,8,133,0,0,3,0,0,0,0,0,0,3,0,7,10,35,14,11,10,9,0,96
SED10018,0,9,7,22,14,4,10,0,0,68,0,0,4,9,7,20,23,52,16,138,0,9,0,5,0,0,3,0,0,18,0,7,14,28,3,3,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,5,19,15,13,10,3,0,70,0,0,0,0,0,0,5,0,0,11,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,4,0,3,0,4,3,14,35,18,6,79,4,19,38,137,77,54,35,5,7,377,0,0,0,5,4,0,10,6,0,20,0,0,0,8,3,0,0,0,0,11,0,0,0,6,7,3,0,0,0,23,3,4,12,26,10,8,0,0,0,59,0,0,0,0,4,10,8,7,9,35,0,4,3,22,29,29,38,32,4,161,0,0,0,3,3,4,0,3,0,17,0,3,19,41,25,15,8,7,0,116
SED10019,0,0,3,13,6,4,10,3,4,41,0,0,0,4,3,9,11,5,5,35,0,0,0,0,0,0,0,0,0,4,0,0,3,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,5,0,0,0,15,0,0,0,0,0,7,7,3,0,16,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,0,0,0,4,0,0,0,0,0,4,0,0,0,5,0,25,42,27,11,118,3,12,11,60,64,110,73,27,8,367,0,0,0,0,0,3,10,6,0,19,0,0,0,3,4,0,0,0,0,7,0,0,0,9,3,8,0,0,0,23,0,15,4,5,7,0,0,0,0,30,0,0,0,0,0,0,0,0,0,3,0,0,0,11,16,22,36,16,0,99,0,0,0,0,0,0,0,0,0,3,0,3,3,12,14,10,11,5,0,55
SED10020,0,4,3,32,14,7,8,3,5,83,0,0,4,8,0,8,32,19,7,78,4,4,3,3,3,3,0,4,0,24,0,3,8,15,3,0,0,0,0,28,0,0,0,3,0,0,0,0,0,8,17,13,3,12,6,3,4,0,0,52,0,0,0,0,0,6,14,3,0,19,0,0,0,0,0,3,0,0,0,3,0,13,29,65,28,4,4,3,0,144,0,0,3,4,0,0,0,0,0,5,0,0,0,3,5,26,47,32,9,124,0,23,29,113,93,107,78,36,9,490,0,3,0,11,4,0,13,9,0,36,3,8,8,3,5,4,0,0,0,30,0,0,4,16,13,0,0,0,0,38,0,19,16,21,7,0,0,3,0,66,0,0,0,7,0,7,4,7,5,19,0,3,6,16,23,29,46,30,16,177,0,3,0,7,0,0,0,0,0,17,0,14,8,42,33,27,22,6,3,149
SED10021,6,12,39,984,85,41,20,8,7,1208,3,13,18,186,32,20,45,52,30,391,0,4,5,49,22,8,6,3,0,91,0,8,14,45,9,7,0,3,0,79,0,0,0,19,21,6,9,15,3,83,0,3,65,69,32,27,15,10,0,227,0,0,0,5,5,3,13,13,6,39,0,0,0,12,3,4,0,0,0,21,0,0,0,0,3,0,0,4,0,8,0,0,7,30,0,3,0,0,0,36,0,3,0,42,18,14,15,11,4,101,7,22,34,490,213,136,48,32,8,999,0,0,11,55,15,8,12,8,0,108,0,0,5,32,3,0,0,0,0,41,0,0,0,9,15,7,3,0,0,32,0,9,27,120,38,21,3,3,0,222,0,0,0,61,8,28,19,4,20,145,0,5,6,153,50,56,44,17,9,347,8,23,24,53,14,11,6,7,0,142,0,9,44,259,144,80,31,30,17,613
SED10022,0,0,0,6,6,3,4,6,3,26,0,0,0,6,0,11,14,12,8,50,0,0,0,0,0,0,0,0,0,3,0,0,3,9,0,0,0,0,0,14,0,0,0,15,12,3,5,0,0,41,0,0,0,6,8,3,0,0,0,19,0,0,0,0,0,3,11,3,0,16,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,7,0,0,0,3,0,0,0,0,0,10,0,0,0,4,7,9,27,16,0,72,3,11,11,68,41,58,31,23,3,246,0,0,0,0,3,0,3,3,0,13,0,0,0,6,0,0,0,0,0,8,0,3,0,7,9,3,0,0,0,25,0,16,9,37,13,4,0,0,0,82,0,0,0,0,0,3,3,3,0,5,0,0,0,9,7,11,15,15,0,63,0,0,0,4,4,3,0,0,0,11,0,4,4,13,13,3,0,4,0,44
SED10023,0,11,0,67,23,13,5,3,5,127,0,0,3,28,22,38,44,45,21,204,0,0,0,4,0,3,0,0,0,16,0,3,3,8,6,0,3,0,0,28,0,0,0,13,11,12,11,3,0,47,0,0,0,10,11,9,10,3,0,43,0,0,3,0,0,5,23,9,3,53,0,0,0,0,5,9,0,0,0,13,0,0,0,0,0,0,0,0,0,3,0,0,0,15,3,0,0,0,0,21,0,0,3,16,9,12,27,14,4,73,4,23,26,218,100,94,43,12,5,539,0,0,3,8,9,6,7,6,3,33,0,0,3,4,0,3,0,0,0,14,0,0,0,4,9,7,0,0,3,27,3,10,6,51,11,15,3,0,0,96,0,0,0,18,7,6,4,5,0,44,0,3,0,32,29,22,28,17,11,138,0,8,3,3,3,4,6,3,0,39,3,3,19,52,33,20,19,7,3,157
