SED_CODE_2016,P_Oth_scs_15_19,P_Oth_scs_20_24,P_Oth_scs_25_34,P_Oth_scs_35_44,P_Oth_scs_45_54,P_Oth_scs_55_64,P_Oth_scs_65_74,P_Oth_scs_75_84,P_Oth_scs_85ov,P_Oth_scs_Tot,P_ID_NS_15_19,P_ID_NS_20_24,P_ID_NS_25_34,P_ID_NS_35_44,P_ID_NS_45_54,P_ID_NS_55_64,P_ID_NS_65_74,P_ID_NS_75_84,P_ID_NS_85ov,P_ID_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
SED10038,72,173,272,281,307,170,35,9,0,1314,55,127,210,240,266,153,51,16,8,1127,2011,3353,6536,8335,8171,5397,987,125,14,34924
SED10039,60,119,245,242,262,189,48,3,0,1171,70,99,181,180,260,195,62,16,0,1062,2027,2793,5461,6209,7025,5782,1252,140,18,30702
SED10040,36,112,348,328,294,198,49,6,0,1376,69,262,781,430,454,309,63,8,0,2386,1436,4292,13261,9225,8095,5222,1087,79,15,42718
SED10041,61,93,178,221,262,170,54,12,0,1061,44,121,279,351,420,241,84,11,3,1560,1725,3113,6260,8877,9482,5770,1970,339,41,37581
SED10042,85,154,260,259,303,194,44,5,0,1313,74,138,205,254,267,172,77,17,3,1202,1805,2684,5529,5947,6878,5337,1176,118,9,29476
SED10043,52,137,359,314,319,174,33,3,0,1387,90,305,690,507,452,298,60,11,6,2415,1266,3812,9031,7343,6067,3908,684,72,12,32190
SED10044,54,104,263,290,293,180,69,10,0,1264,49,135,384,425,393,221,101,18,3,1729,1347,3251,10021,10244,8960,5785,1966,253,33,41861
SED10045,38,112,209,206,277,197,64,4,0,1108,70,92,185,202,271,251,82,35,8,1204,1688,2102,4331,5669,7076,6461,1727,293,43,29400
SED10046,56,141,322,331,289,140,21,0,0,1293,122,277,597,590,545,302,57,12,3,2506,1660,3896,8195,7908,7249,4227,580,38,9,33762
SED10047,76,215,374,282,253,173,40,6,0,1434,169,345,623,551,530,304,69,12,0,2600,2176,4465,10054,8639,7172,4985,968,86,12,38557
SED10048,47,170,306,279,241,223,45,3,0,1315,114,256,577,487,468,318,68,14,0,2309,1859,4002,9193,8707,8010,6022,1056,69,12,38933
SED10049,82,194,428,331,318,192,39,7,0,1589,82,138,288,276,271,183,47,11,13,1309,2177,3375,7913,7721,7491,4915,916,94,22,34627
SED10050,62,132,338,291,258,150,44,7,0,1281,53,143,474,508,406,220,73,14,7,1902,1479,3013,10501,11308,9479,5476,1615,209,37,43123
SED10051,49,116,323,351,275,197,71,9,3,1390,56,144,428,375,364,200,72,18,3,1655,1318,3400,8598,9237,8369,5196,1367,150,21,37645
SED10052,52,146,338,301,310,213,61,13,3,1432,58,150,306,336,336,238,88,21,10,1531,1741,3260,7027,8601,8301,5975,1567,173,21,36672
SED10053,84,165,316,285,287,197,42,7,0,1379,97,159,260,280,318,249,68,26,5,1457,2213,3265,7688,8327,9620,6196,1590,230,34,39150
SED10054,66,169,274,256,247,185,43,5,0,1246,130,305,594,559,462,287,60,4,0,2404,2001,4150,8813,8485,7830,4957,777,32,3,37045
SED10055,90,192,430,388,378,238,40,3,0,1770,138,240,463,462,432,322,69,13,0,2130,2747,4474,9267,9149,9071,6230,1108,84,6,42138
SED10056,91,156,267,233,239,203,61,15,3,1262,131,160,256,278,327,285,129,34,9,1597,2142,2880,6608,6832,8062,6946,2076,402,61,36007
SED10057,42,94,150,211,233,182,54,8,0,968,65,76,114,143,223,187,71,33,11,925,1495,1688,3520,4367,5804,5341,1348,176,28,23764
SED10058,42,152,310,225,210,162,45,7,0,1153,58,125,283,225,217,141,47,19,5,1116,1473,4071,9611,7063,6799,4930,1034,143,13,35141
SED10059,36,167,585,310,212,129,40,8,0,1486,37,234,775,431,260,125,40,10,0,1914,1009,5248,18898,10634,7019,3677,845,92,6,47423
SED10060,43,82,299,227,195,133,51,13,0,1039,30,115,523,416,321,229,130,36,5,1811,799,2815,13385,10334,7678,5544,2533,411,51,43564
SED10061,84,145,232,209,229,189,56,18,0,1158,84,112,186,204,225,190,136,41,15,1202,1907,2842,5575,5999,7257,6057,2021,459,74,32192
SED10062,47,144,228,262,308,237,59,14,0,1288,73,190,355,370,377,264,75,25,3,1730,1637,3515,7645,8106,8326,5715,1420,174,20,36557
SED10063,98,160,329,257,246,178,65,7,0,1333,97,132,185,223,256,184,89,41,13,1218,2034,2772,6637,6951,7380,5709,1714,342,58,33596
SED10064,54,115,153,197,196,180,46,3,0,946,73,62,159,152,192,204,85,38,7,979,1428,1698,3611,4710,6160,5768,1486,245,36,25145
SED10065,36,130,442,339,325,205,54,11,0,1537,58,243,876,568,444,287,78,19,3,2578,1339,4074,16173,11735,8161,5160,1170,132,16,47959
SED10066,86,150,384,292,240,180,54,0,0,1392,108,201,429,403,359,248,70,17,3,1829,2220,3732,8867,8440,7351,5379,1247,86,7,37336
SED10067,76,158,276,279,334,235,77,4,0,1444,86,127,265,408,498,312,127,38,13,1861,1820,2740,5315,7782,8924,6695,2282,300,37,35899
SED10068,45,101,216,233,243,189,52,9,0,1080,63,62,127,171,197,169,64,21,4,884,1737,1798,4319,5605,6912,5430,1223,165,21,27203
SED10069,67,139,220,251,276,194,57,8,0,1214,65,109,152,225,264,219,82,23,4,1147,1795,2394,4582,5804,6861,5101,1225,165,20,27956
SED10070,41,139,330,303,289,209,62,5,0,1383,74,222,494,514,431,289,69,14,8,2106,1492,3446,8218,8760,6893,4974,1084,59,7,34935
SED10071,90,129,412,423,372,176,37,0,0,1649,80,159,485,614,446,219,58,7,0,2060,2333,3795,10468,13477,9408,4900,920,45,5,45353
SED10072,46,158,392,349,305,209,53,4,0,1518,57,247,700,479,403,263,79,23,5,2263,1284,3996,13168,9586,7846,4936,1275,146,22,42264
SED10073,53,135,401,340,318,213,70,10,0,1536,51,176,678,502,375,296,69,21,7,2176,1452,4319,13504,10657,8304,5707,1403,161,25,45527
SED10074,46,126,347,317,307,196,53,3,0,1395,76,192,537,538,385,234,85,14,5,2061,1551,3208,10407,10361,7667,5239,1259,104,19,39827
SED10075,92,187,385,359,294,186,34,0,0,1530,94,169,256,285,336,194,39,11,10,1403,2211,3478,7085,7882,7886,5086,802,73,16,34520
SED10076,45,91,191,197,202,142,52,3,0,928,64,86,160,189,204,200,73,27,14,1009,1476,1932,4184,4874,5761,4816,1069,129,25,24262
SED10077,34,143,413,267,307,186,68,8,0,1422,64,385,931,448,434,297,61,18,7,2649,1456,5206,15183,9138,8106,5307,1296,190,33,45910
SED10078,35,140,408,322,285,185,41,4,0,1413,55,156,525,383,357,185,36,12,0,1709,1077,3981,13046,10068,8195,4871,1037,107,11,42384
SED10079,86,156,232,264,293,175,42,5,0,1255,63,129,195,189,270,214,45,12,3,1130,1962,2765,5049,5966,7207,5083,879,80,11,29008
SED10080,25,106,538,327,210,132,39,9,0,1389,36,346,1155,590,302,195,95,19,4,2743,726,5816,23914,12655,7283,4808,1804,262,48,57319
SED10081,84,160,292,280,263,235,62,10,6,1390,102,113,251,260,273,227,99,43,8,1369,2051,2705,6703,6602,7322,6008,1735,310,50,33492
SED10082,55,119,226,252,309,250,62,3,0,1285,53,119,190,264,314,218,68,22,9,1256,2145,2775,5415,7096,8058,6089,1459,129,20,33188
SED10083,57,150,293,294,333,192,57,10,0,1378,75,135,243,256,306,211,49,10,0,1291,1955,2924,6260,6830,7235,5495,1126,77,18,31924
SED10084,41,105,217,245,269,169,59,3,4,1112,91,110,253,276,285,242,78,29,11,1380,1864,2336,4992,6419,7090,5918,1327,170,22,30132
SED10085,88,174,297,293,261,156,41,4,0,1313,84,102,190,251,314,204,64,28,4,1249,1992,2725,6171,6765,7770,5606,1580,314,62,32978
SED10086,39,114,387,271,191,130,64,8,0,1211,49,141,695,478,403,257,151,47,8,2232,761,2937,13012,9927,7331,5019,2579,512,94,42163
SED10087,65,176,303,251,272,196,65,4,0,1336,80,140,269,233,262,199,71,24,6,1285,2343,3841,7540,7066,7284,5835,1511,253,33,35697
SED10088,86,170,365,371,348,220,69,10,0,1641,76,160,375,482,528,251,84,18,3,1991,2094,3280,7732,10000,9845,5821,1597,220,13,40606
SED10089,88,216,381,318,247,179,41,14,4,1484,56,146,272,255,225,137,44,13,7,1159,2150,4371,8241,7696,7166,4996,860,95,8,35581
SED10090,44,82,294,250,254,193,55,11,0,1191,38,132,452,440,394,227,89,24,10,1798,1162,3057,10496,11392,8903,5565,1898,247,32,42760
SED10091,96,167,313,320,347,199,66,5,3,1514,102,134,267,334,384,293,114,30,7,1664,2261,3055,6120,7276,8131,6044,1672,229,28,34816
SED10092,69,172,358,276,249,173,48,6,0,1355,72,178,334,262,264,184,46,22,3,1366,1783,4491,8475,6737,6907,4692,859,93,8,34043
SED10093,61,179,303,291,303,192,27,5,0,1364,104,133,247,286,311,222,70,17,4,1392,2142,3141,6148,6849,7161,4785,976,92,15,31315
SED19494,0,21,33,25,9,11,3,0,0,109,7,32,62,52,49,24,3,5,5,248,112,528,1094,630,507,376,89,7,4,3331
SED19797,0,0,0,0,5,0,0,0,0,5,0,0,0,4,6,6,0,0,0,13,6,3,23,27,30,25,10,0,0,130
