region_id,O_OR_DS_Sep_house,O_OR_DS_SemiD_ro_or_tce_h_th,O_OR_DS_Flat_unit_apart,O_OR_DS_Oth_dwell,O_OR_DS_not_stated,O_OR_Total,O_MTG_DS_Sep_house,O_MTG_DS_SemiD_ro_or_tce_h_th,O_MTG_DS_Flat_unit_apart,O_MTG_DS_Oth_dwell,O_MTG_DS_not_stated,O_MTG_Total,R_RE_Agt_DS_Sep_house,R_RE_Ag_DS_SemD_ro_or_tc_h_th,R_RE_Agt_DS_Flat_unit_apart,R_RE_Agt_DS_Oth_dwell,R_RE_Agt_DS_not_stated,R_RE_Agt_Total,R_ST_h_auth_DS_Sep_house,R_ST_h_au_DS_SD_ro_or_tc_h_th,R_ST_h_auth_DS_Flat_unit_aprt,R_ST_h_auth_DS_Oth_dwell,R_ST_h_auth_DS_not_stated,R_ST_h_auth_Total,R_Psn_not_in_s_hh_DS_Sep_hous,R_P_not_in_s_h_DS_SD_ro_t_h_t,R_Ps_not_in_s_hh_DS_Flt_ut_at,R_Psn_not_in_s_hh_DS_Oth_dwel,R_Psn_not_in_s_hh_DS_NS,R_Psn_not_in_s_hh_Total,R_Hs_cop_cty_ch_gp_DS_Sp_ho,R_Hs_c_ct_ch_g_DS_SD_ro_t_h_t,R_Hse_cp_cty_ch_g_DS_Fl_u_at,R_Hs_cop_cty_ch_gp_DS_Ot_dwel,R_Hse_coop_cty_ch_gp_DS_NS,R_Hse_coop_cty_ch_gp_Total,R_Ot_landld_typ_DS_Sep_house,R_O_LLd_typ_DS_SD_ro_tc_h_th,R_Ot_LLd_typ_DS_Flt_unt_apt,R_Ot_landld_typ_DS_Oth_dwell,R_Ot_landld_typ_DS_not_stated,R_Ot_landld_typ_Total,R_Landld_typ_NS_DS_Sep_house,R_Ld_typ_NS_DS_SD_ro_tce_h_th,R_LLd_typ_NS_DS_Flt_unit_apt,R_Landld_typ_NS_DS_Oth_dwell,R_Landld_typ_NS_DS_not_stated,R_Landld_typ_NS_Total,R_Tot_DS_Sep_house,R_Tot_DS_SemiD_ro_or_tce_h_th,R_Tot_DS_Flat_unit_apart,R_Tot_DS_Oth_dwell,R_Tot_DS_not_stated,R_Tot_Total,Oth_ten_type_DS_Sep_house,Oth_ten_ty_DS_SD_ro_tce_h_th,Oth_ten_type_DS_Flt_unt_apt,Oth_ten_type_DS_Oth_dwell,Oth_ten_type_DS_not_stated,Oth_ten_type_Total,Ten_type_NS_DS_Sep_house,Ten_ty_NS_DS_SD_ro_tce_h_t,Ten_ty_NS_DS_Flt_unt_apt,Ten_type_NS_DS_Oth_dwell,Ten_type_NS_DS_not_stated,Ten_type_NS_Total,Total_DS_Sep_house,Total_DS_SemiD_ro_or_tce_h_th,Total_DS_Flat_unit_apart,Total_DS_Oth_dwell,Total_DS_not_stated,Total_Total
CED128,15593,870,149,78,10,16700,19517,559,135,20,5,20236,4440,1014,571,55,4,6084,618,293,153,3,0,1067,1903,208,137,27,7,2282,159,106,70,3,0,338,371,74,20,72,4,541,211,26,13,6,3,259,7702,1721,964,166,18,10571,256,111,40,8,3,418,759,100,50,16,0,925,43827,3361,1338,288,36,48850
CED129,13697,896,242,30,7,14872,14812,1487,512,3,10,16824,3856,1092,1265,37,6,6256,781,682,337,0,0,1800,1575,213,134,13,6,1941,108,57,36,0,0,201,284,38,24,41,0,387,136,21,23,3,0,183,6740,2103,1819,94,12,10768,174,31,20,0,0,225,995,150,96,4,0,1245,36418,4667,2689,131,29,43934
CED130,13103,1066,494,3,0,14666,18511,1890,610,3,3,21017,2858,1052,749,0,0,4659,82,104,7,0,3,196,878,228,110,3,0,1219,32,102,59,0,0,193,106,110,7,3,0,226,84,26,12,0,0,122,4040,1622,944,6,3,6615,111,211,146,0,0,468,457,86,94,0,0,637,36222,4875,2288,12,6,43403
CED131,19638,389,342,201,22,20592,15526,171,153,87,19,15956,5246,624,1862,31,8,7771,1396,185,355,0,3,1939,3195,132,340,59,5,3731,237,97,168,0,3,505,935,25,77,97,7,1141,562,17,56,16,0,651,11571,1080,2858,203,26,15738,409,85,16,9,3,522,1246,123,183,67,0,1619,48390,1848,3552,567,70,54427
CED132,14255,1126,836,141,9,16367,14139,1055,911,38,13,16156,4923,1772,2938,69,27,9729,670,886,1675,0,6,3237,2546,617,840,39,17,4059,95,102,101,4,0,302,382,80,68,96,0,626,180,51,55,0,3,289,8796,3508,5677,208,53,18242,170,69,76,4,0,319,897,170,339,20,4,1430,38257,5928,7839,411,79,52514
CED133,10525,1717,5508,23,3,17776,8059,1860,6534,27,12,16492,2151,1385,12950,64,15,16565,119,110,1057,0,0,1286,893,468,2517,39,3,3920,49,17,170,0,0,236,55,30,184,7,32,308,111,28,138,0,0,277,3378,2038,17016,110,50,22592,112,27,310,0,7,456,347,86,555,4,4,996,22421,5728,29923,164,76,58312
CED134,18317,945,885,669,8,20824,13541,461,433,102,6,14543,4223,1142,1933,55,4,7357,1009,276,537,4,0,1826,2901,394,546,90,3,3934,277,106,133,0,10,526,471,36,77,252,4,840,314,32,27,15,0,388,9195,1986,3253,416,21,14871,243,46,160,14,5,468,1006,130,201,79,3,1419,42302,3568,4932,1280,43,52125
CED135,19608,230,250,425,30,20543,15055,147,114,70,22,15408,4030,656,1281,49,3,6019,1994,170,473,0,0,2637,3612,131,293,95,6,4137,732,49,187,0,0,968,1875,69,226,116,4,2290,919,15,62,33,3,1032,13162,1090,2522,293,16,17083,493,24,96,26,3,642,1467,72,179,125,6,1849,49785,1563,3161,939,77,55525
CED136,9944,1311,1992,10,14,13271,8711,2735,5240,16,32,16734,3149,1784,10415,31,40,15419,1186,919,2152,0,9,4266,1274,419,1382,12,19,3106,135,106,370,5,0,616,197,239,203,4,12,655,138,43,141,3,3,328,6079,3510,14663,55,83,24390,190,65,274,0,0,529,661,172,641,3,7,1484,25585,7793,22810,84,136,56408
CED137,16390,1622,671,460,9,19152,13781,666,241,71,8,14767,4464,1479,1324,42,4,7313,1061,338,278,0,3,1680,1932,335,261,49,3,2580,156,138,28,0,0,322,627,74,43,88,3,835,186,39,17,17,3,262,8426,2403,1951,196,16,12992,322,138,41,13,0,514,925,211,137,47,0,1320,39844,5040,3041,787,33,48745
CED138,10991,1327,3670,19,17,16024,8397,1992,6909,21,11,17330,2814,1409,10527,75,44,14869,221,343,919,3,6,1492,1171,348,1740,52,8,3319,59,69,156,0,0,284,179,91,287,10,4,571,136,35,143,4,3,321,4580,2295,13772,144,65,20856,153,43,114,3,0,313,706,145,668,4,3,1526,24827,5802,25133,191,96,56049
