region_id,P_Y8b_15_19_yrs,P_Y8b_20_24_yrs,P_Y8b_25_34_yrs,P_Y8b_35_44_yrs,P_Y8b_45_54_yrs,P_Y8b_55_64_yrs,P_Y8b_65_74_yrs,P_Y8b_75_84_yrs,P_Y8b_85ov,P_Y8b_Tot,P_DNGTS_15_19,P_DNGTS_20_24,P_DNGTS_25_34,P_DNGTS_35_44,P_DNGTS_45_54,P_DNGTS_55_64,P_DNGTS_65_74,P_DNGTS_75_84,P_DNGTS_85_ov,P_DNGTS_Tot,P_Hghst_yr_schl_ns_15_19_yrs,P_Hghst_yr_schl_ns_20_24_yrs,P_Hghst_yr_schl_ns_25_34_yrs,P_Hghst_yr_schl_ns_35_44_yrs,P_Hghst_yr_schl_ns_45_54_yrs,P_Hghst_yr_schl_ns_55_64_yrs,P_Hghst_yr_schl_ns_65_74_yrs,P_Hghst_yr_schl_ns_75_84_yrs,P_Hghst_yr_schl_ns_85_yrs_ovr,P_Hghst_yr_schl_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
CED111,89,95,226,369,836,1623,1811,1717,1003,7769,9,15,34,58,71,72,78,84,32,453,434,444,823,1041,1253,1298,1517,1555,1022,9387,3933,5973,11621,15693,19909,20255,14497,8589,3576,104046
CED112,44,94,168,250,535,1168,1564,1655,939,6417,3,21,45,60,81,103,157,189,53,712,376,658,951,913,1076,1034,1078,1406,795,8287,4811,11621,18372,19611,19897,16431,11263,7902,3443,113351
CED113,59,76,177,292,613,1148,1238,1313,838,5754,4,8,20,35,42,89,86,62,47,393,477,396,778,1073,1162,1238,1414,1608,1075,9221,4642,7674,14934,18258,18504,16274,11886,8232,3812,104216
CED114,61,77,156,302,681,1451,1620,1409,714,6471,7,16,27,23,37,67,105,96,26,404,474,453,974,1193,1411,1489,1425,1276,678,9373,3707,6166,13293,17773,20482,19884,13678,7521,2875,105379
CED115,126,126,295,362,922,1953,2287,1949,949,8969,0,13,36,66,83,91,98,68,24,479,493,496,863,1008,1300,1467,1636,1774,1027,10064,4353,7233,13749,16332,19051,18511,13449,8495,3164,104337
CED116,66,102,594,1431,2452,2626,2053,1538,434,11296,16,109,419,964,1862,1473,964,927,334,7068,700,757,1433,1680,1829,1491,1197,926,438,10451,5763,10612,19970,20579,21934,15516,8713,5353,1619,110059
CED117,68,65,151,251,656,1504,1695,1639,801,6830,7,9,26,43,42,57,80,92,24,380,456,473,880,1012,1308,1280,1565,1629,773,9376,3918,6309,11713,15744,18799,18949,15405,9557,3338,103732
CED118,23,31,120,254,582,1350,2155,1980,706,7201,8,21,71,101,209,350,547,621,176,2104,379,867,2287,1931,1523,1346,1165,1176,776,11450,2866,10503,29191,27035,19938,14316,8680,6182,2621,121332
CED119,42,65,201,350,647,1269,1281,1059,437,5351,7,25,103,111,177,200,227,229,79,1158,446,589,1475,1251,1193,1015,899,799,387,8054,4390,9798,26042,24873,19572,15008,8120,4586,1519,113908
CED120,27,47,117,224,458,995,1055,935,488,4346,9,18,57,71,141,168,161,150,51,826,372,436,1041,986,1102,1057,845,796,389,7024,4655,9590,18076,20535,20594,16753,9247,4971,1830,106251
CED121,91,95,183,327,729,1695,1848,1538,741,7247,7,10,29,34,63,76,74,80,26,399,450,458,901,1243,1259,1359,1472,1325,621,9088,4324,6832,13068,18709,20145,19141,13252,7159,2562,105192
CED122,90,99,236,368,894,1719,1553,1441,807,7207,0,13,24,27,55,77,78,73,65,412,533,517,1188,1350,1342,1378,1187,1153,479,9127,4833,8561,17608,19011,18718,16496,10048,5966,2265,103506
CED123,29,56,107,217,441,1066,1500,1558,745,5719,3,35,68,66,123,194,294,353,112,1248,670,1497,2778,2205,1773,1659,1563,1297,623,14065,4994,15245,28878,24162,19448,15405,10703,7325,2999,129159
CED124,69,90,225,393,849,1746,1340,1007,469,6188,7,10,49,57,85,135,154,116,39,652,546,853,1433,1338,1445,1350,1160,880,443,9448,5323,10793,22212,21290,19442,16913,9136,4490,1715,111314
CED125,67,78,170,311,743,1432,1906,1751,984,7442,14,12,17,21,30,49,44,42,22,251,336,291,502,744,1061,1290,1547,1808,1088,8667,3341,5021,9849,14521,18015,18943,16105,10126,3882,99803
CED126,74,72,171,367,779,1399,1043,816,463,5184,10,16,47,78,108,164,148,119,39,729,548,519,988,1116,1211,1180,911,678,254,7405,5373,9587,19092,20376,18681,15901,8252,3995,1515,102772
CED127,24,16,68,121,196,472,623,662,435,2617,3,17,28,54,49,62,80,92,40,425,258,338,746,987,971,961,915,1010,1155,7341,3229,7038,14597,21209,20248,16887,12255,7414,4074,106951
