SA4_CODE_2016,CF_no_children_F,CF_no_children_P,CF_ChU15_a_DSs_a_NdCh_F,CF_ChU15_a_DSs_a_NdCh_P,CF_ChU15_a_DSs_a_no_NdCh_F,CF_ChU15_a_DSs_a_no_NdCh_P,CF_ChU15_a_no_DSs_a_NdCh_F,CF_ChU15_a_no_DSs_a_NdCh_P,CF_ChU15_a_no_DSs_a_no_NdCh_F,CF_ChU15_a_no_DSs_a_no_NdCh_P,CF_ChU15_a_Total_F,CF_ChU15_a_Total_P,CF_no_ChU15_a_DSs_a_NdCh_F,CF_no_ChU15_a_DSs_a_NdCh_P,CF_no_ChU15_a_DSs_a_no_NdCh_F,CF_no_ChU15_a_DSs_a_no_NdCh_P,CF_no_ChU15_a_no_DSs_a_NdCh_F,CF_no_ChU15_a_no_DSs_a_NdCh_P,CF_no_ChU15_a_Total_F,CF_no_ChU15_a_Total_P,CF_Total_F,CF_Total_P,OPF_ChU15_a_DSs_a_NdCh_F,OPF_ChU15_a_DSs_a_NdCh_P,OPF_ChU15_a_DSs_a_no_NdCh_F,OPF_ChU15_a_DSs_a_no_NdCh_P,OPF_ChU15_a_no_DSs_a_NdCh_F,OPF_ChU15_a_no_DSs_a_NdCh_P,OPF_ChU15_a_no_DSs_no_NdCh_F,OPF_ChU15_a_no_DSs_no_NdCh_P,OPF_ChU15_a_Total_F,OPF_ChU15_a_Total_P,OPF_no_ChU15_a_DSs_a_NdCh_F,OPF_no_ChU15_a_DSs_a_NdCh_P,OPF_no_ChU15_a_DSs_no_NdCh_F,OPF_no_ChU15_a_DSs_no_NdCh_P,OPF_no_ChU15_no_DSs_a_NdCh_F,OPF_no_ChU15_no_DSs_a_NdCh_P,OPF_no_ChU15_a_Total_F,OPF_no_ChU15_a_Total_P,OPF_Total_F,OPF_Total_P,Other_family_F,Other_family_P,Total_F,Total_P
121,40349,79605,441,2304,5336,23990,531,2241,31742,120052,38044,148595,3055,12366,6833,23465,7547,23458,17438,59285,55487,207875,61,255,845,2795,148,467,3669,9143,4728,12656,671,2067,2147,4825,4515,9519,7327,16406,12055,29061,1718,3604,109610,320146
122,24315,48031,381,1995,3377,15272,536,2295,19792,76563,24091,96117,1989,8076,3194,11068,5523,17412,10707,36556,34793,132675,62,252,530,1748,161,527,2427,6181,3180,8706,457,1446,992,2231,3259,6955,4708,10634,7884,19346,755,1586,67745,201636
123,20611,41556,848,4937,3379,16263,1519,7247,17887,71367,23631,99820,2056,8868,2463,8538,7631,24981,12150,42389,35779,142203,252,1196,943,3561,607,2314,4938,14084,6736,21160,587,1925,999,2301,4762,10544,6350,14773,13085,35929,912,1968,70383,221662
124,26837,53805,796,4648,3534,16897,1384,6554,19657,77621,25379,105719,2207,9452,2734,9404,8329,27214,13269,46069,38652,151791,217,1029,971,3552,597,2059,5774,15979,7552,22620,628,2014,1286,2913,5661,12450,7570,17377,15126,40000,1129,2409,81748,248003
125,33281,67565,1077,6580,5208,25321,1262,6097,34129,131667,41684,169666,3250,14419,4748,16758,10454,34844,18452,66020,60135,235678,281,1391,1079,4137,483,1788,5277,14694,7117,22014,870,2964,1882,4426,7254,16374,10009,23766,17126,45774,2527,5573,113069,354599
126,16565,33084,204,1119,2263,10163,258,1142,13337,50333,16059,62766,1595,6635,2873,10083,4302,13742,8774,30465,24831,93225,26,117,317,1050,87,295,1678,4227,2111,5686,297,948,874,2029,2453,5351,3624,8331,5737,14014,985,2074,48111,142400
127,24741,50627,1456,8677,6198,30569,1897,9343,25398,103288,34943,151879,4249,19085,4455,16155,13127,44875,21826,80114,56770,231994,396,1920,1545,5986,854,3277,6694,19713,9492,30892,1197,4181,1970,4807,8353,19748,11524,28736,21012,59629,1959,4352,104481,346599
128,20542,40743,450,2461,2802,12736,604,2673,15655,61286,19506,79153,2119,8954,2619,9229,6614,21368,11357,39557,30866,118707,76,313,488,1626,198,660,2443,6320,3204,8918,460,1458,882,2004,3423,7369,4761,10825,7960,19745,714,1503,60085,180698
197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
