region_id,O_OR_DS_Sep_house,O_OR_DS_SemiD_ro_or_tce_h_th,O_OR_DS_Flat_unit_apart,O_OR_DS_Oth_dwell,O_OR_DS_not_stated,O_OR_Total,O_MTG_DS_Sep_house,O_MTG_DS_SemiD_ro_or_tce_h_th,O_MTG_DS_Flat_unit_apart,O_MTG_DS_Oth_dwell,O_MTG_DS_not_stated,O_MTG_Total,R_RE_Agt_DS_Sep_house,R_RE_Ag_DS_SemD_ro_or_tc_h_th,R_RE_Agt_DS_Flat_unit_apart,R_RE_Agt_DS_Oth_dwell,R_RE_Agt_DS_not_stated,R_RE_Agt_Total,R_ST_h_auth_DS_Sep_house,R_ST_h_au_DS_SD_ro_or_tc_h_th,R_ST_h_auth_DS_Flat_unit_aprt,R_ST_h_auth_DS_Oth_dwell,R_ST_h_auth_DS_not_stated,R_ST_h_auth_Total,R_Psn_not_in_s_hh_DS_Sep_hous,R_P_not_in_s_h_DS_SD_ro_t_h_t,R_Ps_not_in_s_hh_DS_Flt_ut_at,R_Psn_not_in_s_hh_DS_Oth_dwel,R_Psn_not_in_s_hh_DS_NS,R_Psn_not_in_s_hh_Total,R_Hs_cop_cty_ch_gp_DS_Sp_ho,R_Hs_c_ct_ch_g_DS_SD_ro_t_h_t,R_Hse_cp_cty_ch_g_DS_Fl_u_at,R_Hs_cop_cty_ch_gp_DS_Ot_dwel,R_Hse_coop_cty_ch_gp_DS_NS,R_Hse_coop_cty_ch_gp_Total,R_Ot_landld_typ_DS_Sep_house,R_O_LLd_typ_DS_SD_ro_tc_h_th,R_Ot_LLd_typ_DS_Flt_unt_apt,R_Ot_landld_typ_DS_Oth_dwell,R_Ot_landld_typ_DS_not_stated,R_Ot_landld_typ_Total,R_Landld_typ_NS_DS_Sep_house,R_Ld_typ_NS_DS_SD_ro_tce_h_th,R_LLd_typ_NS_DS_Flt_unit_apt,R_Landld_typ_NS_DS_Oth_dwell,R_Landld_typ_NS_DS_not_stated,R_Landld_typ_NS_Total,R_Tot_DS_Sep_house,R_Tot_DS_SemiD_ro_or_tce_h_th,R_Tot_DS_Flat_unit_apart,R_Tot_DS_Oth_dwell,R_Tot_DS_not_stated,R_Tot_Total,Oth_ten_type_DS_Sep_house,Oth_ten_ty_DS_SD_ro_tce_h_th,Oth_ten_type_DS_Flt_unt_apt,Oth_ten_type_DS_Oth_dwell,Oth_ten_type_DS_not_stated,Oth_ten_type_Total,Ten_type_NS_DS_Sep_house,Ten_ty_NS_DS_SD_ro_tce_h_t,Ten_ty_NS_DS_Flt_unt_apt,Ten_type_NS_DS_Oth_dwell,Ten_type_NS_DS_not_stated,Ten_type_NS_Total,Total_DS_Sep_house,Total_DS_SemiD_ro_or_tce_h_th,Total_DS_Flat_unit_apart,Total_DS_Oth_dwell,Total_DS_not_stated,Total_Total
SSC11509,76,0,0,0,0,76,45,0,0,0,0,45,3,0,0,0,0,3,0,0,0,0,0,0,25,0,0,0,0,25,0,0,0,0,0,0,12,0,0,0,0,12,10,0,0,0,0,10,50,0,0,0,0,50,3,0,0,0,0,3,5,0,0,0,0,5,179,0,0,0,0,179
SSC11510,63,0,0,0,0,63,58,0,0,0,0,58,8,0,0,0,0,8,0,0,0,0,0,0,9,0,0,0,0,9,0,0,0,0,0,0,11,0,0,0,0,11,0,0,0,0,0,0,28,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,149,0,0,0,0,149
SSC11511,853,105,40,3,0,1001,1292,301,76,0,0,1669,123,116,68,0,0,307,74,60,0,0,0,134,47,26,19,0,0,92,22,11,0,0,0,33,13,0,0,0,0,13,4,3,0,0,0,7,283,216,87,0,0,586,9,0,0,0,0,9,31,13,4,0,0,48,2468,635,207,3,0,3313
SSC11512,69,27,3,0,0,99,116,0,0,0,0,116,9,0,3,0,0,12,0,0,0,0,0,0,8,0,3,3,0,14,0,3,0,0,0,3,8,0,0,0,0,8,3,0,3,0,0,6,28,3,9,3,0,43,8,15,0,0,0,23,5,3,0,0,0,8,226,48,12,3,0,289
SSC11513,37,0,0,0,0,37,17,0,0,0,0,17,11,0,0,0,0,11,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,19,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0,0,0,73
SSC11514,103,0,0,9,0,112,41,0,0,0,0,41,5,0,0,0,0,5,0,0,0,0,0,0,23,0,0,0,0,23,0,0,0,0,0,0,3,0,0,0,0,3,6,0,0,0,0,6,37,0,0,0,0,37,0,0,0,0,0,0,6,0,0,0,0,6,187,0,0,9,0,196
SSC11515,62,0,0,0,0,62,24,0,0,0,0,24,0,0,0,0,0,0,24,0,0,0,0,24,15,0,0,0,0,15,13,0,0,0,0,13,22,0,0,0,0,22,3,0,0,0,0,3,77,0,0,0,0,77,0,0,0,0,0,0,20,0,0,4,0,24,183,0,0,4,0,187
SSC11516,48,0,0,0,0,48,15,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,9,0,0,0,0,0,0,36,0,0,0,0,36,14,0,0,0,0,14,59,0,0,0,0,59,7,0,0,0,0,7,5,0,0,0,0,5,134,0,0,0,0,134
SSC11517,1121,175,92,0,0,1388,1036,137,123,0,0,1296,294,162,427,4,0,887,3,47,146,0,0,196,137,65,100,4,0,306,4,0,5,0,0,9,13,5,6,0,0,24,5,7,8,0,0,20,456,286,692,8,0,1442,19,7,13,0,0,39,44,20,27,0,0,91,2676,625,947,8,0,4256
SSC11518,225,6,0,0,0,231,202,3,0,0,0,205,26,4,0,0,0,30,0,0,0,0,0,0,12,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,4,0,0,0,42,3,0,0,0,0,3,7,0,0,0,0,7,475,13,0,0,0,488
